,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2006-09,758.00M,,,,,,,69.00M,69.00M,361.00M,839.00M,,-1.507B,301.00M,-212.00M,,,653.00M,742.00M,1.262B,,-51.00M,-51.00M,,-4.559B,3.169B,-1.441B,,-159.00M,-490.00M,-649.00M,,0.00,0.00,,,,,,-123.00M,,1.262B,490.00M,,1.081B,311.00M,-37.00M,1.355B,,,41.00M,-200.00M,0.00,,,,AOR,Restated
2006-06,476.00M,,,,,,,274.00M,274.00M,-214.00M,1.646B,,-1.441B,737.00M,-18.00M,,,-304.00M,415.00M,1.156B,,-44.00M,-44.00M,,-584.00M,-1.515B,-2.143B,,-515.00M,515.00M,0.00,,0.00,0.00,,,,,,-121.00M,,754.00M,633.00M,,1.394B,-354.00M,41.00M,1.081B,,,0.00,-515.00M,0.00,,,,AOR,Restated
2006-03,728.00M,,,,,,,44.00M,44.00M,425.00M,,,-320.00M,320.00M,-452.00M,,,623.00M,491.00M,1.368B,,-21.00M,-21.00M,,9.00M,-1.234B,-1.246B,,0.00,0.00,0.00,,0.00,0.00,,,,,,-91.00M,,75.00M,-16.00M,,1.273B,106.00M,15.00M,1.394B,,,0.00,,0.00,,,,AOR,Restated
2005-12,467.00M,,,-13.05B,,,-13.05B,193.00M,193.00M,-70.00M,,,13.38B,-953.00M,-181.00M,-1.685B,-181.00M,6.278B,-134.00M,785.00M,,-42.00M,-42.00M,16.00M,-7.00M,-1.152B,-1.185B,,0.00,100.00M,100.00M,-282.00M,0.00,-282.00M,,,,,,-87.00M,,474.00M,205.00M,,1.481B,-195.00M,-13.00M,1.273B,,-282.00M,0.00,0.00,0.00,,,,AOR,Restated
2005-09,539.00M,,,180.00M,,,180.00M,156.00M,156.00M,-65.00M,,,-93.00M,-305.00M,296.00M,6.58B,78.00M,-5.129B,801.00M,1.518B,,-53.00M,-53.00M,-8.00M,2.532B,-4.247B,-1.776B,,0.00,0.00,0.00,71.00M,-2.00M,69.00M,,,,,,-86.00M,,718.00M,701.00M,,1.027B,443.00M,11.00M,1.481B,,71.00M,,0.00,-2.00M,,,,AOR,Restated
2005-06,602.00M,,,,,,,183.00M,183.00M,303.00M,,,-588.00M,287.00M,-185.00M,-5.577B,-164.00M,5.902B,263.00M,763.00M,,-101.00M,-101.00M,,-1.23B,379.00M,-952.00M,,-250.00M,0.00,-250.00M,213.00M,,213.00M,,,,,,-86.00M,,-70.00M,-193.00M,,1.439B,-382.00M,-30.00M,1.027B,,213.00M,0.00,-250.00M,,,,,AOR,Restated
2005-03,666.00M,,,,,,,29.00M,29.00M,,,,-120.00M,-72.00M,-197.00M,,,360.00M,91.00M,666.00M,,-15.00M,-15.00M,,-649.00M,-283.00M,-947.00M,,,,,,,,,,,,,-86.00M,,653.00M,567.00M,,1.148B,286.00M,5.00M,1.439B,,,,,,,,,AOR,Restated
2004-12,620.00M,,,-2.949B,,,-2.949B,84.00M,84.00M,-173.00M,,,2.952B,138.00M,140.00M,10.00M,-347.00M,1.562B,495.00M,1.029B,,-54.00M,-54.00M,-3.00M,-906.00M,,-963.00M,,0.00,0.00,0.00,2.00M,,0.00,,,,,,-82.00M,,369.00M,287.00M,,819.00M,353.00M,-24.00M,1.148B,,2.00M,0.00,0.00,,,,,AOR,Restated
2004-09,494.00M,,,-4.46B,,,-4.46B,-8.00M,-8.00M,22.00M,,,4.088B,-286.00M,228.00M,2.473B,1.102B,227.00M,838.00M,974.00M,,-49.00M,-49.00M,3.00M,-1.587B,,-1.633B,,0.00,0.00,0.00,0.00,,0.00,,,,,,-83.00M,,864.00M,781.00M,,695.00M,122.00M,2.00M,819.00M,,0.00,0.00,477.00M,,,,,AOR,Restated
2004-06,433.00M,,,,,,,165.00M,165.00M,39.00M,,,-459.00M,634.00M,-954.00M,-2.878B,-766.00M,4.318B,354.00M,532.00M,,-59.00M,-59.00M,-58.00M,-74.00M,,-191.00M,,-200.00M,0.00,-200.00M,0.00,,0.00,,,,,,-81.00M,,-3.00M,-284.00M,,638.00M,57.00M,0.00,695.00M,,0.00,0.00,-200.00M,,,,,AOR,Restated
2004-03,568.00M,,,,,,,33.00M,33.00M,641.00M,,,-584.00M,-753.00M,575.00M,,,-381.00M,-559.00M,99.00M,,-18.00M,-18.00M,,404.00M,,386.00M,,-53.00M,-477.00M,-530.00M,411.00M,,411.00M,,,,,,-79.00M,,-109.00M,-307.00M,,462.00M,178.00M,-2.00M,638.00M,,411.00M,197.00M,-727.00M,,,,,AOR,Restated
2003-12,454.00M,,,,,,,20.00M,20.00M,193.00M,,,-3.285B,309.00M,727.00M,,,2.973B,1.225B,1.018B,,-15.00M,-15.00M,,-1.035B,-33.00M,-1.514B,,-500.00M,535.00M,35.00M,0.00,,-1.00M,,,,,,-76.00M,,535.00M,493.00M,,496.00M,-3.00M,-31.00M,462.00M,,0.00,0.00,-500.00M,,,,,AOR,Restated
2003-09,343.00M,,,,,,,188.00M,188.00M,219.00M,,,-195.00M,-108.00M,66.00M,,,1.029B,987.00M,1.542B,,-2.00M,-2.00M,,-1.524B,33.00M,-1.493B,,317.00M,0.00,317.00M,0.00,,0.00,,,,,,-77.00M,,-217.00M,23.00M,,429.00M,72.00M,-5.00M,496.00M,,0.00,317.00M,0.00,,,,,AOR,Restated
2003-06,507.00M,,,,,,,-61.00M,-61.00M,100.00M,,,-210.00M,201.00M,-183.00M,,,315.00M,333.00M,669.00M,,-29.00M,-29.00M,,-3.744B,,-3.773B,,918.00M,0.00,918.00M,1.162B,,1.162B,,,,,,-69.00M,,865.00M,2.876B,,655.00M,-228.00M,2.00M,429.00M,,1.162B,918.00M,0.00,,,,,AOR,Restated
2003-03,-1.395B,,,,,,,72.00M,72.00M,-839.00M,,,680.00M,-1.554B,-34.00M,,,3.737B,2.149B,667.00M,,-43.00M,-43.00M,,-1.564B,,-1.607B,,0.00,0.00,0.00,0.00,,0.00,,,,,,-69.00M,,1.285B,1.216B,,377.00M,276.00M,2.00M,655.00M,,0.00,0.00,0.00,,,,,AOR,Restated
2002-12,258.00M,,,,,,,2.284B,2.284B,-27.00M,,,-1.904B,-322.00M,-1.088B,-322.00M,616.00M,,-54.00M,557.00M,,-61.00M,-61.00M,-3.00M,-756.00M,-24.00M,-844.00M,,-300.00M,0.00,-300.00M,92.00M,-92.00M,0.00,,,,,,-65.00M,,614.00M,249.00M,,413.00M,-38.00M,2.00M,377.00M,,92.00M,-16.00M,,-92.00M,,,,AOR,Restated
2002-09,265.00M,,,,,,,26.00M,26.00M,-56.00M,,,-2.023B,254.00M,1.207B,254.00M,1.207B,,2.791B,1.003B,,-38.00M,-38.00M,3.00M,-3.508B,-3.00M,-3.546B,,617.00M,0.00,617.00M,251.00M,0.00,251.00M,,,,,,-64.00M,,1.833B,2.637B,,319.00M,94.00M,0.00,413.00M,,251.00M,633.00M,,0.00,,,,AOR,
2002-06,185.00M,,,,,,,22.00M,22.00M,189.00M,,,2.087B,-259.00M,-561.00M,-259.00M,-561.00M,,-1.781B,702.00M,,-59.00M,-59.00M,,-1.403B,3.00M,-1.459B,,,0.00,0.00,79.00M,,79.00M,,,,,,-64.00M,,702.00M,717.00M,,351.00M,-40.00M,8.00M,319.00M,,79.00M,,,,,,,AOR,
2002-03,292.00M,,,,,,,13.00M,13.00M,96.00M,,,-823.00M,45.00M,440.00M,45.00M,440.00M,,809.00M,387.00M,,-31.00M,-31.00M,0.00,-744.00M,,-775.00M,,0.00,16.00M,16.00M,0.00,,0.00,,,,,,-64.00M,,434.00M,386.00M,,353.00M,-2.00M,,351.00M,,0.00,0.00,,,,,,AOR,
2001-12,144.00M,,,,,,,34.00M,34.00M,96.00M,,,-1.022B,179.00M,871.00M,179.00M,871.00M,,1.992B,1.244B,,-68.00M,-68.00M,-1.12B,-1.411B,1.144B,-1.455B,,-200.00M,264.00M,-136.00M,477.00M,0.00,477.00M,,,,,,-59.00M,,-221.00M,245.00M,,325.00M,34.00M,-6.00M,353.00M,,661.00M,0.00,,0.00,,,,AOR,Restated
2001-09,-103.00M,,,-37.00M,,,-37.00M,34.00M,34.00M,-150.00M,,,-549.00M,-510.00M,1.158B,-510.00M,1.158B,,1.182B,377.00M,,-68.00M,-68.00M,1.00M,-1.126B,0.00,-1.193B,,0.00,0.00,0.00,0.00,-7.00M,-7.00M,,,,,,-60.00M,,880.00M,813.00M,,324.00M,-3.00M,4.00M,325.00M,,0.00,0.00,,-7.00M,,,,AOR,
2001-06,226.00M,,,37.00M,,,37.00M,-11.00M,-11.00M,-21.00M,,,-601.00M,42.00M,398.00M,42.00M,398.00M,,746.00M,376.00M,,-42.00M,-42.00M,-11.00M,169.00M,-1.105B,-989.00M,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,-59.00M,,723.00M,664.00M,,277.00M,51.00M,-4.00M,324.00M,,0.00,0.00,,0.00,,,,AOR,
2001-03,240.00M,,,,,,,15.00M,15.00M,-39.00M,,,-135.00M,-113.00M,310.00M,-113.00M,310.00M,,225.00M,306.00M,,-31.00M,-31.00M,25.00M,-1.893B,,-1.899B,,400.00M,,400.00M,615.00M,0.00,615.00M,,,,,,-57.00M,,685.00M,1.643B,,227.00M,50.00M,0.00,277.00M,,615.00M,400.00M,,0.00,,,,AOR,
2000-12,273.00M,,,,,,,17.00M,17.00M,135.00M,,,1.763B,219.00M,421.00M,219.00M,421.00M,,-1.343B,845.00M,,-120.00M,-120.00M,,-966.00M,2.00M,-539.00M,,0.00,-396.00M,-396.00M,131.00M,0.00,131.00M,,,,,,-54.00M,,11.00M,-308.00M,,235.00M,-2.00M,-6.00M,227.00M,,131.00M,4.00M,,0.00,,,,AOR,Restated
2000-09,250.00M,,,-29.00M,,,-29.00M,19.00M,19.00M,85.00M,,,27.00M,-181.00M,402.00M,-181.00M,402.00M,,341.00M,693.00M,,-24.00M,-24.00M,,-524.00M,-285.00M,-833.00M,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,-51.00M,,221.00M,170.00M,,212.00M,30.00M,-7.00M,235.00M,,0.00,0.00,,0.00,,,,AOR,
2000-06,213.00M,,,29.00M,,,29.00M,7.00M,7.00M,43.00M,,,-202.00M,95.00M,191.00M,95.00M,191.00M,,471.00M,561.00M,,-4.00M,-4.00M,,-625.00M,-1.108B,-1.737B,,516.00M,400.00M,916.00M,382.00M,0.00,382.00M,,,,,,-52.00M,,-72.00M,1.174B,,216.00M,-2.00M,-2.00M,212.00M,,382.00M,516.00M,,0.00,,,,AOR,
2000-03,238.00M,,,,,,,20.00M,20.00M,135.00M,,,3.00M,-92.00M,116.00M,-92.00M,116.00M,,-60.00M,336.00M,,-52.00M,-52.00M,,997.00M,,945.00M,,,,,16.00M,-100.00M,-84.00M,,,,,,-53.00M,,-1.107B,-1.244B,,182.00M,37.00M,-3.00M,216.00M,,16.00M,,,-100.00M,,,,AOR,
1999-12,223.00M,,,,,,,10.00M,10.00M,137.00M,,,1.912B,-37.00M,470.00M,-37.00M,470.00M,,-1.763B,519.00M,,-104.00M,-104.00M,,-230.00M,-73.00M,-407.00M,,,,,5.00M,-309.00M,-304.00M,,,,,,2.598B,,-2.356B,-62.00M,,135.00M,50.00M,-3.00M,182.00M,,5.00M,,,-309.00M,,,,AOR,Restated
1999-09,186.00M,,,38.00M,,,38.00M,12.00M,12.00M,41.00M,,,-531.00M,220.00M,116.00M,220.00M,116.00M,,583.00M,329.00M,,-33.00M,-33.00M,,122.00M,21.00M,110.00M,,,,,50.00M,-136.00M,-86.00M,,,,,,-2.701B,,2.282B,-505.00M,,,-62.00M,0.00,135.00M,,50.00M,,,-136.00M,,,,,
1999-06,215.00M,,,-38.00M,,,-38.00M,21.00M,21.00M,-17.00M,,,-30.00M,226.00M,-129.00M,226.00M,-129.00M,,73.00M,224.00M,,-32.00M,-32.00M,,75.00M,,43.00M,,,,,-15.00M,-75.00M,-90.00M,,,,,,-51.00M,,-32.00M,-173.00M,,,93.00M,-1.00M,,,-15.00M,,,-75.00M,,,,,
1999-03,238.00M,,,,,,,15.00M,15.00M,5.00M,,,78.00M,-151.00M,-3.00M,-151.00M,-3.00M,,-454.00M,-118.00M,,-14.00M,-14.00M,,2.484B,,2.47B,,,,,15.00M,-76.00M,-61.00M,,,,,,-53.00M,,-2.25B,-2.364B,,123.00M,-15.00M,-3.00M,,,15.00M,,,-76.00M,,,,,
1998-12,301.00M,,,,,,,25.00M,25.00M,31.00M,,,1.196B,-47.00M,-588.00M,-47.00M,-588.00M,,-1.404B,149.00M,,339.00M,339.00M,,311.00M,155.00M,805.00M,,-250.00M,0.00,0.00,12.00M,-147.00M,-135.00M,,,,,,-51.00M,,-783.00M,-969.00M,,135.00M,-15.00M,3.00M,123.00M,,12.00M,-50.00M,,-147.00M,,,,AOR,Restated
1998-09,214.00M,,,174.00M,,,174.00M,21.00M,21.00M,-45.00M,,,-413.00M,59.00M,250.00M,59.00M,250.00M,,504.00M,455.00M,,-195.00M,-195.00M,,294.00M,,99.00M,,250.00M,0.00,0.00,37.00M,-248.00M,-211.00M,,,,,,-49.00M,,-303.00M,-563.00M,,,-10.00M,1.00M,135.00M,,37.00M,250.00M,,-248.00M,,,,,
1998-06,236.00M,,,-174.00M,,,-174.00M,21.00M,21.00M,-30.00M,,,-1.009B,298.00M,338.00M,298.00M,338.00M,,1.083B,127.00M,,-214.00M,-214.00M,,-4.00M,189.00M,-29.00M,,,-50.00M,-50.00M,-13.00M,-106.00M,-119.00M,,,,,,-50.00M,,189.00M,-30.00M,,,67.00M,-1.00M,,,-13.00M,,,-106.00M,,,,,
1998-03,264.00M,,,,,,,36.00M,36.00M,-23.00M,,,676.00M,-310.00M,,-310.00M,,,-777.00M,176.00M,,-38.00M,-38.00M,,-237.00M,-189.00M,-464.00M,,,-10.00M,-10.00M,13.00M,-46.00M,-33.00M,,,,,,-47.00M,,312.00M,222.00M,,140.00M,-64.00M,2.00M,,,13.00M,,,-46.00M,,,,,
1997-12,255.00M,,,252.00M,,,252.00M,26.00M,26.00M,58.00M,,,-1.992B,145.00M,,145.00M,,,2.157B,756.00M,,-47.00M,-47.00M,,-502.00M,,-549.00M,,0.00,9.00M,9.00M,3.00M,-29.00M,-26.00M,,,,,,-48.00M,,-175.00M,-240.00M,,,-29.00M,-5.00M,140.00M,,3.00M,0.00,,-29.00M,,,,AOR,
1997-09,299.00M,,,-179.00M,,,-179.00M,21.00M,21.00M,136.00M,,,363.00M,,,,,,-193.00M,447.00M,,-34.00M,-34.00M,,-262.00M,,-296.00M,,0.00,-6.00M,-6.00M,26.00M,-16.00M,10.00M,,,,,,-47.00M,,-65.00M,-108.00M,,,43.00M,0.00,,,26.00M,0.00,,-16.00M,,,,,
1997-06,574.00M,,,-36.00M,,,-36.00M,17.00M,17.00M,57.00M,,,-428.00M,212.00M,,212.00M,,,312.00M,496.00M,,-15.00M,-15.00M,,-792.00M,,-807.00M,,650.00M,-1.049B,-1.049B,-12.00M,,-12.00M,,,,,,-47.00M,,1.41B,302.00M,,,-11.00M,-2.00M,,,-12.00M,650.00M,,,,,,,
1997-03,204.00M,,,-37.00M,,,-37.00M,21.00M,21.00M,89.00M,,,675.00M,-212.00M,,-212.00M,,,-606.00M,346.00M,,-13.00M,-13.00M,,-582.00M,,-595.00M,,,637.00M,637.00M,12.00M,,12.00M,,,,,,-48.00M,,-316.00M,285.00M,,112.00M,34.00M,-2.00M,,,12.00M,,,,,,,,
1996-12,205.00M,,,-142.00M,,,-142.00M,33.00M,33.00M,53.00M,,,-1.484B,,,,,,1.779B,444.00M,,-30.00M,-30.00M,,-742.00M,,-772.00M,,-485.00M,0.00,0.00,,,,,,,,,-46.00M,,330.00M,284.00M,,,-48.00M,-4.00M,,,,-485.00M,,,,,,AOR,
1996-09,-543.00M,,,183.00M,,,183.00M,9.00M,9.00M,-339.00M,,,1.006B,,,,,,-121.00M,195.00M,,-11.00M,-11.00M,,-28.00M,,-39.00M,,1.00M,0.00,0.00,,,,,,,,,-47.00M,,-106.00M,-153.00M,,,4.00M,1.00M,,,,1.00M,,,,,,,
1996-06,143.00M,,,-22.00M,,,-22.00M,16.00M,16.00M,-161.00M,,,21.00M,,,,,,-190.00M,-193.00M,,-16.00M,-16.00M,,475.00M,,459.00M,,484.00M,95.00M,95.00M,,,,,,,,,-47.00M,,-314.00M,-266.00M,,,1.00M,1.00M,,,,484.00M,,,,,,,
1996-03,96.00M,,,-19.00M,,,-19.00M,23.00M,23.00M,-2.00M,,,571.00M,,,,,,-121.00M,548.00M,,-12.00M,-12.00M,,-671.00M,,-683.00M,,,-481.00M,-481.00M,,,,,,,,,,,675.00M,194.00M,,95.00M,60.00M,1.00M,,,,,,,,,,,
1995-12,176.00M,,,,,,,20.00M,20.00M,-6.00M,,,263.00M,-116.00M,168.00M,-116.00M,168.00M,,-19.00M,332.00M,,,,,747.00M,57.00M,728.00M,,,-154.00M,-154.00M,,,,,,,,,,,-906.00M,-1.06B,,,10.00M,,,,,,,,,,,,
1995-09,158.00M,,,,,,,27.00M,27.00M,25.00M,,,-138.00M,28.00M,124.00M,28.00M,124.00M,,259.00M,331.00M,,,,,-964.00M,-19.00M,-983.00M,,,0.00,0.00,,,,,,,,,,,615.00M,615.00M,,,-37.00M,,,,,,,,,,,,
1995-06,90.00M,,,,,,,20.00M,20.00M,-96.00M,,,-611.00M,157.00M,273.00M,157.00M,273.00M,,773.00M,176.00M,,,,,-95.00M,-24.00M,-119.00M,,,11.00M,11.00M,,,,,,,,,,,-41.00M,-30.00M,,,27.00M,,,,,,,,,,,,
1995-03,138.00M,,,,,,,18.00M,18.00M,21.00M,,,-104.00M,-69.00M,239.00M,-69.00M,239.00M,,182.00M,255.00M,,,,,-1.209B,-14.00M,-1.223B,,,1.00M,1.00M,,,,,,,,,,,1.007B,1.008B,,50.00M,40.00M,,,,,,,,,,,,
