,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,TotalCurrentAssets,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,NetLoanAssets,LongTermInvestments,LongTermDeferredTaxAssets,TotalLongTermAssets,TotalAssets,,TotalPayables,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,UnpaidLossReserve,UnearnedPremiumonInsuranceContract,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2002-03,351.00M,2.116B,2.467B,2.579B,5.141B,7.72B,10.19B,,1.725B,,1.725B,3.288B,43.77B,747.00M,51.85B,184.94B,,,,,615.00M,615.00M,615.00M,615.00M,1.965B,1.965B,19.77B,3.649B,,1.425B,26.81B,175.90B,,2.00M,6.38B,2.416B,37.00M,,278.00M,9.039B,,AOR,
2001-12,,,,2.432B,,2.432B,2.432B,,,1.694B,1.694B,3.317B,,,58.02B,181.59B,,,,,599.00M,599.00M,599.00M,599.00M,2.775B,2.775B,,3.436B,,,6.211B,172.58B,,2.00M,6.152B,2.362B,37.00M,,,9.013B,,AOR,Restated
2001-09,325.00M,1.973B,2.298B,2.477B,5.091B,7.568B,9.866B,,1.683B,,1.683B,3.715B,42.23B,461.00M,50.46B,170.61B,,,,,234.00M,234.00M,234.00M,234.00M,2.265B,2.265B,19.54B,3.458B,,1.444B,26.71B,161.85B,,2.00M,6.072B,1.945B,37.00M,,784.00M,8.766B,,AOR,
2001-06,324.00M,1.869B,2.193B,2.518B,4.51B,7.028B,9.221B,,1.701B,,1.701B,3.728B,40.56B,511.00M,48.92B,177.93B,,,,,234.00M,234.00M,234.00M,234.00M,2.263B,2.263B,18.66B,3.385B,,1.444B,25.75B,169.45B,,2.00M,6.234B,1.932B,30.00M,,341.00M,8.479B,,AOR,
2001-03,277.00M,1.696B,1.973B,2.342B,4.361B,6.703B,8.676B,,,,,3.658B,39.18B,502.00M,46.63B,165.51B,,,,,234.00M,234.00M,234.00M,234.00M,2.263B,2.263B,16.32B,3.256B,,1.444B,23.29B,157.06B,,2.00M,6.068B,1.884B,30.00M,,522.00M,8.446B,,AOR,
2000-12,227.00M,1.511B,1.738B,2.295B,4.579B,6.874B,8.612B,,1.202B,,1.202B,3.61B,37.06B,682.00M,44.39B,171.53B,,,,,235.00M,235.00M,235.00M,235.00M,1.862B,1.862B,15.85B,3.093B,,1.243B,22.05B,164.07B,,2.00M,5.887B,1.686B,480.00M,,369.00M,7.464B,,AOR,Restated
2000-09,235.00M,1.415B,1.65B,2.267B,4.519B,6.786B,8.436B,,,,,3.598B,36.29B,1.271B,44.01B,177.25B,,,,,430.00M,430.00M,430.00M,430.00M,2.062B,2.062B,22.98B,3.081B,0.00,1.243B,29.37B,170.50B,,2.00M,5.671B,1.68B,533.00M,,-76.00M,6.744B,,AOR,
2000-06,212.00M,1.316B,1.528B,2.171B,4.419B,6.59B,8.118B,,,,,3.581B,2.58B,1.314B,42.87B,171.90B,,,,,431.00M,431.00M,431.00M,431.00M,2.061B,2.061B,22.71B,2.973B,0.00,1.243B,28.99B,165.62B,,2.00M,5.475B,1.686B,627.00M,,-248.00M,6.288B,,AOR,
2000-03,216.00M,952.00M,1.168B,2.119B,4.537B,6.656B,7.824B,,,,,3.549B,35.19B,1.257B,41.51B,172.40B,,,,,31.00M,31.00M,31.00M,31.00M,1.548B,1.548B,15.68B,2.915B,457.00M,1.25B,21.39B,166.27B,,2.00M,5.313B,1.556B,1.024B,,-172.00M,5.675B,,AOR,
1999-12,,,,2.071B,,2.071B,2.071B,,,,,4.222B,,,48.28B,167.05B,,,,,31.00M,31.00M,31.00M,31.00M,1.548B,1.548B,,2.777B,1.679B,,4.325B,159.91B,,2.00M,5.127B,1.551B,942.00M,,,5.466B,,AOR,Restated
1999-09,,,,2.131B,,2.131B,2.131B,,,,,4.283B,,,48.16B,153.55B,,,,,31.00M,31.00M,31.00M,31.00M,1.548B,1.548B,16.68B,2.715B,1.683B,,20.95B,146.10B,,,4.957B,,,,,5.773B,,,
1999-06,,,,2.058B,,2.058B,2.058B,,,,,4.529B,,,49.09B,157.26B,,,,,31.00M,31.00M,31.00M,31.00M,1.548B,1.548B,17.07B,2.651B,1.683B,,21.27B,149.58B,,,4.824B,,,,,5.997B,,,
1999-03,,,,4.718B,,4.718B,4.718B,,,,,4.701B,,,47.01B,150.96B,,,,,31.00M,31.00M,31.00M,31.00M,1.548B,1.548B,17.13B,2.587B,1.709B,,21.26B,142.92B,,,4.661B,,,,,6.33B,,,
1998-12,123.00M,612.00M,735.00M,,,6.811B,7.546B,,,,,,37.01B,1.085B,138.03B,150.63B,,,,,31.00M,31.00M,31.00M,31.00M,1.548B,1.548B,19.77B,2.478B,465.00M,1.25B,25.05B,143.74B,,2.00M,4.474B,1.591B,455.00M,,811.00M,6.423B,,AOR,Restated
1998-09,,,,2.222B,,2.222B,2.222B,,,,,3.745B,,,56.20B,141.06B,,,,,231.00M,231.00M,231.00M,231.00M,2.732B,2.732B,20.82B,3.243B,468.00M,,26.79B,134.21B,,,4.224B,,,,,6.387B,,,
1998-06,,,,2.215B,,2.215B,2.215B,,,,,3.77B,,,56.29B,144.95B,,,,,231.00M,231.00M,231.00M,231.00M,1.482B,1.482B,21.08B,3.258B,440.00M,,25.82B,138.07B,,,891.00M,,,,,6.437B,,,
1998-03,,,,2.167B,,2.167B,2.167B,,,,,3.764B,,,56.26B,141.41B,,,,,281.00M,281.00M,281.00M,281.00M,2.482B,2.482B,23.69B,3.117B,411.00M,,29.29B,134.66B,,,3.873B,,,,,6.341B,,,
1997-12,,,,1.873B,,1.873B,1.873B,,,,,3.759B,,,55.56B,131.74B,,,,,291.00M,291.00M,291.00M,291.00M,2.482B,2.482B,,2.895B,397.00M,,5.377B,125.26B,,,3.658B,,,,,6.085B,,AOR,
1997-09,,,,,,,,,,,,3.75B,,,57.79B,126.83B,,,,,82.00M,82.00M,82.00M,82.00M,1.677B,1.677B,21.27B,2.941B,373.00M,,25.89B,120.65B,,,3.45B,,,,,5.808B,,,
1997-06,,,,,,,,,,,,3.757B,,,57.43B,121.12B,,,,,88.00M,88.00M,88.00M,88.00M,1.682B,1.682B,21.38B,2.959B,324.00M,,26.02B,115.44B,,,3.199B,,,,,5.357B,,,
1997-03,,,,,,,,,,,,3.757B,,,55.70B,111.52B,,,,,1.137B,1.137B,1.137B,1.137B,1.025B,1.025B,21.60B,2.936B,,,25.56B,107.14B,,,2.672B,,,,,4.381B,,,
1996-12,,,,,,,,,,,,3.839B,,,54.85B,108.84B,,,,,500.00M,500.00M,500.00M,500.00M,1.032B,1.032B,,2.797B,,,3.829B,104.32B,,,2.515B,,,,,4.52B,,AOR,
1996-09,,,,,,,,,,,,3.898B,,,54.42B,104.02B,,,,,500.00M,500.00M,500.00M,500.00M,1.023B,1.023B,22.51B,2.857B,,,26.39B,99.95B,,,2.356B,,,,,4.068B,,,
1996-06,,,,,,,,,,,,3.753B,,,53.75B,100.21B,,,,,500.00M,500.00M,500.00M,500.00M,1.021B,1.021B,22.70B,2.846B,,,26.57B,95.83B,,,2.946B,,,,,4.386B,,,
1996-03,,,,,,,,,,,,3.883B,,,54.36B,96.99B,,,,,405.00M,405.00M,405.00M,405.00M,1.02B,1.02B,22.84B,2.907B,,,26.76B,92.59B,,,2.851B,,,,,4.397B,,,
1995-12,,,,,,,,,,,,3.38B,,,54.06B,93.86B,,,,,886.00M,886.00M,886.00M,886.00M,1.022B,1.022B,22.77B,2.766B,,,26.56B,89.15B,,,2.802B,,,,,4.702B,,,
1995-09,,,,,,,,,,,,,,,51.09B,85.89B,,,,,914.00M,914.00M,914.00M,914.00M,597.00M,597.00M,,2.837B,,,3.434B,81.23B,,,3.015B,,,,,4.661B,,,
1995-06,,,,,,,,,,,,,,,50.16B,82.42B,,,,,915.00M,915.00M,915.00M,915.00M,598.00M,598.00M,,2.821B,,,3.419B,77.93B,,,2.857B,,,,,4.494B,,,
1995-03,,,,,,,,,,,,,,,48.84B,77.72B,,,,,903.00M,903.00M,903.00M,903.00M,599.00M,599.00M,,2.886B,,,3.485B,74.03B,,,2.767B,,,,,3.693B,,,
