,NetIncome,Gain/LossonSaleBusiness,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2007-06,240.00M,,-45.00M,-69.00M,40.00M,9.00M,49.00M,49.00M,134.00M,107.00M,-417.00M,-61.00M,38.00M,-99.00M,450.00M,,-355.00M,-27.00M,,17.00M,,-47.00M,-47.00M,23.00M,633.00M,-499.00M,110.00M,,137.00M,3.00M,140.00M,26.00M,-209.00M,-183.00M,,,,,-44.00M,,,-87.00M,,351.00M,40.00M,15.00M,406.00M,,26.00M,410.00M,-311.00M,-209.00M,,,,AOR,Restated
2007-03,213.00M,,,,40.00M,10.00M,50.00M,50.00M,,,853.00M,61.00M,1.00M,-362.00M,,,,-300.00M,,816.00M,,-35.00M,-35.00M,-190.00M,-495.00M,499.00M,-221.00M,,-173.00M,-41.00M,-214.00M,11.00M,-283.00M,-272.00M,,,,,-44.00M,,,-530.00M,,281.00M,65.00M,5.00M,351.00M,,11.00M,250.00M,-423.00M,-283.00M,,,,AOR,Restated
2006-12,223.00M,,,,100.00M,7.00M,107.00M,107.00M,,,-90.00M,-602.00M,99.00M,271.00M,,,295.00M,63.00M,,144.00M,,-56.00M,-56.00M,656.00M,-444.00M,,156.00M,,164.00M,-227.00M,-63.00M,4.00M,-374.00M,-370.00M,,,,,-46.00M,,,-479.00M,,461.00M,-179.00M,-1.00M,281.00M,,4.00M,186.00M,-22.00M,-374.00M,,,,AOR,Restated
2006-09,106.00M,,,,31.00M,13.00M,44.00M,44.00M,,,-300.00M,-18.00M,-29.00M,-336.00M,-95.00M,-234.00M,794.00M,82.00M,,-68.00M,,-25.00M,-25.00M,-24.00M,135.00M,,86.00M,,-8.00M,247.00M,239.00M,0.00,-168.00M,-168.00M,,,,,-47.00M,,,24.00M,,425.00M,42.00M,-6.00M,461.00M,,0.00,0.00,-8.00M,-168.00M,,,,AOR,Restated
2006-06,193.00M,,,,35.00M,12.00M,47.00M,47.00M,,,-156.00M,74.00M,-30.00M,242.00M,95.00M,234.00M,-504.00M,111.00M,,195.00M,,-39.00M,-39.00M,-89.00M,112.00M,,-16.00M,,45.00M,17.00M,62.00M,-7.00M,-212.00M,-219.00M,,,,,-48.00M,,,-205.00M,,451.00M,-26.00M,0.00,425.00M,,-7.00M,378.00M,-330.00M,-212.00M,,,,AOR,Restated
2006-03,198.00M,,,,35.00M,11.00M,46.00M,46.00M,,,465.00M,-9.00M,-40.00M,-8.00M,,,45.00M,-12.00M,,697.00M,,-32.00M,-32.00M,1.00M,-385.00M,,-416.00M,,-94.00M,-3.00M,-97.00M,53.00M,-212.00M,-159.00M,,,,,-48.00M,,,-304.00M,,476.00M,-23.00M,-2.00M,451.00M,,53.00M,3.00M,-100.00M,-212.00M,,,,AOR,Restated
2005-12,222.00M,,,,143.00M,-38.00M,105.00M,105.00M,,,-193.00M,40.00M,4.00M,144.00M,,,-211.00M,-23.00M,,25.00M,,-39.00M,-39.00M,332.00M,-1.191B,731.00M,-167.00M,,261.00M,-34.00M,227.00M,-15.00M,25.00M,10.00M,,,,,-48.00M,,50.00M,189.00M,,433.00M,47.00M,-4.00M,476.00M,,-15.00M,264.00M,-3.00M,-25.00M,,,,AOR,Restated
2005-09,122.00M,,,,-21.00M,27.00M,6.00M,6.00M,,,-102.00M,-28.00M,18.00M,-222.00M,73.00M,-185.00M,629.00M,285.00M,,311.00M,,-36.00M,-36.00M,-6.00M,513.00M,-731.00M,-260.00M,,-2.00M,19.00M,17.00M,79.00M,-50.00M,29.00M,,,,,-48.00M,,-50.00M,-52.00M,,419.00M,-1.00M,15.00M,433.00M,,79.00M,1.00M,-3.00M,-50.00M,,,,AOR,Restated
2005-06,191.00M,,,,50.00M,48.00M,98.00M,98.00M,,,-373.00M,-19.00M,-22.00M,226.00M,-73.00M,185.00M,-455.00M,-158.00M,,-242.00M,,-24.00M,-24.00M,-24.00M,463.00M,,415.00M,,-249.00M,20.00M,-229.00M,7.00M,,7.00M,,,,,-49.00M,,,-271.00M,,526.00M,-98.00M,-9.00M,419.00M,,7.00M,2.00M,-251.00M,,,,,AOR,Restated
2005-03,200.00M,,,,55.00M,13.00M,68.00M,68.00M,,,565.00M,,,-41.00M,,,,-41.00M,,792.00M,,-27.00M,-27.00M,-19.00M,-711.00M,,-757.00M,,-27.00M,0.00,-27.00M,5.00M,,5.00M,,,,,-48.00M,,,-70.00M,,570.00M,-35.00M,-9.00M,526.00M,,5.00M,302.00M,-329.00M,,,,,AOR,Restated
2004-12,81.00M,,,,65.00M,11.00M,76.00M,76.00M,,,269.00M,,,-133.00M,,,,-133.00M,,293.00M,,-37.00M,-37.00M,64.00M,-224.00M,,-197.00M,,198.00M,-62.00M,136.00M,5.00M,,5.00M,,0.00,0.00,,-48.00M,,,42.00M,,396.00M,138.00M,36.00M,570.00M,,5.00M,202.00M,-53.00M,0.00,,,,AOR,
2004-09,122.00M,,,,62.00M,16.00M,78.00M,78.00M,,,28.00M,,,-23.00M,,,,-23.00M,,205.00M,,-2.00M,-2.00M,30.00M,-207.00M,,-179.00M,,-102.00M,9.00M,-93.00M,4.00M,,4.00M,,0.00,0.00,,-48.00M,,,-137.00M,,510.00M,-111.00M,-3.00M,396.00M,,4.00M,114.00M,-220.00M,0.00,,,,AOR,Restated
2004-06,173.00M,,,,69.00M,15.00M,84.00M,84.00M,,,-368.00M,,,-5.00M,,,,-5.00M,,-116.00M,,-18.00M,-18.00M,-42.00M,185.00M,,125.00M,,-4.00M,51.00M,47.00M,9.00M,,9.00M,,,,,-48.00M,,,8.00M,,491.00M,17.00M,2.00M,510.00M,,9.00M,4.00M,43.00M,,,,,AOR,Restated
2004-03,170.00M,,,,57.00M,14.00M,71.00M,71.00M,,,522.00M,,,39.00M,,,,39.00M,,802.00M,,-23.00M,-23.00M,1.00M,-650.00M,,-672.00M,,-89.00M,-47.00M,-136.00M,5.00M,,5.00M,,,,,-48.00M,,,-179.00M,,540.00M,-49.00M,0.00,491.00M,,5.00M,3.00M,-139.00M,,,,,AOR,Restated
2003-12,203.00M,,,,68.00M,20.00M,88.00M,88.00M,,,-141.00M,,,60.00M,,,,60.00M,,210.00M,,-40.00M,-40.00M,3.00M,-38.00M,,-75.00M,,-3.00M,-114.00M,-117.00M,0.00,0.00,0.00,,,,,-48.00M,,-10.00M,-175.00M,,570.00M,-40.00M,10.00M,540.00M,,0.00,-34.00M,-83.00M,0.00,,,,AOR,
2003-09,150.00M,,,,64.00M,15.00M,79.00M,79.00M,,,760.00M,-318.00M,,0.00,-318.00M,,,-636.00M,,353.00M,,-40.00M,-40.00M,0.00,122.00M,-42.00M,40.00M,,-121.00M,-107.00M,-228.00M,0.00,0.00,0.00,,,,,-47.00M,,-22.00M,-297.00M,,470.00M,96.00M,4.00M,570.00M,,0.00,-107.00M,-121.00M,0.00,,,,AOR,Restated
2003-06,146.00M,,,,64.00M,15.00M,79.00M,79.00M,,,-907.00M,318.00M,,15.00M,318.00M,,,651.00M,,-31.00M,,-53.00M,-53.00M,-35.00M,91.00M,42.00M,45.00M,,-34.00M,138.00M,104.00M,0.00,1.00M,1.00M,,,,,-48.00M,,-16.00M,41.00M,,410.00M,55.00M,5.00M,470.00M,,0.00,263.00M,-153.00M,1.00M,,,,AOR,Restated
2003-03,152.00M,,,,55.00M,13.00M,68.00M,68.00M,,,560.00M,,,,,,,,,780.00M,,-52.00M,-52.00M,24.00M,-589.00M,,-617.00M,,-150.00M,6.00M,-144.00M,0.00,-7.00M,-7.00M,,,,,-47.00M,,-41.00M,-239.00M,,484.00M,-76.00M,2.00M,410.00M,,0.00,0.00,-150.00M,-7.00M,,,,AOR,Restated
2002-12,178.00M,,,,,,74.00M,74.00M,,,360.00M,-206.00M,,-29.00M,-206.00M,,,-441.00M,,171.00M,,-82.00M,-82.00M,-71.00M,-374.00M,,-527.00M,,-194.00M,-206.00M,-400.00M,578.00M,-97.00M,481.00M,,,,,-47.00M,,-127.00M,-93.00M,,927.00M,-449.00M,6.00M,484.00M,,578.00M,353.00M,-547.00M,-97.00M,,,,AOR,Restated
2002-09,128.00M,,,,-101.00M,-25.00M,62.00M,62.00M,,,269.00M,-14.00M,,13.00M,-14.00M,,,-15.00M,,444.00M,,-90.00M,-90.00M,2.00M,146.00M,,58.00M,,45.00M,28.00M,73.00M,6.00M,,6.00M,,,,,-62.00M,,-352.00M,-335.00M,,761.00M,167.00M,-1.00M,927.00M,,6.00M,45.00M,,,,,,AOR,
2002-06,56.00M,,,,54.00M,14.00M,68.00M,68.00M,,,-95.00M,220.00M,,-55.00M,220.00M,,,385.00M,,414.00M,,-50.00M,-50.00M,-7.00M,-66.00M,,-123.00M,,25.00M,58.00M,83.00M,23.00M,-13.00M,10.00M,,,,,-62.00M,,-144.00M,-113.00M,,569.00M,178.00M,14.00M,761.00M,,23.00M,25.00M,43.00M,-13.00M,,,,AOR,
2002-03,104.00M,,,,47.00M,11.00M,58.00M,58.00M,,,25.00M,,,4.00M,,,,4.00M,,191.00M,,-56.00M,-56.00M,-35.00M,86.00M,,-5.00M,,96.00M,-43.00M,53.00M,,13.00M,13.00M,,,,,-62.00M,,-59.00M,-55.00M,,439.00M,131.00M,-1.00M,569.00M,,,96.00M,-43.00M,13.00M,,,,AOR,
2001-12,83.00M,,,,-134.00M,-118.00M,87.00M,87.00M,,,-319.00M,,,30.00M,,,,30.00M,,-119.00M,,-115.00M,-115.00M,-6.00M,-898.00M,1.053B,34.00M,,388.00M,-279.00M,109.00M,,-30.00M,19.00M,,,,,-62.00M,,-40.00M,26.00M,,498.00M,-59.00M,0.00,439.00M,,,400.00M,-12.00M,-30.00M,,,,AOR,Restated
2001-09,72.00M,,,,44.00M,40.00M,84.00M,84.00M,,,232.00M,,,-6.00M,,,,-6.00M,,382.00M,,-54.00M,-54.00M,-31.00M,604.00M,-891.00M,-372.00M,,-103.00M,-11.00M,-114.00M,,11.00M,11.00M,,,,,-61.00M,,-116.00M,-280.00M,,765.00M,-270.00M,3.00M,498.00M,,,0.00,-103.00M,11.00M,,,,AOR,
2001-06,29.00M,,,,46.00M,39.00M,85.00M,85.00M,,,-83.00M,,,-67.00M,,,,-67.00M,,-36.00M,,-55.00M,-55.00M,-26.00M,151.00M,-162.00M,-92.00M,,-48.00M,147.00M,99.00M,,1.00M,1.00M,,,,,-60.00M,,-30.00M,10.00M,,886.00M,-118.00M,-3.00M,765.00M,,,-15.00M,-33.00M,1.00M,,,,AOR,
2001-03,19.00M,,,,44.00M,39.00M,83.00M,83.00M,,,250.00M,,,-20.00M,,,,-20.00M,,332.00M,,-57.00M,-57.00M,-44.00M,-85.00M,,-186.00M,,15.00M,-252.00M,-237.00M,,18.00M,18.00M,,,,,-58.00M,,-99.00M,-376.00M,,1.118B,-230.00M,-2.00M,886.00M,,,15.00M,0.00,18.00M,,,,AOR,
2000-12,90.00M,,,,48.00M,39.00M,87.00M,87.00M,,,8.00M,,,20.00M,,,,20.00M,,205.00M,,-75.00M,-75.00M,-25.00M,308.00M,,208.00M,,-44.00M,-167.00M,-211.00M,,2.00M,2.00M,,,,,-58.00M,,-9.00M,-276.00M,,980.00M,137.00M,1.00M,1.118B,,,-167.00M,-44.00M,2.00M,,,,AOR,Restated
2000-09,139.00M,,,,43.00M,38.00M,81.00M,81.00M,-62.00M,,266.00M,,,-152.00M,,,,-152.00M,,272.00M,,-31.00M,-31.00M,-19.00M,-191.00M,,-241.00M,,-26.00M,77.00M,51.00M,,2.00M,2.00M,,,,,-57.00M,,25.00M,21.00M,,930.00M,52.00M,-2.00M,980.00M,,,46.00M,5.00M,2.00M,,,,AOR,
2000-06,129.00M,,,,44.00M,39.00M,83.00M,83.00M,45.00M,,-293.00M,,,152.00M,,,,152.00M,,116.00M,,-14.00M,-14.00M,-6.00M,-16.00M,,-36.00M,,266.00M,60.00M,326.00M,,-40.00M,-40.00M,,,,,-57.00M,,-146.00M,83.00M,,774.00M,163.00M,-7.00M,930.00M,,,341.00M,-15.00M,-40.00M,,,,AOR,
2000-03,123.00M,,,,44.00M,38.00M,82.00M,82.00M,17.00M,,-201.00M,,,125.00M,,,,125.00M,,146.00M,,-59.00M,-59.00M,-35.00M,26.00M,,-68.00M,,-16.00M,41.00M,25.00M,,-23.00M,-23.00M,,,,,-54.00M,,-89.00M,-141.00M,,837.00M,-63.00M,0.00,774.00M,,,41.00M,-16.00M,-23.00M,,,,AOR,
1999-12,13.00M,,,,,,,,,,-359.00M,,,,,,,,,-16.00M,,297.00M,297.00M,,298.00M,,200.00M,,-105.00M,80.00M,-25.00M,,22.00M,-44.00M,,,,,-54.00M,,-92.00M,-215.00M,,871.00M,-31.00M,-3.00M,837.00M,,,658.00M,-355.00M,22.00M,,,,AOR,Restated
1999-09,138.00M,,,,,,,,,,-17.00M,,,,,,,,,121.00M,,-257.00M,-257.00M,,-73.00M,,-330.00M,,3.00M,202.00M,205.00M,,-9.00M,-9.00M,,,,,-55.00M,,-100.00M,41.00M,,1.038B,-168.00M,1.00M,871.00M,,,-252.00M,255.00M,-9.00M,,,,,
1999-06,151.00M,,,,,,,,,,-57.00M,,,,,,,,,94.00M,,-168.00M,-168.00M,,-44.00M,,-212.00M,,257.00M,1.00M,258.00M,,-12.00M,-12.00M,,,,,-53.00M,,40.00M,233.00M,,927.00M,115.00M,-4.00M,1.038B,,,252.00M,5.00M,-12.00M,,,,,
1999-03,50.00M,,,,,,,,,,213.00M,,,,,,,,,263.00M,,-143.00M,-143.00M,,-8.00M,,-151.00M,,-5.00M,125.00M,120.00M,,-1.00M,-1.00M,,,,,-48.00M,,22.00M,93.00M,,723.00M,205.00M,-1.00M,927.00M,,,,-5.00M,-1.00M,,,,,
1998-12,139.00M,,,,,,,,,,-262.00M,,,,,,,,,157.00M,,193.00M,193.00M,,4.552B,,-280.00M,,-7.00M,-209.00M,-216.00M,-10.00M,,-28.00M,,,,,-48.00M,,-22.00M,-314.00M,,1.171B,-437.00M,-11.00M,723.00M,,-10.00M,,-7.00M,,,,,AOR,Restated
1998-09,124.00M,,,,,,,,,,-201.00M,,,,,,,,,-77.00M,,-125.00M,-125.00M,,140.00M,,15.00M,,-14.00M,122.00M,108.00M,-5.00M,,-5.00M,,,,,-54.00M,,147.00M,196.00M,,1.034B,134.00M,3.00M,1.171B,,-5.00M,,-14.00M,,,,,,
1998-06,139.00M,,,,,,,,,,389.00M,,,,,,,,,528.00M,,-229.00M,-229.00M,,-496.00M,,-725.00M,,6.00M,256.00M,262.00M,3.00M,,3.00M,,,,,-48.00M,,4.00M,221.00M,,1.01B,24.00M,0.00,1.034B,,3.00M,,6.00M,,,,,,
1998-03,139.00M,,,,,,,,,,117.00M,,,,,,,,,256.00M,,-139.00M,-139.00M,,-226.00M,,-365.00M,,-19.00M,-89.00M,-108.00M,12.00M,,12.00M,,,,,-44.00M,,169.00M,29.00M,,1.085B,-80.00M,5.00M,1.01B,,12.00M,,-19.00M,,,,,,
1997-12,113.10M,,,,,,,,,,58.90M,,,,,,,,,312.00M,,-105.60M,-105.60M,,-398.70M,-304.30M,-808.60M,,-1.60M,172.00M,170.40M,-2.70M,-136.00M,-138.70M,-800.00M,,-800.00M,,-46.50M,,979.60M,164.80M,,1.404B,-331.80M,12.50M,1.085B,,-802.70M,,-1.60M,-136.00M,,,,AOR,
1997-09,101.00M,,,,,,,,,,76.70M,,,,,,,,,177.70M,,-11.70M,-11.70M,,-82.80M,-55.90M,-150.40M,,-0.60M,112.00M,111.40M,1.80M,,1.80M,0.00,,0.00,,-46.60M,,2.10M,68.70M,,1.332B,96.00M,-23.20M,1.404B,,1.80M,,-0.60M,,,,,,
1997-06,84.20M,,,,,,,,,,-97.70M,,,,,,,,,-13.50M,,-0.10M,-0.10M,,-843.20M,735.00M,-108.30M,,-20.70M,134.00M,113.30M,21.90M,-10.80M,11.10M,800.00M,,800.00M,,-46.50M,,-689.80M,188.10M,,1.270B,66.30M,-4.30M,1.332B,,821.90M,,-20.70M,-10.80M,,,,,
1997-03,0.70M,,,,,,,,,,307.10M,,,,,,,,,307.80M,,-28.60M,-28.60M,,1.010B,-1.290B,-308.70M,,-51.10M,124.00M,72.90M,,10.80M,10.80M,,,,,-42.40M,,837.10M,878.40M,,410.10M,877.50M,-18.00M,1.270B,,,,-51.10M,10.80M,,,,,
1996-12,46.40M,,,,,,,,,,-205.00M,,,,,,,,,-20.60M,,-18.10M,-18.10M,,207.10M,-225.20M,-36.20M,,-1.90M,154.10M,152.20M,14.20M,17.90M,32.10M,14.20M,,14.20M,,-43.50M,,81.90M,236.90M,,226.60M,180.10M,3.80M,410.00M,,28.40M,,-1.90M,17.90M,,,,AOR,
1996-09,83.80M,,,,,,,,,,-5.60M,,,,,,,,,78.20M,,-21.80M,-21.80M,,152.30M,-20.70M,109.80M,,-1.70M,-30.20M,-31.90M,-14.20M,6.20M,-8.00M,-14.20M,,-14.20M,,-43.20M,,32.00M,-65.30M,,103.50M,122.70M,0.20M,226.60M,,-28.40M,,-1.70M,6.20M,,,,,
1996-06,65.30M,,,,,,,,,,-10.60M,,,,,,,,,54.70M,,-19.20M,-19.20M,,-971.30M,1.281B,290.60M,,-0.30M,-264.40M,-264.70M,14.10M,-54.20M,-40.10M,14.10M,,14.10M,,-44.10M,,66.90M,-267.90M,,25.50M,77.40M,0.60M,103.50M,,28.20M,,-0.30M,-54.20M,,,,,
1996-03,96.50M,,,,,,,,,,146.20M,,,,,,,,,242.70M,,-15.90M,-15.90M,,-104.10M,-7.20M,-127.20M,,-2.10M,1.50M,-0.60M,-14.10M,12.10M,-2.00M,-14.10M,,-14.10M,,-42.20M,,-145.80M,-204.70M,,115.30M,-89.20M,-0.60M,25.50M,,-28.20M,,-2.10M,12.10M,,,,,
1995-12,-6.20M,,,,,,,,,,107.20M,,,,,,,,,170.20M,,-16.00M,-16.00M,,-2.997B,3.020B,-102.80M,,8.70M,30.50M,39.20M,,78.40M,78.40M,,,,,-43.10M,,-69.90M,-70.80M,,124.20M,-3.40M,-5.50M,115.30M,,,110.90M,6.60M,3.00M,,,,AOR,
1995-09,100.00M,,,,,,,,,,-33.50M,,,,,,,,,66.50M,,-26.50M,-26.50M,,-141.10M,-7.80M,-175.40M,,-0.50M,95.20M,94.70M,,-76.80M,-76.80M,,,,,-43.90M,,-7.20M,-33.20M,,268.40M,-142.10M,-2.10M,124.20M,,,-0.60M,0.10M,-76.80M,,,,,
1995-06,98.70M,,,,,,,,,,-16.40M,,,,,,,,,82.30M,,-31.10M,-31.10M,,20.50M,-3.70M,-14.30M,,-4.20M,-16.90M,-21.10M,,-45.70M,-45.70M,,,,,-42.90M,,-202.80M,-312.50M,,517.70M,-244.50M,-4.80M,268.40M,,,3.30M,-7.50M,-45.70M,,,,,
1995-03,111.20M,,,,,,,,,,179.40M,,,,,,,,,290.60M,,-24.30M,-24.30M,,-244.40M,-63.00M,-331.70M,,3.60M,,3.60M,,-2.30M,-2.30M,,,,,-41.40M,,79.80M,39.70M,,508.80M,-1.40M,10.30M,517.70M,,,15.30M,-11.70M,-2.30M,,,,,
1994-12,86.00M,,,,,,,,,,-240.40M,,,,,,,,,177.80M,,-20.30M,-20.30M,,105.80M,20.80M,84.30M,,-1.90M,-2.50M,-4.40M,89.50M,,15.80M,31.20M,,-27.10M,,-41.60M,,-12.80M,-70.10M,,,,-4.80M,508.80M,,120.70M,0.00,-1.90M,,,,,AOR,
1994-09,86.70M,,,,,,,,,,24.20M,,,,,,,,,110.90M,,-14.00M,-14.00M,,-286.20M,0.00,-300.20M,,-1.10M,79.20M,78.10M,-0.20M,,-0.20M,-0.20M,,-0.20M,,-41.60M,,128.60M,164.70M,,,,4.90M,,,-0.40M,0.00,-1.10M,,,,,,
1994-06,88.20M,,,,,,,,,,59.40M,,,,,,,,,147.60M,,-25.40M,-25.40M,,-90.00M,-10.70M,-126.10M,,0.00,3.00M,3.00M,-2.60M,,-2.60M,-2.60M,,-2.60M,,-40.20M,,54.50M,12.10M,,,,6.00M,,,-5.20M,0.00,0.00,,,,,,
1994-03,99.10M,,,,,,,,,,160.40M,,,,,,,,,259.50M,,-17.20M,-17.20M,,7.80M,-10.10M,-19.50M,,-25.30M,-4.40M,-29.70M,-28.40M,,-28.40M,-28.40M,,-28.40M,,-38.90M,,24.80M,-100.60M,,163.80M,,-1.50M,,,-56.80M,99.70M,-125.00M,,,,,,
1993-12,77.90M,,,,,,,,,,79.00M,,,,,,,,,156.90M,,-15.10M,-15.10M,,31.50M,-28.50M,-12.10M,,0.10M,-90.60M,-90.50M,-0.20M,,11.20M,7.10M,,7.10M,,-36.90M,,4.10M,-105.00M,,,,0.30M,,,6.90M,0.00,0.10M,,,,,,
1993-09,77.80M,,,,,,,,,,14.10M,,,,,,,,,91.90M,,-12.30M,-12.30M,,-290.40M,-5.50M,-308.20M,,-79.00M,119.10M,40.10M,-3.40M,,-3.40M,-3.40M,,-3.40M,,-39.10M,,185.60M,179.80M,,,,-1.20M,,,-6.80M,0.00,-79.00M,,,,,,
1993-06,79.10M,,,,,,,,,,57.70M,,,,,,,,,136.80M,,-16.40M,-16.40M,,-46.90M,-51.10M,-114.40M,,35.70M,-37.10M,-1.40M,-1.20M,,-1.20M,-1.20M,,-1.20M,,-39.10M,,38.60M,-4.30M,,,,-3.60M,,,-2.40M,149.60M,-113.90M,,,,,,
1993-03,89.00M,,,,,,,,,,130.20M,,,,,,,,,219.20M,,-3.30M,-3.30M,,-224.60M,-11.20M,-239.10M,,,8.60M,8.60M,-2.50M,,-2.50M,-2.50M,,-2.50M,,-35.90M,,111.30M,79.00M,,87.70M,,0.10M,,,-5.00M,,,,,,,,
1992-12,-2.60M,,,,,,,,,,128.20M,,,,,,,,,158.80M,,-29.40M,-29.40M,,-19.30M,-171.90M,-220.60M,,,-30.00M,27.80M,,13.00M,13.00M,,,,,-32.10M,,27.90M,36.60M,,,,-6.20M,87.70M,,,,,13.00M,,,,,
1992-09,64.80M,,,,,,,,,,-78.50M,,,,,,,,,-13.70M,,-27.30M,-27.30M,,-176.30M,19.70M,-183.90M,,,40.30M,40.30M,,0.00,0.00,,,,,-30.70M,,180.30M,189.90M,,,,-0.70M,,,,,,0.00,,,,,
1992-06,68.00M,,,,,,,,,,92.40M,,,,,,,,,160.40M,,,,,-137.90M,-57.00M,-194.90M,,,74.90M,74.90M,,-6.50M,-6.50M,,,,,-29.70M,,3.90M,42.60M,,,,8.50M,,,,,,-6.50M,,,,,
1992-03,76.00M,,,,,,,,,,197.20M,,,,,,,,,273.20M,,,,,-69.00M,-49.80M,-118.80M,,,-33.40M,-33.40M,,0.40M,0.40M,,,,,-27.00M,,-17.90M,-77.90M,,38.10M,,-3.70M,,,,,,0.40M,,,,,
1991-12,58.80M,,,,,,,,,,123.00M,,,,,,,,,199.70M,,,,,-95.60M,-185.40M,-301.20M,,,35.30M,20.20M,,7.10M,113.20M,,,,,-25.10M,,-97.80M,116.60M,,,,-4.50M,,,,,,7.10M,,,,,
1991-09,62.60M,,,,,,,,,,120.30M,,,,,,,,,182.90M,,,,,-135.90M,-8.50M,-144.40M,,,-12.00M,-12.00M,,0.00,0.00,,,,,-25.50M,,3.00M,-34.50M,,,,0.90M,,,,,,0.00,,,,,
1991-06,61.30M,,,,,,,,,,143.20M,,,,,,,,,204.50M,,,,,-181.90M,-14.80M,-196.70M,,,40.00M,40.00M,,-6.60M,-6.60M,,,,,-26.10M,,-12.60M,-5.30M,,,,-1.30M,,,,,,-6.60M,,,,,
1991-03,59.30M,,,,,,,,,,32.90M,,,,,,,,,92.20M,,,,,-23.30M,-40.90M,-64.20M,,,-22.90M,-22.90M,,-33.70M,-33.70M,,,,,-23.50M,,1.30M,-78.80M,,74.10M,,-1.90M,,,,,,-33.70M,,,,,
1990-12,53.30M,,,,,,,,,,238.00M,,,,,,,,,304.00M,,,,,-163.00M,17.10M,-171.90M,,,-70.70M,-82.90M,,,,,,,,-24.80M,,24.20M,-102.50M,,,,0.90M,,,,,,,,,,,
1990-09,61.40M,,,,,,,,,,234.50M,,,,,,,,,295.90M,,,,,-229.80M,-52.50M,-282.30M,,,32.60M,32.60M,,,,,,,,-25.00M,,-16.70M,-9.10M,,,,0.50M,,,,,,,,,,,
1990-06,65.40M,,,,,,,,,,325.20M,,,,,,,,,390.60M,,,,,-367.90M,-7.10M,-375.00M,,,33.50M,33.50M,,,,,,,,-24.90M,,-9.50M,-0.90M,,,,1.50M,,,,,,,,,,,
1990-03,58.90M,,,,,,,,,,187.80M,,,,,,,,,246.70M,,,,,-139.70M,-7.20M,-146.90M,,,-89.20M,-89.20M,,,,,,,,-23.00M,,2.00M,-110.20M,,31.90M,,0.90M,,,,,,,,,,,
