,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,RentandLandingExpense,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2005-06,1.61B,2.148B,,,1.552B,1.552B,,,,,-1.871B,,,,2.131B,1.871B,277.00M,,,,,,246.00M,98.00M,193.00M,-2.00M,0.00,,,191.00M,193.00M,375.00M,98.00M,277.00M,,0.60,-0.01,0.00,0.60,0.59,,0.58,-0.01,0.00,0.58,0.57,,323.73M,338.50M,0.15,,AOR,Restated
2005-03,1.675B,2.464B,,,1.123B,1.123B,,,,,-2.12B,,,,3.05B,2.12B,344.00M,,,,,,310.00M,112.00M,198.00M,2.00M,0.00,,1.00M,200.00M,198.00M,412.00M,68.00M,344.00M,,0.61,0.01,0.00,0.61,0.62,,0.58,0.01,0.00,0.58,0.59,,320.97M,337.10M,0.15,,AOR,Restated
2004-12,2.023B,2.834B,,,2.286B,2.286B,,,,,-2.474B,,,,2.836B,2.474B,360.00M,,,,,,145.00M,40.00M,105.00M,-23.00M,,,1.00M,81.00M,104.00M,436.00M,76.00M,360.00M,,0.33,-0.08,,0.33,0.25,,0.31,-0.08,,0.31,0.24,,319.72M,336.60M,0.15,,AOR,
2004-09,1.603B,2.347B,,,1.684B,1.684B,,,,,-2.14B,,,,2.519B,2.14B,207.00M,,,,,,175.00M,62.00M,113.00M,24.00M,,,1.00M,122.00M,98.00M,285.00M,78.00M,207.00M,,0.35,0.03,,0.35,0.38,,0.33,0.03,,0.33,0.36,,318.42M,337.40M,0.15,,AOR,Restated
2004-06,1.759B,2.544B,,,1.752B,1.752B,,,,,-2.227B,,,,2.619B,2.227B,317.00M,,,,,,282.00M,102.00M,180.00M,-20.00M,,,,173.00M,193.00M,401.00M,84.00M,317.00M,,0.56,-0.02,,0.56,0.54,,0.54,-0.02,,0.54,0.52,,320.37M,337.10M,0.15,,AOR,Restated
2004-03,1.791B,2.564B,,,,1.777B,,,,,,,,,383.00M,2.23B,334.00M,,,,,,300.00M,108.00M,192.00M,-56.00M,,,1.00M,170.00M,226.00M,405.00M,71.00M,334.00M,,0.60,-0.07,,0.60,0.53,,0.58,-0.07,,0.58,0.51,,318.87M,335.30M,0.15,,AOR,Restated
2003-12,1.907B,2.668B,,,1.959B,1.959B,,20.00M,,60.00M,-2.369B,,,,2.759B,2.369B,299.00M,,,,60.00M,,337.00M,125.00M,203.00M,113.00M,,-9.00M,1.00M,215.00M,64.26M,387.00M,88.00M,299.00M,,0.63,0.04,,0.5123,0.67,,0.63,0.04,,0.5123,0.67,,320.57M,320.57M,0.15,,AOR,
2003-09,1.638B,2.368B,,,1.718B,1.718B,,17.00M,,,-2.102B,,,,2.469B,2.102B,266.00M,,,,,,242.00M,90.00M,143.00M,-88.00M,,-9.00M,1.00M,115.00M,203.00M,345.00M,79.00M,266.00M,,0.45,-0.09,,0.45,0.36,,0.45,-0.09,,0.45,0.36,,316.67M,318.60M,0.15,,AOR,Restated
2003-06,1.688B,2.412B,,,1.776B,1.776B,,15.00M,,-9.00M,-2.116B,,,,2.441B,2.116B,296.00M,,,,-9.00M,,260.00M,96.00M,155.00M,-9.00M,,9.00M,,146.00M,160.68M,375.00M,79.00M,296.00M,,0.49,-0.03,,0.5079,0.46,,0.49,-0.03,,0.5078,0.46,,317.39M,318.20M,0.15,,AOR,Restated
2003-03,1.658B,2.369B,,,,1.678B,,13.00M,,,,,,,382.00M,2.073B,296.00M,,,,,,268.00M,99.00M,160.00M,-8.00M,,-9.00M,1.00M,152.00M,160.00M,364.00M,68.00M,296.00M,,0.51,-0.03,,0.51,0.48,,0.51,-0.03,,0.51,0.48,,314.58M,315.20M,0.15,,AOR,Restated
2002-12,-828.00M,999.00M,,,1.601B,1.601B,,,,11.00M,-1.934B,,,,,-333.00M,1.332B,,,,11.00M,,312.00M,116.00M,196.00M,-18.00M,,4.00M,1.00M,178.00M,189.09M,1.406B,74.00M,1.332B,,0.30,0.27,,0.2783,0.57,,0.30,0.27,,0.2783,0.57,,318.71M,318.71M,0.15,,AOR,Restated
2002-09,2.242B,2.242B,,,1.64B,1.64B,,,,18.00M,-2.003B,,,,,-363.00M,2.605B,,,,18.00M,,215.00M,83.00M,132.00M,-4.00M,,10.00M,1.00M,128.00M,120.95M,2.667B,62.00M,2.605B,,0.47,-0.01,,0.4301,0.46,,0.47,-0.01,,0.4301,0.46,,277.10M,277.10M,0.225,,AOR,
2002-06,1.51B,2.122B,,,1.671B,1.671B,,14.00M,,0.00,-2.076B,,,,2.467B,2.076B,46.00M,,,,,,16.00M,6.00M,0.00,,,-10.00M,,0.00,0.00,114.00M,68.00M,46.00M,,0.00,0.00,,0.00,0.00,,0.00,0.00,,0.00,0.00,,271.05M,278.00M,0.225,,AOR,
2002-03,1.444B,2.088B,,,1.463B,1.463B,,11.00M,,0.00,-1.878B,,,,2.282B,1.878B,210.00M,,,,,,181.00M,67.00M,103.00M,,,-10.00M,1.00M,104.00M,104.00M,268.00M,58.00M,210.00M,,0.38,0.00,,0.38,0.38,,0.37,0.00,,0.37,0.37,,271.05M,276.60M,0.225,,AOR,
2001-12,1.268B,1.786B,,,,,,,,,-1.906B,,,,,-12.39B,14.18B,,,,,,57.00M,61.00M,26.00M,,,70.00M,1.00M,27.00M,26.00M,14.27B,87.00M,14.18B,,0.10,0.00,,0.10,0.10,,0.09,0.00,,0.09,0.09,,262.12M,273.79M,0.225,,AOR,Restated
2001-09,1.297B,1.912B,,,1.384B,1.384B,,40.00M,,-53.00M,-1.695B,,,,1.966B,1.695B,217.00M,,,,-53.00M,,133.00M,51.00M,72.00M,,0.00,-10.00M,1.00M,72.00M,104.68M,301.00M,84.00M,217.00M,,0.26,0.00,0.00,0.3797,0.26,,0.26,0.00,0.00,0.3787,0.26,,273.08M,275.40M,0.225,,AOR,
2001-06,1.347B,1.917B,,,1.523B,1.523B,,39.00M,,0.00,-1.822B,,,,2.082B,1.822B,95.00M,,,,,,64.00M,25.00M,29.00M,,0.00,-10.00M,,29.00M,29.00M,180.00M,85.00M,95.00M,,0.11,0.00,0.00,0.11,0.11,,0.11,0.00,0.00,0.11,0.11,,263.64M,270.20M,0.225,,AOR,
2001-03,1.281B,1.811B,,,1.396B,1.396B,,39.00M,,0.00,-1.727B,,,,2.019B,1.727B,84.00M,,,,,,48.00M,19.00M,19.00M,,0.00,-10.00M,1.00M,19.00M,19.00M,167.00M,83.00M,84.00M,,0.07,0.00,0.00,0.07,0.07,,0.07,0.00,0.00,0.07,0.07,,257.14M,267.90M,0.22,,AOR,
2000-12,1.31B,1.905B,,,,,,,,,,,,,,,6.527B,,,,,,,,87.00M,,,,,83.00M,78.00M,6.614B,87.00M,6.527B,,0.32,0.02,,0.32,0.31,,0.31,0.02,,0.31,0.30,,269.51M,274.12M,0.22,,AOR,Restated
2000-09,1.176B,1.785B,,,,1.208B,,38.00M,,0.00,-1.503B,,,,1.76B,1.503B,282.00M,,,,,,244.00M,95.00M,138.00M,,,-10.00M,1.00M,139.00M,139.00M,363.00M,81.00M,282.00M,,0.53,0.00,,0.53,0.53,,0.53,0.00,,0.53,0.53,,260.38M,262.80M,0.22,,AOR,
2000-06,1.203B,1.819B,,,,1.262B,,39.00M,,0.00,-1.558B,,,,1.815B,1.558B,261.00M,,,,,,228.00M,89.00M,129.00M,,,-10.00M,,129.00M,129.00M,344.00M,83.00M,261.00M,,0.50,0.00,,0.50,0.50,,0.49,0.00,,0.49,0.49,,258.00M,261.70M,0.22,,AOR,
2000-03,1.205B,1.81B,,,,1.271B,,38.00M,,0.00,-1.561B,,,,1.813B,1.561B,249.00M,,,,,,218.00M,85.00M,122.00M,,,-10.00M,1.00M,123.00M,123.00M,331.00M,82.00M,249.00M,,0.47,0.00,,0.47,0.47,,0.47,0.00,,0.47,0.47,,259.57M,260.50M,0.21,,AOR,
1999-12,-553.00M,1.878B,,,,,,,,,,,,,,10.85B,-8.975B,,,,,,70.00M,17.00M,13.00M,,,-70.00M,,13.00M,13.00M,-8.975B,,-8.975B,,0.05,0.00,,0.05,0.05,,0.05,0.00,,0.05,0.05,,257.07M,261.80M,0.21,,AOR,Restated
1999-09,1.77B,1.77B,,,,,,,,,-1.502B,,,,,-1.502B,3.272B,,,,,,229.00M,91.00M,138.00M,,,10.00M,1.00M,138.00M,138.00M,3.272B,,3.272B,,0.53,0.00,,0.53,0.53,,0.52,0.00,,0.52,0.52,,260.00M,264.00M,0.21,,,
1999-06,1.723B,1.723B,,,,,,,,,-1.439B,,,,,-1.439B,3.162B,,,,,,250.00M,99.00M,151.00M,,,10.00M,1.00M,151.00M,151.00M,3.162B,,3.162B,,0.58,0.00,,0.58,0.58,,0.57,0.00,,0.57,0.57,,263.70M,263.70M,0.2067,,,
1999-03,1.699B,1.699B,,,,,,,,,-1.582B,,,,,-1.582B,3.281B,,,,,,86.00M,36.00M,50.00M,,,10.00M,1.00M,50.00M,50.00M,3.281B,,3.281B,,0.19,0.00,,0.19,0.19,,0.19,0.00,,0.19,0.19,,261.80M,261.80M,0.1867,,,
1998-12,-594.00M,1.702B,,,,,,,,,-1.44B,,,,,9.51B,-7.808B,,,,,,270.00M,90.00M,139.00M,,,-72.00M,1.00M,139.00M,139.00M,-7.808B,,-7.808B,,0.54,0.00,,0.54,0.54,,0.54,,,0.54,0.54,,243.21M,255.12M,0.1867,,AOR,Restated
1998-09,1.607B,1.607B,,,,,,,,,-1.369B,,,,,-1.369B,2.976B,,,,,,204.00M,80.00M,124.00M,,,11.00M,1.00M,124.00M,124.00M,2.976B,,2.976B,,0.48,0.00,,0.48,0.48,,0.47,0.00,,0.47,0.47,,260.90M,260.90M,0.1867,,,
1998-06,1.623B,1.623B,,,,,,,,,-1.362B,,,,,-1.362B,2.985B,,,,,,230.00M,90.00M,140.00M,,,10.00M,1.00M,140.00M,140.00M,2.985B,,2.985B,,0.55,0.00,,0.55,0.55,,0.54,0.00,,0.54,0.54,,258.30M,258.30M,0.1867,,,
1998-03,1.562B,1.562B,,,,,,,,,-1.304B,,,,,-1.304B,2.866B,,,,,,228.00M,89.00M,139.00M,,,10.00M,1.00M,139.00M,139.00M,2.866B,,2.866B,,0.37,0.00,,0.37,0.37,,0.35,0.00,,0.35,0.35,,257.10M,257.10M,0.1733,,,
1997-12,1.521B,1.521B,,,,,,,,,-1.475B,,,,,-1.475B,2.997B,,,,,,186.80M,73.70M,113.10M,,,10.30M,1.90M,113.10M,113.10M,2.997B,,2.997B,,0.45,0.00,,0.45,0.45,,0.43,0.00,,0.43,0.43,,239.23M,254.43M,0.1733,,AOR,
1997-09,1.451B,1.451B,,,,,,,,,-1.254B,,,,,-1.254B,2.706B,,,,,,167.60M,66.60M,101.00M,,,10.20M,3.40M,101.00M,101.00M,2.706B,,2.706B,,0.39,0.00,,0.39,0.39,,0.38,0.00,,0.38,0.38,,256.52M,256.52M,0.1733,,,
1997-06,1.424B,1.424B,,,,,,,,-27.00M,-1.230B,,,,,-1.230B,2.654B,,,,-27.00M,,141.20M,57.00M,84.20M,,,10.70M,3.30M,84.20M,100.40M,2.654B,,2.654B,,0.32,0.00,,0.3841,0.32,,0.32,0.00,,0.3841,0.32,,252.81M,252.81M,0.1733,,,
1997-03,1.354B,1.354B,,,,,,,,-145.00M,-1.180B,,,,,-1.180B,2.534B,,,,-145.00M,,6.40M,5.70M,0.70M,,,8.80M,3.40M,0.70M,87.70M,2.534B,,2.534B,,-0.01,0.00,,0.3373,-0.01,,-0.01,0.00,,0.3373,-0.01,,250.52M,250.52M,0.16,,,
1996-12,1.069B,1.069B,,,,,,,,-707.60M,-987.50M,,,,,-987.50M,2.057B,,,,-702.70M,,70.10M,24.70M,45.40M,-0.40M,,,3.80M,45.00M,500.50M,2.057B,,2.057B,,0.17,0.00,,1.836,0.17,,0.15,0.00,,1.816,0.15,,273.16M,273.16M,0.16,,AOR,
1996-09,944.30M,944.30M,,,,,,,,-537.20M,-807.20M,,,,,-807.20M,1.752B,,,,-534.10M,,128.00M,44.20M,83.80M,,,,5.00M,83.80M,433.47M,1.752B,,1.752B,,0.32,0.00,,1.742,0.32,,0.32,0.00,,1.742,0.32,,245.90M,245.90M,0.16,,,
1996-06,932.40M,932.40M,,,,,,,,-554.80M,-821.00M,,,,,-821.00M,1.753B,,,,-554.80M,,101.30M,36.00M,65.30M,21.00M,,,5.10M,86.30M,422.94M,1.753B,,1.753B,,0.24,0.09,,1.689,0.33,,0.24,0.09,,1.689,0.33,,246.80M,246.80M,0.16,,,
1996-03,942.10M,942.10M,,,,,,,,-529.40M,-787.30M,,,,,-787.30M,1.729B,,,,-529.40M,,145.60M,49.10M,96.50M,22.40M,,,5.10M,118.90M,447.37M,1.729B,,1.729B,,0.38,0.09,,1.803,0.47,,0.37,0.09,,1.793,0.46,,246.58M,246.58M,0.1511,,,
1995-12,-942.60M,894.90M,,,,,,,,1.234B,-788.10M,,,,,4.945B,-4.050B,,,,1.238B,,97.10M,32.60M,64.50M,28.40M,,,5.30M,92.90M,-757.79M,-4.050B,,-4.050B,,0.2422,0.1144,,-3.098,0.3567,,0.2408,0.1144,,-3.093,0.3559,,246.20M,246.66M,0.1511,,AOR,
1995-09,865.70M,865.70M,,,,,,,,-491.60M,-739.80M,,,,,-739.80M,1.606B,,,,-482.80M,,116.20M,39.20M,77.00M,23.00M,,,5.80M,100.00M,396.93M,1.606B,,1.606B,,0.29,0.09,,1.607,0.38,,0.29,0.09,,1.607,0.38,,242.98M,242.98M,0.1511,,,
1995-06,851.90M,851.90M,,,,,,,,-489.40M,-734.40M,,,,,-734.40M,1.586B,,,,-490.00M,,108.00M,36.30M,71.70M,27.00M,,,10.20M,98.70M,397.01M,1.586B,,1.586B,,0.27,0.11,,1.605,0.38,,0.27,0.11,,1.605,0.38,,243.66M,243.66M,0.1511,,,
1995-03,853.20M,853.20M,,,,,,,,-473.70M,-708.10M,,,,,-708.10M,1.561B,,,,-472.60M,,136.70M,46.20M,90.50M,20.70M,,,6.80M,111.20M,403.38M,1.561B,,1.561B,,0.34,0.08,,1.621,0.42,,0.34,0.08,,1.621,0.42,,244.33M,244.33M,0.1422,,,
1994-12,-1.707B,1.080B,,,,,,,,1.111B,-939.00M,,,,,5.931B,-4.850B,,,,1.112B,,128.40M,42.40M,86.00M,,,,,86.00M,-658.60M,-4.850B,,-4.850B,,0.3256,0.00,,-4.035,0.3256,,0.3013,0.00,,-3.673,0.3013,,170.76M,187.37M,0.1423,,AOR,
1994-09,1.030B,1.030B,,,,,,,,-472.90M,-889.70M,,,,,-889.70M,1.920B,,,,-471.10M,,129.50M,42.80M,86.70M,,,,,86.70M,402.10M,1.920B,,1.920B,,0.34,0.00,,1.577,0.34,,0.34,0.00,,1.577,0.34,,255.00M,255.00M,0.1423,,,
1994-06,1.026B,1.026B,,,,,,,,-473.00M,-883.70M,,,,,-883.70M,1.910B,,,,-471.30M,,131.70M,43.50M,88.20M,,,,,88.20M,403.83M,1.910B,,1.910B,,0.34,0.00,,1.557,0.34,,0.34,0.00,,1.557,0.34,,259.41M,259.41M,0.0950,,,
1994-03,1.020B,1.020B,,,,,,,,-447.20M,-860.50M,,,,,-860.50M,1.880B,,,,-445.50M,,148.00M,48.90M,99.10M,,,,,99.10M,397.40M,1.880B,,1.880B,,0.26,0.00,,1.573,0.26,,0.26,0.00,,1.573,0.26,,227.24M,227.24M,0.1334,,,
1993-12,977.30M,977.30M,,,,,,,,,-851.20M,,,,,-851.20M,1.828B,,,,,,114.90M,37.00M,77.90M,,,,,77.90M,77.90M,1.828B,,1.828B,,0.30,0.00,,0.30,0.30,,0.30,0.00,,0.30,0.30,,179.84M,179.84M,0.1334,,,
1993-09,954.20M,954.20M,,,,,,,,-419.20M,-819.50M,,,,,-819.50M,1.774B,,,,-404.60M,,124.10M,46.30M,77.80M,,,,,77.80M,331.45M,1.774B,,1.774B,,0.30,0.00,,1.278,0.30,,0.30,0.00,,1.278,0.30,,259.33M,259.33M,0.1334,,,
1993-06,963.00M,963.00M,,,,,,,,-434.70M,-840.40M,,,,,-840.40M,1.803B,,,,-433.30M,,112.90M,33.80M,79.10M,,,,,79.10M,382.68M,1.803B,,1.803B,,0.31,0.00,,1.500,0.31,,0.31,0.00,,1.500,0.31,,255.16M,255.16M,0.1334,,,
1993-03,950.30M,950.30M,,,,,,,,-401.50M,-812.30M,,,,,-812.30M,1.763B,,,,-399.50M,,127.20M,38.20M,89.00M,,,,,89.00M,368.52M,1.763B,,1.763B,,0.35,0.00,,1.449,0.35,,0.35,0.00,,1.449,0.35,,254.29M,254.29M,0.1245,,,
1992-12,899.30M,899.30M,,,,,,,,-473.20M,-885.10M,,,,,-885.10M,1.784B,,,,-469.00M,,2.50M,5.10M,-2.60M,,,,,-82.20M,281.32M,1.784B,,1.784B,,-0.03,-0.34,,1.021,-0.37,,-0.03,-0.34,,1.021,-0.37,,270.03M,270.03M,0.1245,,,
1992-09,817.70M,817.70M,,,,,,,,-307.50M,-717.70M,,,,,-717.70M,1.535B,,,,-307.50M,,89.50M,24.60M,64.90M,,,,,64.90M,287.88M,1.535B,,1.535B,,0.27,0.00,,1.198,0.27,,0.27,0.00,,1.198,0.27,,240.37M,240.37M,0.1245,,,
1992-06,804.50M,804.50M,,,300.50M,300.50M,,,,,-700.90M,,,,,-400.40M,1.205B,,,,1.00M,,93.70M,25.70M,68.00M,,,,,68.00M,67.27M,1.205B,,1.205B,,0.29,0.00,,0.2869,0.29,,0.29,0.00,,0.2869,0.29,,234.48M,234.48M,0.1245,,,
1992-03,815.00M,815.00M,,,293.40M,293.40M,,,,,-700.30M,,,,,-406.90M,1.222B,,,,2.10M,,104.80M,28.80M,76.00M,,,,,76.00M,74.48M,1.222B,,1.222B,,0.33,0.00,,0.3234,0.33,,0.33,0.00,,0.3234,0.33,,230.30M,230.30M,0.1186,,,
1991-12,740.70M,740.70M,,,,,,,,-251.90M,-649.40M,,,,,-649.40M,1.390B,,,,-251.30M,,80.60M,21.80M,58.80M,,,,,58.80M,242.13M,1.390B,,1.390B,,0.26,0.00,,1.072,0.26,,0.26,0.00,,1.072,0.26,,225.71M,225.71M,0.1186,,,
1991-09,751.20M,751.20M,,,,,,,,-255.20M,-655.60M,,,,,-655.60M,1.407B,,,,-254.30M,,85.70M,23.10M,62.60M,,,,,62.60M,248.35M,1.407B,,1.407B,,0.29,0.00,,1.151,0.29,,0.29,0.00,,1.151,0.29,,215.86M,215.86M,0.1186,,,
1991-06,727.70M,727.70M,,,,,,,,-242.60M,-633.70M,,,,,-633.70M,1.361B,,,,-241.60M,,83.90M,22.60M,61.30M,,,,,61.30M,237.82M,1.361B,,1.361B,,0.28,0.00,,1.086,0.28,,0.28,0.00,,1.086,0.28,,218.93M,218.93M,0.1186,,,
1991-03,711.30M,711.30M,,,,,,,,-233.70M,-620.00M,,,,,-620.00M,1.331B,,,,-231.60M,,81.30M,22.00M,59.30M,,,,,59.30M,228.23M,1.331B,,1.331B,,0.27,0.00,,1.039,0.27,,0.27,0.00,,1.039,0.27,,219.63M,219.63M,0.1127,,,
1990-12,715.80M,715.80M,,,,,,,,-236.70M,-632.00M,,,,,-632.00M,1.348B,,,,-235.50M,,72.50M,19.20M,53.30M,,,,,53.30M,226.43M,1.348B,,1.348B,,0.24,0.00,,1.019,0.24,,0.24,0.00,,1.019,0.24,,222.25M,222.25M,0.1127,,,
1990-09,653.20M,653.20M,,,,,,,,-220.80M,-558.70M,,,,,-558.70M,1.212B,,,,-219.70M,,83.70M,22.20M,61.50M,,,,,61.50M,222.93M,1.212B,,1.212B,,0.27,0.00,,0.9787,0.27,,0.27,0.00,,0.9787,0.27,,227.78M,227.78M,0.1127,,,
1990-06,636.70M,636.70M,,,,,,,,-218.10M,-537.50M,,,,,-537.50M,1.174B,,,,-216.80M,,88.90M,23.60M,65.30M,,,,,65.30M,224.55M,1.174B,,1.174B,,0.29,0.00,,0.9972,0.29,,0.29,0.00,,0.9972,0.29,,225.17M,225.17M,0.1127,,,
1990-03,620.70M,620.70M,,,,,,,,-222.30M,-529.20M,,,,,-529.20M,1.150B,,,,-221.00M,,80.10M,21.20M,58.90M,,,,,58.90M,221.41M,1.150B,,1.150B,,0.26,0.00,,0.9774,0.26,,0.26,0.00,,0.9774,0.26,,226.54M,226.54M,0.1039,,,
1989-12,541.00M,541.00M,,,,,,,,,,,,,,,2.461B,,,,,,,,59.40M,,,,,59.40M,59.40M,2.461B,,2.461B,,0.27,0.00,,0.27,0.27,,0.27,0.00,,0.27,0.27,,219.95M,219.95M,0.1039,,,
1989-09,592.30M,592.30M,,,,,,,,,,,,,,,592.30M,,,,,,,,57.80M,,,,,57.80M,57.80M,592.30M,,592.30M,,0.26,0.00,,0.26,0.26,,0.26,0.00,,0.26,0.26,,222.31M,222.31M,0.1039,,,
1989-06,571.30M,571.30M,,,,,,,,,,,,,,,571.30M,,,,,,,,61.50M,,,,,61.50M,61.50M,571.30M,,571.30M,,0.28,0.00,,0.28,0.28,,0.28,0.00,,0.28,0.28,,219.64M,219.64M,0.1039,,,
1989-03,574.50M,574.50M,,,,,,,,,,,,,,,574.50M,,,,,,,,53.70M,,,,,53.70M,53.70M,574.50M,,574.50M,,0.25,0.00,,0.25,0.25,,0.25,0.00,,0.25,0.25,,214.80M,214.80M,0.0949,,,
1988-12,715.70M,715.70M,,,,,,,,,,,,,,,3.122B,,,,,,,,40.10M,,,,,40.10M,40.10M,3.122B,,3.122B,,0.18,0.00,,0.18,0.18,,0.18,0.00,,0.18,0.18,,221.68M,221.68M,0.0949,,,
1988-09,656.80M,656.80M,,,,,,,,,,,,,,,656.80M,,,,,,,,40.70M,,,,,40.70M,40.70M,656.80M,,656.80M,,0.19,0.00,,0.19,0.19,,0.19,0.00,,0.19,0.19,,214.21M,214.21M,0.0949,,,
1988-06,654.90M,654.90M,,,,,,,,,,,,,,,654.90M,,,,,,,,51.50M,,,,,51.50M,51.50M,654.90M,,654.90M,,0.24,0.00,,0.24,0.24,,0.24,0.00,,0.24,0.24,,214.58M,214.58M,0.0949,,,
1988-03,680.20M,680.20M,,,,,,,,,,,,,,,680.20M,,,,,,,,47.30M,,,,,47.30M,47.30M,680.20M,,680.20M,,0.22,0.00,,0.22,0.22,,0.22,0.00,,0.22,0.22,,215.00M,215.00M,0.0890,,,
1987-12,741.50M,741.50M,,,,,,,,,,,,,,,2.951B,,,,,,,,44.90M,,,,,44.90M,44.90M,2.951B,,2.951B,,0.20,0.00,,0.20,0.20,,0.20,0.00,,0.20,0.20,,223.95M,223.95M,0.0890,,,
1987-09,616.10M,616.10M,,,,,,,,,,,,,,,616.10M,,,,,,,,45.20M,,,,,45.20M,45.20M,616.10M,,616.10M,,0.21,0.00,,0.21,0.21,,0.21,0.00,,0.21,0.21,,215.24M,215.24M,0.0890,,,
1987-06,563.30M,563.30M,,,,,,,,,,,,,,,563.30M,,,,,,,,51.70M,,,,,51.70M,51.70M,563.30M,,563.30M,,0.23,0.00,,0.23,0.23,,0.23,0.00,,0.23,0.23,,224.78M,224.78M,0.0890,,,
1987-03,548.10M,548.10M,,,,,,,,,,,,,,,548.10M,,,,,,,,43.30M,,,,,43.30M,43.30M,548.10M,,548.10M,,0.19,0.00,,0.19,0.19,,0.19,0.00,,0.19,0.19,,227.89M,227.89M,0.0831,,,
1986-12,507.60M,507.60M,,,,,,,,,,,,,,,2.050B,,,,,,,,49.30M,,,,,49.30M,49.30M,2.050B,,2.050B,,0.22,0.00,,0.22,0.22,,0.22,0.00,,0.22,0.22,,220.62M,220.62M,0.0831,,,
1986-09,493.60M,493.60M,,,,,,,,,,,,,,,493.60M,,,,,,,,48.10M,,,,,48.10M,48.10M,493.60M,,493.60M,,0.21,0.00,,0.21,0.21,,0.21,0.00,,0.21,0.21,,229.05M,229.05M,0.0831,,,
1986-06,449.90M,449.90M,,,,,,,,,,,,,,,449.90M,,,,,,,,48.10M,,,,,48.10M,48.10M,449.90M,,449.90M,,0.21,0.00,,0.21,0.21,,0.21,0.00,,0.21,0.21,,229.05M,229.05M,0.0831,,,
1986-03,354.50M,354.50M,,,,,,,,,,,,,,,354.50M,,,,,,,,38.70M,,,,,38.70M,38.70M,354.50M,,354.50M,,0.17,0.00,,0.17,0.17,,0.17,0.00,,0.17,0.17,,227.65M,227.65M,0.0801,,,
1985-12,360.30M,360.30M,,,,,,,,,,,,,,,1.490B,,,,,,,,43.30M,,,,,43.30M,43.30M,1.490B,,1.490B,,0.18,0.00,,0.18,0.18,,0.18,0.00,,0.18,0.18,,236.87M,236.87M,0.0801,,,
1985-09,337.00M,337.00M,,,,,,,,,,,,,,,337.00M,,,,,,,,42.00M,,,,,42.00M,42.00M,337.00M,,337.00M,,0.19,0.00,,0.19,0.19,,0.19,0.00,,0.19,0.19,,221.05M,221.05M,0.0801,,,
1985-06,337.10M,337.10M,,,,,,,,,,,,,,,337.10M,,,,,,,,41.80M,,,,,41.80M,41.80M,337.10M,,337.10M,,0.19,0.00,,0.19,0.19,,0.19,0.00,,0.19,0.19,,220.00M,220.00M,0.0801,,,
1985-03,325.50M,325.50M,,,,,,,,,,,,,,,325.50M,,,,,,,,34.00M,,,,,34.00M,34.00M,325.50M,,325.50M,,0.15,0.00,,0.15,0.15,,0.15,0.00,,0.15,0.15,,226.67M,226.67M,0.0772,,,
1984-12,334.90M,334.90M,,,,,,,,,,,,,,,1.433B,,,,,,,,64.10M,,,,,64.10M,64.10M,1.433B,,1.433B,,0.29,0.00,,0.29,0.29,,0.29,0.00,,0.29,0.29,,220.86M,220.86M,,,,
1984-09,319.20M,319.20M,,,,,,,,,,,,,,,319.20M,,,,,,,,35.10M,,,,,35.10M,35.10M,319.20M,,319.20M,,0.15,0.00,,0.15,0.15,,0.15,0.00,,0.15,0.15,,234.00M,234.00M,,,,
1984-06,321.40M,321.40M,,,,,,,,,,,,,,,321.40M,,,,,,,,35.90M,,,,,35.90M,35.90M,321.40M,,321.40M,,0.17,0.00,,0.17,0.17,,0.17,0.00,,0.17,0.17,,211.18M,211.18M,,,,
1984-03,312.20M,312.20M,,,,,,,,,,,,,,,312.20M,,,,,,,,29.80M,,,,,29.80M,29.80M,312.20M,,312.20M,,0.13,0.00,,0.13,0.13,,0.13,0.00,,0.13,0.13,,229.23M,229.23M,,,,
