,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2008-09,,478.00M,1.977B,2.455B,,,1.877B,,,,9.354B,13.69B,,,,,,,,,449.00M,4.882B,222.00M,5.104B,370.00M,,,,1.109B,7.032B,20.72B,,1.18B,,1.18B,1.18B,,,,,,,,9.458B,10.64B,1.964B,,1.964B,,,,,1.136B,,,1.033B,4.133B,14.77B,,361.00M,6.868B,3.153B,3.697B,,,,-738.00M,5.947B,,AOR,Restated
2008-06,,466.00M,2.566B,3.032B,,,2.012B,,,,11.59B,16.63B,,,,,,,,,483.00M,5.137B,245.00M,5.382B,414.00M,,,,1.165B,7.444B,24.08B,,1.207B,,1.207B,1.207B,,,,,,,,12.05B,13.26B,2.022B,,2.022B,,,,,1.296B,,,1.043B,4.361B,17.62B,,361.00M,6.807B,3.107B,3.33B,,,,-490.00M,6.455B,,AOR,Restated
2008-03,452.00M,452.00M,1.187B,1.639B,,,1.938B,,,,15.44B,19.02B,,,,,,,,,507.00M,5.175B,239.00M,5.414B,416.00M,,,,1.151B,7.488B,26.51B,,1.206B,,1.206B,1.206B,,84.00M,,84.00M,,,,14.45B,15.74B,1.995B,,1.995B,,,,1.288B,,,,1.029B,4.312B,20.06B,,361.00M,5.767B,3.066B,2.346B,,590.00M,-986.00M,-396.00M,6.452B,,AOR,Restated
2007-12,,584.00M,5.721B,6.305B,,,1.993B,,,,9.77B,18.07B,0.00,88.00M,1.129B,,14.00M,412.00M,1.643B,-1.146B,497.00M,4.915B,204.00M,5.119B,332.00M,,,529.00M,384.00M,6.861B,24.93B,,1.413B,,1.413B,1.413B,,252.00M,,252.00M,,,,12.91B,14.58B,1.893B,,1.893B,109.00M,,109.00M,,1.251B,,,878.00M,4.131B,18.71B,,361.00M,5.607B,3.064B,2.085B,,,,-726.00M,6.221B,,AOR,Restated
2007-09,321.00M,321.00M,4.096B,4.417B,,,8.296B,,,,,12.71B,,,,,,,,,520.00M,4.883B,203.00M,5.086B,7.485B,,,,,13.09B,23.82B,,,,9.457B,9.457B,,14.00M,,14.00M,,,,,9.471B,1.994B,,1.994B,,,,,,,,,1.994B,18.21B,,350.00M,5.452B,2.741B,2.137B,,277.00M,-1.068B,-791.00M,5.615B,,AOR,Restated
2007-06,406.00M,406.00M,4.199B,4.605B,,,9.255B,,,,,13.86B,,,,,,,,,526.00M,4.739B,202.00M,4.941B,7.547B,,,,,13.01B,24.79B,,,,10.58B,10.58B,,4.00M,,4.00M,,,,,10.58B,2.182B,,2.182B,,,,,,,,,2.182B,19.45B,,350.00M,5.303B,2.704B,2.085B,,180.00M,-1.108B,-928.00M,5.344B,,AOR,Restated
2007-03,351.00M,351.00M,4.314B,4.665B,,,8.972B,,,,,13.64B,,,,,,,,,507.00M,4.698B,197.00M,4.895B,7.666B,,,,,13.07B,24.59B,,,,10.41B,10.41B,,1.00M,,1.00M,,,,,10.41B,2.072B,,2.072B,,,,,,,,,2.072B,19.33B,,347.00M,5.141B,2.619B,1.926B,,162.00M,-1.083B,-921.00M,5.26B,,AOR,Restated
2006-12,281.00M,281.00M,4.335B,4.616B,8.631B,,8.791B,,,30.00M,156.00M,17.64B,0.00,80.00M,1.173B,,20.00M,374.00M,1.647B,-1.191B,456.00M,4.521B,145.00M,4.666B,529.00M,,,710.00M,380.00M,6.741B,24.38B,,11.18B,0.00,11.18B,11.18B,,42.00M,,42.00M,,13.00M,13.00M,3.117B,14.36B,2.243B,,2.243B,81.00M,,81.00M,,1.441B,,,1.045B,4.81B,19.17B,,347.00M,4.992B,2.583B,1.694B,,,,-1.01B,5.218B,,AOR,Restated
2006-09,461.00M,461.00M,4.044B,4.505B,,,8.907B,,,,,13.41B,,,,,,,,,499.00M,4.41B,136.00M,4.546B,7.072B,,,,,12.12B,28.68B,,,,9.332B,9.332B,,268.00M,,268.00M,,,,,9.60B,2.075B,,2.075B,,,,,,,,,2.075B,23.31B,,347.00M,4.897B,2.463B,1.333B,,,,-1.002B,5.372B,,AOR,Restated
2006-06,425.00M,425.00M,4.536B,4.961B,,,10.57B,,,,,15.53B,,,,,,,,,507.00M,4.39B,136.00M,4.526B,7.386B,,,,,12.42B,30.10B,,,,10.98B,10.98B,,21.00M,,21.00M,,,,,11.00B,2.082B,,2.082B,,,,,,,,,2.082B,24.71B,,347.00M,4.843B,2.436B,1.175B,,,,-1.059B,5.392B,,AOR,Restated
2006-03,451.00M,451.00M,5.102B,5.553B,,,9.963B,,,,,15.52B,,,,,,,,,524.00M,4.423B,110.00M,4.533B,9.301B,,,,,14.36B,28.62B,,,,10.16B,10.16B,,4.00M,,4.00M,,,,,10.17B,2.012B,,2.012B,,,,,,,,,2.012B,23.31B,,346.00M,4.711B,2.412B,1.00B,,,,-1.161B,5.308B,,AOR,Restated
2005-12,476.00M,476.00M,4.806B,5.282B,,,9.697B,,,148.00M,,15.13B,,,,,,,,,537.00M,4.391B,115.00M,4.506B,9.064B,,,533.00M,,14.64B,27.82B,,,,9.427B,9.427B,,7.00M,,7.00M,,,,,9.434B,2.105B,,2.105B,,,,1.497B,,,0.00,,3.602B,22.52B,,344.00M,4.573B,2.349B,808.00M,,,,-1.155B,5.303B,,AOR,Restated
2005-09,433.00M,433.00M,4.594B,5.027B,,,8.857B,,,,,13.88B,,,,,,,,,552.00M,4.428B,118.00M,4.546B,8.78B,,,,,13.88B,27.22B,,,,8.997B,8.997B,,41.00M,,41.00M,,,,,9.038B,1.846B,,1.846B,,,,,,,0.00,,1.846B,21.89B,,342.00M,4.397B,2.528B,783.00M,,,,-913.00M,5.329B,,AOR,Restated
2005-06,419.00M,419.00M,4.67B,5.089B,,,9.57B,,,,,14.66B,,,,,,,,,585.00M,4.444B,128.00M,4.572B,8.595B,,,,,13.75B,27.89B,,,,9.705B,9.705B,,22.00M,,22.00M,,,,,9.727B,1.83B,,1.83B,,,,,,,50.00M,,1.88B,22.64B,,341.00M,4.325B,2.467B,783.00M,,,,-877.00M,5.251B,,AOR,Restated
2005-03,526.00M,526.00M,5.305B,5.831B,,,9.63B,,,,,15.46B,,,,,,,,,622.00M,4.644B,134.00M,4.778B,9.126B,,,,,14.53B,28.56B,,,,10.21B,10.21B,,2.00M,,2.00M,,,,,10.21B,2.085B,,2.085B,,,,,,,50.00M,,2.135B,23.42B,,340.00M,4.182B,2.448B,783.00M,,,,-816.00M,5.144B,,AOR,Restated
2004-12,570.00M,570.00M,5.099B,5.669B,,,10.10B,,,175.00M,,15.94B,,,,,,,,,664.00M,4.727B,136.00M,4.863B,8.621B,,,512.00M,,14.66B,28.33B,,,,10.12B,10.12B,,2.00M,,2.00M,,,,,10.12B,2.115B,,2.115B,,,,1.533B,,,50.00M,,3.698B,23.23B,,339.00M,4.031B,2.386B,783.00M,,,,-870.00M,5.103B,,AOR,
2004-09,396.00M,396.00M,4.073B,4.469B,,,9.181B,,,,,13.65B,,,,,,,,,693.00M,4.508B,147.00M,4.655B,8.194B,,,,,13.54B,26.57B,,,,9.597B,9.597B,,65.00M,,65.00M,,,,,9.662B,1.899B,,1.899B,,,,,,,50.00M,,1.949B,21.70B,,339.00M,3.997B,2.381B,783.00M,,,,-867.00M,4.868B,,AOR,Restated
2004-06,510.00M,510.00M,4.077B,4.587B,,,10.37B,,,,,14.96B,,,,,,,,,745.00M,4.511B,166.00M,4.677B,7.929B,,,,,13.35B,27.77B,,,,10.95B,10.95B,,58.00M,,58.00M,,,,,11.01B,2.00B,,2.00B,,,,,,,50.00M,,2.05B,23.05B,,338.00M,3.925B,2.324B,784.00M,,,,-930.00M,4.717B,,AOR,Restated
2004-03,491.00M,491.00M,4.435B,4.926B,,,10.37B,,,,,15.30B,,,,,,,,,791.00M,4.485B,166.00M,4.651B,8.141B,,,,,13.58B,27.91B,,,,11.08B,11.08B,,7.00M,,7.00M,,,,,11.09B,2.004B,,2.004B,,,,,,,50.00M,,2.054B,23.26B,,337.00M,3.80B,2.311B,784.00M,,,,-849.00M,4.654B,,AOR,Restated
2003-12,540.00M,540.00M,3.815B,4.355B,,,10.11B,,,84.00M,,14.55B,,,,,,,,,827.00M,4.509B,176.00M,4.685B,7.324B,,,524.00M,,13.36B,27.03B,,,,10.37B,10.37B,,53.00M,,53.00M,,,,,10.42B,2.095B,,2.095B,,,,,,,50.00M,,2.145B,22.53B,,336.00M,3.679B,2.283B,784.00M,,,,-861.00M,4.498B,,AOR,
2003-09,570.00M,570.00M,3.824B,4.394B,,,9.533B,,,,,13.93B,,,,,,,,,830.00M,4.313B,189.00M,4.502B,7.141B,,,,,12.47B,26.21B,,,,10.15B,10.15B,,166.00M,,166.00M,,,,,10.31B,1.368B,,1.368B,,,,,,702.00M,752.00M,,2.12B,21.11B,,336.00M,3.514B,2.282B,784.00M,,,,-779.00M,4.399B,,AOR,Restated
2003-06,470.00M,470.00M,4.044B,4.514B,,,11.17B,,,,,15.69B,,,,,,,,,871.00M,4.31B,197.00M,4.507B,7.284B,,,,,12.66B,27.91B,,,,11.88B,11.88B,,271.00M,,271.00M,,,,,12.15B,1.49B,,1.49B,,,,,,702.00M,752.00M,,2.242B,22.89B,,335.00M,3.454B,2.286B,789.00M,,,,-786.00M,4.318B,,AOR,Restated
2003-03,432.00M,432.00M,5.041B,5.473B,,,10.25B,,,,,15.73B,,,,,,,,,855.00M,4.152B,212.00M,4.364B,7.178B,,,,,12.40B,26.55B,,,,11.00B,11.00B,,127.00M,,127.00M,,,,,11.13B,1.523B,,1.523B,,,,,,702.00M,50.00M,,1.573B,21.78B,,335.00M,3.357B,2.266B,799.00M,,,,-1.089B,4.07B,,AOR,Restated
2002-12,,0.00,6.587B,6.587B,,,,,,,,6.587B,,,,,,,,,865.00M,,4.324B,4.324B,5.621B,,,,,10.81B,25.33B,,,,9.42B,9.42B,,117.00M,,117.00M,,,,,9.537B,1.671B,,1.671B,,,,,,702.00M,,,1.671B,20.69B,,333.00M,3.251B,2.228B,794.00M,,,,,3.908B,,AOR,Restated
2002-09,927.00M,927.00M,3.594B,4.521B,,,8.884B,,,,,13.40B,,,,,,,,,,3.998B,204.00M,4.202B,6.266B,,,,,10.47B,24.32B,,,,9.648B,9.648B,,320.00M,,320.00M,,,,,9.968B,1.862B,,1.862B,,,,,,800.00M,850.00M,,2.712B,19.81B,,295.00M,3.119B,1.647B,784.00M,,,,-389.00M,3.713B,,AOR,
2002-06,761.00M,761.00M,3.615B,4.376B,,,9.732B,,,,,14.11B,,,,,,,,,,4.003B,218.00M,4.221B,5.936B,,,,,10.16B,24.59B,,,,10.10B,10.10B,,292.00M,,292.00M,,,,,10.40B,1.816B,,1.816B,,,,,,800.00M,850.00M,,2.666B,20.10B,,295.00M,3.056B,1.688B,784.00M,,,,-380.00M,3.691B,,AOR,
2002-03,569.00M,569.00M,2.615B,3.184B,7.543B,1.019B,8.562B,,,,,11.75B,,,,,,,,,,3.856B,229.00M,4.085B,5.995B,,,,,10.08B,23.11B,,,,8.97B,8.97B,,212.00M,,212.00M,,,,,9.182B,1.79B,,1.79B,,,,,,800.00M,850.00M,,2.64B,18.78B,,294.00M,3.117B,1.655B,785.00M,,,,-577.00M,3.529B,,AOR,
2001-12,,0.00,6.146B,6.146B,,,,,,,,6.146B,,,,,,,,,,,4.084B,4.084B,,,,,,4.084B,22.33B,,,,7.933B,7.933B,,257.00M,,257.00M,,,,,8.19B,1.694B,,1.694B,,,,,,800.00M,50.00M,,1.744B,18.06B,,293.00M,3.021B,1.654B,786.00M,,,,,3.465B,,AOR,Restated
2001-09,498.00M,498.00M,2.899B,3.397B,8.353B,,8.353B,,,,,11.75B,,,,,,,,,,3.626B,469.00M,4.095B,6.387B,,,,,10.48B,22.84B,,,,8.722B,8.722B,,193.00M,,193.00M,,,,,8.915B,1.66B,,1.66B,,,,,,800.00M,850.00M,,2.51B,18.42B,,292.00M,3.06B,1.65B,807.00M,,,,-377.00M,3.626B,,AOR,
2001-06,765.00M,765.00M,2.414B,3.179B,8.473B,,8.473B,,,,,11.65B,,,,,,,,,,3.449B,481.00M,3.93B,5.964B,,,,,9.894B,22.47B,,,,8.643B,8.643B,,204.00M,,204.00M,,,,,8.847B,1.746B,,1.746B,,,,,,800.00M,850.00M,,2.596B,18.20B,,268.00M,3.056B,799.00M,42.00M,,,,-413.00M,3.47B,,AOR,
2001-03,886.00M,886.00M,2.42B,3.306B,8.05B,,8.05B,,,,,11.36B,,,,,,,,,,3.38B,485.00M,3.865B,6.079B,,,,,9.944B,22.04B,,,,8.432B,8.432B,,60.00M,,60.00M,,,,,8.492B,1.804B,,1.804B,,,,,,800.00M,850.00M,,2.654B,17.87B,,264.00M,3.087B,715.00M,81.00M,,,,-413.00M,3.363B,,AOR,
2000-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.25B,,,,8.123B,8.123B,,,,,,,,,8.123B,,,,,,,,,,50.00M,,50.00M,18.86B,,,,,,,,,,3.388B,,AOR,Restated
2000-09,980.00M,980.00M,2.473B,3.453B,8.009B,,8.009B,,,,,11.46B,,,,,,,,,,3.255B,482.00M,3.737B,6.256B,,,,,9.993B,21.83B,,,,8.143B,8.143B,,476.00M,,476.00M,,,,,8.619B,1.801B,,1.801B,,,,,,800.00M,850.00M,,2.651B,17.85B,,260.00M,3.107B,573.00M,125.00M,,,,-409.00M,3.182B,,AOR,
2000-06,930.00M,930.00M,2.322B,3.252B,1.234B,7.065B,8.299B,,,,,11.55B,,,,,,,,,,3.296B,493.00M,3.789B,6.135B,,,,,9.924B,22.10B,,,,8.493B,8.493B,,390.00M,,390.00M,,,,,8.883B,1.818B,,1.818B,,,,,,800.00M,850.00M,,2.668B,18.21B,,260.00M,3.036B,548.00M,141.00M,,,,-394.00M,3.087B,,AOR,
2000-03,774.00M,774.00M,2.263B,3.037B,1.201B,6.299B,7.50B,,,,,10.54B,,,,,,,,,,3.335B,498.00M,3.833B,6.175B,,,,,10.01B,21.30B,,,,7.837B,7.837B,,343.00M,,343.00M,,,,,8.18B,1.593B,,1.593B,,,,,,800.00M,850.00M,,2.443B,17.41B,,259.00M,2.966B,536.00M,106.00M,,,,-338.00M,3.09B,,AOR,
1999-12,837.00M,837.00M,2.362B,3.199B,,,7.346B,,,73.00M,,10.62B,,,,,,,,,,3.359B,503.00M,3.862B,6.184B,,,270.00M,,10.32B,21.13B,,,,7.643B,7.643B,,303.00M,,303.00M,,,,,7.946B,1.611B,,1.611B,,,,,,,850.00M,,2.461B,18.08B,,259.00M,2.905B,525.00M,90.00M,,,,-309.00M,3.051B,,AOR,Restated
1999-09,,0.00,6.483B,6.483B,6.992B,,6.992B,,,,,13.48B,,,,,,,,,,,3.842B,3.842B,,,,,,3.842B,21.11B,,,,,,,1.129B,,1.129B,,,,,1.129B,817.00M,,817.00M,,,,,,800.00M,,,817.00M,17.11B,,,2.948B,,,,,,,3.206B,,,
1999-06,,0.00,6.358B,6.358B,7.252B,,7.252B,,,,,13.61B,,,,,,,,,,,3.642B,3.642B,,,,,,3.642B,21.00B,,,,,,,926.00M,,926.00M,,,,,926.00M,814.00M,,814.00M,,,,,,800.00M,,,814.00M,17.04B,,,2.871B,,,,,,,3.168B,,,
1999-03,,0.00,6.39B,6.39B,7.052B,,7.052B,,,,,13.44B,,,,,,,,,,,3.594B,3.594B,,,,,,3.594B,20.48B,,,,,,,929.00M,,929.00M,,,,,929.00M,576.00M,,576.00M,,,,,,800.00M,,,576.00M,16.75B,,,2.726B,,,,,,,2.937B,,,
1998-12,723.00M,723.00M,2.221B,2.944B,1.183B,5.423B,6.606B,,,0.00,,9.55B,,,,,,,,,,3.006B,494.00M,3.50B,6.452B,,,214.00M,,10.17B,19.69B,,6.948B,156.00M,7.104B,7.104B,,501.00M,,501.00M,,,,,7.605B,923.00M,,923.00M,,,,,,800.00M,850.00M,,1.773B,15.87B,,172.00M,2.782B,450.00M,58.00M,,,,-116.00M,3.017B,,AOR,Restated
1998-09,,0.00,6.395B,6.395B,1.085B,,1.085B,,,,,7.481B,,,,,,,,,,,3.341B,3.341B,,,,,,3.341B,19.94B,,,,,,,1.053B,,1.053B,,,,,1.053B,594.70M,,594.70M,,,,,,800.00M,,,594.70M,16.09B,,,2.642B,,,,-82.20M,,-82.20M,3.047B,,,
1998-06,,0.00,6.545B,6.545B,1.109B,,1.109B,,,,,7.653B,,,,,,,,,,,3.274B,3.274B,,,,,,3.274B,19.85B,,,,,,,931.20M,,931.20M,,,,,931.20M,624.50M,,624.50M,,,,,,800.00M,,,624.50M,15.97B,,,2.655B,,,,-91.40M,,-91.40M,3.075B,,,
1998-03,,0.00,6.117B,6.117B,993.50M,,993.50M,,,,,7.111B,,,,,,,,,,,3.142B,3.142B,,,,,,3.142B,18.87B,,,,,,,675.60M,,675.60M,,,,,675.60M,618.30M,,618.30M,,,,,,800.00M,,,618.30M,15.14B,,,2.507B,,,,-83.30M,,-83.30M,2.934B,,,
1997-12,,0.00,5.922B,5.922B,863.00M,,863.00M,,,,,6.785B,,,,,,,,,,,3.094B,3.094B,,,,,,3.094B,18.69B,,,,,,,764.00M,,764.00M,,,,,764.00M,637.00M,,637.00M,,,,,,800.00M,,,637.00M,15.02B,,,2.463B,,,,-86.00M,,-86.00M,2.872B,,AOR,
1997-09,,0.00,5.446B,5.446B,5.636B,,5.636B,,,,,11.08B,,,,,,,,,443.90M,,2.803B,2.803B,,80.10M,,,,3.327B,17.83B,,,,,,,592.60M,,592.60M,,,,,592.60M,679.10M,,679.10M,,,,,,,,,679.10M,14.06B,,,2.365B,,,,-57.80M,,-57.80M,3.770B,,,
1997-06,,0.00,5.057B,5.057B,5.778B,,5.778B,,,,,10.84B,,,,,,,,,453.00M,,2.196B,2.196B,,82.30M,,,,2.731B,17.41B,,,,,,,479.30M,,479.30M,,,,,479.30M,667.70M,,667.70M,,,,,,,,,667.70M,14.54B,,,2.354B,,,,-46.10M,,-46.10M,2.868B,,,
1997-03,,0.00,4.978B,4.978B,5.773B,,5.773B,,,,,10.75B,,,,,,,,,439.10M,,2.255B,2.255B,,82.80M,,,,2.777B,17.32B,,,,,,,345.40M,,345.40M,,,,,345.40M,618.70M,,618.70M,,,,,,800.00M,,,618.70M,13.77B,,,2.272B,,,,-34.60M,,-34.60M,2.746B,,,
1996-12,,0.00,5.126B,5.126B,4.555B,,4.555B,,,,,9.681B,,,,,,,,,323.00M,,1.06B,1.06B,,87.00M,,,,1.47B,13.72B,,,,,,,213.00M,,213.00M,,,,,213.00M,475.00M,,475.00M,,,,,,,,,475.00M,10.84B,,,2.357B,,,,1.00M,,1.00M,2.884B,,AOR,
1996-09,,0.00,4.864B,4.864B,790.30M,,790.30M,,,,,5.654B,,,,,,,,,277.50M,,1.393B,1.393B,,58.30M,,,,1.729B,12.23B,,,,,,,59.60M,,59.60M,,,,,59.60M,522.90M,,522.90M,,,,,,,,,522.90M,9.459B,,,2.313B,,,,-11.50M,,-11.50M,2.768B,,,
1996-06,,0.00,4.955B,4.955B,841.30M,,841.30M,,,,,5.796B,,,,,,,,,275.20M,,1.384B,1.384B,,92.30M,,,,1.751B,12.00B,,,,,,,89.70M,,89.70M,,,,,89.70M,534.60M,,534.60M,,,,,,,,,534.60M,9.255B,,,2.337B,,,,-14.90M,,-14.90M,2.744B,,,
1996-03,,0.00,9.794B,9.794B,702.10M,,702.10M,,,,,10.50B,,,,,,,,,309.60M,,1.575B,1.575B,,885.10M,,,,2.770B,20.12B,,,,,,,354.20M,,354.20M,,,,,354.20M,536.10M,,536.10M,,,,,,,,,536.10M,17.41B,,,2.250B,,,,-5.70M,,-5.70M,2.715B,,,
1995-12,115.30M,115.30M,938.30M,1.054B,3.484B,-487.70M,2.997B,,,,,4.050B,,,,,,,,,307.80M,957.60M,640.10M,1.598B,9.781B,858.30M,,,,12.54B,19.74B,,2.409B,200.90M,2.610B,2.610B,,243.90M,,243.90M,,,,,2.854B,495.50M,,495.50M,129.30M,,129.30M,,,,50.00M,,674.80M,17.48B,,121.70M,1.998B,485.20M,72.90M,11.10M,1.80M,-164.30M,-162.50M,2.257B,,AOR,
1995-09,,0.00,9.712B,9.712B,800.30M,,800.30M,,,,,10.51B,,,,,,,,,308.10M,,1.555B,1.555B,,820.30M,,,,2.684B,19.64B,,,,,,,322.20M,,322.20M,,,,,322.20M,496.40M,,496.40M,,,,,,,,,496.40M,17.02B,,,2.131B,,,,-4.70M,,-4.70M,2.622B,,,
1995-06,,0.00,9.553B,9.553B,740.20M,,740.20M,,,,,10.29B,,,,,,,,,303.30M,,1.579B,1.579B,,793.70M,,,,2.676B,19.02B,,,,,,,227.00M,,227.00M,,,,,227.00M,496.20M,,496.20M,,,,,,,,,496.20M,16.37B,,,2.112B,,,,4.70M,,4.70M,2.653B,,,
1995-03,,0.00,9.359B,9.359B,746.60M,,746.60M,,,,,10.11B,,,,,,,,,291.40M,,1.610B,1.610B,,791.20M,,,,2.693B,18.85B,,,,,,,259.20M,,259.20M,,,,,259.20M,487.00M,,487.00M,,,,,,,,,487.00M,16.38B,,,2.023B,,,,10.50M,,10.50M,2.469B,,,
1994-12,508.80M,508.80M,783.20M,1.292B,2.520B,133.50M,2.653B,,,,,3.945B,,,,,,,,,266.50M,869.40M,678.60M,1.548B,9.568B,214.90M,,,,11.60B,17.92B,,2.409B,200.90M,2.610B,2.610B,,243.90M,,243.90M,,,,,2.854B,495.50M,,495.50M,129.30M,,129.30M,,,,50.00M,,674.80M,15.66B,,121.70M,1.998B,485.20M,72.90M,11.10M,-19.70M,-142.80M,-162.50M,2.257B,,AOR,
1994-09,,0.00,9.083B,9.083B,2.437B,,2.437B,,,,,11.52B,,,,,,,,,254.00M,,1.563B,1.563B,,787.60M,,,,2.604B,17.71B,,,,,,,246.50M,,246.50M,,,,,246.50M,495.10M,,495.10M,,,,,,,,,495.10M,15.41B,,,1.903B,,,,-28.60M,,-28.60M,2.306B,,,
1994-06,,0.00,8.847B,8.847B,2.509B,,2.509B,,,,,11.36B,,,,,,,,,249.50M,,1.577B,1.577B,,790.60M,,,,2.618B,17.38B,,,,,,,167.30M,,167.30M,,,,,167.30M,495.50M,,495.50M,,,,,,,,,495.50M,15.08B,,,1.889B,,,,-38.90M,,-38.90M,2.299B,,,
1994-03,,0.00,8.907B,8.907B,2.516B,,2.516B,,,,,11.42B,,,,,,,,,235.20M,,1.555B,1.555B,,787.70M,,,,2.578B,17.12B,,,,,,,164.30M,,164.30M,,,,,164.30M,493.50M,,493.50M,,,,,,,,,493.50M,14.82B,,,1.810B,,,,-65.80M,,-65.80M,2.305B,,,
1993-12,,,,,,,,,,,,,,,,,,,,,,,840.80M,840.80M,,,,,,840.80M,16.28B,,,,,,,168.60M,,168.60M,,,,,168.60M,521.30M,,521.30M,,,,,,,,,521.30M,13.99B,,,1.785B,,,,,,,2.288B,,,
1993-09,,0.00,8.979B,8.979B,2.182B,,2.182B,,,,,11.16B,,,,,,,,,219.60M,,1.445B,1.445B,,767.70M,,,,2.432B,16.17B,,,,,,,205.70M,,205.70M,,,,,205.70M,522.10M,,522.10M,,,,,,,,,522.10M,13.91B,,,1.714B,,,,-51.10M,,-51.10M,2.252B,,,
1993-06,,0.00,8.641B,8.641B,2.194B,,2.194B,,,,,10.83B,,,,,,,,,215.30M,,1.446B,1.446B,,780.10M,,,,2.442B,15.68B,,,,,,,86.60M,,86.60M,,,,,86.60M,599.20M,,599.20M,,,,,,,,,599.20M,13.46B,,,1.706B,,,,-49.10M,,-49.10M,2.222B,,,
1993-03,,0.00,9.420B,9.420B,2.020B,,2.020B,,,,,11.44B,,,,,,,,,189.90M,,1.418B,1.418B,,,,,,1.608B,15.29B,,,,,,,123.70M,,123.70M,,,,,123.70M,546.70M,,546.70M,,,,,,,,,546.70M,13.13B,,,1.625B,,,,,,,2.166B,,,
1992-12,,0.00,8.247B,8.247B,1.720B,,1.720B,,,,,9.967B,,,,,,,,,192.90M,,727.10M,727.10M,,592.30M,,,,1.512B,14.29B,,,,,,,115.10M,,115.10M,,,,,115.10M,477.90M,,477.90M,,,,,,,,,477.90M,12.19B,,,1.603B,,,,-39.10M,,-39.10M,2.104B,,,
1992-09,,0.00,8.785B,8.785B,1.008B,,1.008B,,,,,9.793B,,,,,,,,,152.90M,,847.70M,847.70M,,,,,,1.001B,12.62B,,,,,,,145.10M,,145.10M,,,,,145.10M,368.40M,,368.40M,,,,,,,,,368.40M,10.73B,,,1.694B,,,,,,,1.893B,,,
1992-06,,0.00,7.803B,7.803B,1.022B,,1.022B,,,,,8.825B,,,,,,,,,156.30M,,862.10M,862.10M,,833.30M,,,,1.852B,12.44B,,,,,,,104.80M,,104.80M,,,,,104.80M,397.60M,,397.60M,,,,,,,,,397.60M,10.57B,,,1.689B,,,,,,,1.874B,,,
1992-03,,0.00,7.616B,7.616B,878.40M,,878.40M,,,,,8.495B,,,,,,,,,150.90M,,797.50M,797.50M,,853.20M,,,,1.802B,12.00B,,,,,,,29.90M,,29.90M,,,,,29.90M,400.60M,,400.60M,,,,,,,,,400.60M,10.21B,,,1.624B,,,,,,,1.797B,,,
1991-12,,0.00,7.508B,7.508B,822.30M,,822.30M,,,,,8.331B,,,,,,,,,146.00M,,721.00M,721.00M,,851.60M,,,,1.719B,11.63B,,,,,,,63.30M,,63.30M,,,,,63.30M,418.00M,,418.00M,,,,,,,,,418.00M,9.858B,,,1.602B,,,,,,,1.775B,,,
1991-09,,0.00,7.302B,7.302B,711.50M,,711.50M,,,,,8.014B,,,,,,,,,131.50M,,551.20M,551.20M,,874.70M,,,,1.557B,11.06B,,,,,,,28.00M,,28.00M,,,,,28.00M,502.00M,,502.00M,,,,,,,,,502.00M,9.486B,,,1.544B,,,,,,,1.575B,,,
1991-06,,0.00,7.051B,7.051B,646.50M,,646.50M,,,,,7.698B,,,,,,,,,133.30M,,562.70M,562.70M,,890.40M,,,,1.586B,10.71B,,,,,,,40.00M,,40.00M,,,,,40.00M,416.30M,,416.30M,,,,,,,,,416.30M,9.194B,,,1.533B,,,,,,,1.514B,,,
1991-03,,0.00,6.822B,6.822B,679.90M,,679.90M,,,,,7.502B,,,,,,,,,136.60M,,565.10M,565.10M,,892.00M,,,,1.594B,10.46B,,,,,,,,,,,,,,,517.20M,,517.20M,,,,,,,,,517.20M,9.003B,,,1.473B,,,,,,,1.452B,,,
