,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding
2003-07,300.37M,300.37M,34.30M,266.06M,,,97.95M,70.72M,33.08M,,3.707M,,,,-23.86M,177.89M,88.18M,,,,3.707M,,68.03M,19.55M,48.48M,,,48.48M,45.83M,135.07M,46.90M,88.18M,0.315,0.0,,,0.2978,0.315,0.3,0.0,,,0.2838,0.3,153.24M,162.70M
2003-04,292.03M,292.03M,59.38M,232.65M,,,105.21M,68.61M,9.169M,,-10.74M,,,,,182.99M,49.66M,,,,-10.74M,,38.93M,16.64M,22.29M,,,22.29M,28.73M,96.63M,46.97M,49.66M,0.15,0.0,,,0.1933,0.15,0.15,0.0,,,0.1921,0.15,148.70M,153.03M
2003-01,268.14M,268.14M,38.56M,229.58M,,,93.79M,67.27M,28.78M,,9.21M,,,,,189.84M,39.74M,,,,9.21M,,48.95M,14.56M,34.38M,,,34.38M,27.91M,83.64M,43.90M,39.74M,0.23,0.0,,,0.1863,0.23,0.225,0.0,,,0.1828,0.225,148.13M,153.28M
2002-10,309.26M,309.26M,69.26M,240.00M,,,221.52M,68.61M,-1.937M,,-130.26M,,,,,184.30M,55.70M,,,,-130.26M,,-178.46M,-80.62M,-97.84M,,,-97.84M,-19.68M,101.97M,46.26M,55.70M,-0.715,0.0,,,-0.1754,-0.715,-0.715,0.0,,,-0.1754,-0.715,144.84M,144.84M
2002-07,236.10M,236.10M,34.32M,201.78M,,,91.03M,61.58M,22.19M,,-188.36M,,,,103.90M,278.70M,-76.92M,,,,-188.36M,,-161.38M,-23.79M,-137.59M,,,-137.59M,23.00M,-41.35M,35.57M,-76.92M,-0.965,0.0,,,0.1634,-0.965,-0.965,0.0,,,0.1634,-0.965,142.31M,142.31M
2002-04,185.64M,185.64M,34.39M,151.25M,,,80.74M,46.65M,4.356M,,11.21M,,,,,131.74M,19.50M,,,,11.21M,,30.72M,9.336M,21.38M,,,21.38M,13.58M,37.10M,17.59M,19.50M,0.175,0.0,,,0.1113,0.175,0.165,0.0,,,0.1049,0.165,122.46M,129.87M
2002-01,175.54M,175.54M,35.19M,140.36M,,,78.51M,48.71M,4.044M,,11.08M,,,,,131.26M,9.098M,,,,11.08M,,20.18M,6.127M,14.05M,,,14.05M,6.336M,25.77M,16.67M,9.098M,0.115,0.0,,,0.0508,0.115,0.11,0.0,,,0.0507,0.11,120.27M,130.02M
2001-10,183.56M,183.56M,34.39M,149.17M,,,84.97M,46.59M,4.498M,,16.88M,,,,,136.06M,13.11M,,,,16.88M,,30.00M,9.599M,20.40M,,,20.40M,8.918M,30.13M,17.01M,13.11M,0.17,0.0,,,0.0731,0.17,0.16,0.0,,,0.0682,0.16,118.51M,125.10M
2001-07,176.11M,176.11M,32.72M,143.39M,,,88.09M,49.38M,4.163M,,19.50M,,,,,141.64M,1.751M,,,,19.50M,,21.25M,6.80M,14.45M,,,14.45M,1.191M,17.91M,16.16M,1.751M,0.12,0.0,,,0.0096,0.12,0.11,0.0,,,0.0078,0.11,120.10M,129.77M
2001-04,163.52M,163.52M,30.96M,132.57M,,,84.31M,47.64M,4.179M,,21.92M,,,,,136.12M,-3.553M,,,,21.92M,,18.37M,5.878M,12.49M,,,12.49M,-2.416M,12.72M,16.28M,-3.553M,0.105,0.0,,,-0.0176,0.105,0.095,0.0,,,-0.019,0.095,121.55M,130.77M
2001-01,157.15M,157.15M,32.06M,125.10M,,,86.27M,46.22M,4.172M,,25.48M,,,,,136.66M,-11.56M,,,,25.48M,,13.92M,4.454M,9.464M,,,9.464M,-7.863M,4.153M,15.72M,-11.56M,0.075,0.0,,,-0.065,0.075,0.075,0.0,,,-0.0578,0.075,123.80M,130.49M
2000-10,133.22M,133.22M,20.63M,112.59M,,,94.66M,48.73M,,,13.37M,,,,,160.57M,-47.98M,,,,13.37M,,-34.60M,-12.34M,-22.27M,,,-22.27M,-30.88M,-30.79M,17.19M,-47.98M,-0.14,0.0,,,-0.2073,-0.14,-0.14,0.0,,,-0.205,-0.14,127.92M,132.44M
2000-07,228.84M,228.84M,18.59M,210.25M,,,89.68M,50.32M,,,8.797M,,,,,157.18M,53.06M,,,,8.797M,,61.86M,20.49M,41.37M,,,41.37M,35.49M,70.24M,17.18M,53.06M,0.305,0.0,,,0.2619,0.305,0.295,0.0,,,0.2527,0.295,136.56M,139.21M
2000-04,204.85M,204.85M,18.51M,186.34M,,,84.43M,45.96M,,,9.694M,,,,,145.49M,40.85M,,,,9.694M,,,,33.57M,,,33.57M,27.76M,55.95M,15.10M,40.85M,0.245,0.0,,,0.2029,0.245,0.235,0.0,,,0.1941,0.235,138.31M,142.18M
2000-01,216.90M,216.90M,18.10M,198.80M,,,79.20M,44.30M,,,7.10M,,,,,137.80M,61.00M,,,,7.10M,,68.10M,23.00M,45.10M,,,45.10M,40.40M,75.30M,14.30M,61.00M,0.32,0.0,,,0.2868,0.32,0.305,0.0,,,0.2734,0.305,141.57M,148.56M
1999-09,228.30M,228.30M,19.00M,209.30M,,,81.10M,45.10M,,,9.40M,,,,,140.80M,68.50M,,,,9.40M,,77.90M,24.90M,53.00M,,,53.00M,46.60M,83.10M,14.60M,68.50M,0.375,0.0,,,0.3297,0.375,0.36,0.0,,,0.3168,0.36,141.33M,147.92M
1999-06,207.40M,207.40M,19.60M,187.80M,,,71.60M,41.90M,,,4.50M,,,,,127.20M,60.60M,,,,4.50M,,65.20M,23.80M,41.40M,,,41.40M,38.54M,74.30M,13.70M,60.60M,0.29,0.0,,,0.27,0.29,0.28,0.0,,,0.2607,0.28,142.76M,147.86M
1999-03,190.19M,190.19M,14.00M,176.19M,,,69.40M,39.20M,,,-6.60M,,,,,120.80M,55.39M,,,,-6.60M,,48.90M,22.30M,26.60M,,,26.60M,30.56M,67.59M,12.20M,55.39M,0.19,0.0,,,0.2182,0.19,0.18,0.0,,,0.2068,0.18,140.57M,147.75M
1998-12,180.20M,180.20M,10.10M,170.10M,,,66.70M,40.90M,,,8.50M,,,,,119.10M,51.00M,,,,8.50M,,59.40M,19.00M,40.40M,,,40.40M,34.62M,62.50M,11.50M,51.00M,0.29,0.0,,,0.2485,0.29,0.28,0.0,,,0.2399,0.28,139.31M,144.29M
1998-09,194.00M,194.00M,14.20M,179.80M,,,74.60M,36.50M,,,-25.20M,,,,,122.60M,57.20M,,,,-25.20M,,32.10M,20.70M,11.40M,,,37.90M,26.52M,68.70M,11.50M,57.20M,0.07,0.195,,0.199,0.1828,0.265,0.065,0.19,,0.1905,0.1712,0.255,134.03M,142.35M
1998-06,179.60M,179.60M,12.50M,167.10M,,,70.00M,37.40M,,,3.60M,,,,,118.20M,48.90M,,,,3.60M,,52.60M,17.90M,34.70M,,,34.70M,32.33M,59.70M,10.80M,48.90M,0.26,0.0,,,0.2422,0.26,0.25,0.0,,,0.2329,0.25,133.46M,138.80M
