,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2002-10,-97.84M,,,22.87M,,46.26M,46.26M,-124.20M,,,,-2.538M,28.05M,,1.851M,-1.568M,-7.491M,31.70M,,52.54M,-102.90M,-12.85M,,-12.85M,,,21.36M,4.639M,181.46M,,,,16.27M,-129.90M,-113.63M,,-113.63M,347.66M,-35.08M,-0.005M,312.58M,16.27M,,,-129.90M
2002-07,-137.59M,,,96.26M,,35.57M,35.57M,-0.776M,,,,2.538M,-15.35M,,12.58M,-49.05M,-1.33M,-11.38M,,-64.52M,-68.52M,-9.36M,,-9.36M,,,-35.56M,-5.435M,-50.36M,,,,27.20M,-41.77M,-14.57M,,-14.57M,483.57M,-133.45M,-2.459M,347.66M,27.20M,,,-41.77M
2002-04,21.38M,,,4.736M,,17.59M,17.59M,-0.288M,,,,,-6.158M,,0.024M,2.476M,-0.212M,22.78M,,18.91M,62.33M,-8.718M,,-8.718M,,,167.01M,-0.398M,157.89M,,,,33.60M,,33.60M,,33.60M,231.97M,253.82M,-2.222M,483.57M,33.60M,,,
2002-01,14.05M,,,3.427M,,16.67M,16.67M,-2.903M,,,,,-1.268M,,-11.53M,-29.41M,-5.781M,-55.22M,,-103.21M,-71.96M,-17.82M,,-17.82M,,,4.955M,-0.398M,-13.27M,,,,42.79M,,42.79M,,42.79M,271.70M,-42.43M,2.707M,231.97M,42.79M,,,
2001-10,20.40M,,,5.24M,,17.01M,17.01M,,,,,,-17.68M,,2.135M,13.94M,-1.34M,202.17M,,199.22M,172.46M,-30.51M,4.122M,-26.39M,,,-18.09M,-4.519M,-49.00M,,,0.00,16.05M,-0.004M,16.04M,,16.04M,134.50M,139.51M,-1.907M,271.70M,16.05M,,,-0.004M
2001-07,14.45M,,,-6.438M,,16.16M,16.16M,,,,,,-0.43M,,-3.33M,16.23M,0.091M,-10.29M,,2.271M,26.44M,-18.39M,,-18.39M,,,84.91M,-0.164M,66.36M,,,-1.40M,24.01M,-125.56M,-101.55M,,-102.95M,145.59M,-10.15M,-0.936M,134.50M,24.01M,,,-125.56M
2001-04,12.49M,,,-9.16M,,16.28M,16.28M,,,,,,12.92M,,0.964M,9.146M,7.245M,32.30M,,62.58M,82.18M,-15.34M,-4.122M,-19.46M,,,-95.30M,4.03M,-110.73M,,,-1.985M,37.07M,-61.78M,-24.71M,,-26.69M,199.57M,-55.24M,1.261M,145.59M,37.07M,,,-61.78M
2001-01,9.464M,,,-16.62M,,15.72M,15.72M,,,,,,,,,-47.38M,-7.75M,61.31M,,6.177M,14.74M,-18.25M,4.122M,-14.13M,,,169.98M,-0.66M,155.19M,,,-3.083M,28.23M,-144.54M,-116.31M,,-119.39M,153.12M,50.54M,-4.087M,199.57M,28.23M,,,-144.54M
2000-10,-22.27M,,,0.821M,,17.19M,17.19M,-33.44M,,,,,27.51M,,,22.60M,-23.56M,-6.231M,,20.32M,-17.38M,-23.27M,,-23.27M,,-5.882M,-80.76M,3.197M,-106.71M,,,-0.299M,12.54M,-186.16M,-173.63M,,-173.93M,450.97M,-298.02M,0.168M,153.12M,12.54M,,,-186.16M
2000-07,41.37M,,,0.105M,,17.18M,17.18M,-1.581M,,,,,-19.10M,,,28.28M,-0.273M,9.777M,,18.68M,75.76M,-17.84M,,-17.84M,,-2.946M,273.88M,0.00,253.10M,,,-6.073M,7.11M,-28.41M,-21.30M,,-27.37M,150.61M,301.48M,-1.121M,450.97M,7.11M,,,-28.41M
2000-04,33.58M,,,-2.347M,,15.10M,15.10M,1.736M,,,,,-3.287M,,,7.106M,-1.267M,12.12M,,14.67M,62.74M,-10.09M,,-10.09M,,-5.646M,-36.61M,5.00M,-47.35M,,,-0.80M,15.70M,-99.89M,-84.19M,,-84.99M,222.20M,-69.60M,-1.98M,150.61M,15.70M,,,-99.89M
2000-01,45.10M,,,6.90M,,14.30M,14.30M,-4.40M,,,,,-23.90M,,,-18.80M,-7.80M,18.60M,,-31.90M,30.00M,-17.30M,,-17.30M,,,-28.70M,-5.50M,-51.50M,,,-6.40M,24.20M,-83.00M,-58.80M,,-65.20M,309.40M,-86.70M,-0.50M,222.20M,24.20M,,,-83.00M
1999-09,53.00M,,,-0.50M,,14.60M,14.60M,-5.80M,,,,0.30M,4.60M,,,14.30M,0.70M,32.80M,,52.40M,114.00M,-12.70M,,30.30M,,,29.20M,,59.50M,,,0.00,22.60M,-67.70M,-45.10M,,-45.10M,0.00,128.40M,-0.20M,285.30M,22.60M,,,-67.70M
1999-06,41.40M,,,4.40M,,13.70M,13.70M,0.30M,,,,-0.30M,-19.20M,,,-4.90M,-7.30M,-17.00M,,-48.40M,11.10M,-26.60M,,-26.60M,,,70.50M,-3.20M,40.70M,,,-3.10M,17.60M,-27.70M,-10.10M,-0.10M,-13.30M,118.50M,38.50M,-0.10M,0.00,17.60M,,,-27.70M
1999-03,26.60M,,,16.80M,,12.20M,12.20M,-0.60M,,,,0.10M,-8.70M,,,8.90M,3.50M,15.30M,,19.00M,74.10M,-55.20M,,-55.20M,,,1.00M,-0.30M,-54.50M,,,-1.50M,14.70M,,14.70M,0.10M,13.30M,0.00,32.90M,-0.50M,118.50M,14.70M,,,
1998-12,40.40M,,,9.30M,,11.50M,11.50M,1.00M,,,,,-3.40M,,,-24.60M,-2.60M,-7.50M,,-38.10M,24.10M,-17.80M,,-17.80M,,,-128.30M,3.50M,-142.60M,,,-8.00M,47.80M,,47.80M,,39.80M,164.50M,-78.70M,0.40M,0.00,47.80M,,,
1998-09,11.40M,,,12.90M,,11.50M,11.50M,-1.30M,,,,-8.30M,-29.80M,,,-10.50M,-4.60M,41.10M,,-3.80M,22.40M,-57.10M,,-5.20M,,,-20.30M,2.50M,-23.00M,,,-0.90M,9.60M,,-2.80M,-0.10M,-3.80M,0.00,-4.40M,2.10M,164.50M,9.60M,,,
1998-06,34.60M,,,3.00M,,10.80M,10.80M,-5.00M,,,,8.40M,1.70M,,,7.30M,2.80M,-5.50M,,6.30M,58.10M,-9.80M,,-9.80M,,,-1.70M,-1.40M,-12.90M,,,-1.80M,30.20M,,30.20M,0.10M,28.50M,0.00,73.70M,-0.50M,0.00,30.20M,,,
