,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2004-01,,412.73M,205.04M,617.77M,194.39M,71.47M,265.86M,,29.42M,271.74M,,1.185B,,,,,,,477.97M,-291.44M,186.53M,,803.31M,803.31M,,56.78M,1.047B,2.231B,149.39M,,,149.39M,179.64M,329.02M,,,,,415.80M,415.80M,,744.83M,,,,,,,,,,73.85M,818.68M,1.557M,228.96M,1.233B,52.63M,,,2.272M,1.413B
2003-10,,524.31M,174.05M,698.36M,201.00M,72.12M,273.12M,,19.30M,248.42M,,1.239B,0.0,42.75M,88.39M,344.61M,,,475.76M,-291.44M,184.31M,,836.32M,836.32M,,47.52M,1.068B,2.307B,204.23M,,,204.23M,201.86M,406.08M,,,,,398.88M,398.88M,,804.96M,,,,,,,,,,68.98M,873.94M,1.56M,251.98M,1.198B,20.73M,,,2.183M,1.433B
2003-07,,426.28M,141.81M,568.09M,201.80M,,201.80M,,17.97M,286.15M,,1.074B,,,,,,,427.76M,-247.02M,180.74M,,868.19M,868.19M,,46.31M,1.095B,2.169B,181.61M,,,181.61M,178.50M,360.10M,,0.028M,,0.028M,425.83M,425.83M,,785.96M,,,,,,,,,,85.55M,871.51M,0.771M,240.14M,1.138B,74.37M,,,-6.388M,1.298B
2003-04,,268.82M,123.28M,392.10M,246.01M,,246.01M,,22.20M,270.06M,,930.36M,,,,,,,427.14M,-247.02M,180.12M,,894.15M,894.15M,,59.72M,1.134B,2.064B,168.52M,,,168.52M,,168.52M,,0.028M,,0.028M,445.19M,445.19M,153.78M,767.51M,,,,,,,,,,98.00M,865.51M,0.74M,236.11M,1.064B,101.57M,,,-0.269M,1.199B
2003-01,,347.34M,122.92M,470.26M,220.57M,,220.57M,,27.80M,288.92M,,1.008B,,,,,,,429.47M,-247.02M,182.45M,,763.42M,763.42M,34.23M,30.37M,1.010B,2.018B,194.64M,,,194.64M,164.14M,358.78M,,0.078M,,0.078M,383.56M,383.56M,,742.41M,,,,,,,,,,86.72M,829.13M,0.743M,225.84M,1.042B,84.00M,,,3.818M,1.189B
2002-10,,312.58M,102.15M,414.73M,207.21M,,207.21M,,24.51M,282.87M,,929.32M,0.0,42.75M,83.62M,305.68M,,,432.06M,-247.02M,185.04M,,789.89M,789.89M,35.08M,39.39M,1.049B,1.979B,246.79M,,,246.79M,169.91M,416.70M,,1.423M,,1.423M,359.24M,359.24M,,777.37M,,,,,,,,,,87.86M,865.23M,0.735M,198.86M,1.039B,116.50M,,,-9.004M,1.113B
2002-07,,347.66M,98.55M,446.21M,233.16M,,233.16M,,54.97M,169.21M,,903.55M,,,,,,,396.01M,-210.14M,185.87M,368.07M,351.25M,719.32M,,350.27M,1.255B,2.159B,233.76M,,,233.76M,123.34M,357.09M,,0.178M,,0.178M,379.90M,379.90M,,737.17M,,,,,,,,,,113.57M,850.74M,0.761M,303.76M,1.031B,9.875M,,,-17.56M,1.308B
2002-04,,483.57M,48.17M,531.74M,151.95M,,151.95M,,30.92M,152.49M,,867.10M,,,,,,,404.36M,-210.14M,194.22M,,26.97M,26.97M,,107.99M,329.19M,1.196B,108.74M,,,108.74M,,108.74M,,0.515M,,0.515M,327.32M,327.32M,55.76M,492.33M,,,,,,,,,,92.94M,585.27M,0.616M,451.32M,588.60M,434.94M,,,5.429M,611.02M
2002-01,,231.97M,206.79M,438.76M,146.33M,,146.33M,,30.94M,152.13M,,768.17M,,,,,,,408.23M,-210.14M,198.09M,,30.92M,30.92M,,117.64M,346.65M,1.115B,105.61M,,,105.61M,55.77M,161.38M,,0.536M,,0.536M,295.83M,295.83M,,457.74M,,,,,,,,,,101.24M,558.99M,584.52M,439.75M,,477.82M,,,9.383M,555.83M
2001-10,,271.70M,204.74M,476.44M,146.29M,,146.29M,,19.41M,149.24M,,791.38M,0.0,50.15M,35.78M,316.52M,,,402.44M,-210.14M,192.30M,,35.08M,35.08M,,110.14M,337.52M,1.129B,135.27M,,,135.27M,110.56M,245.83M,,0.535M,,0.535M,290.05M,290.05M,,536.42M,,,,,,,,,,106.83M,643.25M,0.595M,436.66M,575.40M,531.12M,,,4.113M,485.66M
