,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,OtherInventory,Inventories,PrepaidExpenses,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2011-10,7.063B,7.063B,4.757B,4.757B,,44.14B,3.227B,,59.27B,,,,,157.50B,,157.50B,-47.11B,110.39B,20.41B,,20.41B,4.967B,135.77B,195.04B,,37.35B,1.305B,382.00M,39.04B,16.89B,55.93B,,11.06B,11.06B,321.00M,11.38B,,,27.00M,67.34B,44.87B,2.979B,47.85B,8.085B,8.085B,4.228B,373.00M,,56.31B,123.65B,,3.769B,64.77B,,,,-1.375B,67.16B,,AOR,Restated
2011-07,8.102B,8.102B,5.265B,5.265B,,38.65B,3.308B,,55.41B,,,,,160.09B,,160.09B,-48.50B,111.59B,21.53B,,21.53B,5.12B,138.24B,193.66B,,34.70B,2.556B,898.00M,38.16B,17.82B,55.97B,,8.222B,8.222B,404.00M,8.626B,,,28.00M,64.62B,45.24B,3.214B,48.45B,7.304B,7.304B,4.907B,428.00M,,56.18B,120.81B,,3.876B,62.78B,,,,1.286B,67.94B,,AOR,Restated
2011-04,9.40B,9.40B,4.785B,4.785B,,38.34B,3.33B,,55.96B,,,,,157.83B,,157.83B,-48.69B,109.14B,16.90B,,16.90B,4.068B,130.11B,186.06B,,34.32B,3.828B,927.00M,39.08B,15.96B,55.04B,,6.624B,6.624B,345.00M,6.969B,,,44.00M,62.05B,45.49B,3.211B,48.70B,6.902B,6.902B,2.986B,423.00M,,56.02B,118.07B,,3.798B,60.33B,,,,878.00M,65.01B,,AOR,Restated
2011-01,7.395B,7.395B,5.089B,5.089B,,36.44B,2.96B,,52.01B,0.00,24.39B,79.05B,40.88B,5.905B,4.262B,154.49B,-46.61B,107.88B,16.76B,,16.76B,4.129B,128.77B,180.78B,,33.68B,,157.00M,33.83B,15.25B,49.09B,,5.686B,5.686B,336.00M,6.022B,,,47.00M,58.60B,40.69B,3.15B,43.84B,6.682B,6.682B,2.705B,408.00M,,50.93B,109.54B,,352.00M,63.97B,3.577B,,,646.00M,68.54B,,AOR,Restated
2010-10,10.62B,10.62B,4.374B,4.374B,,41.06B,3.382B,,59.57B,,,,,151.52B,,151.52B,-44.97B,106.54B,16.59B,,16.59B,4.194B,127.32B,186.89B,,36.21B,1.191B,518.00M,37.92B,17.52B,55.44B,,12.55B,12.55B,347.00M,12.90B,,,77.00M,68.41B,40.80B,3.096B,43.90B,6.197B,6.197B,2.495B,367.00M,,50.46B,118.87B,,3.969B,61.45B,,,,105.00M,65.52B,,AOR,Restated
2010-07,10.20B,10.20B,4.531B,4.531B,,34.79B,3.395B,,53.04B,,,,,147.84B,,147.84B,-44.03B,103.81B,15.99B,,15.99B,4.092B,123.90B,176.94B,,33.95B,2.292B,1.257B,37.50B,17.55B,55.05B,,10.18B,10.18B,346.00M,10.53B,,,75.00M,65.66B,35.63B,3.073B,38.70B,5.368B,5.368B,2.25B,323.00M,,44.39B,110.05B,,3.999B,61.75B,,,,-1.099B,64.65B,,AOR,Restated
2010-04,8.516B,8.516B,4.235B,4.235B,,35.50B,3.291B,,51.67B,,,,,145.52B,,145.52B,-42.60B,102.93B,15.86B,,15.86B,3.91B,122.70B,174.37B,,31.37B,3.546B,2.726B,37.64B,15.62B,53.26B,,10.82B,10.82B,353.00M,11.18B,,,74.00M,64.51B,32.67B,3.112B,35.78B,5.152B,5.152B,2.273B,325.00M,,41.26B,105.77B,,4.059B,62.49B,,,,-216.00M,66.33B,,AOR,Restated
2010-01,7.907B,7.907B,4.144B,4.144B,,32.71B,3.128B,,48.03B,0.00,22.59B,73.66B,36.39B,5.669B,5.21B,143.52B,-41.21B,102.31B,16.13B,,16.13B,3.942B,122.38B,170.41B,,30.45B,,1.347B,31.80B,15.51B,47.31B,,4.573B,4.573B,346.00M,4.919B,,,92.00M,55.54B,33.23B,3.17B,36.40B,5.508B,5.508B,2.18B,307.00M,,42.22B,97.76B,,378.00M,66.36B,3.803B,,,-70.00M,70.47B,,AOR,Restated
2009-10,6.003B,6.003B,3.776B,3.776B,,38.78B,3.249B,,51.95B,,,,,140.77B,,140.77B,-39.55B,101.22B,16.16B,,16.16B,3.603B,120.99B,172.93B,,30.92B,1.021B,810.00M,32.75B,16.64B,49.39B,5.239B,4.169B,9.408B,344.00M,9.752B,,,38.00M,59.18B,34.39B,3.207B,37.60B,6.202B,6.202B,1.954B,310.00M,,44.11B,103.29B,,4.134B,64.10B,,,,-551.00M,67.69B,,AOR,Restated
2009-07,7.997B,7.997B,3.684B,3.684B,,33.86B,3.336B,,49.02B,,,,,138.65B,,138.65B,-38.47B,100.19B,16.15B,,16.15B,3.581B,119.92B,168.94B,,28.80B,2.073B,1.162B,32.03B,16.71B,48.74B,1.122B,6.959B,8.081B,336.00M,8.417B,,,41.00M,57.20B,33.58B,3.246B,36.82B,5.773B,5.773B,1.814B,326.00M,,42.92B,100.12B,,4.173B,63.15B,,,,-318.00M,67.01B,,AOR,Restated
2009-04,6.578B,6.578B,3.356B,3.356B,,34.39B,3.266B,,47.75B,,,,,132.87B,,132.87B,-36.76B,96.10B,14.88B,,14.88B,3.358B,114.34B,162.09B,,28.54B,3.234B,1.81B,33.58B,15.26B,48.85B,1.457B,5.731B,7.188B,318.00M,7.506B,,,45.00M,56.40B,32.48B,3.185B,35.66B,5.835B,5.835B,1.683B,277.00M,,41.78B,98.18B,,4.048B,61.56B,,,,-3.373B,62.23B,,AOR,Restated
