,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2006-03,59.50M,,,,,,106.30M,,,49.90M,49.90M,-38.90M,,,,-18.60M,-60.70M,12.30M,-6.50M,-28.20M,36.20M,48.30M,1.40M,-74.50M,85.10M,-66.10M,,-66.10M,,-2.70M,0.00,,-68.40M,,,-91.40M,11.80M,-46.70M,-34.90M,,0.00,,5.90M,-120.40M,370.30M,-103.70M,1.70M,268.30M,11.80M,,,-46.70M,,
2005-12,81.70M,,,,,,5.70M,,,49.90M,49.90M,-8.80M,,,,10.00M,68.80M,81.40M,-6.90M,,90.50M,9.30M,243.10M,68.50M,450.10M,-58.10M,,-58.10M,,-46.50M,-0.10M,,-104.90M,,,-43.50M,32.00M,-234.70M,-202.70M,,-85.40M,,-29.80M,-361.40M,389.50M,-16.20M,-3.00M,370.30M,32.00M,,,-234.70M,,
2005-09,58.50M,,,,,,2.10M,,,47.20M,47.20M,-9.80M,,,,9.20M,-144.80M,-57.60M,5.80M,,42.90M,-18.40M,-172.10M,-0.80M,-65.70M,-45.90M,,-45.90M,,,0.50M,,-45.80M,,,-10.40M,,-71.10M,-71.10M,,,,28.20M,-53.30M,553.30M,-164.80M,1.00M,389.50M,,,,-71.10M,,
2005-06,66.60M,,,,,,6.20M,,,52.70M,52.70M,68.80M,,,,-1.00M,108.60M,-63.90M,7.80M,-1.20M,-70.50M,9.40M,-9.80M,-0.20M,183.30M,-67.10M,,-67.10M,,-0.20M,0.00,,-67.30M,,,148.50M,6.20M,-221.50M,-215.30M,,0.00,,-5.20M,-72.00M,518.00M,44.00M,-8.70M,553.30M,6.20M,,,-221.50M,,
2005-03,106.20M,,,,,,3.90M,,,49.50M,49.50M,14.00M,,,,0.90M,-86.60M,-26.10M,-41.00M,7.60M,-42.50M,5.20M,-183.40M,-0.50M,-9.40M,-52.50M,,-52.50M,,-2.30M,0.00,,-54.80M,,,2.00M,32.70M,-29.40M,3.30M,,0.00,,-0.20M,5.10M,577.90M,-59.10M,-0.80M,518.00M,32.70M,,,-29.40M,,
2004-12,138.30M,,,,,,7.60M,,,47.60M,47.60M,10.80M,,,,-5.10M,99.50M,37.70M,20.50M,-6.40M,52.40M,,203.70M,-0.20M,402.70M,-71.60M,,-71.60M,,-0.30M,0.00,,-71.90M,,,2.90M,36.70M,-99.40M,-62.70M,,-87.10M,,-3.00M,-149.90M,387.10M,180.90M,9.90M,577.90M,36.70M,,,-99.40M,,
2004-09,95.00M,,,,,,1.40M,,,46.90M,46.90M,11.30M,,,,5.10M,-228.10M,-52.80M,-11.20M,,34.10M,,-258.00M,-0.20M,-98.50M,-38.40M,,-38.40M,,-4.30M,-0.30M,,-43.00M,,,2.70M,5.00M,-88.30M,-83.30M,,-3.00M,,,-83.60M,611.60M,-225.10M,0.60M,387.10M,5.00M,,,-88.30M,,
2004-06,71.10M,,,,,,1.60M,,,52.50M,52.50M,6.30M,,,,-9.80M,110.50M,-85.30M,42.20M,-6.00M,-66.70M,8.30M,3.00M,-1.30M,123.40M,-81.20M,,-81.20M,,-0.50M,0.00,0.00,-81.80M,,,-293.40M,17.70M,-17.60M,0.10M,,2.80M,,-6.00M,-296.50M,867.80M,-254.90M,-1.30M,611.60M,17.70M,,,-17.60M,,
2004-03,98.30M,,,,,,6.80M,,,47.40M,47.40M,12.30M,,,,18.10M,-25.40M,0.80M,-6.00M,22.20M,-6.00M,,-14.40M,-1.50M,167.00M,-43.20M,,-43.20M,,-0.20M,0.00,3.00M,-40.40M,,,-0.30M,28.70M,-122.10M,-93.40M,,-71.30M,,37.70M,-127.30M,869.90M,-0.70M,-1.40M,867.80M,28.70M,,,-122.10M,,
2003-12,95.70M,,,,,,38.30M,,,46.70M,46.70M,-0.30M,,,,0.40M,110.70M,73.30M,-95.60M,-16.20M,165.50M,10.60M,248.30M,0.40M,429.50M,-45.50M,,-45.50M,,-0.60M,0.00,,-46.10M,,,-4.80M,-14.50M,36.10M,21.60M,,,,-22.30M,-5.50M,482.70M,377.90M,9.30M,869.90M,-14.50M,,,36.10M,,
2003-09,77.00M,,,,,,1.10M,,,45.10M,45.10M,,,,,,-214.20M,-34.50M,89.20M,,,-10.60M,-170.10M,,-46.90M,-42.20M,,-42.20M,,-3.10M,-0.10M,,-45.40M,,,198.30M,29.50M,-12.30M,17.20M,,,,-2.20M,213.30M,364.10M,121.00M,-2.40M,482.70M,29.50M,,,-12.30M,,
2003-06,53.00M,,,,,,10.60M,,,47.00M,47.00M,10.70M,,,,,127.20M,-38.70M,28.20M,-6.40M,-47.90M,,18.00M,,139.30M,-61.50M,,-61.50M,,-43.30M,17.00M,,-87.80M,,,-90.80M,14.70M,-137.00M,-122.30M,,-7.00M,,,-220.10M,528.00M,-168.60M,4.70M,364.10M,14.70M,,,-137.00M,,
2003-03,83.80M,,,,,,2.80M,,,42.70M,42.70M,8.00M,,,,,-31.70M,6.00M,-19.30M,-2.00M,-42.90M,,-89.90M,,47.40M,-36.00M,,-36.00M,,-6.70M,2.40M,,-40.30M,,,-39.60M,0.80M,-49.60M,-48.80M,,-55.70M,,1.90M,-142.20M,654.80M,-135.10M,8.30M,528.00M,0.80M,,,-49.60M,,
2002-12,109.60M,,,,,,0.50M,,,43.40M,43.40M,10.30M,,,,1.40M,100.50M,55.30M,-39.50M,5.30M,82.00M,,203.60M,,368.80M,-34.90M,,-34.90M,,0.30M,0.30M,,-34.30M,,,-2.40M,0.20M,-27.80M,-27.60M,,-5.90M,,-1.90M,-37.80M,357.20M,296.70M,0.90M,654.80M,0.20M,,,-27.80M,,
2002-09,73.40M,,,,,,0.70M,,,41.70M,41.70M,7.50M,,,,-1.40M,-157.40M,-38.30M,22.20M,-12.20M,66.90M,,-118.80M,,3.10M,-36.20M,,-36.20M,,-0.70M,1.30M,,-35.60M,,,-0.10M,1.00M,-138.10M,-137.10M,,-17.70M,,,-154.90M,546.90M,-187.40M,-2.30M,357.20M,1.00M,,,-138.10M,,
2002-06,-25.40M,,,,,,59.60M,,,44.40M,44.40M,-42.60M,,,,0.80M,80.80M,-13.60M,14.80M,30.40M,4.50M,,116.90M,,153.70M,-63.30M,,-58.60M,,-8.30M,-4.50M,,-71.40M,,,-1.90M,2.90M,0.10M,3.00M,,-19.00M,,,-17.90M,469.00M,64.40M,13.50M,546.90M,2.90M,,,0.10M,,
2002-03,50.70M,,,,,,2.50M,,,40.20M,40.20M,10.00M,,,,-0.80M,-20.50M,41.30M,40.20M,-12.00M,-47.50M,,1.50M,,104.10M,-41.80M,,-41.80M,,0.10M,1.80M,,-39.90M,,,-3.80M,2.10M,-15.60M,-13.50M,,-17.70M,,,-35.00M,442.40M,29.20M,-2.60M,469.00M,2.10M,,,-15.60M,,
2001-12,90.10M,,,,,,0.80M,,,39.70M,39.70M,8.00M,,,,2.00M,121.70M,81.70M,-72.30M,-11.70M,105.90M,,225.30M,,365.90M,-48.00M,,-48.00M,,-0.30M,0.60M,,-47.70M,,,-15.40M,1.60M,0.00,1.60M,,-17.80M,,,-31.60M,157.40M,286.60M,-1.60M,442.40M,1.60M,,,0.00,,
2001-09,76.50M,,,,,,21.20M,,,37.70M,37.70M,2.00M,,,,-2.00M,-197.40M,-7.20M,-15.30M,-18.40M,-1.50M,,-239.80M,,-104.40M,-50.10M,,-50.10M,,-10.00M,2.10M,,-58.00M,,,12.30M,1.10M,-34.20M,-33.10M,,-17.80M,,,-38.60M,346.70M,-201.00M,11.70M,157.40M,1.10M,,,-34.20M,,
2001-06,20.40M,,,,,,0.50M,43.30M,0.00,43.30M,43.30M,7.70M,,,,29.10M,95.70M,-142.80M,54.80M,-3.40M,-44.40M,,-40.10M,,60.90M,-58.70M,,-58.70M,,-10.00M,-1.20M,,-69.90M,,,-3.00M,5.70M,,5.60M,,-17.80M,,,-15.20M,383.50M,-24.20M,-12.60M,346.70M,5.70M,,,,,
2001-03,65.10M,,,,,,1.00M,38.80M,0.00,38.80M,38.80M,-1.00M,,,,-1.20M,-27.50M,3.30M,-32.90M,-16.10M,-20.70M,,-93.90M,,8.80M,-45.60M,,-45.60M,,0.40M,3.20M,,-42.00M,,,0.10M,4.10M,,4.10M,,-17.70M,,,-13.50M,424.00M,-46.70M,6.20M,383.50M,4.10M,,,,,
2000-12,127.30M,,,,,,0.20M,38.50M,2.20M,40.70M,40.70M,0.00,,,,2.00M,68.70M,24.10M,0.90M,1.10M,-2.60M,,92.20M,,262.40M,-49.20M,,-49.20M,,-4.00M,-0.90M,,-54.10M,,,-2.50M,2.00M,,2.00M,,-17.80M,,,-18.30M,233.80M,190.00M,0.20M,424.00M,2.00M,,,,,
2000-09,92.40M,,,,,,2.40M,35.70M,4.40M,40.10M,40.10M,-2.00M,,,,-2.10M,-194.20M,13.30M,-8.60M,-35.20M,67.20M,,-157.50M,,-26.70M,-38.70M,,-38.70M,,-2.40M,0.80M,,-40.30M,,,-0.30M,1.50M,,1.50M,,-17.70M,,,-16.50M,320.30M,-83.50M,-3.00M,233.80M,1.50M,,,,,
2000-06,57.20M,,,,,,0.30M,,,39.00M,39.00M,3.50M,,,,,58.00M,-99.40M,46.60M,-7.80M,0.50M,,-2.10M,,97.90M,-59.60M,,-59.60M,,-54.80M,-11.00M,,-125.40M,,,-3.50M,2.00M,0.00,2.00M,,-17.80M,,,-19.30M,367.60M,-46.80M,-0.50M,320.30M,2.00M,,,0.00,,
2000-03,60.40M,,,,,,1.40M,-61.40M,-8.90M,37.50M,37.50M,-1.00M,,,,-1.10M,70.70M,13.30M,-36.60M,-3.20M,-41.70M,,2.50M,,99.70M,-44.80M,,-44.80M,,-3.90M,-0.40M,,-49.10M,,,0.40M,7.80M,-13.80M,-6.00M,,-17.70M,,,-23.30M,347.70M,27.30M,-7.40M,367.60M,7.80M,,,-13.80M,,
1999-12,113.90M,,,,,,3.50M,61.40M,8.90M,36.30M,36.30M,-4.00M,,,,1.10M,2.30M,43.90M,15.00M,-16.90M,98.70M,,143.00M,,293.80M,57.50M,,57.50M,,-121.80M,-3.00M,,-67.30M,,,-108.30M,3.80M,-1.10M,2.70M,,-17.70M,,,-123.30M,250.20M,103.20M,-5.70M,347.70M,3.80M,,,-1.10M,,
1999-09,82.60M,,,,,,-3.50M,,,34.00M,34.00M,-4.00M,,,,,-155.40M,10.90M,-12.80M,-11.90M,11.20M,,-158.00M,,-48.90M,-134.00M,,-134.00M,,,1.50M,,-132.50M,,,104.00M,0.40M,-8.70M,-8.30M,,-17.70M,,,78.00M,347.50M,-103.40M,6.10M,250.20M,0.40M,,,-8.70M,,
1999-06,50.40M,,,,,,,,,28.60M,28.60M,-4.10M,,,,-0.20M,69.90M,-102.80M,68.70M,-22.30M,-55.80M,,-42.30M,,40.70M,-35.30M,,-35.30M,,,-7.40M,5.80M,-36.90M,,,-2.00M,1.80M,0.00,1.80M,,-15.90M,,,-16.10M,0.00,-12.30M,-10.30M,347.50M,1.80M,,,0.00,,
1999-03,53.60M,,,,,,,,,30.00M,30.00M,7.90M,,,,0.20M,16.90M,29.70M,-22.00M,-3.10M,-20.70M,,0.80M,,92.50M,-110.00M,,-110.00M,,,0.70M,-5.80M,-115.10M,,,0.00,12.30M,0.00,12.30M,,-15.90M,,,-3.60M,0.00,-26.20M,-6.40M,0.00,12.30M,,,0.00,,
1998-12,97.30M,,,,,,,,,29.00M,29.00M,-4.00M,,,,,51.10M,53.70M,12.50M,-20.10M,58.50M,,155.70M,,278.00M,-28.50M,,-28.50M,,,1.60M,,-26.90M,,,-26.80M,0.30M,-9.90M,-9.60M,,-15.90M,,,-52.30M,0.00,198.80M,-0.50M,0.00,0.30M,,,-9.90M,,
1998-09,71.60M,,,,,,,,,29.70M,29.70M,-4.00M,,,,,-175.90M,19.40M,-45.20M,5.60M,39.90M,,-156.20M,,-58.90M,-19.10M,,-19.10M,,,-2.30M,,-21.40M,,,17.30M,0.20M,-2.80M,-2.60M,,-15.90M,,,-1.20M,277.50M,-81.50M,8.40M,0.00,0.20M,,,-2.80M,,
1998-06,44.00M,,,,,,-2.90M,,,26.90M,26.90M,-1.50M,,,,,55.30M,-94.30M,59.10M,-2.30M,-65.90M,,-48.10M,,18.40M,-30.90M,,-30.90M,,,0.50M,,-30.40M,,,25.50M,0.00,,0.00,,-15.90M,,,9.60M,0.00,-2.40M,-3.50M,277.50M,0.00,,,,,
