,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",AmortizationofSecurities,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2007-06,31.94M,-2.01M,,,-2.01M,69.41M,2.315M,37.86M,37.86M,-0.924M,,,4.453M,-6.369M,-1.722M,-5.651M,,,-7.373M,57.58M,,-108.45M,12.65M,-95.80M,-141.96M,81.75M,-80.46M,-236.47M,,-39.01M,,-39.01M,285.36M,,285.36M,,,,,-59.56M,-0.725M,186.08M,,31.29M,7.179M,,38.47M,,285.36M,-16.60M,-22.41M,,,,,AOR,Restated
2007-03,29.67M,,,,,,,33.86M,33.86M,,,,,-1.44M,2.266M,-3.001M,,,-0.735M,61.36M,,-161.68M,11.54M,-150.14M,,-83.14M,17.41M,-215.88M,,154.11M,,154.11M,24.47M,,24.47M,,,,,-28.60M,-0.377M,149.59M,,36.22M,-4.923M,,31.29M,,24.47M,156.00M,-1.894M,,,,,AOR,Restated
2006-12,22.96M,,,,,,,28.74M,28.74M,,,,,-11.52M,8.17M,-4.043M,16.24M,-9.853M,10.51M,57.34M,,-138.59M,34.60M,-103.99M,,22.00M,-6.322M,-270.88M,,283.48M,,283.48M,16.26M,,16.26M,,,,,-67.56M,2.088M,234.28M,,15.49M,20.73M,,36.22M,,16.26M,284.33M,-0.849M,,,,,AOR,Restated
2006-09,26.81M,,,,,,,24.53M,24.53M,,,,,-2.484M,0.07M,4.881M,-0.665M,4.881M,9.167M,58.02M,,-113.01M,3.81M,-109.20M,,-49.85M,-0.364M,-159.42M,,131.41M,,131.41M,19.52M,,19.52M,,,,,-45.49M,-3.753M,101.68M,,15.20M,0.29M,,15.49M,,19.52M,83.18M,48.23M,,,,,AOR,Restated
2006-06,28.00M,,,,,,,24.13M,24.13M,,,,,18.03M,-12.82M,-3.837M,-13.26M,-3.837M,-33.75M,36.41M,,-87.59M,16.95M,-70.64M,,-2.679M,0.122M,-73.20M,,-56.41M,-6.00M,-62.41M,127.30M,,127.30M,,,,,-45.12M,6.456M,26.23M,,25.76M,-10.56M,,15.20M,,127.30M,-6.643M,-49.77M,,,,,AOR,Restated
2006-03,24.98M,,,,,,,23.26M,23.26M,,,,,2.65M,-1.645M,8.809M,-2.31M,8.809M,13.66M,64.55M,,-89.99M,14.53M,-75.47M,,18.77M,-0.496M,-57.19M,,6.00M,6.00M,12.00M,18.98M,,18.98M,,,,,-41.66M,-7.168M,-17.84M,,36.24M,-10.48M,,25.76M,,18.98M,6.643M,-0.643M,,,,,AOR,Restated
2005-12,31.92M,,,,,21.36M,1.657M,23.01M,23.01M,,,,,-2.118M,3.208M,-0.224M,3.208M,-0.224M,5.968M,58.78M,,-373.21M,81.42M,-291.78M,,40.68M,0.715M,-250.39M,,435.05M,44.00M,479.05M,118.63M,,118.63M,,,,,-39.30M,-357.66M,200.73M,,27.12M,9.118M,,36.24M,,118.63M,501.84M,-66.78M,,,,,AOR,
2005-09,25.30M,,,,,22.07M,0.594M,22.66M,22.66M,,,,,0.155M,-1.679M,2.024M,-1.679M,2.024M,0.69M,48.80M,,-10.18M,0.00,-10.18M,,8.601M,0.082M,-1.495M,,-14.00M,,-14.00M,19.01M,,19.01M,,,,,-38.89M,-1.375M,-35.26M,,15.07M,12.05M,,27.12M,,19.01M,-12.83M,-1.171M,,,,,AOR,Restated
2005-06,3.831M,,,,,21.01M,1.682M,22.69M,22.69M,,,,,-7.63M,2.805M,4.604M,2.805M,4.604M,14.82M,33.71M,,-180.52M,0.712M,-179.81M,,-0.652M,0.117M,-180.35M,,154.50M,-12.50M,142.00M,14.02M,,14.02M,,,,,-38.61M,26.86M,144.28M,,17.43M,-2.362M,,15.07M,,14.02M,385.39M,-230.89M,,,,,AOR,Restated
2005-03,23.24M,,,,,20.40M,1.042M,21.44M,21.44M,,,,,7.327M,-1.901M,-7.871M,-1.901M,-7.871M,-19.54M,32.46M,,-35.38M,9.188M,-26.19M,,9.299M,0.06M,-16.84M,,12.50M,12.50M,25.00M,13.40M,,13.40M,,,,,-37.35M,-19.01M,-17.96M,,19.76M,-2.334M,,17.43M,,13.40M,18.82M,-6.323M,,,,,AOR,Restated
2004-12,21.21M,,,,,98.57M,1.016M,99.59M,99.59M,,,,,-84.62M,-6.27M,12.55M,-6.27M,12.55M,12.55M,48.73M,,-1.121B,2.63M,-107.99M,,10.56M,1.013B,-94.73M,,71.00M,,222.00M,17.40M,,17.40M,-0.265M,,-0.265M,,-36.97M,-151.81M,50.35M,,15.42M,4.344M,,19.76M,,17.13M,71.67M,-0.671M,,,,,AOR,
2004-09,21.81M,,,,,18.89M,1.021M,19.91M,19.91M,,,,,4.487M,-0.70M,-6.175M,-0.70M,-6.175M,-13.75M,32.45M,,-276.52M,0.00,-276.52M,,-14.68M,1.328M,-289.87M,,39.00M,,39.00M,15.27M,,15.27M,169.37M,,169.37M,,-33.85M,50.17M,239.96M,,33.99M,-17.46M,,15.42M,,184.64M,39.60M,-0.595M,,,,,AOR,Restated
2004-06,21.43M,,,,,17.68M,1.092M,18.77M,18.77M,,,,,-6.287M,-1.228M,4.217M,-1.228M,4.217M,5.978M,39.89M,,-70.02M,34.94M,-35.08M,,2.581M,-0.703M,-33.20M,,41.00M,,41.00M,11.98M,,11.98M,,,,,-33.02M,-40.84M,-20.88M,,47.06M,-14.19M,,33.99M,,11.98M,81.68M,-40.68M,,,,,AOR,Restated
2004-03,20.92M,,,,,17.13M,1.118M,18.25M,18.25M,,,,,3.499M,-3.338M,-6.525M,-3.338M,-6.525M,-19.73M,22.95M,,-85.39M,0.00,-85.39M,,-4.873M,0.703M,-89.56M,,0.00,,0.00,21.63M,,21.63M,,,,,-31.88M,-0.575M,-10.82M,,124.50M,-77.43M,,47.06M,,21.63M,0.568M,-0.568M,,,,,AOR,Restated
2003-12,19.08M,,,,,16.10M,1.102M,17.20M,17.20M,,,,,-6.447M,8.843M,12.54M,,,25.02M,54.85M,,-43.29M,0.295M,-42.99M,,-17.64M,8.797M,-51.84M,,106.52M,,-2.98M,40.80M,,40.80M,0.00,0.00,0.00,,-30.99M,106.48M,113.31M,,8.172M,116.32M,,124.50M,,40.80M,216.50M,-109.98M,0.00,,,,AOR,Restated
2003-09,25.30M,,,,,13.26M,0.931M,14.19M,14.19M,,,,,-3.818M,-5.279M,-9.958M,,,-15.24M,20.44M,,-214.91M,64.87M,-150.04M,,-27.07M,-0.125M,-177.23M,,-14.11M,,-14.11M,179.60M,,179.60M,96.85M,-75.00M,21.85M,,-27.81M,-2.522M,157.02M,,7.953M,0.219M,,8.172M,,276.45M,-13.90M,-0.207M,-75.00M,,,,AOR,Restated
2003-06,19.06M,,,,,11.86M,0.736M,12.59M,12.59M,,,,,-2.97M,-3.395M,9.644M,,,6.249M,34.93M,,-113.42M,0.145M,-113.27M,,-7.552M,0.221M,-120.60M,,78.70M,,78.70M,8.212M,,8.212M,,,,,-25.92M,-1.243M,59.75M,,33.88M,-25.92M,,7.953M,,8.212M,47.40M,31.30M,,,,,AOR,Restated
2003-03,19.30M,,,,,11.66M,1.188M,12.84M,12.84M,,,,,-4.069M,4.139M,-12.91M,,,-8.77M,19.30M,,-38.80M,0.144M,-38.65M,,-0.953M,0.53M,-39.08M,,64.50M,,64.50M,2.824M,,2.824M,,,,,-26.36M,3.138M,44.10M,,9.55M,24.33M,,33.88M,,2.824M,100.00M,-35.50M,,,,,AOR,Restated
2002-12,15.18M,,,,,11.69M,0.967M,12.66M,12.66M,,,,,-0.432M,0.041M,6.856M,-1.419M,1.32M,6.798M,34.20M,,-118.27M,2.76M,-115.51M,,30.68M,0.256M,-84.57M,,-36.57M,,72.93M,27.59M,,27.59M,,,,,-25.72M,-36.31M,38.48M,,21.44M,-11.89M,,9.55M,,27.59M,-7.467M,-29.11M,,,,,AOR,Restated
2002-09,19.76M,,,,,10.27M,1.00M,11.27M,11.27M,,,,,-1.715M,-1.077M,-4.692M,,,-5.769M,23.55M,,-86.76M,47.51M,-39.25M,,-19.36M,-0.427M,-59.03M,,16.07M,,16.07M,13.83M,,13.83M,0.00,0.00,0.00,,-25.70M,43.46M,47.66M,,9.256M,12.18M,,21.44M,,13.83M,16.17M,-0.097M,0.00,,,,AOR,Restated
2002-06,16.83M,,,,,9.695M,0.98M,10.68M,10.68M,,,,,-7.608M,1.075M,3.409M,1.354M,4.253M,10.09M,29.99M,,-107.02M,2.011M,-105.01M,,-0.268M,-0.05M,-105.33M,,52.00M,,52.00M,95.12M,,95.12M,,,,,-23.20M,-47.45M,76.47M,,8.122M,1.134M,,9.256M,,95.12M,99.34M,-47.34M,,,,,AOR,Restated
2002-03,15.89M,,,,,8.696M,0.981M,9.677M,9.677M,,,,,3.383M,-1.458M,-4.253M,-1.354M,-4.253M,-11.32M,17.63M,,-97.66M,0.00,-97.66M,,-6.835M,-0.008M,-104.50M,,78.00M,,78.00M,30.00M,,30.00M,,,,,-22.53M,-0.301M,85.17M,,9.826M,-1.704M,,8.122M,,30.00M,78.09M,-0.09M,,,,,AOR,Restated
2001-12,13.26M,,,,,,,10.12M,10.12M,,,,,-1.538M,-1.274M,4.216M,-1.274M,4.216M,5.884M,27.72M,,-67.55M,,-67.55M,,-0.228M,-4.536M,-72.32M,,149.86M,-119.90M,29.96M,3.831M,,3.831M,,,,,-22.44M,-0.489M,10.86M,,43.56M,-33.74M,,9.826M,,3.831M,0.00,149.86M,,,,,AOR,Restated
2001-09,16.96M,,,,,-13.90M,-1.349M,8.079M,8.079M,,,,,-2.955M,0.191M,0.39M,0.191M,0.39M,1.162M,23.25M,,-36.57M,-11.61M,-48.18M,,-30.94M,73.05M,-6.07M,,44.73M,58.40M,103.13M,2.321M,,2.321M,,,,,-22.32M,-62.60M,20.53M,,5.854M,37.71M,,43.56M,,2.321M,175.00M,-130.27M,,,,,AOR,
2001-06,15.12M,,,,,7.052M,0.681M,7.733M,7.733M,,,,,0.878M,-1.07M,0.319M,-1.739M,-1.357M,-3.847M,19.89M,,-36.10M,11.61M,-24.49M,,11.46M,-0.063M,-13.09M,,-58.82M,-58.40M,-117.22M,75.63M,,75.63M,,,,,-20.27M,58.38M,-3.477M,,2.537M,3.317M,,5.854M,,75.63M,0.00,-58.82M,,,,,AOR,Restated
2001-03,15.20M,,,,,6.845M,0.668M,7.513M,7.513M,,,,,-2.547M,-0.669M,-1.676M,,,-2.345M,17.82M,,-6.857M,,-6.857M,,18.79M,-0.079M,11.86M,,-9.617M,,-9.617M,1.213M,,1.213M,,,,,-20.23M,-1.351M,-29.99M,,2.844M,-0.307M,,2.537M,,1.213M,,-9.617M,,,,,AOR,Restated
2000-12,14.81M,,,,,-16.75M,-1.737M,6.728M,6.728M,,,,,1.904M,4.818M,-1.204M,,,-0.949M,22.50M,,-8.616M,-107.18M,-115.80M,,-33.54M,144.72M,-4.621M,,-0.016M,,-57.62M,0.782M,,0.782M,,,,,-20.20M,58.49M,-18.55M,,3.516M,-0.672M,,2.844M,,0.782M,,-0.016M,,,,,AOR,Restated
2000-09,17.16M,,,,,6.049M,0.508M,6.557M,6.557M,,,,,-1.774M,-4.398M,-1.377M,,,-5.775M,16.17M,,-9.77M,14.31M,4.54M,,2.679M,-0.07M,7.149M,,-0.015M,,-0.015M,1.325M,,1.325M,,,,,-20.12M,-4.018M,-22.82M,,3.022M,0.494M,,3.516M,,1.325M,0.00,-0.015M,,,,,AOR,Restated
2000-06,17.96M,,,,,5.218M,0.596M,5.814M,5.814M,,,,,-0.585M,1.904M,0.194M,,,2.098M,25.29M,,-17.88M,66.62M,48.75M,,37.96M,0.09M,86.80M,,-41.44M,,-41.44M,1.285M,,1.285M,,,,,-20.10M,-50.20M,-110.44M,,1.38M,1.642M,,3.022M,,1.285M,,-41.44M,,,,,AOR,Restated
2000-03,18.12M,,,,,5.484M,0.633M,6.117M,6.117M,,,,,-2.676M,-2.06M,-2.44M,,,-4.50M,17.06M,,-10.19M,26.25M,16.06M,,-8.923M,-0.679M,6.458M,,-0.024M,,-0.024M,0.737M,,0.737M,0.00,,0.00,,-19.91M,-5.066M,-24.27M,,2.129M,-0.749M,,1.38M,,0.737M,0.00,-0.024M,,,,,AOR,Restated
1999-12,17.90M,,,,,,,5.90M,5.90M,,,,,-7.00M,2.30M,2.40M,2.30M,2.40M,9.40M,26.20M,,-215.50M,,-215.50M,,,193.60M,-21.90M,,3.40M,6.00M,9.40M,0.60M,,0.60M,0.00,,0.00,,-19.70M,-0.30M,-10.00M,,7.80M,-5.70M,,2.10M,,0.60M,3.40M,0.00,,,,,AOR,
1999-09,19.60M,,,,,,,5.10M,5.10M,,,,,0.00,-1.90M,0.10M,-1.90M,0.10M,-3.60M,21.10M,,,,,,3.80M,-24.90M,-21.10M,,25.50M,,25.50M,1.10M,,1.10M,0.00,,0.00,,-19.60M,-0.20M,6.80M,,,6.50M,,7.80M,,1.10M,10.60M,14.90M,,,,,,
1999-06,19.10M,,,,,,,5.00M,5.00M,,,,,-6.80M,3.80M,1.00M,3.80M,1.00M,9.60M,26.90M,,84.80M,,84.80M,,-9.40M,-157.70M,-82.30M,,-9.00M,82.40M,73.40M,1.30M,,1.30M,0.00,,0.00,,-19.30M,-0.30M,55.10M,,,,,,,1.30M,6.00M,-15.00M,,,,,,
1999-03,19.00M,,,,,,,4.10M,4.10M,,,,,1.40M,-2.80M,1.50M,-2.80M,1.50M,-2.60M,21.90M,,-84.80M,,-84.80M,,5.60M,-8.70M,-87.90M,,94.00M,-82.40M,11.60M,1.60M,,1.60M,72.50M,,72.50M,,-18.60M,-1.10M,66.00M,,1.30M,,,,,74.10M,94.00M,,,,,,,
1998-12,18.10M,,,,,,,3.50M,3.50M,,,,,0.20M,0.10M,-1.30M,0.10M,-1.30M,-2.40M,19.40M,,,,,,,180.50M,-89.50M,,-65.40M,93.20M,27.80M,59.50M,,59.50M,0.00,,0.00,,-17.20M,-0.30M,69.80M,,1.50M,-0.30M,,1.30M,,59.50M,-65.40M,0.00,,,,,AOR,
1998-09,16.10M,,,,,,,3.30M,3.30M,,,,,-0.70M,-1.80M,1.90M,-1.80M,1.90M,0.20M,18.90M,,,,,,16.90M,-75.80M,-58.90M,,65.40M,-11.20M,54.20M,2.00M,,2.00M,-0.30M,,-0.30M,,-15.70M,0.00,40.20M,,,0.10M,,1.50M,,1.70M,65.40M,0.00,,,,,,
1998-06,14.70M,,,,,,,2.50M,2.50M,,,,,-0.50M,0.60M,0.10M,0.60M,0.10M,1.40M,18.10M,,,,,,-13.20M,-82.60M,-95.80M,,6.20M,11.20M,17.40M,2.10M,,2.10M,72.50M,,72.50M,,-14.70M,0.00,77.30M,,,,,,,74.60M,0.00,6.20M,,,,,,
1998-03,13.40M,,,,,,,2.30M,2.30M,,,,,-3.40M,0.10M,3.40M,0.10M,3.40M,7.00M,19.30M,,,,,,-3.70M,-98.70M,-102.40M,,70.60M,,70.60M,26.50M,,26.50M,,,,,-13.10M,-0.60M,83.40M,,1.40M,,,,,26.50M,100.00M,-29.40M,,,,,,
1997-12,13.00M,,,,,,,1.90M,1.90M,,,,,7.00M,-2.00M,-3.90M,-2.00M,-3.90M,-11.80M,10.10M,,,,,,,-71.70M,-71.70M,,0.00,-7.20M,-7.20M,55.00M,,55.00M,,,,,-12.90M,0.00,34.90M,,,,,1.40M,,55.00M,0.00,0.00,,,,,AOR,
1997-09,11.70M,,,,,,,1.50M,1.50M,,,,,-3.10M,1.50M,3.60M,1.50M,3.60M,10.20M,20.30M,,,,,,,-23.00M,-23.00M,,-1.40M,41.00M,39.60M,1.90M,,1.90M,,,,,-11.70M,-0.10M,29.70M,,,,,,,1.90M,0.00,-1.40M,,,,,,
1997-06,12.00M,,,,,,,1.50M,1.50M,,,,,-0.10M,0.20M,0.10M,0.20M,0.10M,0.60M,14.00M,,,,,,,-29.30M,-29.30M,,71.60M,-47.50M,24.10M,4.40M,,4.40M,,,,,-11.50M,-0.70M,16.30M,,,,,,,4.40M,71.60M,0.00,,,,,,
1997-03,9.80M,,,,,,,1.40M,1.40M,,,,,1.00M,-1.30M,1.00M,-1.30M,1.00M,-0.60M,11.60M,,,,,,,-88.10M,-88.10M,,8.20M,,8.20M,78.30M,,78.30M,,,,,-9.70M,-0.80M,76.00M,,0.60M,,,,,78.30M,8.40M,-0.20M,,,,,,
1996-12,9.10M,,,,,,,0.1610M,0.1610M,,,,,3.815M,-0.4564M,-1.60M,-0.50M,-1.60M,-4.156M,8.920M,,-66.08M,,-66.08M,,,121.69M,-52.58M,,-1.665M,-14.60M,-16.26M,50.70M,,50.70M,,,,,-8.327M,14.67M,40.78M,,,,,0.5814M,,50.70M,-243.26M,241.60M,,,,,AOR,
1996-09,7.40M,,,,,,,0.90M,0.90M,,,,,-0.10M,0.10M,1.20M,0.10M,1.20M,2.60M,10.80M,,,,,,,-36.70M,-36.70M,,-6.40M,7.80M,1.40M,34.80M,,34.80M,,,,,-7.60M,0.00,28.60M,,,,,,,34.80M,249.80M,-256.20M,,,,,,
1996-06,8.50M,,,,,,,1.20M,1.20M,,,,,0.60M,-0.50M,-0.60M,-0.50M,-0.60M,-2.20M,8.10M,,8.40M,,8.40M,,,-45.30M,-36.90M,,-6.20M,-7.80M,-14.00M,49.30M,,49.30M,,,,,-6.20M,-0.50M,28.60M,,,,,,,49.30M,-44.60M,38.40M,,,,,,
1996-03,5.70M,,,,,,,0.20M,0.20M,,,,,0.50M,-0.40M,1.40M,-0.40M,1.40M,2.00M,8.40M,,-8.40M,,-8.40M,,,-30.40M,-38.80M,,35.90M,,35.90M,1.00M,,1.00M,,,,,-6.30M,-0.10M,30.50M,,0.90M,,,,,1.00M,74.60M,-38.70M,,,,,,
1995-12,0.80M,,,,,,,-0.1205M,-0.1205M,,,,,-0.6411M,10.10M,-1.282M,10.10M,-1.30M,17.61M,17.65M,,,,,,-37.10M,29.10M,-10.98M,,-0.6132M,,-0.6132M,0.5045M,,0.5045M,,,,,-6.115M,-0.1254M,-6.349M,,,,,0.8604M,,0.5045M,23.60M,-24.21M,,,,,AOR,
1995-09,3.30M,,,,,,,0.50M,0.50M,,,,,13.30M,-10.50M,1.20M,-10.50M,1.20M,-18.60M,-1.50M,,,,,,0.00,18.90M,18.90M,,-12.80M,,-12.80M,0.60M,,0.60M,,,,,-6.10M,0.70M,-17.60M,,,,,,,0.60M,39.50M,-52.30M,,,,,,
1995-06,4.60M,,,,,,,0.60M,0.60M,,,,,2.20M,,-1.80M,,-1.80M,-3.60M,3.80M,,,,,,0.00,-40.80M,-40.80M,,42.70M,,42.70M,0.80M,,0.80M,,,,,-6.00M,-0.40M,37.10M,,,,,,,0.80M,85.20M,-42.50M,,,,,,
1995-03,4.90M,,,,,,,0.60M,0.60M,,,,,-1.30M,,1.50M,,1.50M,3.00M,7.20M,,,,,,-0.50M,-7.20M,-7.70M,,5.20M,,5.20M,1.20M,,1.20M,,,,,-6.00M,-0.20M,0.20M,,0.90M,,,,,1.20M,27.70M,-22.50M,,,,,,
1994-12,5.90M,,,,,,,-0.1149M,-0.1149M,,,,,2.312M,-0.1756M,-0.6439M,-0.20M,-0.60M,-1.619M,6.477M,,,,,,-54.94M,52.43M,-17.87M,,18.16M,,18.16M,0.8217M,,0.8217M,,,,,-5.927M,-1.428M,11.63M,,,,,0.9354M,,0.8217M,78.80M,-60.64M,,,,,AOR,
1994-09,6.30M,,,,,,,0.50M,0.50M,,,,,0.30M,0.40M,1.10M,0.40M,1.10M,3.00M,10.10M,,,,,,11.90M,-12.70M,-0.80M,,-3.70M,,-3.70M,0.70M,,0.70M,,,,,-5.80M,-0.10M,-8.90M,,,,,,,0.70M,90.30M,-94.00M,,,,,,
1994-06,7.80M,,,,,,,0.60M,0.60M,,,,,2.10M,-0.50M,-0.50M,-0.50M,-0.50M,-2.00M,8.50M,,,,,,-32.40M,40.60M,8.20M,,-11.60M,,-11.60M,0.60M,,0.60M,,,,,-5.70M,,-16.70M,,,,,,,0.60M,55.70M,-67.30M,,,,,,
1994-03,5.00M,,,,,,,0.40M,0.40M,,,,,0.30M,-0.30M,0.90M,-0.30M,0.90M,1.20M,6.90M,,,,,,6.00M,-42.00M,-36.00M,,29.10M,,29.10M,1.10M,,1.10M,,,,,-5.70M,,24.50M,,4.90M,,,,,1.10M,42.10M,-13.00M,,,,,,
1993-12,5.10M,,,,,,,-0.10M,-0.10M,,,,,2.70M,0.30M,-1.90M,0.30M,-1.90M,-3.20M,4.50M,,,,,,,89.60M,-9.80M,,-254.70M,,-45.30M,64.20M,,64.20M,,,,,-5.60M,-3.60M,9.70M,,,,,,,64.20M,-203.00M,-51.70M,,,,,,
1993-09,5.10M,,,,,,,0.40M,0.40M,,,,,-0.30M,-0.20M,1.10M,-0.20M,1.10M,1.80M,7.00M,,9.70M,,9.70M,,,-7.70M,2.00M,,-5.80M,,-5.80M,1.10M,,1.10M,,,,,-4.30M,0.10M,-8.90M,,,,,,,1.10M,44.50M,-50.30M,,,,,,
1993-06,4.80M,,,,,,,0.40M,0.40M,,,,,-1.40M,0.40M,0.70M,0.40M,0.70M,2.20M,6.00M,,-9.70M,,-9.70M,,,-9.30M,-19.00M,,17.40M,,17.40M,0.90M,,0.90M,,,,,-4.20M,-0.90M,13.20M,,,,,,,0.90M,125.40M,-108.00M,,,,,,
1993-03,5.10M,,,,,,,0.10M,0.10M,,,,,0.50M,-0.60M,0.60M,-0.60M,0.60M,0.00,5.70M,,,,,,,-28.70M,-28.70M,,26.30M,,26.30M,0.90M,,0.90M,,,,,-4.20M,,23.00M,,0.30M,,,,,0.90M,85.10M,-58.80M,,,,,,
1992-12,4.40M,,,,,,,0.20M,0.20M,,,,,-0.90M,0.60M,-0.50M,0.60M,-0.50M,0.20M,3.90M,,0.00,,0.00,,0.50M,-17.20M,-16.70M,,-4.30M,16.70M,12.40M,1.30M,,1.30M,,,,,-4.10M,3.00M,12.60M,,,,,,,1.30M,-73.10M,68.80M,,,,,,
1992-09,4.30M,,,,,,,0.30M,0.30M,,,,,0.50M,-0.10M,0.60M,-0.10M,0.60M,1.00M,6.10M,,-5.70M,,-5.70M,,-7.50M,10.80M,-2.40M,,2.20M,,2.20M,1.10M,,1.10M,,,,,-4.00M,-3.10M,-3.80M,,,,,,,1.10M,9.60M,-7.40M,,,,,,
1992-06,3.40M,,,,,,,0.10M,0.10M,,,,,0.80M,-0.20M,-0.40M,-0.20M,-0.40M,-1.20M,3.10M,,,,,,7.50M,-18.20M,-10.70M,,10.50M,-0.10M,10.40M,1.20M,,1.20M,,,,,-3.90M,,7.70M,,,,,,,1.20M,58.40M,-47.90M,,,,,,
1992-03,4.40M,,,,,,,0.10M,0.10M,,,,,-0.30M,0.10M,0.40M,0.10M,0.40M,1.00M,5.20M,,,,,,,9.30M,9.30M,,-11.70M,0.10M,-11.60M,0.80M,,0.80M,,,,,-3.90M,,-14.70M,,0.60M,,,,,0.80M,5.10M,-16.80M,,,,,,
1991-12,4.00M,,,,,,,0.30M,0.30M,,,,,1.30M,-0.10M,-0.90M,-0.10M,-0.90M,-2.00M,3.60M,,,,,,18.80M,-23.60M,-4.80M,,-2.70M,4.20M,1.50M,6.30M,,3.80M,,,,,-3.80M,-0.10M,1.40M,,,,,,,6.30M,,-2.70M,,,,,,
1991-09,3.10M,,,,,,,-0.20M,-0.20M,,,,,-0.30M,0.10M,0.40M,0.10M,0.40M,1.00M,3.60M,,,,,,-4.20M,3.60M,-0.60M,,-16.20M,-15.80M,-32.00M,31.70M,,31.70M,,,,,-2.80M,0.10M,-3.00M,,,,,,,31.70M,-28.90M,12.70M,,,,,,
1991-06,3.00M,,,,,,,0.30M,0.30M,,,,,1.80M,,-0.70M,,-0.70M,-1.40M,3.70M,,,,,,-2.70M,-1.80M,-4.50M,,11.70M,-8.50M,3.20M,0.30M,,0.30M,,,,,-2.70M,-0.10M,0.70M,,,,,,,0.30M,28.90M,-17.20M,,,,,,
1991-03,3.00M,,,,,,,0.10M,0.10M,,,,,-0.60M,,0.70M,,0.70M,1.40M,3.90M,,,,,,-11.80M,1.80M,-10.00M,,-0.20M,8.50M,8.30M,0.40M,,0.40M,,,,,-2.70M,0.10M,6.10M,,0.50M,,,,,0.40M,,-0.20M,,,,,,
1990-12,2.70M,,,,,,,0.20M,0.20M,,,,,0.50M,0.00,-0.30M,0.00,-0.30M,-0.60M,2.80M,,,,,,-3.50M,,-3.50M,,3.20M,,3.20M,0.40M,,0.40M,,,,,-2.70M,0.00,0.90M,,,,,,,0.40M,13.20M,-10.00M,,,,,,
1990-09,2.90M,,,,,,,0.10M,0.10M,,,,,-0.80M,0.50M,0.50M,0.50M,0.50M,2.00M,4.20M,,,,,,0.00,-0.10M,-0.10M,,-1.60M,,-1.60M,0.10M,,0.10M,,,,,-2.60M,0.10M,-4.00M,,,,,,,0.10M,11.30M,-12.90M,,,,,,
1990-06,3.00M,,,,,,,0.30M,0.30M,,,,,0.10M,1.10M,-0.50M,1.10M,-0.50M,1.20M,4.60M,,,,,,-3.30M,0.10M,-3.20M,,1.00M,,1.00M,0.30M,,0.30M,,,,,-2.70M,,-1.40M,,,,,,,0.30M,19.30M,-18.30M,,,,,,
1990-03,2.90M,,,,,,,0.20M,0.20M,,,,,1.30M,-1.70M,0.30M,-1.70M,0.30M,-2.80M,1.60M,,,,,,-5.20M,,-5.20M,,3.90M,,3.90M,0.30M,,0.30M,,,,,-2.60M,,1.60M,,2.30M,,,,,0.30M,9.80M,-5.90M,,,,,,
