,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,TotalReceivables,RestrictedCash,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,LiabilityonCreditLine,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2005-03,17.43M,3.298M,20.73M,,,79.63M,,100.36M,,,,,,,2.455B,-236.95M,2.218B,,,,,235.95M,,,2.454B,2.560B,,,,,17.95M,17.95M,,163.50M,163.50M,,,181.45M,1.208B,,1.208B,,,,1.208B,1.226B,,337.06M,-153.18M,1.153B,1.766M,283.75M,0.001M,1.334B,,AOR,Restated
2004-12,19.76M,3.298M,23.06M,,,334.46M,,357.52M,,,,,,,2.410B,-219.54M,2.190B,,,,3.298M,251.54M,,,2.445B,2.550B,,,,,28.14M,28.14M,,151.00M,151.00M,,,179.14M,1.186B,,1.186B,,,,1.186B,1.214B,,336.61M,-139.07M,1.140B,1.286M,283.75M,0.001M,1.335B,,AOR,
2004-09,15.42M,3.298M,18.72M,,,72.65M,,91.37M,,,,,,,2.293B,-200.92M,2.092B,,,,,260.10M,,,2.352B,2.451B,,,,,15.96M,15.96M,,,,,,15.96M,1.101B,,1.101B,,,,1.101B,1.117B,,341.42M,-123.32M,1.118B,0.85M,289.29M,0.001M,1.334B,,AOR,Restated
2004-06,33.99M,3.298M,37.29M,,,64.89M,,102.18M,,,,,,,2.010B,-182.03M,1.828B,,,,,252.60M,,,2.080B,2.192B,,,,,17.56M,17.56M,,,,,,17.56M,1.013B,,1.013B,,,,1.013B,1.030B,,168.40M,-111.27M,1.106B,0.85M,116.86M,0.001M,1.161B,,AOR,Restated
2004-03,47.06M,3.298M,50.36M,,,61.39M,,111.75M,,,,,,,1.979B,-169.57M,1.810B,,,,,255.48M,,,2.065B,2.186B,,,,,13.34M,13.34M,,,,,,13.34M,1.013B,,1.013B,,,,1.013B,1.026B,,170.68M,-99.68M,1.092B,0.85M,119.63M,0.001M,1.160B,,AOR,Restated
2003-12,,,,,,,,,,,,,,,,,,,,,,,,,,2.184B,,,,,,,,,,,,,1.015B,,1.015B,,,,1.015B,1.034B,,,,,,,,1.150B,,AOR,Restated
2003-09,8.172M,7.649M,15.82M,,,55.07M,,70.89M,,,,,,,1.849B,-136.43M,1.713B,,,,,239.62M,,,1.953B,2.032B,,,,,7.323M,7.323M,,143.00M,143.00M,,,150.32M,760.16M,,760.16M,,,,760.16M,910.49M,,193.17M,-76.81M,1.007B,,145.15M,0.128M,1.121B,,AOR,Restated
2003-06,7.953M,7.492M,15.44M,,,49.98M,,65.43M,,,,,,,1.599B,-137.03M,1.462B,,,,,212.80M,,,1.674B,1.746B,,,,,17.28M,17.28M,,156.90M,156.90M,,,174.18M,676.61M,,676.61M,,,,676.61M,850.79M,,147.51M,-71.51M,821.90M,,106.15M,0.079M,895.31M,,AOR,Restated
2003-03,33.88M,7.101M,40.98M,,,43.45M,,84.43M,,,,,,,1.459B,-125.17M,1.334B,,,,,218.04M,,,1.552B,1.642B,,,,,7.637M,7.637M,,74.10M,74.10M,,,81.74M,666.73M,,666.73M,,,,666.73M,748.47M,,167.71M,-64.65M,793.54M,,127.50M,-0.344M,893.37M,,AOR,Restated
2002-12,,,,,,,,,,,,,,,,,,,,,,,,,,1.591B,,,,,,,,,,,,,,,,,,,,694.25M,,,,,,,,897.23M,,AOR,Restated
2002-09,21.44M,7.215M,28.66M,,,298.72M,,327.38M,,,,,,,1.306B,-102.29M,1.203B,,,,7.215M,251.49M,,,1.462B,1.533B,,,,,13.69M,13.69M,,,,,,13.69M,639.54M,,639.54M,,,,639.54M,653.22M,,166.56M,-47.04M,764.26M,,127.50M,-0.37M,879.64M,,AOR,Restated
2002-06,9.256M,6.891M,16.15M,,,37.67M,,53.81M,,,,,,,1.262B,-98.64M,1.163B,,,,,242.93M,,,1.406B,1.466B,,,,,19.11M,19.11M,,,,,,19.11M,576.03M,,576.03M,,,,576.03M,595.15M,,173.12M,-41.11M,743.88M,,135.00M,-0.558M,871.16M,,AOR,Restated
2002-03,8.122M,6.55M,14.67M,,,36.33M,,51.00M,,,,,,,1.143B,-89.22M,1.054B,,,,,257.23M,,,1.311B,1.369B,,,,,16.05M,16.05M,,,,,,16.05M,571.37M,,571.37M,,,,571.37M,587.42M,,183.95M,-34.75M,637.92M,,150.00M,-0.995M,781.56M,,AOR,Restated
2001-12,0.00,6.498M,6.498M,,,,,6.498M,,,,,,,,,956.85M,,,,,256.71M,,,1.214B,1.268B,,,,,,,,,,,,,491.22M,,491.22M,,,,491.22M,509.67M,,32.74M,-28.11M,608.94M,,,,757.87M,,AOR,Restated
2001-09,43.56M,6.585M,50.15M,,,32.01M,,82.16M,,,,,,,1.184B,-71.56M,1.112B,,,,,251.70M,,,1.364B,1.195B,,,,,16.25M,16.25M,,,,,,16.25M,416.05M,,416.05M,,,,416.05M,432.30M,,182.49M,-18.92M,603.70M,,150.00M,-0.873M,762.99M,,AOR,
2001-06,5.854M,5.924M,11.78M,,,29.89M,,41.67M,,,,,,,1.179B,-65.44M,1.114B,,,,,272.28M,,,1.386B,1.153B,,,,,15.99M,15.99M,,61.50M,61.50M,,,77.49M,371.32M,,371.32M,,,,371.32M,387.31M,,182.39M,-13.56M,601.50M,,150.00M,-1.159M,765.45M,,AOR,Restated
2001-03,2.537M,5.501M,8.038M,,,27.10M,,35.13M,,,,,,,1.168B,-59.75M,1.108B,,,,,284.49M,,,1.393B,1.141B,,,,,16.31M,16.31M,,110.30M,110.30M,,,126.61M,430.14M,,430.14M,,,,430.14M,446.45M,,178.88M,-8.416M,529.42M,,150.00M,-0.994M,694.84M,,AOR,Restated
2000-12,0.00,5.45M,5.45M,,,,,5.45M,,,,,,,,,803.99M,,,,,317.43M,,,1.121B,1.157B,,,,,,,,119.90M,119.90M,,,119.90M,319.85M,,319.85M,,,,319.85M,458.30M,,28.81M,-3.388M,528.14M,,,,698.61M,,AOR,Restated
2000-09,3.516M,5.556M,9.072M,,,26.71M,,35.78M,,,,,,,834.47M,-46.82M,787.65M,,,,5.556M,335.78M,,,1.129B,1.162B,,,,,20.55M,20.55M,,118.85M,118.85M,,,139.40M,438.72M,,438.72M,,,,438.72M,459.27M,,178.69M,2.001M,526.31M,,150.00M,-0.715M,703.01M,,AOR,Restated
2000-06,3.022M,5.79M,8.812M,,,20.35M,,29.17M,,,,,,,1.179B,-41.95M,1.137B,,,,5.79M,338.71M,,,1.481B,1.169B,,,,,21.93M,21.93M,,122.80M,122.80M,,,144.73M,442.68M,,442.68M,,,,442.68M,464.61M,,178.66M,4.956M,525.98M,,150.00M,-0.413M,704.71M,,AOR,Restated
2000-03,1.38M,0.545M,1.925M,,,21.51M,,23.43M,,,,,,,1.244B,-40.49M,1.204B,,,,31.71M,398.35M,,,1.634B,1.262B,,,,,21.74M,21.74M,,172.90M,172.90M,,,194.64M,534.22M,,534.22M,,,,534.22M,555.96M,,178.58M,7.087M,524.78M,,150.00M,0.248M,705.91M,,AOR,Restated
1999-12,0.00,6.70M,6.70M,,,,,6.70M,,,,,,,,,826.80M,,,,,401.00M,,,1.228B,1.271B,,,,,,,,177.50M,177.50M,,,177.50M,361.30M,,361.30M,,,,361.30M,564.20M,,28.50M,8.90M,524.20M,,,,707.00M,,AOR,
1999-09,0.00,29.80M,29.80M,,,,,29.80M,,,,,,,,,796.70M,,,,,406.40M,,,1.203B,1.262B,,,,,,,,178.10M,178.10M,,,178.10M,351.40M,,351.40M,,,,351.40M,553.80M,,,10.60M,,,,,708.10M,,,
1999-06,0.00,29.20M,29.20M,,,,,29.20M,,,,,,,,,770.30M,,,,,416.30M,,,1.187B,1.236B,,,,,,,,156.60M,156.60M,,,156.60M,347.40M,,347.40M,,,,347.40M,528.10M,,,10.60M,,,,,707.40M,,,
1999-03,0.00,28.10M,28.10M,,,,,28.10M,,,,,,,,,703.60M,,,,,408.40M,,,1.112B,1.16B,,,,,,,,89.20M,89.20M,,,89.20M,341.40M,,341.40M,,,,341.40M,453.30M,,,520.00M,,,,,706.70M,,,
1998-12,0.00,30.30M,30.30M,,,,,30.30M,,,,,,,,,,,,,,401.00M,,,401.00M,1.073B,,,,,,,,171.60M,171.60M,,,171.60M,247.40M,,247.40M,,,,247.40M,439.60M,,,10.40M,,,,,633.80M,,AOR,
1998-09,0.00,27.70M,27.70M,,,,,27.70M,,,,,,,,,,,,,,391.40M,,,391.40M,985.40M,,,,,,,,143.80M,143.80M,,,143.80M,247.50M,,247.50M,,,,247.50M,413.30M,,,9.50M,,,,,572.10M,,,
1998-06,0.00,25.60M,25.60M,,,,,25.60M,,,,,,,,,,,,,,393.70M,,,393.70M,927.00M,,,,,,,,89.60M,89.60M,,,89.60M,247.50M,,247.50M,,,,247.50M,356.40M,,,9.20M,,,,,570.60M,,,
1998-03,0.00,13.70M,13.70M,,,,,13.70M,,,,,,,,,,,,,,425.20M,,,425.20M,836.00M,,,,,,,,49.00M,49.00M,,,49.00M,270.70M,,270.70M,,,,270.70M,338.90M,,,9.10M,,,,,497.10M,,,
1997-12,0.00,9.60M,9.60M,,,,,9.60M,,,,,,,,,,,,,,408.30M,,,408.30M,734.30M,,,,,,,,78.40M,78.40M,,,78.40M,170.70M,,170.70M,,,,170.70M,264.40M,,,8.80M,,,,,469.90M,,AOR,
1997-09,,,,,,,,,,,,,,,,,,,,,,394.40M,,,394.40M,686.60M,,,,,,,,85.60M,85.60M,,,85.60M,170.70M,,170.70M,,,,170.70M,274.10M,,,8.80M,,,,,412.50M,,,
1997-06,,,,,,,,,,,,,,,,,,,,,,404.70M,,,404.70M,637.60M,,,,,,,,44.60M,44.60M,,,44.60M,172.10M,,172.10M,,,,172.10M,228.10M,,,8.70M,,,,,409.50M,,,
1997-03,,,,,,,,,,,,,,,,,,,,,,392.10M,,,392.10M,608.40M,,,,,,,,100.50M,100.50M,,,100.50M,92.10M,,92.10M,,,,92.10M,204.00M,,,8.30M,,,,,404.40M,,,
1996-12,0.5814M,,0.5814M,,,4.156M,,4.737M,,,,,,,,,512.89M,,,,0.7685M,348.40M,,,862.06M,519.83M,,,,,9.900M,9.900M,,92.10M,92.10M,,,102.00M,184.40M,,184.40M,,,,184.40M,194.30M,,18.32M,8.166M,298.28M,,,0.7685M,325.54M,,AOR,
1996-09,0.00,1.40M,1.40M,,,,,1.40M,,,,,,,,,,,,,,349.50M,,,349.50M,471.90M,,,,,,,,93.70M,93.70M,,,93.70M,92.30M,,92.30M,,,,92.30M,197.10M,,,7.50M,,,,,274.80M,,,
1996-06,,,,,,,,,,,,,,,,,,,,,,333.50M,,,333.50M,434.50M,,,,,,,,98.90M,98.90M,,,98.90M,85.80M,,85.80M,,,,85.80M,194.20M,,,7.60M,,,,,240.30M,,,
1996-03,,,,,,,,,,,,,,,,,,,,,,305.00M,,,305.00M,397.40M,,,,,,,,142.60M,142.60M,,,142.60M,56.00M,,56.00M,,,,56.00M,208.70M,,,5.30M,,,,,188.70M,,,
1995-12,0.8604M,,0.8604M,,,2.715M,,3.575M,,,,,,,,,351.92M,,,,0.8453M,282.00M,,,634.77M,358.09M,,,,,7.735M,7.735M,,106.70M,106.70M,,,114.43M,162.76M,,162.76M,,,,162.76M,170.49M,,12.03M,5.918M,168.80M,,,,187.60M,,AOR,
1995-09,,,,,,,,,,,,,,,,,,,,,,342.30M,,,342.30M,358.00M,,,,,,,,106.40M,106.40M,,,106.40M,57.00M,,57.00M,,,,57.00M,171.50M,,,11.20M,,,,,186.50M,,,
1995-06,,,,,,,,,,,,,,,,,,,,,,296.60M,,,296.60M,372.20M,,,,,,,,119.10M,119.10M,,,119.10M,57.10M,,57.10M,,,,57.10M,183.50M,,,14.00M,,,,,188.70M,,,
1995-03,,,,,,,,,,,,,,,,,,,,,,256.90M,,,256.90M,331.10M,,,,,,,,76.30M,76.30M,,,76.30M,57.20M,,57.20M,,,,57.20M,141.90M,,,15.40M,,,,,189.20M,,,
1994-12,0.9354M,,0.9354M,,,2.264M,,3.200M,,,,,,,,,323.58M,,,,,249.70M,,,573.28M,324.10M,,,,,6.649M,6.649M,,70.90M,70.90M,,,77.55M,128.27M,,128.27M,,,,128.27M,134.92M,,11.60M,16.50M,161.09M,,,,189.18M,,AOR,
1994-09,0.00,77.30M,77.30M,,,,,77.30M,,,,,,,,,,,,,,214.70M,,,214.70M,306.80M,,,,,,,,54.00M,54.00M,,,54.00M,57.40M,,57.40M,,,,57.40M,118.40M,,,16.60M,,,,,188.40M,,,
1994-06,0.00,76.30M,76.30M,,,,,76.30M,,,,,,,,,,,,,,226.60M,,,226.60M,306.80M,,,,,,,,58.60M,58.60M,,,58.60M,55.30M,,55.30M,,,,55.30M,119.60M,,,16.00M,,,,,187.20M,,,
1994-03,0.00,94.50M,94.50M,,,,,94.50M,,,,,,,,,,,,,,217.50M,,,217.50M,315.90M,,,,,,,,61.10M,61.10M,,,61.10M,64.30M,,64.30M,,,,64.30M,131.30M,,,14.00M,,,,,184.60M,,,
1993-12,,,,,,,,,,,,,,,,,,,,,,276.90M,,,276.90M,285.00M,,,,,,,,35.00M,35.00M,,,35.00M,61.30M,,61.30M,,,,61.30M,100.90M,,,14.70M,,,,,184.10M,,,
1993-09,,,,,,,,,,,,,,,,,,,,,,267.90M,,,267.90M,272.20M,,,,,,,,75.00M,75.00M,,,75.00M,66.70M,,66.70M,,,,66.70M,148.00M,,,15.20M,,,,,124.20M,,,
1993-06,,,,,,,,,,,,,,,,,,,,,,273.50M,,,273.50M,278.00M,,,,,,,,79.40M,79.40M,,,79.40M,68.10M,,68.10M,,,,68.10M,155.70M,,,14.40M,,,,,122.30M,,,
1993-03,,,,,,,,,,,,,,,,,,,,,,251.90M,,,251.90M,255.30M,,,,,,,,107.90M,107.90M,,,107.90M,22.10M,,22.10M,,,,22.10M,134.40M,,,13.90M,,,,,120.90M,,,
1992-12,,,,,,,,,,,,,,,,,,,,,,223.10M,,,223.10M,226.20M,,,,,,,,78.90M,78.90M,,,78.90M,24.80M,,24.80M,,,,24.80M,107.30M,,,12.90M,,,,,118.90M,,,
1992-09,,,,,,,,,,,,,,,,,,,,,,125.90M,,,125.90M,209.40M,,,,,,,,63.20M,63.20M,,,63.20M,25.10M,,25.10M,,,,25.10M,92.10M,,,12.50M,,,,,117.30M,,,
1992-06,,,,,,,,,,,,,,,,,,,,,,204.80M,,,204.80M,208.20M,,,,,,,,63.90M,63.90M,,,63.90M,25.20M,,25.20M,,,,25.20M,92.20M,,,12.30M,,,,,116.00M,,,
1992-03,,,,,,,,,,,,,,,,,,,,,,194.20M,,,194.20M,197.30M,,,,,,,,53.10M,53.10M,,,53.10M,25.50M,,25.50M,,,,25.50M,82.00M,,,12.80M,,,,,115.30M,,,
1991-12,,,,,,,,,,,,,,,,,,,,,,123.80M,,,123.80M,207.20M,,,,,,,,62.20M,62.20M,,,62.20M,28.10M,,28.10M,,,,28.10M,93.20M,,,,,,,,114.00M,,,
1991-09,0.00,88.40M,88.40M,,,,,88.40M,,,,,,,,,,,,,,110.90M,,,110.90M,202.90M,,,,,,,,,,,,,89.20M,,89.20M,,,,89.20M,93.00M,,,12.10M,,,,,109.90M,,,
1991-06,0.00,89.00M,89.00M,,,,,89.00M,,,,,,,,,,,,,,105.80M,,,105.80M,198.40M,,,,,,,,,,,,,117.00M,,117.00M,,,,117.00M,120.50M,,,11.80M,,,,,77.90M,,,
1991-03,0.00,93.30M,93.30M,,,,,93.30M,,,,,,,,,,,,,,101.20M,,,101.20M,198.30M,,,,,,,,,,,,,116.80M,,116.80M,,,,116.80M,121.00M,,,11.50M,,,,,77.30M,,,
1990-12,0.00,171.80M,171.80M,,,,,171.80M,,,,,,,,,,,,,,13.80M,,,13.80M,189.70M,,,,,,,,,,,,,109.70M,,109.70M,,,,109.70M,113.10M,,,11.20M,,,,,76.60M,,,
1990-09,0.00,95.50M,95.50M,,,,,95.50M,,,,,,,,,,,,,,86.60M,,,86.60M,186.30M,,,,,,,,,,,,,106.50M,,106.50M,,,,106.50M,110.20M,,,11.10M,,,,,76.10M,,,
1990-06,0.00,99.70M,99.70M,,,,,99.70M,,,,,,,,,,,,,,84.30M,,,84.30M,188.60M,,,,,,,,,,,,,109.70M,,109.70M,,,,109.70M,112.90M,,,10.80M,,,,,75.70M,,,
1990-03,0.00,103.80M,103.80M,,,,,103.80M,,,,,,,,,,,,,,78.30M,,,78.30M,187.90M,,,,,,,,,,,,,109.50M,,109.50M,,,,109.50M,112.80M,,,10.50M,,,,,75.10M,,,
1989-12,0.00,108.60M,108.60M,,,,,108.60M,,,,,,,,,,,,,,71.50M,,,71.50M,186.80M,,,,,,,,,,,,,109.20M,,109.20M,,,,109.20M,112.30M,,,10.20M,,,,,74.50M,,,
1989-09,0.00,108.70M,108.70M,,,,,108.70M,,,,,,,,,,,,,,75.10M,,,75.10M,188.70M,,,,,,,,,,,,,111.50M,,111.50M,,,,111.50M,114.80M,,,10.00M,,,,,73.90M,,,
1988-12,,,,,,,,,,,,,,,,,,,,,,,,,,186.90M,,,,,,,,,,,,,111.90M,,111.90M,,,,111.90M,115.10M,,,9.20M,,,,,71.80M,,,
1987-12,,,,,,,,,,,,,,,,,,,,,,,,,,181.70M,,,,,,,,,,,,,61.30M,,61.30M,,,,61.30M,111.90M,,,9.20M,,,,,69.80M,,,
1986-12,,,,,,,,,,,,,,,,,,,,,,,,,,156.90M,,,,,,,,,,,,,78.30M,,78.30M,,,,78.30M,93.40M,,,7.70M,,,,,63.50M,,,
1985-12,,,,,,,,,,,,,,,,,,,,,,,,,,127.00M,,,,,,,,,,,,,71.00M,,71.00M,,,,71.00M,84.40M,,,7.30M,,,,,42.60M,,,
