,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2003-06,17.90M,,,,19.08M,23.76M,23.76M,1.762M,,,,,,,23.31M,-0.304M,2.122M,-4.576M,-2.804M,,17.75M,80.26M,-30.08M,0.758M,-29.32M,,,-15.66M,-44.98M,,-34.00M,1.96M,,1.96M,,-1.195M,,-33.24M,1.223M,2.039M,3.262M,1.96M,,,
2003-03,-39.22M,,,,110.35M,23.51M,23.51M,-27.01M,,,,,,,-38.44M,5.596M,22.99M,-0.822M,2.607M,,-8.073M,59.55M,-21.32M,1.602M,-19.72M,,,-13.39M,-33.11M,,-27.00M,0.498M,,0.498M,,-1.273M,,-27.78M,2.561M,-1.338M,1.223M,0.498M,,,
2002-12,8.654M,,,,19.53M,24.43M,24.43M,5.439M,,,,,,,-21.35M,4.207M,12.75M,3.659M,-1.427M,,-2.154M,55.90M,-16.54M,1.017M,-15.52M,,,-12.48M,-28.01M,,-27.75M,0.311M,,0.311M,,-1.271M,,-28.71M,4.668M,-0.812M,1.602M,0.311M,,,
2002-09,6.126M,,,,11.43M,25.42M,25.42M,2.492M,,,,,,,4.034M,-4.308M,-20.53M,-1.572M,2.159M,,-20.22M,25.25M,-15.46M,0.228M,-15.23M,,,-9.803M,-25.04M,,-2.00M,0.014M,,0.014M,,-1.272M,,-3.258M,7.71M,-3.042M,4.668M,0.014M,,,
2002-06,2.121M,,,,16.20M,23.45M,23.45M,0.422M,,,,,,-1.364M,-1.08M,-3.086M,21.22M,0.724M,-5.129M,,12.64M,53.48M,-30.12M,3.443M,-26.68M,,,-10.82M,-37.50M,,-15.00M,3.031M,,3.031M,,-1.272M,,-13.24M,4.976M,2.734M,7.71M,3.031M,,,
2002-03,-0.798M,,,,11.09M,23.21M,23.21M,-0.471M,,,,,,1.364M,-0.924M,5.495M,-6.10M,-3.142M,-0.175M,,-4.846M,29.55M,-41.06M,,-41.06M,,,-7.056M,-48.12M,,19.00M,0.105M,,0.105M,,-1.264M,,17.84M,5.706M,-0.73M,4.976M,0.105M,,,
2001-12,-15.60M,,,,40.19M,25.81M,25.81M,-16.50M,,,,,,,8.02M,2.706M,-11.44M,2.854M,-0.407M,,1.737M,35.64M,149.67M,0.931M,150.60M,,,-31.41M,-68.60M,,26.00M,0.001M,,0.001M,,-1.265M,,24.74M,13.93M,-8.226M,5.706M,0.001M,,,
2001-09,10.03M,,,,19.99M,22.72M,22.72M,11.55M,,,,,,,-3.09M,-6.072M,-5.208M,-6.576M,4.368M,,-16.58M,47.70M,-213.04M,5.159M,-207.88M,,,-14.44M,-222.32M,,180.00M,0.372M,,0.372M,,-1.183M,,179.19M,9.361M,4.571M,13.93M,0.372M,,,
2001-06,13.59M,,,,21.64M,16.20M,16.20M,5.319M,,,,,,,15.50M,-6.618M,-4.325M,-2.22M,-1.598M,,0.742M,57.50M,-29.01M,0.301M,-28.70M,,,-14.54M,-43.24M,,-12.00M,3.182M,,3.182M,,-1.182M,,-10.00M,5.111M,4.25M,9.361M,3.182M,,,
2001-03,39.06M,,,,6.83M,15.89M,15.89M,13.79M,,,,,,,14.53M,3.461M,13.11M,1.903M,1.02M,,34.03M,109.60M,-34.75M,0.438M,-34.31M,,,-10.77M,-45.08M,,-70.00M,4.194M,,4.194M,,-1.172M,,-66.98M,7.574M,-2.463M,5.111M,4.194M,,,
2000-12,17.07M,,,,9.336M,15.11M,15.11M,8.987M,,,,,,,-23.51M,3.565M,15.18M,-1.542M,0.982M,,-5.33M,45.18M,-27.68M,0.487M,-27.20M,,,-7.772M,-34.97M,,-7.00M,3.507M,0.00,3.507M,,-1.161M,,-4.654M,2.022M,5.552M,7.574M,3.507M,,,0.00
2000-09,6.138M,,,,6.466M,13.22M,13.22M,3.568M,,,,,,,-3.998M,-6.29M,3.399M,-0.017M,0.144M,,-6.762M,22.63M,-29.61M,0.882M,-28.73M,,,-4.691M,-33.42M,,11.00M,1.549M,0.00,1.549M,,-1.16M,,11.39M,1.429M,0.593M,2.022M,1.549M,,,0.00
2000-06,-3.082M,,,,14.02M,12.46M,12.46M,-1.994M,,,,,,,-8.811M,-3.385M,7.957M,-1.902M,0.509M,,-5.632M,15.77M,-23.12M,0.258M,-22.86M,,,-4.162M,-27.02M,,-13.00M,78.82M,-51.60M,27.22M,,-2.377M,,11.84M,0.836M,0.593M,1.429M,78.82M,,,-51.60M
2000-03,5.345M,,,,4.731M,12.65M,12.65M,2.601M,,,,,,,1.035M,6.002M,0.443M,1.452M,1.178M,,10.11M,35.44M,-18.94M,1.523M,-17.42M,,,-3.233M,-20.66M,,-15.00M,1.231M,,1.231M,,-1.854M,,-15.62M,1.679M,-0.843M,0.836M,1.231M,,,
1999-12,5.50M,,,,14.30M,11.80M,11.80M,2.70M,,,,,,-0.20M,1.00M,0.50M,-3.10M,-0.30M,0.60M,,-1.30M,32.80M,-21.20M,-0.70M,-21.90M,,,32.80M,10.90M,,-42.00M,0.30M,,0.30M,,-1.90M,0.10M,-43.50M,1.50M,0.20M,1.70M,0.30M,,,
1999-09,4.50M,,,,0.00,13.80M,13.80M,7.20M,,,,,,0.10M,-7.90M,-3.20M,12.20M,1.40M,0.90M,-1.20M,2.20M,27.80M,-19.60M,47.60M,28.00M,,,-39.90M,-11.90M,,-15.00M,0.50M,,0.50M,,-1.80M,-0.10M,-16.40M,1.90M,-0.50M,1.50M,0.50M,,,
1999-06,0.90M,,,,2.30M,14.80M,14.80M,0.70M,,,,,,,3.70M,-0.20M,0.90M,-1.10M,-1.40M,1.20M,3.10M,21.80M,-14.90M,9.40M,-5.50M,,,-2.00M,-7.50M,,-13.00M,0.70M,,0.70M,,-1.90M,,-14.20M,1.70M,0.10M,1.90M,0.70M,,,
1999-03,-2.40M,,,,4.40M,13.00M,13.00M,-1.50M,,,,,,,8.60M,1.30M,-15.50M,0.80M,1.40M,,-3.40M,10.10M,-26.50M,,-26.50M,,,-2.40M,-28.90M,,20.00M,0.20M,,0.20M,,-1.80M,,18.40M,2.20M,-0.40M,1.70M,0.20M,,,
1998-12,0.00,,,,7.20M,10.00M,10.00M,0.40M,,,,,,0.30M,-9.90M,0.80M,13.40M,-0.30M,1.40M,,5.40M,23.30M,-109.60M,1.10M,-108.50M,,,-6.90M,-115.40M,,94.00M,0.70M,1.10M,1.80M,,-3.10M,-0.50M,92.20M,0.00,0.10M,2.20M,0.70M,,,1.10M
1998-09,-1.70M,,,,8.60M,11.10M,11.10M,0.80M,,,,,,-0.20M,-2.50M,-1.30M,3.20M,-0.60M,0.00,,-1.20M,17.40M,-25.90M,-0.70M,-26.60M,,,-6.30M,-32.90M,,19.00M,0.80M,-5.50M,-4.70M,,-0.60M,-0.10M,13.60M,0.00,-1.90M,0.00,0.80M,,,-5.50M
1998-06,3.20M,,,,4.90M,10.30M,10.30M,2.30M,,,,,,-0.10M,3.60M,-2.50M,-1.60M,-2.00M,-0.60M,,-3.10M,17.50M,-36.70M,0.20M,-36.50M,,,-3.00M,-39.50M,,23.00M,1.20M,,1.20M,,-1.90M,0.10M,22.40M,0.00,0.40M,0.00,1.20M,,,
