,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2002-06,89.58M,89.58M,39.66M,49.92M,,9.572M,0.429M,7.475M,,,-0.429M,40.07M,9.85M,,,0.429M,,3.519M,1.398M,2.121M,,,,2.121M,1.862M,33.30M,23.45M,9.85M,0.0058,0.0,,0.0052,0.0058,0.0058,0.0,,0.0052,0.0058,380.84M,380.84M,0.0033
2002-03,75.07M,75.07M,34.96M,40.12M,,5.739M,-0.018M,6.152M,,,0.018M,35.12M,4.996M,,,-0.018M,,-1.23M,-0.432M,-0.798M,,,,-0.798M,-0.7863M,28.21M,23.21M,4.996M,-0.0025,0.0,,-0.0025,-0.0025,-0.0025,0.0,,-0.0025,-0.0025,379.25M,379.25M,0.0033
2001-12,80.32M,80.32M,51.85M,28.47M,,0.575M,-33.57M,7.177M,,,,33.31M,-4.837M,,,-33.57M,,-28.00M,-12.40M,-15.60M,,,,-15.60M,4.539M,20.98M,25.81M,-4.837M,-0.045,0.0,,0.0081,-0.045,-0.045,0.0,,0.007,-0.045,379.40M,386.97M,0.0033
2001-09,104.23M,104.23M,44.66M,59.57M,,10.47M,-0.231M,4.547M,,,0.231M,37.97M,21.60M,,,-0.231M,,16.46M,6.43M,10.03M,,-0.014M,,10.03M,10.17M,44.32M,22.72M,21.60M,0.0275,0.0,,0.0279,0.0275,0.0267,0.0,,0.027,0.0267,367.73M,376.16M,0.0033
2001-06,107.61M,107.61M,52.00M,55.61M,,5.691M,-0.031M,6.715M,,,0.031M,28.64M,26.98M,,,-0.031M,,22.27M,8.679M,13.59M,,,,13.59M,13.61M,43.17M,16.20M,26.98M,0.0383,0.0,,0.0384,0.0383,0.0375,0.0,,0.0376,0.0375,354.11M,362.48M,0.0033
2001-03,154.89M,154.89M,54.63M,100.26M,,5.946M,0.004M,9.902M,,,,31.74M,68.52M,,,0.004M,,63.82M,24.76M,39.06M,,,,39.06M,39.06M,84.41M,15.89M,68.52M,0.037,0.0,,0.037,0.037,0.0367,0.0,,0.0367,0.0367,1.055B,1.055B,0.0033
2000-12,114.85M,114.85M,49.96M,64.89M,,-7.144M,-31.23M,7.471M,,,,15.42M,49.47M,,,-31.23M,,27.99M,10.92M,17.07M,,,0.00,17.07M,36.12M,64.58M,15.11M,49.47M,0.0487,,,0.1031,0.0487,0.0487,,,0.1031,0.0487,350.30M,350.30M,0.0033
2000-09,86.24M,86.24M,44.95M,41.29M,,6.281M,0.026M,6.016M,,,-0.026M,25.49M,15.80M,,,0.026M,,10.09M,3.953M,6.137M,,,,6.137M,6.121M,29.02M,13.22M,15.80M,0.0058,0.0,,0.0058,0.0058,0.0058,0.0,,0.0058,0.0058,1.043B,1.043B,0.0033
2000-06,82.45M,82.45M,50.11M,32.34M,,5.331M,-18.31M,4.954M,,,,22.75M,9.589M,,,-18.31M,,-4.945M,-1.863M,-3.082M,,,4.60M,-3.082M,8.331M,22.05M,12.46M,9.589M,-0.0014,0.0,,0.0105,-0.0014,-0.0014,0.0,,0.0105,-0.0014,960.50M,960.50M,0.0033
2000-03,85.12M,85.12M,48.19M,36.93M,,4.887M,-0.021M,4.601M,,,,22.14M,14.79M,,,-0.021M,,8.802M,3.457M,5.345M,,,0.851M,5.345M,5.358M,27.44M,12.65M,14.79M,0.005,0.0,,0.005,0.005,0.005,0.0,,0.005,0.005,892.28M,892.28M,0.0033
1999-12,174.40M,174.40M,125.60M,48.80M,,3.80M,-25.40M,4.40M,,,,20.00M,28.80M,,,-25.40M,,8.40M,2.90M,5.50M,,,0.848M,5.50M,22.13M,40.60M,11.80M,28.80M,0.0155,,,0.0707,0.0155,0.0155,,,0.0707,0.0155,300.89M,300.89M,0.0033
1999-09,45.20M,45.20M,11.40M,33.80M,,5.60M,4.50M,4.80M,,,,24.20M,9.60M,,,4.50M,,7.50M,3.00M,4.50M,,,0.851M,4.50M,1.80M,23.40M,13.80M,9.60M,0.0042,0.0,,0.0011,0.0042,0.0042,0.0,,0.0011,0.0042,890.81M,890.81M,0.0033
1999-06,40.24M,40.24M,9.70M,30.54M,,5.10M,1.80M,4.20M,,,,24.10M,6.437M,,,1.80M,,1.66M,0.70M,0.96M,,,0.85M,0.96M,-0.12M,21.24M,14.80M,6.437M,0.0001,,,-0.0011,0.0001,0.0001,,,-0.0011,0.0001,888.83M,888.83M,0.0033
1999-03,34.20M,34.20M,10.20M,24.00M,,5.60M,1.10M,3.60M,,,,22.20M,1.80M,,,1.10M,,-3.80M,-1.40M,-2.40M,,,0.851M,-2.40M,-3.095M,14.80M,13.00M,1.80M,-0.0036,0.0,,-0.0044,-0.0036,-0.0036,0.0,,-0.0044,-0.0036,887.53M,887.53M,0.0033
1998-12,131.50M,131.50M,106.00M,25.50M,,2.70M,-8.40M,3.70M,,,,16.40M,9.10M,,,-8.40M,,-0.20M,-0.20M,0.00,,,0.80M,0.00,5.04M,19.10M,10.00M,9.10M,-0.0027,,,0.0143,-0.0027,-0.0027,,,0.0143,-0.0027,295.88M,295.88M,0.0033
1998-09,37.40M,37.40M,14.70M,22.70M,,6.20M,0.10M,3.80M,,,,21.10M,1.60M,,,0.10M,,-2.70M,-1.00M,-1.70M,,,0.90M,-1.70M,-1.763M,12.70M,11.10M,1.60M,-0.0028,0.0,,-0.003,-0.0028,-0.0028,0.0,,-0.003,-0.0028,299.09M,299.09M,0.0033
1998-06,41.70M,41.70M,10.50M,31.20M,,6.90M,,4.00M,,,,21.20M,10.00M,,,,,5.30M,2.20M,3.10M,,,0.90M,3.10M,3.10M,20.30M,10.30M,10.00M,0.0025,0.0,,0.0025,0.0025,0.0025,0.0,,0.0025,0.0025,298.48M,298.48M,0.0033
