,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2007-03,71.24M,,,,,,,40.06M,40.06M,-6.111M,,12.78M,-156.18M,394.07M,,,1.219B,1.457B,1.574B,-70.74M,4.07M,-66.67M,-26.78M,74.34M,-421.20M,-440.32M,421.20M,50.97M,472.17M,17.54M,-7.187M,10.36M,,,,337.06M,819.59M,1.740B,1.954B,3.694B,17.54M,310.00M,-259.03M,-7.187M,,
2006-12,155.02M,,,,,,,39.42M,39.42M,47.79M,,22.93M,43.16M,-92.00M,,,318.58M,269.74M,534.90M,-56.55M,0.171M,-56.38M,-1.70M,-54.28M,289.34M,176.98M,-289.34M,262.36M,-26.97M,6.193M,-10.64M,-4.448M,,,,-121.39M,-152.81M,1.181B,559.07M,1.740B,6.193M,-26.97M,0.00,-10.64M,,
2006-09,159.20M,,,,,,,37.68M,37.68M,23.50M,,6.262M,37.45M,105.30M,,,-760.40M,-617.65M,-391.02M,-54.63M,7.296M,-47.33M,-0.431M,-272.35M,-676.48M,-996.59M,177.93M,9.42M,187.35M,21.60M,-10.63M,10.97M,,,,112.06M,310.38M,2.258B,-1.077B,1.181B,21.60M,487.35M,-300.00M,-10.63M,,
2006-06,89.49M,,,,,,,36.60M,36.60M,2.479M,,7.653M,3.104M,266.96M,,,128.58M,398.64M,534.86M,-36.71M,0.018M,-36.69M,-25.82M,-341.75M,9.473M,-394.78M,489.07M,-103.76M,385.31M,5.198M,-4.832M,0.366M,,,,-110.69M,274.99M,1.843B,415.06M,2.258B,5.198M,883.60M,-295.58M,-4.832M,,
2006-03,83.72M,,,,,,,34.91M,34.91M,-3.705M,,-50.38M,-46.06M,259.81M,,,729.69M,943.44M,1.008B,-45.26M,2.138M,-43.12M,-0.113M,-193.72M,-202.71M,-439.67M,202.71M,95.58M,298.29M,15.74M,-0.105M,15.64M,,,,229.15M,543.08M,732.02M,1.111B,1.843B,15.74M,100.00M,-4.418M,-0.105M,,
2005-12,73.53M,,-9.023M,,-9.023M,,,33.73M,33.73M,-9.139M,,-395.17M,-96.04M,-252.74M,96.56M,-252.74M,575.78M,70.83M,-235.24M,-53.53M,1.849M,-51.68M,-50.03M,-127.89M,69.94M,-159.65M,-69.94M,221.57M,151.63M,7.891M,-0.293M,7.598M,,,,-11.26M,147.97M,978.94M,-246.92M,732.02M,7.891M,181.86M,-30.23M,-0.293M,,
2005-09,46.81M,,-6.839M,,-6.839M,,,34.12M,34.12M,-40.41M,,8.375M,-102.99M,649.71M,-105.76M,649.71M,-546.73M,543.95M,586.01M,-45.09M,2.61M,-42.48M,-0.09M,-13.27M,-40.56M,-96.40M,40.56M,-168.06M,-127.50M,8.387M,-0.38M,8.007M,,,,5.033M,-114.46M,603.79M,375.15M,978.94M,8.387M,56.93M,-184.43M,-0.38M,,
2005-06,81.41M,,-0.766M,,-0.766M,,,31.76M,31.76M,3.124M,,8.716M,-13.40M,95.02M,-46.40M,95.02M,-75.19M,55.04M,179.29M,-31.03M,0.03M,-31.00M,-4.627M,-73.96M,49.68M,-59.91M,-49.68M,-35.25M,-84.93M,6.821M,-0.315M,6.506M,,,,2.57M,-75.85M,560.26M,43.53M,603.79M,6.821M,-245.52M,160.60M,-0.315M,,
2005-03,106.74M,,-1.695M,,-1.695M,,,29.25M,29.25M,8.062M,,7.715M,-12.85M,-39.71M,-8.36M,-39.71M,46.13M,-54.49M,95.57M,-36.19M,0.008M,-36.18M,-348.10M,-18.20M,-48.84M,-451.32M,48.84M,269.68M,318.52M,15.14M,-1.376M,13.76M,,,,3.655M,335.93M,580.08M,-19.82M,560.26M,15.14M,588.68M,-270.16M,-1.376M,,
2004-12,47.13M,,,,,,,33.08M,33.08M,26.06M,,80.07M,-153.78M,,,,103.61M,-138.65M,19.48M,-41.20M,1.519M,-39.68M,-25.84M,163.34M,4.502M,102.32M,4.149M,75.95M,80.10M,16.24M,-32.12M,-15.89M,,,,18.96M,83.18M,375.09M,204.99M,580.08M,16.24M,0.00,102.95M,-32.12M,,
2004-09,84.30M,,,,,,,31.24M,31.24M,-2.419M,,-1.341M,122.23M,,,,69.46M,191.69M,303.47M,-24.85M,0.244M,-24.61M,-47.24M,7.532M,-21.53M,-85.84M,-4.149M,-55.96M,-60.10M,13.34M,-15.67M,-2.335M,,,,16.27M,-46.17M,203.64M,171.45M,375.09M,13.34M,0.00,-55.96M,-15.67M,,
2004-06,80.75M,,,,,,,27.16M,27.16M,17.74M,,107.30M,5.028M,,,,-173.07M,-168.04M,64.91M,-25.31M,9.343M,-15.97M,-68.74M,-120.63M,40.90M,-164.43M,,-38.38M,-38.38M,,-35.97M,-35.97M,,,,-40.15M,-114.49M,417.65M,-214.01M,203.64M,,0.00,-38.38M,-35.97M,,
2004-03,67.83M,,,,,,,26.31M,26.31M,12.22M,,-125.87M,-20.55M,,,,,-20.55M,-40.06M,-22.73M,19.38M,-3.347M,0.00,-457.56M,-15.22M,-476.13M,,-8.617M,-8.617M,,-12.84M,-12.84M,,,,23.88M,2.426M,931.40M,-513.76M,417.65M,,0.00,-8.617M,-12.84M,,
2003-12,66.31M,,,,,,,26.55M,26.55M,2.038M,,178.10M,-11.04M,19.91M,25.11M,19.91M,,53.88M,290.22M,-36.29M,8.699M,-27.59M,0.00,22.41M,,-5.179M,0.00,-264.70M,-264.70M,27.68M,0.00,27.68M,,,,247.54M,10.53M,635.84M,295.57M,931.40M,27.68M,124.17M,,0.00,,
2003-09,62.12M,,,,,,,27.11M,27.11M,19.16M,,-184.39M,-29.72M,,,,175.37M,145.66M,69.65M,-22.01M,1.993M,-20.02M,0.00,-326.31M,,-346.33M,299.14M,139.22M,438.35M,-6.782M,-23.13M,-29.91M,,,,-250.87M,157.57M,754.94M,-119.10M,635.84M,-6.782M,299.14M,,-23.13M,,
2003-06,69.28M,,,,,,,28.45M,28.45M,7.408M,,-17.62M,68.58M,163.25M,-5.685M,163.25M,-315.42M,73.98M,161.50M,-20.87M,0.028M,-20.84M,0.00,48.90M,,28.05M,,-5.043M,-5.043M,6.431M,0.148M,6.579M,,,,31.20M,32.74M,532.65M,222.29M,754.94M,6.431M,,,0.148M,,
2003-03,31.23M,,,,,,,44.67M,44.67M,3.646M,,18.35M,-25.35M,-163.25M,5.685M,-163.25M,140.05M,-206.12M,-108.23M,-22.10M,0.462M,-21.63M,,-28.07M,,-49.71M,,-10.30M,-10.30M,0.351M,-21.17M,-20.82M,,,,0.351M,-30.77M,721.36M,-188.70M,532.65M,0.351M,,,-21.17M,,
2002-12,-1.705M,,,,,,,30.17M,30.17M,15.34M,,-310.89M,228.28M,303.08M,-2.732M,303.08M,-152.01M,679.71M,422.71M,-28.56M,,-28.56M,-1.109M,9.61M,,-18.20M,,-9.52M,-9.52M,,-48.60M,-48.60M,,,,-0.768M,-58.88M,375.74M,345.62M,721.36M,,-2.559M,48.91M,-48.60M,,
2002-09,52.33M,,,,,,,30.52M,30.52M,11.18M,,2.218M,-11.82M,-1.819M,28.00M,-1.819M,-26.18M,-13.64M,82.61M,-26.85M,,-26.85M,0.00,-76.79M,,-103.64M,0.559M,-28.88M,-28.32M,,-25.44M,-25.44M,,,,-0.179M,-53.94M,450.70M,-74.96M,375.74M,,0.559M,-28.88M,-25.44M,,
2002-06,45.36M,,,,,,,30.24M,30.24M,10.16M,,7.053M,-170.71M,34.13M,-25.33M,34.13M,-8.798M,-136.58M,-43.78M,-24.36M,,-24.36M,0.00,54.60M,,30.23M,-0.559M,-28.15M,-28.71M,,,,,,,7.076M,-21.63M,485.88M,-35.18M,450.70M,,-8.673M,-20.04M,,,
2002-03,46.77M,,,,,,,29.80M,29.80M,12.88M,,3.21M,-48.21M,-184.58M,-2.398M,-184.58M,186.98M,-232.79M,-140.14M,-32.36M,,-32.36M,1.109M,-5.285M,,-36.54M,0.00,10.67M,10.67M,,,,,,,0.467M,11.14M,651.42M,-165.54M,485.88M,,10.67M,0.00,,,
2001-12,35.17M,,,,,,,52.02M,52.02M,16.10M,,-30.55M,-46.65M,35.52M,-3.816M,35.52M,,20.57M,88.96M,-32.97M,0.00,-32.97M,4.111M,-2.947M,,-31.81M,258.98M,-244.76M,14.22M,,0.133M,0.133M,,,,-11.64M,2.707M,592.00M,59.86M,651.42M,,533.17M,-518.95M,0.133M,,
2001-09,30.27M,,,,,,,41.30M,41.30M,14.18M,,-11.92M,-0.135M,2.548M,8.02M,2.548M,,12.98M,86.81M,-28.25M,0.00,-28.25M,0.95M,-32.34M,-1.00M,-60.64M,46.00M,-86.50M,-40.50M,,-2.00M,-2.00M,,,,5.143M,-37.36M,602.74M,-11.18M,592.00M,,296.00M,-338.00M,-2.00M,,
2001-06,25.08M,,,,,,,38.93M,38.93M,10.11M,,140.46M,28.24M,-100.27M,0.088M,-100.27M,,-172.20M,42.37M,-26.04M,,-26.04M,-31.18M,18.04M,0.00,-39.18M,10.00M,19.48M,29.48M,,,,,,,-0.275M,29.21M,570.34M,32.40M,602.74M,,,10.00M,,,
2001-03,26.65M,,,,,,,38.78M,38.78M,15.70M,,48.46M,3.892M,-103.28M,3.892M,-103.28M,,-198.78M,-69.19M,-27.71M,,-27.71M,-1.77M,41.30M,1.00M,12.82M,-10.00M,-20.98M,-30.98M,,,,,,,0.132M,-30.85M,657.56M,-87.22M,570.34M,,,-10.00M,,,
2000-12,27.05M,,,,,,,,,,,508.50M,,,,,,,279.40M,-36.07M,,-36.07M,-0.91M,27.27M,15.68M,5.975M,597.00M,-586.88M,10.12M,,-0.432M,-0.432M,,,,-1.793M,7.896M,364.00M,293.28M,657.56M,,,77.00M,-0.432M,,
2000-09,23.00M,,,,,,,,,,,-244.00M,,,,,,,-221.00M,-26.00M,-14.00M,-40.00M,-61.00M,395.00M,-430.00M,-136.00M,-77.00M,35.00M,-42.00M,,-26.00M,-26.00M,,,,0.00,-68.00M,789.00M,-425.00M,364.00M,,,44.00M,-26.00M,,
