,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,TotalCurrentAssets,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,SecuritySoldNotYetRepurchased,UnpaidLossReserve,UnearnedPremiumonInsuranceContract,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity
2000-12,,1.649B,1.649B,205.26M,,205.26M,1.854B,434.62M,,789.54M,789.54M,1.649B,4.392B,4.598B,,,,,,,,748.52M,748.52M,748.52M,748.52M,-148.56M,-148.56M,,,333.30M,184.74M,3.237B,28.48M,460.95M,922.62M,13.95M,,1.360B
2000-09,364.00M,1.463B,1.827B,207.00M,,207.00M,2.034B,429.00M,820.00M,,820.00M,1.463B,3.345B,3.916B,,,,1.624B,1.624B,,610.00M,129.00M,739.00M,739.00M,2.363B,324.00M,324.00M,,1.216B,90.00M,1.63B,2.595B,28.00M,434.00M,922.00M,13.00M,-17.00M,1.321B
2000-06,789.00M,1.362B,2.151B,254.00M,,254.00M,2.405B,425.00M,834.00M,,834.00M,1.362B,3.304B,4.347B,,,,1.714B,1.714B,,615.00M,165.00M,780.00M,780.00M,2.494B,,,,1.356B,397.00M,1.753B,3.036B,28.00M,411.00M,899.00M,,-27.00M,1.311B
2000-03,897.00M,1.336B,2.233B,262.00M,,262.00M,2.495B,426.00M,844.00M,,844.00M,1.336B,3.262B,4.421B,,,,1.723B,1.723B,,679.00M,165.00M,844.00M,844.00M,2.567B,324.00M,324.00M,,1.36B,402.00M,2.086B,3.122B,28.00M,392.00M,901.00M,,-21.00M,1.299B
1999-12,,1.76B,1.76B,225.00M,,225.00M,1.985B,418.00M,,806.00M,806.00M,1.76B,4.727B,4.952B,,,,1.756B,1.756B,,,901.00M,901.00M,901.00M,2.657B,-214.79M,-214.79M,,,349.00M,134.21M,3.684B,28.00M,371.00M,899.00M,,,1.268B
1999-09,,1.807B,1.807B,315.00M,,315.00M,2.122B,440.00M,,1.18B,1.18B,1.807B,4.636B,4.951B,,,,,,,,216.00M,216.00M,216.00M,216.00M,667.00M,667.00M,,1.746B,72.00M,2.485B,3.26B,28.00M,787.00M,897.00M,,,1.691B
1999-06,,1.789B,1.789B,278.00M,,278.00M,2.067B,442.00M,,1.189B,1.189B,1.789B,4.729B,5.007B,,,,,,,,285.00M,285.00M,285.00M,285.00M,643.00M,643.00M,,1.775B,66.00M,2.484B,3.33B,28.00M,765.00M,897.00M,,,1.677B
1999-03,,1.892B,1.892B,278.00M,,278.00M,2.17B,430.00M,,1.18B,1.18B,1.892B,4.912B,5.19B,,,,,,,,397.00M,397.00M,397.00M,397.00M,579.00M,579.00M,,1.926B,66.00M,2.571B,3.522B,28.00M,,,,,1.668B
1998-12,,1.899B,1.899B,276.00M,,276.00M,2.175B,433.00M,,1.188B,1.188B,1.899B,5.220B,5.496B,,,,1.908B,1.908B,,,484.00M,484.00M,484.00M,2.392B,573.00M,573.00M,,,294.00M,867.00M,3.807B,28.00M,753.00M,903.00M,,,1.688B
1998-09,,1.869B,1.869B,245.00M,,245.00M,2.114B,429.00M,,1.197B,1.197B,1.869B,4.766B,5.011B,,,,,,,,,,,,907.00M,907.00M,,1.931B,68.00M,2.906B,3.382B,28.00M,,,,,1.629B
1998-06,,1.872B,1.872B,423.00M,,423.00M,2.295B,445.00M,,1.209B,1.209B,1.872B,4.619B,5.042B,,,,,,,,,,,,922.00M,922.00M,,1.867B,61.00M,2.85B,3.394B,28.00M,,,,,1.648B
