,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2003-12,1.92B,1.92B,303.00M,1.617B,,,359.00M,,,,-75.00M,52.00M,,,,,974.00M,643.00M,,,,-75.00M,,418.00M,-125.00M,0.00,,3.00M,543.00M,588.00M,643.00M,,2003-12,1.145,0.03,1.175,,2003-12,-0.0016,1.219,1.16,,2003-12,468.00M,478.00M,0.025,,2003-12,,
2003-09,1.948B,1.948B,295.00M,1.653B,,,347.00M,,,,-16.00M,54.00M,,,,,909.00M,744.00M,,,,-16.00M,,618.00M,206.00M,,,2.00M,412.00M,422.67M,744.00M,,2003-09,0.88,0.00,0.88,,2003-09,,0.8771,0.855,,2003-09,464.00M,482.00M,0.025,,2003-09,,
2003-06,1.813B,1.813B,274.00M,1.539B,,,370.00M,,,,19.00M,51.00M,,,,,848.00M,691.00M,,,,19.00M,,589.00M,233.00M,,,3.00M,356.00M,344.52M,691.00M,,2003-06,0.835,0.00,0.835,,2003-06,,0.7840,0.81,,2003-06,424.00M,442.00M,0.025,,2003-06,,
2003-03,1.671B,1.671B,206.00M,1.465B,,,405.00M,,,,48.00M,47.00M,,,,22.00M,770.00M,695.00M,,,,48.00M,,620.00M,200.00M,16.00M,,2.00M,436.00M,387.48M,695.00M,,2003-03,1.33,0.00,1.38,,2003-03,0.0491,1.185,1.335,,2003-03,314.00M,326.00M,0.025,,2003-03,,
2002-12,1.233B,1.233B,192.00M,1.041B,,,317.00M,,,,-369.00M,31.00M,,,,,643.00M,398.00M,,,,-369.00M,,74.00M,-21.00M,,,3.00M,84.00M,316.40M,398.00M,,2002-12,0.30,-0.035,0.265,,2002-12,,0.9833,0.265,,2002-12,316.00M,324.00M,0.025,,2002-12,,
2002-09,1.031B,1.031B,191.00M,840.00M,,,259.00M,,,,6.00M,25.00M,,,,,566.00M,274.00M,,,,6.00M,,150.00M,38.00M,,,2.00M,64.00M,107.52M,274.00M,,2002-09,0.35,-0.16,0.19,,2002-09,,0.3258,0.185,,2002-09,312.00M,316.00M,0.025,,2002-09,,
2002-06,1.149B,1.149B,200.00M,949.00M,,,276.00M,,,,-1.254B,33.00M,,,,,632.00M,317.00M,,,,-1.254B,,-434.00M,-228.00M,,,3.00M,-104.00M,546.40M,317.00M,,2002-06,-0.665,0.325,-0.34,,2002-06,,1.643,-0.34,,2002-06,314.00M,326.00M,0.025,,2002-06,,
2002-03,903.00M,903.00M,192.00M,711.00M,,,175.00M,,,,-4.00M,22.00M,,,,-1.00M,507.00M,204.00M,,,,-4.00M,,76.00M,18.00M,,,2.00M,62.00M,61.05M,204.00M,,2002-03,0.19,0.015,0.205,,2002-03,,0.1952,0.20,,2002-03,296.00M,300.00M,0.025,,2002-03,,
2001-12,663.00M,663.00M,176.00M,487.00M,,,52.00M,287.00M,9.00M,,-1.762B,22.00M,,,,,370.00M,117.00M,,,,-1.762B,,-855.00M,-350.00M,0.00,,3.00M,-518.00M,552.20M,117.00M,,2001-12,-1.985,-0.05,-2.03,,2001-12,0.0004,2.171,-2.03,,2001-12,254.36M,254.36M,0.025,,2001-12,,
2001-09,536.00M,536.00M,127.00M,409.00M,,,31.00M,195.00M,8.00M,,-13.00M,21.00M,,,,,255.00M,154.00M,,,,-13.00M,,115.00M,45.00M,,,2.00M,85.00M,77.91M,154.00M,,2001-09,0.265,0.06,0.325,,2001-09,,0.2951,0.32,,2001-09,252.67M,263.15M,0.025,,2001-09,,
2001-06,725.16M,725.16M,133.87M,591.29M,,,24.63M,184.70M,8.461M,,-146.42M,29.55M,,,,,247.34M,343.95M,,,,-146.42M,,240.06M,103.67M,,,2.434M,136.39M,224.24M,343.95M,,2001-06,0.515,0.00,0.515,,2001-06,,0.8191,0.4947,,2001-06,258.98M,270.81M,0.025,,2001-06,,
2001-03,1.031B,1.031B,140.00M,891.00M,,,38.00M,183.00M,8.00M,,-6.00M,45.00M,,,,,274.00M,617.00M,,,,-6.00M,,577.00M,226.00M,49.00M,,2.00M,400.00M,354.65M,617.00M,,2001-03,1.35,0.19,1.54,,2001-03,0.1810,1.308,1.48,,2001-03,258.06M,270.72M,0.025,,2001-03,,
2000-12,652.96M,652.96M,75.64M,577.32M,,,49.82M,154.35M,9.943M,,90.87M,33.36M,,,,,247.47M,329.85M,,,,90.87M,,332.89M,95.32M,,,2.699M,306.57M,172.71M,329.85M,,2000-12,0.93,0.265,1.195,,2000-12,,0.6468,1.15,,2000-12,253.61M,272.23M,0.025,,2000-12,,
2000-09,725.14M,725.14M,122.81M,602.33M,,,25.30M,170.15M,10.36M,,-114.47M,27.77M,,,,,233.59M,368.74M,,,,-114.47M,,271.06M,106.15M,,,2.433M,164.91M,234.55M,368.74M,,2000-09,0.635,0.00,0.635,,2000-09,,0.8691,0.61,,2000-09,255.71M,268.79M,0.025,,2000-09,,
2000-06,648.48M,648.48M,124.03M,524.45M,,,24.02M,172.25M,10.36M,,,22.47M,,,,,229.11M,295.34M,,,,,,254.47M,101.14M,,,2.434M,153.33M,153.33M,295.34M,,2000-06,0.595,0.00,0.595,,2000-06,,0.585,0.585,,2000-06,253.99M,258.91M,0.025,,2000-06,,
2000-03,560.42M,560.42M,118.52M,441.90M,,,24.85M,165.25M,10.33M,,-2.408M,19.40M,,,,,219.83M,222.06M,,,,-2.408M,,179.58M,74.39M,,,2.434M,105.19M,106.63M,222.06M,,2000-03,0.405,0.00,0.405,,2000-03,,0.4083,0.40,,2000-03,172.42M,174.07M,0.025,,2000-03,,
1999-12,528.67M,528.67M,133.33M,395.34M,,,27.19M,,,,-7.876M,19.63M,,,,,214.02M,181.31M,,,,-7.876M,,128.06M,53.20M,,0.288M,2.783M,79.06M,79.58M,181.31M,,1999-12,0.53,0.005,0.535,,1999-12,,0.5485,0.535,,1999-12,250.45M,255.44M,0.025,,1999-12,,
1999-09,376.55M,376.55M,82.85M,293.70M,,,26.04M,,,,0.33M,13.15M,,,,,175.17M,118.54M,,,,0.33M,,82.08M,31.23M,,-2.429M,1.217M,50.85M,50.65M,118.54M,,1999-09,0.25,0.00,0.25,,1999-09,,0.2390,0.24,,1999-09,198.36M,211.19M,0.025,,1999-09,,
1999-06,104.30M,104.30M,27.10M,77.20M,,,7.00M,,,,5.60M,3.40M,,,,,46.20M,31.00M,,,,5.60M,,27.10M,10.90M,,-2.40M,,16.20M,12.84M,31.00M,,1999-06,0.165,0.00,0.165,,1999-06,,0.1308,0.165,,1999-06,98.18M,98.18M,0.00,,1999-06,,
1999-03,87.30M,87.30M,27.40M,59.90M,,,6.20M,,,,3.20M,3.00M,,,,,42.80M,17.10M,,,,3.20M,,11.20M,5.20M,,-2.40M,,6.00M,4.08M,17.10M,,1999-03,0.06,0.00,0.06,,1999-03,,0.0402,0.06,,1999-03,96.94M,96.94M,0.025,,1999-03,,
1998-12,408.10M,408.10M,163.90M,244.20M,,,27.80M,,,,-182.60M,14.10M,,,,,192.10M,52.10M,,,,-182.60M,,-286.90M,-107.80M,,-2.40M,,-179.10M,-65.11M,52.10M,,1998-12,-1.07,0.00,-1.07,,1998-12,,0.6991,-1.07,,1998-12,64.43M,64.43M,0.025,,1998-12,,
1998-09,92.90M,92.90M,28.10M,64.80M,,,5.90M,,,,-264.70M,3.60M,,,,,41.30M,23.50M,,,,-264.70M,,-119.80M,-36.60M,,,,-83.20M,100.63M,23.50M,,1998-09,-0.86,0.00,-0.86,,1998-09,,1.980,-0.86,,1998-09,64.73M,64.73M,0.025,,1998-09,,
1998-06,104.80M,104.80M,28.30M,76.50M,,,6.10M,,,,-6.90M,3.90M,,,,,41.20M,35.30M,,,,-6.90M,,20.60M,8.40M,,-2.40M,,12.20M,16.34M,35.30M,,1998-06,0.125,0.00,0.125,,1998-06,,0.1885,0.125,,1998-06,65.16M,65.16M,0.025,,1998-06,,
