,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,TotalCurrentAssets,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,GoodwillandIntangibles,GrossLoans,AllowforLoan/LeaseLoss,UnearnedIncome,NetLoanAssets,LongTermInvestments,TotalLongTermAssets,TotalAssets,,CurrentTaxPayable,TotalPayables,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,TotalDeposits,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2002-03,,8.860B,,8.860B,,,200.80M,9.398B,,,,,,,493.70M,,,18.23B,160.30M,-388.90M,17.69B,8.991B,28.56B,37.96B,,,,,3.884B,3.884B,3.884B,10.50B,1.484B,1.484B,21.95B,23.43B,35.13B,,499.80M,2.601B,,333.20M,120.00M,,,64.40M,2.832B,,,
2001-12,,9.573B,,9.573B,,,571.40M,13.71B,,,,,,,488.70M,,,18.57B,161.60M,-427.30M,17.98B,6.331B,25.95B,39.67B,,,,,1.545B,1.545B,1.545B,2.361B,8.326B,8.326B,25.02B,33.34B,36.90B,,499.80M,2.520B,,333.50M,120.00M,,,87.10M,2.774B,,,
2001-09,,7.826B,,7.826B,,,709.90M,9.218B,,,,,,,484.60M,,,18.76B,158.10M,,18.60B,5.335B,25.91B,35.12B,,,,,,,,,8.238B,8.238B,22.79B,31.03B,32.40B,,120.00M,,,,120.00M,,,2.606B,2.726B,,,
2001-06,,5.846B,,5.846B,,,544.90M,6.747B,,,,,,,480.40M,,,18.56B,159.70M,-367.50M,18.04B,9.519B,29.41B,36.18B,,,,,144.60M,144.60M,144.60M,3.027B,6.258B,6.258B,22.85B,29.10B,33.52B,,499.80M,2.377B,,276.20M,120.00M,,,60.90M,2.661B,,,
2001-03,,5.108B,,5.108B,,,458.00M,5.859B,,,,,,,466.40M,,,18.23B,167.90M,-365.10M,17.70B,12.66B,32.32B,38.20B,,,,,134.50M,134.50M,134.50M,4.637B,6.085B,6.085B,23.59B,29.68B,35.63B,,499.80M,2.288B,,268.20M,120.00M,,,53.30M,2.573B,,,
2000-12,,7.603B,,7.603B,,,615.20M,8.768B,,,,,,,448.10M,,,18.51B,162.90M,-365.30M,17.98B,7.270B,27.25B,36.02B,,,,,1.577B,1.577B,1.577B,5.192B,4.178B,4.178B,22.83B,27.01B,33.56B,,499.80M,2.20B,,276.70M,379.80M,,,39.10M,2.462B,,,
2000-09,,4.118B,,4.118B,,,656.70M,5.319B,,,,,,,409.80M,,,18.15B,158.00M,-421.10M,17.57B,10.05B,29.45B,34.79B,,,,,6.176B,6.176B,6.176B,7.571B,2.576B,2.576B,21.15B,23.73B,32.43B,,499.80M,2.117B,,289.50M,120.00M,,,33.40M,2.360B,,,
2000-06,,5.71B,,5.71B,,,617.60M,6.832B,,,,,,,394.50M,,,17.63B,159.30M,-352.80M,17.12B,11.20B,29.98B,36.85B,,,,,5.640B,5.640B,5.640B,9.744B,1.406B,1.406B,22.31B,23.72B,34.54B,,499.80M,2.035B,,255.70M,120.00M,,,26.00M,2.305B,,,
2000-03,,5.369B,,5.369B,,,519.20M,6.497B,,,,,,,384.90M,,,16.80B,154.70M,-322.70M,16.32B,8.792B,26.69B,33.22B,,,,,4.292B,4.292B,4.292B,7.114B,1.138B,1.138B,21.45B,22.59B,30.97B,,499.80M,1.945B,,215.00M,120.00M,,,21.50M,2.252B,,,
1999-12,,4.333B,,4.333B,,,323.10M,5.740B,,,,,,,380.40M,,,15.70B,150.90M,-321.30M,15.22B,6.244B,22.93B,28.71B,,,,,1.300B,1.300B,1.300B,2.668B,1.427B,1.427B,21.37B,22.80B,26.53B,,499.80M,1.871B,,204.20M,120.00M,,,8.40M,2.175B,,,
1999-09,,6.185B,,6.185B,,,343.60M,7.833B,,,,,,,356.90M,,,15.20B,144.90M,-154.10M,14.90B,9.488B,25.82B,33.68B,,,,,6.849B,6.849B,6.849B,9.777B,1.277B,1.277B,19.06B,20.34B,31.56B,,309.90M,1.798B,191.10M,179.00M,120.00M,,,2.70M,2.123B,,,
1999-06,,4.032B,,4.032B,,,392.60M,5.129B,,,,,,,350.00M,,,15.16B,151.90M,-149.60M,14.85B,8.810B,25.03B,30.19B,,,,,5.627B,5.627B,5.627B,7.651B,1.059B,1.059B,18.28B,19.34B,28.11B,,309.90M,1.722B,197.20M,158.00M,120.00M,,,5.50M,2.076B,,,
1999-03,,3.946B,,3.946B,,,354.20M,4.973B,,,,,,,346.20M,,,14.28B,147.20M,-230.50M,13.90B,7.223B,22.54B,27.55B,,,,,1.734B,1.734B,1.734B,6.626B,1.258B,1.258B,16.59B,17.85B,25.52B,,309.90M,1.65B,202.50M,135.80M,120.00M,,,4.40M,2.031B,,,
1998-12,,5.652B,,5.652B,,,336.70M,7.154B,,,,,,,340.20M,,,13.87B,146.80M,-224.30M,13.50B,5.857B,20.68B,27.87B,,,,,1.247B,1.247B,1.247B,5.387B,1.158B,1.158B,18.20B,19.36B,25.93B,,309.90M,1.583B,212.90M,150.90M,120.00M,,,-14.50M,1.940B,,,
1998-09,,3.569B,,3.569B,,,338.70M,6.786B,,,,,,,334.40M,,,13.82B,146.60M,-219.20M,13.45B,6.473B,21.27B,28.08B,,,,,4.633B,4.633B,4.633B,6.945B,1.430B,1.430B,17.04B,18.47B,26.20B,,120.00M,1.519B,,,120.00M,,,-0.70M,1.879B,,,
1998-06,,3.193B,,3.193B,,,,6.624B,,,,,,,329.50M,,,13.77B,146.70M,-147.60M,13.47B,8.505B,23.13B,29.78B,,,,,6.964B,6.964B,6.964B,8.820B,1.310B,1.310B,17.12B,18.43B,27.94B,,120.00M,1.454B,,,120.00M,,,0.30M,1.841B,,,
1998-03,,3.036B,,3.036B,,,,4.658B,,,,,,,327.80M,,,13.10B,147.70M,-147.10M,12.80B,5.509B,19.57B,24.25B,,,,,2.038B,2.038B,2.038B,4.226B,1.097B,1.097B,16.17B,17.26B,22.45B,,120.00M,1.391B,,,120.00M,,,1.90M,1.800B,,,
1997-12,,4.057B,,4.057B,,,,7.048B,,,,,,,316.40M,,,12.74B,147.60M,-151.90M,12.44B,4.490B,18.24B,25.32B,,,,,3.023B,3.023B,3.023B,4.984B,1.224B,1.224B,16.36B,17.58B,23.58B,,120.00M,1.331B,,,120.00M,,,2.10M,1.739B,,,
1997-09,,4.596B,,4.596B,,,,7.358B,,,,,,,312.40M,,,12.37B,148.00M,-146.00M,12.08B,5.925B,19.51B,26.92B,,,,,5.437B,5.437B,5.437B,7.090B,1.596B,1.596B,15.84B,17.44B,25.22B,,120.00M,1.274B,,,120.00M,,,2.10M,1.698B,,,
1997-06,,3.813B,,3.813B,,,,5.733B,,,,,,,312.00M,,,12.08B,148.40M,-126.40M,11.81B,7.036B,20.28B,26.05B,,,,,4.804B,4.804B,4.804B,6.484B,1.366B,1.366B,15.89B,17.26B,24.40B,,120.00M,1.214B,,,120.00M,,,2.20M,1.649B,,,
1997-03,,3.304B,,3.304B,,,,4.523B,,,,,,,291.70M,,,11.53B,148.30M,-113.40M,11.27B,6.147B,18.66B,23.23B,,,,,2.088B,2.088B,2.088B,4.971B,781.30M,781.30M,15.21B,16.00B,21.64B,,120.00M,1.161B,,,120.00M,,,0.20M,1.593B,,,
1996-12,,3.352B,,3.352B,,,,4.375B,,,,,,,291.50M,,,11.05B,148.30M,-109.10M,10.79B,5.177B,17.19B,21.61B,,,,,3.291B,3.291B,3.291B,4.910B,732.80M,732.80M,13.80B,14.53B,20.06B,,120.00M,1.110B,,,120.00M,,,1.60M,1.544B,,,
1996-09,,2.381B,,2.381B,,,,3.408B,,,,,,,288.80M,,,11.02B,147.40M,-111.60M,10.76B,5.867B,17.91B,21.36B,,,,,4.130B,4.130B,4.130B,5.298B,637.00M,637.00M,13.44B,14.08B,19.84B,,120.00M,1.064B,,,120.00M,,,-0.20M,1.517B,,,
1996-06,,3.138B,,3.138B,,,,3.500B,,,,,,,289.20M,,,10.50B,147.40M,-91.10M,10.26B,6.765B,18.22B,21.75B,,,,,3.221B,3.221B,3.221B,6.016B,537.10M,537.10M,13.27B,13.80B,20.26B,,120.00M,1.016B,,,120.00M,,,-1.10M,1.494B,,,
1996-03,,2.955B,,2.955B,,,,3.073B,,,,,,,287.90M,,,10.12B,147.20M,-89.60M,9.878B,6.358B,17.20B,20.30B,,,,,1.059B,1.059B,1.059B,5.686B,641.10M,641.10M,12.10B,12.74B,18.83B,,120.00M,971.70M,,,120.00M,,,-3.00M,1.469B,,,
1995-12,,2.876B,,2.876B,,,,3.039B,,,,,,,281.50M,,,9.996B,147.10M,-89.60M,9.759B,6.087B,16.86B,19.93B,,,,,1.023B,1.023B,1.023B,5.181B,351.60M,351.60M,12.49B,12.84B,18.48B,,170.00M,928.80M,,,170.00M,,,2.60M,1.453B,,,
1995-09,,3.061B,,3.061B,,,,3.308B,,,,,,,280.00M,,,9.889B,147.30M,-81.00M,9.661B,6.102B,16.82B,20.18B,,,,,2.951B,2.951B,2.951B,6.428B,458.10M,458.10M,11.36B,11.82B,18.77B,,170.00M,,,,170.00M,,,-2.70M,1.411B,,,
1995-06,,2.747B,,2.747B,,,,3.151B,,,,,,,278.20M,,,9.422B,145.90M,,9.276B,5.912B,16.10B,19.30B,,,,,3.563B,3.563B,3.563B,5.693B,558.10M,558.10M,11.25B,11.81B,17.91B,,170.00M,847.00M,,,170.00M,,,-2.10M,1.390B,,,
1995-03,,2.948B,,2.948B,,,,3.125B,,,,,,,280.80M,,,8.876B,145.80M,,8.730B,5.742B,15.56B,18.74B,,,,,758.30M,758.30M,758.30M,4.512B,636.80M,636.80M,11.61B,12.25B,17.39B,,170.00M,810.70M,,,170.00M,,,-9.20M,1.348B,,,
1994-12,,3.057B,,3.057B,,,,3.834B,,,,,,,274.70M,,,8.661B,144.80M,-70.40M,8.446B,5.368B,14.67B,18.56B,,,,,957.40M,957.40M,957.40M,4.146B,791.80M,791.80M,11.73B,12.53B,17.28B,,170.00M,762.70M,,,170.00M,,,-15.80M,1.281B,,,
1994-09,,3.431B,,3.431B,,,210.90M,3.835B,,,,,,,271.80M,,,8.453B,144.90M,,8.308B,5.603B,14.77B,18.67B,,,,,2.435B,2.435B,2.435B,4.532B,1.055B,1.055B,11.27B,12.33B,17.41B,,170.00M,738.80M,,,170.00M,,,-12.90M,1.261B,,,
1994-06,,3.334B,,3.334B,,,407.40M,4.067B,,,,,,,273.00M,,,8.572B,144.90M,,8.428B,4.894B,14.30B,18.44B,,,,,2.246B,2.246B,2.246B,4.18B,1.130B,1.130B,11.29B,12.42B,17.21B,,170.00M,704.70M,,,170.00M,,,-12.20M,1.225B,,,
1994-03,,3.588B,,3.588B,,,295.60M,4.302B,,,,,,,295.00M,,,8.146B,145.60M,-64.40M,7.936B,4.858B,13.78B,18.17B,,,,,1.857B,1.857B,1.857B,4.685B,1.134B,1.134B,10.64B,11.78B,16.98B,,170.00M,664.00M,,,170.00M,0.60M,-5.90M,-5.30M,1.184B,,,
1993-12,,3.682B,,3.682B,,,293.10M,4.553B,,,,,,,291.90M,,,7.692B,145.50M,-69.40M,7.478B,4.039B,12.29B,16.90B,,,,,2.125B,2.125B,2.125B,3.943B,1.144B,1.144B,10.33B,11.48B,15.75B,,170.00M,631.90M,,,170.00M,0.60M,-0.40M,0.20M,1.152B,,,
1993-09,,2.936B,,2.936B,,,335.20M,3.978B,,,,,,,288.50M,,,7.991B,145.50M,-71.40M,7.774B,4.096B,12.69B,16.74B,,,,,2.734B,2.734B,2.734B,3.967B,997.00M,997.00M,10.32B,11.31B,15.62B,,170.00M,602.00M,,,170.00M,0.60M,-0.30M,0.30M,1.116B,,,
1993-06,,3.083B,,3.083B,,,366.50M,3.616B,,,,,,,290.60M,,,7.345B,145.50M,,7.199B,4.590B,12.58B,16.29B,,,,,2.626B,2.626B,2.626B,4.112B,897.10M,897.10M,9.871B,10.77B,15.21B,,170.00M,570.60M,,,170.00M,-0.30M,0.60M,0.30M,1.083B,,,
1993-03,,2.581B,,2.581B,,,240.80M,2.980B,,,,,,,288.30M,,,7.188B,145.50M,,7.042B,4.198B,12.15B,15.27B,,,,,438.80M,438.80M,438.80M,3.596B,725.20M,725.20M,9.545B,10.27B,14.22B,,170.00M,300.90M,,,170.00M,0.60M,-0.80M,-0.20M,1.048B,,,
1992-12,,2.931B,,2.931B,,,562.10M,3.950B,,,,,,,282.60M,,,7.004B,145.50M,-68.20M,6.790B,3.181B,10.80B,14.96B,,,,,799.80M,799.80M,799.80M,3.116B,545.20M,545.20M,9.871B,10.42B,13.95B,,170.00M,511.70M,,,170.00M,0.60M,-1.30M,-0.70M,1.010B,,,
1992-09,,2.861B,,2.861B,,,,3.194B,,,,,,,279.80M,,,7.109B,145.50M,-59.40M,6.904B,3.168B,10.95B,14.30B,,,,,137.90M,137.90M,137.90M,1.923B,2.146B,2.146B,8.517B,10.66B,13.33B,,170.00M,484.70M,,,170.00M,0.60M,-0.90M,-0.30M,971.90M,,,
1992-06,,2.340B,,2.340B,,,,2.396B,,,,,,,277.70M,,,6.427B,145.50M,-58.10M,6.224B,3.160B,10.19B,12.80B,,,,,132.10M,132.10M,132.10M,1.650B,1.304B,1.304B,8.492B,9.796B,11.86B,,170.00M,456.40M,,,170.00M,,,,940.00M,,,
1992-03,,2.290B,,2.290B,,,,2.515B,,,,,,,269.40M,,,6.470B,145.80M,-58.50M,6.266B,3.131B,10.41B,13.15B,,103.40M,103.40M,103.40M,121.30M,121.30M,121.30M,2.883B,605.90M,605.90M,8.444B,9.050B,12.25B,,170.00M,429.60M,,,170.00M,0.60M,-2.40M,-1.80M,905.50M,,,
1991-12,,2.351B,,2.351B,,,,2.743B,,,,,,,261.80M,,,6.340B,145.70M,-60.00M,6.134B,3.310B,10.21B,13.19B,,,,,1.086B,1.086B,1.086B,3.099B,266.10M,266.10M,8.560B,8.826B,12.37B,,120.00M,403.00M,,,120.00M,0.60M,-4.40M,-3.80M,820.70M,,,
1991-09,,2.100B,,2.100B,,,,2.776B,,,,,,,262.10M,,,6.232B,145.60M,,6.086B,2.910B,9.733B,12.74B,,,,,1.471B,1.471B,1.471B,3.096B,268.90M,268.90M,8.165B,8.434B,11.95B,,120.00M,379.60M,,,120.00M,0.60M,-3.80M,-3.20M,790.40M,,,
1991-06,,2.319B,,2.319B,,,,2.612B,,,,,,,257.80M,,,6.085B,145.60M,,5.939B,2.681B,9.527B,12.33B,,,,,1.763B,1.763B,1.763B,3.580B,269.00M,269.00M,7.343B,7.612B,11.57B,,120.00M,357.10M,,,120.00M,0.60M,-4.30M,-3.70M,764.30M,,,
1991-03,,2.269B,,2.269B,,,,2.555B,,,,,,,260.30M,,,6.006B,148.10M,,5.858B,2.409B,9.115B,11.92B,,,,,633.90M,633.90M,633.90M,2.987B,271.60M,271.60M,7.49B,7.762B,11.19B,,120.00M,333.70M,,,120.00M,0.60M,-4.40M,-3.80M,736.10M,,,
1990-12,,2.082B,,2.082B,,,,2.328B,,,,,,,258.10M,,,5.536B,148.00M,,5.388B,3.173B,9.323B,11.79B,,,,,1.049B,1.049B,1.049B,2.458B,171.60M,171.60M,8.109B,8.281B,11.08B,,120.00M,311.70M,,,120.00M,0.60M,-5.90M,-5.30M,708.50M,,,
1990-09,,2.245B,,2.245B,,,,2.864B,,,,,,,254.80M,,,5.865B,148.40M,,5.717B,3.224B,9.571B,12.61B,,,,,1.302B,1.302B,1.302B,3.090B,163.40M,163.40M,8.299B,8.462B,11.92B,,120.00M,290.50M,,,120.00M,0.60M,-5.90M,-5.30M,688.90M,,,
1990-06,,1.875B,,1.875B,,,,2.304B,,,,,,,224.00M,,,5.976B,150.20M,,5.825B,2.821B,9.271B,11.74B,,,,,712.10M,712.10M,712.10M,2.967B,238.40M,238.40M,7.454B,7.692B,11.05B,,120.00M,268.60M,,,120.00M,0.60M,-4.50M,-3.90M,682.10M,,,
1990-03,,1.418B,,1.418B,,,,1.512B,,,,,,,204.60M,,,5.923B,150.00M,,5.773B,3.865B,10.20B,11.85B,,,,,375.60M,375.60M,375.60M,3.263B,240.80M,240.80M,7.402B,7.643B,11.25B,,60.00M,247.30M,,,60.00M,0.60M,-4.30M,-3.70M,605.60M,,,
1989-12,,1.648B,,1.648B,,,,1.896B,,,,,,,189.30M,,,5.660B,150.10M,,5.51B,2.823B,8.905B,10.94B,,,,,543.90M,543.90M,543.90M,2.648B,240.80M,240.80M,7.038B,7.279B,10.35B,,60.00M,229.00M,,,60.00M,0.60M,-4.20M,-3.60M,591.20M,,,
1989-09,,1.368B,,1.368B,,,,1.689B,,,,,,,168.50M,,,5.502B,152.80M,,5.350B,3.424B,9.290B,11.06B,,,,,563.50M,563.50M,563.50M,3.212B,241.20M,241.20M,6.752B,6.994B,10.49B,,112.50M,205.20M,,,112.50M,0.60M,-3.30M,-2.70M,569.10M,,,
1989-06,,1.349B,,1.349B,,,,1.960B,,,,,,,150.10M,,,5.042B,152.70M,,4.889B,3.583B,8.945B,10.98B,,,,,534.80M,534.80M,534.80M,3.211B,241.30M,241.30M,6.672B,6.913B,10.42B,,112.50M,185.80M,,,112.50M,0.60M,-3.90M,-3.30M,555.30M,,,
1989-03,,1.388B,,1.388B,,,,1.51B,,,,,,,139.70M,,,4.651B,148.40M,,4.503B,3.764B,8.734B,10.36B,,,,,259.40M,259.40M,259.40M,2.932B,242.00M,242.00M,6.338B,6.580B,9.823B,,112.50M,164.10M,,,112.50M,0.60M,-3.70M,-3.10M,541.00M,,,
