,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2008-06,215.60M,,0.00,,0.00,21.10M,31.70M,52.80M,52.80M,,16.90M,,-7.50M,-32.90M,-71.20M,-8.20M,-0.30M,149.60M,69.90M,300.80M,,-70.30M,,-21.40M,-48.90M,,-1.548B,-76.20M,2.988B,,117.40M,-1.542B,-1.424B,,-0.30M,-0.30M,,,0.00,-61.60M,0.00,-61.60M,43.30M,81.40M,-1.611B,,4.062B,1.678B,-87.80M,5.652B,,,584.00M,-2.008B,-0.30M,144.70M,361.00M,,,Restated
2008-03,385.20M,,,,-76.10M,20.40M,30.50M,50.90M,50.90M,,-17.90M,,-6.10M,-24.00M,89.80M,-16.80M,-8.30M,-149.60M,-84.90M,271.10M,,-79.20M,,-21.20M,-58.00M,,-1.758B,151.10M,-8.447B,,-11.00M,56.60M,45.60M,,-62.50M,-62.50M,,,,-61.90M,0.00,-61.90M,13.60M,-64.10M,8.185B,,3.922B,9.00M,130.90M,4.062B,,,79.10M,-33.50M,-62.50M,15.70M,440.40M,,,Restated
2007-12,125.00M,,,,,,,25.80M,25.80M,,,,,241.30M,,,,,-43.30M,278.50M,,-74.40M,,-74.40M,,,444.60M,-5.064B,-4.694B,,414.40M,889.00M,1.303B,,,-1.00M,,,,,,-55.00M,,-358.40M,4.433B,,3.872B,17.60M,32.50M,3.922B,,,414.90M,-0.50M,,,,,,
2007-09,208.30M,,-1.50M,,-1.50M,,,-35.00M,-35.00M,,,,,108.40M,,,,,-45.40M,234.80M,,-54.70M,,-54.70M,,,416.80M,-2.728B,-2.366B,,151.60M,500.60M,652.20M,,,-35.20M,,,,,,-55.00M,,69.40M,2.438B,,3.519B,307.30M,45.20M,3.872B,,,957.00M,-805.40M,,,,,,
2007-06,206.90M,,1.00M,,1.00M,,,-22.00M,-22.00M,,,,,25.70M,,,,,44.50M,256.10M,,-63.20M,,-63.20M,,,1.968B,-1.048B,856.10M,,-367.40M,-1.238B,-1.606B,,,3.20M,,,,,,-54.90M,,2.642B,-173.10M,,2.572B,939.10M,8.40M,3.519B,,,13.00M,-380.40M,,,,,,
2007-03,186.70M,,0.50M,,0.50M,,,-13.50M,-13.50M,,,,,-29.40M,,,,,-33.00M,111.30M,,-61.20M,,-61.20M,,,-1.673B,469.20M,-1.265B,,375.60M,-2.562B,-2.187B,,,24.80M,,,,,,-54.60M,,-2.221B,-1.238B,,4.961B,-2.392B,2.60M,2.572B,,,650.00M,-274.40M,,,,,,
2006-12,170.80M,,-0.80M,,-0.80M,,,-11.30M,-11.30M,,,,,-199.70M,,,,,-20.50M,22.40M,,-68.60M,,-68.60M,,,-749.70M,-3.839B,-4.658B,,-211.80M,854.80M,643.00M,,,19.50M,,,,,,-50.10M,,-36.20M,5.720B,,3.825B,1.085B,50.80M,4.961B,,,196.00M,-407.80M,,,,,,
2006-09,163.70M,,2.10M,,2.10M,,,15.30M,15.30M,,,,,35.60M,,,,,-34.20M,182.50M,,-64.80M,,-64.80M,,,-582.00M,-1.269B,-1.915B,,-15.90M,1.240B,1.224B,,,-9.10M,,,,,,-50.10M,,40.40M,1.198B,,4.357B,-535.10M,3.30M,3.825B,,,249.10M,-265.00M,,,,,,
2006-06,167.90M,,-3.20M,,-3.20M,,,16.10M,16.10M,,,,,-112.80M,,,,,-19.40M,48.60M,,-57.20M,,-57.20M,,,-346.30M,-1.448B,-1.851B,,-1.318B,1.432B,113.60M,,,-32.70M,,,,,,-50.20M,,-841.60M,3.263B,,2.815B,1.461B,80.50M,4.357B,,,-1.109B,-209.00M,,,,,,
2006-03,163.00M,,-3.90M,,-3.90M,,,18.30M,18.30M,,,,,17.70M,,,,,-60.10M,135.00M,,-47.90M,,-47.90M,,,4.131B,-1.042B,3.041B,,1.149B,-1.278B,-128.90M,,,-20.70M,,,,,,-50.10M,,735.20M,-3.375B,,2.996B,-199.20M,18.40M,2.815B,,,1.313B,-164.20M,,,,,,
2005-12,147.60M,,1.10M,,-2.10M,,,18.40M,18.40M,,,,,29.30M,,,,,-21.30M,243.00M,,-37.30M,,-37.30M,,-7.10M,-5.243B,-483.20M,-5.770B,,-112.90M,1.186B,1.073B,,,-31.30M,,,,,,-45.80M,,43.40M,6.064B,,2.478B,536.40M,-18.60M,2.996B,,,-200.30M,87.40M,,,,,,
2005-09,147.70M,,-2.40M,,-7.10M,,,4.20M,4.20M,,,,,-12.10M,,,,,-36.80M,95.90M,,-99.80M,,-99.80M,,0.00,256.50M,-550.40M,-393.70M,,-203.80M,724.30M,520.50M,,,-24.80M,,,,,,-45.80M,,-23.70M,864.40M,,1.929B,566.60M,-17.50M,2.478B,,,18.30M,-222.10M,,,,,,
2005-06,150.00M,,8.70M,,8.70M,,,-63.30M,-63.30M,,,,,-58.90M,,,,,-24.20M,12.30M,,11.20M,,11.20M,,0.00,10.90M,1.601B,1.623B,,262.70M,-193.60M,69.10M,,,-26.70M,,,,,,-45.90M,,115.80M,-1.927B,,2.278B,-291.50M,-56.90M,1.929B,,,526.50M,-263.80M,,,,,,
2005-03,139.10M,,-7.60M,,-7.60M,,,41.50M,41.50M,,,,,93.90M,,,,,-35.00M,231.90M,,-47.80M,,-47.80M,,-457.80M,-484.10M,1.461B,471.00M,,370.40M,-1.685B,-1.314B,,,-31.90M,,,,,,-46.00M,,-3.80M,-477.70M,,2.052B,225.20M,,2.278B,,,470.70M,-100.30M,,,,,,
2004-12,132.60M,,4.80M,,4.80M,,,-66.70M,-66.70M,,,,,-102.30M,,,,,-5.70M,59.20M,,-37.40M,,-37.40M,,0.00,-2.853B,-703.70M,-3.594B,,-61.60M,970.90M,909.30M,,,-21.30M,,,,,,-41.60M,,-12.10M,3.274B,,2.278B,-260.50M,,2.052B,,,-349.10M,287.50M,,,,,,
2004-09,114.70M,,-4.10M,,-4.10M,,,94.00M,94.00M,,,,,-14.00M,,,,,56.20M,246.80M,,-71.80M,,-71.80M,,-0.50M,2.663B,-317.40M,2.273B,,2.60M,-2.892B,-2.890B,,,-32.80M,,,,,,-41.80M,,10.90M,-2.215B,,1.973B,305.40M,,2.278B,,,625.10M,-622.50M,,,,,,
2004-06,130.80M,,2.40M,,2.40M,,,9.30M,9.30M,,,,,-3.70M,,,,,-44.50M,94.30M,,-10.20M,,-10.20M,,-3.70M,-680.70M,-1.899B,-2.594B,,-0.30M,3.713B,3.713B,,,-30.20M,,,,,,-41.80M,,-17.50M,3.055B,,1.417B,555.40M,,1.973B,,,9.00M,-9.30M,,,,,,
2004-03,127.50M,,1.70M,,1.70M,,,26.40M,26.40M,,,,,92.40M,,,,,6.50M,254.50M,,-13.70M,,-13.70M,,,573.10M,-127.70M,431.70M,,-6.80M,-2.965B,-2.972B,,,-27.90M,,,,,,-41.80M,,-0.80M,-864.70M,,1.596B,-178.50M,,1.417B,,,,-6.80M,,,,,,
2003-12,129.70M,,-3.30M,,16.90M,,,85.10M,85.10M,,,,,-338.30M,,,,,-40.40M,-59.10M,,-15.30M,,-15.30M,,-133.30M,-224.80M,446.90M,73.50M,,-108.70M,-290.20M,-398.90M,,,-30.50M,,,,,,-37.40M,,6.90M,156.10M,,1.425B,170.50M,,1.596B,,,3.918B,-4.027B,,,,,,
2003-09,113.80M,,6.60M,,-13.60M,,,31.40M,31.40M,,,,,292.60M,,,,,13.80M,438.00M,,-17.40M,,-17.40M,,125.40M,-1.972B,-682.80M,-2.547B,,14.70M,857.70M,872.40M,,,-146.50M,,,120.00M,,,-37.50M,,31.30M,1.194B,,2.340B,-914.70M,,1.425B,,,-3.208B,3.223B,,,,,,
2003-06,66.60M,,-6.50M,,-4.10M,,,12.50M,12.50M,,,,,98.40M,,,,,-59.80M,113.60M,,-20.90M,,-20.90M,,-16.40M,651.40M,-2.026B,-1.412B,,-399.50M,2.079B,1.680B,,,3.70M,,,-120.00M,,,-37.90M,,-60.00M,2.282B,,1.356B,984.40M,,2.340B,,,2.50B,-2.900B,,,,,,
2003-03,94.70M,,3.50M,,3.50M,,,57.30M,57.30M,,,,,-137.30M,,,,,0.70M,18.90M,,-28.30M,,-28.30M,,-109.00M,-880.60M,2.323B,1.306B,,484.00M,-1.483B,-998.90M,,,-31.20M,,,,,,-37.90M,,6.80M,-2.641B,,2.672B,-1.316B,,1.356B,,,908.20M,-424.20M,,,,,,
2002-12,96.30M,,-7.70M,,-7.70M,,,12.00M,12.00M,,,,,42.30M,,,,,17.60M,256.10M,,-28.10M,,-28.10M,,,2.114B,-1.043B,1.042B,,-70.20M,-2.158B,-2.228B,,,-10.70M,,,,,,-38.20M,,10.30M,-577.90M,,1.952B,720.30M,,2.672B,,,101.00M,-171.20M,,,,,,
2002-09,96.40M,,2.00M,,2.00M,,,30.50M,30.50M,,,,,-5.10M,,,,,0.10M,123.90M,,-31.10M,,-31.10M,,,-2.608B,173.60M,-2.465B,,84.70M,457.70M,542.40M,,,-38.80M,,,,,,-38.10M,,8.20M,1.923B,,2.370B,-418.00M,,1.952B,,,3.47B,-3.385B,,,,,,
2002-06,126.80M,,-3.50M,,-3.50M,,,34.20M,34.20M,,,,,83.70M,,,,,0.00,241.20M,,-25.30M,,-25.30M,,,2.317B,-916.60M,1.375B,,-56.70M,-1.638B,-1.694B,,,-31.00M,,,,,,-38.20M,,5.90M,-781.10M,,1.535B,835.10M,,2.370B,,,441.50M,-498.20M,,,,,,
2002-03,127.60M,,9.20M,,9.20M,,,-19.00M,-19.00M,,,,,-25.70M,,,,,-14.60M,77.50M,,-25.90M,,-25.90M,,,585.50M,151.50M,711.10M,,-270.80M,1.570B,1.299B,,,-39.10M,,,,,,-38.30M,,5.10M,-1.846B,,2.592B,-1.058B,,1.535B,,,280.50M,-551.30M,,,,,,
2001-12,102.40M,,0.30M,,0.30M,,,12.00M,12.00M,,,,,-95.10M,,,,,14.40M,163.50M,,-33.20M,,-33.20M,,0.00,-3.026B,-807.30M,-3.866B,,224.10M,2.224B,2.448B,,,-39.30M,,,,,,-35.30M,,5.20M,4.609B,,1.686B,906.70M,,2.592B,,,8.357B,-8.133B,,,,,,
2001-09,126.60M,,-2.50M,,-2.50M,,,62.20M,62.20M,,,,,-68.70M,,,,,-23.80M,93.80M,,-23.30M,,-23.30M,,-1.50M,3.012B,-2.446B,541.20M,,47.80M,-1.094B,-1.046B,,,-42.50M,,,,,,-35.50M,,8.20M,-1.174B,,2.224B,-538.70M,,1.686B,,,-7.028B,7.076B,,,,,,
2001-06,131.30M,,5.60M,,5.60M,,,-20.70M,-20.70M,,,,,231.20M,,,,,5.80M,353.20M,,-33.60M,,-33.60M,,1.00M,3.192B,-598.40M,2.561B,,-550.20M,-887.50M,-1.438B,,,-23.00M,,,,,,-35.50M,,6.90M,-2.235B,,1.545B,679.00M,,2.224B,,,1.490B,-2.041B,,,,,,
2001-03,127.20M,,-3.40M,,-3.40M,,,-29.70M,-29.70M,,,,,-30.10M,,,,,51.00M,115.00M,,-38.20M,,-38.20M,,-1.00M,-5.038B,2.162B,-2.915B,,624.30M,728.10M,1.352B,,,-28.30M,,,,,,-36.00M,,5.20M,2.057B,,2.288B,-742.50M,,1.545B,,,2.010B,-1.386B,,,,,,
2000-12,125.50M,,2.90M,,2.90M,,,-99.10M,-99.10M,,,,,77.30M,,,,,-15.00M,180.00M,,-56.60M,,-56.60M,,0.40M,2.805B,-2.856B,-106.90M,,3.020B,-3.797B,-776.70M,,,-13.80M,,,,,,-31.10M,,1.20M,852.90M,,1.362B,926.00M,,2.288B,,,9.472B,-6.452B,,,,,,
2000-09,123.30M,,-2.90M,,-2.90M,,,27.20M,27.20M,,,,,-76.40M,,,,,-22.60M,48.60M,,-32.30M,,-32.30M,,-32.90M,1.241B,419.20M,1.595B,,-356.50M,-647.20M,-1.004B,,,-57.90M,,,,,,-1.60M,,6.00M,-2.215B,,1.933B,-570.80M,,1.362B,,,7.989B,-8.345B,,,,,,
2000-06,123.00M,,,,,,,-12.20M,-12.20M,,,,,28.90M,,,,,20.80M,160.50M,,-26.70M,,-26.70M,,,-2.212B,-958.80M,-3.197B,,-0.10M,2.629B,2.629B,,,-53.00M,,,,,,-61.50M,,4.70M,3.377B,,1.593B,339.90M,,1.933B,,,0.00,-0.10M,,,,,,
2000-03,113.30M,,,,,,,-4.70M,-4.70M,,,,,-102.60M,,,,,-24.00M,-18.00M,,-21.50M,,-21.50M,,,-2.034B,-2.752B,-4.808B,,-21.00M,4.447B,4.426B,,,-38.40M,,,,,,-31.60M,,1.10M,4.441B,,1.978B,-385.20M,,1.593B,,,102.60M,-123.60M,,,,,,
1999-12,106.00M,,2.50M,,2.50M,,,174.20M,174.20M,,,,,31.40M,,,,,19.50M,428.90M,,-40.00M,,-40.00M,,,2.941B,1.583B,4.484B,,150.20M,-7.108B,-6.958B,,,-32.80M,,,,,,-27.70M,,-0.90M,-4.710B,,1.775B,202.70M,,1.978B,,,-99.70M,249.90M,,,,,,
1999-09,104.20M,,-4.40M,,-4.40M,,,-26.50M,-26.50M,,,,,-65.90M,,,,,-1.80M,5.60M,,-21.40M,,-21.40M,,,-679.90M,-1.603B,-2.304B,,-49.60M,2.126B,2.076B,,,-34.50M,,,,,,-27.80M,,4.10M,2.799B,,1.274B,500.90M,,1.775B,,,700.40M,-750.00M,,,,,,
1999-06,99.70M,,,,,,,-102.40M,-102.40M,,,,,169.60M,,,,,3.60M,170.50M,,-18.20M,,-18.20M,,,-1.585B,-947.40M,-2.551B,,-199.80M,1.022B,822.00M,,,-32.40M,,,,,,-27.90M,,9.50M,2.459B,,1.195B,79.20M,,1.274B,,,0.30M,-200.10M,,,,,,
1999-03,95.10M,,,,,,,-11.00M,-11.00M,,,,,-165.60M,,,,,-13.00M,-94.50M,,-20.30M,,-20.30M,,,-823.70M,81.60M,-762.40M,,100.40M,1.242B,1.342B,,,-15.90M,,,,,,-28.00M,,-1.60M,-314.00M,,2.366B,-1.171B,,1.195B,,,100.40M,,,,,,,
1998-12,91.60M,,4.30M,,4.30M,,,-13.10M,-13.10M,,,,,116.30M,,,,,-25.10M,231.00M,,-26.80M,,-26.80M,,,2.515B,-1.016B,1.472B,,-4.50M,-1.558B,-1.562B,,,-12.50M,,,,,,-24.60M,,-3.80M,-442.20M,,0.00,1.261B,,2.366B,,,0.40M,-4.90M,,,,,,
1998-09,90.20M,,-4.60M,,-4.60M,,,5.00M,5.00M,,,,,-92.80M,,,,,-4.40M,-6.60M,,-3.20M,,-3.20M,,,2.195B,-576.90M,1.615B,,120.60M,-1.875B,-1.755B,,,-32.20M,,,,,,-24.70M,,1.60M,-1.893B,,1.389B,-284.20M,,0.00,,,500.40M,-379.80M,,,,,,
1998-06,87.20M,,5.40M,,5.40M,,,-51.10M,-51.10M,,,,,111.00M,,,,,-8.20M,144.30M,,-29.80M,,-29.80M,,,-4.746B,-550.60M,-5.327B,,-54.40M,4.594B,4.540B,,,-28.90M,,,,,,-24.80M,,3.40M,5.448B,,1.124B,265.40M,,1.389B,,,300.60M,-355.00M,,,,,,
1998-03,84.90M,,-5.40M,,-5.40M,,,-49.20M,-49.20M,,,,,27.90M,,,,,4.00M,62.20M,,-24.70M,,-24.70M,,,499.00M,-26.40M,447.90M,,-128.00M,-758.30M,-886.30M,,,-23.40M,,,,,,-24.40M,,2.90M,-1.125B,,1.739B,-614.90M,,1.124B,,,,-128.00M,,,,,,
1997-12,81.30M,,2.10M,,2.10M,,,-36.80M,-36.80M,,,,,-27.90M,,,,,3.90M,60.60M,,-19.10M,,-19.10M,,,1.548B,-414.50M,1.114B,,887.60M,-3.365B,-2.477B,,,-18.90M,,,,,,-21.40M,,271.40M,-1.729B,,0.00,-554.70M,,0.00,,,-267.00M,1.155B,,,,,,
1997-09,81.00M,,-5.10M,,-5.10M,,,-8.20M,-8.20M,,,,,-15.50M,,,,,-5.30M,46.90M,,-13.20M,,-13.20M,,,97.70M,-382.00M,-297.50M,,-982.90M,1.819B,835.90M,,,-14.30M,,,,,,-16.70M,,-4.60M,752.60M,,0.00,502.00M,,0.00,,,-10.10M,-972.80M,,,,,,
1997-06,75.40M,,7.90M,,7.90M,,,-30.10M,-30.10M,,,,,26.30M,,,,,12.30M,91.80M,,-12.70M,,-12.70M,,,-1.740B,-220.90M,-1.974B,,518.50M,1.559B,2.077B,,,-8.50M,,,,,,-25.90M,,5.10M,2.725B,,0.00,843.00M,,0.00,,,830.50M,-312.00M,,,,,,
1997-03,71.70M,,-8.90M,,-8.90M,,,-14.60M,-14.60M,,,,,-51.40M,,,,,5.00M,1.80M,,-12.50M,,-12.50M,,,-1.160B,-670.60M,-1.843B,,48.50M,61.20M,109.70M,,,-11.50M,,,,,,-21.30M,,2.70M,1.497B,,1.292B,-343.90M,,0.00,,,250.00M,-201.50M,,,,,,
1996-12,67.40M,,4.20M,,4.20M,,,-23.60M,-23.60M,,,,,57.10M,,,,,6.30M,140.90M,,-13.80M,,-13.80M,,,1.044B,-971.50M,58.60M,,602.00M,-893.90M,-291.90M,,,-24.00M,,,,,,-18.70M,,1.40M,24.40M,,0.00,223.90M,,0.00,,,1.119B,-516.60M,,,,,,
1996-09,66.50M,,-5.70M,,-5.70M,,,26.30M,26.30M,,,,,151.40M,,,,,-5.90M,232.60M,,-11.60M,,-11.60M,,,-101.50M,209.80M,96.70M,,-3.950B,3.332B,-618.60M,,,-28.50M,,,,,,-18.70M,,1.40M,-493.60M,,0.00,-164.30M,,0.00,,,-1.988B,-1.963B,,,,,,
1996-06,63.40M,,3.60M,,3.60M,,,-26.90M,-26.90M,,,,,-211.00M,,,,,30.10M,-140.80M,,-14.70M,,-14.70M,,,-571.30M,-517.50M,-1.104B,,523.20M,-295.10M,228.10M,,,-26.50M,,,,,,-18.90M,,1.50M,1.352B,,0.00,107.20M,,0.00,,,2.330B,-1.807B,,,,,,
1996-03,61.50M,,82.00M,,82.00M,,,-6.90M,-6.90M,,,,,-17.90M,,,,,-3.40M,115.30M,,-16.70M,,-16.70M,,,-242.60M,-399.90M,-659.20M,,659.50M,132.90M,792.40M,,,-27.10M,,,,,,-18.40M,,1.50M,360.70M,,1.309B,-183.20M,,0.00,,,2.070B,-1.411B,,,,,,
1995-12,59.50M,,53.20M,,53.20M,,,142.60M,142.60M,,,,,-114.90M,,,,,-11.60M,146.50M,,-8.70M,,-8.70M,,,145.40M,96.10M,232.80M,,-249.60M,-2.075B,-2.324B,,,-27.80M,,,,,,-16.30M,,918.00M,-515.10M,,0.00,-135.80M,,0.00,,,1.682B,-1.932B,,,,,,
1995-09,58.10M,,-1.30M,,-1.30M,,,-33.10M,-33.10M,,,,,-14.40M,,,,,-22.70M,-13.40M,,-12.90M,,-12.90M,,,220.20M,-548.10M,-340.80M,,-104.30M,738.90M,634.60M,,,-20.10M,,,,,,-16.80M,,-1.30M,706.10M,,0.00,351.90M,,0.00,,,3.711B,-3.815B,,,,,,
1995-06,53.10M,,2.00M,,2.00M,,,-32.50M,-32.50M,,,,,-44.50M,,,,,14.70M,-7.20M,,-7.90M,,-7.90M,,,-392.30M,-399.10M,-799.30M,,-24.60M,1.127B,1.102B,,,-6.00M,,,,,,-16.40M,,1.20M,718.50M,,0.00,-88.00M,,0.00,,,-575.80M,551.20M,,,,,,
1995-03,49.30M,,-53.90M,,-53.90M,,,-34.80M,-34.80M,,,,,68.20M,,,,,-12.90M,15.90M,,-12.30M,,-12.30M,,,445.50M,-110.00M,323.20M,,-209.10M,175.90M,-33.20M,,,-0.80M,,,,,,-16.30M,,3.40M,-350.80M,,1.192B,-11.70M,,0.00,,,575.80M,-784.90M,,,,,,
1994-12,40.10M,,-12.50M,,-12.50M,,,16.90M,16.90M,,,,,49.00M,,,,,7.50M,123.70M,,-13.40M,,-13.40M,,,-88.50M,64.00M,-37.90M,,-29.30M,-619.50M,-648.80M,,,-5.70M,,,,,,-13.90M,,1.90M,-203.20M,,0.00,-117.40M,,0.00,,,4.018B,-4.048B,,,,,,
1994-09,48.00M,,-3.30M,,-3.30M,,,-21.00M,-21.00M,,,,,44.10M,,,,,28.90M,96.70M,,-9.30M,,-9.30M,,,-262.90M,127.50M,-144.70M,,-73.20M,349.90M,276.70M,,,1.10M,,,,,,-13.80M,,-4.30M,238.50M,,0.00,190.50M,,0.00,,,100.00M,-173.20M,,,,,,
1994-06,48.70M,,40.00M,,5.50M,,,16.40M,16.40M,,,,,57.10M,,,,,25.80M,153.50M,,-8.20M,,-8.20M,,,-273.30M,-48.90M,-330.40M,,-5.30M,-502.90M,-508.20M,,,1.40M,,,,,,-13.20M,,1.30M,129.10M,,0.00,-47.80M,,0.00,,,230.00M,-235.30M,,,,,,
1994-03,45.40M,,-19.60M,,-19.60M,,,29.10M,29.10M,,,,,-7.00M,,,,,-34.10M,13.80M,,-13.90M,,-13.90M,,,-495.10M,-889.20M,-1.398B,,-10.00M,741.30M,731.30M,,,0.80M,,,,,,-13.20M,,1.90M,1.032B,,1.520B,-352.50M,,0.00,,,,-10.00M,,,,,,
1993-12,43.30M,,-5.90M,,-5.90M,,,26.10M,26.10M,,,,,16.20M,,,,,6.70M,107.80M,,-13.70M,,-13.70M,,,243.30M,352.60M,582.20M,,287.20M,-163.60M,123.60M,,,-0.30M,,,,,,-11.50M,,1.50M,131.00M,,0.00,821.00M,,0.00,,,-567.20M,854.40M,,,,,,
1993-09,42.80M,,1.20M,,1.20M,,,37.00M,37.00M,,,,,12.60M,,,,,0.10M,93.70M,,-7.60M,,-7.60M,,,-399.80M,-231.70M,-639.10M,,103.10M,-147.90M,-44.80M,,,-0.30M,,,0.90M,,,-11.40M,,1.10M,389.80M,,0.00,-155.60M,,0.00,,,291.50M,-188.40M,,,,,,
1993-06,41.60M,,-0.50M,,-0.50M,,,29.30M,29.30M,,,,,90.60M,,,,,0.10M,161.10M,,-12.00M,,-12.00M,,,-155.60M,-1.182B,-1.350B,,185.80M,501.60M,687.40M,,,1.00M,,,-0.90M,,,-11.40M,,1.90M,1.004B,,0.00,-184.80M,,0.00,,,689.60M,-503.80M,,,,,,
1993-03,40.20M,,-29.50M,,-29.50M,,,26.70M,26.70M,,,,,-65.10M,,,,,-20.00M,-47.70M,,-15.60M,,-15.60M,,,-706.40M,411.50M,-310.50M,,22.50M,637.10M,659.60M,,,1.40M,,,,,,-11.50M,,1.30M,325.50M,,1.072B,-32.70M,,0.00,,,391.10M,-368.60M,,,,,,
1992-12,38.50M,,40.20M,,40.20M,,,10.10M,10.10M,,,,,34.70M,,,,,3.30M,140.40M,,-14.60M,,-14.60M,,,-638.90M,133.30M,-520.20M,,27.10M,-743.40M,-716.30M,,,6.10M,,,-51.00M,,,-10.10M,,0.70M,583.40M,,0.00,203.60M,,0.00,,,344.40M,-317.30M,,,,,,
1992-09,38.10M,,102.60M,,102.60M,,,7.50M,7.50M,,,,,-98.80M,,,,,8.40M,57.80M,,-9.60M,,-9.60M,,,-56.30M,-1.465B,-1.531B,,114.90M,1.357B,1.472B,,,2.00M,,,0.00,,,-10.10M,,0.80M,1.490B,,0.00,16.60M,,0.00,,,396.00M,-281.10M,,,,,,
1992-06,37.10M,,-51.10M,,-51.10M,,,-4.30M,-4.30M,,,,,126.70M,,,,,-3.90M,104.50M,,-16.30M,,-16.30M,,,270.80M,215.70M,470.20M,,-33.60M,-368.20M,-401.80M,,,2.00M,,,48.50M,,,-10.00M,,-45.70M,-359.50M,,0.00,215.20M,,0.00,,,743.60M,-777.20M,,,,,,
1992-03,35.80M,,51.10M,,51.10M,,,20.70M,20.70M,,,,,-68.50M,,,,,8.20M,47.30M,,-16.00M,,-16.00M,,,-245.90M,-157.60M,-419.50M,,0.60M,-9.70M,-9.10M,,,1.60M,,,,,,-9.30M,,48.00M,-84.60M,,1.093B,-456.80M,,0.00,,,203.20M,-202.60M,,,,,,
1991-12,33.10M,,-0.40M,,-0.40M,,,12.60M,12.60M,,,,,30.20M,,,,,2.10M,85.00M,,-10.80M,,-10.80M,,,-884.30M,555.10M,-340.00M,,-257.90M,258.60M,0.70M,,,2.10M,,,,,,-8.60M,,-0.30M,389.20M,,0.00,134.20M,,0.00,,,2.343B,-2.601B,,,,,,
1991-09,31.20M,,12.40M,,12.40M,,,7.50M,7.50M,,,,,24.00M,,,,,-10.20M,64.90M,,-10.30M,,-10.30M,,,-329.50M,17.80M,-322.00M,,-1.10M,-484.50M,-485.60M,,,2.10M,,,,,,-8.80M,,2.50M,331.90M,,0.00,74.80M,,0.00,,,0.00,-1.10M,,,,,,
1991-06,32.10M,,-29.10M,,-29.10M,,,5.90M,5.90M,,,,,33.40M,,,,,-4.70M,37.60M,,-4.70M,,-4.70M,,,-126.80M,-247.80M,-379.30M,,73.40M,593.00M,666.40M,,,1.50M,,,,,,-8.70M,,2.00M,514.50M,,0.00,172.80M,,0.00,,,75.00M,-1.60M,,,,,,
1991-03,31.00M,,22.20M,,22.20M,,,4.60M,4.60M,,,,,,,,,,-9.80M,48.00M,,-9.90M,,-9.90M,,,262.40M,-483.40M,-230.90M,,25.00M,529.30M,554.30M,,,1.60M,,,,,,-9.30M,,0.70M,-71.80M,,966.10M,-254.70M,,0.00,,,25.00M,,,,,,,
1990-12,30.60M,,13.50M,,13.50M,,,10.60M,10.60M,,,,,-38.90M,,,,,12.10M,19.30M,,-2.80M,,-2.80M,,,623.70M,156.40M,777.30M,,-3.60M,-632.50M,-636.10M,,,-4.50M,,,0.00,,,-8.60M,,4.80M,-833.90M,,0.00,-37.30M,,0.00,,,,-3.60M,,,,,,
1990-09,30.40M,,11.10M,,11.10M,,,15.60M,15.60M,,,,,11.40M,,,,,-11.20M,57.30M,,-35.70M,,-35.70M,,,-835.40M,79.90M,-791.20M,,-75.10M,123.30M,48.20M,,,-13.30M,,,-0.20M,,,-8.20M,,2.30M,873.40M,,0.00,139.50M,,0.00,,,,-75.10M,,,,,,
1990-06,28.50M,,-40.00M,,-40.00M,,,7.20M,7.20M,,,,,0.50M,,,,,-1.00M,-4.80M,,-27.20M,,-27.20M,,,384.30M,-61.10M,296.00M,,-1.30M,-296.10M,-297.40M,,,-6.40M,,,59.10M,,,-7.10M,,1.60M,-198.50M,,0.00,92.70M,,0.00,,,,-1.30M,,,,,,
1990-03,25.90M,,88.80M,,88.80M,,,3.10M,3.10M,,,,,-52.00M,,,,,-6.30M,59.50M,,-20.60M,,-20.60M,,,-1.006B,-266.30M,-1.293B,,,614.90M,614.90M,,,-4.70M,,,,,,-7.80M,,3.40M,969.80M,,1.035B,-263.50M,,0.00,,,,,,,,,,
