,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2009-02,937.30M,,937.30M,,,1.136B,400.50M,1.126B,,1.361B,419.90M,35.10M,,3.889B,,,,,,,,,,2.974B,6.608B,3.680B,10.29B,,,1.928B,15.19B,19.08B,,716.10M,,,,716.10M,,716.10M,,1.414B,518.30M,1.932B,,1.932B,,0.00,0.00,1.380B,4.028B,5.755B,,5.755B,1.420B,1.420B,,,,242.30M,,2.095B,9.271B,13.30B,,37.70M,7.018B,1.230B,2.436B,,,-312.90M,5.537B,,,Restated
2008-11,639.60M,,639.60M,,,1.234B,424.90M,1.338B,,1.583B,527.30M,33.60M,,4.018B,,,,,,,,,,2.958B,6.598B,3.678B,10.28B,,,1.857B,15.09B,19.11B,,840.20M,,,,840.20M,,840.20M,,2.699B,113.60M,2.812B,,2.812B,,0.00,0.00,1.331B,4.984B,5.106B,,5.106B,1.447B,1.447B,,,,242.30M,,2.036B,8.588B,13.57B,,37.70M,6.874B,1.207B,2.484B,,,-338.80M,5.295B,,,Restated
2008-08,654.90M,,654.90M,,,1.167B,494.40M,1.274B,,1.601B,403.90M,,,3.826B,,,,,,,,,,3.052B,6.793B,3.745B,10.54B,,,1.746B,15.34B,19.16B,,886.50M,,,,886.50M,,886.50M,,2.104B,215.30M,2.320B,,2.320B,,36.60M,36.60M,1.222B,4.465B,5.043B,,5.043B,1.463B,1.463B,,,,242.30M,,1.882B,8.388B,12.85B,,37.70M,6.642B,1.232B,1.910B,,,65.40M,6.066B,,,Restated
2008-05,661.00M,,661.00M,1.082B,,1.082B,480.20M,1.012B,,1.367B,510.60M,0.00,,3.62B,0.00,61.20M,1.550B,4.451B,,343.80M,64.70M,6.471B,-3.363B,3.108B,6.786B,3.777B,10.56B,,,1.750B,15.42B,19.04B,,937.30M,,,,937.30M,,937.30M,,2.209B,442.00M,2.651B,,2.651B,,28.40M,28.40M,1.240B,4.856B,4.349B,,4.349B,1.455B,1.455B,,,,242.30M,,1.924B,7.727B,12.58B,,37.70M,6.511B,1.149B,1.658B,,,176.70M,6.216B,,,Restated
2008-02,620.40M,,620.40M,,,1.149B,700.60M,1.067B,,1.636B,496.90M,56.70M,,3.958B,,,,,,,,,,2.964B,6.749B,3.758B,10.51B,,,1.837B,15.31B,19.27B,,789.00M,,,,789.00M,,789.00M,,2.434B,1.578B,4.012B,,4.012B,,,,1.340B,6.141B,3.601B,,3.601B,1.401B,1.401B,,,,242.30M,,1.955B,6.957B,13.10B,,37.70M,6.460B,1.130B,1.761B,,,59.70M,5.927B,,,
2007-11,530.10M,,530.10M,,,1.222B,561.50M,1.129B,,1.567B,449.50M,75.30M,,3.844B,,,,,,,,,,2.974B,6.752B,3.764B,10.52B,,,1.746B,15.24B,19.08B,,786.10M,,,,786.10M,,786.10M,,2.046B,2.049B,4.095B,,4.095B,,,,1.342B,6.223B,3.599B,,3.599B,1.414B,1.414B,,,,242.30M,,1.924B,6.937B,13.16B,,50.20M,6.166B,6.173B,6.760B,,,51.00M,5.680B,,,
2007-08,410.20M,,410.20M,,,1.064B,505.80M,1.154B,,1.555B,375.80M,73.30M,,3.478B,,,,,,,,,,2.963B,6.686B,3.729B,10.41B,,,1.622B,15.00B,18.48B,,893.60M,,,,893.60M,,893.60M,,3.561B,1.946B,5.507B,,5.507B,,,,1.105B,7.505B,3.004B,,3.004B,1.421B,1.421B,,,,242.30M,,1.846B,6.272B,13.78B,,50.20M,5.901B,5.969B,7.364B,,,-97.50M,4.459B,,,
2007-05,417.10M,6.50M,423.60M,952.90M,92.50M,1.162B,353.50M,898.00M,,1.173B,172.30M,67.20M,55.10M,3.054B,0.00,60.70M,1.519B,4.217B,,275.70M,23.90M,6.096B,-3.082B,3.014B,6.835B,3.694B,10.53B,294.60M,34.10M,239.50M,15.13B,18.18B,,777.90M,,861.20M,2.60M,1.642B,575.60M,2.217B,,1.254B,1.734B,2.988B,,2.988B,6.80M,6.80M,0.00,276.90M,5.845B,3.218B,,3.218B,1.433B,1.433B,,988.30M,,1.139B,,89.80M,5.881B,11.73B,,50.20M,5.745B,5.841B,6.198B,,,-119.70M,5.319B,,,Restated
2007-02,476.00M,,476.00M,,,1.208B,372.00M,934.00M,,1.225B,211.00M,148.00M,,3.268B,,,,,,,,5.951B,-3.04B,2.911B,6.788B,3.685B,10.47B,,,2.014B,15.40B,18.67B,,658.00M,,,,658.00M,,658.00M,,2.177B,845.00M,3.022B,,3.022B,,,,1.969B,5.649B,3.165B,,3.165B,1.808B,1.808B,,,,1.138B,,945.00M,5.918B,11.57B,,50.00M,5.65B,5.803B,5.807B,,,265.00M,5.961B,,,
2006-11,492.00M,,492.00M,1.291B,,1.291B,418.00M,1.016B,,1.359B,209.00M,148.00M,,3.499B,,,,,,,,5.892B,-2.974B,2.918B,6.636B,3.665B,10.30B,,,2.045B,15.26B,18.76B,,738.00M,,,,738.00M,,738.00M,,2.678B,1.739B,4.417B,,4.417B,,,,1.901B,7.056B,2.241B,,2.241B,1.801B,1.801B,,,,1.137B,,982.00M,5.024B,12.08B,,50.00M,5.512B,5.763B,5.875B,181.00M,-85.00M,96.00M,5.546B,,,
2006-08,425.00M,,425.00M,1.165B,,1.165B,276.00M,1.109B,111.00M,1.427B,207.00M,159.00M,,3.383B,,,,,,,,5.858B,-2.91B,2.948B,6.643B,3.667B,10.31B,,,1.945B,15.20B,18.59B,,860.00M,,,,860.00M,,860.00M,,2.221B,2.082B,4.303B,,4.303B,,,,1.778B,6.941B,2.406B,,2.406B,1.81B,1.81B,,,,1.137B,,962.00M,5.178B,12.12B,,50.00M,5.248B,5.725B,5.809B,,,116.00M,5.33B,,,
2006-05,647.00M,,647.00M,912.00M,112.00M,1.024B,304.00M,813.00M,,1.055B,168.00M,50.00M,97.00M,3.041B,0.00,54.00M,1.43B,3.859B,211.00M,252.00M,,5.806B,-2.809B,2.997B,6.652B,3.607B,10.26B,,,1.778B,15.03B,18.08B,,673.00M,,,,673.00M,,673.00M,,1.503B,2.131B,3.634B,,3.634B,,,,1.831B,6.138B,2.415B,,2.415B,1.69B,1.69B,,,,1.136B,,924.00M,5.029B,11.17B,,50.00M,5.107B,5.737B,5.163B,208.00M,-167.00M,41.00M,5.772B,,,
2006-02,653.00M,,653.00M,1.088B,,1.088B,236.00M,900.00M,101.00M,1.17B,198.00M,164.00M,,3.273B,,,,,,,,5.545B,-2.693B,2.852B,,10.36B,10.36B,,,1.731B,14.94B,18.22B,,1.126B,,,,1.126B,,1.126B,,1.806B,2.079B,3.885B,,3.885B,,,,1.25B,6.261B,2.502B,,2.502B,1.83B,1.83B,,,,1.135B,,949.00M,5.281B,11.54B,,50.00M,5.007B,5.718B,5.158B,,,-79.00M,5.538B,,,
2005-11,730.00M,,730.00M,1.167B,,1.167B,249.00M,985.00M,90.00M,1.258B,179.00M,186.00M,,3.52B,,,,,,,,5.498B,-2.619B,2.879B,,10.36B,10.36B,,,1.70B,14.94B,18.46B,,1.235B,,,,1.235B,,1.235B,,2.081B,589.00M,2.67B,,2.67B,,,,1.249B,5.154B,3.995B,,3.995B,1.843B,1.843B,,,,1.134B,,938.00M,6.776B,11.93B,,50.00M,4.882B,5.71B,5.14B,,,-106.00M,5.396B,,,
2005-08,609.00M,,609.00M,1.108B,,1.108B,223.00M,1.083B,70.00M,1.315B,168.00M,194.00M,,3.394B,,,,,,,,5.47B,-2.552B,2.918B,,10.37B,10.37B,,,1.692B,14.98B,18.38B,,1.192B,,,,1.192B,,1.192B,,871.00M,1.666B,2.537B,,2.537B,,,,1.309B,5.038B,4.24B,,4.24B,1.853B,1.853B,,,,1.134B,,967.00M,7.06B,12.10B,,50.00M,4.631B,5.707B,5.163B,,,-81.00M,5.144B,,,
2005-05,573.00M,,573.00M,1.034B,,1.034B,214.00M,795.00M,73.00M,1.037B,203.00M,208.00M,,3.055B,0.00,54.00M,1.396B,3.722B,302.00M,196.00M,,5.67B,-2.559B,3.111B,,10.22B,10.22B,,,1.684B,15.01B,18.07B,,1.136B,,,,1.136B,,1.136B,,299.00M,1.638B,1.937B,,1.937B,,,,1.111B,4.184B,4.255B,,4.255B,1.851B,1.851B,,,,1.133B,,967.00M,7.073B,11.26B,,50.00M,4.501B,5.691B,4.46B,,,-106.00M,5.676B,,,
2005-02,597.00M,,597.00M,1.048B,,1.048B,,,,1.119B,177.00M,191.00M,,3.132B,,,,,,,,5.468B,-2.451B,3.017B,,10.35B,10.35B,,,1.96B,15.33B,18.46B,,973.00M,,,,973.00M,,973.00M,,782.00M,29.00M,811.00M,,811.00M,,,,889.00M,2.673B,6.616B,,6.616B,1.842B,1.842B,,,,1.133B,,904.00M,9.362B,12.04B,,5.727B,4.156B,,4.466B,,,-125.00M,5.292B,,,
2004-11,561.00M,,561.00M,1.146B,,1.146B,,,,1.233B,180.00M,187.00M,,3.307B,,,,,,,,5.426B,-2.371B,3.055B,,10.36B,10.36B,,,1.925B,15.34B,18.65B,,1.132B,,,,1.132B,,1.132B,,347.00M,19.00M,366.00M,,366.00M,,,,857.00M,2.355B,7.429B,,7.429B,1.814B,1.814B,,,,1.135B,,933.00M,10.18B,12.53B,,5.663B,4.041B,,4.623B,,,-98.00M,4.983B,,,
2004-08,480.00M,,480.00M,1.053B,,1.053B,,,,1.246B,160.00M,185.00M,,3.124B,0.00,5.347B,,,,,,5.347B,-2.282B,3.065B,,10.33B,10.33B,,,1.831B,15.23B,18.35B,,1.086B,,,,1.086B,,1.086B,,456.00M,180.00M,636.00M,,636.00M,,,,801.00M,2.523B,7.426B,,7.426B,1.787B,1.787B,,,,299.00M,,943.00M,10.16B,12.68B,,5.695B,3.787B,,3.887B,,,-222.00M,5.373B,,,
2004-05,751.00M,,751.00M,1.01B,,1.01B,234.00M,793.00M,77.00M,1.063B,222.00M,169.00M,,3.215B,0.00,5.319B,,,,,,5.319B,-2.208B,3.111B,,10.32B,10.32B,,,1.797B,15.23B,18.45B,,1.11B,,,,1.11B,,1.11B,,583.00M,233.00M,816.00M,,816.00M,,,,831.00M,2.757B,7.41B,,7.41B,1.773B,1.773B,,,,299.00M,,961.00M,10.14B,12.90B,,5.68B,3.722B,,3.921B,,,-233.00M,5.248B,,,
2004-02,710.00M,,710.00M,1.052B,,1.052B,,,,1.154B,184.00M,,178.00M,3.278B,,,,,,,,5.208B,-2.165B,3.043B,,10.33B,10.33B,,,1.883B,15.26B,18.53B,,1.111B,,,,1.111B,,1.111B,,714.00M,222.00M,936.00M,,936.00M,,,,615.00M,2.662B,7.767B,,7.767B,1.74B,1.74B,,,,299.00M,,1.026B,10.53B,13.20B,,5.74B,3.548B,,4.005B,,,-243.00M,5.04B,,,
2003-11,695.00M,,695.00M,1.196B,,1.196B,,,,1.321B,177.00M,209.00M,,3.598B,,,,5.088B,,,,5.088B,-2.075B,3.013B,,10.29B,10.29B,,,1.878B,15.18B,18.78B,,1.296B,,,,1.296B,,1.296B,,956.00M,246.00M,1.202B,,1.202B,,,,637.00M,3.135B,7.817B,,7.817B,1.711B,1.711B,,,,298.00M,,1.075B,10.60B,13.74B,,5.702B,3.409B,,4.077B,,,-291.00M,4.743B,,,
2003-08,565.00M,,565.00M,1.047B,,1.047B,,,,1.334B,169.00M,195.00M,,3.31B,,,,5.032B,,,,5.032B,-2.035B,2.997B,,10.27B,10.27B,,,1.812B,15.08B,18.39B,,1.301B,,,,1.301B,,1.301B,,1.364B,82.00M,1.446B,,1.446B,,,,614.00M,3.361B,7.523B,,7.523B,1.701B,1.701B,,,,300.00M,,1.098B,10.32B,13.68B,,5.698B,3.204B,,4.125B,,,-368.00M,4.409B,,,
2003-05,703.00M,,703.00M,980.00M,,980.00M,221.00M,818.00M,70.00M,1.082B,184.00M,230.00M,,3.179B,0.00,55.00M,1.18B,3.005B,,689.00M,,4.929B,-1.949B,2.98B,,10.27B,10.27B,,,1.796B,15.05B,18.23B,,1.303B,,,,1.303B,,1.303B,,1.236B,105.00M,1.341B,,1.341B,,,,800.00M,3.444B,7.516B,,7.516B,1.661B,1.661B,,,,300.00M,,1.131B,10.31B,13.75B,,5.684B,3.079B,,4.203B,,,-385.00M,4.175B,,,
2003-02,1.202B,,1.202B,1.111B,,1.111B,,,,1.086B,161.00M,280.00M,,3.84B,0.00,,4.749B,,,,,4.749B,-1.94B,2.809B,,9.984B,9.984B,,,1.929B,14.72B,18.56B,,1.286B,,,,1.286B,,1.286B,,1.746B,120.00M,1.866B,,1.866B,,,,804.00M,3.956B,7.473B,,7.473B,1.717B,1.717B,,,,300.00M,,1.104B,10.29B,14.25B,,5.676B,2.956B,,4.232B,,,-388.00M,4.012B,,,
2002-11,1.747B,,1.747B,1.236B,,1.236B,,,,1.28B,155.00M,264.00M,,4.682B,0.00,,4.59B,,,,,4.59B,-1.867B,2.723B,,9.98B,9.98B,,,1.891B,14.59B,19.28B,,1.499B,,,,1.499B,,1.499B,,2.379B,100.00M,2.479B,,2.479B,,,,848.00M,4.826B,7.48B,,7.48B,1.734B,1.734B,,,,299.00M,,1.128B,10.34B,15.17B,,5.672B,2.818B,,4.25B,,,-431.00M,3.809B,,,
2002-08,745.00M,,745.00M,1.059B,,1.059B,,,,1.259B,131.00M,226.00M,,3.42B,,,,4.695B,,,,4.695B,-1.935B,2.76B,,8.564B,8.564B,,,1.853B,13.18B,16.60B,,1.328B,,,,1.328B,,1.328B,,3.269B,229.00M,3.498B,,3.498B,,,,769.00M,5.595B,5.547B,,5.547B,398.00M,398.00M,,,,299.00M,,1.097B,7.042B,12.64B,,5.743B,2.643B,,4.273B,,,-452.00M,3.661B,,,
2002-05,975.00M,,975.00M,1.01B,,1.01B,,,,1.055B,156.00M,241.00M,,3.437B,0.00,54.00M,1.151B,2.916B,,497.00M,,4.618B,-1.854B,2.764B,,8.563B,8.563B,,,1.776B,13.10B,16.54B,,1.217B,,,,1.217B,,1.217B,,3.60B,248.00M,3.848B,,3.848B,,,,682.00M,5.747B,5.591B,,5.591B,407.00M,407.00M,,,,153.00M,,1.066B,7.064B,12.81B,,5.733B,2.568B,,4.292B,,,-433.00M,3.576B,,,
2002-02,1.323B,,1.323B,1.141B,,1.141B,,,1.073B,1.043B,195.20M,61.90M,,3.764B,,,,,,,,4.512B,-1.830B,2.681B,,8.657B,8.657B,,,1.736B,13.07B,16.84B,,1.202B,,,,1.202B,35.70M,1.238B,,3.648B,611.40M,4.260B,,4.260B,,,,744.30M,6.242B,5.591B,,5.591B,382.40M,382.40M,,,,,,1.076B,7.049B,13.29B,,5.731B,2.612B,,4.322B,,,-474.20M,3.547B,,,
2001-11,853.50M,,853.50M,1.219B,,1.219B,,,,1.079B,222.30M,61.90M,641.00M,4.077B,,,,,,,,4.581B,-1.764B,2.817B,8.377B,83.40M,8.461B,,,1.770B,13.05B,17.12B,,1.184B,,,,1.184B,83.00M,1.267B,,7.220B,583.60M,7.804B,,7.804B,,,,738.30M,9.809B,2.206B,,2.206B,493.30M,493.30M,,,,,,1.063B,3.762B,13.57B,,5.698B,2.630B,,4.351B,,,-424.50M,3.553B,,,
2001-08,53.50M,,53.50M,600.10M,,600.10M,,,,581.70M,82.20M,61.90M,,1.379B,,,,,,,,3.233B,-1.722B,1.512B,804.00M,73.80M,877.80M,,,1.390B,3.779B,5.159B,,548.10M,,,,548.10M,150.90M,699.00M,,876.90M,352.90M,1.230B,,1.230B,,,,252.30M,2.181B,2.213B,,2.213B,284.70M,284.70M,,,,,,576.70M,3.074B,5.256B,,763.50M,2.577B,,3.053B,,,-384.70M,-97.00M,,,
2001-05,64.00M,,64.00M,664.00M,,664.00M,129.00M,326.00M,94.00M,519.00M,99.00M,62.00M,,1.408B,0.00,25.00M,636.00M,2.226B,,292.00M,,3.179B,-1.678B,1.501B,,870.00M,870.00M,,,1.312B,3.683B,5.091B,,619.00M,,,,619.00M,253.00M,872.00M,,858.00M,349.00M,1.207B,,1.207B,,,,130.00M,2.209B,2.221B,,2.221B,423.00M,423.00M,,,,,,186.00M,2.83B,5.039B,,745.00M,2.468B,,3.014B,,,-146.00M,52.00M,,,
2001-02,77.30M,,77.30M,,,573.80M,,,,539.90M,,,159.70M,1.351B,,,,,,,,3.121B,-1.647B,1.474B,,870.30M,870.30M,,,1.301B,3.645B,4.996B,,496.80M,,,,496.80M,,496.80M,,,,980.20M,,980.20M,,,,443.20M,1.920B,2.521B,,2.521B,399.30M,399.30M,,,,,,189.20M,3.110B,5.030B,,715.10M,2.400B,,3.015B,,,-134.10M,-34.60M,,,
2000-11,66.90M,,66.90M,,,588.90M,,,,562.20M,,,149.70M,1.368B,,,,,,,,3.06B,-1.609B,1.451B,,870.30M,870.30M,,,1.210B,3.532B,4.899B,,568.90M,,,,568.90M,,568.90M,,,,1.465B,,1.465B,,,,416.80M,2.451B,2.026B,,2.026B,389.40M,389.40M,,,,,,193.90M,2.610B,5.060B,,695.20M,2.320B,,3.026B,,,-150.10M,-160.90M,,,
2000-08,53.20M,,53.20M,,,555.50M,,,,557.90M,,,144.30M,1.311B,,,,,,,,2.993B,-1.571B,1.421B,,870.40M,870.40M,,,1.167B,3.458B,4.769B,,616.70M,,,,616.70M,,616.70M,,,,1.521B,,1.521B,,,,442.60M,2.580B,1.918B,,1.918B,392.20M,392.20M,,,,,,180.80M,2.491B,5.071B,,696.20M,2.195B,,3.051B,,,-142.00M,-302.00M,,,
2000-05,26.00M,,26.00M,501.00M,,501.00M,,,,511.00M,,,152.00M,1.19B,,,,,,,,2.949B,-1.544B,1.405B,,870.00M,870.00M,,,1.109B,3.384B,4.574B,,642.00M,,,,642.00M,,642.00M,,,,1.499B,,1.499B,,,,388.00M,2.529B,1.76B,,1.76B,387.00M,387.00M,,,,,,187.00M,2.334B,4.863B,,681.00M,2.114B,,2.935B,,,-148.00M,-289.00M,,,
2000-02,47.50M,,47.50M,,,481.70M,,,,529.60M,,,179.90M,1.239B,,,,,,,,2.903B,-1.506B,1.397B,,871.50M,871.50M,,,1.089B,3.358B,4.597B,,614.00M,,,,614.00M,,614.00M,,,,1.204B,,1.204B,,,,519.00M,2.337B,1.642B,,1.642B,398.80M,398.80M,,,,,,184.10M,2.225B,4.562B,,670.20M,2.003B,,2.505B,,,-133.50M,34.70M,,,
1999-11,70.40M,,70.40M,,,562.50M,,,,497.30M,,,175.20M,1.305B,,,,,,,,2.843B,-1.470B,1.374B,,830.30M,830.30M,,,1.085B,3.289B,4.594B,,672.40M,,,,672.40M,,672.40M,,,,992.40M,,992.40M,,,,426.90M,2.092B,1.665B,,1.665B,396.70M,396.70M,,,,,,184.50M,2.246B,4.338B,,679.90M,2.013B,,2.307B,,,-129.00M,256.70M,,,
1999-08,46.00M,,46.00M,,,522.00M,,,,510.10M,,,175.70M,1.254B,,,,,,,,2.810B,-1.459B,1.351B,,838.60M,838.60M,,,1.061B,3.250B,4.504B,,678.10M,,,,678.10M,,678.10M,,,,880.70M,,880.70M,,,,459.50M,2.018B,1.687B,,1.687B,405.10M,405.10M,,,,,,177.30M,2.270B,4.288B,,666.20M,1.903B,,2.222B,,,-130.50M,216.30M,,,
1999-05,3.90M,,3.90M,,,490.60M,,,,426.70M,,,181.30M,1.102B,,,,,,,,2.719B,-1.424B,1.295B,,,,,,1.744B,3.038B,4.141B,,647.40M,,,,647.40M,,647.40M,,,,614.90M,,614.90M,,,,438.00M,1.700B,1.702B,,1.702B,400.20M,400.20M,,,,,,173.60M,2.276B,3.976B,,657.90M,1.827B,,2.195B,,,-125.80M,164.20M,,,
1999-02,18.90M,,18.90M,,,469.70M,,,,442.30M,,,188.60M,1.120B,,,,,,,,2.664B,-1.396B,1.268B,,728.20M,728.20M,,,1.023B,3.019B,4.138B,,627.20M,,,,627.20M,,627.20M,,,,505.60M,,505.60M,,,,556.60M,1.689B,1.701B,,1.701B,401.10M,401.10M,,,,,,179.50M,2.281B,3.971B,,,1.722B,,,,,,167.90M,,,
1998-11,9.50M,,9.50M,,,468.40M,,,,438.40M,,,197.30M,1.114B,,,,,,,,2.592B,-1.367B,1.225B,,621.40M,621.40M,,,1.061B,2.907B,4.021B,,638.80M,,,,638.80M,,638.80M,,,,592.40M,,592.40M,,,,419.50M,1.651B,1.593B,,1.593B,402.50M,402.50M,,,,,,177.50M,2.173B,3.824B,,,1.749B,,,,,,197.30M,,,
1998-08,29.70M,,29.70M,,,458.40M,,,,472.80M,,,209.40M,1.170B,,,,,,,,2.540B,-1.337B,1.203B,,625.40M,625.40M,,,1.026B,2.855B,4.025B,,657.70M,,,,657.70M,,657.70M,,,,571.00M,,571.00M,,,,452.00M,1.681B,1.612B,,1.612B,411.90M,411.90M,,,,,,174.30M,2.198B,3.879B,,,1.686B,,,,,,145.80M,,,
1998-05,6.40M,,6.40M,,,395.10M,,,,389.70M,,,244.10M,1.035B,,,,,,,,2.517B,-1.331B,1.186B,,630.40M,630.40M,,,1.009B,2.826B,3.861B,,593.10M,,,,593.10M,,593.10M,,,,417.30M,,417.30M,,,,433.30M,1.444B,1.640B,,1.640B,413.90M,413.90M,,,,,,173.20M,2.228B,3.671B,,,1.623B,,,,,,190.20M,,,
1998-02,16.80M,,16.80M,,,425.10M,,,,447.60M,,,210.60M,1.100B,,,,,,,,2.437B,-1.271B,1.166B,,635.90M,635.90M,,,997.50M,2.800B,3.900B,,619.50M,,,,619.50M,,619.50M,,,,187.80M,,187.80M,,,,423.50M,1.231B,1.656B,,1.656B,410.10M,410.10M,,,,,,169.80M,2.236B,3.467B,,,1.614B,,,,,,433.10M,,,
1997-11,29.90M,,29.90M,,,442.80M,,,,471.60M,,,215.30M,1.160B,,,,,,,,2.417B,-1.244B,1.173B,,641.00M,641.00M,,,975.60M,2.790B,3.949B,,689.20M,,,,689.20M,,689.20M,,,,93.80M,,93.80M,,,,601.90M,1.385B,1.597B,,1.597B,407.70M,407.70M,,,,,,170.40M,2.175B,3.560B,,,1.567B,,,,,,389.20M,,,
1997-08,18.20M,,18.20M,,,419.30M,,,,457.30M,,,217.80M,1.113B,,,,,,,,2.606B,-1.331B,1.275B,,649.20M,649.20M,,,925.60M,2.850B,3.962B,,662.80M,,,,662.80M,,662.80M,,,,361.30M,,361.30M,,,,401.60M,1.426B,1.497B,,1.497B,419.90M,419.90M,,,,,,173.80M,2.091B,3.516B,,,1.586B,,,,,,446.10M,,,
1997-05,12.80M,,12.80M,,,419.10M,,,,364.40M,,,215.00M,1.011B,,,,,,,,2.572B,-1.292B,1.279B,,655.20M,655.20M,,,956.50M,2.891B,3.902B,,599.70M,,,,599.70M,,599.70M,,,,343.30M,,343.30M,,,,349.50M,1.292B,1.530B,,1.530B,415.80M,415.80M,,,,,,169.10M,2.115B,3.408B,,,1.535B,,,,,,494.60M,,,
1997-02,31.00M,,31.00M,,,413.70M,,,,413.00M,,,248.60M,1.106B,,,,,,,,2.532B,-1.252B,1.281B,,657.60M,657.60M,,,943.30M,2.882B,3.988B,,548.30M,,,,548.30M,,548.30M,,,,600.50M,,600.50M,,,,411.10M,1.560B,1.225B,,1.225B,387.10M,387.10M,,,,,,167.10M,1.779B,3.339B,,,1.552B,,,,,,649.00M,,,
1996-11,28.30M,,28.30M,,,428.40M,,,,396.30M,,,255.50M,1.108B,,,,,,,,2.475B,-1.218B,1.256B,,,,,,1.067B,2.323B,3.432B,,643.10M,,,,643.10M,,643.10M,,,,529.10M,,529.10M,,,,374.10M,1.546B,1.079B,,1.079B,397.60M,397.60M,,,,,,168.40M,1.645B,3.191B,,,1.507B,,,,,,240.60M,,,
1996-08,33.10M,,33.10M,,,429.30M,,,,429.60M,,,255.00M,1.147B,,,,,,,,2.448B,-1.195B,1.253B,,,,,,1.014B,2.266B,3.413B,,654.90M,,,,654.90M,,654.90M,,,,396.80M,,396.80M,,,,417.20M,1.469B,1.154B,,1.154B,399.60M,399.60M,,,,,,165.30M,1.719B,3.188B,,,1.428B,,,,,,225.80M,,,
1996-05,20.60M,,20.60M,,,337.80M,,,,395.50M,,,241.20M,995.10M,,,,,,,,2.508B,-1.196B,1.312B,,,,,,987.20M,2.300B,3.295B,,590.70M,,,,590.70M,,590.70M,,,,217.00M,,217.00M,,,,384.20M,1.192B,1.221B,,1.221B,407.50M,407.50M,,,,,,166.70M,1.795B,2.987B,,,1.409B,,,,,,307.70M,,,
1996-02,35.70M,,35.70M,,,375.50M,,,,420.20M,,,225.50M,1.057B,,,,,,,,2.521B,-1.176B,1.345B,,,,,,1.034B,2.379B,3.436B,,505.40M,,,,505.40M,,505.40M,,,,282.90M,,282.90M,,,,462.80M,1.251B,1.243B,,1.243B,261.20M,261.20M,,,,,,329.50M,1.833B,3.084B,,,1.410B,,,,,,351.70M,,,
1995-11,44.00M,,44.00M,,,381.40M,,,,445.70M,,,209.70M,1.081B,,,,,,,,2.608B,-1.206B,1.402B,,,,,,1.033B,2.435B,3.516B,,538.70M,,,,538.70M,,538.70M,,,,364.20M,,364.20M,,,,468.20M,1.371B,1.246B,,1.246B,422.80M,422.80M,,,,,,175.60M,1.845B,3.216B,,,1.368B,,,,,,299.70M,,,
1995-08,16.70M,,16.70M,,,330.10M,,,,434.30M,,,220.00M,1.001B,,,,,,,,2.624B,-1.187B,1.437B,,,,,,1.017B,2.454B,3.455B,,490.10M,,,,490.10M,,490.10M,,,,270.70M,,270.70M,,,,543.80M,1.305B,1.335B,,1.335B,428.00M,428.00M,,,,,,177.80M,1.941B,3.245B,,,1.296B,,,,,,209.70M,,,
1995-05,13.00M,,13.00M,,,277.30M,,,,372.00M,,,234.60M,896.90M,,,,,,,,2.612B,-1.155B,1.457B,,,,,,1.005B,2.461B,3.358B,,494.00M,,,,494.00M,,494.00M,,,,206.60M,,206.60M,,,,520.30M,1.221B,1.401B,,1.401B,248.60M,248.60M,,,,,,346.80M,1.996B,3.217B,,,1.233B,,,,,,141.00M,,,
1995-02,25.00M,,25.00M,,,370.70M,,,,476.70M,,,238.20M,1.111B,,,,,,,,2.639B,-1.155B,1.484B,,,,,,2.597B,4.081B,5.191B,,444.30M,,,,444.30M,,444.30M,,,,854.30M,,854.30M,,,,455.70M,1.754B,1.483B,,1.483B,428.30M,428.30M,,,,,,192.70M,2.104B,3.858B,,,2.542B,,,,,,1.333B,,,
