,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2002-11,2.953B,2.953B,1.768B,1.185B,623.00M,-21.00M,,,,,623.00M,562.00M,,,,-7.00M,,415.00M,139.00M,276.00M,,,,276.00M,289.97M,652.00M,90.00M,562.00M,,0.375,0.00,,0.3940,0.375,,0.365,0.00,,0.3835,0.365,,736.00M,754.00M,0.1375,,,
2002-08,2.362B,2.362B,1.386B,976.00M,533.00M,-55.00M,,,,,533.00M,443.00M,,,,-38.00M,,246.00M,87.00M,176.00M,,,,176.00M,211.55M,533.00M,90.00M,443.00M,,0.24,0.00,,0.2873,0.24,,0.235,0.00,,0.2823,0.235,,752.00M,752.00M,0.1375,,,
2002-05,2.324B,2.324B,1.467B,857.00M,635.00M,-1.00M,,,,,635.00M,222.00M,,,,12.00M,,82.00M,25.00M,57.00M,,0.00,,57.00M,57.70M,314.00M,92.00M,222.00M,,0.06,0.00,0.00,0.0609,0.06,,0.06,0.00,0.0002,0.0609,0.06,,734.00M,756.00M,0.1375,,,
2002-02,2.379B,2.379B,1.467B,912.00M,615.00M,-31.00M,,,,,615.00M,297.00M,,,,-31.00M,,113.00M,38.00M,82.00M,,,,82.00M,102.58M,387.00M,90.00M,297.00M,,0.115,0.00,,0.1431,0.115,,0.11,0.00,,0.1372,0.11,,731.20M,755.80M,0.1375,,,
2001-11,1.842B,1.842B,1.04B,802.00M,415.00M,-109.00M,,,,,415.00M,387.00M,,,,-106.00M,,212.00M,81.00M,131.00M,,,,131.00M,198.35M,448.40M,61.40M,387.00M,,0.215,0.00,,0.3246,0.215,,0.205,0.00,,0.3108,0.205,,614.80M,636.60M,0.1375,,,
2001-08,1.771B,1.771B,720.40M,1.051B,738.90M,23.50M,,,,,738.90M,311.90M,,,,23.50M,,286.50M,95.40M,191.10M,,-3.10M,,188.00M,175.43M,364.50M,52.60M,311.90M,,0.335,-0.005,0.00,0.3075,0.33,,0.325,-0.005,-0.0054,0.2984,0.32,,569.40M,589.60M,0.1375,,,
2001-05,178.30M,178.30M,886.70M,-708.40M,-816.00M,12.10M,,,,,-976.10M,267.70M,,,,-4.90M,,218.40M,72.50M,145.90M,,,,145.90M,137.82M,330.60M,62.90M,267.70M,,0.255,0.00,,0.2408,0.255,,0.25,0.00,,0.2362,0.25,,570.40M,587.00M,0.1375,,,
2001-02,1.702B,1.702B,651.90M,1.050B,697.80M,2.00M,,,,,753.90M,295.80M,,,,2.00M,,242.40M,84.90M,157.50M,,,,157.50M,156.20M,351.90M,56.10M,295.80M,,0.275,0.00,,0.2727,0.275,,0.27,0.00,,0.2678,0.27,,568.60M,587.60M,0.1375,,,
2000-11,1.895B,1.895B,700.20M,1.195B,785.70M,5.90M,,,,,838.60M,356.40M,,,,5.90M,,309.90M,107.20M,202.70M,,,,202.70M,198.84M,409.30M,52.90M,356.40M,,0.36,0.00,,0.3532,0.36,,0.35,0.00,,0.3434,0.35,,565.80M,580.40M,0.1375,,,
2000-08,1.675B,1.675B,602.20M,1.073B,725.50M,3.00M,,,,,776.60M,296.10M,,,,3.00M,,244.30M,85.40M,158.90M,,,,158.90M,156.95M,347.20M,51.10M,296.10M,,0.28,0.00,,0.2766,0.28,,0.275,0.00,,0.2716,0.275,,567.40M,581.00M,0.1375,,,
2000-05,162.60M,162.60M,638.20M,-475.60M,-748.60M,,,,,,-689.00M,213.40M,,,,1.90M,,166.60M,58.10M,108.50M,,,,108.50M,108.50M,273.00M,59.60M,213.40M,,0.19,0.00,,0.19,0.19,,0.19,0.00,,0.19,0.19,,576.63M,586.18M,0.1375,,,
2000-02,1.620B,1.620B,598.90M,1.021B,687.40M,-5.50M,,,,,739.10M,281.60M,,,,-5.50M,,239.60M,86.30M,153.30M,,,,153.30M,156.82M,333.30M,51.70M,281.60M,,0.255,0.00,,0.2609,0.255,,0.25,0.00,,0.2557,0.25,,601.18M,613.20M,0.1375,,,
1999-11,1.817B,1.817B,678.40M,1.139B,760.00M,3.10M,,,,,809.80M,329.00M,,,,3.10M,,298.00M,104.30M,193.70M,,,,193.70M,191.68M,378.80M,49.80M,329.00M,,0.32,0.00,,0.3167,0.32,,0.31,0.00,,0.3068,0.31,,607.00M,626.20M,0.1375,,,
1999-08,1.574B,1.574B,573.50M,1.000B,677.20M,3.50M,,,,,725.10M,275.00M,,,,3.50M,,245.80M,87.30M,158.50M,,,,158.50M,156.24M,322.90M,47.90M,275.00M,,0.26,0.00,,0.2563,0.26,,0.25,0.00,,0.2464,0.25,,609.62M,634.00M,0.1375,,,
1999-05,1.600B,1.600B,640.20M,960.30M,714.20M,-3.00M,,,,,766.00M,194.30M,,,,-3.00M,,162.50M,57.70M,104.80M,,,,104.80M,106.73M,246.10M,51.80M,194.30M,,0.175,0.00,,0.1782,0.175,,0.165,0.00,,0.1680,0.165,,610.43M,635.70M,0.1375,,,
1999-02,1.495B,1.495B,570.80M,924.30M,618.80M,-5.50M,,,,,666.80M,257.50M,,,,-5.50M,,220.60M,79.50M,141.10M,,,,141.10M,144.62M,305.50M,48.00M,257.50M,,0.23,0.00,,0.2357,0.23,,0.225,0.00,,0.2306,0.225,,613.48M,627.11M,0.1375,,,
1998-11,1.677B,1.677B,651.70M,1.026B,667.80M,-53.90M,,,,,715.10M,310.60M,,,,-53.90M,,227.30M,83.70M,143.60M,,,,143.60M,177.65M,357.90M,47.30M,310.60M,,0.235,0.00,,0.2907,0.235,,0.23,0.00,,0.2845,0.23,,611.06M,624.35M,0.1325,,,
1998-08,1.473B,1.473B,536.60M,936.50M,634.10M,2.60M,,,,,681.20M,255.30M,,,,2.60M,,228.10M,83.10M,145.00M,,,,145.00M,143.35M,302.40M,47.10M,255.30M,,0.235,0.00,,0.2323,0.235,,0.23,0.00,,0.2274,0.23,,617.02M,630.43M,0.1325,,,
1998-05,1.554B,1.554B,593.00M,960.50M,733.80M,-0.80M,,,,,784.50M,176.00M,,,,-0.80M,,143.30M,51.50M,91.80M,,,,91.80M,92.31M,226.70M,50.70M,176.00M,,0.1475,0.00,,0.1483,0.1475,,0.14,0.00,,0.1408,0.14,,625.75M,655.62M,0.1325,,,
1998-02,1.425B,1.425B,552.40M,872.30M,588.10M,-2.20M,,,,,634.90M,237.40M,,,,-2.20M,,208.40M,77.30M,131.10M,,,,131.10M,132.48M,284.20M,46.80M,237.40M,,0.21,0.00,,0.2122,0.21,,0.205,0.00,,0.2072,0.205,,624.29M,639.51M,0.1325,,,
1997-11,1.638B,1.638B,653.70M,984.60M,645.40M,-167.20M,,,,,693.90M,290.70M,,,,-167.20M,,96.20M,31.60M,64.60M,,,,64.60M,176.88M,339.20M,48.50M,290.70M,,0.105,0.00,,0.2875,0.105,,0.10,0.00,,0.2738,0.10,,615.24M,646.00M,0.1325,,,
1997-08,1.416B,1.416B,543.90M,872.60M,577.60M,0.90M,,,,,626.50M,246.10M,,,,0.90M,,215.80M,81.50M,134.30M,,,,134.30M,133.74M,295.00M,48.90M,246.10M,,0.21,0.00,,0.2091,0.21,,0.205,0.00,,0.2041,0.205,,639.52M,655.12M,0.1325,,,
1997-05,1.444B,1.444B,584.90M,859.10M,671.00M,-1.50M,,,,,722.80M,136.30M,,,,-1.50M,,106.80M,38.60M,68.20M,,,,68.20M,69.16M,188.10M,51.80M,136.30M,,0.105,0.00,,0.1065,0.105,,0.10,0.00,,0.1014,0.10,,641.09M,664.06M,0.1325,,,
1997-02,1.290B,1.290B,548.30M,741.30M,470.00M,-5.50M,,,,,515.10M,226.20M,,,,-5.50M,,195.50M,72.70M,122.80M,,,,122.80M,126.25M,271.30M,45.10M,226.20M,,0.195,0.00,,0.2005,0.195,,0.19,0.00,,0.1953,0.19,,629.74M,646.32M,0.125,,,
1996-11,1.560B,1.560B,659.40M,900.70M,587.50M,1.50M,,,,,630.50M,270.20M,,,,1.50M,,247.20M,90.50M,156.70M,,,,156.70M,155.75M,313.20M,43.00M,270.20M,,0.25,0.00,,0.2485,0.25,,0.245,0.00,,0.2435,0.245,,626.80M,639.59M,0.125,,,
1996-08,1.316B,1.316B,535.80M,779.80M,510.70M,-49.20M,,,,,553.60M,226.20M,,,,-49.20M,,154.20M,56.50M,97.70M,,,,97.70M,128.87M,269.10M,42.90M,226.20M,,0.155,0.00,,0.2045,0.155,,0.155,0.00,,0.2045,0.155,,630.32M,630.32M,0.125,,,
1996-05,1.382B,1.382B,586.20M,795.90M,594.90M,,,,,,643.20M,152.70M,,,,,,126.40M,48.90M,77.50M,,,,77.50M,77.50M,201.00M,48.30M,152.70M,,0.12,0.00,,0.12,0.12,,0.105,0.00,,0.105,0.105,,641.28M,693.13M,0.125,,,
1996-02,1.309B,1.309B,533.10M,776.10M,523.10M,,,,,,568.10M,208.00M,,,,,,182.90M,66.60M,116.30M,,,,116.30M,116.30M,253.00M,45.00M,208.00M,,0.185,0.00,,0.185,0.185,,0.185,0.00,,0.185,0.185,,628.65M,628.65M,0.1175,,,
1995-11,1.448B,1.448B,596.10M,852.30M,551.70M,,,,,,598.40M,253.90M,,,,,,228.10M,82.40M,145.70M,,,,145.70M,145.70M,300.60M,46.70M,253.90M,,0.23,0.00,,0.23,0.23,,0.23,0.00,,0.23,0.23,,633.48M,633.48M,0.1175,,,
1995-08,1.276B,1.276B,525.60M,750.70M,458.60M,,,,,,505.30M,245.40M,,,,,,218.40M,81.50M,136.90M,,,,136.90M,136.90M,292.10M,46.70M,245.40M,,0.215,0.00,,0.215,0.215,,0.215,0.00,,0.215,0.215,,636.74M,636.74M,0.235,,,
1995-05,1.078B,1.078B,439.80M,638.60M,545.70M,-43.60M,,,,,595.60M,43.00M,,,,-43.60M,,-27.20M,-10.70M,-16.50M,78.50M,,,62.00M,9.949M,92.90M,49.90M,43.00M,,-0.03,0.13,,0.0128,0.10,,-0.03,0.13,,0.0128,0.10,,617.34M,617.34M,0.1175,,,
1995-02,1.287B,1.287B,528.50M,758.50M,516.20M,-139.60M,,,,,564.10M,194.40M,,,,-139.60M,,28.60M,5.30M,23.30M,-17.90M,,,5.40M,137.03M,242.30M,-18.30M,194.40M,,0.04,-0.03,,0.2201,0.01,,0.04,-0.03,,0.2201,0.01,,631.60M,631.60M,0.1175,,,
1994-11,2.202B,2.202B,1.186B,1.016B,666.90M,,,,,,745.90M,270.10M,,,,,,238.60M,89.40M,149.20M,,,,149.20M,149.20M,349.10M,79.00M,270.10M,,0.24,0.00,,0.24,0.24,,0.24,0.00,,0.24,0.24,,630.80M,630.80M,0.1175,,,
1994-08,1.981B,1.981B,1.075B,906.20M,556.50M,,,,,,637.30M,268.90M,,,,,,241.10M,90.30M,150.80M,,,,150.80M,150.80M,349.70M,80.80M,268.90M,,0.24,0.00,,0.24,0.24,,0.24,0.00,,0.24,0.24,,632.40M,632.40M,0.1175,,,
1994-05,2.144B,2.144B,1.146B,997.30M,721.80M,,,,,,805.90M,191.40M,,,,,,17.60M,-0.80M,18.40M,,0.00,,18.40M,18.40M,275.50M,84.10M,191.40M,,0.03,0.00,0.00,0.03,0.03,,0.03,0.00,0.00,0.03,0.03,,632.25M,632.25M,0.1175,,,
1994-02,2.101B,2.101B,1.107B,994.60M,663.70M,,,,,,739.50M,255.10M,,,,,,232.90M,87.90M,145.00M,,,,145.00M,145.00M,330.90M,75.80M,255.10M,,0.23,0.00,,0.23,0.23,,0.23,0.00,,0.23,0.23,,630.43M,630.43M,0.1175,,,
1993-11,2.182B,2.182B,1.127B,1.055B,729.50M,,,,,,802.00M,253.10M,,,,,,229.70M,89.00M,140.70M,,,,140.70M,140.70M,325.60M,72.50M,253.10M,,0.22,0.00,,0.22,0.22,,0.22,0.00,,0.22,0.22,,639.55M,639.55M,0.1175,,,
1993-08,2.090B,2.090B,1.078B,1.012B,640.50M,,,,,,711.90M,299.80M,,,,,,273.10M,107.50M,165.60M,,0.20M,,165.80M,165.60M,371.20M,71.40M,299.80M,,0.26,0.00,0.00,0.26,0.26,,0.26,0.00,0.0003,0.26,0.26,,637.69M,637.69M,0.1175,,,
1993-05,2.007B,2.007B,1.106B,901.70M,683.80M,,,,,,761.00M,140.70M,,,,,,120.50M,53.00M,67.50M,,,,67.50M,67.50M,217.90M,77.20M,140.70M,,0.105,0.00,,0.105,0.105,,0.105,0.00,,0.105,0.105,,648.25M,648.25M,0.105,,,
1993-02,2.011B,2.011B,1.069B,941.40M,616.90M,,,,,,684.50M,256.90M,,,,,,237.10M,96.20M,140.90M,,,,140.90M,140.90M,324.50M,67.60M,256.90M,,0.215,0.00,,0.215,0.215,,0.215,0.00,,0.215,0.215,,655.35M,655.35M,0.105,,,
1992-11,2.097B,2.097B,1.080B,1.017B,708.30M,,,,,,773.80M,242.80M,,,,,,225.70M,87.60M,138.10M,,,,138.10M,138.10M,308.30M,65.50M,242.80M,,0.215,0.00,,0.215,0.215,,0.215,0.00,,0.215,0.215,,642.33M,642.33M,0.105,,,
1992-08,2.020B,2.020B,1.042B,977.30M,636.20M,,,,,,700.10M,277.20M,,,,,,260.70M,101.10M,159.60M,,,,159.60M,159.60M,341.10M,63.90M,277.20M,,0.245,0.00,,0.245,0.245,,0.245,0.00,,0.245,0.245,,651.43M,651.43M,0.105,,,
1992-05,2.000B,2.000B,1.092B,908.20M,655.80M,,,,,,722.60M,185.60M,,,,,,168.30M,65.20M,103.10M,,,,93.10M,103.10M,252.40M,66.80M,185.60M,,0.155,-0.015,,0.155,0.14,,0.155,-0.015,,0.155,0.14,,663.69M,663.69M,0.0925,,,
1992-02,1.868B,1.868B,983.40M,884.90M,589.60M,,,,,,652.70M,232.20M,,,,,,219.60M,87.50M,132.10M,,,,132.10M,132.10M,295.30M,63.10M,232.20M,,0.20,0.00,,0.20,0.20,,0.20,0.00,,0.20,0.20,,660.50M,660.50M,0.0925,,,
1991-11,1.992B,1.992B,1.046B,946.90M,652.70M,,,,,,712.50M,234.40M,,,,,,222.20M,93.90M,128.30M,,,,128.30M,128.30M,294.20M,59.80M,234.40M,,0.195,0.00,,0.195,0.195,,0.195,0.00,,0.195,0.195,,657.95M,657.95M,0.0925,,,
1991-08,1.916B,1.916B,1.002B,914.60M,606.40M,,,,,,664.10M,250.50M,,,,,,234.40M,92.30M,142.10M,,,,142.10M,142.10M,308.20M,57.70M,250.50M,,0.215,0.00,,0.215,0.215,,0.215,0.00,,0.215,0.215,,660.93M,660.93M,0.0925,,,
1991-05,1.829B,1.829B,971.30M,858.00M,635.80M,,,,,,694.70M,163.30M,,,,,,146.70M,55.80M,90.90M,0.00,,,90.90M,90.90M,222.20M,58.90M,163.30M,,0.135,0.00,,0.135,0.135,,0.135,0.00,,0.135,0.135,,668.16M,668.16M,0.08,,,
1991-02,1.748B,1.748B,877.10M,870.50M,585.30M,,,,,,640.60M,229.90M,,,,,,214.30M,83.00M,131.30M,2.80M,,,134.10M,131.30M,285.20M,55.30M,229.90M,,0.20,0.005,,0.20,0.205,,0.20,0.005,,0.20,0.205,,654.15M,654.15M,0.08,,,
1990-11,1.837B,1.837B,962.70M,874.10M,604.10M,,,,,,657.40M,216.70M,,,,,,200.80M,82.60M,118.20M,,,,118.20M,118.20M,270.00M,53.30M,216.70M,,0.18,0.00,,0.18,0.18,,0.18,0.00,,0.18,0.18,,656.67M,656.67M,0.08,,,
1990-08,1.740B,1.740B,911.00M,828.50M,560.80M,,,,,,611.70M,216.80M,,,,,,203.80M,80.00M,123.80M,5.70M,,,129.50M,123.80M,267.70M,50.90M,216.80M,,0.19,0.01,,0.19,0.20,,0.19,0.01,,0.19,0.20,,647.50M,647.50M,0.08,,,
1990-05,1.708B,1.708B,930.30M,777.40M,597.90M,,,,,,647.80M,129.60M,,,,,,121.80M,46.50M,75.30M,0.00,,,75.30M,75.30M,179.50M,49.90M,129.60M,,0.115,0.00,,0.115,0.115,,0.115,0.00,,0.115,0.115,,654.03M,654.03M,0.0688,,,
1990-02,1.612B,1.612B,875.80M,736.40M,519.00M,,,,,,564.10M,172.30M,,,,,,163.90M,64.10M,99.80M,,,,99.80M,99.80M,217.40M,45.10M,172.30M,,0.155,0.00,,0.155,0.155,,0.155,0.00,,0.155,0.155,,643.87M,643.87M,0.0688,,,
1989-11,1.627B,1.627B,873.70M,752.90M,550.00M,,,,,,594.70M,158.20M,,,,,,150.20M,58.80M,91.40M,,,,91.40M,91.40M,202.90M,44.70M,158.20M,,0.14,0.00,,0.14,0.14,,0.14,0.00,,0.14,0.14,,652.86M,652.86M,0.0688,,,
1989-08,1.502B,1.502B,805.30M,696.50M,471.10M,,,,,,511.50M,185.00M,,,,,,176.80M,69.60M,107.20M,7.70M,,,114.90M,107.20M,225.40M,40.40M,185.00M,,0.165,0.015,,0.165,0.18,,0.165,0.015,,0.165,0.18,,638.33M,638.33M,0.0688,,,
1989-05,1.370B,1.370B,,,,,,,,,,-3.706B,,,,,,,,62.60M,-30.10M,,,32.50M,,-3.706B,,-3.706B,,,-0.0461,,,-0.0461,,,-0.0461,,,-0.0461,,652.86M,652.86M,0.0588,,,
1989-02,1.456B,1.456B,,,,,,,,,,1.456B,,,,,,,,82.30M,,,,82.30M,,1.456B,,1.456B,,0.125,0.00,,0.125,0.125,,0.125,0.00,,0.125,0.125,,657.30M,657.30M,0.0588,,,
1988-11,1.416B,1.416B,,,,,,,,,,1.416B,,,,,,,,79.60M,,,,79.60M,,1.416B,,1.416B,,0.125,0.00,,0.125,0.125,,0.125,0.00,,0.125,0.125,,656.36M,656.36M,0.0588,,,
1988-08,1.379B,1.379B,,,,,,,,,,1.379B,,,,,,,,90.80M,199.10M,,,289.90M,,1.379B,,1.379B,,0.14,0.305,,0.14,0.445,,0.14,0.305,,0.14,0.445,,669.24M,669.24M,0.0588,,,
1988-05,848.10M,848.10M,,,,,,,,,,-3.850B,,,,,,,,37.20M,,,,37.20M,,-3.850B,,-3.850B,,,,,,,,,,,,,,669.24M,669.24M,0.05,,,
1988-02,1.444B,1.444B,,,,,,,,,,1.444B,,,,,,,,71.40M,,,,71.40M,,1.444B,,1.444B,,0.105,0.00,,0.105,0.105,,0.105,0.00,,0.105,0.105,,705.86M,705.86M,0.05,,,
1987-11,1.512B,1.512B,,,,,,,,,,1.512B,,,,,,,,79.60M,,,,79.60M,,1.512B,,1.512B,,0.115,0.00,,0.115,0.115,,0.115,0.00,,0.115,0.115,,705.86M,705.86M,0.05,,,
1987-08,1.375B,1.375B,,,,,,,,,,1.375B,,,,,,,,77.20M,,,,77.20M,,1.375B,,1.375B,,0.11,0.00,,0.11,0.11,,0.11,0.00,,0.11,0.11,,705.86M,705.86M,0.05,,,
1987-05,1.350B,1.350B,,,,,,,,,,-3.372B,,,,,,,,44.60M,,,,44.60M,,-3.372B,,-3.372B,,,,,,,,,,,,,,705.86M,705.86M,0.04,,,
1987-02,1.311B,1.311B,,,,,,,,,,1.311B,,,,,,,,56.90M,,,,56.90M,,1.311B,,1.311B,,0.08,0.00,,0.08,0.08,,0.08,0.00,,0.08,0.08,,705.48M,705.48M,0.04,,,
1986-11,1.335B,1.335B,,,,,,,,,,1.335B,,,,,,,,60.20M,9.70M,,,69.90M,,1.335B,,1.335B,,0.085,0.015,,0.085,0.10,,0.085,0.015,,0.085,0.10,,717.34M,717.34M,0.04,,,
1986-08,1.186B,1.186B,,,,,,,,,,1.186B,,,,,,,,60.30M,-1.20M,,,59.10M,,1.186B,,1.186B,,0.085,-0.005,,0.085,0.08,,0.085,-0.005,,0.085,0.08,,717.34M,717.34M,0.0362,,,
1986-05,1.161B,1.161B,,,,,,,,,,-3.061B,,,,,,,,42.20M,,,,42.20M,,-3.061B,,-3.061B,,,,,,,,,,,,,,717.34M,717.34M,0.0362,,,
1986-02,1.154B,1.154B,,,,,,,,,,1.154B,,,,,,,,46.40M,,,,46.40M,,1.154B,,1.154B,,0.065,0.00,,0.065,0.065,,0.065,0.00,,0.065,0.065,,713.78M,713.78M,0.035,,,
1985-11,1.204B,1.204B,,,,,,,,,,1.204B,,,,,,,,46.00M,,,,46.00M,,1.204B,,1.204B,,0.065,0.00,,0.065,0.065,,0.065,0.00,,0.065,0.065,,712.75M,712.75M,,,,
1985-08,1.068B,1.068B,,,,,,,,,,1.068B,,,,,,,,48.90M,,,,48.90M,,1.068B,,1.068B,,0.07,0.00,,0.07,0.07,,0.07,0.00,,0.07,0.07,,711.06M,711.06M,,,,
1985-05,984.60M,984.60M,,,,,,,,,,-2.969B,,,,,,,,2.80M,-111.30M,,,-108.50M,,-2.969B,,-2.969B,,,-0.1565,,,-0.1565,,,-0.1565,,,-0.1565,,711.06M,711.06M,,,,
1985-02,1.098B,1.098B,,,,,,,,,,1.098B,,,,,,,,31.20M,-105.30M,,,-74.10M,,1.098B,,1.098B,,0.045,-0.15,,0.045,-0.105,,0.045,-0.15,,0.045,-0.105,,708.66M,708.66M,,,,
1984-11,1.559B,1.559B,,,,,,,,,,1.559B,,,,,,,,55.60M,,,,55.60M,,1.559B,,1.559B,,0.08,0.00,,0.08,0.08,,0.08,0.00,,0.08,0.08,,723.20M,723.20M,,,,
1984-08,1.386B,1.386B,,,,,,,,,,1.386B,,,,,,,,54.10M,,,,54.10M,,1.386B,,1.386B,,0.075,0.00,,0.075,0.075,,0.075,0.00,,0.075,0.075,,724.22M,724.22M,,,,
1984-05,1.361B,1.361B,,,,,,,,,,-3.787B,,,,,,,,40.50M,,,,40.50M,,-3.787B,,-3.787B,,,,,,,,,,,,,,724.22M,724.22M,,,,
1984-02,1.342B,1.342B,,,,,,,,,,1.342B,,,,,,,,38.70M,,,,38.70M,,1.342B,,1.342B,,0.055,0.00,,0.055,0.055,,0.055,0.00,,0.055,0.055,,732.83M,732.83M,,,,
