,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2013-06,604.00M,604.00M,5.606B,6.21B,1.376B,1.376B,589.00M,,863.00M,,576.00M,9.635B,,,2.142B,,13.55B,,13.55B,,859.00M,859.00M,,2.172B,16.58B,26.22B,,1.507B,1.507B,2.17B,3.677B,1.298B,1.298B,29.00M,1.327B,5.665B,5.665B,,10.67B,7.987B,367.00M,8.354B,,,,,6.702B,8.707B,23.76B,34.43B,,341.00M,-9.584B,4.484B,367.00M,,-3.09B,-8.216B,,AOR,Restated
2013-03,606.00M,606.00M,3.638B,4.244B,1.243B,1.243B,595.00M,,853.00M,,524.00M,7.525B,,,2.156B,,13.30B,,13.30B,,863.00M,863.00M,,2.159B,16.33B,23.85B,,1.44B,1.44B,2.084B,3.524B,1.256B,1.256B,30.00M,1.286B,5.18B,5.18B,,9.99B,6.646B,375.00M,7.021B,,,,,6.73B,8.487B,22.24B,32.23B,,341.00M,-9.803B,4.483B,367.00M,,-3.03B,-8.376B,,AOR,Restated
2012-12,480.00M,480.00M,3.412B,3.892B,1.124B,1.124B,580.00M,626.00M,850.00M,,,7.072B,,710.00M,5.302B,,24.23B,-10.83B,13.40B,0.00,869.00M,869.00M,,2.167B,16.44B,23.51B,,975.00M,975.00M,2.093B,3.068B,,1.419B,,1.419B,2.813B,2.813B,1.711B,9.011B,7.116B,,7.116B,,223.00M,223.00M,,6.78B,8.367B,22.49B,31.50B,,127.00M,-9.462B,4.695B,367.00M,,-2.98B,-7.987B,,AOR,Restated
2012-09,508.00M,508.00M,3.718B,4.226B,,1.16B,596.00M,,847.00M,,376.00M,7.303B,2.066B,,11.26B,496.00M,13.82B,-198.00M,13.62B,,875.00M,875.00M,,2.129B,16.62B,23.93B,,1.283B,1.283B,2.029B,3.312B,1.508B,1.508B,36.00M,1.544B,,,4.73B,9.586B,6.097B,392.00M,6.489B,,,1.658B,,76.00M,13.49B,21.72B,31.30B,,341.00M,-9.725B,4.477B,367.00M,,-2.101B,-7.375B,,AOR,Restated
2012-06,371.00M,371.00M,4.609B,4.98B,,1.129B,593.00M,,772.00M,,486.00M,7.984B,2.076B,,11.40B,510.00M,13.98B,-197.00M,13.78B,,881.00M,881.00M,,2.077B,16.74B,24.73B,,1.362B,1.362B,1.899B,3.261B,1.598B,1.598B,56.00M,1.654B,,,5.151B,10.07B,6.323B,393.00M,6.716B,,,1.687B,,77.00M,15.15B,23.63B,33.69B,,341.00M,-9.487B,4.475B,367.00M,,-3.93B,-8.968B,,AOR,Restated
2012-03,375.00M,375.00M,4.444B,4.819B,,1.056B,619.00M,,771.00M,,389.00M,7.778B,2.114B,,11.48B,322.00M,13.92B,,13.92B,,887.00M,887.00M,,1.928B,16.73B,24.51B,,1.336B,1.336B,1.70B,3.036B,6.441B,6.441B,66.00M,6.507B,,,,9.543B,6.575B,316.00M,6.891B,,,1.685B,,77.00M,15.00B,23.65B,33.20B,,341.00M,-9.246B,4.47B,367.00M,,-3.884B,-8.686B,,AOR,Restated
2011-12,283.00M,283.00M,3.718B,4.001B,902.00M,902.00M,617.00M,,738.00M,,402.00M,6.757B,,,5.331B,,24.85B,-10.55B,14.31B,,894.00M,894.00M,,1.891B,17.09B,23.85B,,1.007B,1.007B,1.882B,2.889B,1.518B,1.518B,0.00,1.518B,4.223B,4.223B,,8.63B,6.702B,0.00,6.702B,,110.00M,110.00M,,9.204B,6.313B,22.33B,30.96B,,341.00M,-7.586B,4.465B,367.00M,,-3.964B,-7.111B,,AOR,Restated
2011-09,304.00M,304.00M,3.992B,4.296B,,925.00M,631.00M,,474.00M,,512.00M,6.838B,2.117B,,12.62B,400.00M,15.14B,,15.14B,,204.00M,204.00M,,2.535B,17.88B,24.72B,,1.15B,1.15B,1.928B,3.078B,1.374B,1.374B,79.00M,1.453B,,,4.392B,8.923B,9.552B,615.00M,10.17B,,,2.587B,,7.875B,,20.63B,29.55B,,341.00M,-6.491B,4.467B,367.00M,,-2.783B,-4.833B,,AOR,Restated
2011-06,318.00M,318.00M,4.858B,5.176B,,945.00M,641.00M,,457.00M,,778.00M,7.997B,2.13B,,12.62B,403.00M,15.16B,,15.16B,,211.00M,211.00M,,2.424B,17.79B,25.79B,,1.291B,1.291B,2.011B,3.302B,1.741B,1.741B,89.00M,1.83B,,,4.634B,9.766B,9.428B,624.00M,10.05B,,,2.509B,,7.969B,,20.53B,30.30B,,341.00M,-6.329B,4.459B,367.00M,,-2.613B,-4.509B,,AOR,Restated
2011-03,286.00M,286.00M,5.513B,5.799B,,922.00M,595.00M,,455.00M,,1.054B,8.825B,,2.142B,12.62B,359.00M,15.12B,,15.12B,,217.00M,217.00M,,2.955B,18.29B,27.11B,,1.267B,1.267B,2.334B,3.601B,6.152B,6.152B,100.00M,6.252B,,,,9.853B,9.568B,588.00M,10.16B,,,3.127B,,7.926B,,21.21B,31.06B,,339.00M,-6.043B,4.455B,367.00M,,-2.333B,-3.949B,,AOR,Restated
2010-12,168.00M,168.00M,4.328B,4.496B,,738.00M,594.00M,,450.00M,,560.00M,6.838B,5.173B,,21.54B,,26.72B,-11.64B,15.08B,,932.00M,932.00M,,2.236B,18.25B,25.09B,,1.156B,1.156B,2.085B,3.241B,1.776B,1.776B,107.00M,1.883B,,,3.656B,8.78B,8.756B,497.00M,9.253B,,270.00M,270.00M,,7.877B,2.853B,20.25B,29.03B,,339.00M,-5.607B,4.445B,367.00M,,-2.755B,-3.945B,,AOR,Restated
2010-09,202.00M,202.00M,4.355B,4.557B,,889.00M,575.00M,,447.00M,,369.00M,6.837B,,2.222B,12.82B,255.00M,15.30B,,15.30B,,967.00M,967.00M,,2.257B,18.52B,25.36B,,1.22B,1.22B,2.042B,3.262B,1.669B,1.669B,107.00M,1.776B,,,3.901B,8.939B,9.01B,503.00M,9.513B,,,3.139B,,7.409B,,20.06B,29.00B,,339.00M,-5.509B,4.434B,367.00M,,-2.54B,-3.643B,,AOR,Restated
2010-06,197.00M,197.00M,4.887B,5.084B,,910.00M,569.00M,,461.00M,,320.00M,7.344B,,,,,15.27B,,15.27B,,,239.00M,,3.035B,18.54B,25.88B,,1.305B,1.305B,2.003B,3.308B,1.727B,1.727B,102.00M,1.829B,,,4.222B,9.359B,9.142B,526.00M,9.668B,,,3.19B,,7.598B,,20.46B,29.82B,,339.00M,-5.652B,4.424B,367.00M,,-2.674B,-3.93B,,AOR,Restated
2010-03,189.00M,189.00M,4.357B,4.546B,,842.00M,552.00M,,460.00M,,434.00M,6.834B,,2.252B,12.86B,286.00M,15.39B,,15.39B,,,246.00M,,3.052B,18.69B,25.52B,,1.14B,1.14B,2.01B,3.15B,4.961B,4.961B,85.00M,5.046B,,,45.00M,8.241B,9.861B,559.00M,10.42B,,,,,7.531B,3.225B,21.18B,29.42B,,339.00M,-5.641B,4.412B,367.00M,,-2.635B,-3.892B,,AOR,Restated
2009-12,153.00M,153.00M,4.246B,4.399B,,768.00M,557.00M,,460.00M,,458.00M,6.642B,5.158B,,21.15B,,26.31B,-10.83B,15.48B,,988.00M,988.00M,,2.332B,18.80B,25.44B,,1.064B,1.064B,2.039B,3.103B,1.024B,1.024B,90.00M,1.114B,,,3.511B,7.728B,9.984B,599.00M,10.58B,,272.00M,272.00M,,7.397B,2.947B,21.20B,28.93B,,339.00M,-5.136B,4.399B,367.00M,,-2.724B,-3.489B,,AOR,Restated
