,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,RentandLandingExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2005-06,5.309B,5.309B,,,,,1.671B,286.00M,,23.00M,,,,3.123B,5.08B,229.00M,,,,23.00M,,58.00M,0.00,58.00M,,,,,58.00M,35.00M,515.00M,-286.00M,229.00M,,0.9371,0.00,,,0.5655,0.9371,,0.8032,0.00,,,0.4847,0.8032,,61.89M,72.21M,,,AOR,Restated
2005-03,4.75B,4.75B,2.97B,1.78B,-271.00M,2.363B,2.092B,290.00M,-448.00M,14.00M,,,,2.793B,5.175B,-3.395B,,,,14.00M,,-162.00M,0.00,-162.00M,,,,,-162.00M,-176.00M,-3.105B,-290.00M,-3.395B,,-2.677,0.00,,,-2.909,-2.677,,-2.677,0.00,,,-2.909,-2.677,,60.51M,60.51M,,,AOR,Restated
2004-12,4.541B,4.541B,,,,,3.476B,,,161.00M,,,,2.876B,6.681B,-13.60B,,,,161.00M,,-387.00M,0.00,-387.00M,,,,,-387.00M,-548.00M,-13.27B,329.00M,-13.60B,,-6.452,0.00,,,-9.136,-6.452,,-6.452,0.00,,,-9.136,-6.452,,60.00M,60.00M,,,AOR,
2004-09,4.762B,4.762B,,,,,1.696B,,,13.00M,,,,2.776B,4.789B,-27.00M,,,,13.00M,,-214.00M,0.00,-214.00M,,,,,-214.00M,-227.00M,290.00M,317.00M,-27.00M,,-3.561,0.00,,,-3.777,-3.561,,-3.561,0.00,,,-3.777,-3.561,,60.10M,60.10M,,,AOR,Restated
2004-06,4.83B,4.83B,2.809B,2.021B,-287.00M,2.444B,2.157B,320.00M,-454.00M,44.00M,,,,2.642B,5.119B,-3.098B,,,,44.00M,,6.00M,0.00,6.00M,,,,,6.00M,-38.00M,-2.778B,320.00M,-3.098B,,0.1071,0.00,,,-0.6783,0.1071,,0.0803,0.00,,,-0.5087,0.0803,,56.02M,74.70M,,,AOR,Restated
2004-03,4.512B,4.512B,,,,,1.64B,,,-10.00M,,,,2.504B,4.47B,42.00M,,,,-10.00M,,-166.00M,0.00,-166.00M,,,,,-166.00M,-156.00M,368.00M,326.00M,42.00M,,-2.758,0.00,,,-2.592,-2.758,,-2.758,0.00,,,-2.592,-2.758,,60.20M,60.20M,,,AOR,Restated
2003-12,4.391B,4.391B,2.504B,1.887B,-267.00M,2.308B,2.041B,350.00M,-437.00M,-185.00M,,,,2.334B,4.725B,-2.838B,,,,-185.00M,,-191.00M,-80.00M,-111.00M,,,,,-111.00M,0.00,-434.00M,2.404B,-2.838B,,-1.821,0.00,,,0.0405,-1.821,,-1.862,,,,-0.0012,-1.862,,59.64M,59.64M,,,AOR,
2003-09,4.605B,4.605B,2.612B,1.993B,-281.00M,2.441B,2.16B,345.00M,-467.00M,38.00M,,,,2.426B,4.931B,-2.938B,,,,38.00M,,1.00M,0.00,1.00M,,,,,1.00M,-37.00M,-2.593B,345.00M,-2.938B,,0.0168,,,,-0.6302,0.0168,,0.0168,,,,-0.6302,0.0168,,58.73M,58.73M,,,AOR,Restated
2003-06,4.324B,4.324B,,,,,1.869B,,,20.00M,,,,2.024B,4.237B,87.00M,,,,20.00M,,-75.00M,0.00,-75.00M,,,,,-75.00M,-95.00M,431.00M,344.00M,87.00M,,-1.258,0.00,,,-1.594,-1.258,,-1.258,0.00,,,-1.594,-1.258,,59.60M,59.60M,,,AOR,Restated
2003-03,4.12B,4.12B,,,,,2.098B,,,5.00M,,,,2.553B,4.989B,-869.00M,,,,5.00M,,-1.043B,0.00,-1.043B,,,,,-1.043B,-1.048B,-531.00M,338.00M,-869.00M,,-17.88,0.00,,,-17.97,-17.88,,-17.88,0.00,,,-17.97,-17.88,,58.32M,58.32M,,,AOR,Restated
2002-12,4.311B,4.311B,2.318B,1.993B,-740.00M,4.025B,3.285B,347.00M,-480.00M,-68.00M,,,,1.839B,5.471B,-3.478B,,,,-68.00M,,-828.00M,-299.00M,-529.00M,,,,,-529.00M,-485.56M,-3.131B,-347.00M,-3.478B,,-9.076,0.00,,,-8.330,-9.076,,-9.076,,,,-8.331,-9.076,,58.19M,58.30M,,,AOR,Restated
2002-09,4.494B,4.494B,3.062B,1.432B,-107.00M,2.858B,2.751B,340.00M,-523.00M,-683.00M,,,,2.539B,5.63B,-4.198B,,,,-683.00M,,-1.449B,-525.00M,-924.00M,,0.00,,,-924.00M,-488.46M,-3.858B,-340.00M,-4.198B,,-15.88,0.00,0.00,,-8.393,-15.88,,-15.88,0.00,0.00,,-8.393,-15.88,,58.20M,58.20M,,,AOR,
2002-06,4.508B,4.508B,2.854B,1.654B,-311.00M,3.268B,2.957B,338.00M,-520.00M,5.00M,,,,873.00M,4.168B,-2.514B,,,,5.00M,,-720.00M,-225.00M,-495.00M,,,,,-495.00M,-498.44M,-2.176B,-338.00M,-2.514B,,-8.541,0.00,,,-8.600,-8.541,,-8.541,0.00,,,-8.600,-8.541,,57.89M,57.89M,,,AOR,
2002-03,4.163B,4.163B,2.666B,1.497B,-320.00M,3.235B,2.915B,341.00M,-515.00M,-8.00M,,,,843.00M,4.099B,-2.602B,,,,-8.00M,,-863.00M,-288.00M,-575.00M,,-988.00M,,,-1.563B,-569.67M,-2.261B,-341.00M,-2.602B,,-9.933,-17.08,-0.0000,,-9.841,-27.01,,-9.933,-17.08,-17.07,,-9.841,-27.01,,57.89M,57.89M,,,AOR,
2001-12,3.81B,3.804B,2.131B,1.673B,-849.00M,2.707B,1.858B,371.00M,-522.00M,-89.00M,,,,3.143B,5.372B,-3.699B,,,,-89.00M,,-1.27B,-472.00M,-798.00M,0.00,0.00,,,-798.00M,-742.08M,-1.262B,2.437B,-3.699B,,-13.84,0.00,0.00,,-12.87,-13.84,,-13.84,0.00,0.00,,-12.87,-13.84,,57.75M,57.75M,,,AOR,Restated
2001-09,4.816B,4.816B,3.396B,1.42B,-207.00M,3.10B,2.893B,368.00M,-553.00M,205.00M,,,,2.843B,6.104B,-4.684B,,,,205.00M,,-636.00M,-222.00M,-414.00M,0.00,0.00,,,-414.00M,-547.44M,-4.316B,-368.00M,-4.684B,,-7.175,0.00,0.00,,-9.495,-7.175,,-7.175,0.00,0.00,,-9.495,-7.175,,57.52M,57.52M,,,AOR,
2001-06,5.583B,5.583B,3.466B,2.117B,-260.00M,3.192B,2.932B,352.00M,-546.00M,-648.00M,,,,1.234B,4.518B,-2.401B,,,,-648.00M,,-793.00M,-286.00M,-507.00M,,,,,-507.00M,-92.70M,-2.049B,-352.00M,-2.401B,,-8.809,0.00,,,-1.606,-8.809,,-8.809,0.00,,,-1.606,-8.809,,57.52M,57.52M,,,AOR,
2001-03,4.76B,4.76B,2.886B,1.874B,-224.00M,2.599B,2.375B,313.00M,-405.00M,-15.00M,,,,1.089B,3.777B,-1.903B,,,,-15.00M,,-57.00M,-14.00M,-43.00M,,,,,-43.00M,-31.68M,-1.59B,-313.00M,-1.903B,,-0.7497,0.00,,,-0.5529,-0.7497,,-0.7497,0.00,,,-0.5529,-0.7497,,57.52M,57.52M,,,AOR,
2000-12,4.859B,4.859B,2.862B,1.997B,-241.00M,2.661B,2.42B,313.00M,-408.00M,181.00M,,,,6.241B,8.974B,-6.977B,,,,181.00M,,83.00M,36.00M,47.00M,-43.00M,,,,47.00M,-9.60M,-4.886B,2.091B,-6.977B,,0.8300,0.00,,0.0008,-1.084,0.8032,,0.6961,0.00,,0.0008,-1.082,0.6961,,56.73M,61.08M,,,AOR,Restated
2000-09,5.256B,5.256B,2.791B,2.465B,-266.00M,2.654B,2.388B,307.00M,-401.00M,-6.00M,,,,1.063B,3.758B,-1.293B,,,,-6.00M,,525.00M,203.00M,322.00M,,,,,313.00M,325.68M,-986.00M,-307.00M,-1.293B,,5.730,-0.1606,,-0.1606,5.795,5.569,,5.248,-0.1606,,-0.1606,5.308,5.114,,56.02M,61.25M,,,AOR,
2000-06,5.011B,5.011B,2.66B,2.351B,-273.00M,2.627B,2.354B,294.00M,-407.00M,86.00M,,,,2.253B,4.901B,-2.55B,,,,86.00M,,679.00M,201.00M,321.00M,0.00,,,,321.00M,260.46M,-2.256B,-294.00M,-2.55B,,5.756,0.00,,,4.676,5.756,,5.248,0.00,,,4.259,5.248,,56.02M,61.25M,,,AOR,
2000-03,4.577B,4.577B,2.593B,1.984B,-257.00M,2.521B,2.264B,288.00M,-390.00M,-6.00M,,,,989.00M,3.541B,-1.557B,,,,-6.00M,,157.00M,68.00M,89.00M,43.00M,,,,132.00M,92.60M,-1.269B,-288.00M,-1.557B,,1.606,0.7764,,,1.671,2.383,,1.526,0.7764,,,1.589,2.303,,55.65M,57.52M,,,AOR,
1999-12,4.487B,4.487B,2.472B,2.015B,-262.00M,2.454B,2.192B,295.00M,-371.00M,133.00M,,,,5.264B,7.751B,-5.736B,,,,133.00M,,249.00M,39.00M,210.00M,70.00M,,,,280.00M,97.83M,-3.847B,1.889B,-5.736B,,3.748,1.285,,,1.718,5.033,,3.641,1.232,,,1.671,4.873,,55.24M,56.92M,,,AOR,Restated
1999-09,4.695B,4.695B,2.555B,2.14B,-314.00M,2.57B,2.256B,276.00M,-409.00M,-9.00M,,,,1.018B,3.55B,-1.41B,,,,-9.00M,,357.00M,144.00M,213.00M,66.00M,,,,279.00M,218.40M,-1.134B,-276.00M,-1.41B,,3.802,1.178,,,3.898,4.980,,3.695,1.017,,,3.788,4.712,,56.02M,57.89M,,,,
1999-06,4.541B,4.541B,2.403B,2.138B,-298.00M,2.56B,2.262B,268.00M,-403.00M,-6.00M,,,,960.00M,3.49B,-1.352B,,,,-6.00M,,360.00M,144.00M,216.00M,52.00M,,,,268.00M,219.60M,-1.084B,-268.00M,-1.352B,,3.775,0.9371,,,3.838,4.712,,3.641,0.9103,,,3.702,4.552,,57.15M,59.01M,,,,
1999-03,4.007B,4.007B,2.342B,1.665B,-288.00M,2.432B,2.144B,253.00M,-389.00M,30.00M,,,,958.00M,3.355B,-1.69B,,,,30.00M,,40.00M,23.00M,17.00M,141.00M,,,,158.00M,-1.00M,-1.437B,-253.00M,-1.69B,,0.2945,2.356,,,-0.0086,2.651,,0.2945,2.276,,,0.0007,2.570,,59.39M,61.25M,,,,
1998-12,2.912B,2.912B,1.90B,1.012B,-292.00M,1.874B,1.582B,74.00M,-314.00M,106.00M,,,,4.603B,6.259B,-5.247B,,,,106.00M,,-25.00M,-15.00M,-10.00M,-8.00M,,,,182.00M,126.40M,-3.241B,2.006B,-5.247B,,0.0803,3.025,,,-0.9671,3.106,,0.0803,2.918,,,-0.9336,3.025,,60.72M,62.72M,,,AOR,Restated
1998-09,5.046B,5.046B,2.416B,2.63B,-311.00M,2.627B,2.316B,328.00M,-373.00M,16.00M,,,,1.019B,3.663B,-1.033B,,,,16.00M,,708.00M,277.00M,431.00M,2.00M,,12.00M,,433.00M,421.26M,-705.00M,-328.00M,-1.033B,,6.854,0.0268,,,6.700,6.881,,6.640,0.0268,,,6.490,6.667,,63.12M,64.99M,,,,
1998-06,4.924B,4.924B,2.297B,2.627B,-322.00M,2.637B,2.315B,320.00M,-366.00M,-5.00M,,,,938.00M,3.573B,-946.00M,,,,-5.00M,,673.00M,265.00M,408.00M,1.00M,,12.00M,,409.00M,411.03M,-626.00M,-320.00M,-946.00M,,6.345,0.0268,,,6.393,6.372,,6.131,0.0268,,,6.177,6.158,,64.24M,66.48M,,,,
1998-03,4.634B,4.634B,2.263B,2.371B,-301.00M,2.516B,2.215B,318.00M,-355.00M,-13.00M,,,,908.00M,3.441B,-1.07B,,,,-13.00M,,477.00M,192.00M,285.00M,5.00M,,13.00M,,290.00M,292.80M,-752.00M,-318.00M,-1.07B,,4.418,0.0803,,,4.538,4.498,,4.257,0.0803,,,4.374,4.337,,64.62M,66.86M,,,,
1997-12,3.314B,3.314B,2.119B,1.195B,-303.00M,1.965B,1.662B,121.00M,-328.00M,43.00M,,,,768.00M,2.551B,-1.356B,,,,43.00M,,52.00M,8.00M,44.00M,164.00M,,,,208.00M,7.615M,-1.235B,-121.00M,-1.356B,,0.7764,2.463,,,0.2101,3.240,,0.7229,2.410,,,0.1817,3.133,,64.24M,67.23M,,,AOR,
1997-09,4.706B,4.706B,2.306B,2.40B,-332.00M,2.551B,2.219B,306.00M,-366.00M,,,,,884.00M,3.409B,-1.009B,,,,,,541.00M,219.00M,322.00M,1.00M,,10.00M,,323.00M,322.00M,-703.00M,-297.00M,-1.009B,,4.900,0.00,,,4.900,4.900,,4.766,0.00,,,4.766,4.766,,65.74M,67.60M,,,,
1997-06,4.712B,4.712B,2.297B,2.415B,-329.00M,2.584B,2.255B,310.00M,-370.00M,-8.00M,,,,867.00M,3.432B,-1.017B,,,,-8.00M,,504.00M,202.00M,302.00M,,,10.00M,,302.00M,306.80M,-707.00M,-310.00M,-1.017B,,4.444,0.00,,,4.515,4.444,,4.364,0.00,,,4.434,4.364,,67.98M,69.10M,,,,
1997-03,4.426B,4.426B,2.273B,2.153B,-314.00M,2.53B,2.216B,312.00M,-362.00M,-4.00M,,,,834.00M,3.362B,-1.209B,,,,-4.00M,,257.00M,105.00M,152.00M,,,12.00M,,152.00M,154.40M,-897.00M,-312.00M,-1.209B,,2.222,0.00,,,2.257,2.222,,2.222,0.00,,,2.257,2.222,,68.72M,68.72M,,,,
1996-12,3.944B,3.944B,2.225B,1.719B,-293.00M,2.194B,1.901B,286.00M,-350.00M,239.00M,,,,823.00M,3.01B,-1.291B,,,,239.00M,,387.00M,36.00M,351.00M,,,,,284.00M,134.23M,-1.005B,-286.00M,-1.291B,,5.408,0.3213,,,2.034,4.364,,5.060,0.3213,,,1.906,4.096,,64.24M,68.72M,,,AOR,
1996-09,4.562B,4.562B,2.26B,2.302B,-323.00M,2.485B,2.162B,302.00M,-375.00M,-23.00M,,,,838.00M,3.302B,-1.00B,,,,-23.00M,,464.00M,182.00M,282.00M,,,,,282.00M,295.98M,-698.00M,-302.00M,-1.00B,,4.096,0.00,,,4.300,4.096,,4.096,0.00,,,4.300,4.096,,68.72M,68.72M,,,,
1996-06,4.55B,4.55B,2.234B,2.316B,-321.00M,2.524B,2.203B,297.00M,-385.00M,1.00M,,,,824.00M,3.324B,-1.008B,,,,1.00M,,480.00M,187.00M,293.00M,,,,,293.00M,292.39M,-711.00M,-297.00M,-1.008B,,4.498,0.00,,,4.489,4.498,,4.284,0.00,,,4.275,4.284,,64.99M,68.72M,,,,
1996-03,4.308B,4.308B,2.185B,2.123B,-315.00M,2.497B,2.182B,300.00M,-380.00M,-6.00M,,,,816.00M,3.298B,-1.175B,,,,-6.00M,,265.00M,108.00M,157.00M,,,,,157.00M,160.60M,-875.00M,-300.00M,-1.175B,,2.704,0.00,,,2.766,2.704,,2.463,0.00,,,2.516,2.463,,58.27M,68.72M,,,,
1995-12,4.188B,4.188B,2.21B,1.978B,-312.00M,2.453B,2.141B,312.00M,-384.00M,-564.00M,,,,4.662B,7.115B,-5.137B,,,,-564.00M,,-421.00M,-152.00M,-269.00M,,,,1.00M,-281.00M,120.37M,-2.931B,2.206B,-5.137B,,-9.516,,,-0.4229,3.053,-9.939,,-9.516,-0.6693,,-0.7157,-4.215,-9.939,,28.67M,67.98M,,,AOR,
1995-09,4.445B,4.445B,2.201B,2.244B,-340.00M,2.541B,2.201B,314.00M,-396.00M,12.00M,,,,823.00M,3.338B,-1.094B,,,,12.00M,,385.00M,150.00M,235.00M,,,,2.00M,231.00M,227.68M,-780.00M,-314.00M,-1.094B,,4.043,-0.0803,,-0.0695,3.915,3.963,,3.588,-0.0803,,-0.0695,3.480,3.534,,57.52M,67.98M,,,,
1995-06,4.307B,4.307B,2.107B,2.20B,-321.00M,2.491B,2.17B,318.00M,-385.00M,-2.00M,,,,782.00M,3.27B,-1.07B,,,,-2.00M,,321.00M,129.00M,192.00M,,,,1.00M,179.00M,193.20M,-752.00M,-318.00M,-1.07B,,3.320,-0.2410,,-0.2260,3.341,3.079,,2.999,-0.2410,,-0.2260,3.016,2.784,,57.52M,67.98M,,,,
1995-03,3.97B,3.97B,2.062B,1.908B,-320.00M,2.429B,2.109B,315.00M,-384.00M,-15.00M,,,,764.00M,3.188B,-1.28B,,,,-15.00M,,73.00M,35.00M,38.00M,,,,1.00M,38.00M,47.00M,-965.00M,-315.00M,-1.28B,,0.6426,0.00,,,0.7990,0.6426,,0.6426,0.00,,,0.7990,0.6426,,57.52M,57.52M,,,,
1994-12,3.995B,3.995B,2.092B,1.903B,-324.00M,2.458B,2.134B,315.00M,-391.00M,-302.00M,,,,764.00M,3.213B,-1.31B,,,,-302.00M,,-216.00M,-93.00M,-123.00M,,,,6.00M,-123.00M,58.20M,-995.00M,-315.00M,-1.31B,,-2.276,0.00,,,0.8827,-2.276,,-2.276,0.00,,,0.8827,-2.276,,57.37M,57.37M,,,AOR,
1994-09,4.233B,4.233B,2.097B,2.136B,-346.00M,2.471B,2.125B,298.00M,-388.00M,-15.00M,,,,751.00M,3.174B,-1.038B,,,,-15.00M,,336.00M,131.00M,205.00M,,,,17.00M,205.00M,214.15M,-740.00M,-298.00M,-1.038B,,3.320,0.00,,,3.481,3.320,,3.052,0.00,,,3.188,3.052,,56.77M,67.23M,,,,
1994-06,4.101B,4.101B,2.023B,2.078B,-339.00M,2.452B,2.113B,320.00M,-378.00M,-10.00M,,,,730.00M,3.163B,-1.085B,,,,-10.00M,,248.00M,95.00M,153.00M,,,,17.00M,153.00M,159.17M,-765.00M,-320.00M,-1.085B,,2.383,0.00,,,2.492,2.383,,2.249,0.00,,,2.341,2.249,,56.77M,67.23M,,,,
1994-03,3.808B,3.808B,2.025B,1.783B,-326.00M,2.41B,2.084B,320.00M,-390.00M,-18.00M,,,,707.00M,3.111B,-1.328B,,,,-18.00M,,2.00M,9.00M,-7.00M,,,,16.00M,-7.00M,3.80M,-1.008B,-320.00M,-1.328B,,-0.4016,0.00,,,-0.2114,-0.4016,,-0.4016,0.00,,,-0.2114,-0.4016,,56.77M,56.77M,,,,
1993-12,3.591B,3.591B,2.15B,1.441B,,,1.269B,334.00M,,-64.00M,,,,,1.603B,-162.00M,,,,-64.00M,,-387.00M,-141.00M,-246.00M,,,,28.00M,-253.00M,-205.32M,172.00M,-334.00M,-162.00M,,-4.605,-0.0535,,-0.1423,-3.886,-4.659,,-4.605,-0.0535,,-0.1423,-3.886,-4.659,,56.60M,56.60M,,,,
1993-09,4.199B,4.199B,2.197B,2.002B,,,1.337B,293.00M,,15.00M,,,,,1.63B,372.00M,,,,15.00M,,223.00M,98.00M,125.00M,,,,5.00M,118.00M,116.00M,665.00M,-293.00M,372.00M,,1.928,-0.1874,,-0.1078,1.789,1.740,,1.794,-0.1874,,-0.1078,1.659,1.687,,64.93M,66.99M,,,,
1993-06,3.828B,3.828B,2.235B,1.593B,,,1.309B,304.00M,,267.00M,,,,,1.613B,-20.00M,,,,267.00M,,79.00M,32.00M,47.00M,,,,17.00M,47.00M,-113.20M,284.00M,-304.00M,-20.00M,,0.5355,0.00,,,-2.324,0.5355,,0.5355,0.00,,,-2.324,0.5355,,56.02M,56.02M,,,,
1993-03,3.444B,3.444B,2.122B,1.322B,,,1.284B,292.00M,,401.00M,,,,,1.576B,-254.00M,,,,401.00M,,-28.00M,-6.00M,-22.00M,,,,10.00M,-22.00M,-337.07M,38.00M,-292.00M,-254.00M,,-0.5890,0.00,,,-6.389,-0.5890,,-0.5890,0.00,,,-6.389,-0.5890,,54.33M,54.33M,,,,
1992-12,3.577B,3.577B,559.00M,3.018B,,,2.956B,275.00M,,12.00M,,,,,3.231B,-213.00M,,,,12.00M,,-371.00M,-127.00M,-244.00M,,,,,-704.00M,-251.89M,62.00M,-275.00M,-213.00M,,-4.311,-8.273,,,-4.447,-12.58,,-4.311,-8.273,,,-4.447,-12.58,,57.93M,57.93M,,,,
1992-09,3.725B,3.725B,2.726B,999.00M,,,740.00M,263.00M,,51.00M,,,,,1.003B,-4.00M,,,,51.00M,,-122.00M,-37.00M,-85.00M,,,,,-85.00M,-120.53M,259.00M,-263.00M,-4.00M,,-1.553,0.00,,,-2.202,-1.553,,-1.553,0.00,,,-2.202,-1.553,,54.74M,54.74M,,,,
1992-06,3.587B,3.587B,2.57B,1.017B,,,703.00M,259.00M,,-138.00M,,,,,962.00M,55.00M,,,,-138.00M,,-243.00M,-77.00M,-166.00M,,,,,-166.00M,-71.73M,314.00M,-259.00M,55.00M,,-2.999,0.00,,,-1.296,-2.999,,-2.999,0.00,,,-1.296,-2.999,,55.36M,55.36M,,,,
1992-03,3.507B,3.507B,2.421B,1.086B,,,705.00M,244.00M,,54.00M,,,,,949.00M,137.00M,,,,54.00M,,39.00M,19.00M,20.00M,,,,,20.00M,-12.40M,381.00M,-244.00M,137.00M,,0.3481,0.00,,,-0.2158,0.3481,,0.3481,0.00,,,-0.2158,0.3481,,57.46M,57.46M,,,,
1991-12,3.404B,3.404B,1.023B,2.382B,,,2.178B,244.90M,,-3.40M,,,,,2.423B,-41.40M,,,,-3.40M,,-186.40M,-61.40M,-125.00M,,,,,-125.00M,-122.72M,203.50M,-244.90M,-41.40M,,-2.517,0.00,,,-2.470,-2.517,,-2.517,0.00,,,-2.470,-2.517,,48.72M,48.72M,,,,
1991-09,3.519B,3.519B,2.210B,1.308B,,,896.50M,224.80M,,62.70M,,,,,1.121B,187.20M,,,,62.70M,,116.40M,46.10M,70.30M,,,,,70.30M,32.43M,412.00M,-224.80M,187.20M,,1.365,0.00,,,0.6299,1.365,,1.312,0.00,,,0.6052,1.312,,51.48M,53.59M,,,,
1991-06,3.194B,3.194B,2.057B,1.138B,,,826.00M,211.80M,,45.30M,,,,,1.038B,100.10M,,,,45.30M,,20.20M,9.90M,10.30M,,,,,10.30M,-16.88M,311.90M,-211.80M,100.10M,,0.2410,0.00,,,-0.3949,0.2410,,0.2410,0.00,,,-0.3949,0.2410,,42.74M,42.74M,,,,
1991-03,2.770B,2.770B,2.020B,749.90M,,,789.30M,201.50M,,58.40M,,,,,990.80M,-240.90M,,,,58.40M,,-290.20M,-94.60M,-195.60M,,,,,-195.60M,-234.96M,-39.40M,-201.50M,-240.90M,,-3.963,0.00,,,-4.760,-3.963,,-3.963,0.00,,,-4.760,-3.963,,49.36M,49.36M,,,,
1990-12,3.002B,3.002B,2.256B,746.60M,,,792.20M,199.50M,,24.10M,,,,,991.70M,-245.10M,,,,24.10M,,-319.60M,-104.50M,-215.10M,,,,,-215.10M,-231.32M,-45.60M,-199.50M,-245.10M,,-4.605,0.00,,,-4.921,-4.605,,-4.605,0.00,,,-4.921,-4.605,,51.38M,51.38M,,,,
1990-09,3.055B,3.055B,1.941B,1.114B,,,784.10M,186.10M,,51.70M,,,,,970.20M,143.60M,,,,51.70M,,106.90M,41.30M,65.60M,,,,,65.60M,33.87M,329.70M,-186.10M,143.60M,,1.446,0.00,,,0.7466,1.446,,1.446,0.00,,,0.7466,1.446,,45.37M,45.37M,,,,
1990-06,2.974B,2.974B,1.810B,1.164B,,,757.30M,173.50M,,55.20M,,,,,930.80M,233.70M,,,,55.20M,,208.70M,79.50M,129.20M,,,,,129.20M,95.03M,407.20M,-173.50M,233.70M,,2.758,0.00,,,2.028,2.758,,2.758,0.00,,,2.028,2.758,,46.85M,46.85M,,,,
1990-03,2.688B,2.688B,1.800B,887.90M,,,732.10M,164.00M,,49.00M,,,,,896.10M,-8.20M,,,,49.00M,,-29.40M,-10.10M,-19.30M,,,,,-19.30M,-51.47M,155.80M,-164.00M,-8.20M,,-0.4284,0.00,,,-1.142,-0.4284,,-0.4284,0.00,,,-1.142,-0.4284,,45.05M,45.05M,,,,
1989-12,2.586B,2.586B,1.714B,871.70M,,,643.10M,158.60M,,56.80M,,,,,801.70M,70.00M,,,,56.80M,,66.30M,27.40M,38.90M,,,,3.00M,38.90M,4.82M,228.60M,-158.60M,70.00M,,0.7229,0.00,,,-0.0016,0.7229,,0.7229,0.00,,,-0.0016,0.7229,,47.04M,47.04M,,,,
1989-09,2.727B,2.727B,1.065B,1.663B,,,1.275B,157.00M,,41.50M,,,,,1.432B,230.80M,,,,41.50M,,214.00M,77.00M,137.00M,,,,3.00M,137.00M,110.43M,387.80M,-157.00M,230.80M,,2.865,0.00,,,2.297,2.865,,2.865,0.00,,,2.297,2.865,,46.77M,46.77M,,,,
1989-06,2.716B,2.716B,1.056B,1.660B,,,1.227B,147.00M,,53.00M,,,,,1.374B,286.50M,,,,53.00M,,279.90M,102.00M,177.90M,,,,3.00M,177.90M,144.21M,433.50M,147.00M,286.50M,,3.775,0.00,,,3.048,3.775,,3.775,0.00,,,3.048,3.775,,46.33M,46.33M,,,,
1989-03,2.451B,2.451B,,,,,,,,,,,,,,2.451B,,,,,,,,101.00M,,,,,101.00M,101.00M,2.451B,,2.451B,,2.169,0.00,,,2.169,2.169,,2.169,0.00,,,2.169,2.169,,46.57M,46.57M,,,,
1988-12,2.368B,2.368B,,,,,,,,,,,,,,-5.650B,,,,,,,,116.70M,,,,,116.70M,116.70M,-5.650B,,-5.650B,,2.570,0.00,,,2.570,2.570,,2.276,0.00,,,2.276,2.276,,41.50M,46.53M,,,,
1988-09,2.328B,2.328B,,,,,,,,,,,,,,2.328B,,,,,,,,150.30M,,,,,150.30M,150.30M,2.328B,,2.328B,,3.347,0.00,,,3.347,3.347,,3.347,0.00,,,3.347,3.347,,44.91M,44.91M,,,,
1988-06,2.163B,2.163B,,,,,,,,,,,,,,2.163B,,,,,,,,141.40M,,,,,141.40M,141.40M,2.163B,,2.163B,,3.186,0.00,,,3.186,3.186,,3.186,0.00,,,3.186,3.186,,44.38M,44.38M,,,,
1988-03,1.965B,1.965B,,,,,,,,,,,,,,1.965B,,,,,,,,68.40M,,,,,68.40M,68.40M,1.965B,,1.965B,,1.499,0.00,,,1.499,1.499,,1.499,0.00,,,1.499,1.499,,45.62M,45.62M,,,,
1987-12,1.882B,1.882B,,,,,,,,,,,,,,-4.855B,,,,,,,,-0.80M,,,,,-0.80M,-0.80M,-4.855B,,-4.855B,,-0.0803,0.00,,,-0.0803,-0.0803,,-0.0803,0.00,,,-0.0803,-0.0803,,43.54M,43.54M,,,,
1987-09,1.975B,1.975B,,,,,,,,,,,,,,1.975B,,,,,,,,87.10M,,,,,87.10M,87.10M,1.975B,,1.975B,,1.928,0.00,,,1.928,1.928,,1.928,0.00,,,1.928,1.928,,45.18M,45.18M,,,,
1987-06,1.831B,1.831B,,,,,,,,,,,,,,1.831B,,,,,,,,92.20M,,,,,92.20M,92.20M,1.831B,,1.831B,,2.035,0.00,,,2.035,2.035,,2.035,0.00,,,2.035,2.035,,45.31M,45.31M,,,,
