,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2002-09,17.11B,17.11B,5.135B,11.98B,5.204B,2.787B,,,,-2.527B,5.964B,6.014B,,,,2.974B,,5.34B,925.00M,4.415B,-10.00M,,-389.00M,,4.405B,2.111B,9.301B,3.287B,6.014B,1.62,-0.01,,,0.7766,1.61,1.61,-0.01,,,0.7718,1.6,2.732B,2.749B,0.385
2002-06,16.75B,16.75B,4.951B,11.80B,5.793B,-2.80B,,,,,9.115B,2.686B,,,,-3.352B,,-1.754B,323.00M,-2.077B,-38.00M,,-372.00M,,-2.115B,-397.00M,6.008B,3.288B,2.686B,-0.76,-0.01,,,-0.1437,-0.77,-0.76,-0.01,,,-0.1437,-0.77,2.726B,2.726B,0.385
2002-03,16.43B,16.43B,4.874B,11.56B,4.945B,-1.276B,,,,-220.00M,8.045B,3.511B,,,,-1.276B,,958.00M,963.00M,-5.00M,,-496.00M,-243.00M,,-501.00M,760.60M,6.831B,3.32B,3.511B,-0.18,0.0,0.0,,0.1016,-0.18,-0.18,0.0,-0.1824,,0.1016,-0.18,2.719B,2.719B,0.385
2001-12,16.53B,16.53B,-8.399B,24.93B,,-412.00M,,,,,24.20B,738.00M,,,,-2.155B,,-1.365B,42.00M,-1.407B,,0.00,-92.00M,,-2.037B,-1.785B,-1.092B,3.361B,-4.453B,-0.75,0.07,0.0,,-0.659,-0.76,-0.75,0.07,0.0,,-0.6596,-0.76,2.716B,2.733B,0.385
2001-09,17.00B,17.00B,9.925B,7.079B,,-44.00M,,,,,3.402B,3.677B,,,,98.00M,,2.867B,984.00M,1.883B,,,-226.00M,,1.875B,1.912B,7.079B,3.402B,3.677B,0.69,0.0,,-0.003,0.7007,0.69,0.69,0.0,,-0.003,0.7006,0.69,2.712B,2.735B,0.385
2001-06,16.91B,16.91B,9.713B,7.196B,,20.00M,,,,-5.00M,3.395B,3.801B,,,,-3.644B,,-904.00M,117.00M,-1.021B,,,-209.00M,,-1.021B,-1.033B,7.201B,3.40B,3.801B,-0.38,0.0,,,-0.3844,-0.38,-0.38,0.0,,,-0.3844,-0.38,2.707B,2.707B,0.385
2001-03,16.27B,16.27B,9.299B,6.967B,,-99.00M,,,,,3.36B,3.607B,,,,117.00M,,2.758B,1.004B,1.754B,,-182.00M,-98.00M,,1.572B,1.817B,6.967B,3.36B,3.607B,0.65,-0.07,0.0,,0.6733,0.58,0.65,-0.07,-0.0673,,0.6731,0.58,2.704B,2.725B,0.385
2000-12,16.87B,16.87B,10.28B,6.597B,,3.817B,,,,,7.011B,-414.00M,,,,33.00M,,2.554B,852.00M,1.702B,,0.00,-39.00M,2.00M,1.912B,-841.67M,2.817B,3.231B,-414.00M,0.65,0.05,0.0,0.0774,-0.2877,0.7,0.64,0.05,-0.0,0.0774,-0.2975,0.7,2.713B,2.713B,0.385
2000-09,16.53B,16.53B,9.605B,6.928B,,1.658B,,,,-1.227B,1.986B,4.942B,,,,1.929B,,4.662B,2.022B,2.64B,,,-142.00M,,3.466B,1.645B,8.161B,3.219B,4.942B,0.97,0.31,,0.305,0.6026,1.28,0.97,0.3,,0.3035,0.6045,1.27,2.708B,2.722B,0.385
2000-06,16.77B,16.77B,11.39B,5.377B,,3.522B,,,,-2.456B,768.00M,4.609B,,,,6.805B,,8.092B,3.188B,4.904B,,,-9.00M,,4.904B,2.770B,7.833B,3.22B,4.609B,1.8,0.0,,,1.015,1.8,1.79,0.0,,,1.013,1.79,2.718B,2.747B,0.3849
2000-03,14.53B,14.53B,8.21B,6.322B,,-488.00M,,,,-97.00M,2.494B,3.828B,,,,-488.00M,,2.511B,947.00M,1.564B,,-40.00M,-26.00M,8.00M,1.515B,1.868B,6.419B,2.591B,3.828B,0.56,-0.01,0.0,-0.0033,0.6715,0.55,0.56,-0.01,-0.0147,-0.0033,0.6703,0.55,2.725B,2.756B,0.385
1999-12,15.26B,15.26B,8.776B,6.489B,,-434.00M,,,,,2.607B,3.882B,,,,-434.00M,,2.764B,1.026B,1.738B,,,-8.00M,,1.738B,2.011B,6.489B,2.607B,3.882B,0.64,0.0,,-0.0,0.7397,0.64,0.62,0.0,,-0.0,0.7184,0.62,2.736B,2.774B,0.385
1999-09,14.66B,14.66B,6.551B,8.104B,,903.00M,,,,,4.31B,3.794B,,,,903.00M,,4.034B,1.496B,2.538B,,,-50.00M,,2.538B,1.970B,8.104B,2.455B,3.794B,0.92,0.0,,,0.7131,0.92,0.91,0.0,,,0.7061,0.91,2.746B,2.786B,0.385
1999-06,14.51B,14.51B,8.464B,6.049B,,127.00M,,,,,2.425B,3.624B,,,,127.00M,,3.085B,1.137B,1.948B,,,-53.00M,,1.942B,1.868B,6.985B,3.361B,3.624B,0.71,0.0,,-0.0022,0.6807,0.71,0.7,0.0,,-0.0022,0.6711,0.7,2.739B,2.775B,0.385
1999-03,7.967B,7.967B,2.367B,5.60B,2.018B,63.00M,,,,,3.522B,2.078B,,,,63.00M,,1.816B,674.00M,1.142B,,,-22.00M,,1.142B,1.102B,3.582B,1.467B,2.078B,0.74,0.0,,,0.7145,0.74,0.72,0.0,,,0.695,0.72,1.553B,1.582B,0.385
1998-12,8.077B,8.077B,2.647B,5.43B,2.054B,64.00M,,,,,3.598B,1.832B,,,,64.00M,,1.599B,538.00M,1.061B,,,,,1.059B,1.019B,7.151B,5.319B,1.832B,0.66,0.0,,-0.0013,0.6328,0.66,0.65,0.0,,-0.0013,0.6232,0.65,1.563B,1.586B,0.385
1998-09,7.91B,7.91B,2.518B,5.392B,2.792B,-416.00M,,,,,4.262B,1.13B,,,,-416.00M,,355.00M,362.00M,-7.00M,,,,,-8.00M,242.60M,2.60B,1.47B,1.13B,-0.01,0.0,,-0.0006,0.1504,-0.01,-0.01,0.0,,-0.0006,0.1478,-0.01,1.556B,1.582B,0.385
1998-06,7.928B,7.928B,2.116B,5.812B,2.414B,16.00M,,,,,3.859B,1.953B,,,,16.00M,,1.606B,579.00M,1.027B,,,,,1.021B,1.017B,3.428B,1.475B,1.953B,0.66,0.0,,-0.0039,0.6534,0.66,0.65,0.0,,-0.0039,0.6435,0.65,1.547B,1.571B,0.385
