,NetIncome,Gain/LossonSaleBusiness,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,OtherNoncashItems,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2001-09,1.883B,,,,-29.00M,3.402B,3.402B,901.00M,-211.00M,,-508.00M,-508.00M,,5.438B,-3.314B,200.00M,-3.114B,,-793.00M,328.00M,-703.00M,-4.282B,,,-1.504B,194.00M,-10.00M,184.00M,,-1.04B,-47.00M,-2.407B,2.616B,-1.251B,1.365B,194.00M,,,-10.00M
2001-06,-1.021B,,,,3.472B,3.40B,3.40B,-765.00M,261.00M,,-791.00M,-791.00M,,4.556B,-4.685B,,-4.685B,,-113.00M,433.00M,-56.00M,-4.421B,,,2.921B,165.00M,-2.00M,163.00M,,-1.039B,-253.00M,1.792B,689.00M,1.927B,2.616B,165.00M,,,-2.00M
2001-03,1.754B,,,,-212.00M,3.36B,3.36B,416.00M,-46.00M,,-2.17B,-2.17B,,3.102B,-4.478B,,-4.478B,,-2.099B,577.00M,-454.00M,-6.454B,,,4.348B,77.00M,-6.00M,71.00M,,-1.04B,-95.00M,3.284B,757.00M,-68.00M,689.00M,77.00M,,,-6.00M
2000-12,1.702B,,,,-312.00M,3.231B,3.231B,556.00M,-614.00M,,-283.00M,-781.00M,,3.782B,-5.753B,790.00M,-4.963B,,-657.00M,-1.143B,-1.163B,-7.926B,,,4.843B,161.00M,-31.00M,130.00M,,-1.032B,132.00M,4.073B,828.00M,-71.00M,757.00M,161.00M,,,-31.00M
2000-09,2.635B,,,,-2.69B,3.219B,3.219B,794.00M,1.225B,,-1.467B,-1.467B,,3.716B,-4.248B,4.105B,-143.00M,,-458.00M,922.00M,-855.00M,-534.00M,,,-1.474B,35.00M,-881.00M,-846.00M,,-1.29B,-90.00M,-3.70B,1.346B,-518.00M,828.00M,35.00M,,,-881.00M
2000-06,4.909B,,,,-6.905B,3.22B,3.22B,1.873B,-810.00M,,1.568B,1.568B,,3.855B,-4.483B,1.852B,-2.631B,,890.00M,-208.00M,-579.00M,-2.528B,,,293.00M,221.00M,-299.00M,-78.00M,,-1.046B,146.00M,-685.00M,704.00M,642.00M,1.346B,221.00M,,,-299.00M
2000-03,1.564B,,,,-273.00M,2.591B,2.591B,211.00M,199.00M,,182.00M,182.00M,,4.474B,-3.149B,47.00M,-3.102B,,-2.022B,208.00M,-151.00M,-5.067B,,,1.396B,159.00M,-1.083B,-924.00M,,-1.053B,-155.00M,-736.00M,2.033B,-1.329B,704.00M,159.00M,,,-1.083B
1999-12,1.738B,,,,199.00M,2.607B,2.607B,822.00M,383.00M,,1.026B,-539.00M,,5.21B,-3.893B,165.00M,-3.728B,,-3.698B,-982.00M,-836.00M,-9.244B,,,4.025B,160.00M,-932.00M,-772.00M,,-1.059B,55.00M,2.249B,3.818B,-1.785B,2.033B,160.00M,,,-932.00M
1999-09,2.538B,,,,-1.151B,2.455B,2.455B,343.00M,25.00M,,31.00M,31.00M,,4.241B,-3.348B,1.036B,-2.312B,,-111.00M,885.00M,-479.00M,-2.017B,,,2.086B,421.00M,-707.00M,-286.00M,,-1.056B,169.00M,913.00M,681.00M,3.137B,3.818B,421.00M,,,-707.00M
1999-06,2.878B,,,,-837.00M,3.361B,3.361B,765.00M,-393.00M,,-694.00M,-694.00M,,5.08B,-3.955B,0.00,-3.955B,,-1.41B,-245.00M,449.00M,-5.161B,,,1.183B,434.00M,-190.00M,244.00M,,-1.514B,14.00M,-73.00M,368.00M,-154.00M,681.00M,434.00M,,,-190.00M
1999-03,1.142B,,,,-11.00M,1.467B,1.467B,218.00M,33.00M,,-363.00M,-363.00M,,2.486B,-1.817B,612.00M,-1.205B,,,245.00M,-38.00M,-998.00M,,,-702.00M,151.00M,-208.00M,-57.00M,,-598.00M,,-1.357B,237.00M,131.00M,368.00M,151.00M,,,-208.00M
1998-12,3.396B,,,,1.191B,5.319B,5.319B,658.00M,-631.00M,,,,,8.374B,-7.399B,825.00M,-6.574B,,,-620.00M,430.00M,-7.548B,,,2.220B,582.20M,-217.60M,364.60M,,-2.402B,-1.476B,-1.294B,621.00M,-468.00M,704.00M,582.20M,,,-217.60M
1998-09,-7.00M,,,,462.00M,1.47B,1.47B,-137.00M,689.00M,,,,,2.477B,-1.937B,16.00M,-1.921B,,,260.00M,-181.00M,-1.842B,,,228.20M,48.80M,-129.40M,-80.60M,,-595.80M,131.20M,-317.00M,303.00M,318.00M,621.00M,48.80M,,,-129.40M
1998-06,1.027B,,,,-64.00M,1.475B,1.475B,62.30M,169.50M,,,,,2.670B,-1.825B,4.80M,-1.820B,,,317.30M,-348.20M,-1.851B,,,-396.60M,50.40M,-50.00M,0.40M,,-594.20M,69.90M,-920.50M,403.90M,-101.10M,303.00M,50.40M,,,-50.00M
