,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2000-08,495.87M,495.87M,308.64M,187.23M,120.40M,-1.38M,,,,134.78M,52.45M,,,-1.38M,,41.98M,14.95M,27.03M,4.232M,,31.26M,27.92M,66.83M,14.38M,52.45M,0.115,0.0,,0.1183,0.115,0.1125,0.0,,0.1157,0.1125,271.87M,277.91M,0.0475
2000-05,485.72M,485.72M,301.33M,184.40M,127.80M,1.481M,,,,141.71M,42.68M,,,1.481M,,35.85M,11.65M,24.20M,,,24.20M,23.20M,56.60M,13.91M,42.68M,0.0875,0.0,,0.0839,0.0875,0.0875,0.0,,0.0857,0.0875,276.59M,558.54M,0.0475
2000-02,462.40M,462.40M,284.11M,178.30M,125.94M,4.118M,,,,140.40M,37.89M,,,4.118M,,34.61M,10.19M,24.42M,,,24.42M,21.51M,52.36M,14.46M,37.89M,0.0438,0.0,,0.0385,0.0438,0.0438,0.0,,0.0385,0.0438,556.30M,558.54M,0.0475
1999-11,620.40M,620.40M,355.10M,265.30M,167.30M,7.00M,,,,182.70M,82.60M,,,7.00M,,81.70M,27.70M,54.00M,,,54.00M,49.37M,98.00M,15.40M,82.60M,0.1918,,,0.1753,0.1918,0.1918,,,0.1753,0.1918,281.60M,281.60M,0.0425
1999-08,476.80M,476.80M,299.00M,177.80M,120.30M,2.60M,,,,133.80M,44.00M,,,2.60M,,38.30M,12.90M,25.40M,,,25.40M,23.68M,57.50M,13.50M,44.00M,0.045,0.0,,0.0389,0.045,0.0438,0.0,,0.0377,0.0438,283.16M,283.16M,0.0425
1999-05,468.20M,468.20M,295.50M,172.70M,122.10M,-11.40M,,,,137.00M,35.70M,,,-11.40M,,16.10M,10.30M,5.80M,,,5.80M,12.64M,50.60M,14.90M,35.70M,0.01,0.0,,0.0336,0.01,0.01,0.0,,0.0336,0.01,289.67M,289.67M,0.0425
1999-02,441.54M,441.54M,282.60M,158.94M,112.70M,2.80M,,,,126.30M,32.64M,,,2.80M,,27.40M,9.20M,18.20M,,,18.20M,16.34M,46.24M,13.60M,32.64M,0.0312,0.0,,0.0247,0.0312,0.0312,0.0,,0.0247,0.0312,285.79M,285.79M,0.0425
1998-11,585.70M,585.70M,342.30M,243.40M,143.20M,2.20M,,,,158.40M,85.00M,,,2.20M,,77.60M,27.60M,50.00M,,,50.00M,48.58M,100.20M,15.20M,85.00M,0.1726,,,0.1677,0.1726,0.1726,,,0.1677,0.1726,289.67M,289.67M,0.04
1998-08,444.80M,444.80M,285.00M,159.80M,107.30M,3.00M,,,,120.80M,39.00M,,,3.00M,,32.40M,10.90M,21.50M,,,21.50M,19.51M,52.50M,13.50M,39.00M,0.0362,0.0,,0.0294,0.0362,0.0362,0.0,,0.0294,0.0362,290.80M,290.80M,0.04
1998-05,435.50M,435.50M,281.10M,154.40M,110.20M,2.40M,,,,123.30M,31.10M,,,2.40M,,24.10M,8.00M,16.10M,,,16.10M,14.50M,44.20M,13.10M,31.10M,0.0275,0.0,,0.022,0.0275,0.0275,0.0,,0.022,0.0275,293.62M,293.62M,0.04
