,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2013-02,68.60M,68.60M,403.90M,,403.90M,306.60M,299.90M,606.50M,132.50M,,1.212B,,,,,,,1.335B,-802.70M,532.50M,1.693B,321.30M,2.014B,327.80M,,2.875B,4.086B,340.20M,340.20M,321.50M,661.70M,,,,453.80M,,453.80M,,1.116B,776.00M,,776.00M,,,,17.60M,469.80M,1.246B,2.361B,921.90M,948.30M,,,,,-163.00M,1.707B
2012-11,79.00M,79.00M,465.90M,,465.90M,341.80M,273.20M,615.00M,34.60M,90.90M,1.285B,0.0,43.00M,324.90M,913.50M,,51.70M,1.333B,-785.80M,547.30M,1.695B,323.50M,2.019B,227.80M,57.70M,2.88B,4.165B,375.80M,375.80M,301.20M,677.00M,118.00M,138.40M,254.20M,392.60M,,392.60M,,1.188B,779.20M,,779.20M,56.80M,56.80M,368.90M,17.30M,31.40M,1.278B,2.465B,908.20M,934.60M,,,,,-159.90M,1.683B
2012-08,72.20M,72.20M,411.20M,,411.20M,316.90M,311.70M,628.60M,107.40M,,1.219B,,,,,,,1.297B,-778.60M,518.50M,1.667B,345.40M,2.012B,306.70M,,2.838B,4.057B,317.50M,317.50M,353.80M,671.30M,,,,231.30M,,231.30M,,902.60M,1.026B,,1.026B,,,,18.10M,404.20M,1.430B,2.333B,0.00,909.60M,885.80M,,,,-89.50M,1.706B
2012-05,61.40M,61.40M,378.00M,,378.00M,331.80M,279.20M,611.00M,116.80M,,1.167B,,,,,,,1.281B,-773.80M,507.50M,1.652B,341.10M,1.993B,298.10M,,2.798B,3.966B,321.90M,321.90M,334.00M,655.90M,,,,244.40M,,244.40M,,900.30M,1.028B,,1.028B,,,,17.60M,398.80M,1.426B,2.327B,0.00,885.90M,862.70M,,,,-127.30M,1.621B
2012-02,54.40M,54.40M,381.10M,,381.10M,361.00M,279.40M,640.40M,116.90M,,1.193B,,,,,,,1.294B,-770.60M,523.40M,1.697B,355.00M,2.052B,311.10M,,2.887B,4.080B,342.30M,342.30M,334.50M,676.80M,,,,283.10M,,283.10M,,959.90M,1.029B,,1.029B,,,,18.30M,398.50M,1.427B,2.387B,0.00,869.00M,840.90M,,,,-35.60M,1.674B
2011-11,53.90M,53.90M,427.00M,4.50M,427.00M,344.90M,268.80M,613.70M,17.80M,110.50M,1.223B,0.0,39.20M,306.90M,877.60M,,45.50M,1.269B,-746.10M,523.10M,1.694B,350.00M,2.044B,201.90M,59.70M,2.865B,4.088B,366.60M,366.60M,128.10M,494.70M,,,,222.40M,,222.40M,140.70M,993.30M,1.030B,,1.030B,71.50M,71.50M,314.80M,16.80M,25.10M,1.476B,2.469B,0.00,838.80M,821.90M,,,,-59.00M,1.602B
2011-08,52.20M,52.20M,391.70M,,391.70M,315.90M,284.40M,600.30M,119.10M,,1.163B,,,,,,,1.244B,-746.70M,497.60M,1.511B,236.00M,1.747B,306.50M,,2.551B,3.715B,303.20M,303.20M,336.00M,639.20M,,,,0.30M,,0.30M,,639.50M,1.032B,,1.032B,,,,9.10M,323.00M,1.355B,1.994B,0.00,785.70M,806.80M,,,,118.80M,1.711B
2011-05,47.90M,47.90M,342.60M,,342.60M,303.30M,274.00M,577.30M,111.80M,,1.080B,,,,,,,1.229B,-734.00M,494.80M,1.480B,234.70M,1.715B,300.00M,,2.510B,3.589B,301.80M,301.80M,336.20M,638.00M,,,,208.50M,,208.50M,,846.50M,781.20M,,781.20M,,,,9.20M,319.60M,1.101B,1.947B,0.00,732.70M,787.80M,,,,112.40M,1.633B
2011-02,40.60M,40.60M,326.80M,,326.80M,272.10M,272.80M,544.90M,103.30M,,1.016B,,,,,,,1.199B,-707.60M,491.40M,1.455B,234.10M,1.689B,281.40M,,2.462B,3.478B,286.80M,286.80M,325.40M,612.20M,,,,194.50M,,194.50M,,806.70M,775.70M,,775.70M,,,,9.10M,318.70M,1.094B,1.901B,483.90M,731.30M,288.10M,,,,64.10M,1.567B
2010-11,50.80M,50.80M,386.70M,,386.70M,243.50M,234.10M,477.60M,100.80M,,1.016B,0.0,29.50M,282.60M,811.90M,,39.30M,1.163B,-675.30M,488.00M,1.417B,232.50M,1.650B,265.90M,,2.404B,3.420B,302.70M,302.70M,431.70M,734.40M,,,,100.40M,,100.40M,,834.80M,779.90M,,779.90M,,,,9.00M,342.30M,1.122B,1.957B,0.00,700.90M,756.50M,,,,-3.70M,1.454B
2010-08,23.60M,23.60M,319.70M,,319.70M,221.00M,259.10M,480.10M,132.20M,,955.60M,,,,,,,1.119B,-654.40M,464.80M,1.392B,231.90M,1.624B,220.30M,,2.309B,3.265B,248.90M,248.90M,351.90M,600.80M,,,,197.70M,,197.70M,,798.50M,779.50M,,779.50M,,,,8.80M,304.90M,1.084B,1.883B,700.40M,709.60M,,,,,-37.00M,1.373B
2010-05,23.10M,23.10M,310.80M,,310.80M,210.30M,238.50M,448.80M,125.10M,,907.80M,,,,,,,1.090B,-626.20M,463.90M,1.373B,231.90M,1.604B,216.20M,,2.285B,3.192B,254.60M,254.60M,325.20M,579.80M,,,,129.50M,,129.50M,,709.30M,874.60M,,874.60M,,,,8.30M,321.10M,1.196B,1.905B,685.70M,670.10M,,,,,-76.70M,1.279B
