,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2001-03,11.96B,12.30B,7.251B,5.047B,441.00M,,1.189B,87.00M,-87.00M,,2.312B,2.735B,87.00M,-87.00M,,-87.00M,2.648B,1.048B,1.60B,,,,1.60B,1.60B,3.417B,682.00M,2.735B,1.245,0.0,,1.245,1.245,1.245,0.0,,1.245,1.245,1.284B,1.286B,0.325
2000-12,73.13B,80.56B,54.41B,26.15B,2.464B,,5.654B,,,,11.29B,14.86B,,,,,7.396B,3.36B,4.036B,,,,4.036B,4.036B,18.03B,3.17B,14.86B,1.16,0.0,,1.16,1.16,1.16,0.0,,1.16,1.16,1.305B,1.308B,0.325
2000-09,13.00B,13.62B,8.41B,5.211B,399.00M,,1.24B,101.00M,-101.00M,,2.44B,2.771B,101.00M,-101.00M,,-101.00M,2.67B,1.139B,1.531B,,,,1.531B,1.531B,3.572B,801.00M,2.771B,1.18,0.0,,1.18,1.18,1.175,0.0,,1.175,1.175,1.297B,1.299B,0.325
2000-06,12.98B,13.22B,8.685B,4.539B,386.00M,,1.194B,126.00M,-126.00M,,2.279B,2.26B,126.00M,-126.00M,,-126.00M,2.134B,1.018B,1.116B,,,,1.116B,1.116B,2.959B,699.00M,2.26B,0.855,0.0,,0.855,0.855,0.855,0.0,,0.855,0.855,1.307B,1.309B,0.325
2000-03,11.38B,11.73B,7.583B,4.144B,377.00M,,1.138B,129.00M,-129.00M,,2.166B,1.978B,129.00M,-129.00M,,-129.00M,1.849B,805.00M,1.044B,,,,1.044B,1.044B,2.629B,651.00M,1.978B,0.795,0.0,,0.795,0.795,0.795,0.0,,0.795,0.795,1.312B,1.316B,0.325
1999-12,53.14B,60.11B,38.60B,21.51B,2.019B,,6.01B,,,,11.00B,10.51B,,,,,3.614B,1.628B,1.986B,,,,1.986B,1.986B,13.48B,2.968B,10.51B,0.62,0.0,,0.62,0.62,0.615,0.0,,0.615,0.615,1.314B,1.320B,0.325
1999-09,9.965B,10.18B,6.649B,3.528B,357.00M,,1.181B,116.00M,-116.00M,,2.305B,1.223B,116.00M,-116.00M,,-116.00M,1.107B,525.00M,582.00M,,,,582.00M,582.00M,1.99B,767.00M,1.223B,0.44,0.0,,0.44,0.44,0.44,0.0,,0.44,0.44,1.314B,1.321B,0.305
1999-06,8.473B,8.741B,5.826B,2.915B,449.00M,,1.143B,113.00M,-113.00M,,2.225B,690.00M,113.00M,-113.00M,,-113.00M,577.00M,227.00M,350.00M,,,,350.00M,350.00M,1.323B,633.00M,690.00M,0.27,0.0,,0.27,0.27,0.265,0.0,,0.265,0.265,1.314B,1.320B,0.305
1999-03,6.399B,6.689B,4.029B,2.66B,397.00M,,1.078B,105.00M,-105.00M,,2.041B,619.00M,105.00M,-105.00M,,-105.00M,514.00M,185.00M,329.00M,,,,329.00M,329.00M,1.185B,566.00M,619.00M,0.25,0.0,,0.25,0.25,0.25,0.0,,0.25,0.25,1.309B,1.310B,0.305
1998-12,7.778B,7.282B,-677.00M,7.959B,1.343B,,,,,,8.416B,-457.00M,,,,,-566.00M,-360.00M,-206.00M,,,,-206.00M,-206.00M,189.00M,646.00M,-457.00M,-0.155,0.0,,-0.155,-0.155,-0.155,0.0,,-0.155,-0.155,1.295B,1.307B,0.305
1998-09,7.561B,7.678B,4.733B,2.945B,367.00M,,1.145B,103.00M,-103.00M,,2.075B,870.00M,103.00M,-103.00M,,-103.00M,767.00M,306.00M,461.00M,,,,461.00M,461.00M,1.433B,563.00M,870.00M,0.35,0.0,,0.35,0.35,0.35,0.0,,0.35,0.35,1.310B,1.314B,0.305
1998-06,7.754B,7.969B,5.038B,2.931B,276.00M,,1.14B,99.00M,-99.00M,,1.973B,958.00M,99.00M,-99.00M,,-99.00M,859.00M,282.00M,577.00M,,,,577.00M,577.00M,1.515B,557.00M,958.00M,0.44,0.0,,0.44,0.44,0.44,0.0,,0.44,0.44,1.311B,1.316B,0.305
