,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,RentandLandingExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2002-04,15.67B,15.67B,11.44B,4.229B,,3.092B,,,-15.00M,,,,3.415B,814.00M,,,-15.00M,,610.00M,229.00M,381.00M,,-16.00M,,362.00M,323.00M,814.00M,,2002-04,0.24,-0.0019,0.2459,0.23,,2002-04,-0.0101,-0.0019,0.2408,2002-04,1.586B,1.618B,0.00,,2002-04,,
2002-01,12.13B,12.13B,8.769B,3.36B,,2.355B,,,-36.00M,,,0.00,2.611B,749.00M,,,-36.00M,,571.00M,220.00M,351.00M,,,,351.00M,256.00M,749.00M,,2002-01,0.20,,0.2126,0.20,,2002-01,,,0.2126,2002-01,1.758B,1.758B,0.00,,2002-01,,
2001-10,11.38B,11.38B,8.265B,3.117B,,2.399B,,,-92.00M,,,91.00M,2.744B,373.00M,,,-92.00M,,223.00M,90.00M,133.00M,,,,133.00M,254.00M,373.00M,,2001-10,0.085,,0.1195,0.085,,2001-10,,,0.1136,2001-10,1.602B,1.642B,0.00,,2001-10,,
2001-07,11.48B,11.48B,8.331B,3.154B,,2.335B,,,-2.00M,,,,2.581B,573.00M,,,-2.00M,,419.00M,163.00M,256.00M,,,,256.00M,247.00M,573.00M,,2001-07,0.16,,0.1608,0.16,,2001-07,,,0.1557,2001-07,1.61B,1.654B,0.00,,2001-07,,
2001-04,15.10B,15.10B,11.04B,4.067B,,3.042B,,,-2.00M,,,,3.361B,706.00M,,,-2.00M,,498.00M,194.00M,304.00M,,,,304.00M,319.00M,706.00M,,2001-04,0.185,,0.1858,0.185,,2001-04,,,0.1807,2001-04,1.624B,1.666B,0.00,,2001-04,,
2001-01,12.69B,12.69B,9.201B,3.491B,,2.477B,,,-2.00M,,,,2.71B,781.00M,,,-2.00M,,612.00M,255.00M,357.00M,,,,357.00M,233.00M,781.00M,,2001-01,0.215,-0.0000,0.2157,0.215,,2001-01,,-0.0000,0.2107,2001-01,1.634B,1.68B,0.00,,2001-01,,
2000-10,10.96B,10.96B,8.05B,2.912B,,2.181B,,,-2.00M,,,,2.415B,497.00M,,,-2.00M,,349.00M,146.00M,203.00M,,,,201.00M,234.00M,497.00M,,2000-10,0.125,-0.0012,0.1257,0.125,,2000-10,,-0.0012,0.1207,2000-10,1.642B,1.69B,0.00,,2000-10,,
2000-07,11.02B,11.02B,8.053B,2.964B,,2.198B,,,-2.00M,,,,2.432B,532.00M,,,-2.00M,,375.00M,157.00M,218.00M,,,,216.00M,234.00M,532.00M,,2000-07,0.13,-0.0012,0.1307,0.13,,2000-07,,-0.0012,0.1307,2000-07,1.648B,1.694B,0.00,,2000-07,,
2000-04,14.33B,14.33B,10.50B,3.827B,,2.938B,,,-200.00M,,,,3.245B,582.00M,,,-200.00M,,176.00M,70.00M,106.00M,,,,106.00M,307.00M,582.00M,,2000-04,0.065,,0.1375,0.065,,2000-04,,,0.1309,2000-04,1.662B,1.70B,0.00,,2000-04,,
2000-01,11.24B,11.24B,8.158B,3.083B,,2.23B,,,-79.00M,,,,2.453B,630.00M,,,-79.00M,,409.00M,178.00M,231.00M,,,,231.00M,223.00M,630.00M,,2000-01,0.14,-0.0000,0.1687,0.14,,2000-01,,-0.0000,0.1618,2000-01,1.649B,1.771B,0.00,,2000-01,,
1999-10,10.33B,10.33B,7.762B,2.567B,,1.889B,,,-69.00M,,,,2.11B,457.00M,,,-69.00M,,240.00M,111.00M,129.00M,,,,129.00M,226.00M,457.00M,,1999-10,0.075,,0.0991,0.075,,1999-10,,,0.0991,1999-10,1.72B,1.72B,0.00,,1999-10,,
1999-07,10.29B,10.29B,7.59B,2.699B,,2.034B,,,-200.00M,,,,2.25B,449.00M,,,-200.00M,,106.00M,50.00M,56.00M,,,,46.00M,216.00M,449.00M,,1999-07,0.035,-0.0060,0.1074,0.03,,1999-07,,-0.0060,0.0998,1999-07,1.658B,1.72B,0.00,,1999-07,,
1999-04,13.49B,13.49B,9.962B,3.531B,,2.669B,,,-35.00M,,,,2.95B,581.00M,,,-35.00M,,347.00M,140.00M,207.00M,,,,207.00M,281.00M,581.00M,,1999-04,0.125,,0.1377,0.125,,1999-04,,,0.1322,1999-04,1.654B,1.726B,0.00,,1999-04,,
1998-12,11.20B,11.20B,8.278B,2.927B,,2.094B,,,-31.00M,,,,2.284B,643.00M,,,-31.00M,,456.00M,183.00M,273.00M,,,,244.00M,190.00M,643.00M,,1998-12,0.2656,-0.0282,0.2837,0.2374,,1998-12,,-0.0282,0.2837,1998-12,1.028B,1.028B,0.00,,1998-12,,
1998-09,11.50B,11.50B,8.552B,2.949B,,2.301B,,,,,,,2.524B,425.00M,,,,,255.00M,104.00M,151.00M,,,,144.00M,223.00M,425.00M,,1998-09,0.09,-0.0068,0.09,0.085,,1998-09,,-0.0068,0.09,1998-09,1.012B,1.050B,0.00,,1998-09,,
1998-06,9.947B,9.947B,7.394B,2.553B,,1.962B,,,-48.00M,,,,2.165B,388.00M,,,-48.00M,,185.00M,85.00M,100.00M,,,,99.00M,327.00M,388.00M,,1998-06,0.06,-0.0010,0.0880,0.06,,1998-06,,-0.0010,0.0880,1998-06,1.03B,1.03B,0.00,,1998-06,,
