,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2007-12,1.847B,388.00M,2.235B,,,3.093B,325.00M,92.00M,1.042B,1.459B,,376.00M,410.00M,7.573B,0.00,46.00M,869.00M,6.841B,,7.756B,-4.126B,3.63B,790.00M,,790.00M,,348.00M,794.00M,5.562B,13.14B,,768.00M,209.00M,977.00M,575.00M,1.552B,,,159.00M,,159.00M,209.00M,209.00M,491.00M,2.411B,2.627B,,2.627B,,,403.00M,94.00M,734.00M,3.764B,6.175B,,2.657B,8.202B,1.741B,5.63B,,,-104.00M,6.866B,,,Restated
2007-09,735.00M,1.156B,1.891B,3.109B,,3.109B,394.00M,116.00M,1.05B,1.56B,,275.00M,386.00M,7.221B,,,,,,7.328B,-3.991B,3.337B,731.00M,,731.00M,,439.00M,741.00M,5.248B,12.47B,,798.00M,,798.00M,525.00M,1.323B,,,10.00M,,10.00M,188.00M,188.00M,670.00M,2.191B,2.796B,,2.796B,,,,90.00M,1.195B,3.991B,6.182B,,2.655B,7.591B,1.694B,5.565B,-62.00M,-116.00M,-178.00M,6.197B,,,
2007-06,1.348B,875.00M,2.223B,2.948B,,2.948B,396.00M,117.00M,987.00M,1.50B,,217.00M,384.00M,7.272B,,,,,,6.898B,-3.91B,2.988B,594.00M,,594.00M,,430.00M,705.00M,4.717B,11.99B,,856.00M,,856.00M,447.00M,1.303B,,,11.00M,,11.00M,198.00M,198.00M,654.00M,2.166B,2.784B,,2.784B,,,,71.00M,1.11B,3.894B,6.06B,,2.653B,6.942B,1.662B,5.221B,-62.00M,-116.00M,-178.00M,5.858B,,,
2007-03,2.186B,857.00M,3.043B,2.70B,,2.70B,361.00M,110.00M,959.00M,1.43B,,219.00M,4.323B,11.72B,,,,,,6.912B,-4.154B,2.758B,593.00M,,593.00M,,399.00M,2.173B,5.923B,17.64B,,739.00M,,739.00M,383.00M,1.122B,,,11.00M,,11.00M,,,3.946B,5.079B,2.785B,,2.785B,,,,65.00M,1.817B,4.602B,9.681B,,2.652B,5.494B,1.712B,1.54B,,,-426.00M,7.892B,,,
2006-12,2.918B,20.00M,2.938B,2.629B,,2.629B,256.00M,96.00M,883.00M,1.235B,,205.00M,4.183B,11.19B,,,,,,6.35B,-3.793B,2.557B,486.00M,,486.00M,,448.00M,2.179B,5.67B,16.86B,,655.00M,,655.00M,496.00M,1.151B,,,26.00M,,26.00M,171.00M,171.00M,3.386B,4.734B,2.783B,,2.783B,,,,69.00M,1.898B,4.681B,9.415B,,2.65B,5.051B,1.689B,1.577B,-38.00M,-399.00M,-437.00M,7.376B,,,
2006-09,3.549B,,3.549B,4.617B,,4.617B,272.00M,97.00M,844.00M,1.213B,,346.00M,490.00M,10.22B,,,,,,6.954B,-4.07B,2.884B,775.00M,,775.00M,,538.00M,1.572B,5.769B,15.98B,,2.93B,,2.93B,738.00M,3.668B,2.00M,86.00M,88.00M,,88.00M,,,946.00M,4.702B,2.745B,,2.745B,,,,146.00M,1.302B,4.047B,8.749B,,2.648B,4.468B,1.50B,1.308B,,,-219.00M,7.089B,,,
2006-06,3.673B,,3.673B,4.806B,,4.806B,236.00M,91.00M,801.00M,1.128B,,582.00M,462.00M,10.65B,,,,,,6.767B,-3.993B,2.774B,774.00M,,774.00M,,476.00M,1.499B,5.523B,16.17B,,2.94B,,2.94B,523.00M,3.463B,6.00M,360.00M,366.00M,,366.00M,,,934.00M,4.763B,2.772B,,2.772B,,,,93.00M,1.218B,3.99B,8.753B,,2.647B,3.899B,1.526B,520.00M,,,-224.00M,7.328B,,,
2006-03,2.278B,,2.278B,4.952B,,4.952B,221.00M,90.00M,775.00M,1.086B,,800.00M,623.00M,9.739B,,,,,,6.592B,-3.917B,2.675B,771.00M,,771.00M,,451.00M,1.534B,5.431B,15.17B,,2.427B,,2.427B,499.00M,2.926B,9.00M,360.00M,369.00M,,369.00M,,,867.00M,4.162B,2.793B,,2.793B,,,,151.00M,1.192B,3.985B,8.147B,,1.322B,3.386B,2.808B,383.00M,,,-261.00M,6.872B,,,
2005-12,2.391B,,2.391B,4.801B,,4.801B,181.00M,57.00M,715.00M,953.00M,,719.00M,522.00M,9.386B,0.00,66.00M,940.00M,5.48B,,6.486B,-3.838B,2.648B,765.00M,,765.00M,,748.00M,1.501B,5.662B,15.05B,,2.628B,,2.628B,648.00M,3.276B,,,361.00M,,361.00M,,,790.00M,4.427B,2.813B,,2.813B,,,,145.00M,1.291B,4.104B,8.531B,,2.634B,2.975B,1.501B,374.00M,-72.00M,-292.00M,-364.00M,6.372B,,,
2005-09,2.124B,,2.124B,2.853B,1.513B,4.366B,191.00M,63.00M,708.00M,962.00M,,429.00M,610.00M,8.491B,,,,,,6.386B,-3.784B,2.602B,,739.00M,739.00M,,511.00M,1.352B,5.204B,13.70B,,1.714B,,1.714B,473.00M,2.187B,35.00M,651.00M,686.00M,,686.00M,,,1.359B,4.232B,2.821B,,2.821B,,,,133.00M,1.162B,3.983B,8.215B,,1.315B,1.937B,2.764B,380.00M,,,-289.00M,5.347B,,,
2005-06,1.575B,,1.575B,2.738B,1.633B,4.371B,195.00M,67.00M,669.00M,931.00M,,514.00M,576.00M,7.967B,,,,,,6.266B,-3.716B,2.55B,,744.00M,744.00M,,470.00M,1.485B,5.249B,13.22B,,1.871B,,1.871B,522.00M,2.393B,73.00M,374.00M,447.00M,,447.00M,,,1.332B,4.172B,3.103B,,3.103B,,,,113.00M,1.133B,4.236B,8.408B,,1.303B,1.502B,2.585B,417.00M,,,-278.00M,4.695B,,,
2005-03,1.812B,,1.812B,2.935B,1.939B,4.874B,179.00M,56.00M,645.00M,880.00M,,,642.00M,8.208B,,,,,,6.228B,-3.672B,2.556B,,794.00M,794.00M,,727.00M,1.521B,5.598B,13.81B,,2.357B,,2.357B,538.00M,2.895B,,,862.00M,,862.00M,,,1.422B,5.179B,3.109B,,3.109B,,,,114.00M,1.066B,4.175B,9.354B,,1.30B,1.173B,2.544B,438.00M,,,-241.00M,4.338B,,,
2004-12,1.917B,891.00M,2.808B,2.873B,2.878B,5.751B,156.00M,33.00M,602.00M,791.00M,,301.00M,379.00M,10.03B,0.00,68.00M,1.088B,5.071B,,6.227B,-3.674B,2.553B,,795.00M,795.00M,,780.00M,1.706B,5.834B,15.86B,,2.339B,,2.339B,473.00M,2.812B,15.00M,347.00M,362.00M,,362.00M,,,3.958B,7.132B,3.593B,,3.593B,,,,108.00M,1.099B,4.692B,11.82B,,1.146B,871.00M,277.00M,477.00M,,,2.115B,3.932B,,,
2004-09,2.996B,,2.996B,2.602B,2.817B,5.419B,162.00M,49.00M,530.00M,741.00M,,,667.00M,9.823B,,,,,,6.165B,-3.625B,2.54B,,793.00M,793.00M,,971.00M,1.831B,6.135B,15.96B,,2.362B,,2.362B,522.00M,2.884B,,,50.00M,,50.00M,,,4.121B,7.055B,3.894B,,3.894B,,,,113.00M,3.217B,7.111B,14.17B,,1.144B,1.13B,259.00M,478.00M,,,-376.00M,1.679B,,,
2004-06,2.23B,,2.23B,3.223B,2.553B,5.776B,170.00M,49.00M,522.00M,741.00M,,273.00M,511.00M,9.531B,,,,,,6.188B,-3.624B,2.564B,,793.00M,793.00M,,774.00M,1.857B,5.988B,15.52B,,2.087B,,2.087B,482.00M,2.569B,,,50.00M,,50.00M,101.00M,101.00M,4.113B,6.833B,3.90B,,3.90B,,,,116.00M,2.934B,6.834B,13.67B,,1.143B,1.229B,267.00M,515.00M,,,-388.00M,1.736B,,,
2004-03,1.933B,,1.933B,3.408B,2.312B,5.72B,170.00M,42.00M,531.00M,743.00M,,189.00M,678.00M,9.263B,,,,,,6.108B,-3.571B,2.537B,,793.00M,793.00M,,816.00M,2.998B,7.144B,16.41B,,2.102B,,2.102B,384.00M,2.486B,,,23.00M,,23.00M,104.00M,104.00M,4.31B,6.923B,3.934B,,3.934B,,,,110.00M,2.968B,6.902B,13.82B,,1.143B,1.951B,268.00M,540.00M,,,-350.00M,2.472B,,,
2003-12,1.815B,,1.815B,2.909B,1.856B,4.765B,159.00M,33.00M,503.00M,695.00M,,188.00M,456.00M,7.919B,0.00,80.00M,1.065B,4.921B,,6.066B,-3.54B,2.526B,,670.00M,670.00M,,774.00M,3.61B,7.58B,15.50B,,1.776B,,1.776B,400.00M,2.176B,,,22.00M,,22.00M,,,4.366B,6.564B,3.415B,,3.415B,,,,100.00M,2.873B,6.288B,12.85B,,1.142B,2.071B,273.00M,577.00M,,,-362.00M,2.547B,,,
2003-09,1.222B,,1.222B,3.004B,996.00M,4.00B,180.00M,42.00M,509.00M,731.00M,,244.00M,422.00M,6.619B,,,,,,5.981B,-3.477B,2.504B,,669.00M,669.00M,,636.00M,3.348B,7.157B,13.78B,,979.00M,,979.00M,346.00M,1.325B,23.00M,21.00M,44.00M,,44.00M,72.00M,72.00M,1.653B,3.094B,2.368B,,2.368B,,,,90.00M,4.647B,7.015B,10.11B,,1.141B,3.073B,270.00M,581.00M,,,-326.00M,3.577B,,,
2003-06,1.859B,,1.859B,2.656B,1.01B,3.666B,179.00M,63.00M,505.00M,747.00M,,212.00M,291.00M,6.775B,,,,,,5.901B,-3.403B,2.498B,,669.00M,669.00M,,670.00M,3.41B,7.247B,14.02B,,1.056B,,1.056B,353.00M,1.409B,16.00M,166.00M,182.00M,,182.00M,86.00M,86.00M,1.64B,3.317B,2.374B,,2.374B,,,,83.00M,4.689B,7.063B,10.38B,,1.142B,3.07B,287.00M,613.00M,,,-327.00M,3.559B,,,
2003-03,928.00M,,928.00M,2.379B,914.00M,3.293B,179.00M,60.00M,518.00M,757.00M,,189.00M,271.00M,5.438B,,,,,,5.819B,-3.327B,2.492B,,682.00M,682.00M,,622.00M,3.35B,7.146B,12.58B,,949.00M,,949.00M,295.00M,1.244B,9.00M,299.00M,308.00M,,308.00M,101.00M,101.00M,1.392B,3.045B,1.175B,,1.175B,,,,81.00M,4.721B,5.896B,8.941B,,1.142B,3.098B,287.00M,612.00M,,,-353.00M,3.562B,,,
2002-12,1.107B,,1.107B,2.533B,724.00M,3.257B,141.00M,48.00M,545.00M,734.00M,,200.00M,262.00M,5.56B,0.00,86.00M,1.024B,4.842B,,5.952B,-3.323B,2.629B,,723.00M,723.00M,,607.00M,3.325B,7.284B,12.84B,,1.077B,,1.077B,370.00M,1.447B,49.00M,295.00M,344.00M,,344.00M,100.00M,100.00M,1.381B,3.272B,1.181B,,1.181B,,,,71.00M,4.762B,5.943B,9.215B,,1.141B,3.11B,293.00M,630.00M,,,-356.00M,3.558B,,,
2002-09,586.00M,,586.00M,2.494B,905.00M,3.399B,180.00M,68.00M,521.00M,769.00M,,170.00M,256.00M,5.18B,,,,,,5.896B,-3.305B,2.591B,,719.00M,719.00M,,391.00M,2.83B,6.531B,11.71B,,1.046B,,1.046B,276.00M,1.322B,29.00M,290.00M,319.00M,,319.00M,66.00M,66.00M,1.146B,2.853B,1.12B,,1.12B,,,,51.00M,3.366B,4.486B,7.339B,,1.141B,3.781B,295.00M,634.00M,,,-262.00M,4.321B,,,
2002-06,383.00M,,383.00M,2.606B,1.00B,3.606B,184.00M,72.00M,552.00M,808.00M,,126.00M,253.00M,5.176B,,,,,,6.021B,-3.329B,2.692B,,725.00M,725.00M,,512.00M,2.882B,6.811B,11.99B,,1.14B,,1.14B,254.00M,1.394B,66.00M,215.00M,281.00M,,281.00M,88.00M,88.00M,1.224B,2.987B,1.264B,,1.264B,,,,51.00M,3.43B,4.694B,7.681B,,1.141B,3.742B,296.00M,635.00M,,,-289.00M,4.255B,,,
2002-03,266.00M,,266.00M,2.856B,1.091B,3.947B,193.00M,72.00M,549.00M,814.00M,,153.00M,258.00M,5.438B,,,,6.07B,,6.07B,-3.313B,2.757B,720.00M,,720.00M,,405.00M,1.56B,5.442B,10.88B,,1.026B,,1.026B,306.00M,1.332B,6.00M,81.00M,87.00M,,87.00M,91.00M,91.00M,1.20B,2.71B,1.402B,,1.402B,,,,46.00M,1.955B,3.357B,6.067B,,1.141B,4.294B,313.00M,662.00M,,,-319.00M,4.767B,,,
2001-12,290.00M,,290.00M,3.015B,1.08B,4.095B,192.00M,75.00M,520.00M,787.00M,,154.00M,247.00M,5.573B,0.00,82.00M,942.00M,4.926B,,5.95B,-3.281B,2.669B,,720.00M,720.00M,,410.00M,1.594B,5.393B,10.97B,,917.00M,,917.00M,357.00M,1.274B,44.00M,81.00M,125.00M,,125.00M,99.00M,99.00M,1.41B,2.908B,1.403B,,1.403B,,,,41.00M,1.862B,3.265B,6.173B,,1.138B,4.327B,298.00M,688.00M,,,-323.00M,4.752B,,,
2001-09,227.00M,,227.00M,3.244B,971.00M,4.215B,215.00M,104.00M,512.00M,831.00M,,249.00M,265.00M,5.787B,,,,,,5.845B,-3.276B,2.569B,592.00M,,592.00M,,304.00M,1.44B,4.905B,10.69B,,899.00M,,899.00M,313.00M,1.212B,4.00M,213.00M,217.00M,,217.00M,64.00M,64.00M,1.284B,2.777B,1.47B,,1.47B,,,,51.00M,1.797B,3.267B,6.044B,,1.138B,4.242B,333.00M,842.00M,,,-274.00M,4.597B,,,
2001-06,328.00M,,328.00M,3.249B,961.00M,4.21B,226.00M,88.00M,541.00M,855.00M,,225.00M,242.00M,5.86B,,,,,,5.685B,-3.202B,2.483B,608.00M,,608.00M,,300.00M,1.41B,4.801B,10.66B,,832.00M,,832.00M,318.00M,1.15B,7.00M,717.00M,724.00M,,724.00M,105.00M,105.00M,1.378B,3.357B,1.039B,,1.039B,,,,44.00M,1.741B,2.78B,6.137B,,1.138B,4.117B,339.00M,826.00M,,,-288.00M,4.48B,,,
2001-03,278.00M,,278.00M,3.823B,,3.823B,204.00M,78.00M,539.00M,821.00M,,227.00M,571.00M,5.72B,,,,,,5.593B,-3.178B,2.415B,740.00M,,740.00M,,335.00M,1.208B,4.698B,10.42B,,737.00M,,737.00M,251.00M,988.00M,8.00M,1.84B,1.848B,,1.848B,115.00M,115.00M,1.094B,4.045B,1.04B,,1.04B,,,,42.00M,1.285B,2.325B,6.37B,,1.136B,3.788B,318.00M,826.00M,,,-410.00M,4.006B,,,
2000-12,231.00M,,231.00M,2.952B,982.00M,3.934B,178.00M,59.00M,486.00M,723.00M,,235.00M,534.00M,5.657B,0.00,83.00M,968.00M,4.509B,,5.56B,-3.15B,2.41B,,597.00M,597.00M,,340.00M,1.188B,4.535B,10.19B,,782.00M,,782.00M,267.00M,1.049B,1.57B,8.00M,1.578B,,1.578B,98.00M,98.00M,1.19B,3.915B,1.049B,,1.049B,,,,38.00M,1.262B,2.311B,6.226B,,1.132B,3.733B,259.00M,845.00M,,,-351.00M,3.928B,,,
2000-09,310.00M,,310.00M,3.594B,,3.594B,,,,774.00M,,,699.00M,5.377B,,,,,,5.482B,-3.155B,2.327B,,610.00M,610.00M,,,1.583B,4.52B,9.897B,,655.00M,,655.00M,,655.00M,,,777.00M,,777.00M,,,1.371B,2.803B,1.049B,,1.049B,,,,45.00M,1.325B,2.374B,5.177B,,1.132B,3.782B,249.00M,107.00M,,,-381.00M,4.675B,,,
2000-06,363.00M,,363.00M,,,3.584B,,,,770.00M,,,650.00M,5.367B,,,,,,5.542B,-3.189B,2.353B,,627.00M,627.00M,,,1.459B,4.439B,9.806B,,720.00M,,720.00M,,720.00M,,,882.00M,,882.00M,,,1.21B,2.812B,1.052B,,1.052B,,,,45.00M,1.302B,2.354B,5.166B,,1.128B,3.681B,188.00M,97.00M,,,-305.00M,4.595B,,,
2000-03,369.00M,,369.00M,,,3.30B,,,,762.00M,,,571.00M,5.002B,,,,,,5.522B,-3.165B,2.357B,,638.00M,638.00M,,,1.483B,4.478B,9.48B,,736.00M,,736.00M,,736.00M,,,539.00M,,539.00M,,,1.306B,2.581B,1.056B,,1.056B,,,,41.00M,1.24B,2.296B,4.877B,,1.124B,3.662B,133.00M,100.00M,,,-257.00M,4.562B,,,
1999-12,466.00M,,466.00M,2.349B,625.00M,2.974B,79.00M,25.00M,619.00M,723.00M,,171.00M,1.028B,5.362B,0.00,110.00M,959.00M,4.443B,,5.512B,-3.122B,2.39B,505.00M,,505.00M,,398.00M,984.00M,4.277B,9.639B,,665.00M,,665.00M,206.00M,871.00M,939.00M,308.00M,1.247B,,1.247B,44.00M,44.00M,871.00M,3.033B,1.056B,,1.056B,,,,44.00M,1.219B,2.275B,5.308B,,1.12B,3.453B,68.00M,99.00M,,,-255.00M,4.287B,,,
1999-09,295.00M,,295.00M,,,3.706B,,,,1.251B,,,509.00M,5.761B,,,,,,6.865B,-4.047B,2.818B,,778.00M,778.00M,,,1.228B,4.824B,10.58B,,1.039B,,1.039B,,1.039B,,,1.25B,,1.25B,,,1.433B,3.722B,1.059B,,1.059B,,,,139.00M,1.543B,2.602B,6.324B,,1.119B,3.273B,59.00M,97.00M,,,-232.00M,4.122B,,,
1999-06,336.00M,,336.00M,,,3.477B,,,,1.223B,,,555.00M,5.591B,,,,,,6.803B,-3.956B,2.847B,,760.00M,760.00M,,,1.289B,4.896B,10.49B,,1.179B,,1.179B,,1.179B,,,989.00M,,989.00M,,,1.528B,3.696B,1.064B,,1.064B,,,,162.00M,1.475B,2.539B,6.235B,,,3.271B,,,,,,4.09B,,,
1999-03,419.00M,,419.00M,,,3.643B,,,,1.274B,,,617.00M,5.953B,,,,,,6.822B,-3.931B,2.891B,,762.00M,762.00M,,,1.214B,4.867B,10.82B,,1.07B,,1.07B,,1.07B,,,768.00M,,768.00M,,,1.866B,3.704B,1.365B,,1.365B,,,,184.00M,1.513B,2.878B,6.582B,,,3.243B,,,,,,4.054B,,,
1998-12,203.00M,,203.00M,,,3.86B,,,,1.285B,,,718.00M,6.066B,,,,,,6.825B,-3.929B,2.896B,,765.00M,765.00M,,,1.339B,5.00B,11.07B,,1.009B,,1.009B,,1.009B,,,574.00M,,574.00M,,,2.354B,3.937B,1.37B,,1.37B,,,,170.00M,1.528B,2.898B,6.835B,,1.115B,3.236B,8.00M,98.00M,,,-200.00M,4.061B,,,
1998-09,228.50M,,228.50M,,,3.995B,,,,1.437B,,,636.30M,6.297B,,,,,,6.967B,-3.995B,2.972B,,1.131B,1.131B,,,1.242B,5.345B,11.64B,,1.123B,,1.123B,,1.123B,,,580.70M,,580.70M,,,2.996B,4.700B,1.285B,,1.285B,,,,173.90M,1.435B,2.720B,7.42B,,,3.184B,,,,,,4.048B,,,
1998-06,145.40M,,145.40M,,,2.543B,,,,394.10M,,,250.90M,3.333B,,,,,,4.187B,-2.372B,1.814B,,312.20M,312.20M,,,726.30M,2.853B,6.186B,,694.80M,,694.80M,,694.80M,,,327.20M,,327.20M,,,1.123B,2.145B,525.40M,,525.40M,,,,19.30M,699.90M,1.225B,3.371B,,,2.136B,,,,,,2.796B,,,
1998-03,93.40M,,93.40M,,,2.366B,,,,375.70M,,,225.80M,3.061B,,,,,,4.091B,-2.355B,1.736B,,318.10M,318.10M,,,689.90M,2.744B,5.804B,,676.80M,,676.80M,,676.80M,,,83.70M,,83.70M,,,1.111B,1.872B,538.30M,,538.30M,,,,16.60M,689.10M,1.227B,3.099B,,,2.032B,,,,,,2.689B,,,
1997-12,384.10M,,384.10M,,,3.388B,,,,1.299B,,,372.30M,5.443B,,,,,,6.646B,-3.880B,2.766B,,1.127B,1.127B,,,1.365B,5.259B,10.70B,,1.132B,,1.132B,,1.132B,,,57.90M,,57.90M,,,2.27B,3.460B,1.297B,,1.297B,,,,163.40M,1.464B,2.761B,6.222B,,,3.563B,,,,,,4.317B,,,
1997-09,85.70M,,85.70M,,,2.270B,,,,345.50M,,,230.20M,2.931B,,,,,,3.903B,-2.337B,1.566B,,324.10M,324.10M,,,660.70M,2.551B,5.482B,,610.60M,,610.60M,,610.60M,,,24.90M,,24.90M,,,1.217B,1.853B,540.40M,,540.40M,,,,,648.60M,1.189B,3.042B,,,1.832B,,,,,,2.440B,,,
1997-06,50.40M,,50.40M,,,2.120B,,,,350.20M,,,215.90M,2.736B,,,,,,3.816B,-2.328B,1.488B,,303.60M,303.60M,,,635.20M,2.426B,5.163B,,533.00M,,533.00M,,533.00M,,,166.60M,,166.60M,,,1.077B,1.777B,425.00M,,425.00M,,,,,621.60M,1.047B,2.823B,,,1.778B,,,,,,2.340B,,,
1997-03,85.40M,,85.40M,,,1.698B,,,,320.60M,,,182.40M,2.286B,,,,,,3.668B,-2.280B,1.388B,,232.00M,232.00M,,,574.40M,2.194B,4.481B,,323.20M,,323.20M,,323.20M,,,21.80M,,21.80M,,,919.40M,1.264B,373.30M,,373.30M,,,,,594.30M,967.60M,2.232B,,,1.708B,,,,,,2.249B,,,
1996-12,213.60M,,213.60M,,,1.702B,,,,292.20M,,,189.90M,2.398B,,,,,,3.561B,-2.269B,1.292B,,233.90M,233.90M,,,513.10M,2.039B,4.437B,,452.10M,,452.10M,,452.10M,,,46.40M,,46.40M,,,1.006B,1.505B,200.00M,,200.00M,,,,1.40M,571.30M,771.30M,2.276B,,,1.656B,,,,,,2.159B,,,
1996-09,35.10M,,35.10M,,,1.678B,,,,312.30M,,,242.60M,2.268B,,,,,,3.407B,-2.231B,1.176B,,213.70M,213.70M,,,428.50M,1.818B,4.087B,,472.40M,,472.40M,,472.40M,,,60.40M,,60.40M,,,919.70M,1.452B,200.00M,,200.00M,,,,,544.70M,744.70M,2.197B,,,1.546B,,,,,,1.890B,,,
1996-06,14.20M,,14.20M,,,1.648B,,,,306.30M,,,228.10M,2.196B,,,,,,3.360B,-2.235B,1.125B,,204.50M,204.50M,,,352.40M,1.682B,3.878B,,403.70M,,403.70M,,403.70M,,,49.50M,,49.50M,,,854.30M,1.308B,200.00M,,200.00M,,,,,539.60M,739.60M,2.047B,,,1.493B,,,,,,1.831B,,,
1996-03,99.00M,,99.00M,,,1.599B,,,,303.00M,,,233.50M,2.234B,,,,,,3.334B,-2.241B,1.093B,,206.00M,206.00M,,,283.70M,1.583B,3.818B,,347.00M,,347.00M,,347.00M,,,145.10M,,145.10M,,,807.30M,1.299B,200.00M,,200.00M,,,,,533.80M,733.80M,2.033B,,,1.454B,,,,,,1.784B,,,
1995-12,174.90M,,174.90M,,,1.391B,,,,251.50M,,,232.50M,2.050B,,,,,,3.337B,-2.226B,1.111B,,207.50M,207.50M,,,278.00M,1.597B,3.647B,,357.30M,,357.30M,,357.30M,,,10.00M,,10.00M,,,788.80M,1.156B,200.00M,,200.00M,,,,,540.70M,740.70M,1.897B,,,1.431B,,,,,,1.750B,,,
1995-09,70.80M,,70.80M,,,1.348B,,,,277.40M,,,198.20M,1.894B,,,,,,3.329B,-2.254B,1.074B,,,,,,789.70M,1.864B,3.758B,,319.10M,,319.10M,,319.10M,,,44.70M,,44.70M,,,638.60M,1.002B,231.50M,,231.50M,,,,,555.70M,787.20M,1.790B,,,1.653B,,,,,,1.969B,,,
1995-06,353.70M,,353.70M,,,1.503B,,,,263.50M,,,1.220B,3.340B,,,,,,3.398B,-2.325B,1.074B,,210.50M,210.50M,,,573.60M,1.858B,5.198B,,303.50M,,303.50M,,303.50M,,,26.80M,,26.80M,,,1.632B,1.962B,644.10M,,644.10M,,,,1.50M,586.90M,1.231B,3.193B,,,1.676B,,,,,,2.003B,,,
1995-03,320.20M,,320.20M,,,1.454B,,,,283.60M,,,1.231B,3.289B,,,,,,3.353B,-2.299B,1.054B,,212.00M,212.00M,,,549.00M,1.815B,5.104B,,302.50M,,302.50M,,302.50M,,,21.20M,,21.20M,,,1.604B,1.928B,643.60M,,643.60M,,,,0.70M,569.60M,1.213B,3.141B,,,1.648B,,,,,,1.962B,,,
1994-12,428.10M,,428.10M,,,1.460B,,,,268.90M,,,1.326B,3.483B,,,,,,3.418B,-2.341B,1.077B,,213.40M,213.40M,,,495.30M,1.786B,5.268B,,303.50M,,303.50M,,303.50M,,,30.70M,,30.70M,,,595.40M,929.60M,643.10M,,643.10M,,,,5.20M,1.748B,2.391B,3.321B,,,1.637B,,,,,,1.942B,,,
1994-09,174.20M,,174.20M,,,1.505B,,,,319.30M,,,648.40M,2.647B,,,,,,3.616B,-2.510B,1.107B,,214.90M,214.90M,,,1.192B,2.514B,5.161B,,252.80M,,252.80M,,252.80M,,,,,,,,631.20M,884.00M,642.10M,,642.10M,,,,4.40M,1.782B,2.424B,3.308B,,,1.538B,,,,,,1.848B,,,
1994-06,88.00M,,88.00M,,,1.348B,,,,345.40M,,,641.40M,2.422B,,,,,,3.675B,-2.557B,1.118B,,308.40M,308.40M,,,1.343B,2.769B,5.192B,,292.50M,,292.50M,,292.50M,,,,,,,,599.90M,892.40M,645.20M,,645.20M,,,,5.70M,1.825B,2.47B,3.362B,,,1.515B,,,,,,1.824B,,,
1994-03,82.30M,,82.30M,,,1.563B,,,,376.60M,,,651.40M,2.673B,,,,,,3.72B,-2.581B,1.139B,,304.50M,304.50M,,,1.089B,2.532B,5.205B,,310.70M,,310.70M,,310.70M,,,12.50M,,12.50M,,,559.60M,882.80M,668.50M,,668.50M,,,,4.80M,1.779B,2.447B,3.33B,,,1.563B,,,,,,1.870B,,,
1993-12,48.80M,,48.80M,,,1.556B,,,,369.00M,,,1.31B,3.284B,,,,,,3.676B,-2.523B,1.153B,,219.20M,219.20M,,,747.20M,2.119B,5.403B,,297.40M,,297.40M,,297.40M,,,92.00M,,92.00M,,,651.00M,1.040B,623.90M,,623.90M,,,,3.50M,1.848B,2.472B,3.512B,,,1.574B,,,,,,1.888B,,,
1993-09,177.20M,,177.20M,,,1.601B,,,,385.80M,,,609.20M,2.773B,,,,,,3.904B,-2.654B,1.250B,,291.30M,291.30M,,,533.60M,2.074B,4.848B,,296.90M,,296.90M,,296.90M,,,155.00M,,155.00M,,,561.50M,1.013B,622.30M,,622.30M,,,,4.10M,1.256B,1.878B,2.892B,,,1.644B,,,,,,1.952B,,,
1993-06,121.10M,,121.10M,,,1.634B,,,,399.00M,,,634.10M,2.788B,,,,,,3.835B,-2.529B,1.305B,,251.30M,251.30M,,,568.00M,2.125B,4.913B,,304.80M,,304.80M,,304.80M,,,132.90M,,132.90M,,,548.00M,985.70M,613.10M,,613.10M,,,,5.20M,1.170B,1.783B,2.768B,,,1.833B,,,,,,2.139B,,,
