,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2012-12,7.29B,7.29B,6.236B,1.054B,73.00M,73.00M,,0.00,71.00M,,-73.00M,,73.00M,981.00M,,71.00M,-73.00M,-9.00M,-73.00M,899.00M,307.00M,592.00M,80.00M,,-3.00M,669.00M,589.00M,1.401B,431.00M,970.00M,,0.63,0.09,,,0.63,0.72,,0.63,0.08,,,0.63,0.72,,929.00M,931.00M,0.09,,AOR,Restated
2012-09,7.111B,7.111B,6.09B,1.021B,67.00M,67.00M,,0.00,72.00M,1.00M,-71.00M,,67.00M,954.00M,1.00M,72.00M,-71.00M,-6.00M,-71.00M,877.00M,267.00M,610.00M,-6.00M,,-2.00M,602.00M,608.00M,1.355B,406.00M,949.00M,,0.66,-0.01,,,0.66,0.65,,0.65,-0.01,,,0.65,0.65,,928.00M,930.00M,0.09,,AOR,Restated
2012-06,7.234B,7.234B,5.966B,1.268B,67.00M,67.00M,,0.00,82.00M,2.00M,-80.00M,,67.00M,1.201B,2.00M,82.00M,-80.00M,-17.00M,-80.00M,1.104B,357.00M,747.00M,-8.00M,,-2.00M,737.00M,745.00M,1.592B,406.00M,1.186B,,0.81,-0.01,,,0.81,0.80,,0.80,-0.01,,,0.80,0.79,,924.00M,926.00M,0.09,,AOR,Restated
2012-03,6.868B,6.868B,5.477B,1.391B,68.00M,68.00M,,-300.00M,76.00M,2.00M,-74.00M,,68.00M,1.323B,2.00M,76.00M,-74.00M,-307.00M,-74.00M,942.00M,304.00M,638.00M,-8.00M,,-3.00M,627.00M,838.18M,1.403B,385.00M,1.018B,,0.69,-0.01,,,0.9101,0.68,,0.69,-0.01,,,0.9094,0.68,,923.00M,926.00M,0.09,,AOR,Restated
2011-12,7.064B,7.064B,5.567B,1.497B,,67.00M,,18.00M,70.00M,1.00M,-69.00M,,67.00M,1.43B,1.00M,70.00M,-69.00M,-7.00M,-69.00M,1.354B,447.00M,907.00M,0.00,,-1.00M,906.00M,893.94M,1.936B,512.00M,1.424B,,0.98,0.00,,,0.9669,0.98,,0.98,0.00,,,0.9669,0.98,,921.00M,922.00M,0.09,,AOR,Restated
2011-09,6.548B,6.548B,5.137B,1.411B,,79.00M,,-9.00M,63.00M,1.00M,-62.00M,,79.00M,1.332B,1.00M,63.00M,-62.00M,-9.00M,-62.00M,1.261B,411.00M,850.00M,-165.00M,,-2.00M,683.00M,854.07M,1.664B,340.00M,1.324B,,0.92,-0.18,,,0.9266,0.74,,0.92,-0.18,,,0.9266,0.74,,920.00M,925.00M,0.09,,AOR,Restated
2011-06,5.935B,5.935B,4.709B,1.226B,,65.00M,,-5.00M,65.00M,2.00M,-63.00M,,65.00M,1.161B,2.00M,65.00M,-63.00M,-5.00M,-63.00M,1.093B,352.00M,741.00M,0.00,,-2.00M,739.00M,742.39M,1.489B,331.00M,1.158B,,0.81,0.00,,,0.8137,0.81,,0.80,0.00,,,0.8037,0.80,,916.00M,921.00M,0.09,,AOR,Restated
2011-03,5.282B,5.282B,4.398B,884.00M,,70.00M,,-4.00M,70.00M,1.00M,-69.00M,,70.00M,814.00M,1.00M,70.00M,-69.00M,-4.00M,-69.00M,741.00M,229.00M,512.00M,-1.00M,,0.00,511.00M,514.76M,1.131B,320.00M,811.00M,,0.56,0.00,,,0.5630,0.56,,0.56,0.00,,,0.5630,0.56,,914.00M,919.00M,0.09,,AOR,Restated
2010-12,5.16B,5.16B,4.118B,1.042B,,62.00M,,,77.00M,8.00M,-69.00M,,62.00M,980.00M,8.00M,77.00M,-69.00M,-1.00M,-69.00M,910.00M,283.00M,627.00M,-20.00M,,-2.00M,605.00M,625.00M,1.289B,302.00M,987.00M,,0.69,-0.03,,,0.69,0.66,,0.68,-0.03,,,0.68,0.66,,911.00M,914.00M,0.09,,AOR,Restated
2010-09,4.665B,4.665B,3.785B,880.00M,,62.00M,,-7.00M,85.00M,9.00M,-76.00M,,62.00M,818.00M,9.00M,85.00M,-76.00M,-7.00M,-76.00M,735.00M,249.00M,486.00M,59.00M,,-1.00M,544.00M,489.63M,1.104B,284.00M,820.00M,,0.53,0.07,,,0.5351,0.60,,0.53,0.07,,,0.5351,0.60,,910.00M,912.00M,0.09,,AOR,
