,NetIncome,GainandLossonSaleofPPE,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",AmortizationofSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2009-09,269.90M,5.60M,,-38.80M,-33.20M,22.00M,8.70M,30.70M,30.70M,61.50M,,61.50M,-91.10M,-5.80M,37.60M,,,-5.10M,158.10M,487.00M,-12.00M,0.20M,-11.80M,,-396.70M,,-408.50M,0.00,,0.00,,-73.40M,-73.40M,,,,,0.00,4.00M,2.70M,-66.70M,160.70M,11.80M,0.00,172.50M,,,0.00,-73.40M
2009-06,250.10M,1.50M,,-15.90M,-14.40M,22.60M,10.00M,32.60M,32.60M,58.40M,,58.40M,-28.20M,-1.80M,-107.30M,,,-0.20M,60.00M,386.70M,-17.10M,0.60M,-16.50M,,-334.00M,,-350.50M,,,,,-14.90M,-14.90M,,,,,0.00,3.40M,1.50M,-10.00M,134.50M,26.20M,0.00,160.70M,,,,-14.90M
2009-03,232.50M,,,73.40M,73.40M,20.60M,9.30M,29.90M,29.90M,59.90M,,59.90M,-108.20M,1.60M,229.10M,,,18.00M,145.70M,541.40M,-21.20M,0.20M,-21.00M,,-386.40M,,-407.40M,,,,,-5.10M,-5.10M,,,,,0.00,4.00M,-1.30M,-2.40M,2.90M,131.60M,0.00,134.50M,,,,-5.10M
2008-12,159.30M,0.10M,,59.30M,59.40M,27.00M,8.70M,35.70M,35.70M,61.30M,,61.30M,176.20M,1.10M,275.20M,,,-401.90M,-205.00M,110.70M,-23.00M,0.30M,-22.70M,,-99.80M,,-122.50M,,,,,-1.90M,-1.90M,,,,,0.00,7.30M,2.70M,8.10M,6.60M,-3.70M,,2.90M,,,,-1.90M
2008-09,-684.20M,0.50M,,1.373B,1.374B,24.10M,9.80M,33.90M,33.90M,62.10M,,62.10M,-69.30M,-0.40M,-475.00M,,,0.80M,-286.90M,498.80M,-24.20M,0.80M,-23.40M,,-480.00M,,-503.40M,,,,,0.00,0.00,,,,,0.00,0.90M,0.40M,1.30M,9.90M,-3.30M,,6.60M,,,,0.00
2008-06,215.50M,0.50M,,44.60M,45.10M,24.20M,9.50M,33.70M,33.70M,56.30M,,56.30M,-12.30M,3.80M,-19.50M,,,10.00M,127.70M,478.30M,-27.10M,0.00,-27.10M,,-402.00M,,-429.10M,,,,,-61.40M,-61.40M,,,,,0.00,9.70M,3.90M,-47.80M,8.50M,1.40M,,9.90M,,,,-61.40M
2008-03,239.40M,0.50M,,-32.20M,-31.70M,23.80M,6.50M,30.30M,30.30M,69.90M,,69.90M,-108.10M,2.90M,118.10M,,,28.60M,153.50M,461.40M,-24.20M,0.00,-24.20M,,-233.30M,,-257.50M,,,,,-116.10M,-116.10M,,,,,-98.30M,9.10M,4.10M,-201.20M,5.80M,2.70M,,8.50M,,,,-116.10M
2007-12,236.10M,0.10M,,-31.10M,-31.00M,26.80M,5.70M,32.50M,32.50M,75.60M,,75.60M,218.90M,8.30M,-123.70M,-45.20M,,2.40M,-199.40M,113.80M,-37.50M,0.30M,-37.20M,,265.10M,,227.90M,0.00,,0.00,,-363.30M,-363.30M,,,,,0.00,14.10M,5.60M,-343.60M,7.70M,-1.90M,,5.80M,,0.00,,-363.30M
2007-09,299.20M,0.30M,,-58.50M,-58.20M,27.10M,4.90M,32.00M,32.00M,75.30M,,75.30M,3.30M,6.70M,-24.50M,14.90M,,5.90M,125.40M,473.70M,-30.20M,0.10M,-30.10M,,1.513B,,1.483B,0.00,,0.00,,-561.70M,-561.70M,,,,,-1.406B,3.90M,1.70M,-1.963B,14.00M,-6.30M,,7.70M,,0.00,,-561.70M
2007-06,283.70M,,,-16.70M,-16.70M,26.80M,15.90M,42.70M,42.70M,67.20M,,150.40M,-24.20M,3.90M,119.70M,,,-273.50M,173.40M,567.50M,-35.00M,0.40M,-34.60M,,-1.136B,-124.60M,-1.295B,1.022B,,1.022B,-6.50M,-300.30M,-306.80M,,,,,0.00,12.80M,3.70M,731.40M,9.90M,4.10M,,14.00M,-6.50M,1.022B,,-300.30M
2007-03,363.50M,,,,,26.20M,,26.20M,26.20M,66.00M,,-17.20M,-94.90M,0.80M,30.90M,,,260.70M,197.50M,636.00M,-33.60M,1.20M,-32.40M,,-411.80M,124.60M,-319.60M,,,,6.50M,-323.10M,-316.60M,,,,,,,4.50M,-312.10M,5.60M,4.30M,,9.90M,6.50M,,,-323.10M
2006-12,401.80M,,,,,27.40M,,27.40M,27.40M,62.70M,,0.20M,153.60M,8.60M,-129.40M,,,-303.50M,-270.70M,221.40M,-67.00M,1.40M,-65.60M,,233.70M,-46.10M,122.00M,0.00,,0.00,11.80M,-369.00M,-357.20M,,,,,-6.50M,,11.40M,-352.30M,14.50M,-8.90M,,5.60M,11.80M,,0.00,-369.00M
2006-09,409.60M,,,,,26.80M,,26.80M,26.80M,58.40M,,3.40M,-33.60M,5.70M,33.60M,,,-46.60M,-40.90M,457.30M,-73.60M,9.20M,-64.40M,,89.50M,-143.20M,-118.10M,0.00,,0.00,6.20M,-346.70M,-340.50M,,,,,-6.80M,,5.00M,-342.30M,17.60M,-3.10M,,14.50M,6.20M,,0.00,-346.70M
2006-06,400.40M,,,,,25.00M,,25.00M,25.00M,52.20M,,29.40M,-12.10M,-3.30M,78.20M,,,72.40M,135.20M,642.20M,-105.70M,4.80M,-100.90M,,-321.50M,135.40M,-287.00M,-100.00M,,-100.00M,14.30M,-267.50M,-253.20M,,,,,-5.90M,,10.90M,-348.20M,10.60M,7.00M,,17.60M,14.30M,,-100.00M,-267.50M
2006-03,436.60M,,,,,24.20M,,24.20M,24.20M,52.30M,,4.30M,-133.50M,3.20M,24.70M,,,291.90M,186.30M,703.70M,-88.00M,0.00,-88.00M,,-333.40M,-62.70M,-484.10M,,,,11.00M,-231.30M,-220.30M,,,,,-5.80M,,11.50M,-214.60M,5.60M,5.00M,,10.60M,11.00M,,,-231.30M
