,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,TotalLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2007-06,2.331B,,2.331B,4.867B,,,4.867B,,,4.31B,,,191.00M,11.70B,,,30.25B,-14.21B,16.04B,1.393B,176.00M,1.569B,,,,4.30B,21.91B,33.60B,,2007-06,,6.722B,742.00M,7.464B,,,,421.00M,421.00M,641.00M,641.00M,287.00M,8.813B,,4.237B,4.237B,1.935B,1.935B,,,,,17.79B,,2007-06,736.00M,13.06B,,-402.00M,15.82B,,2007-06,,
2007-03,2.347B,,2.347B,4.237B,,,4.237B,,,3.536B,,,217.00M,10.34B,,,30.84B,-13.87B,16.96B,1.396B,179.00M,1.575B,,,,2.521B,21.06B,31.40B,,2007-03,,6.063B,641.00M,6.704B,,,,873.00M,873.00M,643.00M,643.00M,629.00M,8.849B,,2.654B,2.654B,1.893B,1.893B,,,546.00M,,16.06B,,2007-03,368.00M,11.67B,,-322.00M,14.79B,,2007-03,,
2006-12,2.585B,,2.585B,4.209B,,,4.209B,,,3.173B,,,129.00M,10.10B,,,30.23B,-13.57B,16.65B,1.398B,180.00M,1.578B,,,,2.504B,20.74B,30.83B,,2006-12,,5.863B,1.096B,6.959B,,,,471.00M,471.00M,631.00M,631.00M,,8.061B,,3.061B,3.061B,1.897B,1.897B,,,518.00M,,15.71B,,2006-12,736.00M,11.09B,,-368.00M,14.61B,,2006-12,,
2006-09,2.797B,,2.797B,3.877B,,73.00M,3.95B,,,4.039B,,,160.00M,10.95B,,,29.04B,-13.24B,15.81B,1.286B,236.00M,1.522B,,,,2.555B,19.88B,30.83B,,2006-09,,5.619B,881.00M,6.50B,,,,460.00M,460.00M,457.00M,457.00M,774.00M,8.191B,,3.23B,3.23B,2.124B,2.124B,,,499.00M,,15.88B,,2006-09,368.00M,10.15B,,-112.00M,14.45B,,2006-09,,
2006-06,3.026B,,3.026B,4.21B,,79.00M,4.289B,,,3.817B,,,173.00M,11.30B,,,28.01B,-12.90B,15.11B,1.286B,192.00M,1.478B,,,,2.557B,19.14B,30.45B,,2006-06,,6.14B,1.101B,7.241B,,,,456.00M,456.00M,438.00M,438.00M,641.00M,8.776B,,3.224B,3.224B,2.114B,2.114B,,,479.00M,,16.48B,,2006-06,368.00M,8.672B,,-132.00M,13.49B,,2006-06,,
2006-03,1.269B,,1.269B,3.614B,,75.00M,3.689B,,,3.409B,,,218.00M,8.585B,,,27.93B,-12.75B,15.19B,1.307B,196.00M,1.503B,,,,2.53B,19.22B,27.80B,,2006-03,,5.194B,895.00M,6.089B,,,,15.00M,15.00M,466.00M,466.00M,606.00M,7.176B,,3.687B,3.687B,2.033B,2.033B,,,471.00M,,15.17B,,2006-03,367.00M,7.068B,,-141.00M,12.16B,,2006-03,,
2005-12,2.617B,,2.617B,3.476B,,58.00M,3.534B,,,3.041B,,,191.00M,9.383B,,,27.40B,-12.38B,15.01B,,1.507B,1.507B,,,,2.597B,19.12B,28.50B,,2005-12,,5.353B,878.00M,6.231B,,,,315.00M,315.00M,450.00M,450.00M,1.158B,8.154B,,3.698B,3.698B,2.03B,2.03B,,,435.00M,,16.36B,,2005-12,367.00M,6.406B,,-171.00M,11.70B,,2005-12,,
2005-09,1.043B,,1.043B,3.808B,,123.00M,3.931B,,,3.338B,,,211.00M,8.523B,,,25.76B,-12.06B,13.70B,,1.134B,1.134B,,,,2.624B,17.46B,25.98B,,2005-09,,5.194B,628.00M,5.822B,,,,601.00M,601.00M,496.00M,496.00M,337.00M,7.256B,,3.728B,3.728B,1.777B,1.777B,,,417.00M,,14.93B,,2005-09,367.00M,5.261B,,-69.00M,10.64B,,2005-09,,
2005-06,3.462B,,3.462B,2.638B,,57.00M,2.695B,,,3.523B,,,256.00M,9.936B,,,25.04B,-11.76B,13.28B,,1.231B,1.231B,,,,2.649B,17.16B,27.10B,,2005-06,,5.136B,517.00M,5.653B,2.51B,,313.00M,2.823B,2.823B,561.00M,561.00M,269.00M,9.306B,,3.743B,3.743B,1.79B,1.79B,,,236.00M,,16.90B,,2005-06,366.00M,4.613B,,-71.00M,9.957B,,2005-06,,
2005-03,3.191B,,3.191B,3.109B,,101.00M,3.21B,,,2.273B,,,308.00M,8.982B,,,24.74B,-12.72B,12.02B,,358.00M,358.00M,,,,2.355B,14.73B,23.71B,,2005-03,,4.416B,456.00M,4.872B,,,,17.00M,17.00M,,,321.00M,5.21B,,4.032B,4.032B,1.534B,1.534B,,,2.803B,,12.53B,,2005-03,348.00M,4.036B,,-85.00M,8.377B,,2005-03,,
2004-12,3.369B,,3.369B,3.146B,,89.00M,3.235B,,,1.995B,,,267.00M,8.866B,,,24.24B,-12.43B,11.81B,,360.00M,360.00M,,,,2.387B,14.56B,23.42B,,2004-12,,4.43B,489.00M,4.919B,,,,16.00M,16.00M,,,318.00M,5.253B,,4.057B,4.057B,1.553B,1.553B,,,2.69B,,12.62B,,2004-12,347.00M,3.81B,,-73.00M,8.111B,,2004-12,,
2004-09,2.492B,,2.492B,2.828B,,145.00M,2.973B,,,2.327B,,,223.00M,8.015B,,,23.41B,-12.13B,11.28B,252.00M,110.00M,362.00M,,,,2.408B,14.06B,22.07B,,2004-09,,4.019B,302.00M,4.321B,,,,16.00M,16.00M,,,294.00M,4.631B,,4.067B,4.067B,1.474B,1.474B,,,2.495B,,11.89B,,2004-09,347.00M,3.478B,,-150.00M,7.689B,,2004-09,,
2004-06,2.214B,,2.214B,2.817B,,256.00M,3.073B,,,2.146B,,,182.00M,7.615B,,,22.93B,-11.87B,11.06B,252.00M,112.00M,364.00M,,,,2.436B,13.86B,21.48B,,2004-06,,3.684B,398.00M,4.082B,,,,22.00M,22.00M,,,248.00M,4.352B,,4.05B,4.05B,1.504B,1.504B,,,2.339B,,11.60B,,2004-06,347.00M,3.343B,,-146.00M,7.542B,,2004-06,,
2004-03,2.08B,,2.08B,2.43B,,79.00M,2.509B,,,2.202B,,,147.00M,6.938B,,,22.48B,-11.60B,10.88B,252.00M,115.00M,367.00M,,,,2.309B,13.55B,20.49B,,2004-03,,3.288B,381.00M,3.669B,76.00M,,22.00M,98.00M,98.00M,,,214.00M,3.981B,,4.106B,4.106B,1.473B,1.473B,,,2.029B,,11.19B,,2004-03,347.00M,3.077B,,-129.00M,7.272B,,2004-03,,
2003-12,1.396B,,1.396B,2.389B,,141.00M,2.53B,,,1.955B,,,163.00M,6.044B,,,22.19B,-11.36B,10.83B,,370.00M,370.00M,,,,2.238B,13.44B,19.48B,,2003-12,,3.352B,332.00M,3.684B,,,,272.00M,272.00M,,,251.00M,4.207B,,4.085B,4.085B,1.489B,1.489B,,,2.011B,,11.40B,,2003-12,312.00M,2.897B,,-121.00M,6.075B,,2003-12,,
2003-09,441.00M,,441.00M,2.276B,,74.00M,2.35B,,,2.163B,,,211.00M,5.165B,,,21.98B,-11.24B,10.75B,256.00M,114.00M,370.00M,,,,2.772B,13.89B,19.06B,,2003-09,,3.017B,440.00M,3.457B,,,,286.00M,286.00M,,,323.00M,4.066B,,4.10B,4.10B,1.387B,1.387B,,,2.134B,,11.22B,,2003-09,312.00M,2.489B,,-74.00M,5.706B,,2003-09,,
2003-06,501.00M,,501.00M,2.255B,,66.00M,2.321B,,,2.134B,,,128.00M,5.084B,,,22.45B,-11.40B,11.05B,271.00M,115.00M,386.00M,,,,2.343B,13.78B,18.86B,,2003-06,,3.06B,477.00M,3.537B,,,,434.00M,434.00M,,,219.00M,4.19B,,4.101B,4.101B,1.485B,1.485B,,,2.088B,,11.29B,,2003-06,312.00M,2.286B,,-95.00M,5.482B,,2003-06,,
2003-03,565.00M,,565.00M,2.421B,,73.00M,2.494B,,,2.053B,,,268.00M,5.38B,,,21.68B,-11.29B,10.39B,273.00M,117.00M,390.00M,,,,2.578B,13.36B,18.74B,,2003-03,,3.383B,535.00M,3.918B,,,,435.00M,435.00M,,,211.00M,4.564B,,4.014B,4.014B,1.424B,1.424B,,,1.992B,,11.43B,,2003-03,312.00M,2.109B,,-76.00M,5.319B,,2003-03,,
2002-12,488.00M,,488.00M,1.807B,,47.00M,1.854B,,,1.984B,,,153.00M,4.479B,,,21.47B,-11.08B,10.39B,274.00M,119.00M,393.00M,,,,2.55B,13.33B,17.81B,,2002-12,,2.847B,415.00M,3.262B,,,,161.00M,161.00M,,,236.00M,3.659B,,4.41B,4.41B,1.445B,1.445B,,,1.971B,,10.76B,,2002-12,312.00M,1.874B,,-76.00M,5.082B,,2002-12,,
2002-09,375.00M,,375.00M,1.843B,,,1.843B,,,2.075B,,,164.00M,4.457B,,,21.01B,-10.82B,10.19B,275.00M,97.00M,372.00M,,,,2.52B,13.08B,17.54B,,2002-09,,2.587B,435.00M,3.022B,,,,161.00M,161.00M,,,192.00M,3.375B,,4.579B,4.579B,1.429B,1.429B,,,2.028B,,10.50B,,2002-09,312.00M,1.751B,,-22.00M,5.013B,,2002-09,,
2002-06,295.00M,,295.00M,2.088B,,,2.088B,,,2.077B,,,190.00M,4.65B,,,20.74B,-10.59B,10.15B,272.00M,55.00M,327.00M,,,,2.514B,12.99B,17.64B,,2002-06,,2.62B,436.00M,3.056B,47.00M,,72.00M,119.00M,119.00M,,,184.00M,3.359B,,4.731B,4.731B,1.393B,1.393B,,,2.062B,,10.58B,,2002-06,312.00M,1.736B,,-22.00M,4.999B,,2002-06,,
2002-03,237.00M,,237.00M,1.831B,,,1.831B,,,1.991B,,13.00M,178.00M,4.25B,,,20.67B,-10.65B,10.03B,256.00M,56.00M,312.00M,,,,2.428B,12.77B,17.02B,,2002-03,,2.54B,323.00M,2.863B,23.00M,,216.00M,239.00M,239.00M,,,241.00M,3.343B,,4.341B,4.341B,1.368B,1.368B,,,1.976B,,10.14B,,2002-03,312.00M,1.64B,,-10.00M,4.905B,,2002-03,,
2001-12,657.00M,,657.00M,1.772B,,,1.772B,,,1.851B,,13.00M,118.00M,4.411B,,,19.94B,-10.38B,9.552B,88.00M,61.00M,149.00M,,,,2.017B,11.72B,16.13B,,2001-12,,2.431B,256.00M,2.687B,,,,215.00M,215.00M,,,566.00M,3.468B,,3.432B,3.432B,1.297B,1.297B,,,1.963B,,9.226B,,2001-12,312.00M,1.643B,,24.00M,4.94B,,2001-12,,
2001-09,512.00M,,512.00M,2.132B,,,2.132B,,,1.957B,,35.00M,161.00M,4.797B,,,19.58B,-10.20B,9.382B,,,,,,,1.662B,11.04B,15.84B,,2001-09,,2.672B,391.00M,3.063B,91.00M,,,91.00M,91.00M,,,579.00M,3.733B,,1.518B,1.518B,1.357B,1.357B,,,2.029B,184.00M,7.836B,,2001-09,,,,5.976B,5.976B,,2001-09,,
2001-06,469.00M,,469.00M,2.187B,,,2.187B,,,2.01B,,63.00M,106.00M,4.835B,,,19.98B,-10.10B,9.879B,,,,,,,1.29B,11.17B,16.00B,,2001-06,,2.774B,397.00M,3.171B,127.00M,,212.00M,339.00M,339.00M,,,495.00M,4.005B,,1.588B,1.588B,1.361B,1.361B,,,2.01B,184.00M,8.16B,,2001-06,,,,5.834B,5.834B,,2001-06,,
2001-03,411.00M,,411.00M,2.149B,,,2.149B,,,2.04B,,60.00M,99.00M,4.759B,,,19.81B,-9.914B,9.90B,,,,,,,1.273B,11.17B,15.93B,,2001-03,,2.80B,464.00M,3.264B,236.00M,,168.00M,404.00M,404.00M,,,334.00M,4.002B,,2.073B,2.073B,1.43B,1.43B,,,1.938B,184.00M,8.684B,,2001-03,,,,5.31B,5.31B,,2001-03,,
2000-12,340.00M,,340.00M,2.267B,,,2.267B,,,1.867B,,,511.00M,4.985B,,,19.07B,-9.691B,9.375B,,,,,,,872.00M,10.25B,15.23B,,2000-12,,3.021B,,3.021B,,,,148.00M,148.00M,,,843.00M,4.012B,,1.937B,1.937B,1.354B,1.354B,,,1.84B,184.00M,8.547B,,2000-12,,,,4.845B,4.845B,,2000-12,,
2000-09,165.00M,,165.00M,2.212B,,,2.212B,,,2.03B,,,291.00M,4.698B,,,21.14B,-10.84B,10.30B,,,,,,,1.373B,11.68B,16.38B,,2000-09,,2.888B,,2.888B,,,,339.00M,339.00M,,,494.00M,3.721B,,2.445B,2.445B,1.814B,1.814B,,,1.922B,184.00M,9.154B,,2000-09,,,,5.30B,5.30B,,2000-09,,
2000-06,162.00M,,162.00M,2.167B,,,2.167B,,,2.12B,,,307.00M,4.756B,,,21.12B,-10.82B,10.30B,,,,,,,1.363B,11.66B,16.42B,,2000-06,,2.843B,,2.843B,,,,134.00M,134.00M,,,589.00M,3.566B,,2.911B,2.911B,1.53B,1.53B,,,1.943B,184.00M,9.189B,,2000-06,,,,5.289B,5.289B,,2000-06,,
2000-03,102.00M,,102.00M,1.837B,,,1.837B,,,1.918B,,,195.00M,4.052B,,,21.12B,-10.78B,10.34B,,,,,,,1.377B,11.72B,15.77B,,2000-03,,2.551B,,2.551B,,,,39.00M,39.00M,,,420.00M,3.01B,,3.256B,3.256B,1.515B,1.515B,,,1.811B,184.00M,8.974B,,2000-03,,,,4.987B,4.987B,,2000-03,,
1999-12,111.00M,,111.00M,1.866B,,,1.866B,,,1.884B,,,241.00M,4.102B,,,20.86B,-10.57B,10.29B,,,,,,,1.31B,11.60B,15.70B,,1999-12,,2.659B,,2.659B,,,,48.00M,48.00M,,,442.00M,3.149B,,3.32B,3.32B,1.495B,1.495B,,,1.753B,184.00M,9.152B,,1999-12,,,,4.80B,4.80B,,1999-12,,
1999-09,87.00M,,87.00M,1.686B,,,1.686B,,,1.919B,,,310.00M,4.002B,,,20.82B,-10.62B,10.20B,,,,,,,1.215B,11.41B,15.41B,,1999-09,,2.313B,,2.313B,,,,110.00M,110.00M,,,380.00M,2.803B,,3.497B,3.497B,1.533B,1.533B,,,1.773B,184.00M,8.991B,,1999-09,,,,4.649B,4.649B,,1999-09,,
1999-06,79.00M,,79.00M,1.296B,,,1.296B,,,1.839B,,,311.00M,3.525B,,,20.78B,-10.56B,10.22B,,,,,,,1.156B,11.38B,14.90B,,1999-06,,1.94B,,1.94B,,,,199.00M,199.00M,,,395.00M,2.534B,,3.568B,3.568B,1.482B,1.482B,,,1.744B,184.00M,8.721B,,1999-06,,,,,4.44B,,1999-06,,
1999-03,59.00M,,59.00M,1.14B,,,1.14B,,,1.714B,,,452.00M,3.365B,,,20.63B,-10.42B,10.22B,,,,,,,1.089B,11.30B,14.67B,,1999-03,,1.853B,,1.853B,,,,129.00M,129.00M,,,315.00M,2.297B,,3.706B,3.706B,1.466B,1.466B,,,1.735B,184.00M,8.567B,,1999-03,,,,,4.368B,,1999-03,,
1998-12,137.00M,,137.00M,1.277B,,,1.277B,,,1.31B,,,252.00M,2.976B,,,20.73B,-10.30B,10.43B,,,,,,,1.139B,11.57B,14.54B,,1998-12,,1.98B,,1.98B,,,,191.00M,191.00M,,,439.00M,2.61B,,3.456B,3.456B,1.45B,1.45B,,,1.59B,184.00M,8.642B,,1998-12,,,,,4.312B,,1998-12,,
1998-09,465.00M,,465.00M,1.507B,,,1.507B,,,1.624B,,,169.00M,3.765B,,,20.32B,-10.10B,10.22B,,,,,,,1.135B,11.36B,15.12B,,1998-09,,2.223B,,2.223B,,,,299.00M,299.00M,,,350.00M,2.872B,,4.055B,4.055B,1.447B,1.447B,,,1.726B,184.00M,9.46B,,1998-09,,,,,3.937B,,1998-09,,
1998-06,550.00M,,550.00M,1.327B,,,1.327B,,,1.75B,,,546.00M,4.173B,,,19.02B,-9.926B,9.097B,,,,,,,1.131B,10.23B,14.40B,,1998-06,,2.222B,,2.222B,,,,788.00M,788.00M,,,419.00M,3.429B,,2.879B,2.879B,1.396B,1.396B,,,1.737B,184.00M,8.771B,,1998-06,,,,,3.893B,,1998-06,,
