,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,EBITDA,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2002-06,6.995B,7.039B,6.013B,1.026B,,184.00M,,-69.00M,68.00M,,,-42.00M,528.00M,498.00M,,,-37.00M,,258.00M,90.00M,168.00M,,,-82.00M,,816.00M,308.00M,498.00M,,2002-06,,,0.3425,0.27,,0.00,,,,2002-06,619.61M,620.14M,0.115,,2002-06,,
2002-03,5.423B,5.468B,4.818B,650.00M,,187.00M,,92.00M,64.00M,,,-71.00M,482.00M,168.00M,,,116.00M,,93.00M,39.00M,54.00M,,13.00M,-11.00M,,470.00M,294.00M,168.00M,,2002-03,0.00,,0.0008,0.11,,0.02,0.0210,,,2002-03,619.14M,619.67M,0.115,,2002-03,,
2001-12,5.454B,5.716B,4.741B,975.00M,,208.00M,,191.00M,50.00M,,,,605.00M,370.00M,,,191.00M,,278.00M,138.00M,140.00M,-1.214B,0.00,-54.00M,,692.00M,322.00M,370.00M,,2001-12,0.00,,0.0398,-1.465,,-1.69,0.0000,,,2001-12,618.86M,619.37M,0.115,,2001-12,,
2001-09,7.362B,7.362B,6.078B,1.284B,,175.00M,,-166.00M,64.00M,,,166.00M,707.00M,577.00M,,,-166.00M,,304.00M,120.00M,184.00M,-14.00M,,-223.00M,,879.00M,302.00M,577.00M,,2001-09,,,0.4574,0.275,,-0.02,,,,2001-09,618.62M,619.85M,0.115,,2001-09,,
2001-06,7.981B,8.036B,6.22B,1.816B,,186.00M,,55.00M,71.00M,,,,563.00M,1.253B,,,55.00M,,891.00M,311.00M,580.00M,-28.00M,,-320.00M,,1.559B,306.00M,1.253B,,2001-06,,,0.8821,0.94,,0.00,,,,2001-06,618.20M,619.25M,0.115,,2001-06,,
2001-03,7.569B,7.684B,6.244B,1.44B,,145.00M,,115.00M,84.00M,,,,532.00M,908.00M,,,115.00M,,759.00M,258.00M,501.00M,16.00M,-8.00M,-107.00M,,1.211B,303.00M,908.00M,,2001-03,0.00,,0.6871,0.795,,-0.015,-0.0130,,,2001-03,617.51M,618.15M,0.115,,2001-03,,
2000-12,7.481B,7.481B,6.311B,1.17B,,228.00M,,-1.299B,76.00M,,,,1.257B,-87.00M,,,-1.218B,,-653.00M,-331.00M,-322.00M,,,-125.00M,,431.00M,518.00M,-87.00M,,2000-12,,,0.7424,-0.515,,0.00,,,,2000-12,619.84M,620.46M,0.115,,2000-12,,
2000-09,8.107B,8.107B,6.974B,1.133B,,151.00M,,59.00M,71.00M,,,,463.00M,670.00M,,,59.00M,,561.00M,440.00M,121.00M,,,-115.00M,,911.00M,241.00M,670.00M,,2000-09,,,0.1332,0.19,,0.00,,,,2000-09,623.69M,624.19M,0.115,,2000-09,,
2000-06,7.755B,7.755B,6.493B,1.262B,,124.00M,,30.00M,68.00M,,,,432.00M,830.00M,,,30.00M,,589.00M,222.00M,367.00M,,,-203.00M,,1.07B,240.00M,830.00M,,2000-06,,,0.5601,0.59,,0.00,,,,2000-06,624.47M,624.86M,0.105,,2000-06,,
2000-03,6.807B,6.807B,5.95B,857.00M,,134.00M,,115.00M,67.00M,,,,447.00M,410.00M,,,115.00M,,399.00M,145.00M,254.00M,,,-55.00M,,656.00M,246.00M,410.00M,,2000-03,,,0.2877,0.405,,0.00,,,,2000-03,624.26M,624.57M,0.105,,2000-03,,
1999-12,6.411B,6.411B,5.654B,757.00M,,111.00M,,44.00M,68.00M,,,,451.00M,306.00M,,,44.00M,,238.00M,67.00M,171.00M,,,-42.00M,,578.00M,272.00M,306.00M,,1999-12,,,0.2235,0.2742,,,,,,1999-12,623.53M,623.53M,0.105,,1999-12,,
1999-09,5.457B,5.457B,4.661B,796.00M,,121.00M,,162.00M,57.00M,,,,397.00M,399.00M,,,162.00M,,341.00M,111.00M,230.00M,,,-148.00M,,618.00M,219.00M,399.00M,,1999-09,,,0.1934,0.37,,0.00,,,,1999-09,618.78M,619.62M,0.105,,1999-09,,
1999-06,4.444B,4.444B,3.728B,716.00M,,132.00M,,100.00M,63.00M,,,,417.00M,299.00M,,,100.00M,,216.00M,82.00M,134.00M,,,-112.00M,,521.00M,222.00M,299.00M,,1999-06,,,0.1146,0.215,,0.00,,,,1999-06,618.11M,618.92M,0.105,,1999-06,,
1999-03,3.927B,3.927B,3.468B,459.00M,,122.00M,,360.00M,57.00M,,,,416.00M,43.00M,,,360.00M,,183.00M,64.00M,119.00M,,,-145.00M,,280.00M,237.00M,43.00M,,1999-03,,,-0.1888,0.19,,0.00,,,,1999-03,618.06M,618.39M,0.105,,1999-03,,
1998-12,4.36B,4.36B,3.86B,500.00M,,122.00M,,-219.00M,51.00M,,,,413.00M,87.00M,,,-219.00M,,-170.00M,-84.00M,-86.00M,,,33.00M,,327.00M,240.00M,87.00M,,1998-12,,,0.0736,-0.1394,,,,,,1998-12,616.92M,616.92M,0.105,,1998-12,,
1998-09,4.684B,4.684B,4.034B,650.00M,,132.00M,,-36.00M,46.00M,,,,400.00M,250.00M,,,-36.00M,,82.00M,31.00M,51.00M,,,-70.00M,,472.00M,222.00M,250.00M,,1998-09,,,0.1284,0.09,,0.00,,,,1998-09,582.64M,583.61M,0.105,,1998-09,,
1998-06,4.641B,4.641B,3.84B,801.00M,,120.00M,,35.00M,56.00M,,,,385.00M,416.00M,,,35.00M,,246.00M,84.00M,162.00M,,,-158.00M,,625.00M,209.00M,416.00M,,1998-06,,,0.2402,0.28,,0.00,,,,1998-06,579.18M,580.53M,0.105,,1998-06,,
