,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2002-07,1.460B,1.460B,853.54M,606.14M,104.22M,89.55M,193.78M,275.95M,,,,,,,469.73M,136.41M,,,,,,163.44M,48.22M,115.23M,,115.23M,236.11M,99.70M,136.41M,,0.00,,0.07,0.07,,0.00,,0.07,2002-07,1.647B,1.703B,,,2002-07,,
2002-04,1.156B,1.156B,693.73M,462.74M,90.08M,76.42M,166.50M,256.88M,,,,,,,423.38M,39.36M,,,,,,73.80M,21.77M,52.03M,,52.03M,136.20M,96.84M,39.36M,,0.00,,0.03,0.03,,0.00,,0.03,2002-04,1.643B,1.720B,,,2002-04,,
2002-01,1.000B,1.000B,615.01M,385.45M,83.80M,70.04M,153.85M,246.80M,,-85.48M,,,,85.48M,486.12M,-100.67M,,,,-85.48M,,-64.53M,-19.04M,-45.50M,,14.77M,-8.816M,91.86M,-100.67M,,0.00,,0.0068,-0.03,,0.00,,0.0068,2002-01,1.636B,1.636B,,,2002-01,,
2001-10,1.265B,1.265B,795.97M,468.71M,,,206.26M,272.55M,,-148.60M,,,,148.60M,627.40M,-158.70M,,,,-148.60M,,-116.76M,-34.44M,-82.32M,,22.45M,-54.45M,104.24M,-158.70M,,0.005,,0.0092,-0.05,,0.005,,0.0071,2001-10,1.632B,1.686B,,,2001-10,,
2001-07,1.576B,1.576B,920.29M,655.61M,125.98M,114.37M,240.35M,277.33M,,-14.15M,,,,14.15M,531.83M,123.78M,,,,-14.15M,,167.23M,52.28M,114.94M,,124.67M,221.50M,97.72M,123.78M,,0.00,,0.0760,0.07,,0.00,,0.0757,2001-07,1.630B,1.708B,,,2001-07,,
2001-04,2.139B,2.139B,1.154B,984.97M,119.75M,89.76M,209.52M,312.61M,,-58.41M,,,,58.41M,580.54M,404.43M,,,,-58.41M,,445.94M,127.57M,318.38M,,360.08M,497.61M,93.17M,404.43M,,0.00,,0.2257,0.20,,0.00,,0.2146,2001-04,1.623B,1.696B,,,2001-04,,
2001-01,2.363B,2.363B,1.221B,1.143B,143.46M,102.35M,245.81M,336.31M,,,,,,,582.12M,560.63M,,,,,,607.39M,183.17M,424.22M,,424.22M,652.46M,91.83M,560.63M,,-0.165,0.00,0.26,0.095,,-0.165,-0.1650,0.25,2001-01,1.621B,1.690B,,,2001-01,,
2000-10,2.920B,2.920B,1.411B,1.509B,,,276.04M,327.41M,,0.00,,,,-200.79M,402.66M,1.106B,,,,0.00,,948.28M,284.48M,663.80M,,663.80M,1.199B,92.37M,1.106B,,0.00,,0.41,0.41,,0.00,,0.385,2000-10,1.625B,1.722B,,,2000-10,,
2000-07,2.732B,2.732B,1.340B,1.392B,,,261.72M,303.95M,,,,,,,565.66M,826.24M,,,,,,862.54M,258.76M,603.78M,,603.78M,911.80M,85.56M,826.24M,,0.00,,0.375,0.375,,0.00,,0.35,2000-07,1.619B,1.724B,,,2000-07,,
2000-04,2.190B,2.190B,1.092B,1.098B,,,230.47M,253.28M,,28.16M,,,,40.00M,523.75M,573.84M,,,,28.16M,,669.82M,200.94M,468.87M,,449.16M,670.35M,96.51M,573.84M,,0.00,,0.2778,0.29,,0.00,,0.2586,2000-04,1.610B,1.722B,,,2000-04,,
2000-01,1.722B,1.722B,777.33M,944.86M,,,192.53M,223.28M,,,,,,,503.35M,441.51M,,,,,,467.20M,140.10M,327.10M,,327.10M,529.05M,87.54M,441.51M,,0.00,,0.205,0.205,,0.00,,0.195,2000-01,1.596B,1.698B,,,2000-01,,
1999-10,1.803B,1.803B,840.57M,962.23M,,,217.60M,261.61M,,-35.92M,,,,,559.02M,403.21M,,,,-35.92M,,387.24M,133.26M,253.99M,,277.54M,483.02M,79.81M,403.21M,,0.015,,0.1849,0.185,,0.015,,0.1742,1999-10,1.576B,1.663B,,,1999-10,,
1999-07,1.434B,1.434B,667.80M,765.70M,,,187.30M,171.20M,,,,,,,425.60M,340.10M,,,,,,354.20M,109.80M,244.40M,,244.40M,407.20M,60.13M,340.10M,,0.00,,0.165,0.165,,0.00,,0.155,1999-07,1.563B,1.648B,,,1999-07,,
1999-04,1.171B,1.171B,557.57M,613.09M,,,167.14M,179.86M,,-1.182M,,,,,417.79M,195.30M,,,,-1.182M,,206.63M,64.50M,142.13M,1.182M,142.94M,272.97M,77.67M,195.30M,,0.00,,0.0905,0.09,,0.00,,0.0855,1999-04,1.552B,1.640B,,,1999-04,,
1999-01,742.50M,742.50M,350.60M,391.90M,,,132.30M,141.20M,,18.50M,,,,,344.30M,47.60M,,,,18.50M,,80.10M,23.80M,56.30M,-3.50M,43.30M,118.40M,70.80M,47.60M,,-0.005,,0.0312,0.035,,-0.005,,0.0316,1999-01,1.482B,1.553B,,,1999-01,,
1998-10,961.51M,961.51M,229.80M,731.71M,,,163.11M,178.99M,,-272.10M,,,,,635.60M,96.11M,,,,-272.10M,,-161.18M,-42.14M,-118.94M,,82.02M,178.51M,82.40M,96.11M,,-0.015,,0.0341,-0.1175,,-0.015,,0.0138,1998-10,1.471B,1.657B,,,1998-10,,
1998-07,884.50M,884.50M,490.10M,394.40M,,,149.60M,154.00M,,-35.00M,,,,,303.60M,90.80M,,,,-35.00M,,63.40M,15.90M,47.50M,,73.72M,165.30M,74.50M,90.80M,,0.00,,0.0529,0.035,,0.00,,0.0523,1998-07,1.468B,1.512B,,,1998-07,,
