,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,OtherLongTermLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2010-01,,1.399B,755.12M,2.154B,1.267B,,1.370B,373.75M,648.08M,384.27M,258.16M,1.664B,,417.99M,242.71M,5.849B,,,,,,,2.964B,-1.835B,1.129B,1.336B,374.00M,1.710B,1.046B,,4.155B,10.00B,,2010-01,466.92M,80.60M,30.16M,207.90M,785.58M,496.61M,1.282B,,,,2.40M,,2.40M,993.36M,993.36M,,,2.278B,210.55M,,,,367.20M,,2010-01,13.43M,10.94B,5.246B,9.047B,,,-0.511M,7.148B,,2010-01,AOR,Restated
2009-10,,1.576B,638.35M,2.215B,1.041B,,1.226B,615.51M,667.48M,344.46M,,1.627B,,356.34M,264.17M,5.689B,0.00,228.06M,1.164B,713.50M,654.78M,146.23M,2.907B,-1.817B,1.090B,1.171B,306.42M,1.477B,1.052B,,3.885B,9.574B,,2009-10,477.15M,80.46M,49.39M,,606.99M,182.88M,789.87M,149.12M,,,1.24M,,1.24M,864.28M,864.28M,,,1.939B,200.65M,,,339.52M,,,2009-10,13.41M,10.93B,5.195B,9.047B,,,-1.68M,7.095B,,2009-10,AOR,Restated
2009-07,,1.555B,583.19M,2.139B,842.17M,,1.264B,376.43M,695.50M,401.56M,275.01M,1.749B,,304.71M,308.82M,5.765B,,,,,,,2.877B,-1.789B,1.088B,1.172B,327.35M,1.499B,990.17M,,3.815B,9.580B,,2009-07,398.54M,80.02M,69.76M,170.00M,718.33M,407.96M,1.126B,,,,1.203M,,1.203M,,911.48M,911.48M,,2.039B,201.20M,,,,326.49M,,2009-07,13.34M,10.90B,5.199B,9.101B,,,5.748M,7.014B,,2009-07,AOR,Restated
2009-04,,1.467B,597.39M,2.064B,914.39M,,1.215B,443.77M,680.52M,449.39M,327.34M,1.901B,,390.02M,344.60M,5.915B,,,,,,,2.864B,-1.774B,1.090B,1.172B,347.12M,1.519B,1.001B,,3.834B,9.749B,,2009-04,354.20M,79.98M,120.79M,172.22M,727.19M,441.51M,1.169B,,,,1.156M,,1.156M,,962.98M,962.98M,,2.133B,201.16M,,,,319.20M,,2009-04,13.33M,11.03B,5.155B,9.101B,,,-3.528M,7.096B,,2009-04,AOR,Restated
2009-01,,1.366B,551.20M,1.917B,1.275B,187.18M,1.462B,414.28M,685.70M,447.31M,583.80M,2.131B,,402.72M,366.43M,6.280B,,,,,,,2.888B,-1.780B,1.108B,1.172B,366.98M,1.539B,,,4.148B,10.43B,,2009-01,447.71M,,,,447.71M,87.50M,535.21M,,,,1.259M,,1.259M,,,,1.993B,2.530B,201.90M,,,,339.31M,,2009-01,13.29M,11.39B,5.126B,9.158B,,,-11.50M,7.357B,,2009-01,,Restated
2008-10,,1.412B,689.04M,2.101B,1.691B,,1.817B,908.28M,665.12M,413.61M,,1.987B,,388.81M,371.03M,6.664B,0.00,226.91M,1.158B,580.69M,695.17M,171.09M,2.832B,-1.738B,1.094B,1.175B,388.43M,1.563B,1.447B,,4.342B,11.01B,,2008-10,588.26M,79.85M,295.01M,,963.12M,221.93M,1.185B,163.29M,,,1.068M,,1.068M,1.226B,1.226B,,,2.946B,201.58M,,,,310.23M,,2008-10,13.31M,11.60B,5.096B,9.135B,,,-26.57M,7.549B,,2008-10,,Restated
2008-07,,1.141B,1.157B,2.298B,1.581B,72.72M,1.654B,278.79M,574.08M,407.54M,592.91M,1.853B,,438.17M,380.79M,6.624B,,,,,,,2.805B,-1.714B,1.090B,1.176B,419.76M,1.596B,,,4.375B,11.00B,,2008-07,568.40M,,,,568.40M,1.773B,2.342B,,,,0.981M,,0.981M,449.33M,449.33M,,119.41M,2.911B,201.93M,,,,344.34M,,2008-07,13.42M,11.35B,5.061B,8.875B,11.57M,-19.99M,-8.422M,7.541B,,2008-07,,
2008-04,,1.098B,1.357B,2.455B,1.729B,,1.729B,226.59M,257.84M,564.99M,576.82M,1.626B,,450.19M,345.67M,6.607B,,,,,,,2.766B,-1.693B,1.074B,1.176B,456.92M,1.633B,,,4.364B,10.97B,,2008-04,568.28M,,,,568.28M,1.608B,2.176B,,,,2.749M,,2.749M,422.69M,422.69M,,105.78M,2.707B,202.00M,,,,350.72M,,2008-04,13.55M,11.27B,5.004B,8.575B,12.09M,-9.528M,2.564M,7.711B,,2008-04,,
2008-01,,1.216B,689.91M,1.906B,2.015B,,2.015B,185.61M,232.43M,432.55M,536.93M,1.388B,,409.77M,474.46M,6.192B,,,,,,,2.816B,-1.751B,1.065B,1.018B,354.45M,1.372B,,,4.161B,10.35B,,2008-01,462.12M,,,,462.12M,1.372B,1.834B,,,,2.674M,,2.674M,340.21M,340.21M,,176.11M,2.353B,202.48M,,,,337.81M,,2008-01,13.54M,11.04B,4.707B,8.324B,11.76M,5.507M,17.26M,7.459B,,2008-01,,
2007-10,,1.203B,1.167B,2.370B,2.049B,,2.049B,201.06M,230.24M,381.76M,500.17M,1.313B,,426.47M,448.88M,6.608B,0.00,218.18M,1.253B,1.203B,,107.69M,2.782B,-1.731B,1.051B,1.006B,373.18M,1.380B,,,4.055B,10.66B,,2007-10,455.89M,,,,455.89M,1.388B,1.844B,,,,2.561M,,2.561M,377.46M,377.46M,,157.55M,2.382B,202.28M,,,,256.96M,,2007-10,13.86M,10.86B,4.659B,7.726B,9.371M,1.982M,11.35M,7.821B,,2007-10,,Restated
2007-07,,1.113B,1.295B,2.408B,2.240B,,2.240B,205.97M,226.50M,411.34M,518.06M,1.362B,,481.02M,320.32M,6.811B,,,,,,,2.783B,-1.736B,1.046B,652.90M,221.98M,874.88M,,,3.554B,10.37B,,2007-07,479.47M,,,,479.47M,1.255B,1.735B,,,,202.53M,,202.53M,468.63M,468.63M,,143.01M,2.549B,204.35M,,,,224.13M,,2007-07,13.78M,10.53B,4.213B,7.375B,9.935M,1.824M,11.76M,7.388B,,2007-07,,
2007-04,,932.04M,1.086B,2.018B,2.122B,,2.122B,228.48M,339.54M,399.76M,502.82M,1.471B,,473.29M,275.49M,6.359B,,,,,,,2.731B,-1.700B,1.030B,652.72M,232.10M,884.83M,,,3.537B,9.896B,,2007-04,491.78M,,,,491.78M,1.152B,1.643B,,,,202.54M,,202.54M,393.88M,393.88M,,218.35M,2.458B,204.34M,,,,196.09M,,2007-04,13.82M,10.13B,3.876B,6.975B,7.483M,-18.96M,-11.47M,7.038B,,2007-04,,
2007-01,,1.069B,1.014B,2.083B,2.052B,,2.052B,287.86M,318.46M,420.72M,491.84M,1.519B,,461.14M,291.14M,6.406B,,,,,,,2.741B,-1.712B,1.029B,572.56M,191.65M,764.20M,,,3.402B,9.808B,,2007-01,486.59M,,,,486.59M,637.03M,1.124B,,,,202.52M,,202.52M,332.92M,332.92M,,785.14M,2.444B,204.69M,,,,192.40M,,2007-01,13.97M,9.806B,3.785B,6.623B,5.683M,-20.98M,-15.30M,6.967B,,2007-01,,
2006-10,,861.46M,1.036B,1.897B,2.026B,,2.026B,236.91M,272.65M,430.80M,466.41M,1.407B,,455.47M,295.23M,6.081B,0.00,222.38M,1.241B,1.213B,,77.57M,2.754B,-1.730B,1.024B,572.56M,201.07M,773.62M,,,3.400B,9.481B,,2006-10,2.024B,,,,2.024B,,2.024B,,,,202.54M,,202.54M,,,,209.86M,2.436B,204.71M,,,,188.68M,,2006-10,13.92M,9.472B,3.678B,6.494B,-0.212M,-18.80M,-19.01M,6.651B,,2006-10,,
2006-07,,1.308B,1.524B,2.833B,2.294B,,2.294B,207.98M,260.67M,426.81M,446.46M,1.342B,,610.76M,327.91M,7.408B,,,,,,,2.742B,-1.711B,1.031B,548.85M,210.79M,759.64M,,,4.366B,11.77B,,2006-07,505.22M,,,,505.22M,516.72M,1.022B,,,,2.55M,,2.55M,439.21M,439.21M,,968.11M,2.432B,406.97M,,,,269.14M,,2006-07,15.34M,8.692B,,,1.207M,-42.74M,-41.53M,8.666B,,2006-07,,
2006-04,,1.377B,1.952B,3.329B,1.949B,,1.949B,182.90M,198.69M,289.95M,411.84M,1.083B,,648.86M,325.74M,7.336B,,,,,,,2.722B,-1.682B,1.040B,347.68M,75.17M,422.85M,,,4.116B,11.45B,,2006-04,445.54M,,,,445.54M,,445.54M,,,,2.542M,,2.542M,360.47M,360.47M,,1.379B,2.188B,406.90M,,,,238.65M,,2006-04,15.64M,8.658B,10.14M,,,,-64.68M,8.619B,,2006-04,,
2006-01,,1.107B,4.701B,5.808B,1.755B,,1.755B,160.61M,181.56M,302.64M,378.36M,1.023B,,667.63M,287.91M,9.541B,,,,,,,2.750B,-1.667B,1.083B,,427.89M,427.89M,,,1.669B,11.21B,,2006-01,1.604B,,,,1.604B,,1.604B,,,,2.567M,,2.567M,,,,271.97M,1.879B,407.38M,,,,256.45M,,2006-01,15.87M,8.323B,371.82M,,,,-43.08M,8.668B,,2006-01,,
2005-10,,990.34M,2.343B,3.333B,1.616B,,1.616B,136.37M,129.78M,384.94M,383.00M,1.034B,,581.18M,271.00M,6.835B,0.00,280.39M,1.425B,1.220B,,85.92M,3.011B,-1.736B,1.275B,338.98M,81.09M,420.08M,,,4.434B,11.27B,,2005-10,1.618B,,,,1.618B,,1.618B,,,,7.574M,,7.574M,,,,139.80M,1.765B,407.38M,,,,167.81M,,2005-10,16.07M,8.228B,721.94M,,,,-37.25M,8.929B,,2005-10,,
2005-07,,1.256B,4.973B,6.228B,1.525B,,1.525B,146.15M,168.38M,361.68M,397.51M,1.074B,,627.37M,289.80M,9.744B,,,,,,,2.993B,-1.710B,1.284B,,426.43M,426.43M,,,1.874B,11.62B,,2005-07,1.704B,,,,1.704B,,1.704B,,,,46.16M,,46.16M,,,,227.61M,1.977B,414.29M,155.40M,155.40M,,,,2005-07,16.22M,8.078B,987.06M,,,,-9.67M,9.072B,,2005-07,,
2005-04,,1.664B,4.743B,6.407B,1.595B,,1.595B,143.77M,202.84M,327.12M,411.85M,1.086B,,661.84M,255.26M,10.00B,,,,,,,2.973B,-1.673B,1.300B,,414.08M,414.08M,,,1.911B,11.92B,,2005-04,1.757B,,,,1.757B,,1.757B,,,,46.47M,,46.47M,,,,358.58M,2.162B,414.30M,157.83M,157.83M,,,,2005-04,16.44M,7.758B,1.401B,,,,6.284M,9.182B,,2005-04,,
2005-01,,1.634B,4.764B,6.398B,1.741B,,1.741B,173.91M,258.20M,328.92M,443.15M,1.204B,,621.15M,236.18M,10.20B,,,,,,,2.977B,-1.647B,1.330B,,420.45M,420.45M,,,1.898B,12.10B,,2005-01,1.760B,,,,1.760B,,1.760B,,,,46.67M,,46.67M,,,,416.17M,2.222B,416.24M,160.11M,160.11M,,,,2005-01,16.68M,7.453B,1.819B,,,,11.60M,9.300B,,2005-01,,
2004-10,,1.493B,5.085B,6.578B,1.670B,,1.670B,179.63M,222.66M,309.67M,427.40M,1.139B,,610.10M,283.91M,10.28B,0.00,277.60M,1.371B,1.211B,,93.30M,2.953B,-1.608B,1.346B,,307.61M,307.61M,,,1.812B,12.09B,,2004-10,350.10M,,,,350.10M,,350.10M,,,,45.86M,,45.86M,301.22M,301.22M,,1.591B,2.288B,410.44M,133.00M,133.00M,,,,2004-10,16.80M,7.164B,2.071B,,,,10.32M,9.262B,,2004-10,,
2004-07,,2.047B,4.549B,6.596B,1.528B,,1.528B,166.76M,219.21M,339.53M,427.27M,1.153B,,572.24M,292.73M,10.14B,,,,,,,2.922B,-1.539B,1.383B,,311.57M,311.57M,,,1.777B,11.92B,,2004-07,354.99M,,,,354.99M,,354.99M,,,,103.83M,,103.83M,248.95M,248.95M,,1.499B,2.207B,454.49M,153.71M,153.71M,,,,2004-07,16.98M,6.709B,2.365B,,,,12.66M,9.103B,,2004-07,,
2004-04,,1.448B,4.459B,5.907B,1.405B,,1.405B,159.99M,204.91M,327.28M,418.56M,1.111B,,704.36M,266.50M,9.393B,,,,,,,2.902B,-1.476B,1.426B,,305.83M,305.83M,,,1.814B,11.21B,,2004-04,341.55M,,,,341.55M,,341.55M,,,,104.43M,,104.43M,230.50M,230.50M,,1.293B,1.970B,454.49M,146.79M,146.79M,,,,2004-04,16.94M,6.269B,2.330B,,,,20.89M,8.636B,,2004-04,,
2004-01,,1.470B,4.227B,5.697B,1.081B,,1.081B,142.29M,170.55M,244.84M,442.06M,999.74M,,788.98M,212.68M,8.780B,,,,,,,2.889B,-1.415B,1.474B,,303.79M,303.79M,,,1.851B,10.63B,,2004-01,1.466B,,,,1.466B,,1.466B,,,,105.29M,,105.29M,,,,237.42M,1.809B,455.82M,147.23M,147.23M,,,,2004-01,16.86M,5.895B,2.275B,,,,31.70M,8.219B,,2004-01,,
2003-10,,1.365B,4.128B,5.493B,912.88M,,912.88M,115.48M,143.13M,211.31M,480.77M,950.69M,,782.82M,231.18M,8.371B,0.00,265.57M,1.397B,1.208B,,224.12M,3.094B,-1.535B,1.560B,,316.03M,316.03M,,,1.941B,10.31B,,2003-10,1.319B,,,,1.319B,,1.319B,,,,105.29M,,105.29M,,,,216.11M,1.641B,456.42M,146.29M,146.29M,,,,2003-10,16.77M,5.813B,2.224B,,,,14.84M,8.068B,,2003-10,,
2003-07,,1.285B,3.948B,5.233B,741.62M,,741.62M,129.03M,125.28M,241.51M,501.46M,997.28M,,629.59M,206.55M,7.808B,,,,,,,3.088B,-1.480B,1.608B,,223.52M,223.52M,,,2.016B,9.823B,,2003-07,1.255B,,,,1.255B,,1.255B,,,,4.847M,,4.847M,,,,,1.260B,557.16M,141.52M,141.52M,,,,2003-07,16.63M,5.797B,2.036B,,,,14.70M,7.865B,,2003-07,,
2003-04,,1.428B,3.792B,5.220B,742.06M,,742.06M,158.12M,169.60M,239.69M,547.32M,1.115B,,578.15M,204.40M,7.859B,,,,,,,3.120B,-1.458B,1.662B,,,,,,2.065B,9.924B,,2003-04,1.256B,,,,1.256B,,1.256B,,,,9.821M,,9.821M,,,,10.97M,1.277B,570.15M,138.91M,138.91M,,,,2003-04,16.57M,5.834B,2.041B,,,,45.66M,7.938B,,2003-04,,
2003-01,,1.293B,3.696B,4.989B,891.30M,,891.30M,199.31M,169.74M,260.53M,587.52M,1.217B,,560.05M,221.36M,7.879B,,,,,,,3.213B,-1.458B,1.755B,,311.13M,311.13M,,,2.146B,10.02B,,2003-01,1.201B,,,,1.201B,,1.201B,,40.34M,9.567M,49.90M,,49.90M,,,,47.89M,1.298B,573.74M,136.28M,136.28M,,,,2003-01,16.55M,5.896B,2.051B,,,,52.78M,8.016B,,2003-01,,
2002-10,,1.285B,3.645B,4.930B,1.046B,,1.046B,191.96M,195.41M,242.10M,644.35M,1.274B,,565.94M,257.50M,8.073B,0.00,253.32M,1.354B,1.296B,,319.73M,3.223B,-1.458B,1.765B,,202.29M,202.29M,,,2.152B,10.22B,,2002-10,1.348B,,,,1.348B,,1.348B,,40.32M,9.453M,49.78M,,49.78M,,,,103.52M,1.501B,573.85M,129.81M,129.81M,,,,2002-10,16.48M,5.962B,2.023B,,,,18.61M,8.020B,,2002-10,,
2002-07,,1.165B,3.687B,4.852B,1.085B,,1.085B,164.47M,235.39M,231.25M,620.16M,1.251B,,557.60M,257.58M,8.004B,,,,,,,3.108B,-1.309B,1.799B,,,,,,2.206B,10.21B,,2002-07,1.440B,,,,1.440B,,1.440B,,40.09M,9.798M,49.88M,,49.88M,,,,151.72M,1.641B,579.39M,131.89M,131.89M,,,,2002-07,16.48M,5.815B,1.982B,,,,43.51M,7.857B,,2002-07,,
2002-04,,1.042B,3.748B,4.791B,967.32M,,967.32M,221.79M,175.02M,201.61M,587.69M,1.186B,,549.08M,221.91M,7.715B,,,,,,,3.022B,-1.309B,1.713B,,,,,,2.142B,9.857B,,2002-04,1.295B,,,,1.295B,,1.295B,,41.43M,9.108M,50.54M,,50.54M,,,,131.44M,1.477B,577.28M,127.79M,127.79M,,,,2002-04,16.45M,5.700B,1.976B,,,,-16.78M,7.675B,,2002-04,,
2002-01,,1.101B,3.787B,4.888B,777.58M,,777.58M,280.17M,159.65M,243.71M,576.38M,1.260B,,551.96M,232.93M,7.711B,,,,,,,2.991B,-1.309B,1.682B,,,,,,2.099B,9.810B,,2002-01,1.311B,,,,1.311B,,1.311B,,60.61M,4.37M,64.98M,,64.98M,,,,133.70M,1.509B,562.32M,121.41M,121.41M,,,,2002-01,8.199M,5.648B,1.960B,,,,1.094M,7.617B,,2002-01,,
2001-10,,1.356B,3.485B,4.841B,776.45M,,776.45M,301.59M,193.50M,351.62M,566.28M,1.413B,,551.78M,199.55M,7.782B,0.00,217.65M,1.255B,1.194B,,348.53M,3.016B,-1.309B,1.706B,,,,,,2.046B,9.829B,,2001-10,1.478B,,,,1.478B,,1.478B,,,,4.807M,,4.807M,,,,50.48M,1.533B,564.80M,124.15M,124.15M,,,,2001-10,8.158M,5.693B,1.881B,,,,24.44M,7.607B,,2001-10,,
2001-07,,1.365B,3.316B,4.681B,1.316B,,1.316B,370.24M,200.48M,333.11M,550.16M,1.454B,,545.60M,244.71M,8.241B,0.00,1.653B,,,,,1.653B,,1.653B,,,,,,1.992B,10.23B,,2001-07,1.503B,,,,1.503B,,1.503B,,99.99M,4.652M,104.64M,,104.64M,,,,138.69M,1.746B,565.89M,126.50M,126.50M,,,,2001-07,8.163M,5.999B,1.827B,,,,-39.41M,7.795B,,2001-07,,
2001-04,,1.977B,2.563B,4.540B,1.615B,,1.615B,436.43M,283.13M,392.73M,536.82M,1.649B,,543.40M,305.61M,8.653B,,,,,,,2.679B,-1.130B,1.549B,,,,,,1.893B,10.55B,,2001-04,1.798B,,,,1.798B,,1.798B,,117.55M,,117.55M,,117.55M,,,,187.26M,2.103B,566.43M,124.74M,124.74M,,,,2001-04,8.131M,5.970B,1.780B,,,,-5.971M,7.752B,,2001-04,,
2001-01,,1.649B,2.285B,3.934B,2.470B,,2.470B,434.56M,341.57M,417.69M,515.35M,1.709B,,545.72M,323.46M,8.983B,,,,,,,2.571B,-1.130B,1.441B,,,,,,1.790B,10.77B,,2001-01,2.019B,,,,2.019B,,2.019B,,145.55M,10.24M,155.80M,,155.80M,,,,385.64M,2.560B,569.50M,124.44M,124.44M,,,,2001-01,8.10M,5.743B,1.757B,,-31.83M,42.39M,10.56M,7.519B,,2001-01,,
2000-10,,1.648B,2.580B,4.228B,2.351B,,2.351B,384.84M,413.23M,262.09M,443.60M,1.504B,,549.11M,206.87M,8.839B,0.00,199.06M,933.08M,1.042B,,321.95M,2.496B,-1.130B,1.367B,,,,,,1.707B,10.55B,,2000-10,2.269B,,,,2.269B,,2.269B,,94.68M,11.62M,106.30M,,106.30M,,,,384.81M,2.760B,573.13M,108.54M,108.54M,,,,2000-10,8.125M,5.185B,1.930B,,,,-19.17M,7.104B,,2000-10,,
2000-07,,1.343B,2.404B,3.747B,2.162B,,2.162B,294.19M,293.19M,175.97M,369.28M,1.133B,,330.89M,179.27M,7.552B,,,,,,,2.375B,-1.095B,1.280B,,145.41M,145.41M,,,1.666B,9.219B,,2000-07,1.900B,,,,1.900B,,1.900B,,40.41M,41.51M,81.92M,,81.92M,,,,397.15M,2.379B,574.34M,135.88M,135.88M,,,,2000-07,8.111M,4.521B,1.615B,,,,-14.13M,6.130B,,2000-07,,
2000-04,,1.187B,2.187B,3.374B,1.651B,,1.651B,233.21M,285.18M,119.96M,341.40M,979.75M,,331.27M,153.49M,6.489B,,,,,,,2.293B,-1.052B,1.242B,,150.94M,150.94M,,,1.641B,8.130B,,2000-04,501.86M,,,,501.86M,,501.86M,,0.026M,42.06M,42.08M,,42.08M,,,,1.381B,1.925B,575.85M,135.81M,135.81M,,,,2000-04,8.076M,3.918B,1.573B,,,,-5.452M,5.493B,,2000-04,,
2000-01,,796.30M,2.208B,3.004B,1.320B,,1.320B,151.10M,193.10M,95.50M,243.70M,683.40M,,317.90M,136.60M,5.462B,,,,,,,2.159B,-970.80M,1.188B,,,,,,1.596B,7.058B,,2000-01,1.344B,,,,1.344B,,1.344B,,0.60M,36.50M,37.10M,,37.10M,,,,207.20M,1.588B,585.10M,128.30M,128.30M,,0.10M,,2000-01,3.90M,3.404B,1.348B,,,,1.20M,4.756B,,2000-01,,
1999-10,,868.12M,1.951B,2.819B,1.268B,,1.268B,,,,,727.11M,,,496.09M,5.311B,,,,,,,2.209B,-931.20M,1.278B,,162.02M,162.02M,,,1.704B,7.015B,,1999-10,382.92M,,,,382.92M,,382.92M,,,,42.27M,,42.27M,,,,1.306B,1.731B,584.36M,123.40M,123.40M,,,,1999-10,7.932M,3.122B,1.444B,,,,1.266M,4.575B,,1999-10,,
1999-07,,578.00M,1.681B,2.259B,1.108B,,1.108B,114.40M,154.30M,81.80M,224.80M,575.30M,,335.20M,127.10M,4.404B,,,,,,,2.061B,-865.40M,1.195B,,,,,,1.363B,5.767B,,1999-07,1.119B,,,,1.119B,,1.119B,,0.90M,6.40M,7.30M,,7.30M,,,,275.80M,1.402B,611.90M,85.00M,85.00M,,0.10M,,1999-07,3.80M,2.768B,918.90M,,,,-22.70M,3.668B,,1999-07,,
1999-04,,518.60M,1.499B,2.018B,920.50M,,920.50M,113.80M,160.20M,80.40M,223.50M,577.90M,,337.00M,107.80M,3.961B,,,,,,,2.025B,-816.00M,1.209B,,,,,,1.363B,5.324B,,1999-04,1.024B,,,,1.024B,,1.024B,,9.00M,6.80M,15.80M,,15.80M,,,,199.70M,1.240B,613.30M,84.40M,84.40M,,0.10M,,1999-04,3.80M,2.524B,876.70M,,,,-18.10M,3.386B,,1999-04,,
1999-01,,562.40M,1.362B,1.924B,671.30M,,671.30M,85.50M,149.20M,88.40M,229.70M,552.80M,,338.20M,110.90M,3.598B,,,,,,,1.998B,-771.00M,1.227B,,11.10M,11.10M,,,1.363B,4.961B,,1999-01,203.90M,,,,203.90M,,203.90M,,,,7.70M,,7.70M,,,,831.40M,1.043B,616.90M,80.80M,80.80M,,-0.10M,,1999-01,3.70M,2.382B,842.70M,,,,-8.10M,3.220B,,1999-01,,
1998-10,,575.20M,,575.20M,764.50M,,764.50M,,,,,555.90M,,,1.623B,3.519B,,,,,,,1.998B,-736.60M,1.262B,,,,,,1.411B,4.930B,,1998-10,1.041B,,,,1.041B,,1.041B,,,,8.00M,,8.00M,,,,69.00M,1.118B,616.60M,11.30M,11.30M,,62.90M,,1998-10,,2.329B,,,,,,3.121B,,1998-10,,
1998-07,,387.10M,1.216B,1.603B,814.90M,,814.90M,94.70M,183.70M,103.70M,250.40M,632.50M,,324.10M,208.90M,3.583B,,,,,,,1.734B,-499.70M,1.234B,,,,,,1.457B,5.040B,,1998-07,933.40M,,,,933.40M,,933.40M,,0.20M,6.40M,6.60M,,6.60M,,,,117.30M,1.057B,611.80M,110.40M,110.40M,,0.10M,,1998-07,3.70M,2.516B,769.30M,,-28.40M,,-28.40M,3.260B,,1998-07,,
