,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,SECFilingLinks,AsOriginallyReported,Restated
2006-10,449.03M,,,,-10.84M,,,73.03M,73.03M,89.06M,,,,44.48M,268.40M,-67.36M,-156.87M,26.66M,-22.81M,-63.56M,-15.54M,,2006-10,-59.38M,-14.34M,-73.72M,-9.767M,1.542B,,1.474B,2006-10,,,-2.311M,165.03M,-2.636B,-2.471B,,-76.71M,-1.439M,-2.551B,,1.308B,-447.45M,0.454M,861.46M,2006-10,165.03M,,,-2.636B,,,2006-10,,
2006-07,512.04M,,,,-278.06M,,,61.87M,61.87M,61.39M,,,,360.24M,-330.20M,-105.70M,146.63M,-4.908M,-46.78M,-0.955M,-341.90M,,2006-07,-39.55M,16.21M,-23.34M,-309.43M,450.31M,,117.53M,2006-07,,,0.038M,10.26M,-499.84M,-489.58M,,-78.21M,6.404M,-561.35M,,1.377B,-68.23M,0.006M,1.308B,2006-07,10.26M,,,-499.84M,,,2006-07,,
2006-04,412.81M,,,,324.46M,,,65.84M,65.84M,-32.42M,,,,-257.61M,-194.33M,-60.20M,259.87M,-38.63M,28.29M,3.658M,-1.345M,,2006-04,-31.73M,,-31.73M,-1.636M,256.05M,,222.68M,2006-04,,,-0.43M,73.50M,-500.00M,-426.50M,,-47.62M,9.512M,-465.05M,,1.107B,269.38M,0.00,1.377B,2006-04,73.50M,,,-500.00M,,,2006-04,,
2006-01,142.78M,,,,9.646M,,,69.68M,69.68M,-92.72M,,,,257.61M,-136.90M,10.92M,-11.68M,42.10M,141.32M,-13.59M,32.18M,,2006-01,-48.82M,,-48.82M,-18.26M,242.85M,,175.77M,2006-01,,,-5.007M,88.32M,-522.27M,-433.94M,,-48.24M,9.187M,-478.00M,,990.34M,116.95M,0.004M,1.107B,2006-01,88.32M,,,-522.27M,,,2006-01,,
2005-10,246.71M,,,,89.00M,74.31M,0.055M,74.37M,74.37M,42.01M,,,,,-90.70M,39.90M,-183.36M,55.06M,-75.20M,,-254.31M,,2005-10,-62.88M,,-62.88M,0.00,21.08M,,-41.81M,2005-10,,,-45.50M,100.36M,-427.51M,-327.15M,,-48.71M,,-421.36M,,1.256B,-265.39M,-0.015M,990.34M,2005-10,100.36M,,,-427.51M,,,2005-10,,
2005-07,369.59M,,,,7.041M,72.33M,0.00,72.33M,72.33M,61.44M,,,,,68.53M,8.122M,-63.64M,-72.78M,-126.96M,22.06M,-164.67M,,2005-07,-59.04M,,-59.04M,0.00,-230.31M,,-289.34M,2005-07,,,-0.313M,35.39M,-450.00M,-414.61M,,-49.33M,,-464.25M,,1.664B,-407.86M,-0.141M,1.256B,2005-07,35.39M,,,-450.00M,,,2005-07,,
2005-04,304.83M,,,,6.373M,74.61M,0.00,74.61M,74.61M,-74.38M,,,,,145.38M,117.17M,-6.206M,-12.75M,-66.32M,-22.06M,155.21M,,2005-04,-45.42M,,-45.42M,0.00,217.93M,,172.51M,2005-04,,,-2.148M,82.60M,-500.00M,-417.40M,,,,-419.55M,,1.634B,219.61M,9.253M,1.664B,2005-04,82.60M,,,-500.00M,,,2005-04,,
2005-01,288.76M,,,,4.437M,79.18M,0.096M,79.28M,79.28M,-8.767M,,,,,-36.25M,-34.26M,-191.64M,68.38M,67.04M,,-126.73M,,2005-01,-32.32M,,-32.32M,-101.79M,113.62M,,-20.48M,2005-01,,,-13.75M,47.76M,-300.00M,-252.24M,,,,-266.00M,,1.693B,-49.50M,-8.913M,1.634B,2005-01,47.76M,,,-300.00M,,,2005-01,,
2004-10,455.01M,,,,101.68M,87.85M,0.275M,88.12M,88.12M,-135.12M,,,,,-142.75M,11.68M,114.24M,-7.351M,21.57M,,-2.616M,,2004-10,-40.30M,,-40.30M,0.00,264.79M,,224.49M,2004-10,,,-102.02M,105.35M,-500.00M,-394.65M,,,,-496.67M,,2.047B,234.89M,-0.484M,2.282B,2004-10,105.35M,,,-500.00M,,,2004-10,,
2004-07,440.57M,,,,6.453M,87.85M,0.39M,88.24M,88.24M,135.95M,,,,,-122.33M,-41.14M,223.25M,-73.94M,25.58M,,11.42M,,2004-07,-37.39M,,-37.39M,-7.40M,-83.03M,,-127.82M,2004-07,,,-0.602M,34.70M,0.00,34.70M,,,,34.09M,,1.448B,588.91M,10.45M,2.047B,2004-07,34.70M,,,0.00,,,2004-07,,
2004-04,373.35M,,,,92.80M,91.08M,0.39M,91.47M,91.47M,-3.175M,,,,,-323.78M,-111.24M,97.34M,-59.90M,63.40M,,-334.18M,,2004-04,-36.73M,,-36.73M,,-237.15M,,-273.88M,2004-04,,,-2.185M,129.93M,-75.00M,54.93M,,,,52.74M,,1.470B,-0.873M,-21.52M,1.448B,2004-04,129.93M,,,-75.00M,,,2004-04,,
2004-01,82.38M,,,,,88.76M,0.392M,89.15M,89.15M,81.28M,,,,,-167.33M,-47.23M,151.41M,5.654M,21.98M,,-35.51M,,2004-01,-76.15M,,-76.15M,,-99.40M,,-175.55M,2004-01,,,-0.607M,126.64M,-75.00M,51.64M,,,,51.03M,,1.365B,92.78M,12.84M,1.470B,2004-01,126.64M,,,-75.00M,,,2004-01,,
2003-10,15.45M,,,,210.06M,86.80M,1.36M,88.16M,88.16M,-159.39M,,,,,-170.41M,47.17M,69.05M,1.303M,217.18M,,164.30M,,2003-10,-71.97M,,-71.97M,0.00,-190.47M,-39.27M,-301.71M,2003-10,,,-0.294M,137.96M,-75.00M,62.96M,,,,62.67M,,1.285B,79.53M,0.283M,1.365B,2003-10,137.96M,,,-75.00M,,,2003-10,,
2003-07,-36.80M,,,,25.52M,294.86M,1.376M,94.48M,94.48M,-51.42M,,,,,0.169M,117.64M,-1.787M,-17.18M,5.015M,,103.86M,,2003-07,-92.19M,,-92.19M,-13.50M,-184.62M,39.27M,-251.03M,2003-07,,,-17.97M,165.74M,-174.94M,-9.194M,,,,-27.16M,,1.428B,-142.55M,-0.024M,1.285B,2003-07,165.74M,,,-174.94M,,,2003-07,,
2003-04,-62.13M,,,,30.84M,,,97.95M,97.95M,-18.08M,,,,,150.86M,103.88M,28.32M,16.78M,-35.01M,,264.82M,,2003-04,-24.24M,,-24.24M,,-97.94M,,-122.18M,2003-04,,,-43.67M,-9.314M,,-9.314M,,,,-52.99M,,1.293B,138.25M,-3.573M,1.428B,2003-04,-9.314M,,,,,,2003-04,,
2003-01,-65.67M,,,,,,,103.80M,103.80M,20.32M,,,,,163.75M,62.48M,-155.51M,13.34M,-55.07M,,29.00M,,2003-01,-76.88M,,-76.88M,,-32.79M,,-109.67M,2003-01,,,-2.471M,28.33M,,28.33M,,,,25.86M,,1.285B,3.637M,4.52M,1.293B,2003-01,28.33M,,,,,,2003-01,,
2002-10,147.24M,,,,162.24M,,,99.13M,99.13M,-2.174M,,,,-27.60M,28.52M,-26.14M,-81.56M,-3.522M,-48.42M,,-131.11M,,2002-10,-118.34M,,-118.34M,0.00,31.17M,,-87.17M,2002-10,,,-2.445M,89.86M,,-35.13M,,,,-37.58M,,1.165B,122.97M,-2.79M,1.285B,2002-10,89.86M,,,,,,2002-10,,
2002-07,115.23M,,,,-27.60M,,,99.70M,99.70M,-5.60M,,,,27.60M,-100.89M,-49.71M,128.54M,-23.50M,18.54M,,-27.03M,,2002-07,-158.71M,,-158.71M,0.00,91.06M,,-67.65M,2002-07,,,-5.279M,6.531M,,6.531M,,,,1.252M,,1.042B,115.89M,6.265M,1.165B,2002-07,6.531M,,,,,,2002-07,,
2002-04,52.03M,,,,27.60M,,,96.84M,96.84M,3.272M,,,,-27.60M,-187.09M,73.94M,-16.99M,-0.212M,-1.387M,,-131.74M,,2002-04,-112.83M,,-112.83M,-25.50M,34.98M,,-103.35M,2002-04,,,-0.003M,23.76M,,23.76M,,,,23.76M,,1.101B,-59.19M,0.206M,1.042B,2002-04,23.76M,,,,,,2002-04,,
2002-01,-45.50M,,,,8.00M,,,91.86M,91.86M,4.341M,,,,27.60M,-18.92M,148.93M,-168.54M,-27.02M,80.36M,,14.80M,,2002-01,-86.59M,,-86.59M,-81.96M,-325.24M,,-493.79M,2002-01,,,64.08M,79.33M,,79.33M,,,,143.40M,,1.356B,-249.28M,-5.592M,1.101B,2002-01,79.33M,,,,,,2002-01,,
2001-10,-305.53M,,,,439.78M,,,104.24M,104.24M,88.61M,,,,,-96.64M,314.45M,-48.53M,45.14M,-89.54M,,124.88M,,2001-10,-172.95M,,-172.95M,,-116.22M,,-310.19M,2001-10,,,-103.81M,202.38M,-256.64M,-54.26M,,,,-158.07M,,1.365B,-16.29M,7.554M,1.356B,2001-10,202.38M,,,-256.64M,,,2001-10,,
2001-07,338.16M,,,,-267.40M,,,97.72M,97.72M,15.42M,,,,,159.13M,254.80M,-277.64M,19.31M,-45.48M,,110.12M,,2001-07,-184.34M,,-184.34M,,-752.81M,,-937.15M,2001-07,,,-21.49M,8.052M,47.39M,55.44M,,,,33.95M,,1.977B,-609.18M,-3.091M,1.365B,2001-07,8.052M,,,47.39M,,,2001-07,,
2001-04,-82.90M,,,,285.82M,,,93.17M,93.17M,-16.64M,,,,,964.73M,-15.22M,-202.30M,5.569M,-193.60M,,559.19M,,2001-04,-189.53M,,-189.53M,,-278.04M,,-467.57M,2001-04,,,-26.10M,-8.052M,11.24M,3.186M,,,,-22.91M,,1.649B,348.15M,-19.80M,1.977B,2001-04,-8.052M,,,11.24M,,,2001-04,,
2001-01,558.11M,,,,,,,91.83M,91.83M,0.847M,,,,,-181.73M,-232.87M,-158.66M,-99.86M,18.01M,,-655.11M,,2001-01,-163.80M,,-163.80M,,295.40M,,131.60M,2001-01,,,59.80M,,-173.39M,-173.39M,,,,-113.59M,,1.648B,13.69M,-12.32M,1.649B,2001-01,,,,-173.39M,,,2001-01,,
2000-10,663.80M,,,,387.48M,,,92.37M,92.37M,-246.74M,,,,,-180.31M,-373.02M,360.46M,-0.344M,-10.46M,,-203.67M,,2000-10,-157.72M,,-157.72M,,-175.94M,,-333.66M,2000-10,,,21.79M,105.29M,,-71.87M,,,,-50.08M,,1.343B,309.48M,-4.711M,1.648B,2000-10,105.29M,,,,,,2000-10,,
2000-07,603.78M,,,,0.00,,,85.56M,85.56M,-0.392M,,,,,-521.36M,-157.73M,276.16M,-29.65M,148.99M,,-283.59M,,2000-07,-112.14M,,-112.14M,,-217.38M,,-329.52M,2000-07,,,39.54M,41.86M,,41.86M,,,,81.40M,,1.187B,157.24M,-1.213M,1.343B,2000-07,41.86M,,,,,,2000-07,,
2000-04,468.87M,,,,0.00,,,96.51M,96.51M,3.19M,,,,,-269.96M,-202.04M,250.92M,-12.15M,41.12M,,-192.10M,,2000-04,-83.52M,,-83.52M,,30.97M,,-52.55M,2000-04,,,-3.778M,27.37M,,27.37M,,,,23.59M,,841.58M,347.50M,-2.268M,1.187B,2000-04,27.37M,,,,,,2000-04,,
2000-01,327.10M,,,,-0.708M,,,87.54M,87.54M,6.685M,,,,,-114.64M,-55.80M,-51.88M,3.922M,-25.46M,,-243.84M,,2000-01,-29.87M,,-29.87M,,-266.83M,,-296.70M,2000-01,,,-7.614M,101.84M,,101.84M,,,,94.23M,,868.12M,-25.70M,-0.846M,841.58M,2000-01,101.84M,,,,,,2000-01,,
1999-10,274.98M,,,,,,,79.81M,79.81M,8.098M,,,,,-17.16M,-30.61M,98.57M,11.86M,-48.10M,,14.56M,,1999-10,-73.86M,,-73.86M,,-234.01M,0.10M,-344.24M,1999-10,,,-11.23M,77.47M,,15.55M,,,,4.322M,,578.00M,221.23M,5.389M,868.12M,1999-10,77.47M,,,,,,1999-10,,
1999-07,233.25M,,,,,,,60.13M,60.13M,1.383M,,,,,-200.46M,11.09M,117.98M,-30.92M,79.64M,,-22.66M,,1999-07,-45.62M,,-45.62M,,-193.85M,-0.10M,-239.57M,1999-07,,,-8.651M,57.24M,,57.24M,,,,48.59M,,561.57M,81.12M,-1.192M,578.00M,1999-07,57.24M,,,,,,1999-07,,
1999-04,152.85M,,,,,,,77.67M,77.67M,1.017M,,,,-0.10M,-249.74M,-40.49M,138.52M,-29.18M,44.66M,,-136.24M,,1999-04,-60.88M,,-60.88M,,-124.75M,-0.10M,-185.73M,1999-04,,,8.251M,19.06M,,19.06M,,,,27.31M,,562.40M,-63.22M,-1.208M,561.57M,1999-04,19.06M,,,,,,1999-04,,
1999-01,52.80M,,,,,,,70.80M,70.80M,0.10M,,,,0.10M,104.50M,3.70M,-171.90M,1.30M,90.80M,,28.40M,,1999-01,-39.30M,,-39.30M,,-173.60M,0.10M,-212.80M,1999-01,,,-4.90M,52.10M,,52.10M,,,,47.20M,,575.20M,-13.40M,0.60M,562.40M,1999-01,52.10M,,,,,,1999-01,,
1998-10,-139.93M,,,,156.47M,,,82.40M,82.40M,-41.94M,,,,-0.10M,59.12M,71.26M,27.63M,81.94M,-41.35M,,198.62M,,1998-10,-88.97M,,-88.97M,,24.93M,0.073M,-63.96M,1998-10,,,-1.933M,,-77.32M,-2.781M,,,0.10M,-4.614M,,387.00M,186.93M,8.957M,638.80M,1998-10,,,,-77.32M,,,1998-10,,
1998-07,47.50M,,,,0.00,,,74.50M,74.50M,-1.50M,,,,0.10M,384.60M,76.10M,-88.50M,-10.60M,-10.80M,,350.80M,,1998-07,-81.80M,,-81.80M,,-308.90M,-0.10M,-390.80M,1998-07,,,-34.60M,,33.40M,33.40M,,,-0.10M,-1.30M,,309.40M,79.30M,-1.70M,387.00M,1998-07,,,,33.40M,,,1998-07,,
