,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2006-06,10.00M,,10.00M,203.60M,,203.60M,134.67M,,,,230.04M,578.32M,,,6.861B,-2.881B,3.980B,,,,696.22M,4.676B,5.255B,119.76M,,,119.76M,339.09M,458.85M,,,,198.00M,198.00M,,656.85M,,1.563B,,1.563B,953.25M,,62.43M,,,,,,1.626B,3.800B,457.17M,127.49M,910.43M,,21.44M,-40.95M,1.454B
2006-03,8.149M,,8.149M,154.83M,,154.83M,116.42M,,,,190.15M,469.55M,,,6.841B,-2.881B,3.960B,,,,732.92M,4.693B,5.162B,118.60M,,,118.60M,306.24M,424.84M,,,,143.00M,143.00M,,567.84M,,1.563B,,1.563B,958.17M,,64.59M,,,,,,1.628B,3.724B,456.29M,114.50M,908.94M,,21.44M,-40.99M,1.439B
2005-12,40.97M,,40.97M,124.71M,,124.71M,101.82M,,,,208.12M,475.62M,6.768B,60.56M,6.828B,-2.881B,3.948B,,,,786.72M,4.734B,5.210B,109.81M,,,109.81M,340.26M,450.07M,,,,100.00M,100.00M,,550.07M,,1.563B,,1.563B,976.69M,,65.56M,,,,,,1.629B,3.773B,455.61M,109.99M,923.08M,,21.44M,-51.24M,1.437B
2005-09,16.28M,,16.28M,118.26M,,118.26M,97.12M,,,,169.11M,400.77M,,,6.679B,-2.762B,3.917B,,,,912.02M,4.829B,5.230B,107.98M,,,107.98M,325.80M,433.77M,,,,100.00M,100.00M,,533.77M,,1.563B,,1.563B,1.033B,,65.12M,,,,,,1.628B,3.744B,455.15M,122.56M,919.76M,,21.44M,-10.86M,1.487B
2005-06,400.06M,,400.06M,72.91M,,72.91M,118.40M,,,,235.26M,826.62M,,,6.685B,-2.762B,3.924B,,,,893.46M,4.817B,5.644B,112.85M,,,112.85M,305.56M,418.42M,,,,568.50M,568.50M,,986.92M,,1.563B,,1.563B,1.040B,,66.40M,,,,,,1.629B,4.224B,454.62M,58.27M,918.12M,,21.44M,-11.65M,1.419B
2005-03,25.80M,,25.80M,50.92M,,50.92M,118.84M,,,,221.34M,416.90M,,,6.676B,-2.762B,3.915B,,11.62M,,813.67M,4.740B,5.157B,110.30M,,,110.30M,290.23M,400.53M,,,,165.00M,165.00M,,565.53M,,1.529B,,1.529B,1.034B,,67.68M,,,,,,1.596B,3.747B,453.46M,50.55M,916.77M,,21.44M,-10.82M,1.410B
2004-12,26.87M,,26.87M,92.53M,,92.53M,124.56M,,,,180.90M,424.86M,6.616B,56.91M,6.673B,-2.762B,3.911B,,,,665.30M,4.576B,5.001B,105.59M,,,105.59M,251.70M,357.29M,,,,65.00M,65.00M,,422.29M,,1.640B,,1.640B,986.66M,,68.96M,,,,,,1.709B,3.592B,451.58M,55.05M,912.93M,,21.44M,-10.25M,1.409B
2004-09,38.33M,,38.33M,105.43M,,105.43M,127.14M,,,,115.03M,385.93M,,,6.537B,-2.647B,3.890B,,,,844.16M,4.734B,5.120B,101.67M,,,101.67M,260.42M,362.08M,,,,70.99M,70.99M,,433.07M,,1.659B,,1.659B,1.034B,,1.034B,,,,,,2.693B,3.788B,450.46M,-13.76M,913.27M,,21.44M,-18.08M,1.332B
2004-06,76.42M,,76.42M,88.62M,,88.62M,132.08M,,,,367.75M,664.88M,,,6.546B,-2.647B,3.899B,,,,833.87M,4.733B,5.398B,91.77M,,,91.77M,206.66M,298.43M,,,,386.63M,386.63M,,685.06M,,1.724B,,1.724B,1.030B,,1.030B,,,,,,2.754B,4.113B,449.97M,-74.13M,928.34M,,21.44M,-18.94M,1.285B
2004-03,355.27M,,355.27M,64.50M,,64.50M,129.90M,,,,110.05M,659.72M,,,6.546B,-2.647B,3.899B,,,,782.74M,4.682B,5.341B,95.05M,,,95.05M,186.73M,281.78M,,,,439.52M,439.52M,,721.30M,,1.697B,,1.697B,1.021B,,1.021B,,,,,,2.717B,4.086B,440.55M,-86.73M,944.00M,,21.44M,-42.28M,1.256B
2003-12,79.56M,,79.56M,80.97M,,80.97M,134.93M,,,,796.24M,1.092B,6.497B,59.57M,6.557B,-2.647B,3.910B,,,,741.77M,4.651B,5.743B,92.99M,,,92.99M,731.40M,824.40M,,,,186.94M,186.94M,,1.011B,,2.051B,,2.051B,1.044B,,74.29M,,,,,,2.126B,4.706B,385.64M,-102.78M,776.75M,2.391M,21.44M,-20.46M,1.037B
2003-09,165.41M,,165.41M,93.16M,,93.16M,138.79M,,,,874.14M,1.272B,,,6.503B,-2.589B,3.913B,,,,896.61M,4.810B,6.082B,80.27M,,,80.27M,749.97M,830.24M,,,,329.32M,329.32M,,1.160B,,2.344B,,2.344B,1.001B,,1.001B,,,,,,3.346B,5.050B,385.64M,-115.05M,789.59M,5.847M,21.44M,-22.82M,1.032B
2003-06,135.77M,,135.77M,77.52M,,77.52M,144.89M,,,,1.279B,1.637B,,,6.536B,-2.589B,3.947B,,,,1.125B,5.072B,6.709B,96.50M,,,96.50M,803.83M,900.33M,,,,242.73M,242.73M,,1.143B,,2.625B,,2.625B,1.021B,,1.021B,,,,214.50M,,3.861B,5.573B,385.64M,-33.99M,801.44M,8.283M,21.44M,-9.367M,1.135B
2003-03,213.63M,,213.63M,52.48M,,52.48M,139.68M,,,,1.394B,1.800B,,,6.536B,-2.589B,3.947B,,,,1.114B,5.061B,6.861B,81.71M,,,81.71M,954.09M,1.036B,,,,255.50M,255.50M,,1.291B,,2.676B,,2.676B,1.031B,,1.031B,,,,214.50M,,3.921B,5.753B,385.64M,-62.17M,811.35M,11.90M,21.44M,-15.50M,1.107B
2002-12,113.05M,,113.05M,49.20M,,49.20M,143.54M,,,,1.159B,1.465B,6.436B,40.07M,6.476B,-2.537B,3.939B,,,,1.337B,5.275B,6.740B,84.17M,,,84.17M,871.69M,955.86M,,,,291.29M,291.29M,,1.247B,,2.721B,,2.721B,1.097B,,1.097B,,,,214.50M,,4.032B,5.760B,385.64M,-185.96M,825.74M,18.70M,21.44M,-26.08M,980.64M
2002-09,150.49M,,150.49M,116.51M,,116.51M,144.14M,,,,144.59M,555.73M,,,6.464B,-2.460B,4.004B,,181.83M,,1.948B,6.134B,6.690B,102.94M,,,102.94M,502.96M,605.90M,,,,198.56M,198.56M,,804.46M,,3.414B,,3.414B,812.10M,,812.10M,,,69.26M,,,4.226B,5.532B,483.34M,-152.93M,1.254B,463.22M,21.44M,-31.97M,1.089B
2002-06,97.74M,,97.74M,101.90M,,101.90M,147.79M,,,,293.11M,640.54M,,,6.483B,-2.460B,4.023B,,181.83M,,1.997B,6.201B,6.842B,122.70M,,,122.70M,409.96M,532.66M,,,,126.79M,126.79M,,659.46M,,3.505B,,3.505B,824.15M,,824.15M,,,69.97M,,,4.330B,5.722B,480.89M,-196.24M,1.250B,455.98M,21.45M,-29.04M,1.050B
2002-03,93.62M,,93.62M,102.21M,,102.21M,147.61M,,,,167.28M,510.72M,,,6.487B,-2.460B,4.027B,,188.39M,,1.742B,5.957B,6.468B,123.83M,,,123.83M,397.96M,521.79M,,,,1.059B,1.059B,,1.581B,,2.301B,,2.301B,732.38M,,732.38M,,,69.15M,,,3.034B,5.304B,456.56M,-161.21M,1.203B,371.54M,21.94M,-32.81M,1.094B
2001-12,96.39M,,96.39M,96.82M,,96.82M,145.00M,,,,164.71M,502.93M,,,6.504B,-2.460B,4.044B,,879.93M,,2.081B,7.006B,7.509B,122.97M,,,122.97M,391.38M,514.35M,,,,383.13M,383.13M,,897.48M,,2.978B,,2.978B,924.18M,,924.18M,,,166.85M,,,3.903B,5.498B,454.96M,606.50M,1.197B,364.90M,23.94M,-49.27M,1.844B
2001-09,64.49M,,64.49M,121.10M,,121.10M,131.00M,,,,124.96M,441.55M,,,6.345B,-2.328B,4.017B,,899.57M,,2.113B,7.029B,7.471B,102.77M,,,102.77M,444.24M,547.01M,,,,239.02M,239.02M,,786.02M,,3.063B,,3.063B,868.25M,,868.25M,,,170.24M,220.00M,,4.151B,5.407B,452.37M,659.05M,1.162B,359.60M,24.69M,-20.08M,1.894B
2001-06,66.77M,,66.77M,130.07M,,130.07M,121.45M,,,,203.07M,521.36M,,,,,4.021B,,915.09M,,2.171B,7.107B,7.629B,119.01M,,,119.01M,465.36M,584.37M,,,,178.89M,178.89M,,763.26M,,3.196B,,3.196B,909.96M,,909.96M,,,173.60M,220.00M,,4.326B,5.565B,450.20M,644.62M,1.153B,355.84M,24.86M,-2.306M,1.890B
2001-03,14.18M,,14.18M,91.34M,,91.34M,107.34M,,,,145.65M,358.50M,,,,,4.009B,,959.61M,,2.249B,7.218B,7.576B,118.10M,,,118.10M,414.92M,533.02M,,,,113.85M,113.85M,,646.87M,,3.221B,,3.221B,934.86M,,934.86M,,,181.34M,220.00M,,4.376B,5.469B,449.72M,697.81M,1.153B,364.30M,24.86M,-10.22M,1.926B
2000-12,8.762M,,8.762M,152.16M,,152.16M,101.30M,,,,252.02M,514.25M,6.132B,189.85M,6.322B,-2.328B,3.993B,,976.10M,,2.283B,7.253B,7.767B,177.07M,,,177.07M,560.61M,737.68M,,,,76.82M,76.82M,,814.50M,,3.238B,,3.238B,919.81M,,919.81M,,,404.59M,,,4.158B,5.431B,375.27M,714.45M,850.10M,,24.86M,-8.404M,1.931B
2000-09,6.693M,,6.693M,175.65M,,175.65M,106.97M,,,,78.78M,368.09M,,,6.261B,-2.295B,3.966B,,1.033B,,2.432B,7.431B,7.799B,166.99M,,,166.99M,432.86M,599.85M,,,,96.36M,96.36M,,696.21M,,3.275B,,3.275B,966.28M,,966.28M,,,191.76M,,,4.241B,5.629B,372.76M,773.91M,840.28M,,24.86M,-8.277M,1.979B
2000-06,6.643M,,6.643M,245.03M,,245.03M,117.95M,,,,88.11M,457.74M,,,6.217B,-2.260B,3.957B,,1.071B,,2.490B,7.518B,7.976B,146.39M,,,146.39M,435.89M,582.28M,,,,254.69M,254.69M,,836.97M,,3.318B,,3.318B,992.18M,,992.18M,,,195.72M,,,4.310B,5.854B,369.43M,732.68M,826.52M,0.05M,24.86M,-2.345M,1.926B
2000-03,1.69M,,1.69M,198.01M,,198.01M,112.14M,,,,132.35M,444.19M,,,6.116B,-2.212B,3.904B,,1.089B,,2.384B,7.377B,7.822B,136.40M,,,136.40M,415.60M,551.99M,,,,691.76M,691.76M,,1.244B,,2.807B,,2.807B,999.84M,,999.84M,,,198.70M,,,3.807B,5.725B,369.43M,712.95M,823.64M,14.37M,24.86M,6.548M,1.898B
1999-12,11.04M,,11.04M,229.20M,,229.20M,112.39M,,,,250.34M,602.97M,5.890B,170.06M,6.060B,-2.171B,3.889B,,1.057B,,2.440B,7.387B,7.990B,132.83M,,,132.83M,401.27M,534.11M,,,,817.09M,817.09M,,1.351B,,2.883B,,2.883B,976.14M,,976.14M,,,412.73M,,,3.859B,5.688B,366.37M,679.88M,820.94M,15.79M,24.86M,37.79M,1.889B
1999-09,25.50M,,25.50M,255.20M,,255.20M,105.00M,,,,250.20M,635.90M,,,5.992B,-2.146B,3.845B,,,,3.594B,7.439B,8.075B,103.00M,,,103.00M,476.70M,579.70M,,,,593.60M,593.60M,,1.173B,,3.146B,,3.146B,924.80M,,924.80M,,,197.20M,,,4.071B,5.719B,583.30M,803.60M,810.30M,,244.90M,-38.80M,2.158B
1999-06,23.40M,,23.40M,226.90M,,226.90M,111.90M,,,,341.90M,704.10M,,,5.942B,-2.146B,3.796B,,,,3.698B,7.494B,8.198B,121.70M,,,121.70M,450.30M,572.00M,,,,663.50M,663.50M,0.10M,1.236B,,3.108B,,3.108B,983.30M,,983.30M,,,203.60M,,,4.091B,5.821B,580.70M,791.30M,801.90M,,244.90M,-0.40M,2.174B
1999-03,26.30M,,26.30M,188.80M,,188.80M,104.10M,,,,323.80M,643.00M,,,5.935B,-2.146B,3.788B,,,,3.556B,7.345B,7.988B,86.50M,,,86.50M,455.00M,541.50M,,,,603.10M,603.10M,0.10M,1.145B,,3.070B,,3.070B,931.40M,,931.40M,,,204.70M,,,4.002B,5.623B,575.70M,808.70M,779.80M,,244.90M,-4.00M,2.160B
1998-12,16.40M,,16.40M,218.20M,,218.20M,95.60M,,,,345.30M,675.50M,,,5.946B,-2.146B,3.800B,,,,3.476B,7.276B,7.951B,127.80M,,,127.80M,428.70M,556.50M,,,,478.30M,478.30M,,1.035B,,3.063B,,3.063B,938.70M,,938.70M,,,205.80M,,,4.002B,5.563B,574.40M,823.60M,775.30M,,244.90M,9.50M,2.183B
1998-09,15.70M,,15.70M,316.20M,,316.20M,89.70M,,,,348.70M,770.30M,,,5.913B,-2.146B,3.767B,,,,3.486B,7.253B,8.023B,175.10M,,,175.10M,468.00M,643.10M,,,,619.80M,619.80M,,1.263B,,2.717B,,2.717B,1.042B,,1.042B,,,205.90M,,,3.758B,5.526B,573.60M,944.00M,772.00M,,244.90M,1.60M,2.291B
1998-06,17.70M,,17.70M,251.40M,,251.40M,94.40M,,,,166.20M,529.70M,,,5.918B,-2.146B,3.771B,,,,3.144B,6.915B,7.445B,144.70M,,,144.70M,440.40M,585.10M,,,,750.10M,750.10M,-0.10M,1.335B,,2.087B,,2.087B,1.052B,,1.052B,,,209.20M,,,3.138B,4.965B,572.80M,906.70M,766.50M,,244.90M,24.80M,2.271B
