,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2006-06,35.36M,,,,-52.40M,,,56.30M,-9.445M,,,,0.964M,-48.77M,-18.25M,,3.747M,-43.38M,37.04M,26.81M,-42.82M,0.00,-12.03M,-77.20M,,-77.20M,,-0.876M,6.34M,-71.74M,,,100.51M,0.669M,,0.669M,,,,-20.42M,7.341M,88.10M,5.673M,4.332M,,10.00M,0.669M,,,,39.45M,45.66M
2006-03,26.84M,,,,46.80M,,,54.34M,-4.816M,,,,0.575M,-30.12M,-14.60M,,3.948M,-2.931M,-46.91M,-51.63M,-142.24M,1.232M,-17.28M,-63.33M,,-63.33M,,-1.455M,31.23M,-33.56M,,,43.00M,0.558M,,0.558M,,,,-18.78M,-6.816M,17.97M,38.54M,-32.87M,,5.673M,0.558M,,,,,
2005-12,7.643M,,,,84.21M,,,7.637M,-43.82M,,,,-2.522M,-6.454M,-4.699M,,4.855M,-25.10M,26.74M,58.58M,53.92M,,107.07M,-66.86M,,-66.86M,,28.70M,-27.92M,-66.08M,,,-0.502M,0.505M,,0.505M,,,,-18.73M,,-18.73M,16.28M,22.25M,,38.54M,0.505M,,,,0.56M,5.386M
2005-09,84.48M,,,,-32.56M,,,50.74M,23.18M,,,,0.803M,-45.34M,21.28M,,-5.013M,-2.444M,-32.13M,93.75M,30.09M,,156.73M,-39.65M,,-39.65M,,-1.347M,8.993M,-32.00M,,,-490.42M,0.616M,,0.616M,,,,-18.69M,,-508.50M,400.06M,-383.77M,,16.28M,0.616M,,,,0.05M,33.62M
2005-06,27.88M,,,,-15.30M,,,44.63M,8.914M,,,,0.907M,-22.00M,0.447M,,-1.511M,-43.15M,-8.384M,-15.98M,-90.57M,,-23.54M,-53.44M,,-53.44M,,-0.964M,-7.287M,-61.69M,,,477.48M,0.629M,,0.629M,,,,-18.63M,,459.48M,25.80M,374.25M,,400.06M,0.629M,,,,0.162M,20.03M
2005-03,15.62M,,,,-4.943M,,,47.51M,37.27M,,,,0.812M,41.62M,5.721M,,8.598M,5.057M,-7.097M,-36.53M,17.36M,,113.63M,-52.86M,,-52.86M,,-1.401M,2.009M,-52.25M,,,-45.48M,3.834M,,3.834M,,,,-18.54M,,-60.18M,24.61M,1.193M,,25.80M,3.834M,,,,,28.60M
2004-12,88.84M,,,,-66.35M,,,45.77M,-14.12M,,,,-4.548M,12.90M,0.167M,,6.216M,4.608M,-3.316M,7.255M,27.83M,-5.753M,71.68M,-57.13M,-38.99M,-96.12M,,15.50M,9.777M,-70.84M,,,0.258M,0.481M,,0.481M,,,,-15.29M,,-14.55M,38.33M,-13.72M,,24.61M,0.481M,,,,0.05M,31.88M
2004-09,60.37M,,,,-2.437M,,,46.38M,2.676M,,,,4.548M,-16.81M,4.69M,,10.02M,-2.272M,8.908M,36.12M,40.65M,0.014M,152.20M,-37.70M,0.00,-37.70M,,11.14M,0.208M,-26.35M,,,-149.22M,0.536M,,0.536M,,,,-15.26M,,-163.95M,76.42M,-38.10M,,38.33M,0.536M,,,,0.95M,24.35M
2004-06,13.98M,,,,26.64M,,,45.26M,7.082M,,,,-2.247M,-24.12M,-1.948M,,-3.562M,-33.85M,-14.33M,-3.107M,-80.92M,4.395M,14.18M,-46.80M,0.00,-46.80M,,,-23.28M,-70.08M,,,-241.57M,31.50M,,31.50M,,,,-12.89M,,-222.95M,355.27M,-278.84M,,76.42M,31.50M,,,,0.162M,47.39M
2004-03,15.68M,,,,2.38M,,,46.91M,-0.851M,,,,2.247M,16.47M,7.459M,,-0.488M,-1.216M,3.691M,22.50M,48.41M,0.197M,114.98M,-46.82M,129.27M,82.45M,,,0.002M,82.45M,,,-123.50M,214.54M,,214.54M,,,,-12.75M,,78.28M,79.56M,275.71M,,355.27M,214.54M,,,,,24.37M
2003-12,13.97M,,,,-12.15M,,,45.49M,-34.30M,,,,,1.075M,3.861M,,10.40M,-0.138M,-14.38M,-28.08M,-27.25M,3.952M,-10.29M,-37.41M,-540.92M,-578.33M,,801.84M,-12.84M,210.67M,,,-275.64M,2.095M,,2.095M,,,,-12.69M,0.00,-286.24M,165.41M,-85.86M,,79.56M,2.095M,,,,45.30M,55.40M
2003-09,-81.07M,,,,127.08M,,,46.18M,-4.673M,,,,,-15.69M,6.10M,,-16.55M,56.70M,-68.18M,29.87M,-7.762M,27.29M,107.05M,-34.95M,274.22M,239.27M,,,0.193M,239.46M,,,-306.57M,2.082M,,2.082M,,,,-12.38M,0.00,-316.86M,135.77M,29.64M,,165.41M,2.082M,,,,8.275M,35.58M
2003-06,28.19M,,,,-2.837M,,,48.55M,-7.237M,,,,,-16.56M,-5.213M,,14.84M,-59.24M,-12.34M,1.458M,-77.06M,17.11M,6.71M,-48.89M,300.00M,251.11M,,-0.801M,-318.79M,-68.48M,,,60.26M,2.041M,,2.041M,,,,-12.60M,-65.78M,-16.08M,213.63M,-77.86M,,135.77M,2.041M,,,,0.05M,70.56M
2003-03,123.92M,,,,-110.56M,,,41.92M,-54.07M,,,,,-0.86M,3.859M,,-2.459M,14.79M,10.89M,68.09M,94.31M,-4.649M,90.87M,-29.12M,,-29.12M,,0.801M,299.99M,271.66M,,,-242.94M,1.042M,,1.042M,,,,-20.06M,,-261.96M,113.05M,100.58M,,213.63M,1.042M,,,,,46.63M
2002-12,-99.32M,,,,89.24M,,,39.11M,39.47M,,,,,23.33M,-9.20M,,-0.874M,34.39M,-48.37M,-66.35M,-67.08M,-2.666M,-1.238M,-33.83M,0.00,-33.83M,,,4.113M,-29.72M,,,5.869M,6.238M,-4.735M,1.503M,,,,-8.524M,,-1.152M,143.42M,-32.11M,1.739M,113.05M,6.238M,,,-4.735M,0.00,58.35M
2002-09,43.57M,,,,-73.55M,,,-11.70M,102.30M,,,,,-8.828M,3.035M,,-19.89M,-15.45M,13.26M,132.87M,105.00M,-43.38M,122.24M,-12.89M,0.00,-12.89M,12.42M,-14.86M,15.59M,0.262M,,,-45.42M,4.339M,-4.637M,-0.298M,,,,-21.74M,0.586M,-66.87M,97.74M,55.63M,-0.711M,143.42M,4.339M,,,-4.637M,0.075M,-15.92M
2002-06,9.275M,,,,123.87M,,,94.20M,-116.37M,,,,,-8.19M,0.403M,,4.205M,-27.97M,23.83M,-52.21M,-59.94M,15.14M,66.18M,-48.54M,1.205M,-47.33M,-12.42M,0.731M,,-59.03M,,,18.00M,5.48M,-8.346M,-2.866M,,,,-21.67M,-0.318M,-6.861M,87.50M,0.288M,0.711M,97.74M,5.48M,,,-8.346M,0.435M,129.86M
2002-03,-746.53M,,,,746.95M,,,46.98M,-0.966M,,,,,-11.11M,-3.193M,,-4.47M,-1.045M,-0.03M,-12.91M,-32.76M,-15.14M,-1.459M,-31.50M,,-31.50M,,14.13M,,-17.37M,,,39.58M,4.849M,-3.373M,1.476M,,,,-21.60M,-0.268M,19.18M,87.15M,0.356M,,87.50M,4.849M,,,-3.373M,,62.92M
2001-12,-31.12M,,,,-32.51M,,,108.50M,26.62M,,,,,27.13M,-14.10M,,22.20M,-0.242M,-36.87M,-55.48M,-57.37M,,14.12M,-52.93M,,-52.93M,7.239M,0.00,20.79M,-24.90M,,,62.87M,5.601M,,4.188M,,,,-21.51M,0.17M,45.72M,64.49M,34.95M,-2.749M,96.69M,5.601M,,,,0.001M,43.89M
2001-09,35.98M,,,,-18.48M,,,101.19M,-32.72M,,,,,4.116M,-10.46M,,-16.35M,14.45M,-4.779M,42.98M,29.96M,,115.92M,-54.08M,,-54.08M,1.689M,1.328M,9.162M,-41.90M,,,-58.82M,5.426M,,5.426M,,,,-21.43M,-0.17M,-75.00M,66.77M,-0.975M,-1.298M,64.49M,5.426M,,,,0.00,88.59M
2001-06,-30.19M,,,,55.18M,,,101.47M,-28.02M,,,,,-55.86M,-14.98M,,3.845M,-26.77M,28.23M,3.037M,-62.50M,,35.94M,-66.32M,,-66.32M,-0.022M,-0.507M,42.26M,-24.59M,,,48.72M,5.678M,,5.678M,,,,-17.21M,,37.19M,14.18M,48.54M,4.047M,66.77M,5.678M,,,,1.81M,81.61M
2001-03,4.45M,,,,-35.21M,,,102.49M,-0.904M,,,,,60.82M,-6.034M,,-36.55M,8.913M,-14.51M,-24.61M,-11.97M,,58.85M,-63.13M,,-63.13M,-8.906M,2.008M,,-70.03M,,,32.10M,9.902M,,9.902M,,,,-25.40M,,16.60M,8.762M,5.416M,,14.18M,9.902M,,,,4.00M,92.78M
2000-12,-65.05M,,,,28.64M,,,95.90M,,,,,,-90.67M,6.856M,,10.01M,-43.29M,-0.934M,72.56M,-45.47M,,-15.73M,-76.35M,,-76.35M,-19.80M,-2.745M,50.69M,-48.21M,,,-39.83M,12.32M,0.00,12.32M,,,,-20.08M,,67.41M,6.693M,3.473M,,8.762M,12.32M,,,0.00,11.24M,60.66M
2000-09,89.59M,,,,6.568M,,,105.26M,,,,,,67.80M,10.99M,,20.60M,35.84M,10.18M,-110.78M,34.63M,,236.04M,-61.37M,,-61.37M,-6.513M,4.292M,-5.589M,-69.18M,,,-162.82M,17.15M,0.00,17.15M,,,,-21.14M,,-166.81M,6.643M,0.05M,,6.693M,17.15M,,,0.00,13.72M,70.03M
2000-06,25.19M,,,,-54.26M,,,103.73M,,,,,-18.49M,-46.79M,-5.813M,,9.995M,21.80M,-21.69M,-15.28M,-57.78M,,-1.613M,-105.87M,,-105.87M,-7.763M,22.91M,0.671M,-90.05M,,,102.22M,15.33M,0.00,15.33M,,,,-20.93M,,96.62M,1.69M,4.953M,,6.643M,15.33M,,,0.00,3.721M,84.59M
2000-03,41.32M,,,,-125.29M,,,103.41M,,,,,18.49M,32.54M,0.251M,,3.564M,-29.58M,-9.077M,31.82M,29.51M,,67.44M,-64.49M,,-64.49M,-13.18M,194.15M,4.918M,121.40M,,,-168.89M,15.15M,-9.187M,5.967M,,,,-36.67M,,-199.60M,12.44M,-10.75M,,1.69M,15.15M,,,-9.187M,0.072M,95.07M
1999-12,-85.65M,,,,114.94M,,,,,,,,-300.60M,25.98M,-7.424M,,29.80M,0.211M,28.53M,-77.56M,-0.467M,,97.44M,-89.14M,-19.10M,-108.24M,-33.31M,74.55M,6.756M,-60.24M,,,-12.87M,13.74M,,-2.046M,,,,-36.83M,0.10M,-51.65M,25.50M,-14.45M,,11.04M,13.74M,,,,-0.316M,46.30M
1999-09,49.00M,,,,-23.90M,,,,,,,,130.20M,-23.50M,8.50M,,-18.70M,8.20M,-14.70M,46.60M,6.40M,,161.70M,-98.00M,19.10M,-78.90M,-59.80M,-22.80M,50.20M,-111.30M,,,-22.40M,11.00M,,11.00M,,,,-36.70M,-0.10M,-48.20M,23.40M,2.20M,,25.50M,11.00M,,,,0.30M,100.20M
1999-06,18.50M,,,,-7.40M,,,,,,,,86.60M,-34.40M,-7.70M,,35.20M,-36.20M,8.80M,-12.40M,-46.70M,,51.00M,-47.00M,,-47.00M,-76.00M,17.30M,-34.20M,-139.90M,,,108.90M,12.80M,,12.80M,,,,-35.80M,,85.90M,26.30M,-3.00M,,23.40M,12.80M,,,,-24.80M,73.40M
1999-03,20.70M,,,,-7.30M,,,,,,,,83.80M,28.10M,-8.40M,,-41.30M,9.10M,-39.30M,12.90M,-38.90M,,58.30M,-41.60M,,-41.60M,-99.30M,-7.60M,-7.20M,-155.70M,,,137.30M,5.70M,,5.70M,,,,-35.70M,,107.30M,16.40M,9.90M,,26.30M,5.70M,,,,25.60M,78.90M
1998-12,-96.64M,,,,105.50M,,,,,,,,-180.56M,104.20M,-6.00M,,-52.40M,-4.10M,-83.20M,-25.20M,-66.70M,,42.30M,-70.80M,,-70.80M,-44.30M,8.70M,-15.00M,-121.40M,,,112.40M,4.30M,0.00,4.30M,,,,-36.90M,,79.80M,15.70M,0.70M,,16.40M,4.30M,,,0.00,15.10M,40.70M
1998-09,71.50M,,,,6.80M,,,,,,,,61.40M,-61.20M,5.10M,,27.60M,17.90M,-16.90M,6.50M,-21.00M,,118.70M,-42.60M,,-42.60M,-295.00M,-241.80M,-7.80M,-587.20M,,,495.60M,6.30M,0.00,6.30M,,,,-35.40M,-0.10M,466.40M,17.70M,-2.10M,,15.70M,6.30M,,,0.00,8.50M,61.00M
1998-06,29.40M,,,,0.10M,,,,,,,,70.20M,-70.40M,-1.40M,,47.30M,-37.80M,-25.80M,13.90M,-74.20M,,25.50M,-35.60M,,-35.60M,-148.90M,,36.00M,-148.50M,,,206.20M,6.70M,-50.00M,-43.30M,,,,-36.20M,0.20M,126.90M,13.90M,3.90M,,17.70M,6.70M,,,-50.00M,23.40M,62.50M
