,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2008-12,142.53M,5.00M,147.53M,204.27M,17.54M,221.81M,71.32M,5.551M,84.02M,,160.89M,,41.81M,16.40M,588.45M,0.00,1.383M,6.519M,100.21M,,,16.43M,124.54M,-74.37M,50.18M,715.57M,228.90M,944.47M,,51.92M,1.047B,1.635B,,49.61M,,49.61M,54.62M,104.23M,0.124M,0.124M,55.24M,55.24M,,63.72M,223.32M,151.46M,,151.46M,42.21M,12.42M,54.62M,,3.655M,61.55M,267.64M,490.96M,,0.00,427.92M,684.83M,,,27.65M,1.140B,,,Restated
2008-09,70.48M,,70.48M,257.55M,8.724M,266.27M,75.56M,7.809M,78.66M,,162.03M,,49.64M,16.74M,565.16M,,,,,,,,113.61M,-62.79M,50.82M,716.19M,181.20M,897.39M,,60.33M,1.009B,1.574B,,68.45M,,68.45M,60.07M,128.52M,0.129M,0.129M,56.56M,56.56M,,53.01M,238.21M,51.49M,,51.49M,56.37M,,56.37M,,,67.59M,175.45M,413.67M,,0.00,421.16M,681.02M,,,57.86M,1.160B,,,Restated
2008-06,79.82M,,79.82M,267.20M,9.985M,277.18M,66.74M,7.739M,78.89M,,153.37M,,42.26M,17.00M,569.64M,,,,,,,,114.40M,-62.79M,51.62M,713.01M,186.97M,899.98M,,62.60M,1.014B,1.584B,,73.58M,,73.58M,68.09M,141.67M,0.137M,0.137M,59.08M,59.08M,,50.39M,251.28M,0.432M,,0.432M,59.98M,,59.98M,,,63.22M,123.63M,374.91M,,0.00,447.81M,683.27M,,,77.84M,1.209B,,,Restated
2008-03,71.38M,,71.38M,280.65M,9.98M,290.63M,66.88M,7.33M,74.30M,,148.50M,,41.76M,18.33M,570.60M,,,,,,,,115.11M,-62.79M,52.33M,709.15M,197.98M,907.12M,,57.82M,1.017B,1.588B,,72.80M,,72.80M,57.33M,130.13M,0.138M,0.138M,56.98M,76.87M,19.89M,28.55M,235.68M,60.44M,,60.44M,61.29M,,61.29M,,,71.71M,193.44M,429.12M,,0.00,408.03M,670.32M,80.40M,,80.40M,1.159B,,,Restated
2007-12,103.20M,,103.20M,239.88M,10.20M,250.08M,63.46M,9.267M,70.29M,,143.02M,,44.33M,15.66M,556.30M,0.00,16.78M,6.527M,90.93M,,,,114.23M,-62.79M,51.44M,675.85M,197.78M,873.63M,,57.99M,983.06M,1.539B,,67.59M,,67.59M,65.94M,133.53M,0.126M,0.126M,49.42M,64.22M,14.80M,51.98M,249.85M,60.56M,,60.56M,47.92M,,47.92M,,,72.00M,180.48M,430.33M,,0.00,388.56M,660.75M,59.72M,,59.72M,1.109B,,,
2007-09,84.07M,,84.07M,242.59M,10.68M,253.27M,66.85M,12.15M,63.16M,,142.16M,,,57.21M,536.71M,,,,,,,,115.35M,-63.68M,51.67M,669.61M,195.46M,865.07M,,51.09M,967.83M,1.505B,,63.36M,,63.36M,,63.36M,0.167M,0.167M,53.60M,58.83M,5.234M,121.29M,243.65M,80.92M,,80.92M,39.91M,,39.91M,,,67.46M,188.29M,431.94M,,0.00,362.27M,650.45M,,,59.87M,1.073B,,,
2007-06,73.76M,,73.76M,235.19M,11.94M,247.13M,64.17M,14.15M,59.34M,,137.66M,,,55.26M,513.82M,,,,,,,,124.85M,-72.58M,52.27M,657.75M,202.69M,860.44M,,47.84M,960.55M,1.474B,,63.80M,,63.80M,,63.80M,11.25M,11.25M,41.44M,44.73M,3.291M,121.54M,241.32M,111.74M,,111.74M,45.58M,,45.58M,,,64.98M,222.30M,463.62M,,0.00,334.89M,628.62M,,,47.24M,1.011B,,,
2007-03,63.57M,,63.57M,216.10M,12.32M,228.42M,64.22M,13.68M,49.72M,,127.62M,,29.29M,13.46M,462.36M,0.00,1.231M,19.82M,100.28M,,,,121.33M,-67.60M,53.74M,653.84M,212.06M,865.89M,0.407M,44.16M,964.20M,1.427B,,67.77M,,67.77M,85.47M,153.24M,9.994M,9.994M,35.04M,36.37M,1.334M,12.95M,212.56M,160.49M,,160.49M,37.40M,,37.40M,,,58.69M,256.58M,469.14M,,616.51M,299.87M,,41.10M,-0.067M,41.04M,957.42M,,,
2006-12,129.62M,,129.62M,177.05M,6.014M,183.07M,66.85M,6.181M,39.52M,,112.55M,,25.90M,13.03M,464.17M,0.00,1.231M,18.81M,91.64M,,,,111.68M,-63.68M,48.00M,374.51M,67.17M,441.68M,,29.62M,519.30M,983.48M,,49.19M,,49.19M,80.59M,129.78M,,,28.06M,32.58M,4.525M,23.81M,186.18M,0.481M,,0.481M,21.63M,,21.63M,,,27.52M,49.63M,235.81M,,0.00,271.18M,435.37M,41.21M,-0.103M,41.11M,747.66M,,,
2006-09,136.40M,,136.40M,173.32M,7.423M,180.74M,60.55M,7.699M,46.63M,,114.88M,,21.83M,10.28M,464.13M,0.00,1.231M,18.39M,89.07M,,,,108.69M,-61.30M,47.39M,332.11M,41.04M,373.16M,3.809M,24.56M,448.91M,913.04M,,40.53M,,40.53M,69.52M,110.05M,0.29M,0.29M,24.30M,29.76M,5.462M,21.98M,162.08M,0.467M,,0.467M,14.03M,,14.03M,,,27.53M,42.03M,204.11M,,0.00,247.20M,428.73M,32.96M,0.036M,33.00M,708.92M,,,
2006-06,107.73M,,107.73M,171.94M,9.336M,181.28M,62.93M,7.919M,43.08M,0.001M,113.92M,,19.02M,9.587M,431.53M,0.00,1.231M,15.76M,87.97M,,,,104.97M,-57.69M,47.28M,370.95M,,370.95M,6.483M,24.17M,448.87M,880.40M,,47.98M,,47.98M,68.31M,116.30M,0.431M,0.431M,24.50M,28.50M,3.996M,28.50M,173.72M,0.459M,,0.459M,14.37M,,14.37M,,,27.11M,41.94M,215.66M,,0.00,221.86M,413.62M,,,29.26M,664.74M,,,
2006-03,97.65M,,97.65M,171.39M,5.998M,177.39M,54.32M,7.29M,39.94M,,101.55M,,20.71M,10.05M,407.35M,0.00,1.231M,15.64M,81.14M,,,,98.01M,-54.00M,44.01M,289.60M,26.86M,316.46M,4.485M,23.95M,388.91M,796.26M,,49.68M,,49.68M,59.02M,108.70M,0.166M,0.166M,18.73M,19.99M,1.26M,29.19M,158.04M,0.437M,,0.437M,9.881M,,9.881M,,,16.03M,26.35M,184.40M,,397.69M,193.35M,,,,20.82M,611.86M,,,
2005-12,73.85M,,73.85M,145.10M,6.489M,151.59M,52.20M,7.249M,48.40M,,107.85M,,18.50M,8.58M,360.38M,0.00,1.231M,14.40M,82.38M,,,,98.02M,-55.35M,42.66M,286.15M,27.31M,313.46M,3.58M,23.01M,382.71M,743.09M,,45.21M,,45.21M,59.74M,104.94M,0.216M,0.216M,12.59M,16.68M,4.087M,24.92M,146.76M,0.433M,,0.433M,5.602M,,5.602M,,,19.04M,25.08M,171.83M,,384.20M,167.52M,,,,19.53M,571.26M,,,
2005-09,87.29M,,87.29M,146.79M,2.521M,149.31M,29.28M,7.729M,,56.93M,93.94M,,20.49M,9.964M,361.00M,0.00,1.231M,12.21M,91.07M,,,,104.52M,-68.69M,35.82M,,271.52M,271.52M,7.882M,22.95M,338.18M,699.18M,,39.53M,,39.53M,50.18M,89.72M,,,10.88M,13.32M,2.442M,24.97M,128.02M,0.659M,,0.659M,5.739M,,5.739M,,,21.37M,27.77M,155.79M,,376.56M,144.13M,,,,22.71M,543.39M,,,
2005-06,56.86M,,56.86M,150.59M,2.717M,153.31M,28.24M,6.226M,55.38M,,89.85M,,21.67M,9.747M,331.44M,0.00,1.231M,11.60M,88.11M,,,,100.94M,-68.65M,32.29M,,271.29M,271.29M,8.136M,22.43M,334.14M,665.59M,,41.90M,,41.90M,48.45M,90.36M,,,11.38M,15.88M,4.501M,16.80M,123.03M,0.661M,,0.661M,5.634M,,5.634M,,,22.44M,28.74M,151.77M,,368.47M,123.90M,,,,21.45M,513.82M,,,
2005-03,50.19M,,50.19M,154.54M,3.605M,158.14M,28.66M,5.814M,56.84M,,91.31M,,21.68M,9.377M,330.71M,0.00,1.231M,11.25M,85.40M,,,,97.88M,-66.62M,31.26M,,274.88M,274.88M,8.054M,23.98M,338.18M,668.89M,,45.67M,,45.67M,46.10M,91.77M,12.50M,12.50M,10.78M,12.24M,1.466M,16.82M,133.34M,16.34M,,16.34M,6.363M,,6.363M,,,22.66M,45.36M,178.70M,,354.45M,100.11M,,,,35.63M,490.19M,,,
2004-12,71.87M,,71.87M,123.94M,4.182M,128.12M,26.06M,3.989M,57.69M,,87.74M,,21.85M,7.878M,317.47M,0.00,1.231M,11.16M,82.40M,,,,94.79M,-63.80M,30.99M,,273.36M,273.36M,8.019M,24.14M,336.51M,653.98M,,43.55M,,43.55M,49.14M,92.69M,12.50M,12.50M,9.317M,11.84M,2.521M,11.95M,128.98M,26.50M,,26.50M,5.435M,,5.435M,,,20.91M,52.84M,181.82M,,345.13M,82.67M,,,,44.36M,472.16M,,,
2004-09,59.12M,,59.12M,124.13M,,124.13M,24.71M,3.853M,53.19M,,81.75M,,4.525M,10.02M,279.55M,0.00,1.231M,10.51M,77.75M,,,,89.49M,-60.52M,28.97M,,267.87M,267.87M,4.145M,23.40M,324.39M,603.94M,,44.38M,,44.38M,47.90M,92.28M,12.66M,12.66M,,1.934M,1.934M,13.73M,120.60M,39.61M,,39.61M,5.088M,,5.088M,,,20.31M,65.01M,185.61M,,322.30M,66.26M,,,,29.76M,418.33M,,,
2004-06,54.66M,,54.66M,131.58M,,131.58M,17.43M,3.706M,48.70M,,69.84M,,4.372M,9.70M,270.15M,0.00,1.231M,10.13M,74.34M,,,,85.70M,-57.91M,27.79M,,264.18M,264.18M,4.156M,23.20M,319.34M,589.48M,,44.03M,,44.03M,43.48M,87.51M,12.74M,12.74M,,0.309M,0.309M,13.62M,114.18M,64.72M,,64.72M,4.959M,,4.959M,,,20.06M,89.73M,203.91M,,313.05M,48.35M,,,,24.18M,385.57M,,,
2004-03,40.20M,,40.20M,124.05M,,124.05M,17.05M,1.988M,45.87M,,64.91M,,4.38M,7.887M,241.43M,0.00,1.231M,9.966M,77.53M,,,,88.73M,-61.97M,26.76M,,267.21M,267.21M,4.185M,20.55M,318.70M,560.13M,,36.21M,,36.21M,39.96M,76.17M,12.80M,12.80M,,,,11.89M,100.85M,71.85M,,71.85M,5.112M,,5.112M,,,20.28M,97.24M,198.09M,,307.51M,27.83M,,,,26.69M,362.04M,,,
2003-12,45.42M,,45.42M,104.63M,6.415M,111.05M,20.93M,3.876M,46.02M,,70.83M,,4.38M,8.847M,240.52M,0.00,1.231M,9.898M,75.72M,,,,86.85M,-59.47M,27.38M,,261.17M,261.17M,4.173M,19.37M,312.08M,552.60M,,26.02M,,26.02M,46.70M,72.72M,12.88M,12.88M,7.699M,8.835M,1.136M,9.969M,104.40M,77.60M,,77.60M,4.229M,,4.229M,,,18.12M,99.95M,204.36M,,303.02M,14.99M,,,,30.24M,348.24M,,,
2003-09,43.41M,,43.41M,103.06M,,103.06M,22.61M,4.407M,45.69M,,72.70M,,,8.215M,227.39M,0.00,1.391M,5.253M,77.98M,5.131M,,,89.76M,-65.41M,24.35M,,250.98M,250.98M,0.42M,22.39M,298.13M,525.52M,,25.96M,,25.96M,43.34M,69.30M,12.77M,12.77M,,1.636M,1.636M,7.831M,91.54M,95.23M,,95.23M,2.944M,,2.944M,,,17.57M,115.74M,207.28M,,299.39M,-0.101M,,,,18.96M,318.24M,,,
2003-06,30.82M,,30.82M,114.66M,,114.66M,20.92M,3.322M,46.86M,,71.11M,,,7.398M,223.99M,0.00,1.391M,11.90M,80.78M,,,,94.07M,-72.48M,21.59M,,235.30M,235.30M,0.434M,22.98M,280.31M,504.30M,,36.72M,,36.72M,45.11M,81.83M,12.62M,12.62M,,1.385M,1.385M,7.187M,103.02M,98.11M,,98.11M,2.779M,,2.779M,,,16.81M,117.70M,220.73M,,277.72M,-10.04M,,,,15.89M,283.57M,,,
2003-03,13.53M,,13.53M,94.21M,,94.21M,22.10M,3.431M,38.99M,,64.51M,,,9.405M,181.66M,0.00,1.391M,2.909M,86.66M,,,,90.96M,-69.37M,21.59M,,229.92M,229.92M,0.417M,13.20M,265.13M,446.79M,,30.51M,,30.51M,45.07M,75.58M,24.08M,24.08M,,0.342M,0.342M,7.135M,107.14M,107.26M,,107.26M,2.651M,,2.651M,,,17.09M,127.00M,234.14M,,227.58M,-18.14M,,,,3.202M,212.64M,,,
2002-12,28.68M,,28.68M,79.64M,,79.64M,21.10M,5.187M,34.86M,,61.14M,,,8.477M,177.94M,0.00,1.391M,9.356M,77.20M,,,,87.94M,-65.91M,22.04M,,229.17M,229.17M,0.417M,12.09M,263.71M,441.66M,,30.67M,,30.67M,45.12M,75.79M,30.66M,30.66M,,,,6.45M,112.90M,107.86M,,107.86M,2.561M,,2.561M,,,16.98M,127.40M,240.30M,,225.87M,-23.50M,,,,-1.026M,201.35M,,,
2002-09,30.35M,,30.35M,82.02M,,82.02M,20.90M,6.337M,30.14M,,57.37M,,,7.702M,177.44M,0.00,1.391M,9.248M,76.11M,,,,86.75M,-63.74M,23.02M,,223.75M,223.75M,0.433M,11.24M,258.44M,435.87M,,25.96M,,25.96M,47.05M,73.01M,62.34M,62.34M,,,,7.977M,143.32M,87.53M,,87.53M,1.842M,,1.842M,,,15.85M,105.23M,248.55M,,223.78M,-27.50M,,,,-8.958M,187.32M,,,
2002-06,27.74M,,27.74M,84.14M,,84.14M,26.65M,8.44M,17.50M,-0.001M,52.59M,,,8.555M,173.02M,0.00,1.686M,10.32M,74.49M,,,,86.49M,-61.20M,25.29M,,227.55M,227.55M,0.449M,10.81M,264.10M,437.12M,,23.77M,,23.77M,30.52M,54.28M,66.80M,66.80M,,,,25.22M,146.30M,92.07M,,92.07M,2.172M,,2.172M,,,15.94M,110.18M,256.48M,,218.07M,-30.21M,,,,-7.23M,180.64M,,,
2002-03,33.02M,,33.02M,72.80M,,72.80M,26.18M,8.84M,18.47M,,53.49M,,,7.482M,166.80M,0.00,1.651M,10.03M,72.47M,0.001M,,,84.14M,-58.25M,25.89M,,215.60M,215.60M,0.406M,9.842M,251.74M,418.53M,,21.05M,,21.05M,30.04M,51.08M,72.67M,72.67M,,,,25.61M,149.37M,108.07M,,108.07M,1.362M,,1.362M,,,4.541M,113.97M,263.34M,,208.66M,-34.53M,,,,-18.93M,155.20M,,,
2001-12,31.08M,,31.08M,71.68M,,71.68M,25.79M,7.177M,18.84M,,51.81M,,,6.536M,161.10M,0.00,1.657M,3.979M,72.63M,5.882M,,,84.15M,-56.61M,27.54M,,220.30M,220.30M,0.383M,10.06M,258.29M,419.40M,,21.49M,,21.49M,37.92M,59.42M,63.47M,63.47M,,7.403M,7.403M,11.51M,141.80M,127.10M,,127.10M,7.347M,,7.347M,,,4.662M,139.11M,280.91M,,191.22M,-33.82M,,,,-18.92M,138.49M,,,
2001-09,42.40M,,42.40M,81.78M,,81.78M,,,,,58.85M,,,7.404M,190.44M,,,,,,,,87.59M,-56.90M,30.69M,,229.33M,229.33M,0.493M,10.90M,271.42M,461.86M,,23.04M,,23.04M,56.47M,79.51M,178.60M,178.60M,,5.435M,5.435M,1.459M,265.00M,65.90M,,65.90M,7.257M,,7.257M,,,5.436M,78.59M,343.60M,,164.19M,-27.19M,,,,-18.75M,118.26M,,,
2001-06,27.82M,,27.82M,87.28M,,87.28M,32.33M,9.153M,26.67M,,68.16M,,,7.603M,190.86M,,,,,,,,89.08M,-56.90M,32.18M,,235.21M,235.21M,0.489M,11.22M,279.10M,469.96M,,22.36M,,22.36M,66.40M,88.76M,123.30M,123.30M,,,,6.836M,218.90M,120.92M,,120.92M,7.581M,,7.581M,,,4.61M,133.11M,352.01M,,163.18M,-24.50M,,,,-20.72M,117.96M,,,
2001-03,44.00M,,44.00M,81.61M,,81.61M,30.68M,10.82M,30.25M,,71.74M,,,7.355M,204.70M,,,,89.69M,,,,89.69M,-56.90M,32.79M,,239.46M,239.46M,0.493M,13.49M,286.23M,490.93M,,31.58M,,31.58M,47.59M,79.17M,130.39M,130.39M,,,,22.73M,232.28M,129.18M,,129.18M,7.906M,,7.906M,,,5.243M,142.33M,374.61M,,155.12M,-22.53M,,,,-16.28M,116.32M,,,
2000-12,40.88M,,40.88M,83.60M,,83.60M,,,,,60.85M,,,8.017M,193.34M,,,,,,,,90.96M,-56.90M,34.06M,,249.83M,249.83M,0.531M,12.74M,297.16M,490.50M,,26.45M,,26.45M,57.01M,83.46M,113.72M,113.72M,,5.005M,5.005M,1.591M,203.78M,137.34M,,137.34M,8.23M,,8.23M,,,6.212M,151.78M,355.56M,,154.85M,-10.94M,,,,-8.963M,134.94M,,,
2000-09,29.48M,9.116M,38.60M,,,89.99M,,,,,56.27M,,,6.197M,191.05M,,,,,,,,89.70M,-56.90M,32.80M,,249.57M,249.57M,,12.74M,295.10M,486.16M,,22.42M,,22.42M,,22.42M,113.69M,113.69M,,,,72.73M,208.84M,136.19M,,136.19M,,,,,,15.51M,151.70M,360.54M,,136.96M,-8.324M,,,,-3.021M,125.61M,,,
2000-06,94.44M,24.90M,119.34M,,,45.65M,,,,,19.04M,,,3.881M,187.91M,,,,,,,,68.56M,-56.90M,11.66M,,1.135M,1.135M,,8.891M,21.69M,209.60M,,12.44M,,12.44M,,12.44M,,,,,,34.49M,46.93M,30.72M,,30.72M,,,,,,2.279M,33.00M,79.93M,,135.42M,-4.056M,,,,-1.695M,129.67M,,,
2000-03,56.16M,54.85M,111.01M,,,40.26M,,,,,16.23M,,,4.215M,171.71M,,,,,,,,68.88M,-56.90M,11.98M,,1.113M,1.113M,,9.718M,22.81M,194.52M,,11.90M,,11.90M,,11.90M,1.388M,1.388M,,,,35.44M,48.73M,30.68M,,30.68M,,,,,,2.767M,33.44M,82.17M,,130.05M,-16.41M,,,,-1.283M,112.35M,,,
1999-12,49.30M,52.70M,102.00M,,,36.00M,,,,,16.40M,,,4.50M,158.90M,,,,,,,,69.20M,-56.90M,12.30M,,1.20M,1.20M,,9.40M,22.90M,181.80M,,11.70M,,11.70M,,11.70M,1.40M,1.40M,,,,34.00M,47.10M,30.60M,,30.60M,,,,,,3.30M,33.90M,81.00M,,127.00M,-25.10M,,,,-1.00M,100.80M,,,
1999-09,57.20M,39.70M,96.90M,,,41.80M,,,,,18.30M,,,3.80M,160.80M,,,,,,,,69.40M,-56.90M,12.50M,,1.10M,1.10M,,7.70M,21.30M,182.10M,,13.90M,,13.90M,,13.90M,1.40M,1.40M,,,,40.60M,55.90M,34.00M,,34.00M,,,,,,-0.10M,33.90M,89.80M,,124.20M,-31.00M,,-0.90M,-0.10M,-1.00M,92.30M,,,
1999-06,41.20M,,41.20M,,,39.00M,,,,,32.80M,,,26.70M,139.70M,,,,,,,,70.70M,-56.90M,13.80M,,1.20M,1.20M,,7.90M,22.90M,162.60M,,13.30M,,13.30M,,13.30M,1.40M,1.40M,,,,33.80M,48.50M,30.00M,,30.00M,,,,,,,30.00M,78.50M,,,-39.00M,,,,,84.10M,,,
1999-03,53.40M,,53.40M,,,37.10M,,,,,34.90M,,,13.60M,139.00M,,,,,,,,71.90M,-56.90M,15.00M,,1.30M,1.30M,,8.60M,24.90M,163.90M,,14.40M,,14.40M,,14.40M,1.40M,1.40M,,,,38.90M,54.70M,,,,,,,,,,31.40M,86.10M,,,-43.70M,,,,,77.80M,,,
1998-12,40.90M,,40.90M,,,33.40M,,,,,37.20M,,,20.40M,131.90M,,,,,,,,72.00M,-56.90M,15.10M,,1.30M,1.30M,,8.00M,24.40M,156.30M,,13.00M,,13.00M,,13.00M,1.40M,1.40M,,,,35.50M,49.90M,31.60M,,31.60M,,,,,,0.10M,31.70M,81.60M,,,-46.70M,,,,,74.70M,,,
1998-09,47.60M,,47.60M,,,37.10M,,,,,46.20M,,,13.50M,144.40M,,,,,,,,67.40M,-50.20M,17.20M,,1.40M,1.40M,,7.60M,26.20M,170.60M,,11.50M,,11.50M,,11.50M,1.30M,1.30M,,,,34.00M,46.80M,,,,,,,,,,31.80M,78.60M,,,-28.60M,,,,,92.00M,,,
1998-06,23.20M,,23.20M,,,45.90M,,,,,55.60M,,,47.90M,172.60M,,,,,,,,71.70M,-50.20M,21.50M,,3.40M,3.40M,,7.40M,32.30M,204.90M,,15.60M,,15.60M,,15.60M,1.30M,1.30M,,,,20.40M,37.30M,,,,,,,,,,32.00M,69.30M,,,8.80M,,,,,135.60M,,,
1998-03,16.90M,,16.90M,,,49.00M,,,,,52.90M,,,57.50M,176.30M,,,,,,,,71.80M,-50.20M,21.60M,,3.60M,3.60M,,7.50M,32.70M,209.00M,,16.70M,,16.70M,,16.70M,0.20M,0.20M,,,,21.10M,38.00M,,,,,,,,,,30.60M,68.60M,,,8.60M,,,,,140.40M,,,
1997-12,20.00M,,20.00M,,,49.10M,,,,,47.80M,,,57.30M,174.20M,,,,,,,,72.20M,-50.20M,22.00M,,3.70M,3.70M,,7.80M,33.50M,207.70M,,18.70M,,18.70M,,18.70M,,,,,,18.80M,37.50M,,,,,,,,,,30.70M,68.20M,,,6.70M,,,,,139.50M,,,
1997-09,26.80M,,26.80M,,,36.50M,,,,,47.50M,,,58.90M,169.70M,,,,,,,,63.80M,-41.80M,22.00M,,4.00M,4.00M,,5.40M,31.40M,201.10M,,16.20M,,16.20M,,16.20M,,,,,,19.60M,35.80M,,,,,,,,,,30.70M,66.50M,,,4.30M,,,,,134.60M,,,
1997-06,31.40M,,31.40M,,,39.50M,,,,,38.50M,,,59.90M,169.30M,,,,,,,,64.10M,-41.80M,22.30M,,4.10M,4.10M,,5.40M,31.80M,201.10M,,16.20M,,16.20M,,16.20M,0.40M,0.40M,,,,23.80M,40.40M,,,,,,,,,,30.80M,71.20M,,,2.70M,,,,,129.90M,,,
1997-03,26.10M,,26.10M,,,38.10M,,,,,38.90M,,,62.90M,166.00M,,,,,,,,63.40M,-41.80M,21.60M,,4.20M,4.20M,,5.80M,31.60M,197.60M,,14.70M,,14.70M,,14.70M,0.90M,0.90M,,,,26.10M,41.70M,,,,,,,,,,30.90M,72.60M,,,-1.20M,,,,,125.00M,,,
1996-12,22.70M,,22.70M,,,34.40M,,,,,38.90M,,,63.40M,159.40M,,,,,,,,63.30M,-41.80M,21.50M,,4.50M,4.50M,,4.40M,30.40M,189.80M,,13.80M,,13.80M,,13.80M,0.30M,0.30M,,,,20.80M,34.90M,,,,,,,,,,30.90M,65.80M,,,-2.60M,,,,,124.00M,,,
1996-09,23.70M,,23.70M,,,30.10M,,,,,41.60M,,,60.80M,156.20M,,,,,,,,57.50M,-35.40M,22.10M,,4.70M,4.70M,,4.50M,31.30M,187.50M,,13.90M,,13.90M,,13.90M,1.00M,1.00M,,,,18.80M,33.70M,,,,,,,,,,31.00M,64.70M,,,-3.90M,,,,,122.80M,,,
1996-06,20.10M,,20.10M,,,37.00M,,,,,40.60M,,,67.70M,165.40M,,,,,,,,57.60M,-35.40M,22.20M,,1.70M,1.70M,,4.90M,28.80M,194.20M,,15.70M,,15.70M,,15.70M,1.30M,1.30M,,,,17.30M,34.30M,,,,,,,,,,30.90M,65.20M,,,5.00M,,,,,129.00M,,,
1996-03,22.40M,,22.40M,,,40.00M,,,,,35.10M,,,71.20M,168.70M,,,,,,,,55.60M,-35.40M,20.20M,,0.90M,0.90M,,5.90M,27.00M,195.70M,,16.50M,,16.50M,,16.50M,1.80M,1.80M,,,,17.00M,35.30M,,,,,,,,,,31.00M,66.30M,,,7.60M,,,,,129.40M,,,
1995-12,29.70M,,29.70M,,,39.10M,,,,,31.20M,,,71.40M,171.40M,,,,,,,,55.20M,-35.40M,19.80M,,0.90M,0.90M,,4.70M,25.40M,196.80M,,15.30M,,15.30M,,15.30M,2.00M,2.00M,,,,18.20M,35.50M,,,,,,,,,,31.40M,66.90M,,,8.70M,,,,,129.90M,,,
1995-09,20.10M,,20.10M,,,41.10M,,,,,29.10M,,,83.50M,173.80M,,,,,,,,49.50M,-30.00M,19.50M,,0.80M,0.80M,,4.20M,24.50M,198.30M,,18.70M,,18.70M,,18.70M,2.20M,2.20M,,,,17.60M,38.50M,30.00M,,30.00M,,,,,,2.20M,32.20M,70.70M,,,8.00M,,,,,127.60M,,,
1995-06,13.00M,,13.00M,,,37.00M,,,,,25.00M,,,34.20M,109.20M,,,,,,,,45.50M,-30.00M,15.50M,,0.80M,0.80M,,4.30M,20.60M,129.80M,,14.50M,,14.50M,,14.50M,1.80M,1.80M,,,,15.90M,32.20M,30.70M,,30.70M,,,,,,1.60M,32.30M,64.50M,,,3.70M,,,,,65.30M,,,
1995-03,3.80M,,3.80M,,,34.70M,,,,,23.30M,,,38.70M,100.50M,,,,,,,,42.70M,-30.00M,12.70M,,0.80M,0.80M,,3.90M,17.40M,117.90M,,11.70M,,11.70M,,11.70M,1.70M,1.70M,,,,14.40M,27.80M,31.30M,,31.30M,,,,,,1.40M,32.70M,60.50M,,,-0.60M,,,,,57.40M,,,
1994-12,17.60M,,17.60M,,,28.60M,,,,,23.60M,,,23.20M,93.00M,,,,,,,,42.70M,-30.00M,12.70M,,0.50M,0.50M,,3.20M,16.40M,109.40M,,10.10M,,10.10M,,10.10M,1.60M,1.60M,,,,11.10M,22.80M,,,,,,,,,,33.00M,55.80M,,,-2.60M,,,,,53.60M,,,
1994-09,5.20M,,5.20M,,,30.80M,,,,,26.70M,,,29.50M,92.20M,,,,,,,,35.10M,-22.60M,12.50M,,0.60M,0.60M,,1.40M,14.50M,106.70M,,11.00M,,11.00M,,11.00M,1.60M,1.60M,,,,12.80M,25.40M,31.50M,,31.50M,,,,,,0.90M,32.40M,57.80M,,,-5.50M,,,,,48.90M,,,
1994-06,3.00M,,3.00M,,,30.60M,,,,,26.30M,,,26.70M,86.60M,,,,,,,,34.70M,-22.60M,12.10M,,0.50M,0.50M,,1.30M,13.90M,100.50M,,10.10M,,10.10M,,10.10M,1.50M,1.50M,,,,11.80M,23.40M,31.90M,,31.90M,,,,,,0.60M,32.50M,55.90M,,,-9.10M,,,,,44.60M,,,
1994-03,1.70M,,1.70M,,,28.30M,,,,,24.40M,,,2.10M,56.50M,,,,,,,,34.50M,-22.60M,11.90M,,0.60M,0.60M,,1.50M,14.00M,70.50M,,10.20M,,10.20M,,10.20M,6.50M,6.50M,,,,9.20M,25.90M,4.20M,,4.20M,,,,,,,4.20M,30.10M,,,-11.50M,,,,,40.40M,,,
