,NetIncome,Gain/LossonSaleBusiness,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2006-12,23.98M,,,-1.101M,3.584M,4.222M,7.806M,7.806M,10.72M,,,,3.858M,5.978M,1.522M,1.763M,,6.088M,-8.302M,7.049M,,52.32M,,-2.563M,,-2.563M,,-56.72M,,0.00,-59.28M,,,0.911M,2.432M,,2.432M,-0.492M,2.851M,,136.40M,-4.112M,-2.669M,129.62M,,2.432M,,,,,,
2006-09,25.34M,,,-4.52M,3.45M,2.982M,6.432M,6.432M,1.323M,,,,5.677M,3.852M,-6.25M,-7.636M,,5.208M,-5.274M,-10.10M,,24.15M,,-3.023M,,-3.023M,,-5.03M,,2.228M,-5.825M,,,-0.911M,6.972M,,6.972M,4.095M,10.16M,,107.73M,28.48M,0.191M,136.40M,,6.972M,,,,,,
2006-06,28.50M,,,1.205M,3.385M,3.855M,7.24M,7.24M,0.202M,,,,1.814M,3.618M,-8.73M,-2.975M,6.827M,6.885M,-2.097M,3.528M,,42.49M,,-5.971M,,-5.971M,,-35.86M,,,-41.84M,,,,10.01M,,10.01M,0.042M,10.06M,,97.65M,10.71M,-0.633M,107.73M,,10.01M,,,,,,
2006-03,25.83M,,,0.077M,3.104M,2.38M,5.484M,5.484M,-1.88M,,,,,-25.68M,5.87M,4.361M,-6.827M,9.648M,,-12.63M,,16.88M,,-4.972M,,-4.972M,,-2.272M,,,-7.244M,,,,7.149M,,7.149M,3.951M,11.10M,,73.85M,20.73M,3.062M,97.65M,,7.149M,,,,,,
2005-12,23.39M,,,0.789M,2.781M,1.606M,4.387M,4.387M,5.832M,,,,5.604M,-0.36M,-18.27M,5.452M,,6.087M,-10.14M,-17.24M,,22.77M,,-8.942M,,-8.942M,,-29.79M,,-0.103M,-38.84M,,,0.00,3.582M,,3.582M,-0.005M,3.577M,,87.29M,-12.49M,-0.951M,73.85M,,3.582M,,,,,,
2005-09,20.24M,,,0.056M,3.00M,1.892M,4.892M,4.892M,4.564M,,,,-0.663M,2.301M,-0.865M,-2.377M,1.452M,2.357M,1.073M,3.941M,,33.03M,,-6.76M,,-6.76M,,-1.356M,,0.089M,-8.027M,,,0.00,5.428M,,5.428M,0.083M,5.511M,,56.86M,30.51M,-0.077M,87.29M,,5.428M,,,,,,
2005-06,23.79M,,,-1.185M,2.378M,2.453M,4.831M,4.831M,3.358M,,,,,8.632M,0.678M,-4.118M,-2.506M,5.353M,-0.125M,7.914M,,38.70M,,-4.495M,,-4.495M,,-9.036M,,0.426M,-13.10M,,,-28.12M,9.887M,,9.887M,0.197M,-18.04M,,50.19M,7.559M,-0.892M,56.86M,,9.887M,,,,,,
2005-03,17.44M,,,0.459M,2.512M,2.339M,4.851M,4.851M,0.488M,,,,,-31.70M,-4.739M,2.121M,1.054M,7.766M,0.125M,-25.37M,,-2.135M,,-3.239M,,-3.239M,,-11.20M,,,-14.44M,,,-10.12M,5.566M,,5.566M,0.11M,-4.449M,,71.87M,-21.02M,-0.659M,50.19M,,5.566M,,,,,,
2004-12,16.40M,,,0.421M,2.625M,2.415M,5.04M,5.04M,-3.111M,,,,,12.55M,-5.449M,-0.73M,-1.664M,-3.586M,,1.124M,,19.88M,,-3.801M,-0.016M,-3.817M,,0.777M,,-1.541M,-4.581M,,,-12.85M,8.416M,,8.416M,-0.218M,-4.656M,,59.12M,10.64M,2.111M,71.87M,,8.416M,,,,,,
2004-09,17.92M,,,-0.324M,2.077M,2.189M,4.266M,4.266M,1.503M,,,,,5.567M,-11.00M,-0.066M,2.722M,3.838M,,1.066M,,24.43M,,-2.881M,0.021M,-2.86M,,-12.16M,,10.86M,-4.161M,,,-25.12M,8.891M,,8.891M,0.153M,-16.08M,,54.66M,4.186M,0.276M,59.12M,,8.891M,,,,,,
2004-06,20.52M,,,0.815M,1.981M,2.236M,4.217M,4.217M,0.219M,,,,,-14.42M,-5.646M,9.864M,-1.425M,5.98M,,-5.646M,,20.12M,,-3.524M,0.494M,-3.03M,,,,-1.659M,-4.689M,,,-7.215M,5.287M,,5.287M,0.065M,-1.863M,,40.20M,13.57M,0.885M,54.66M,,5.287M,,,,,,
2004-03,12.84M,,,0.277M,2.191M,2.157M,4.348M,4.348M,-0.093M,,,,,-17.10M,6.561M,5.60M,-1.163M,-2.589M,,-8.687M,,8.685M,,-2.544M,0.047M,-2.497M,,,,-9.205M,-11.70M,,,-5.77M,4.211M,,4.211M,,-1.559M,,45.42M,-4.576M,-0.639M,40.20M,,4.211M,,,,,,
2003-12,15.09M,,,0.204M,2.217M,2.162M,4.379M,4.379M,-8.412M,,,,,1.34M,3.028M,-0.347M,2.94M,2.497M,,9.458M,,20.72M,,-4.675M,0.334M,-4.341M,,-3.291M,,-0.025M,-7.657M,,,-16.94M,3.499M,,3.499M,-0.495M,-13.93M,,43.41M,-0.869M,2.876M,45.42M,,3.499M,,,,,,
2003-09,9.936M,,,0.272M,2.187M,2.088M,4.275M,4.275M,0.292M,,,,,14.53M,2.905M,-12.09M,2.002M,-0.847M,,6.497M,,21.27M,,-2.726M,-0.028M,-2.754M,,-3.315M,,-0.794M,-6.863M,,,-3.21M,2.629M,,2.629M,-0.15M,-0.731M,,30.82M,13.68M,-1.094M,43.41M,,2.629M,,,,,,
2003-06,8.105M,,,0.791M,2.243M,5.204M,7.447M,7.447M,1.127M,,,,,-17.44M,-7.425M,6.208M,0.512M,0.867M,,-17.27M,,0.196M,,-2.071M,0.028M,-2.043M,,0.397M,,-4.657M,-6.303M,,,-22.18M,43.85M,,43.85M,0.645M,22.31M,,13.53M,16.20M,1.094M,30.82M,,43.85M,,,,,,
2003-03,5.353M,,,1.234M,2.217M,1.977M,4.194M,4.194M,0.461M,,,,,-15.11M,-3.37M,-0.158M,0.649M,1.023M,,-16.97M,,-5.728M,,-1.429M,,-1.429M,,-0.397M,,-0.004M,-1.83M,,,-8.132M,0.54M,,0.54M,,-7.592M,,28.68M,-15.15M,,13.53M,,0.54M,,,,,,
2002-12,4.005M,,,0.192M,2.046M,3.59M,5.636M,5.636M,0.733M,,,,,0.517M,-3.776M,4.707M,-1.593M,-3.169M,,-3.314M,,7.252M,,-1.683M,,-0.276M,,-1.717M,,0.032M,-1.961M,,,-12.42M,2.091M,,2.091M,0.59M,-9.744M,,30.35M,-4.453M,,28.68M,,2.091M,,,,,,
2002-09,2.708M,,,3.433M,2.219M,1.813M,4.032M,4.032M,-0.313M,,,,,2.869M,-3.089M,1.614M,-1.407M,-0.963M,,-0.976M,,8.884M,,-1.261M,,-1.261M,,1.717M,,2.158M,2.614M,,,-8.997M,0.04M,,0.04M,0.075M,-8.882M,,27.74M,2.616M,,30.35M,,0.04M,,,,,,
2002-06,4.326M,,,0.399M,2.914M,2.113M,5.027M,5.027M,1.044M,,,,,-11.64M,0.893M,2.72M,1.782M,2.386M,,-3.863M,,6.933M,,-0.272M,,-0.272M,,,,-2.158M,-2.43M,,,-10.87M,1.829M,,1.829M,-0.745M,-9.788M,,33.02M,-5.285M,,27.74M,,1.829M,,,,,,
2002-03,-0.715M,,,2.035M,2.671M,1.788M,4.459M,4.459M,,,,,,-2.357M,-1.677M,-0.448M,-2.264M,10.21M,,3.468M,,9.247M,,-3.941M,,-3.941M,,,,-0.048M,-3.989M,,,-20.83M,17.43M,,17.43M,0.08M,-3.315M,,31.08M,1.943M,,33.02M,,17.43M,,,,,,
2001-12,-6.632M,,,-4.237M,2.273M,9.411M,11.68M,11.68M,-0.887M,,,,,13.05M,5.161M,-1.549M,3.072M,-6.133M,,13.60M,,13.53M,,-0.888M,,0.289M,,0.456M,,0.232M,0.977M,,,-53.06M,27.03M,,27.03M,-0.404M,-26.43M,,42.40M,-11.92M,0.599M,31.08M,,27.03M,,,,,,
2001-09,-2.686M,,,1.878M,3.411M,6.511M,9.922M,9.922M,-0.039M,,,,,4.59M,9.311M,0.688M,2.856M,-10.07M,,7.377M,,16.45M,,-1.868M,,-1.868M,,-4.886M,,4.506M,-2.248M,,,0.275M,0.721M,,0.721M,-0.02M,0.976M,,27.82M,15.18M,-0.599M,42.40M,,0.721M,,,,,,
2001-06,-1.974M,,,1.092M,5.534M,14.38M,19.92M,19.92M,0.039M,,,,-8.807M,-5.723M,-7.03M,-4.093M,-3.535M,8.003M,,-12.38M,,-2.11M,,-1.366M,,-1.366M,,,,-5.354M,-6.72M,,,-15.55M,7.356M,,7.356M,0.072M,-8.119M,,44.00M,-16.95M,0.773M,27.82M,,7.356M,,,,,,
2001-03,-11.59M,,,,,,,,,,,,8.807M,,,,,,,,,-2.78M,,-3.132M,,-3.132M,,,,-0.318M,-3.45M,,,8.502M,1.271M,,1.271M,0.352M,10.12M,,40.88M,3.895M,-0.773M,44.00M,,1.271M,,,,,,
2000-12,-2.616M,,,-3.635M,-9.648M,-4.457M,6.816M,6.816M,,,,,,0.909M,4.305M,3.475M,1.417M,-6.387M,,3.719M,,4.14M,,-2.518M,,-2.518M,,86.58M,8.641M,-0.291M,92.41M,,,-80.81M,2.047M,,2.047M,-0.764M,-79.52M,,29.48M,17.02M,,40.88M,,2.047M,,,,,,
2000-09,-4.268M,,,0.014M,9.648M,4.457M,14.10M,14.10M,,,,,9.404M,-7.00M,-8.423M,4.079M,-4.72M,0.839M,,-15.22M,,4.03M,,-2.54M,,-2.54M,,-298.06M,16.26M,-0.648M,-284.99M,,,208.85M,1.539M,,1.539M,-0.013M,210.38M,,94.44M,-70.59M,,29.48M,,1.539M,,,,,,
2000-06,12.36M,,,,,,,,,,,,-8.426M,,,,,,,,,3.931M,,-1.281M,,-1.281M,,,30.48M,0.217M,29.41M,,,-1.357M,5.371M,,5.371M,0.925M,4.939M,,56.16M,38.28M,,94.44M,,5.371M,,,,,,
2000-03,8.712M,,,,,,,,,,,,-0.978M,,,,,,,,,7.734M,,-1.216M,,-1.216M,,,-2.647M,-0.143M,-4.006M,,,0.031M,3.086M,,3.086M,0.048M,3.165M,,49.26M,6.893M,,56.16M,,3.086M,,,,,,
1999-12,5.90M,,,,,,,,,,,,1.80M,,,,,,,,-2.90M,6.80M,,-1.50M,0.00,-1.50M,,,-13.90M,-1.10M,-16.50M,,,-0.50M,2.50M,,2.50M,-0.30M,1.70M,,57.20M,-8.00M,,49.30M,,2.50M,,,,,,
1999-09,8.00M,,,,,,,,,,,,-3.60M,,,,,,,,2.90M,7.30M,,-1.80M,26.90M,25.10M,,,-15.90M,-0.30M,8.90M,,,0.00,0.10M,,0.10M,-0.20M,-0.10M,,41.20M,16.10M,,57.20M,,0.10M,,,,,,
1999-06,4.70M,,,,,,,,,,,,-3.30M,,,,,,,,,1.40M,,-0.60M,,-0.60M,,,-14.30M,-0.60M,-15.50M,,,-0.40M,1.70M,,1.70M,0.50M,1.80M,,53.40M,-12.30M,,41.20M,,1.70M,,,,,,
1999-03,3.00M,,,,,,,,,,,,5.10M,,,,,,,,,8.10M,,-2.50M,,-2.50M,,,7.70M,,5.20M,,,-0.90M,0.20M,,0.20M,,-0.70M,,40.90M,12.60M,,53.40M,,0.20M,,,,,,
1998-12,-18.20M,,,,,,,,,,,,-43.40M,,,,,,,,-2.30M,4.60M,,-4.80M,,-4.80M,,,-6.00M,-1.20M,-12.00M,,,0.20M,1.60M,-0.90M,0.70M,-0.20M,0.70M,,47.60M,-6.70M,,40.90M,,1.60M,,,-0.90M,,,
1998-09,-37.40M,,,,,,,,,,,,43.60M,,,,,,,,-5.80M,0.40M,,-2.20M,,-2.20M,,,33.30M,-1.20M,29.90M,,,0.10M,0.20M,-6.40M,-6.20M,0.20M,-5.90M,,0.00,24.40M,,47.60M,,0.20M,,,-6.40M,,,
1998-06,0.30M,,,,,,,,,,,,-1.40M,,,,,,,,2.10M,1.00M,,-1.60M,,-1.60M,,,10.00M,-0.50M,7.90M,,,2.60M,2.10M,-6.90M,-4.80M,-0.30M,-2.50M,,0.00,6.40M,,0.00,,2.10M,,,-6.90M,,,
1998-03,1.90M,,,,,,,,,,,,1.20M,,,,,,,,-2.10M,1.00M,,-2.90M,,-2.90M,,,-0.40M,,-3.30M,,,-0.10M,1.10M,-1.90M,-0.80M,0.10M,-0.80M,,20.00M,-3.10M,,0.00,,1.10M,,,-1.90M,,,
1997-12,2.40M,,,,,,,,,,,,-4.30M,,,,,,,,-2.60M,-6.60M,,-2.20M,,-2.20M,,,-0.40M,-1.70M,-4.30M,,,1.00M,3.00M,0.00,3.00M,0.00,4.00M,,0.00,-6.90M,,20.00M,,3.00M,,,0.00,,,
1997-09,1.60M,,,,,,,,,,,,-2.60M,,,,,,,,-6.60M,-7.60M,,-2.30M,,-2.30M,,,5.00M,-1.20M,1.50M,,,-1.80M,3.30M,0.00,3.30M,0.00,1.50M,,0.00,-4.60M,,0.00,,3.30M,,,0.00,,,
1997-06,3.90M,,,,,,,,,,,,2.00M,,,,,,,,,5.90M,,-3.20M,,-3.20M,,,2.40M,-0.40M,-1.20M,,,-0.50M,2.20M,-1.10M,1.10M,-0.10M,0.50M,,0.00,5.20M,,0.00,,2.20M,,,-1.10M,,,
1997-03,1.40M,,,,,,,,,,,,4.80M,,,,,,,,,6.20M,,-2.70M,,-2.70M,,,-0.40M,,-3.10M,,,0.60M,0.50M,-0.70M,-0.20M,,0.40M,,22.70M,3.50M,,0.00,,0.50M,,,-0.70M,,,
1996-12,1.30M,,,,,,,,,,,,-4.20M,,,,,,,,,4.30M,,-1.80M,,-1.80M,,,-2.50M,0.00,-4.30M,,,-0.60M,2.40M,-2.70M,-0.30M,,-0.90M,,0.00,-0.90M,,0.00,,2.40M,,,-2.70M,,,
1996-09,-8.80M,,,,,,,,,,,,6.60M,,,,,,,,,-2.20M,,-2.00M,,-2.00M,,,8.50M,-0.20M,6.30M,,,-0.30M,0.50M,-0.80M,-0.30M,-0.10M,-0.70M,,0.00,3.40M,,0.00,,0.50M,,,-0.80M,,,
1996-06,-2.60M,,,,,,,,,,,,0.90M,,,,,,,,,-1.70M,,-4.10M,,-4.10M,,,2.20M,-0.20M,-2.10M,,,-0.60M,2.20M,,2.20M,0.10M,1.70M,,0.00,-2.10M,,0.00,,2.20M,,,,,,
1996-03,-1.10M,,,,,,,,,,,,-3.20M,,,,,,,,,-4.30M,,-2.50M,,-2.50M,,,-0.70M,-0.20M,-3.40M,,,-0.40M,0.70M,,0.70M,,0.30M,,29.70M,-7.40M,,0.00,,0.70M,,,,,,
1995-12,0.70M,,,,,,,,,,,,-0.60M,,,,,,,,,-0.30M,,-1.60M,,-1.60M,,,11.40M,-1.00M,8.80M,,,-0.40M,1.30M,,1.30M,0.10M,1.00M,,0.00,9.50M,,0.00,,1.30M,,,,,,
1995-09,4.40M,,,,,,,,,,,,-1.10M,,,,,,,,,3.30M,,-5.80M,,-5.80M,,,-48.20M,0.10M,-53.90M,,,-0.40M,58.30M,,58.30M,0.00,57.90M,,0.00,7.30M,,0.00,,58.30M,,,,,,
1995-06,4.30M,,,,,,,,,,,,1.80M,,,,,,,,,6.10M,,-4.80M,,-4.80M,,,4.90M,0.10M,0.20M,,,-0.40M,3.20M,,3.20M,0.10M,2.90M,,0.00,9.20M,,0.00,,3.20M,,,,,,
1995-03,1.90M,,,,,,,,,,,,0.40M,,,,,,,,,2.30M,,-2.40M,,-2.40M,,,-15.00M,-0.10M,-17.50M,,,-0.40M,1.70M,,1.70M,,1.30M,,17.60M,-13.90M,,0.00,,1.70M,,,,,,
1994-12,2.90M,,,,,,,,,,,,0.30M,,,,,,,,,6.30M,,-2.20M,,-2.20M,,,6.90M,,4.70M,,,-0.40M,1.80M,,1.80M,0.10M,1.50M,,0.00,12.50M,,0.00,,1.80M,,,,,,
1994-09,3.60M,,,,,,,,,,,,3.00M,,,,,,,,,6.60M,,-2.30M,,-2.30M,,,-2.40M,0.10M,-4.60M,,,-0.30M,0.60M,,0.60M,-0.10M,0.20M,,0.00,2.20M,,0.00,,0.60M,,,,,,
1994-06,2.40M,,,,,,,,,,,,1.10M,,,,,,,,,3.50M,,-2.10M,,-2.10M,,,-25.00M,-0.10M,-27.20M,,,23.90M,0.90M,,0.90M,0.10M,24.90M,,0.00,1.20M,,0.00,,0.90M,,,,,,
1994-03,1.10M,,,,,,,,,,,,-3.60M,,,,,,,,,-2.50M,,-1.30M,,-1.30M,,,,,-1.30M,,,3.30M,0.40M,,0.40M,,3.70M,,1.90M,-0.10M,,0.00,,0.40M,,,,,,
1993-12,0.90M,,,,,,,,,,,,-2.90M,,,,,,,,,6.30M,,-1.20M,,-1.20M,,,,,-1.20M,,,-5.30M,1.20M,,1.20M,0.00,-4.10M,,0.00,1.00M,,0.00,,1.20M,,,,,,
1993-09,1.70M,,,,,,,,,,,,8.80M,,,,,,,,,10.50M,,-0.40M,,-0.40M,,,,,-0.40M,,,-7.20M,-3.90M,,-3.90M,0.20M,-10.90M,,0.00,-0.80M,-0.20M,0.00,,-3.90M,,,,,,
1993-06,0.70M,,,,,,,,,,,,-6.90M,,,,,,,,,-6.20M,,-1.50M,,-1.50M,,,,,-1.50M,,,1.90M,6.20M,,6.20M,,8.10M,,0.00,0.40M,0.20M,0.00,,6.20M,,,,,,
1993-03,0.10M,,,,,,,,,,,,-1.10M,,,,,,,,,-1.00M,,-0.80M,,-0.80M,,,,,-0.80M,,,0.80M,0.40M,,0.40M,,1.20M,,1.90M,-0.60M,,0.00,,0.40M,,,,,,
1992-12,-0.40M,,,,,,,,,,,,-18.10M,,,,,,,,,5.30M,,-0.50M,,-0.50M,,,,,-0.50M,,,-5.00M,1.00M,,1.00M,,-4.00M,,0.00,0.80M,,0.00,,1.00M,,,,,,
1992-09,0.30M,,,,,,,,,,,,-1.70M,,,,,,,,,-1.40M,,-0.60M,,-0.60M,,,,,-0.60M,,,1.40M,0.30M,,0.30M,,1.70M,,0.00,-0.30M,-0.20M,0.00,,0.30M,,,,,,
1992-06,-13.20M,,,,,,,,,,,,7.60M,,,,,,,,,-5.60M,,-1.30M,,-1.30M,,,,,-1.30M,,,0.10M,6.20M,,6.20M,-0.10M,6.20M,,0.00,-0.70M,0.10M,0.00,,6.20M,,,,,,
1992-03,-9.70M,,,,,,,,,,,,8.10M,,,,,,,,,-1.60M,,-1.00M,,-1.00M,,,,,-1.00M,,,2.60M,0.40M,,0.40M,0.10M,3.10M,,1.60M,0.50M,0.10M,0.00,,0.40M,,,,,,
1991-12,-4.20M,,,,,,4.70M,4.70M,-2.90M,,,,,-3.50M,-19.70M,2.80M,-4.60M,20.90M,,-4.10M,,-5.30M,,-2.40M,,-2.40M,,,0.00,-0.10M,-2.50M,,,4.90M,3.50M,,3.50M,0.10M,8.50M,,0.00,0.70M,,0.00,,3.50M,,,,,,
1991-09,0.70M,,,,,,0.00,0.00,,,,,,,,,,-2.80M,,-2.80M,,-2.10M,,-2.50M,,-2.50M,,,0.00,0.10M,-2.40M,,,0.70M,0.40M,,0.40M,0.20M,1.30M,,0.00,-3.20M,0.10M,0.00,,0.40M,,,,,,
1991-06,6.20M,,,,,,0.00,0.00,1.10M,,,,,4.30M,10.80M,-9.00M,0.30M,-20.00M,,-13.60M,,-6.30M,,-1.10M,,-1.10M,,,0.00,-1.00M,-2.10M,,,3.70M,0.10M,,0.10M,0.90M,4.70M,,0.00,-3.70M,-0.10M,0.00,,0.10M,,,,,,
1991-03,4.30M,,,,,,0.80M,0.80M,-1.10M,,,,,-4.30M,-10.80M,9.00M,-0.30M,6.10M,,-0.30M,,3.70M,,-4.70M,,-4.70M,,,1.00M,-0.50M,-4.20M,,,-0.10M,0.20M,,0.20M,-0.90M,-0.80M,,9.00M,-1.30M,,0.00,,0.20M,,,,,,
1990-12,1.40M,,,-0.20M,,,1.50M,1.50M,,,,,,-16.00M,5.50M,10.20M,0.60M,-2.90M,,-2.60M,,0.10M,,-1.80M,,-1.80M,,,,,-2.80M,,,2.40M,-2.90M,,-2.90M,-0.40M,-0.90M,,0.00,-3.60M,,0.00,,-2.90M,,,,,,
1990-09,0.60M,,,0.00,,,0.60M,0.60M,,,,,,-3.80M,0.30M,-2.80M,0.30M,0.30M,,-5.70M,,-4.50M,,-0.70M,,-0.70M,,,,,-0.70M,,,-9.70M,26.80M,,26.80M,0.40M,17.50M,,0.00,12.30M,,0.00,,26.80M,,,,,,
1990-06,0.20M,,,0.10M,,,0.30M,0.30M,,,,,-0.10M,-2.80M,-4.20M,2.00M,-0.70M,1.40M,,-4.30M,,-3.80M,,-1.80M,,-1.80M,,,,0.10M,-1.70M,,,4.30M,0.50M,,0.50M,,4.80M,,0.00,-0.70M,,0.00,,0.50M,,,,,,
1990-03,,,,0.10M,,,0.40M,0.40M,,,,,0.10M,1.40M,-1.60M,0.70M,-0.20M,1.20M,,1.50M,,2.10M,,-0.50M,,-0.50M,,,,-0.10M,-0.60M,,,-1.00M,,,,,-1.00M,,0.50M,0.50M,,0.00,,,,,,,,
