,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,SECFilingLinks,AsOriginallyReported
2004-03,162.80M,,,,,41.90M,41.90M,,,,-42.80M,,,,,,-210.00M,-210.00M,-4.30M,-52.40M,,-22.40M,7.50M,-14.90M,,,1.80M,-13.10M,,2004-03,,2.50M,55.90M,-205.60M,-149.70M,,-33.20M,,,-180.40M,,2004-03,-245.90M,-0.10M,171.20M,,55.90M,,,-205.60M,,2004-03,
2003-12,223.30M,,,,-28.70M,65.70M,65.70M,,,,3.60M,,,,,,450.90M,-44.00M,-70.10M,129.00M,,-39.50M,26.50M,-13.00M,-1.70M,,3.70M,136.60M,,2003-12,,-73.10M,67.70M,,67.70M,,-33.00M,,,-38.40M,,2003-12,227.20M,-0.30M,457.70M,,67.70M,,,,,2003-12,
2003-09,134.40M,,,,-1.90M,28.00M,28.00M,,,,-17.10M,,,,,,-62.30M,-62.30M,84.10M,165.20M,,-18.90M,52.50M,33.60M,-19.60M,,-0.10M,13.90M,,2003-09,,-148.60M,129.70M,,129.70M,,-32.60M,,,-51.50M,,2003-09,127.60M,-4.90M,173.00M,,129.70M,,,,,2003-09,
2003-06,145.80M,,,,9.50M,49.10M,49.10M,,,,13.50M,,,,,,-100.60M,-100.60M,-16.30M,101.00M,,-24.80M,5.00M,-19.80M,,,0.50M,-19.30M,,2003-06,,-88.70M,12.30M,,12.30M,,-28.80M,,,-105.20M,,2003-06,-23.50M,6.40M,108.10M,,12.30M,,,,,2003-06,
2003-03,90.00M,,,,-9.50M,51.20M,51.20M,,,,,,,,,,-288.00M,-288.00M,-90.80M,-247.10M,,-24.70M,714.10M,689.40M,,,-5.40M,684.00M,,2003-03,,-629.40M,1.40M,,1.40M,,-28.80M,,,-656.80M,,2003-03,-219.90M,2.90M,125.20M,,1.40M,,,,,2003-03,
2002-12,127.80M,,,,18.80M,60.20M,60.20M,,,,-51.20M,,,,,,297.40M,278.70M,45.40M,479.10M,,-41.40M,10.30M,-31.10M,-8.00M,5.50M,-2.10M,-35.70M,,2002-12,,-189.20M,1.10M,,1.10M,,-28.80M,,,-216.90M,,2002-12,226.50M,1.20M,342.20M,,1.10M,,,,,2002-12,
2002-09,51.30M,,,,7.50M,16.30M,16.30M,,,,55.10M,,,,,,-7.40M,-7.40M,64.00M,186.80M,,-4.00M,14.80M,10.80M,-19.50M,1.40M,4.60M,-2.70M,,2002-09,,-161.70M,0.10M,,0.10M,,-28.80M,,,-190.40M,,2002-09,-6.30M,-3.10M,115.00M,,0.10M,,,,,2002-09,
2002-06,117.80M,,,,31.10M,80.40M,80.40M,,,,-3.90M,,,,,,8.70M,8.70M,-10.90M,223.20M,,-53.40M,10.00M,-43.40M,-85.20M,-1.40M,55.60M,-74.40M,,2002-06,,-93.20M,7.40M,,7.40M,,-28.70M,,,-114.50M,,2002-06,34.30M,7.90M,123.90M,,7.40M,,,,,2002-06,
2002-03,70.50M,,,,-12.00M,49.00M,49.00M,,,,,,,,,,-298.70M,-298.70M,10.90M,-180.30M,,-24.10M,9.70M,-14.40M,,,-60.20M,-74.60M,,2002-03,,226.20M,28.20M,,28.20M,,-28.60M,,,225.80M,,2002-03,-29.10M,-3.20M,92.60M,,28.20M,,,,,2002-03,
2001-12,36.00M,,,,24.40M,40.70M,40.70M,,,,-23.00M,,,,,,393.00M,352.50M,,453.20M,,-27.40M,37.80M,10.40M,-17.00M,5.70M,-15.50M,-16.40M,,2001-12,,-408.40M,9.70M,0.00,9.70M,,-28.60M,,-9.40M,-436.70M,,2001-12,0.10M,8.60M,114.00M,,9.70M,,,0.00,,2001-12,
2001-09,33.90M,,,,25.60M,90.40M,90.40M,,,,14.10M,,,,,,25.80M,25.80M,,189.80M,,-43.70M,-17.30M,-61.00M,-37.80M,-1.20M,24.30M,-75.70M,,2001-09,,-81.60M,-8.50M,-14.40M,-22.90M,,-28.60M,,9.40M,-123.70M,,2001-09,-9.60M,-11.10M,105.30M,,-8.50M,,,-14.40M,,2001-09,
2001-06,62.90M,,,,9.90M,102.20M,102.20M,,,,0.60M,,,,,,-107.90M,-107.90M,,67.70M,,-50.30M,17.30M,-33.00M,-82.30M,-2.70M,-7.00M,-125.00M,,2001-06,,111.00M,4.70M,0.00,4.70M,,-28.60M,,,87.10M,,2001-06,29.80M,-2.60M,126.00M,,4.70M,,,0.00,,2001-06,
2001-03,49.30M,,,,21.70M,84.90M,84.90M,,,,8.30M,,,,,,-310.90M,-310.90M,,-146.70M,,-36.00M,17.50M,-18.50M,-21.20M,95.40M,9.90M,65.60M,,2001-03,,164.90M,3.80M,-58.10M,-54.30M,,-27.30M,,,83.30M,,2001-03,2.20M,-0.40M,76.20M,,3.80M,,,-58.10M,,2001-03,
2000-12,-2.80M,,,,77.10M,41.90M,41.90M,,,,-30.50M,,,,,,474.10M,192.30M,165.50M,481.60M,,-31.90M,24.60M,-7.30M,10.00M,-6.60M,-36.10M,-40.00M,,2000-12,,-397.80M,8.30M,-2.90M,5.40M,,-27.20M,,-5.70M,-425.30M,,2000-12,16.30M,3.90M,97.00M,,8.30M,,,-2.90M,,2000-12,
2000-09,128.70M,,,,-40.50M,106.20M,106.20M,,,,30.50M,,,,,,-137.60M,-137.60M,-30.50M,56.80M,,-58.30M,897.60M,839.30M,-11.20M,0.30M,9.30M,837.70M,,2000-09,,-823.80M,-5.70M,-40.60M,-46.30M,,-27.40M,,5.70M,-891.80M,,2000-09,2.70M,-6.30M,76.80M,,-5.70M,,,-40.60M,,2000-09,
2000-06,179.70M,,,,35.90M,66.30M,66.30M,,,,-8.10M,,,,,,-176.30M,-176.30M,-4.50M,93.00M,,-28.80M,0.00,-28.80M,-1.710B,-0.20M,3.40M,-1.736B,,2000-06,,1.680B,3.70M,-15.50M,-11.80M,,-27.50M,,,1.640B,,2000-06,-2.80M,-2.80M,80.40M,,3.70M,,,-15.50M,,2000-06,
2000-03,131.70M,,,,,69.00M,69.00M,,,,8.10M,,,,,,-160.20M,-160.20M,12.90M,61.50M,,-45.80M,79.70M,33.90M,-576.30M,0.20M,19.80M,-522.40M,,2000-03,,414.50M,2.00M,-62.30M,-60.30M,,-27.70M,,,326.50M,,2000-03,-134.40M,-2.50M,86.00M,,2.00M,,,-62.30M,,2000-03,
1999-12,137.90M,,,,43.50M,67.90M,67.90M,22.00M,,,-29.40M,,,,,,179.10M,136.90M,-41.10M,337.70M,,94.90M,-33.60M,61.30M,-161.20M,1.30M,84.10M,-14.50M,,1999-12,,-162.60M,2.70M,-38.70M,-36.00M,,-27.80M,,63.40M,-163.00M,,1999-12,160.20M,0.90M,222.90M,,2.70M,,,-38.70M,,1999-12,
1999-09,137.60M,,,,-43.20M,66.70M,66.70M,19.80M,,,29.40M,,,,,,-6.20M,-6.20M,3.10M,207.20M,,-200.70M,64.00M,-136.70M,159.80M,0.20M,-15.70M,7.60M,,1999-09,,-108.50M,0.90M,-85.10M,-84.20M,,-28.00M,,-0.10M,-220.80M,,1999-09,-6.00M,11.00M,61.80M,,0.90M,,,-85.10M,,1999-09,
1999-06,166.50M,,,,26.40M,64.70M,64.70M,,,,-14.20M,,,,,,-50.70M,-50.70M,39.60M,232.30M,,-41.70M,,-41.70M,-0.10M,-5.90M,14.40M,-33.30M,,1999-06,,-136.50M,44.60M,-61.90M,-17.30M,,-24.80M,,,-178.60M,,1999-06,20.40M,-9.00M,56.80M,,44.60M,,,-61.90M,,1999-06,
1999-03,121.10M,,,,-7.10M,73.10M,73.10M,,,,14.20M,,,,,,-122.20M,-122.20M,-1.60M,77.50M,,-43.00M,,-43.00M,-159.70M,5.90M,,-196.80M,,1999-03,,140.10M,22.00M,-20.10M,1.90M,,-24.70M,,,117.30M,,1999-03,-2.00M,3.90M,45.40M,,22.00M,,,-20.10M,,1999-03,
1998-12,122.20M,,,,57.00M,65.10M,65.10M,-4.40M,,,-4.30M,,,,,,-119.20M,10.10M,-8.10M,237.60M,,2.40M,-55.40M,-53.00M,,0.00,78.30M,-30.30M,,1998-12,,-204.20M,399.40M,-12.70M,386.70M,,-24.60M,,-379.70M,-221.80M,,1998-12,-14.50M,-6.80M,43.50M,,399.40M,,,-12.70M,,1998-12,
1998-09,119.40M,,,,-50.60M,55.00M,55.00M,-0.70M,,,13.40M,,,,,,119.20M,119.20M,8.10M,263.80M,,-48.50M,38.20M,-10.30M,,5.70M,-4.70M,-9.30M,,1998-09,,-201.90M,5.70M,-41.90M,-36.20M,,-24.50M,,-0.50M,-263.10M,,1998-09,-8.60M,3.30M,64.80M,,5.70M,,,-41.90M,,1998-09,
1998-06,140.90M,,,,-3.40M,74.10M,74.10M,11.30M,,,-14.70M,,,,,,,,,208.20M,,-60.30M,38.70M,-21.60M,,-2.40M,-28.50M,-52.50M,,1998-06,,-90.00M,8.10M,-43.50M,-35.40M,,-24.60M,,-0.20M,-150.20M,,1998-06,5.50M,-3.20M,0.00,,8.10M,,,-43.50M,,1998-06,
