,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDiluted,,SharesData(Quarterly),DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2002-06,2.587B,2.587B,1.995B,592.50M,378.80M,-18.60M,,,,,378.80M,213.70M,,,,-18.60M,,131.80M,24.40M,107.40M,,,-3.80M,107.40M,122.56M,213.70M,,2002-06,0.32,0.00,0.32,,2002-06,0.315,0.00,0.315,,2002-06,0.085,,2002-06,,
2002-03,2.017B,2.017B,1.53B,487.00M,325.90M,-20.10M,,,,,325.90M,161.10M,,,,-20.10M,,81.80M,11.30M,70.50M,10.40M,,,80.90M,87.82M,161.10M,,2002-03,0.21,0.03,0.24,,2002-03,0.21,0.03,0.24,,2002-03,0.085,,2002-03,,
2001-12,1.479B,1.479B,1.151B,327.80M,304.20M,-25.90M,,,,,304.20M,23.60M,,,,-25.90M,,-63.90M,-99.90M,36.00M,,,-4.00M,100.10M,51.54M,23.60M,,2001-12,0.015,0.29,0.305,,2001-12,0.005,0.29,0.295,,2001-12,0.085,,2001-12,,
2001-09,2.375B,2.375B,1.865B,509.90M,368.80M,-41.20M,,,,,368.80M,141.10M,,,,-41.20M,,31.30M,-2.60M,33.90M,,,-2.50M,33.90M,58.62M,141.10M,,2001-09,0.10,0.00,0.10,,2001-09,0.10,0.00,0.10,,2001-09,0.085,,2001-09,,
2001-06,2.286B,2.286B,1.698B,588.10M,319.10M,-19.00M,,,,,404.40M,183.70M,,,,-19.00M,,97.00M,34.10M,62.90M,,,-5.60M,62.90M,75.22M,183.70M,,2001-06,0.19,0.00,0.19,,2001-06,0.19,0.00,0.19,,2001-06,0.085,,2001-06,,
2001-03,2.120B,2.120B,1.553B,566.80M,306.40M,-23.60M,,,,,391.30M,175.50M,,,,-23.60M,,77.50M,28.20M,49.30M,,,-8.50M,49.30M,64.31M,175.50M,,2001-03,0.155,0.00,0.155,,2001-03,0.155,0.00,0.155,,2001-03,0.085,,2001-03,,
2000-12,1.251B,1.251B,898.20M,353.10M,245.10M,-49.70M,,,,,245.10M,108.00M,,,,-49.70M,,600.50M,3.30M,-2.80M,108.90M,,-9.60M,106.10M,46.63M,108.00M,,2000-12,-0.13,0.46,0.33,,2000-12,-0.13,0.455,0.33,,2000-12,0.085,,2000-12,,
2000-09,2.512B,2.512B,1.889B,622.90M,341.50M,19.50M,,,,,341.50M,281.40M,,,,19.50M,,206.30M,75.60M,130.70M,121.20M,,-10.10M,251.90M,118.35M,281.40M,,2000-09,0.405,0.375,0.78,,2000-09,0.40,0.375,0.775,,2000-09,0.085,,2000-09,,
2000-06,2.233B,2.233B,1.548B,684.40M,269.60M,-9.70M,,,,,335.90M,348.50M,,,,-9.70M,,270.80M,93.10M,177.70M,-2.30M,,-12.70M,175.40M,184.07M,348.50M,,2000-06,0.55,-0.005,0.545,,2000-06,0.545,-0.005,0.54,,2000-06,0.085,,2000-06,,
2000-03,2.020B,2.020B,1.413B,607.80M,269.50M,-5.00M,,,,,338.50M,269.30M,,,,-5.00M,,208.60M,76.90M,131.70M,4.30M,,-7.50M,136.00M,134.86M,269.30M,,2000-03,0.405,-0.015,0.39,,2000-03,0.40,-0.015,0.385,,2000-03,0.085,,2000-03,,
1999-12,2.040B,2.040B,1.694B,345.40M,286.50M,16.50M,,,,,82.00M,263.40M,,,,16.50M,,244.30M,84.90M,159.40M,6.50M,,-7.80M,165.90M,148.63M,263.40M,,1999-12,0.165,0.345,0.51,,1999-12,0.165,0.0192,0.4905,,1999-12,0.085,,1999-12,,
1999-09,1.846B,1.846B,1.268B,578.10M,248.50M,-8.20M,,,,,305.20M,272.90M,,,,-8.20M,,207.00M,73.50M,133.50M,4.00M,,-7.60M,137.50M,138.79M,272.90M,,1999-09,0.405,0.015,0.42,,1999-09,0.40,0.015,0.415,,1999-09,0.085,,1999-09,,
1999-06,2.042B,2.042B,1.399B,643.20M,268.80M,-2.20M,,,,,338.40M,304.80M,,,,-2.20M,,242.20M,86.00M,156.20M,10.30M,,-7.30M,166.50M,157.62M,304.80M,,1999-06,0.475,0.03,0.505,,1999-06,0.465,0.03,0.495,,1999-06,0.075,,1999-06,,
1999-03,1.891B,1.891B,1.317B,574.00M,262.30M,-3.10M,,,,,335.40M,238.60M,,,,-3.10M,,176.70M,62.70M,114.00M,7.10M,,-6.30M,121.10M,116.00M,238.60M,,1999-03,0.35,0.02,0.37,,1999-03,0.345,0.02,0.365,,1999-03,0.075,,1999-03,,
1998-12,1.971B,1.971B,1.387B,584.10M,260.30M,25.70M,,,,,325.40M,258.70M,,,,25.70M,,223.90M,70.20M,153.70M,-4.00M,,-7.60M,149.70M,136.06M,258.70M,,1998-12,0.15,0.31,0.46,,1998-12,0.15,0.305,0.455,,1998-12,0.075,,1998-12,,
1998-09,1.802B,1.802B,1.250B,552.60M,245.20M,-11.70M,,,,,315.60M,237.00M,,,,-11.70M,,166.40M,59.10M,107.30M,12.10M,,-7.40M,119.40M,114.84M,237.00M,,1998-09,0.33,0.035,0.365,,1998-09,0.325,0.035,0.36,,1998-09,0.075,,1998-09,,
1998-06,2.186B,2.186B,1.523B,663.60M,303.20M,5.20M,,,,,377.30M,286.30M,,,,5.20M,,218.40M,77.50M,140.90M,,,-15.10M,140.90M,137.55M,286.30M,,1998-06,0.43,0.00,0.43,,1998-06,0.425,0.00,0.425,,1998-06,0.075,,1998-06,,
