,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,EndingCash(Quarterly),BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2007-03,3.392B,,,,,273.00M,1.271B,1.271B,-268.00M,,,202.00M,,,,,,-3.587B,-3.587B,-40.00M,1.243B,2007-03,-329.00M,,-329.00M,,-456.00M,5.049B,7.00M,4.271B,2007-03,,,-606.00M,290.00M,-2.50B,-2.21B,,-2.032B,,,-4.848B,2007-03,1.827B,666.00M,-1.00M,,2007-03,290.00M,,,-2.50B,,,2007-03,,
2006-12,9.449B,,,,,-592.00M,1.267B,1.267B,-679.00M,,,1.73B,,,,,,1.102B,3.507B,-10.21B,4.476B,2006-12,-765.00M,,-765.00M,,-153.00M,1.214B,139.00M,435.00M,2006-12,,,-202.00M,139.00M,-2.483B,-2.344B,,-1.708B,,,-4.254B,2006-12,1.177B,657.00M,-7.00M,,2006-12,139.00M,,,-2.483B,,,2006-12,,
2006-09,3.362B,,,,,-56.00M,1.332B,1.332B,-873.00M,,,141.00M,,,,,,145.00M,145.00M,-37.00M,4.014B,2006-09,-551.00M,,-551.00M,,8.00M,893.00M,-6.00M,344.00M,2006-09,,,-1.139B,593.00M,-2.496B,-1.903B,,-1.743B,,-318.00M,-5.103B,2006-09,1.921B,-745.00M,1.00M,,2006-09,593.00M,,,-2.496B,,,2006-09,,
2006-06,2.415B,,,,,97.00M,1.343B,1.343B,-79.00M,,,545.00M,,,,,,822.00M,822.00M,,5.143B,2006-06,-469.00M,,-469.00M,,-542.00M,-116.00M,18.00M,-1.109B,2006-06,,,-2.397B,,-1.00B,-1.00B,,-1.725B,,145.00M,-4.977B,2006-06,2.869B,-943.00M,-5.00M,,2006-06,,,,-1.00B,,,2006-06,,
2006-03,4.111B,,,,,271.00M,1.351B,1.351B,-314.00M,,,,,,,,,-1.458B,-1.458B,,3.961B,2006-03,-418.00M,,-418.00M,,-1.433B,7.491B,-209.00M,5.431B,2006-03,,,-6.196B,,-1.00B,-1.00B,,-1.743B,,173.00M,-8.766B,2006-03,2.247B,626.00M,-4.00M,,2006-03,,,,-1.00B,,,2006-03,,
2005-12,2.733B,,,,,-3.226B,1.433B,1.433B,-1.178B,,,3.575B,,,,,,2.393B,1.477B,,4.737B,2005-12,-613.00M,19.00M,-594.00M,,0.00,-6.983B,-202.00M,-7.779B,2005-12,,,5.981B,105.00M,-382.00M,-277.00M,,-1.378B,,,4.326B,2005-12,959.00M,1.284B,4.00M,,2005-12,105.00M,,,-382.00M,,,2005-12,,
2005-09,1.589B,,,,,1.549B,1.367B,1.367B,-152.00M,,,,,,,,,-1.34B,-1.34B,,3.013B,2005-09,-496.00M,1.00M,-495.00M,,-1.849B,1.207B,-325.00M,-1.462B,2005-09,,,-572.00M,68.00M,-111.00M,-43.00M,,-1.247B,,,-1.862B,2005-09,1.276B,-311.00M,-6.00M,,2005-09,68.00M,,,-111.00M,,,2005-09,,
2005-06,3.462B,,,,,323.00M,1.41B,1.41B,-610.00M,,,-98.00M,,,,,,-697.00M,-697.00M,,3.79B,2005-06,-532.00M,107.00M,-425.00M,,-348.00M,7.554B,93.00M,6.874B,2005-06,,,-7.116B,278.00M,-2.385B,-2.107B,,-1.53B,,-115.00M,-10.87B,2005-06,1.476B,-204.00M,4.00M,,2005-06,278.00M,,,-2.385B,,,2005-06,,
2005-03,301.00M,,,,,1.182B,1.366B,1.366B,483.00M,,,98.00M,,,,,,-237.00M,-237.00M,,3.193B,2005-03,-465.00M,,-465.00M,,93.00M,-2.417B,84.00M,-2.705B,2005-03,,,1.386B,,-919.00M,-919.00M,,-1.40B,,115.00M,-818.00M,2005-03,1.808B,-330.00M,-2.00M,,2005-03,,,,-919.00M,,,2005-03,,
2004-12,2.825B,,,,,402.00M,1.311B,1.311B,-1.123B,,,,,,,,,2.856B,2.017B,,5.99B,2004-12,-1.075B,84.00M,-991.00M,,-820.00M,-893.00M,15.00M,-2.689B,2004-12,,,-319.00M,103.00M,-1.872B,-1.769B,,-1.261B,,,-3.349B,2004-12,1.864B,-48.00M,-8.00M,,2004-12,103.00M,,,-1.872B,,,2004-12,,
2004-09,3.341B,,,,,-27.00M,1.265B,1.265B,-249.00M,,,,,,,,,846.00M,846.00M,,5.176B,2004-09,-565.00M,617.00M,52.00M,,0.00,54.00M,-69.00M,37.00M,2004-09,,,-348.00M,123.00M,-2.512B,-2.389B,,-1.259B,,,-3.996B,2004-09,652.00M,1.217B,-5.00M,,2004-09,123.00M,,,-2.512B,,,2004-09,,
2004-06,2.864B,,,,,270.00M,1.256B,1.256B,62.00M,,,,,,,,,-861.00M,-861.00M,,3.591B,2004-06,-489.00M,466.00M,-23.00M,,0.00,-3.069B,43.00M,-3.049B,2004-06,,,1.576B,769.00M,-1.363B,-594.00M,,-1.28B,,-569.00M,-867.00M,2004-06,965.00M,-325.00M,12.00M,,2004-06,769.00M,,,-1.363B,,,2004-06,,
2004-03,2.331B,,,,,1.116B,1.261B,1.261B,-284.00M,,,,,,,,,-2.841B,-2.841B,,1.583B,2004-03,-472.00M,109.00M,-363.00M,,-1.443B,-1.627B,-288.00M,-3.721B,2004-03,,,3.191B,17.00M,-912.00M,-895.00M,,-1.282B,,569.00M,1.583B,2004-03,1.52B,-555.00M,,,2004-03,17.00M,,,-912.00M,,,2004-03,,
2003-12,602.00M,,,,,660.00M,1.722B,1.722B,786.00M,,,,,,,,,1.30B,40.00M,-14.00M,4.384B,2003-12,-767.00M,2.00M,-765.00M,,,1.917B,-241.00M,911.00M,2003-12,,,-1.289B,145.00M,-3.164B,-3.019B,,-1.077B,,,-5.385B,2003-12,1.61B,-90.00M,0.00,,2003-12,145.00M,,,-3.164B,,,2003-12,,
2003-09,2.235B,,,,,828.00M,1.098B,1.098B,-202.00M,,,,,,,,,-1.086B,-1.086B,0.00,2.873B,2003-09,-658.00M,13.00M,-645.00M,,,1.046B,-295.00M,106.00M,2003-09,,,880.00M,202.00M,-3.451B,-3.249B,,-1.187B,,,-3.556B,2003-09,2.19B,-577.00M,-3.00M,,2003-09,202.00M,,,-3.451B,,,2003-09,,
2003-06,-3.592B,,,,,4.395B,936.00M,936.00M,47.00M,,,,,,,,,347.00M,347.00M,0.00,2.133B,2003-06,-822.00M,4.409B,3.587B,,,381.00M,1.748B,5.716B,2003-06,,,-1.356B,647.00M,-5.824B,-5.177B,,-1.183B,,,-7.716B,2003-06,2.068B,133.00M,-11.00M,,2003-06,647.00M,,,-5.824B,,,2003-06,,
2003-03,4.665B,,,,,-2.05B,269.00M,269.00M,,,,,,,,,,-561.00M,-561.00M,14.00M,2.337B,2003-03,-382.00M,1.178B,796.00M,,,-2.742B,63.00M,-1.883B,2003-03,,,1.174B,78.00M,-598.00M,-520.00M,,-906.00M,,,-252.00M,2003-03,1.878B,202.00M,-12.00M,,2003-03,78.00M,,,-598.00M,,,2003-03,,
2002-12,2.856B,,,,,-110.00M,300.00M,300.00M,,,,,,,,,,939.00M,942.00M,180.00M,3.783B,2002-12,-586.00M,214.00M,-372.00M,,,364.00M,-628.00M,-636.00M,2002-12,,,-2.098B,111.00M,-270.00M,-159.00M,,-786.00M,,,-3.043B,2002-12,1.774B,104.00M,0.00,,2002-12,111.00M,,,-270.00M,,,2002-12,,
2002-09,2.35B,,,,,-91.00M,250.00M,250.00M,,,,,,,,,,-239.00M,-239.00M,52.00M,2.322B,2002-09,-371.00M,1.00M,-370.00M,,,-640.00M,211.00M,-799.00M,2002-09,,,2.361B,217.00M,-2.73B,-2.513B,,-788.00M,,,-940.00M,2002-09,1.196B,583.00M,-5.00M,,2002-09,217.00M,,,-2.73B,,,2002-09,,
2002-06,1.957B,,,,,-76.00M,240.00M,240.00M,,,,,,,,,,379.00M,379.00M,43.00M,2.543B,2002-06,-432.00M,0.00,-432.00M,,,-1.389B,-52.00M,-1.873B,2002-06,,,756.00M,315.00M,-948.00M,-633.00M,,-796.00M,,-128.00M,-801.00M,2002-06,1.332B,-131.00M,-5.00M,,2002-06,315.00M,,,-948.00M,,,2002-06,,
2002-03,1.963B,,,,,361.00M,246.00M,246.00M,,,,,,,,,,-1.079B,-1.079B,44.00M,1.535B,2002-03,-369.00M,5.00M,-364.00M,,,-606.00M,-60.00M,-1.03B,2002-03,,,1.486B,17.00M,-1.048B,-1.031B,,-798.00M,,128.00M,-215.00M,2002-03,1.036B,290.00M,6.00M,,2002-03,17.00M,,,-1.048B,,,2002-03,,
2001-12,1.956B,,,,,-373.00M,200.00M,200.00M,,,,,,,,,,-320.00M,31.00M,377.00M,2.384B,2001-12,-586.00M,-77.00M,-663.00M,,,-1.376B,74.00M,-1.965B,2001-12,,,594.00M,253.00M,-1.452B,-1.199B,,-677.00M,,,-1.282B,2001-12,1.898B,-863.00M,1.00M,,2001-12,253.00M,,,-1.452B,,,2001-12,,
2001-09,2.11B,,,,,45.00M,250.00M,250.00M,,,,,,,,,,212.00M,212.00M,-37.00M,2.58B,2001-09,-540.00M,85.00M,-455.00M,,,-933.00M,-36.00M,-1.424B,2001-09,,,1.365B,110.00M,-1.345B,-1.235B,,-679.00M,,,-549.00M,2001-09,1.295B,607.00M,-4.00M,,2001-09,110.00M,,,-1.345B,,,2001-09,,
2001-06,1.792B,,,,,-166.00M,268.00M,268.00M,,,,,,,,,,529.00M,529.00M,-27.00M,2.396B,2001-06,-549.00M,,-549.00M,,,-1.945B,7.00M,-2.487B,2001-06,,,1.043B,229.00M,-384.00M,-155.00M,,-679.00M,,,209.00M,2001-06,1.176B,118.00M,1.00M,,2001-06,229.00M,,,-384.00M,,,2001-06,,
2001-03,1.93B,,,,,51.00M,254.00M,254.00M,,,,,,,,,,-421.00M,-421.00M,,1.814B,2001-03,-430.00M,,-430.00M,,,-784.00M,-45.00M,-1.259B,2001-03,,,509.00M,181.00M,-484.00M,-303.00M,,-680.00M,,,-474.00M,2001-03,1.099B,81.00M,-4.00M,,2001-03,181.00M,,,-484.00M,,,2001-03,,
2000-12,1.412B,,,,,-235.00M,261.00M,261.00M,,,,,,,,,,-326.00M,1.477B,,2.65B,2000-12,-524.00M,143.00M,-381.00M,,,-298.00M,286.00M,-393.00M,2000-12,,,-1.832B,265.00M,-379.00M,-114.00M,,-555.00M,,,-2.501B,2000-12,1.341B,-244.00M,2.00M,,2000-12,265.00M,,,-379.00M,,,2000-12,,
2000-09,1.361B,,,,,512.00M,234.00M,234.00M,,,,,,,,,,142.00M,142.00M,,2.249B,2000-09,-624.00M,157.00M,-467.00M,,,-1.457B,7.00M,-1.917B,2000-09,,,391.00M,211.00M,-626.00M,-415.00M,,-554.00M,,,-578.00M,2000-09,1.59B,-246.00M,-3.00M,,2000-09,211.00M,,,-626.00M,,,2000-09,,
2000-06,1.149B,,,,,86.00M,229.00M,229.00M,,,,,,,,,,-220.00M,-220.00M,,1.244B,2000-06,-589.00M,89.00M,-500.00M,,,208.00M,-70.00M,-362.00M,2000-06,,,-504.00M,393.00M,,393.00M,,-547.00M,,,-658.00M,2000-06,1.36B,224.00M,6.00M,,2000-06,393.00M,,,,,,2000-06,,
2000-03,-204.00M,,,,,-392.00M,244.00M,244.00M,,,,,,,,,,404.00M,404.00M,,52.00M,2000-03,-454.00M,79.00M,-375.00M,,,-681.00M,-25.00M,-1.081B,2000-03,,,254.00M,319.00M,,319.00M,,-541.00M,,,32.00M,2000-03,2.358B,-997.00M,-1.00M,,2000-03,319.00M,,,,,,2000-03,,
1999-12,1.489B,,,,,-243.00M,266.00M,266.00M,117.00M,,,,,,,,,1.166B,259.00M,,1.868B,1999-12,-457.00M,-93.00M,-550.00M,,,733.00M,-158.00M,25.00M,1999-12,,,-565.00M,255.00M,-628.00M,-373.00M,,-469.00M,,,-1.407B,1999-12,1.759B,486.00M,93.00M,,1999-12,255.00M,,,-628.00M,,,1999-12,,
1999-09,1.108B,,,,,362.00M,226.00M,226.00M,96.00M,,,,,,,,,285.00M,285.00M,,2.077B,1999-09,-933.00M,64.00M,-869.00M,,,-1.351B,273.00M,-1.947B,1999-09,,,109.00M,79.00M,-625.00M,-546.00M,,-456.00M,,,-893.00M,1999-09,2.524B,-763.00M,18.00M,,1999-09,79.00M,,,-625.00M,,,1999-09,,
1999-06,1.56B,,,,,128.00M,285.00M,285.00M,,,,,,,,,,-321.00M,-321.00M,,1.652B,1999-06,-751.00M,138.00M,-613.00M,,,-162.00M,-186.00M,-961.00M,1999-06,,,959.00M,153.00M,-600.00M,-447.00M,,-610.00M,,,-98.00M,1999-06,1.166B,593.00M,-90.00M,,1999-06,153.00M,,,-600.00M,,,1999-06,,
1999-03,815.00M,,,,,63.00M,128.00M,128.00M,,,,,,,,,,-1.13B,-1.13B,,-124.00M,1999-03,-352.00M,,-352.00M,,,-705.00M,34.00M,-1.023B,1999-03,,,1.596B,149.00M,-689.00M,-540.00M,,-285.00M,,,771.00M,1999-03,1.552B,-376.00M,-10.00M,,1999-03,149.00M,,,-689.00M,,,1999-03,,
1998-12,1.916B,,,,,30.00M,353.00M,353.00M,,,,775.00M,,,,,,,,-217.00M,3.647B,1998-12,-1.138B,647.00M,-491.00M,,,-1.469B,13.00M,-1.947B,1998-12,,,-1.451B,222.00M,-790.00M,-568.00M,,-760.00M,,,-2.779B,1998-12,2.723B,-1.079B,26.00M,,1998-12,222.00M,,,-790.00M,,,1998-12,,
1998-09,1.397B,,,,,-1.073B,209.00M,209.00M,,,,-434.00M,,,,,,,,710.00M,809.00M,1998-09,-352.00M,2.23B,1.878B,,,62.00M,-483.00M,1.457B,1998-09,,,570.00M,136.00M,-1.064B,-928.00M,,-250.00M,,-21.00M,-629.00M,1998-09,0.00,1.637B,-3.00M,,1998-09,136.00M,,,-1.064B,,,1998-09,,
1998-06,628.00M,,,,,150.00M,117.00M,117.00M,,,,124.00M,,,,,,,,-405.00M,614.00M,1998-06,-271.00M,0.00,-271.00M,,,-147.00M,-19.00M,-437.00M,1998-06,,,132.00M,85.00M,-122.00M,-37.00M,,-246.00M,,7.00M,-144.00M,1998-06,0.00,33.00M,3.00M,,1998-06,85.00M,,,-122.00M,,,1998-06,,
