,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2013-03,296.93M,,,-1.955M,-344.68M,-24.77M,-354.05M,,,177.43M,177.43M,-3.64M,,,9.755M,-14.17M,32.94M,-40.99M,,,,-8.055M,,129.14M,,-13.01M,,,-175.57M,,,2.815B,,-2.128B,,-2.128B,5.202M,,5.202M,,,,,,-140.53M,,1.044M,-2.262B,,100.81M,681.86M,2.692M,785.36M,,5.202M,0.00,-2.128B,,,,AOR,Restated
2012-12,-225.68M,,,-0.666M,-67.65M,-11.23M,-60.51M,,,189.56M,189.56M,-11.21M,,239.95M,8.084M,-8.528M,8.063M,-25.85M,,,,-17.79M,,90.14M,,-32.17M,,,-88.74M,,,577.49M,,-588.66M,,-588.66M,1.539M,,1.539M,,0.00,0.00,389.16M,37.27M,-141.41M,,2.892M,-725.63M,,158.19M,-58.00M,0.619M,100.81M,,1.539M,-218.54M,-370.11M,0.00,,,AOR,Restated
2012-09,-1.44M,,,5.841M,-12.68M,-2.563M,-9.399M,,,198.30M,198.30M,-1.884M,,9.778M,7.885M,1.509M,-82.88M,75.51M,,,,-7.362M,,213.24M,,-23.52M,,,9.109M,,,-238.24M,,48.23M,,48.23M,6.378M,,6.378M,,0.00,0.00,-129.24M,-10.30M,-139.54M,,-21.05M,-105.98M,,293.63M,-130.97M,-4.473M,158.19M,,6.378M,62.00M,-13.77M,0.00,,,AOR,Restated
2012-06,-5.205M,,,-14.53M,-0.52M,-3.889M,-18.44M,,,187.78M,187.78M,-9.92M,,0.00,8.046M,-8.295M,-58.14M,-20.32M,,,,-78.46M,,88.67M,,-12.89M,,,155.62M,,,13.80M,,88.70M,,88.70M,4.473M,,4.473M,,0.00,0.00,-130.98M,-10.30M,-141.28M,,-111.57M,-159.68M,,343.74M,-57.22M,7.11M,293.63M,,4.473M,576.19M,-487.50M,0.00,,,AOR,Restated
2012-03,201.85M,,,24.24M,-267.77M,-14.00M,-262.94M,,,191.82M,191.82M,1.051M,,19.32M,8.123M,-8.387M,-45.43M,-35.27M,,,,-80.70M,,71.44M,,-12.03M,,,-314.48M,,,176.56M,,43.35M,,43.35M,18.59M,,18.59M,,,,-128.94M,-16.66M,-145.60M,,3.446M,-80.22M,,176.07M,167.78M,-0.114M,343.74M,,18.59M,1.023B,-979.32M,,,,AOR,Restated
2011-12,-101.84M,23.46M,114.65M,6.638M,,-40.46M,-7.953M,,,198.30M,198.30M,-22.56M,-35.89M,43.85M,6.512M,29.91M,,-64.09M,,,37.00M,-67.19M,,102.12M,,764.23M,-812.19M,-29.68M,132.40M,-49.70M,0.726M,565.46M,,-690.40M,,-690.40M,0.00,,0.00,,,,-129.95M,-3.952M,-133.90M,,113.60M,-710.70M,,216.75M,-43.13M,2.449M,176.07M,,0.00,35.29M,-725.69M,,,,AOR,Restated
2011-09,65.87M,-23.46M,-8.396M,-53.69M,,-11.43M,-84.63M,,,198.03M,198.03M,1.773M,8.302M,0.00,17.37M,-16.97M,,-85.56M,,,16.66M,-68.90M,,120.84M,,-357.82M,201.82M,-132.45M,0.00,93.38M,-88.03M,-150.66M,,143.89M,,143.89M,0.00,,0.00,,,,-128.15M,-10.30M,-138.46M,,-16.81M,-11.38M,,260.89M,-41.19M,-2.95M,216.75M,,0.00,378.15M,-234.25M,,,,AOR,Restated
2011-06,-143.63M,3.725M,-106.25M,10.29M,,-17.46M,-117.88M,,,124.43M,124.43M,0.118M,14.76M,103.82M,6.576M,4.123M,,-13.31M,,,2.535M,-10.78M,,-18.46M,,-244.40M,215.88M,-19.33M,-791.21M,-38.69M,32.30M,-826.12M,,59.79M,,59.79M,1.156B,,1.156B,,,,-64.99M,-6.354M,-71.34M,,-64.36M,1.081B,,24.74M,235.97M,0.175M,260.89M,,1.156B,720.95M,-661.16M,,,,AOR,Restated
2011-03,-40.16M,-3.725M,,-1.635M,,9.422M,0.186M,,,83.12M,83.12M,0.864M,12.84M,0.00,-1.537M,-12.60M,,16.06M,,,-56.20M,-40.14M,,2.562M,,-217.71M,394.49M,181.46M,0.00,-4.978M,6.45M,178.26M,,-121.66M,,-121.66M,0.031M,,0.031M,,,,-64.04M,-6.354M,-70.40M,,-3.124M,-195.16M,,37.63M,-14.34M,1.447M,24.74M,,0.031M,164.50M,-286.17M,,,,AOR,Restated
2010-12,-1.395B,,,14.10M,,-73.54M,171.38M,,,89.34M,89.34M,-11.78M,-58.44M,1.146B,7.827M,-40.44M,63.70M,-109.62M,,,-5.078M,-50.99M,,16.18M,,407.98M,-603.46M,-188.21M,-115.20M,269.07M,-264.20M,821.81M,,-2.136B,305.41M,-1.830B,1.133B,,1.133B,,,,-64.74M,-6.354M,-71.09M,,-49.36M,-817.97M,,17.80M,20.02M,-0.181M,37.63M,,1.133B,7.165M,-2.143B,,,,AOR,Restated
2010-09,-8.049M,22.77M,,-6.838M,,7.612M,-71.82M,,,93.55M,93.55M,1.956M,15.89M,2.929M,5.349M,100.06M,,83.74M,,,-22.74M,61.00M,,121.88M,,-146.16M,343.43M,206.72M,0.00,-159.73M,0.00,37.54M,,217.58M,-305.41M,-87.83M,1.173M,,1.173M,,,,-72.11M,-6.354M,-78.46M,,-3.213M,-168.34M,,25.10M,-8.921M,1.618M,17.80M,,1.173M,166.75M,50.83M,,,,AOR,Restated
2010-06,-100.92M,-22.77M,,1.392M,,40.81M,56.96M,-48.66M,4.289M,129.43M,129.43M,-42.40M,42.55M,0.367M,5.097M,-19.60M,1.369M,-68.02M,,,27.82M,-38.83M,,32.66M,,-236.86M,260.03M,35.01M,0.00,-109.34M,143.37M,57.20M,,58.22M,,58.22M,28.71M,,28.71M,,,,-143.82M,-12.71M,-110.88M,-1.548M,-25.34M,-50.83M,,153.39M,39.03M,-14.51M,25.10M,,28.71M,1.369B,-1.311B,,-15.99M,,AOR,Restated
2010-03,-0.62M,,,2.837M,,1.441M,4.278M,48.66M,-4.289M,44.37M,44.37M,,,,6.812M,-1.462M,-1.369M,18.06M,,,,16.69M,,70.06M,,-53.52M,,-53.52M,,,-129.73M,-183.25M,,111.76M,,111.76M,,,,,,,,,-45.64M,1.548M,-0.283M,67.38M,,187.17M,-45.81M,12.03M,153.39M,,,317.46M,-205.70M,,15.99M,,AOR,Restated
2009-12,-10.10M,,,0.474M,,0.631M,-0.263M,50.53M,-3.628M,46.90M,46.90M,,12.58M,0.00,6.56M,292.12M,-0.168M,-20.45M,,,,-20.61M,-75.32M,34.87M,,-65.11M,,-65.11M,0.00,31.38M,10.69M,-23.04M,,-223.66M,,62.76M,-0.006M,0.323M,0.317M,,,,-43.27M,,-43.27M,1.439M,-21.11M,-0.191M,,174.65M,11.64M,0.878M,187.17M,,-0.006M,498.54M,-722.20M,0.001M,-86.48M,,AOR,Restated
2009-09,76.46M,,,0.627M,,1.569M,0.976M,44.38M,-1.969M,42.41M,42.41M,,2.807M,-3.828M,4.54M,-54.75M,10.26M,8.239M,,,,18.49M,,87.11M,,-66.44M,,-66.44M,8.611M,173.86M,-5.27M,110.77M,,-122.36M,,-122.67M,0.067M,-0.323M,-0.256M,,,,-99.90M,,-40.79M,0.254M,-17.38M,-180.85M,,185.91M,17.03M,-28.28M,174.65M,,0.067M,143.75M,-266.10M,-0.323M,21.88M,,AOR,Restated
2009-06,28.70M,,,2.689M,,-4.83M,-35.43M,38.30M,-1.542M,36.76M,36.76M,,6.484M,0.00,4.645M,9.804M,2.647M,-5.958M,,,,-3.311M,11.65M,59.30M,,-127.98M,,-127.98M,-8.968M,274.42M,-156.34M,-18.87M,,161.41M,,-21.79M,-0.243M,,-0.243M,,,,,,-56.63M,0.13M,6.857M,-71.68M,,263.00M,-31.25M,-45.85M,185.91M,,-0.243M,215.17M,-53.76M,,39.80M,,AOR,Restated
2009-03,-123.02M,,,2.291M,,2.986M,5.277M,42.12M,-3.392M,38.73M,38.73M,,,175.89M,7.304M,-30.19M,4.577M,-5.089M,,,,-0.512M,-11.65M,61.82M,,-142.82M,,-142.82M,,,158.06M,15.24M,,-492.30M,,-592.30M,552.50M,,552.50M,,,,,,-2.475M,0.00,-3.354M,-45.63M,,223.94M,31.44M,7.629M,263.00M,,552.50M,214.22M,-706.52M,,24.80M,,AOR,Restated
