,NetIncome,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",OtherNoncashItems,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2003-03,7.04B,,2.182B,2.182B,-2.504B,1.928B,1.928B,8.646B,-2.938B,1.333B,-1.605B,,,870.00M,-735.00M,,,-187.00M,,-1.11B,-1.11B,,-1.602B,-45.00M,-2.944B,7.229B,4.967B,132.00M,12.33B,,,,-1.11B,,
2002-12,4.09B,,2.075B,2.075B,1.233B,-2.51B,-2.065B,5.079B,-3.29B,1.734B,-1.556B,,,-677.00M,-2.233B,,,-18.00M,,-4.798B,-4.499B,,-1.562B,3.408B,-2.671B,6.937B,175.00M,117.00M,7.229B,,,,-4.798B,,
2002-09,2.64B,,2.195B,2.195B,192.00M,2.422B,2.422B,7.449B,-2.884B,181.00M,-2.703B,,-15.00M,-437.00M,-3.155B,,,-478.00M,,2.369B,2.369B,,-1.626B,-3.38B,-3.115B,5.70B,1.179B,58.00M,6.937B,,,,2.369B,,
2002-06,2.64B,,2.02B,2.02B,240.00M,-784.00M,-784.00M,4.116B,-2.837B,110.00M,-2.727B,,15.00M,-421.00M,-3.133B,,,535.00M,,-2.369B,-2.369B,,-1.577B,1.128B,-2.283B,6.622B,-1.30B,378.00M,5.70B,,,,-2.369B,,
2002-03,2.09B,,2.02B,2.02B,-358.00M,872.00M,872.00M,4.624B,-2.426B,768.00M,-1.658B,,,421.00M,-1.237B,,,-346.00M,,,,,-1.621B,-1.317B,-3.284B,6.547B,103.00M,-28.00M,6.622B,,,,,,
2001-12,3.249B,,2.14B,2.14B,-430.00M,-832.00M,-2.601B,3.39B,-3.126B,190.00M,-2.936B,,,670.00M,-2.266B,,,1.906B,,-5.721B,-5.42B,,-1.607B,1.696B,-3.425B,9.026B,-2.301B,-178.00M,6.547B,,,,-5.721B,,
2001-09,3.18B,,1.957B,1.957B,542.00M,-424.00M,-424.00M,5.255B,-2.493B,143.00M,-2.35B,,,-281.00M,-2.631B,,,13.00M,,2.776B,2.776B,,-1.71B,-4.129B,-3.05B,9.298B,-426.00M,154.00M,9.026B,,,,2.776B,,
2001-06,4.46B,,1.871B,1.871B,-394.00M,-422.00M,-422.00M,5.515B,-2.342B,458.00M,-1.884B,,,-338.00M,-2.222B,,,-1.694B,,-1.406B,-1.406B,,-1.546B,-258.00M,-4.904B,10.91B,-1.611B,3.00M,9.298B,,,,-1.406B,,
2001-03,5.00B,,1.976B,1.976B,75.00M,1.678B,1.678B,8.729B,-2.028B,287.00M,-1.741B,,,649.00M,-1.092B,,,-691.00M,,-1.37B,-1.37B,,-1.585B,-16.00M,-3.662B,7.08B,3.975B,-149.00M,10.91B,,,,-1.37B,,
2000-12,7.047B,-4.502B,2.033B,2.033B,3.141B,-1.732B,-1.654B,6.075B,-2.61B,2.056B,-554.00M,,,566.00M,-1.595B,,,-1.388B,493.00M,-1.691B,-1.198B,,-1.60B,-108.00M,-4.294B,6.644B,186.00M,250.00M,7.08B,493.00M,,,-1.691B,,
2000-09,4.06B,3.277B,1.901B,1.901B,-5.562B,1.732B,1.732B,5.408B,-2.035B,505.00M,-1.53B,,,-280.00M,-1.81B,,,-2.00M,-195.00M,-661.00M,-856.00M,,-1.62B,-7.00M,-2.485B,5.813B,1.113B,-282.00M,6.644B,-195.00M,,,-661.00M,,
2000-06,4.00B,-2.317B,1.939B,1.939B,4.172B,-1.83B,-1.83B,5.964B,-2.032B,1.227B,-805.00M,,,54.00M,-751.00M,,,-784.00M,44.00M,42.00M,86.00M,,-1.56B,-70.00M,-2.328B,2.928B,2.885B,0.00,5.813B,44.00M,,,42.00M,,
2000-03,3.025B,455.00M,2.128B,2.128B,-1.948B,1.83B,1.83B,5.49B,-1.769B,1.982B,213.00M,,,645.00M,858.00M,,,-3.531B,151.00M,-42.00M,109.00M,,-1.594B,-42.00M,-5.058B,1.688B,1.29B,-50.00M,2.928B,151.00M,,,-42.00M,,
1999-12,2.284B,703.00M,2.153B,2.153B,600.00M,156.00M,-49.00M,4.252B,-2.635B,256.00M,-2.379B,,,347.00M,-3.022B,,,-359.00M,,-326.00M,22.00M,,-1.58B,55.00M,-1.862B,2.315B,-632.00M,5.00M,1.688B,,,,-326.00M,,
1999-09,2.188B,1.079B,1.991B,1.991B,-860.00M,-158.00M,-158.00M,4.24B,-2.483B,78.00M,-2.405B,,,-287.00M,-2.692B,,,101.00M,,-52.00M,-52.00M,,-1.513B,-19.00M,-1.483B,2.175B,65.00M,75.00M,2.315B,,,,-52.00M,,
1999-06,1.954B,-1.079B,1.989B,1.989B,705.00M,-108.00M,-108.00M,3.461B,-3.074B,286.00M,-2.788B,,,-182.00M,-2.97B,,,1.303B,,-208.00M,-208.00M,,-1.483B,-236.00M,-624.00M,2.331B,-133.00M,-23.00M,2.175B,,,,-208.00M,,
1999-03,1.484B,,2.171B,2.171B,-705.00M,110.00M,110.00M,3.06B,-2.657B,234.00M,-2.423B,,,122.00M,-2.301B,,,789.00M,,-84.00M,-84.00M,,-1.515B,,-810.00M,2.386B,-51.00M,-4.00M,2.331B,,,,-84.00M,,
1998-12,3.234B,342.00M,4.375B,4.375B,-228.00M,-563.00M,-957.00M,7.084B,-6.895B,1.219B,-5.676B,,,17.00M,-6.433B,,,2.571B,,-1.311B,-804.00M,,-3.154B,11.00M,-1.376B,2.10B,-725.00M,13.00M,2.386B,,,,-1.311B,,
1998-09,1.40B,-16.00M,1.29B,1.29B,271.00M,563.00M,563.00M,3.508B,-2.149B,43.00M,-2.106B,,,-380.00M,-2.486B,,,-22.00M,,-583.00M,-583.00M,,-1.018B,-29.00M,-1.652B,2.688B,-630.00M,42.00M,2.10B,,,,-583.00M,,
1998-06,1.62B,16.00M,1.346B,1.346B,-153.00M,,,2.829B,-2.007B,135.00M,-1.872B,,,-44.00M,-1.916B,,,-126.00M,,-1.653B,-1.653B,,-1.027B,763.00M,-2.043B,3.84B,-1.13B,-22.00M,2.688B,,,,-1.653B,,
