,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2002-03,37.80B,43.39B,22.01B,21.38B,3.137B,-83.00M,7.945B,,,,13.08B,8.305B,,,718.00M,,3.328B,1.265B,2.063B,27.00M,,-15.00M,2.09B,2.114B,10.32B,2.02B,8.305B,0.3,0.0,,,0.3074,0.3,0.3,0.0,,,0.3074,0.3,6.967B,6.967B,0.23
2001-12,40.34B,47.19B,22.77B,24.42B,3.427B,-315.00M,8.707B,,,,14.18B,10.24B,,,467.00M,,3.638B,1.06B,2.578B,,,-149.00M,2.68B,2.801B,12.38B,2.14B,10.24B,0.38,-0.02,,-0.0,0.4125,0.39,0.38,-0.02,,-0.0,0.4124,0.39,6.871B,6.893B,0.23
2001-09,45.82B,56.45B,27.64B,28.81B,3.196B,-145.00M,8.42B,,,,13.57B,15.24B,,,836.00M,,5.24B,2.06B,3.18B,,,-125.00M,3.18B,3.268B,17.19B,1.957B,15.24B,0.46,0.0,,,0.4727,0.46,0.46,0.0,,,0.4727,0.46,6.913B,6.913B,0.23
2001-06,49.88B,56.18B,30.62B,25.56B,3.215B,-167.00M,8.057B,,,,13.14B,12.42B,,,916.00M,,6.872B,2.587B,4.285B,,,-83.00M,4.46B,4.389B,14.29B,1.871B,12.42B,0.64,0.02,,0.0259,0.6554,0.66,0.63,0.02,,0.0255,0.6452,0.65,6.758B,6.862B,0.23
2001-03,50.78B,57.30B,30.15B,27.15B,3.06B,-121.00M,8.193B,,,,13.23B,13.92B,,,1.103B,,8.22B,3.26B,4.96B,,,-212.00M,5.00B,5.033B,15.90B,1.976B,13.92B,0.72,0.005,,0.0058,0.7306,0.725,0.71,0.005,,0.0057,0.7204,0.715,6.897B,6.993B,0.44
2000-12,55.80B,82.41B,34.82B,47.59B,2.979B,-3.503B,8.473B,,,,13.48B,34.11B,,,747.00M,,8.212B,3.491B,4.721B,,,-157.00M,5.22B,6.823B,36.14B,2.033B,34.11B,0.705,0.05,,0.0458,1.0090000000000001,0.755,0.695,0.05,,0.0451,0.9952,0.745,6.905B,7.000B,0.22
2000-09,52.18B,52.18B,32.21B,19.97B,3.358B,327.00M,8.529B,,,,13.79B,6.179B,,,327.00M,,6.697B,2.637B,4.06B,,,-73.00M,4.49B,3.862B,8.08B,1.901B,6.179B,0.585,0.06,,0.0618,0.5565,0.645,0.58,0.06,,0.0613,0.5517,0.64,6.961B,7.016B,0.22
2000-06,49.48B,49.48B,30.96B,18.52B,2.83B,616.00M,7.624B,,,,12.39B,6.124B,,,616.00M,,6.706B,2.706B,4.00B,,,-110.00M,4.53B,3.630B,8.063B,1.939B,6.124B,0.575,0.075,,0.076,0.522,0.65,0.565,0.075,,0.0749,0.5128,0.64,6.969B,7.078B,0.22
2000-03,47.78B,47.78B,29.46B,18.32B,2.877B,-252.00M,8.082B,,,,13.09B,5.234B,,,-252.00M,,5.266B,2.241B,3.025B,,,-72.00M,3.48B,3.176B,7.362B,2.128B,5.234B,0.435,0.065,,0.0654,0.4567,0.5,0.43,0.065,,0.0647,0.4515,0.495,6.96B,7.030B,0.22
1999-12,67.08B,67.08B,28.65B,38.42B,3.799B,1.836B,31.29B,,,,37.24B,1.185B,,,1.836B,,3.297B,1.013B,2.284B,,,-77.00M,2.284B,1.012B,3.338B,2.153B,1.185B,0.3233,,,,0.1404,0.3233,0.3233,,,,0.1404,0.3233,6.954B,6.954B,0.22
1999-09,43.60B,43.60B,26.45B,17.14B,2.77B,,8.682B,,,,13.44B,3.701B,,,,,3.492B,1.304B,2.188B,,,-52.00M,2.188B,2.188B,5.692B,1.991B,3.701B,0.315,0.0,,,0.315,0.315,0.31,0.0,,,0.31,0.31,4.856B,4.91B,0.205
1999-06,38.06B,38.06B,21.67B,16.39B,3.338B,-40.00M,8.222B,,,,13.55B,2.839B,,,-40.00M,,2.684B,730.00M,1.954B,,,-7.00M,1.954B,1.983B,4.828B,1.989B,2.839B,0.285,0.0,,,0.291,0.285,0.28,0.0,,,0.2859,0.28,4.856B,4.91B,0.205
1999-03,33.80B,33.80B,18.29B,15.51B,3.244B,-14.00M,8.22B,,,,13.64B,1.875B,,,-14.00M,,1.677B,193.00M,1.484B,,,-9.00M,1.484B,1.496B,4.046B,2.171B,1.875B,0.21,0.0,,,0.2126,0.21,0.21,0.0,,,0.2126,0.21,4.856B,4.856B,0.205
1998-12,90.03B,90.03B,37.81B,52.22B,6.636B,2.237B,37.73B,,,,48.74B,3.477B,,,2.237B,,5.076B,1.842B,3.234B,,0.00,-136.00M,3.234B,1.809B,7.852B,4.375B,3.477B,0.16,0.005,0.0,,-0.1323,0.165,0.155,0.005,-0.0001,,-0.1345,0.16,4.876B,4.922B,0.205
1998-09,24.51B,24.51B,13.92B,10.59B,2.106B,589.00M,5.699B,,,,9.095B,1.498B,,,589.00M,,2.04B,640.00M,1.40B,,,-41.00M,1.40B,995.78M,2.788B,1.29B,1.498B,0.29,0.0,,,0.2063,0.29,0.29,0.0,,,0.2063,0.29,4.828B,4.828B,0.205
1998-06,25.20B,25.20B,14.39B,10.81B,2.179B,557.00M,5.534B,,,,9.059B,1.751B,,,557.00M,,2.258B,638.00M,1.62B,,,-22.00M,1.62B,1.220B,3.097B,1.346B,1.751B,0.33,0.0,,,0.2486,0.33,0.325,0.0,,,0.2448,0.325,4.909B,4.985B,0.205
