,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,GrossPP&E,AccumulatedD&A,NetPP&E,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,UnrealizedGainorLoss-Total,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2006-06,32.11B,,32.11B,28.61B,,,28.61B,1.596B,10.23B,,11.83B,3.505B,4.604B,,80.66B,244.39B,-133.28B,111.11B,,,,29.24B,140.35B,221.01B,39.30B,,,39.30B,,39.30B,1.964B,,,,1.964B,1.964B,10.29B,51.55B,6.393B,,6.393B,22.28B,22.28B,,,25.02B,53.69B,105.25B,0.00,178.21B,4.499B,67.46B,,,,2.869B,-2.356B,513.00M,115.76B
2006-03,31.94B,,31.94B,26.96B,,,26.96B,1.536B,10.05B,,11.58B,3.379B,4.604B,,78.47B,241.68B,-133.28B,108.40B,,,,29.13B,137.53B,216.00B,39.02B,,,39.02B,,39.02B,1.739B,,,,1.739B,1.739B,10.68B,51.43B,6.255B,,6.255B,21.90B,21.90B,,,23.96B,52.10B,103.54B,0.00,169.78B,4.397B,60.83B,,,,1.393B,-2.275B,-882.00M,112.46B
2005-12,28.67B,,28.67B,27.48B,,,27.48B,1.469B,7.852B,,9.321B,3.262B,4.604B,,73.34B,240.29B,-133.28B,107.01B,,,,27.98B,134.99B,208.34B,36.12B,,,36.12B,,36.12B,1.771B,,,,1.771B,1.771B,8.416B,46.31B,6.22B,,6.22B,20.88B,20.88B,,,23.74B,50.84B,97.15B,0.00,163.34B,4.477B,55.35B,,,,979.00M,-2.258B,-1.279B,111.19B
2005-09,29.24B,,29.24B,26.19B,,,26.19B,1.399B,,9.577B,10.98B,3.717B,4.604B,,74.73B,240.88B,-133.78B,107.09B,,,,27.90B,134.99B,209.72B,39.06B,,,39.06B,,39.06B,2.331B,,,,2.331B,2.331B,9.489B,50.88B,6.126B,,6.126B,20.52B,20.52B,,,24.30B,50.96B,101.83B,0.00,154.42B,5.176B,50.08B,,,,1.451B,-3.079B,-1.628B,107.89B
2005-06,25.65B,,25.65B,25.72B,,,25.72B,1.364B,,9.219B,10.58B,3.079B,4.604B,,69.63B,240.00B,-133.78B,106.22B,,,,25.97B,132.19B,201.82B,36.18B,,,36.18B,,36.18B,3.015B,,,,3.015B,3.015B,7.429B,46.63B,6.071B,,6.071B,20.08B,20.08B,,,24.44B,50.59B,97.22B,0.00,146.32B,5.10B,44.77B,,,,1.248B,-3.302B,-2.054B,104.60B
2005-03,25.16B,,25.16B,25.49B,,,25.49B,1.338B,,9.124B,10.46B,2.87B,4.604B,,68.59B,241.20B,-133.78B,107.42B,,,,25.25B,132.66B,201.25B,35.49B,,,35.49B,,35.49B,3.309B,,,,3.309B,3.309B,8.959B,47.76B,5.015B,,5.015B,20.73B,20.73B,,,24.05B,49.80B,97.55B,0.00,140.52B,5.07B,41.15B,,,,2.699B,-3.441B,-742.00M,103.70B
2004-12,18.53B,,18.53B,25.36B,,,25.36B,1.351B,,8.136B,9.487B,2.396B,4.604B,,60.38B,242.42B,-133.78B,108.64B,,,,26.24B,134.88B,195.26B,31.76B,,,31.76B,,31.76B,3.28B,,,,3.28B,3.28B,7.938B,42.98B,5.013B,,5.013B,21.09B,21.09B,,3.952B,20.46B,46.57B,89.55B,0.00,134.39B,5.067B,38.21B,,,,3.598B,-3.085B,513.00M,101.76B
2004-09,16.11B,,16.11B,24.51B,,,24.51B,1.329B,,8.75B,10.08B,2.64B,4.602B,,57.94B,229.24B,-124.35B,104.89B,,,,24.60B,129.50B,187.43B,32.11B,,,32.11B,,32.11B,4.913B,,,,4.913B,4.913B,7.175B,44.20B,5.196B,,5.196B,19.66B,19.66B,,,22.94B,47.80B,91.99B,0.00,127.71B,4.452B,35.42B,,,,1.242B,-2.538B,-1.296B,95.44B
2004-06,14.18B,,14.18B,23.09B,,,23.09B,1.278B,,8.68B,9.958B,2.425B,4.601B,,54.25B,228.20B,-124.35B,103.85B,,,,22.88B,126.74B,180.99B,30.18B,,,30.18B,,30.18B,4.746B,,,,4.746B,4.746B,6.318B,41.25B,5.084B,,5.084B,19.52B,19.52B,,,21.60B,46.21B,87.45B,0.00,123.78B,4.388B,32.65B,,,,683.00M,-2.665B,-1.982B,93.54B
2004-03,15.89B,,15.89B,24.19B,,,24.19B,1.294B,,8.892B,10.19B,2.206B,,,52.48B,229.13B,-124.35B,104.78B,,,,22.94B,127.73B,180.20B,30.36B,,,30.36B,,30.36B,4.834B,,,,4.834B,4.834B,6.765B,41.96B,5.135B,,5.135B,19.98B,19.98B,,,21.45B,46.57B,88.52B,0.00,119.75B,4.339B,30.92B,,,,1.169B,-2.659B,-1.49B,91.68B
2003-12,10.63B,,10.63B,24.31B,,,24.31B,1.292B,,7.665B,8.957B,2.068B,,,45.96B,229.32B,-124.35B,104.96B,,,,23.35B,128.32B,174.28B,28.44B,,,28.44B,,28.44B,4.789B,,,,4.789B,4.789B,5.152B,38.39B,4.756B,,4.756B,20.12B,20.12B,,3.382B,17.72B,42.60B,80.98B,0.00,115.96B,4.468B,29.36B,,,,1.421B,-2.569B,-1.148B,89.92B
2003-09,11.02B,,11.02B,20.25B,,,20.25B,1.282B,,8.475B,9.757B,1.938B,,,42.96B,211.21B,-110.02B,101.19B,,,,22.84B,124.03B,166.99B,27.73B,,,27.73B,,27.73B,4.004B,,,,4.004B,4.004B,6.906B,38.64B,5.615B,,5.615B,17.72B,17.72B,,,21.25B,44.58B,83.22B,0.00,110.96B,4.10B,27.69B,,,,-447.00M,-3.156B,-3.603B,83.76B
2003-06,12.52B,,12.52B,19.47B,,,19.47B,1.252B,,8.783B,10.04B,2.039B,,,44.07B,209.52B,-110.02B,99.50B,,,,21.54B,121.04B,165.10B,26.53B,,,26.53B,,26.53B,4.327B,,,,4.327B,4.327B,5.791B,36.65B,5.811B,,5.811B,17.54B,17.54B,,,22.52B,45.87B,82.52B,0.00,108.96B,4.089B,26.10B,,,,-1.099B,-3.267B,-4.366B,82.58B
2003-03,12.33B,,12.33B,22.15B,,,22.15B,1.242B,,7.62B,8.862B,2.138B,,,45.47B,206.62B,-110.02B,96.60B,,,,20.43B,117.02B,162.50B,27.59B,,,27.59B,,27.59B,4.172B,,,,4.172B,4.172B,5.888B,37.65B,6.489B,,6.489B,17.25B,17.25B,,,21.52B,45.26B,82.91B,0.00,106.46B,4.071B,25.01B,,,,-2.543B,-3.391B,-5.934B,79.58B
2002-12,7.229B,,7.229B,21.16B,,,21.16B,1.241B,,6.827B,8.068B,1.831B,,,38.29B,204.96B,-110.02B,94.94B,,,,19.41B,114.35B,152.64B,13.79B,,,13.79B,4.628B,18.42B,2.857B,,,1.236B,4.093B,4.093B,10.66B,33.18B,6.655B,,6.655B,16.48B,16.48B,,2.768B,18.96B,42.10B,75.28B,0.00,100.96B,4.217B,24.08B,,,,-3.015B,-3.489B,-6.504B,74.60B
2002-09,6.937B,,6.937B,18.70B,,,18.70B,1.284B,,7.472B,8.756B,2.151B,,,36.54B,194.36B,-100.90B,93.46B,,,,19.47B,112.93B,149.47B,24.39B,,,24.39B,,24.39B,3.773B,,,,3.773B,3.773B,4.892B,33.06B,7.11B,,7.11B,16.57B,16.57B,,,18.04B,41.72B,74.78B,0.00,98.42B,3.851B,22.99B,,,,-3.905B,-682.00M,-4.587B,74.69B
2002-06,5.70B,,5.70B,19.58B,,,19.58B,1.254B,,7.412B,8.666B,2.187B,,,36.14B,191.11B,-97.92B,93.19B,,,,18.90B,112.10B,148.23B,24.14B,,,24.14B,,24.14B,3.702B,,,,3.702B,3.702B,3.40B,31.24B,7.607B,,7.607B,17.38B,17.38B,,,16.88B,41.87B,73.11B,0.00,97.33B,3.843B,21.96B,,,,-3.424B,-669.00M,-4.093B,75.12B
2002-03,6.622B,,6.622B,18.64B,,,18.64B,1.167B,,7.154B,8.321B,1.872B,,,35.46B,190.15B,-100.90B,89.25B,,,,17.33B,106.58B,142.04B,23.16B,,,23.16B,,23.16B,3.395B,,,,3.395B,3.395B,3.624B,30.18B,7.118B,,7.118B,16.16B,16.16B,,,16.21B,39.49B,69.67B,0.00,96.24B,3.828B,20.90B,,,,-6.077B,-730.00M,-6.807B,72.37B
2001-12,6.547B,,6.547B,19.55B,,,19.55B,1.161B,,6.743B,7.904B,1.681B,,,35.68B,187.52B,-97.92B,89.60B,,,,17.89B,107.49B,143.17B,22.86B,,,22.86B,,22.86B,,,,,3.703B,3.703B,3.549B,30.11B,7.099B,,7.099B,16.36B,16.36B,,,16.44B,39.90B,70.01B,0.00,95.72B,3.789B,19.60B,,,,-5.947B,-802.00M,-6.749B,73.16B
2001-09,9.026B,,9.026B,20.51B,,,20.51B,1.145B,,7.47B,8.615B,2.174B,,,40.33B,187.45B,-97.92B,89.53B,,,,18.04B,107.58B,147.90B,24.63B,,,24.63B,,24.63B,3.893B,,,,3.893B,3.893B,6.04B,34.56B,7.24B,,7.24B,16.14B,16.14B,,,16.14B,39.51B,74.08B,0.00,94.61B,3.752B,18.23B,,,,-5.724B,-582.00M,-6.306B,73.82B
2001-06,9.298B,,9.298B,21.41B,,,21.41B,1.102B,,7.293B,8.395B,2.22B,,,41.32B,186.27B,-97.92B,88.36B,,,,17.98B,106.34B,147.66B,25.31B,,,25.31B,,25.31B,3.89B,,,,3.89B,3.89B,6.417B,35.61B,7.289B,,7.289B,16.19B,16.19B,,,15.59B,39.07B,74.69B,0.00,93.01B,3.745B,16.94B,,,,-6.381B,-457.00M,-6.838B,72.97B
2001-03,10.91B,,10.91B,21.12B,,,21.12B,1.053B,,7.329B,8.382B,2.122B,,,42.53B,185.92B,-97.92B,88.01B,,,,18.25B,106.26B,148.79B,25.16B,,,25.16B,,25.16B,5.56B,,,,5.56B,5.56B,6.637B,37.36B,7.27B,,7.27B,16.36B,16.36B,,,15.91B,39.54B,76.90B,0.00,90.13B,3.692B,15.51B,,,,-5.867B,-556.00M,-6.423B,71.89B
2000-12,7.08B,,7.08B,23.00B,,,23.00B,1.06B,,7.244B,8.304B,2.019B,,,40.40B,187.75B,-97.92B,89.83B,,,,18.77B,108.60B,149.00B,26.76B,,,26.76B,,26.76B,,,,,6.161B,6.161B,5.275B,38.19B,7.28B,,7.28B,16.44B,16.44B,,3.23B,13.10B,36.82B,75.01B,0.00,86.65B,3.661B,14.13B,,,,-4.862B,-562.00M,-5.424B,70.76B
2000-09,6.644B,2.00M,6.646B,21.60B,,,21.60B,1.094B,,7.446B,8.54B,,,2.662B,39.45B,186.01B,-95.94B,90.07B,,,,18.74B,108.80B,148.25B,27.65B,,,27.65B,,27.65B,,,,,6.713B,6.713B,5.416B,39.78B,7.528B,,7.528B,,,,,32.84B,40.37B,80.14B,0.00,82.96B,3.589B,12.89B,,,,-5.048B,-501.00M,-5.549B,68.11B
2000-06,5.813B,50.00M,5.863B,20.28B,,,20.28B,1.055B,,7.444B,8.499B,,,2.404B,37.05B,187.44B,-96.13B,91.30B,,,,18.26B,109.57B,146.62B,27.22B,,,27.22B,,27.22B,,,,,6.617B,6.617B,4.758B,38.59B,8.009B,,8.009B,,,,,33.08B,41.09B,79.68B,0.00,80.00B,3.51B,12.00B,,,,-4.054B,-526.00M,-4.58B,66.94B
2000-03,2.928B,57.00M,2.985B,19.08B,,,19.08B,1.138B,,7.046B,8.184B,,,2.128B,32.38B,188.42B,-95.87B,92.55B,,,,18.30B,110.86B,143.24B,25.63B,,,25.63B,,25.63B,,,,,7.37B,7.37B,4.22B,37.22B,8.009B,,8.009B,,,,,33.40B,41.41B,78.63B,0.00,77.00B,3.461B,12.05B,,,,-3.267B,-544.00M,-3.811B,64.60B
1999-12,1.688B,73.00M,1.761B,19.16B,,,19.16B,1.122B,,7.37B,8.492B,,,1.733B,31.14B,189.21B,-95.17B,94.04B,,,,19.34B,113.38B,144.52B,13.52B,,,13.52B,,13.52B,,,,,10.57B,10.57B,14.64B,38.73B,8.402B,,8.402B,16.25B,16.25B,,3.688B,13.98B,38.63B,77.37B,0.00,75.06B,3.403B,12.13B,,,,-2.30B,-566.00M,-2.866B,63.47B
1999-09,1.151B,39.00M,1.19B,10.78B,,,10.78B,,,,4.895B,,,1.185B,18.05B,131.99B,-65.99B,66.00B,,,,10.35B,76.35B,94.39B,15.41B,,,15.41B,,15.41B,,,,,4.82B,4.82B,1.349B,21.58B,4.425B,,4.425B,,,,,24.56B,28.98B,50.56B,2.354B,55.31B,,12.51B,31.00M,,,,,-1.322B,43.83B
1999-06,1.328B,,1.328B,9.107B,,,9.107B,,,,4.787B,,,1.207B,16.43B,129.05B,-64.05B,65.00B,,,,9.804B,74.81B,91.24B,13.73B,,,13.73B,,13.73B,,,,,4.77B,4.77B,1.206B,19.71B,4.497B,,4.497B,,,,,24.20B,28.70B,48.41B,44.00M,54.81B,,,44.00M,,,,,,42.83B
1999-03,1.385B,,1.385B,9.161B,,,9.161B,,,,4.947B,,,1.216B,16.71B,127.67B,-63.25B,64.42B,,,,9.607B,74.02B,90.73B,13.67B,,,13.67B,,13.67B,,,,,3.837B,3.837B,1.365B,18.87B,4.563B,,4.563B,,,,,24.29B,28.86B,47.73B,91.00M,54.60B,,,91.00M,,,,,,43.00B
1998-12,2.386B,50.00M,2.436B,15.83B,,,15.83B,,,,8.692B,,,1.637B,28.59B,182.47B,-89.88B,92.58B,,,,18.16B,110.74B,139.34B,10.92B,,,10.92B,,10.92B,,,,,8.484B,8.484B,14.38B,33.78B,8.532B,,8.532B,16.75B,16.75B,,3.627B,14.53B,39.81B,73.59B,5.616B,75.11B,,15.83B,746.00M,,,-1.573B,-1.201B,-2.774B,62.12B
1998-09,2.101B,,2.101B,,,,9.293B,,,,5.462B,,,1.221B,18.08B,133.16B,-64.88B,68.28B,,,,8.873B,77.15B,95.23B,14.27B,,,14.27B,,14.27B,,,,,2.639B,2.639B,1.857B,18.76B,6.912B,,6.912B,,,,,25.79B,32.70B,51.47B,119.00M,54.11B,,,119.00M,,,,,,43.76B
1998-06,2.689B,,2.689B,,,,9.396B,,,,5.119B,,,1.076B,18.28B,129.98B,-63.22B,66.75B,,,,8.184B,74.94B,93.22B,13.28B,,,13.28B,,13.28B,,,,,2.557B,2.557B,1.695B,17.53B,6.927B,,6.927B,,,,,25.40B,32.33B,49.86B,134.00M,53.71B,,,134.00M,,,,,,43.36B
