,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,SECFilingLinks,AsOriginallyReported,Restated
2001-09,1.476B,1.476B,1.198B,278.24M,165.42M,,,,,165.42M,112.83M,,,,,,92.49M,31.91M,60.58M,,,60.58M,60.58M,174.59M,61.76M,2001-09,0.3533,0.00,,0.3533,2001-09,0.3467,0.00,,0.3467,2001-09,171.46M,174.75M,2001-09,,
2001-06,1.508B,1.508B,1.373B,135.06M,188.35M,-9.862M,,,,34.13M,100.93M,,,,-9.862M,,76.52M,27.17M,49.36M,,,49.36M,55.72M,164.67M,63.74M,2001-06,0.2667,0.02,0.0000,0.3037,2001-06,0.26,0.02,0.0000,0.2965,2001-06,171.86M,174.47M,2001-06,,
2001-03,1.534B,1.534B,1.193B,341.48M,159.58M,4.794M,,,,180.24M,161.24M,,,,4.794M,,141.79M,50.33M,91.45M,,,88.07M,88.36M,228.47M,67.23M,2001-03,0.5333,-0.02,-0.0197,0.5153,2001-03,0.5333,-0.02,-0.0197,0.5153,2001-03,171.57M,171.57M,2001-03,,
2000-12,1.468B,1.468B,1.152B,315.26M,169.60M,,,,,169.60M,145.66M,,,,,,121.42M,43.10M,78.31M,,,78.31M,78.31M,211.78M,66.12M,2000-12,0.4536,0.00,,0.4536,2000-12,0.4536,0.00,,0.4536,2000-12,170.93M,172.16M,2000-12,,
2000-09,1.485B,1.485B,1.159B,326.10M,162.44M,,,,,162.44M,163.66M,,,,,,193.87M,68.82M,125.05M,,,125.05M,125.05M,231.09M,67.43M,2000-09,0.7337,0.00,,0.7337,2000-09,0.7270,0.00,,0.7270,2000-09,170.81M,171.76M,2000-09,,
2000-06,1.510B,1.510B,1.322B,188.66M,156.35M,-4.908M,,,,-0.659M,189.31M,,,,-4.908M,,172.48M,59.50M,112.97M,,,112.97M,116.19M,238.72M,49.40M,2000-06,0.6667,0.00,,0.6855,2000-06,0.66,0.00,,0.6786,2000-06,170.61M,172.37M,2000-06,,
2000-03,1.394B,1.394B,1.024B,369.57M,141.25M,-0.796M,,,,191.30M,178.27M,,,,-0.796M,,162.90M,56.20M,106.70M,,,106.70M,107.22M,228.32M,50.01M,2000-03,0.6533,0.00,,0.6565,2000-03,0.6467,0.00,,0.6498,2000-03,163.32M,165.00M,2000-03,,
1999-12,1.239B,1.239B,917.50M,321.70M,140.20M,,,,,194.00M,127.70M,,,,,,114.50M,39.50M,75.00M,,,75.00M,75.00M,181.50M,53.80M,1999-12,0.46,0.00,,0.46,1999-12,0.4533,0.00,,0.4533,1999-12,163.04M,165.44M,1999-12,,
1999-09,1.242B,1.242B,923.40M,318.90M,138.10M,-0.60M,,,,191.30M,127.60M,,,,-0.60M,,112.40M,38.80M,73.60M,,,73.60M,73.99M,180.80M,53.20M,1999-09,0.4469,0.00,,0.4493,1999-09,0.4469,0.00,,0.4493,1999-09,163.52M,165.06M,1999-09,,
1999-06,1.313B,1.313B,1.172B,141.53M,138.88M,-5.014M,,,,-15.12M,156.65M,,,,-5.014M,,141.99M,49.69M,92.30M,,,92.30M,95.56M,204.65M,48.00M,1999-06,0.5603,0.00,,0.5800,1999-06,0.5603,0.00,,0.5800,1999-06,165.10M,165.10M,1999-06,,
1999-03,1.256B,1.256B,939.90M,315.90M,136.30M,3.00M,,,,185.50M,130.40M,,,,3.00M,,117.70M,41.20M,76.50M,,,76.50M,74.55M,179.60M,49.20M,1999-03,0.4736,0.00,,0.4615,1999-03,0.4669,0.00,,0.4550,1999-03,161.54M,163.85M,1999-03,,
1998-12,1.199B,1.199B,888.00M,311.00M,141.40M,-0.30M,,,,196.60M,114.40M,,,,-0.30M,,96.80M,33.30M,63.50M,,,63.50M,63.70M,169.60M,55.20M,1998-12,0.3935,0.00,,0.3948,1998-12,0.3869,0.00,,0.3881,1998-12,161.36M,164.14M,1998-12,,
1998-09,1.219B,1.219B,897.70M,321.00M,134.20M,-0.10M,,,,183.80M,137.20M,,,,-0.10M,,121.10M,43.00M,78.10M,,,78.10M,78.16M,186.80M,49.60M,1998-09,0.4736,0.00,,0.4740,1998-09,0.4736,0.00,,0.4740,1998-09,164.92M,164.92M,1998-09,,
1998-06,1.238B,1.238B,904.70M,333.60M,135.40M,2.40M,,,,180.00M,153.60M,,,,2.40M,,140.20M,49.80M,90.40M,,,86.70M,88.85M,198.20M,44.60M,1998-06,0.5403,-0.0200,,0.5310,1998-06,0.5336,-0.0200,,0.5244,1998-06,166.68M,168.89M,1998-06,,
