,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2008-06,1.652B,,1.652B,3.62B,,3.62B,674.10M,1.194B,1.616B,3.484B,438.00M,207.70M,,9.402B,,,,,,2.264B,-512.80M,1.751B,5.081B,4.693B,9.775B,,69.00M,274.80M,11.87B,21.27B,2.724B,,,2.724B,2.707B,5.432B,,320.80M,,320.80M,,,,,5.752B,1.393B,,1.393B,2.079B,2.079B,92.70M,79.40M,3.551B,9.303B,4.20M,3.663B,7.954B,,,,254.00M,11.88B
2008-03,2.139B,,2.139B,3.025B,,3.025B,409.10M,1.130B,1.283B,2.821B,323.00M,156.50M,,8.465B,,,,,,1.775B,-512.80M,1.263B,2.525B,761.00M,3.286B,,67.70M,18.70M,4.635B,13.10B,2.269B,,,2.269B,2.223B,4.492B,,5.60M,,5.60M,,,,,4.498B,737.40M,,737.40M,604.40M,604.40M,63.60M,65.00M,1.407B,5.905B,3.60M,3.242B,3.644B,,,,242.70M,7.132B
2007-12,1.842B,,1.842B,2.743B,,2.743B,420.40M,939.20M,1.215B,2.575B,302.50M,131.50M,,7.594B,0.00,412.30M,,1.298B,,1.710B,-512.80M,1.197B,2.445B,774.10M,3.219B,,55.60M,49.00M,4.521B,12.11B,2.000B,,,2.000B,1.874B,3.874B,,152.80M,,152.80M,,,,,4.027B,737.90M,,737.90M,564.30M,564.30M,62.80M,61.80M,1.364B,5.391B,3.60M,2.846B,3.617B,,196.60M,-1.60M,195.00M,6.661B
2007-09,1.486B,,1.486B,2.648B,,2.648B,407.40M,684.80M,1.160B,2.252B,316.30M,130.80M,,6.833B,,,,,,1.538B,-374.00M,1.164B,2.448B,775.20M,3.224B,,50.80M,74.70M,4.513B,11.35B,1.709B,,,1.709B,1.828B,3.536B,,108.40M,,108.40M,,,,,3.645B,737.80M,,737.80M,495.00M,495.00M,49.70M,71.50M,1.304B,4.949B,3.60M,2.469B,3.598B,,,,276.50M,6.347B
2007-06,1.033B,,1.033B,2.327B,,2.327B,372.20M,750.70M,1.120B,2.243B,231.10M,115.70M,,5.949B,,,,,,1.507B,-374.00M,1.133B,2.374B,785.30M,3.159B,,40.30M,28.30M,4.361B,10.31B,1.407B,,,1.407B,1.703B,3.11B,,110.00M,,110.00M,,,,,3.22B,740.70M,,740.70M,424.20M,424.20M,44.20M,71.70M,1.237B,4.457B,1.80M,2.103B,3.575B,,,,130.20M,5.810B
2007-03,1.190B,,1.190B,2.057B,,2.057B,268.60M,621.10M,1.103B,1.993B,187.00M,106.70M,,5.534B,,,,,,1.422B,-374.00M,1.048B,2.278B,725.70M,3.004B,,59.30M,25.70M,4.136B,9.670B,1.306B,,,1.306B,1.602B,2.907B,,107.80M,,107.80M,,,,,3.015B,737.80M,,737.80M,437.90M,437.90M,39.80M,71.20M,1.247B,4.262B,1.80M,1.784B,3.522B,,,,60.20M,5.368B
2006-12,957.40M,,957.40M,1.924B,,1.924B,266.50M,520.90M,1.041B,1.829B,154.30M,101.60M,,4.966B,0.00,361.70M,,1.034B,,1.396B,-374.00M,1.022B,2.245B,705.20M,2.950B,,56.10M,25.60M,4.054B,9.019B,1.070B,,,1.070B,1.59B,2.660B,,5.60M,,5.60M,,,,,2.665B,834.70M,,834.70M,389.00M,389.00M,35.50M,71.40M,1.295B,3.960B,1.80M,1.514B,3.462B,,60.00M,-13.90M,46.10M,5.024B
2006-09,786.70M,,786.70M,1.740B,,1.740B,245.70M,451.90M,1.015B,1.712B,144.50M,61.60M,,4.445B,,,,,,1.214B,-289.60M,924.10M,2.154B,585.60M,2.740B,,62.60M,20.10M,3.746B,8.191B,868.20M,,,868.20M,1.238B,2.106B,,5.80M,,5.80M,,,,,2.112B,829.90M,,829.90M,385.20M,385.20M,30.20M,66.20M,1.281B,3.393B,1.80M,1.275B,3.450B,,,,41.70M,4.768B
2006-06,515.70M,,515.70M,1.646B,,1.646B,243.10M,393.50M,899.80M,1.536B,111.20M,59.10M,,3.868B,,,,,,1.199B,-289.60M,909.30M,2.152B,595.90M,2.748B,,53.10M,20.30M,3.730B,7.598B,789.60M,,,789.60M,930.30M,1.720B,,4.50M,,4.50M,,,,,1.724B,831.40M,,831.40M,371.60M,371.60M,26.70M,63.50M,1.266B,2.991B,1.80M,1.098B,3.437B,,,,44.10M,4.581B
2006-03,263.00M,,263.00M,1.553B,,1.553B,224.70M,324.80M,804.00M,1.354B,90.20M,58.60M,,3.318B,,,,,,1.168B,-289.60M,878.40M,2.137B,603.80M,2.740B,,52.40M,19.80M,3.691B,7.010B,605.60M,,,605.60M,756.80M,1.362B,,4.20M,,4.20M,,,,,1.367B,834.80M,,834.80M,357.20M,357.20M,24.90M,70.30M,1.262B,2.629B,1.70M,950.20M,3.410B,,,,-5.70M,4.356B
2005-12,209.40M,,209.40M,1.481B,,1.481B,220.40M,267.50M,710.40M,1.198B,50.80M,58.60M,,2.998B,0.00,292.40M,,874.80M,,1.167B,-289.60M,877.60M,2.118B,611.50M,2.729B,,52.20M,21.30M,3.680B,6.678B,568.20M,,,568.20M,613.30M,1.182B,,5.70M,,5.70M,,,,,1.187B,835.60M,,835.60M,373.30M,373.30M,24.50M,63.70M,1.273B,2.460B,1.70M,829.90M,3.401B,,,,-38.30M,4.194B
2005-09,162.20M,,162.20M,989.10M,328.30M,1.317B,197.10M,278.20M,635.60M,1.111B,57.80M,60.10M,,2.708B,,,,,,1.091B,-251.30M,840.10M,,2.737B,2.737B,,59.70M,22.40M,3.660B,6.368B,483.80M,,,483.80M,413.20M,897.00M,,4.60M,,4.60M,,,,,901.60M,841.00M,,841.00M,388.70M,388.70M,22.10M,87.90M,1.318B,2.219B,1.70M,754.50M,3.396B,,,,-25.40M,4.127B
2005-06,322.40M,,322.40M,892.50M,349.00M,1.242B,180.00M,243.40M,646.80M,1.070B,51.70M,54.60M,,2.740B,,,,,,1.183B,-251.30M,931.90M,,2.630B,2.630B,,60.60M,20.60M,3.643B,6.383B,525.90M,,,525.90M,426.10M,952.00M,,154.30M,,154.30M,,,,,1.106B,835.40M,,835.40M,371.20M,371.20M,18.40M,73.40M,1.28B,2.386B,1.70M,666.00M,3.350B,,,,-39.10M,3.978B
2005-03,295.10M,,295.10M,877.80M,248.80M,1.127B,167.50M,208.60M,675.90M,1.052B,49.10M,23.40M,,2.546B,,,,,,1.184B,-251.30M,932.80M,,2.617B,2.617B,,84.40M,56.60M,3.691B,6.237B,511.70M,,,511.70M,281.80M,793.50M,,162.00M,,162.00M,,,,33.60M,989.10M,838.30M,,838.30M,375.10M,375.10M,17.20M,84.60M,1.298B,2.287B,1.70M,604.80M,3.308B,,,,18.30M,3.933B
2004-12,142.70M,,142.70M,480.10M,226.50M,706.60M,62.60M,104.20M,468.50M,635.30M,15.00M,15.60M,,1.515B,0.00,20.80M,117.80M,367.80M,,506.40M,-251.30M,255.10M,,730.00M,730.00M,,55.10M,21.10M,1.061B,2.576B,407.70M,,,407.70M,246.50M,654.20M,,150.00M,,150.00M,,,,,804.20M,350.00M,,350.00M,102.80M,102.80M,17.80M,31.50M,484.30M,1.288B,0.90M,543.00M,692.90M,,,,33.40M,1.270B
2004-09,73.36M,,73.36M,459.38M,,459.38M,56.84M,62.36M,472.07M,591.28M,20.20M,14.86M,156.41M,1.315B,,,,,,439.91M,-197.28M,242.63M,,695.47M,695.47M,,74.91M,19.40M,1.032B,2.348B,237.21M,,,237.21M,160.86M,398.08M,,175.00M,,175.00M,,,,77.80M,650.88M,350.00M,,350.00M,109.04M,109.04M,16.91M,39.86M,498.89M,1.150B,0.859M,519.17M,690.68M,,,,-29.47M,1.181B
2004-06,62.68M,,62.68M,442.49M,104.43M,546.92M,54.60M,115.48M,451.66M,621.74M,20.64M,14.27M,,1.266B,,,,,,438.50M,-197.28M,241.22M,,670.24M,670.24M,,50.54M,27.77M,989.78M,2.256B,211.10M,,,211.10M,145.37M,356.47M,,,,,,,,70.29M,426.76M,579.30M,,579.30M,59.27M,59.27M,16.21M,40.47M,679.04M,1.106B,0.858M,491.34M,688.83M,,,,-47.02M,1.134B
2004-03,67.69M,,67.69M,432.53M,94.35M,526.88M,50.73M,121.66M,437.52M,609.92M,26.91M,15.99M,,1.247B,,,,,,455.68M,-197.28M,258.40M,,661.97M,661.97M,,50.77M,19.91M,991.06M,2.238B,236.20M,,,236.20M,126.96M,363.16M,,,,,,,,69.68M,432.84M,585.63M,,585.63M,55.86M,55.86M,15.97M,36.64M,678.13M,1.111B,0.858M,469.95M,687.71M,,,,-47.01M,1.112B
2003-12,74.22M,,74.22M,460.91M,,460.91M,45.35M,107.75M,393.59M,546.69M,41.55M,15.41M,107.62M,1.246B,0.00,23.69M,99.90M,326.06M,,449.65M,-197.28M,252.36M,,666.62M,666.62M,,52.39M,24.96M,996.34M,2.243B,228.58M,,,228.58M,133.05M,361.62M,,14.91M,,14.91M,,,,75.68M,452.22M,593.98M,,593.98M,52.37M,52.37M,15.75M,38.00M,684.34M,1.137B,0.851M,458.99M,674.96M,,,,-44.37M,1.090B
2003-09,74.30M,,74.30M,444.67M,,444.67M,47.12M,110.72M,368.88M,526.72M,33.92M,34.48M,97.10M,1.211B,,,,,,390.26M,-159.89M,230.37M,,650.19M,650.19M,,27.60M,35.66M,943.82M,2.155B,222.22M,,,222.22M,120.72M,342.94M,,14.24M,,14.24M,,,,52.75M,409.93M,571.13M,,571.13M,52.58M,52.58M,13.64M,32.10M,655.80M,1.066B,0.851M,444.41M,673.95M,,,,-43.57M,1.076B
2003-06,62.15M,,62.15M,481.01M,,481.01M,50.38M,96.30M,358.47M,505.16M,38.65M,28.05M,51.98M,1.167B,,,,,,396.36M,-159.89M,236.46M,,638.49M,638.49M,,34.10M,38.17M,947.22M,2.114B,210.96M,,,210.96M,116.26M,327.22M,,13.80M,,13.80M,,,,31.32M,372.34M,593.26M,,593.26M,53.78M,53.78M,12.64M,31.20M,678.24M,1.051B,0.849M,421.69M,672.61M,,,,-44.15M,1.051B
2003-03,65.36M,,65.36M,439.98M,,439.98M,49.71M,181.41M,286.57M,517.69M,29.22M,28.84M,68.04M,1.149B,,,,,,400.34M,-159.89M,240.45M,,628.52M,628.52M,,34.06M,32.46M,935.49M,2.085B,213.83M,,,213.83M,103.37M,317.20M,,,,,,,,51.98M,369.18M,603.04M,,603.04M,55.50M,55.50M,11.53M,34.21M,692.75M,1.062B,0.842M,401.33M,661.75M,,,,-52.76M,1.011B
2002-12,118.34M,,118.34M,428.12M,,428.12M,60.70M,109.92M,299.46M,470.09M,17.94M,26.78M,53.80M,1.115B,0.00,11.93M,74.61M,281.77M,,368.31M,-159.89M,208.42M,,581.58M,581.58M,,36.86M,26.73M,853.59M,1.969B,168.55M,,,168.55M,106.40M,274.94M,,,,,,,,71.27M,346.22M,594.64M,,594.64M,54.61M,54.61M,9.604M,30.23M,679.48M,1.026B,0.81M,382.17M,594.85M,,,,-44.46M,933.36M
2002-09,52.29M,,52.29M,354.21M,,354.21M,34.33M,113.01M,306.69M,454.03M,16.88M,13.23M,,890.63M,,,,,,285.91M,-120.44M,165.48M,,361.32M,361.32M,,17.17M,22.65M,566.61M,1.457B,130.14M,,,130.14M,64.09M,194.23M,,0.218M,,0.218M,,,,10.69M,205.14M,300.00M,,300.00M,22.78M,22.78M,,8.181M,330.96M,536.09M,0.81M,365.00M,593.50M,,,,-38.15M,921.15M
2002-06,34.55M,,34.55M,342.01M,,342.01M,34.71M,117.82M,308.09M,460.62M,17.35M,13.06M,,867.59M,,,,,,288.74M,-120.44M,168.31M,,362.01M,362.01M,,17.29M,21.64M,569.25M,1.437B,127.05M,,,127.05M,58.15M,185.20M,,3.231M,,3.231M,,,,11.87M,200.31M,300.00M,,300.00M,22.75M,22.75M,,6.263M,329.01M,529.32M,0.81M,347.24M,593.44M,,,,-33.97M,907.53M
2002-03,28.52M,,28.52M,382.42M,,382.42M,35.93M,105.26M,309.35M,450.54M,14.47M,16.82M,,892.78M,,,,,,296.77M,-120.44M,176.33M,362.06M,,362.06M,,16.31M,12.90M,567.61M,1.460B,143.23M,,,143.23M,62.26M,205.49M,,25.13M,,25.13M,,,,12.14M,242.76M,300.00M,,300.00M,22.40M,22.40M,,8.317M,330.71M,573.47M,0.81M,330.28M,593.15M,,,,-37.32M,886.92M
2001-12,43.22M,,43.22M,382.15M,,382.15M,39.27M,101.38M,315.29M,455.93M,10.43M,16.82M,,908.57M,0.00,9.557M,53.27M,226.56M,,289.39M,-120.44M,168.95M,,352.09M,352.09M,,16.66M,25.42M,563.13M,1.472B,161.28M,,,161.28M,,161.28M,,10.21M,,10.21M,,,,105.82M,277.31M,300.00M,,300.00M,20.38M,20.38M,,6.467M,326.85M,604.16M,0.809M,309.10M,592.51M,,,,-34.87M,867.54M
2001-09,22.19M,,22.19M,460.58M,,460.58M,35.07M,128.60M,345.84M,509.50M,11.33M,16.43M,,1.020B,,,,,,287.17M,-111.51M,175.65M,,349.54M,349.54M,,20.78M,20.15M,566.12M,1.586B,219.85M,,,219.85M,77.77M,297.62M,,,,,,,,35.88M,333.50M,385.85M,,385.85M,15.30M,15.30M,,7.113M,408.26M,741.76M,0.809M,280.75M,592.30M,,,,-29.46M,844.39M
2001-06,39.70M,,39.70M,405.49M,,405.49M,40.35M,119.01M,320.74M,480.11M,14.96M,16.50M,,956.75M,,,,,,296.44M,-111.51M,184.92M,,351.30M,351.30M,,20.66M,11.26M,568.13M,1.525B,206.53M,,,206.53M,98.58M,305.11M,,,,,,,,24.45M,329.56M,363.90M,,363.90M,15.27M,15.27M,,8.456M,387.62M,717.18M,0.809M,251.81M,589.70M,,,,-34.63M,807.70M
2001-03,64.17M,,64.17M,328.50M,,328.50M,34.72M,90.08M,292.77M,417.57M,14.38M,16.49M,,841.10M,,,,,,288.50M,-111.51M,176.98M,,341.15M,341.15M,,20.64M,14.42M,553.19M,1.394B,190.35M,,,190.35M,8.196M,198.54M,,,,,,,,89.48M,288.03M,301.05M,,301.05M,15.29M,15.29M,,7.155M,323.50M,611.52M,0.808M,226.51M,588.95M,,,,-33.50M,782.77M
2000-12,42.46M,,42.46M,,,295.16M,,,,375.73M,,,29.75M,743.10M,,,,,,285.16M,-111.51M,173.65M,,329.34M,329.34M,,,32.80M,535.79M,1.279B,165.80M,,,165.80M,,165.80M,,,,,,,,96.98M,262.78M,222.48M,,222.48M,16.03M,16.03M,,10.40M,248.91M,511.69M,0.805M,205.03M,583.22M,,,,-21.86M,767.21M
2000-09,25.05M,,25.05M,,,247.62M,,,,386.34M,,,44.31M,703.31M,,,,,,286.98M,-110.88M,176.10M,,308.70M,308.70M,,,26.94M,511.74M,1.215B,159.13M,,,159.13M,,159.13M,,0.089M,,0.089M,,,,74.44M,233.66M,205.01M,,205.01M,3.039M,3.039M,,10.52M,218.56M,452.22M,0.803M,198.81M,581.14M,,,,-17.93M,762.82M
2000-06,24.09M,,24.09M,,,241.03M,,,,364.69M,,,42.78M,672.59M,,,,,,251.71M,-95.02M,156.68M,,305.64M,305.64M,,,24.12M,486.44M,1.159B,134.67M,,,134.67M,,134.67M,,0.17M,,0.17M,,,,87.17M,222.01M,183.16M,,183.16M,3.037M,3.037M,,11.36M,197.56M,419.57M,0.799M,186.90M,573.84M,,,,-22.07M,739.47M
2000-03,13.82M,,13.82M,,,243.02M,,,,254.16M,,,13.16M,524.16M,,,,,,184.96M,-70.19M,114.77M,,310.40M,310.40M,,,20.82M,445.99M,970.15M,122.09M,,,122.09M,,122.09M,,,,,,,,59.11M,181.20M,227.42M,,227.42M,2.844M,2.844M,,8.114M,238.38M,419.58M,0.663M,162.42M,402.72M,,,,-15.24M,550.57M
1999-12,48.09M,14.69M,62.78M,,,200.40M,,,,348.02M,,,31.35M,642.54M,,,,,,227.34M,-72.50M,154.84M,,177.38M,177.38M,,,30.95M,363.17M,1.006B,106.22M,,,106.22M,,106.22M,,0.30M,,0.30M,,,,84.01M,190.53M,196.05M,,196.05M,12.45M,12.45M,,10.31M,218.81M,409.34M,0.717M,191.88M,415.70M,,,,-11.92M,596.38M
1999-09,15.60M,,15.60M,,,172.80M,,,,232.60M,,,16.20M,437.20M,,,,,,172.50M,-64.20M,108.30M,,165.10M,165.10M,,,31.10M,304.50M,741.70M,89.80M,,,89.80M,,89.80M,,,,,,,,50.40M,140.20M,194.60M,,194.60M,2.50M,2.50M,,12.50M,209.60M,349.80M,0.60M,157.40M,246.80M,,,,-12.80M,391.90M
1999-06,45.60M,,45.60M,,,167.90M,,,,189.50M,,,17.70M,420.70M,,,,,,147.40M,-57.40M,90.00M,,144.30M,144.30M,,,29.10M,263.40M,684.10M,74.50M,,,74.50M,,74.50M,,0.30M,,0.30M,,,,53.40M,128.20M,150.00M,,150.00M,2.50M,2.50M,,10.10M,162.60M,290.80M,,155.20M,,,,,,393.30M
1999-03,12.80M,,12.80M,,,212.50M,,,,225.70M,,,14.80M,465.80M,,,,,,148.60M,-56.80M,91.80M,,145.00M,145.00M,,,29.90M,266.70M,732.50M,90.90M,,,90.90M,,90.90M,,3.90M,,3.90M,,,,59.50M,154.30M,178.20M,,178.20M,2.50M,2.50M,,10.60M,191.30M,345.60M,,155.60M,,,,,,386.90M
1998-12,12.00M,,12.00M,,,301.40M,,,,253.40M,,,24.10M,590.90M,,,,,,150.10M,-53.90M,96.20M,,145.70M,145.70M,,,23.10M,265.00M,855.90M,131.60M,,,131.60M,,131.60M,,8.40M,,8.40M,,,,86.80M,226.80M,221.20M,,221.20M,4.10M,4.10M,,10.50M,235.80M,462.60M,0.60M,158.30M,248.20M,,,,-13.80M,393.30M
1998-09,21.50M,,21.50M,,,251.20M,,,,264.20M,,,19.80M,556.70M,,,,,,155.70M,-55.60M,100.10M,,137.40M,137.40M,,,9.60M,247.10M,803.80M,119.80M,,,119.80M,,119.80M,,1.30M,,1.30M,,,,90.00M,211.10M,223.40M,,223.40M,3.40M,3.40M,,12.40M,239.20M,450.30M,,149.50M,,,,,,353.50M
1998-06,27.00M,,27.00M,,,250.20M,,,,275.40M,,,20.70M,573.30M,,,,,,137.70M,-49.50M,88.20M,,139.30M,139.30M,,,6.40M,233.90M,807.20M,156.10M,,,156.10M,,156.10M,,1.30M,,1.30M,,,,100.50M,257.90M,214.00M,,214.00M,3.00M,3.00M,,12.20M,229.20M,487.10M,,121.20M,,,,,,320.10M
