,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2004-03,10.96M,,,3.997M,9.822M,9.822M,-2.03M,,,,40.43M,-63.23M,14.64M,29.09M,,-8.865M,-23.42M,-11.35M,,11.40M,-6.362M,,-6.362M,,2.002M,-4.36M,,,-23.26M,10.45M,,10.45M,,,,,-12.81M,74.22M,-5.764M,-0.762M,67.69M,10.45M,,,,,
2003-12,22.39M,,,9.776M,10.78M,10.78M,-5.125M,,,,-14.03M,-15.70M,1.111M,-0.358M,,31.61M,-16.40M,-13.76M,,24.06M,-10.44M,,-10.44M,52.91M,-76.57M,-34.10M,,,9.37M,0.771M,,0.771M,,,,,10.14M,74.30M,0.102M,-0.159M,74.20M,0.771M,,,,,
2003-09,21.70M,,,1.485M,9.727M,9.727M,3.444M,,,,-5.855M,-17.00M,4.772M,13.62M,,-3.545M,-2.558M,-10.57M,,25.79M,-6.319M,-3.922M,-10.24M,-5.801M,6.473M,-9.569M,,,-7.209M,0.994M,,0.994M,,,,,-6.215M,62.15M,10.01M,2.132M,74.30M,0.994M,,,,,
2003-06,16.44M,,,4.669M,10.02M,10.02M,0.00,,,,-42.08M,12.53M,-9.425M,-2.837M,,-40.56M,43.37M,-39.01M,,-7.88M,-7.81M,1.722M,-6.088M,0.00,,-6.088M,,,3.433M,7.559M,,7.559M,,,,,10.99M,65.36M,-2.976M,-0.232M,62.15M,7.559M,,,,,
2003-03,19.17M,,,1.97M,8.672M,8.672M,1.681M,,,,1.964M,-36.24M,-10.36M,42.98M,,,-40.81M,-42.46M,,-10.97M,-7.831M,2.20M,-5.631M,-47.11M,,-52.74M,,,9.906M,0.376M,,0.376M,,,,,10.28M,118.34M,-53.44M,0.459M,65.36M,0.376M,,,,,
2002-12,17.17M,,,-1.919M,6.316M,6.316M,11.01M,,,,31.06M,19.68M,3.475M,-0.993M,,,-20.69M,32.53M,,65.10M,-10.35M,6.619M,-3.727M,-197.62M,,-201.35M,,,198.96M,1.354M,,1.354M,,,,,201.68M,52.29M,65.43M,0.622M,118.34M,1.354M,,,,,
2002-09,17.76M,,,1.369M,6.031M,6.031M,0.072M,,,,-13.03M,6.594M,0.469M,1.904M,,36.76M,-33.34M,-0.642M,,24.58M,-5.524M,0.365M,-5.159M,0.00,,-5.159M,,,-1.912M,0.057M,,0.057M,,,,,-1.855M,34.55M,17.57M,0.165M,52.29M,0.057M,,,,,
2002-06,16.96M,,,0.086M,6.368M,6.368M,0.013M,,,,39.68M,-10.08M,-2.875M,-16.45M,,-36.76M,29.62M,3.129M,,26.56M,-4.526M,5.55M,1.024M,0.00,-1.718M,-0.694M,,,-20.73M,0.291M,,0.291M,,,,,-20.44M,28.52M,5.427M,0.602M,34.55M,0.291M,,,,,
2002-03,21.18M,,,-0.174M,6.333M,6.333M,0.353M,,,,1.244M,8.998M,-4.029M,-16.50M,,,-29.62M,-39.90M,,-12.20M,-4.409M,,-4.409M,-15.43M,1.718M,-18.12M,,,14.95M,0.641M,,0.641M,,,,,15.59M,43.22M,-14.73M,0.033M,28.52M,0.641M,,,,,
2001-12,28.35M,,,1.452M,9.991M,9.991M,7.854M,,,,76.97M,52.93M,0.893M,-66.69M,,-20.20M,14.42M,58.32M,,105.97M,-5.15M,0.954M,-4.196M,-1.807M,,-6.003M,,,-76.80M,-1.076M,,-1.076M,,,,,-77.88M,22.19M,22.09M,-1.059M,43.22M,-1.076M,,,,,
2001-09,28.94M,,,0.552M,9.81M,9.81M,0.032M,,,,-50.37M,-26.20M,3.819M,1.531M,,,-4.665M,-75.89M,,-36.56M,-7.65M,2.815M,-4.835M,-1.461M,,-6.296M,,,21.96M,3.876M,,3.876M,,,,,25.84M,39.70M,-17.02M,-0.484M,22.19M,3.876M,,,,,
2001-06,25.30M,,,0.529M,9.603M,9.603M,-0.039M,,,,-76.24M,-57.77M,0.483M,12.17M,,20.80M,-9.755M,-110.32M,,-74.93M,-7.677M,2.137M,-5.54M,-8.548M,,-14.09M,,,62.84M,0.76M,,0.76M,,,,,63.60M,64.17M,-25.42M,0.946M,39.70M,0.76M,,,,,
2001-03,21.48M,,,-0.941M,9.469M,9.469M,,,,,-25.05M,-40.87M,-2.784M,29.63M,,-20.80M,,-59.87M,,-29.86M,-6.881M,2.021M,-4.86M,-26.70M,,-31.56M,,,78.41M,5.726M,,5.726M,,,,,84.14M,42.46M,22.72M,-1.009M,64.17M,5.726M,,,,,
2000-12,6.208M,,,16.12M,9.221M,9.221M,2.32M,,,,-34.17M,-5.422M,,10.79M,-1.272M,,-0.126M,-30.21M,,3.661M,-7.57M,1.637M,-5.933M,0.00,,-5.933M,,,17.43M,2.813M,,2.813M,,,,-0.699M,19.54M,25.05M,17.27M,0.14M,42.46M,2.813M,,,,,
2000-09,11.91M,,,10.94M,8.312M,8.312M,-3.848M,,,-14.69M,-0.169M,-8.303M,,14.88M,12.09M,,-13.62M,4.883M,,17.50M,-6.198M,1.737M,-4.461M,-41.78M,,-46.24M,,,21.77M,8.29M,,8.29M,,,,0.00,30.06M,24.09M,1.323M,-0.368M,25.05M,8.29M,,,,,
2000-06,-7.922M,,,-0.811M,10.58M,10.58M,-2.297M,,,14.69M,4.829M,-17.66M,,13.90M,-1.827M,15.26M,-5.668M,8.824M,,23.06M,-5.512M,2.654M,-2.858M,-1.905M,,-4.763M,,,-44.44M,0.92M,,0.92M,,,,0.037M,-43.48M,13.82M,-25.18M,-0.233M,24.09M,0.92M,,,,,
2000-03,2.942M,,,0.193M,6.919M,6.919M,-2.031M,,,,-23.22M,4.168M,,7.78M,0.89M,-15.26M,,-25.64M,,-17.61M,-5.281M,2.199M,-3.082M,-4.526M,,-7.608M,,,24.42M,2.224M,,2.224M,,,,,26.64M,12.40M,1.42M,-0.001M,13.82M,2.224M,,,,,
1999-12,-8.385M,,,2.259M,9.841M,9.841M,4.128M,,,,-0.155M,-11.28M,,17.10M,-6.777M,15.10M,-21.97M,-7.99M,,-0.147M,59.45M,2.179M,61.63M,,0.10M,-5.297M,,,1.403M,0.064M,,0.064M,,,,-1.059M,0.408M,15.60M,-5.036M,0.089M,48.09M,0.064M,,,,,
1999-09,9.20M,,,-0.915M,3.60M,3.60M,-1.034M,,,4.929M,6.368M,-14.57M,,-11.61M,0.293M,-15.10M,29.82M,-4.798M,,10.98M,-68.34M,1.068M,-67.28M,,-0.10M,-67.38M,,,33.17M,-0.321M,,-0.321M,,,,0.548M,33.40M,75.92M,-22.99M,0.116M,15.60M,-0.321M,,,,,
1999-06,-13.54M,,,0.251M,6.316M,6.316M,-0.794M,,,-4.929M,52.72M,17.29M,,-22.70M,-0.866M,31.87M,-29.82M,48.48M,,35.79M,-4.457M,28.75M,24.30M,,,24.30M,,,-35.22M,0.421M,,0.421M,,,,-0.058M,-34.86M,13.20M,25.23M,0.008M,75.92M,0.421M,,,,,
1999-03,3.335M,,,0.764M,5.784M,5.784M,0.228M,,,,70.31M,19.19M,,-28.79M,-1.027M,-31.87M,,27.81M,,37.92M,-4.198M,0.88M,-3.318M,,,-3.318M,,,-32.95M,,,,,,,-0.39M,-33.34M,11.96M,1.266M,-0.024M,13.20M,,,,,,
1998-12,15.14M,,,18.12M,5.318M,5.318M,-3.392M,,,,-51.24M,39.38M,,-34.97M,11.72M,18.20M,,-14.31M,,20.87M,138.05M,4.701M,142.76M,,-0.50M,11.29M,,,-56.10M,0.002M,,0.002M,,,,-2.368M,-58.47M,21.50M,-26.30M,4.679M,49.44M,0.002M,,,,,
1998-09,21.30M,,,-0.50M,6.40M,6.40M,0.40M,,,,15.00M,12.10M,,-43.20M,2.40M,-22.60M,,-36.30M,,-8.70M,-10.20M,1.10M,-9.10M,,0.40M,-8.70M,,,12.90M,0.00,,0.00,,,,0.10M,13.00M,0.00,-4.40M,-1.50M,21.50M,0.00,,,,,
1998-06,23.80M,,,-2.60M,4.50M,4.50M,-0.70M,,,-10.90M,-10.40M,-20.10M,,27.60M,-2.20M,4.40M,,-0.70M,,13.40M,-162.20M,3.10M,-159.10M,,0.10M,-159.00M,,,157.00M,0.60M,,0.60M,,,,,157.60M,0.00,12.00M,-6.40M,0.00,0.60M,,,,,
