,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2002-03,388.99M,388.99M,295.94M,93.04M,55.33M,1.212M,,,,,55.33M,37.72M,,,,1.212M,,33.10M,11.92M,21.18M,,,21.18M,20.41M,44.05M,6.333M,37.72M,0.13,0.0,,0.1252,0.13,0.13,0.0,,0.1252,0.13,161.84M,163.17M,
2001-12,465.74M,465.74M,352.48M,113.26M,63.91M,1.908M,,,,,63.91M,49.36M,,,,1.908M,,45.20M,16.86M,28.35M,,,28.35M,27.15M,59.35M,9.991M,49.36M,0.175,0.0,,0.1676,0.175,0.17,0.0,,0.1627,0.17,161.78M,162.86M,
2001-09,486.81M,486.81M,366.91M,119.90M,63.00M,-2.753M,,,,,63.00M,56.90M,,,,-2.753M,,47.37M,18.43M,28.94M,,,28.94M,30.62M,66.71M,9.81M,56.90M,0.18,0.0,,0.1904,0.18,0.18,0.0,,0.1903,0.18,161.77M,162.87M,
2001-06,434.63M,434.63M,331.13M,103.49M,56.70M,-0.472M,,,,,56.70M,46.79M,,,,-0.472M,,40.80M,15.51M,25.30M,,,25.30M,25.59M,56.39M,9.603M,46.79M,0.155,0.0,,0.1568,0.155,0.155,0.0,,0.1568,0.155,161.72M,164.18M,
2001-03,360.27M,360.27M,269.10M,91.17M,54.94M,3.211M,,,,,54.94M,36.23M,,,,3.211M,,34.64M,13.16M,21.48M,,,21.48M,19.49M,45.70M,9.469M,36.23M,0.135,0.0,,0.1227,0.135,0.13,0.0,,0.1179,0.13,161.23M,163.95M,
2000-12,329.40M,329.40M,235.22M,94.18M,54.08M,-14.22M,,,,,63.30M,30.88M,,,,-14.22M,,12.25M,6.038M,6.208M,,,6.208M,14.74M,40.10M,9.221M,30.88M,0.04,0.0,,0.0931,0.04,0.035,0.0,,0.0872,0.035,160.65M,163.46M,
2000-09,286.32M,286.32M,213.73M,72.60M,42.05M,0.667M,,,,,50.36M,22.24M,,,,0.667M,,19.21M,7.299M,11.91M,,,11.91M,11.49M,30.55M,8.312M,22.24M,0.075,0.0,,0.0724,0.075,0.075,0.0,,0.0725,0.075,160.22M,163.45M,
2000-06,270.30M,270.30M,201.54M,68.77M,44.56M,-21.28M,,,,,55.14M,13.63M,,,,-21.28M,,-11.64M,-2.181M,-9.464M,,,-9.464M,7.827M,24.21M,10.58M,13.63M,-0.06,0.0,,0.0483,-0.06,-0.06,0.0,,0.0462,-0.06,159.73M,162.81M,
2000-03,229.39M,229.39M,180.05M,49.34M,33.19M,-0.184M,,,,,40.11M,9.231M,,,,-0.184M,,4.745M,1.803M,2.942M,,,2.942M,3.056M,16.15M,6.919M,9.231M,0.03,0.0,,0.0307,0.03,0.03,0.0,,0.0307,0.03,154.07M,156.43M,
1999-12,292.75M,292.75M,259.91M,32.84M,59.13M,-1.867M,,,,,43.43M,-10.60M,,,,-1.867M,,-15.26M,-6.874M,-8.385M,,,-8.385M,-7.265M,-0.755M,9.841M,-10.60M,-0.072,,,-0.0624,-0.072,-0.072,,,-0.0624,-0.072,116.45M,116.45M,
1999-09,168.30M,168.30M,133.30M,35.00M,29.20M,0.20M,,,,,34.10M,0.90M,,,,0.20M,,-2.60M,-0.70M,-1.90M,,,-1.90M,-2.046M,5.80M,3.60M,0.90M,-0.015,0.0,,-0.0162,-0.015,-0.015,0.0,,-0.0162,-0.015,126.67M,126.67M,
1999-06,195.00M,195.00M,160.30M,34.70M,39.80M,-4.50M,,,,,45.20M,-10.50M,,,,-4.50M,,-17.80M,-5.80M,-12.00M,,,-12.00M,-8.966M,-4.184M,6.316M,-10.50M,-0.085,0.0,,-0.0639,-0.085,-0.085,0.0,,-0.064,-0.085,143.45M,144.17M,
1999-03,203.92M,203.92M,156.68M,47.25M,31.19M,-0.614M,,,,,36.97M,10.28M,,,,-0.614M,,5.619M,2.284M,3.335M,,,3.335M,3.703M,16.06M,5.784M,10.28M,0.03,0.0,,0.0332,0.03,0.03,0.0,,0.0332,0.03,116.40M,116.53M,
1998-12,471.55M,471.55M,353.35M,118.20M,70.34M,-21.09M,,,,,75.66M,42.54M,,,,-21.09M,,19.72M,4.585M,15.14M,,,15.14M,31.33M,47.86M,5.318M,42.54M,0.1352,,,0.2797,0.1352,0.1352,,,0.2797,0.1352,111.99M,111.99M,
1998-09,330.20M,330.20M,247.80M,82.40M,39.20M,0.10M,,,,,44.30M,38.10M,,,,0.10M,,33.40M,12.40M,21.00M,,,21.00M,20.94M,44.50M,6.40M,38.10M,0.19,0.0,,0.1894,0.19,0.19,0.0,,0.1894,0.19,110.53M,110.53M,
1998-06,294.80M,294.80M,217.50M,77.30M,32.90M,0.50M,,,,,37.40M,39.90M,,,,0.50M,,38.10M,14.30M,23.80M,,,23.80M,23.49M,44.40M,4.50M,39.90M,0.23,0.0,,0.227,0.23,0.23,0.0,,0.227,0.23,103.48M,103.48M,
