,NetIncome,GainandLossonSaleofPPE,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,CashFlow-Investing(Quarterly),SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),BeginningCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,SECFilingLinks,Restated
2006-04,242.00M,,12.00M,135.00M,135.00M,-23.00M,,,,,1.00M,,-203.00M,90.00M,,128.00M,-66.00M,-51.00M,316.00M,,2006-04,,-91.00M,,-47.00M,10.00M,-128.00M,,2006-04,,,40.00M,-382.00M,-342.00M,,-68.00M,,2.00M,-408.00M,,2006-04,2.035B,7.00M,1.822B,,2006-04,,,-382.00M,,,,2006-04,
2006-01,338.00M,,-28.00M,201.00M,201.00M,40.00M,,,,,25.00M,,851.00M,-232.00M,90.00M,42.00M,,647.00M,1.223B,,2006-01,6.00M,-146.00M,,-109.00M,11.00M,-244.00M,,2006-01,,,20.00M,-298.00M,-278.00M,,-38.00M,,,-316.00M,,2006-01,1.372B,0.00,2.035B,,2006-01,,,-298.00M,,,,2006-01,
2005-10,212.00M,,,151.00M,151.00M,-23.00M,,,,,13.00M,,-465.00M,136.00M,-90.00M,139.00M,-41.00M,-321.00M,32.00M,,2005-10,21.00M,-152.00M,,386.00M,53.00M,287.00M,,2005-10,,,15.00M,-189.00M,-174.00M,,-39.00M,,,-213.00M,,2005-10,1.263B,3.00M,1.372B,,2005-10,,,-189.00M,,,,2005-10,
2005-07,272.00M,,-4.00M,127.00M,127.00M,-28.00M,,,,,-38.00M,,-166.00M,-43.00M,99.00M,-189.00M,41.00M,-258.00M,71.00M,,2005-07,,-163.00M,,82.00M,914.00M,833.00M,,2005-07,,,51.00M,-996.00M,-945.00M,,-40.00M,,,-985.00M,,2005-07,1.354B,-10.00M,1.263B,,2005-07,,,-996.00M,,,,2005-07,
2005-04,291.00M,,4.00M,146.00M,146.00M,-35.00M,,,,,,,-106.00M,37.00M,-99.00M,-13.00M,,-181.00M,225.00M,,2005-04,,-112.00M,,-482.00M,4.00M,-590.00M,,2005-04,,,24.00M,-488.00M,-464.00M,,-62.00M,,,-526.00M,,2005-04,2.245B,,1.354B,,2005-04,,,-488.00M,,,,2005-04,
2005-01,378.00M,,57.00M,158.00M,158.00M,-42.00M,,,,,-38.00M,,820.00M,-147.00M,39.00M,-60.00M,,634.00M,1.147B,,2005-01,,-125.00M,,-300.00M,4.00M,-421.00M,,2005-01,,0.00,27.00M,-703.00M,-676.00M,,-19.00M,,,-695.00M,,2005-01,2.214B,,2.245B,,2005-01,,,-703.00M,,,,2005-01,
2004-10,265.00M,,-31.00M,153.00M,153.00M,-14.00M,,,,,38.00M,,-523.00M,129.00M,-21.00M,219.00M,,-196.00M,215.00M,,2004-10,,-147.00M,,-29.00M,347.00M,171.00M,,2004-10,,-398.00M,10.00M,-273.00M,-263.00M,,-20.00M,,,-681.00M,,2004-10,2.498B,11.00M,2.214B,,2004-10,,,-273.00M,,,,2004-10,
2004-07,195.00M,,22.00M,149.00M,149.00M,-20.00M,,,,,,,-267.00M,230.00M,29.00M,-268.00M,,-276.00M,70.00M,,2004-07,,-112.00M,,424.00M,0.00,312.00M,,2004-07,,-303.00M,64.00M,,64.00M,,-20.00M,,,-259.00M,,2004-07,2.372B,3.00M,2.498B,,2004-07,,,,,,,2004-07,
2004-04,312.00M,,9.00M,155.00M,155.00M,-4.00M,,,,,,,-120.00M,-173.00M,-47.00M,33.00M,,-307.00M,165.00M,,2004-04,,-35.00M,,164.00M,-8.00M,121.00M,,2004-04,,-170.00M,29.00M,,29.00M,,-20.00M,,,-161.00M,,2004-04,2.261B,-14.00M,2.372B,,2004-04,,,,,,,2004-04,
2004-01,356.65M,,30.28M,174.84M,174.84M,126.84M,,,,,,,901.71M,-68.89M,45.30M,-96.88M,,786.23M,1.475B,,2004-01,-0.407M,-80.18M,,-760.00M,-1.302B,-2.142B,,2004-01,,-140.58M,40.46M,,40.46M,,-19.68M,,1.306B,1.186B,,2004-01,2.037B,17.62M,2.261B,,2004-01,,,,,,,2004-01,
2003-10,262.35M,,24.72M,156.16M,156.16M,3.161M,,,,,,,-297.71M,44.89M,-5.299M,150.88M,,-107.23M,339.16M,,2003-10,0.407M,-70.82M,,-283.00M,0.60M,-353.22M,,2003-10,,1.236B,16.54M,,16.54M,,-19.32M,,-1.306B,-73.02M,,2003-10,1.803B,8.381M,2.037B,,2003-10,,,,,,,2003-10,
2003-07,210.00M,,11.00M,173.00M,173.00M,-25.00M,,,,,-1.00M,,-161.00M,246.00M,4.00M,-82.00M,,7.00M,375.00M,,2003-07,0.00,-54.00M,,-10.00M,-3.00M,-67.00M,,2003-07,,-1.263B,30.00M,,30.00M,,-20.00M,,-1.00M,-1.254B,,2003-07,2.75B,-1.00M,1.803B,,2003-07,,,,,,,2003-07,
2003-04,202.00M,,13.00M,171.00M,171.00M,-4.00M,,,,,1.00M,,-58.00M,-232.00M,-44.00M,-78.00M,,-412.00M,-29.00M,,2003-04,1.00M,-55.00M,,293.00M,6.00M,244.00M,,2003-04,,-500.00M,24.00M,,24.00M,,-20.00M,,1.00M,-495.00M,,2003-04,3.027B,3.00M,2.75B,,2003-04,,,,,,,2003-04,
2003-01,249.27M,,105.66M,124.41M,124.41M,,,,,,,,782.12M,-288.50M,-10.22M,-41.46M,,474.94M,959.28M,,2003-01,0.487M,-90.75M,,,-10.34M,-414.09M,,2003-01,,0.442M,17.65M,,17.65M,,-19.38M,,,-1.284M,,2003-01,2.501B,10.72M,3.027B,,2003-01,,,,,,,2003-01,
2002-10,135.27M,,36.01M,192.51M,192.51M,,,,,,,,-875.46M,470.65M,3.26M,111.52M,,-290.03M,73.76M,,2002-10,8.513M,-23.80M,,,-8.298M,-32.10M,,2002-10,,0.00,92.02M,,92.02M,,-20.09M,,,71.93M,,2002-10,2.387B,0.691M,2.501B,,2002-10,,,,,,,2002-10,
2002-07,56.78M,,7.138M,201.20M,201.20M,,,,,,,,-160.91M,-56.71M,16.37M,72.69M,,-128.55M,136.57M,,2002-07,,-87.57M,,,1.96M,-85.61M,,2002-07,,0.00,26.70M,,26.70M,,-19.31M,,,7.394M,,2002-07,2.319B,9.29M,2.387B,,2002-07,,,,,,,2002-07,
2002-04,36.68M,,12.19M,187.88M,187.88M,,,,,,,,-3.761M,-172.44M,-9.41M,22.25M,,-163.37M,73.39M,,2002-04,,-96.88M,,,-0.322M,-97.20M,,2002-04,,1.304B,16.63M,,16.63M,,-19.23M,,,1.301B,,2002-04,1.036B,6.296M,2.319B,,2002-04,,,,,,,2002-04,
2002-01,-34.16M,,3.963M,220.86M,220.86M,,,,,,,,906.24M,-53.30M,32.84M,-109.66M,,762.82M,924.97M,,2002-01,,-143.82M,-4.044M,,,-147.86M,,2002-01,,-538.68M,24.86M,,24.08M,,-19.20M,,,-533.81M,,2002-01,799.51M,-7.06M,1.036B,,2002-01,,,,,,,2002-01,
2001-10,-178.84M,,6.012M,207.46M,207.46M,,,,,,,,-441.13M,77.30M,37.21M,242.41M,,-84.21M,-49.58M,,2001-10,,-207.87M,-6.505M,,4.776M,-209.60M,,2001-10,,338.22M,14.97M,,14.97M,,-19.15M,,,334.04M,,2001-10,722.95M,1.69M,799.51M,,2001-10,,,,,,,2001-10,
2001-07,89.75M,,31.93M,186.02M,186.02M,,,,,,,,-101.62M,172.57M,-53.90M,51.65M,,68.70M,376.40M,,2001-07,,-277.26M,,,0.182M,-277.08M,,2001-07,,-91.26M,76.12M,,76.12M,,-19.08M,,,-34.22M,,2001-07,663.09M,-5.244M,722.95M,,2001-07,,,,,,,2001-07,
2001-04,115.48M,,16.54M,196.15M,196.15M,,,,,,,,-150.42M,-154.36M,-16.15M,58.82M,,-262.12M,66.05M,,2001-04,,-311.13M,,,-4.958M,-316.09M,,2001-04,,501.06M,23.16M,,23.16M,,-18.95M,,,505.26M,,2001-04,408.79M,-0.928M,663.09M,,2001-04,,,,,,,2001-04,
2001-01,271.75M,,29.74M,167.03M,167.03M,,,,,,,,662.08M,42.69M,146.28M,-38.59M,,812.46M,1.242B,,2001-01,,-533.05M,,,24.74M,-508.31M,,2001-01,,-703.12M,78.14M,-35.38M,42.76M,,-18.87M,,,-679.23M,,2001-01,352.20M,2.022M,408.79M,,2001-01,,,-35.38M,,,,2001-01,
2000-10,186.35M,,13.86M,152.90M,152.90M,,,,,,,,-490.73M,83.99M,-102.88M,136.85M,,-372.78M,-19.68M,,2000-10,,-531.78M,,,11.80M,-519.99M,,2000-10,,624.49M,16.99M,-52.46M,-35.47M,,-18.88M,,,570.13M,,2000-10,327.86M,-6.128M,352.20M,,2000-10,,,-52.46M,,,,2000-10,
2000-07,183.92M,,21.37M,138.42M,138.42M,,,,,,,,-431.36M,194.59M,-72.02M,-6.472M,,-315.26M,28.44M,,2000-07,,-472.72M,,,-2.012M,-474.74M,,2000-07,,481.80M,18.34M,-141.45M,-123.11M,,-18.86M,,,339.83M,,2000-07,436.17M,-1.846M,327.86M,,2000-07,,,-141.45M,,,,2000-07,
2000-04,235.48M,,65.91M,132.02M,132.02M,,,,,,,,-194.59M,-71.72M,-32.46M,-94.31M,,-393.07M,40.33M,,2000-04,,-321.10M,,,-50.78M,-371.88M,,2000-04,,468.25M,38.63M,-163.27M,-124.63M,,-18.87M,,,324.75M,,2000-04,450.35M,-7.376M,436.17M,,2000-04,,,-163.27M,,,,2000-04,
2000-01,413.90M,,39.20M,133.70M,133.70M,,,,,,-0.10M,,360.90M,83.50M,0.30M,-77.10M,,367.60M,956.70M,,2000-01,,-372.90M,,,0.00,-372.90M,,2000-01,,-462.50M,23.40M,-146.70M,-123.30M,,-18.80M,,,-604.60M,,2000-01,485.70M,-14.60M,450.40M,,2000-01,,,-146.70M,,,,2000-01,
1999-10,315.00M,,7.30M,106.60M,106.60M,,,,,,0.10M,,-317.30M,-24.40M,-21.90M,161.30M,,-202.30M,226.70M,,1999-10,,-315.80M,,15.00M,-20.40M,-321.20M,,1999-10,,480.90M,4.40M,-318.80M,-314.40M,,-19.00M,,-0.10M,147.40M,,1999-10,421.00M,11.90M,485.70M,,1999-10,,,-318.80M,,,,1999-10,
1999-07,195.80M,,31.10M,100.90M,100.90M,,,,,,-0.10M,,-304.70M,125.90M,-18.80M,22.40M,,-175.20M,152.50M,,1999-07,,-331.00M,,-15.00M,-16.80M,-362.80M,,1999-07,,317.40M,18.20M,-141.30M,-123.10M,,-19.10M,,0.00,175.20M,,1999-07,456.10M,-0.30M,421.00M,,1999-07,,,-141.30M,,,,1999-07,
1999-04,202.40M,,134.30M,95.00M,95.00M,,,,,,,,-143.10M,-66.90M,-15.10M,-64.60M,,-289.70M,142.00M,,1999-04,,-219.00M,,,-2.70M,-221.70M,,1999-04,,60.80M,30.20M,-100.30M,-70.10M,,-18.90M,,0.10M,-28.10M,,1999-04,565.30M,-1.20M,456.10M,,1999-04,,,-100.30M,,,,1999-04,
1999-01,313.80M,,12.80M,90.00M,90.00M,,,,,,0.20M,,319.40M,144.60M,-63.70M,156.80M,,557.10M,939.10M,,1999-01,,-206.50M,,,-8.40M,-214.90M,,1999-01,,-437.00M,16.90M,7.30M,24.20M,,-18.90M,,-0.10M,-431.80M,,1999-01,271.50M,1.30M,565.30M,,1999-01,,,7.30M,,,,1999-01,
1998-10,237.80M,,11.00M,83.90M,83.90M,,,,,,-0.10M,,-270.30M,5.50M,-7.70M,0.60M,,-271.90M,60.70M,,1998-10,,-242.10M,,29.50M,11.10M,-201.50M,,1998-10,,427.60M,5.70M,-519.50M,-513.80M,,-19.10M,,,-105.30M,,1998-10,515.20M,2.50M,271.50M,,1998-10,,,-519.50M,,,,1998-10,
1998-07,136.80M,,13.40M,77.70M,77.70M,,,,,,0.00,,-281.40M,153.90M,-2.90M,116.20M,,-14.20M,213.70M,,1998-07,,-174.80M,,-29.50M,-11.80M,-216.10M,,1998-07,,-1.90M,15.60M,-311.70M,-296.10M,,-19.50M,,0.10M,-317.40M,,1998-07,836.30M,-1.30M,515.20M,,1998-07,,,-311.70M,,,,1998-07,
