,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2007-11,244.80M,,,,,,73.60M,,,70.50M,70.50M,,,,7.10M,-39.80M,-237.40M,151.90M,33.50M,,37.10M,,-54.70M,-421.60M,-80.30M,,-110.50M,3.50M,-107.00M,,-71.80M,0.00,-2.40M,-181.20M,,,,188.40M,6.50M,0.00,6.50M,,-88.30M,,1.70M,108.30M,,298.40M,-153.20M,,140.80M,,6.50M,,,0.00,,,
2007-08,175.40M,,,,,,-7.60M,,,75.80M,75.80M,,,,8.20M,-104.50M,-168.30M,-177.70M,150.90M,,-133.20M,,-432.80M,1.90M,-179.10M,,-191.50M,48.70M,-142.80M,,-50.20M,0.30M,2.00M,-190.70M,,,,100.00M,8.40M,-88.10M,-79.70M,,-88.60M,,1.30M,-67.00M,,735.20M,-436.80M,,298.40M,,8.40M,,,-88.10M,,,
2007-05,192.00M,,,,,,88.30M,,,67.70M,67.70M,,,,-66.50M,57.10M,587.50M,431.60M,-122.60M,,-334.40M,,619.20M,-179.30M,721.40M,,-172.10M,-0.70M,-172.80M,,0.00,118.60M,-110.20M,-164.40M,,,,-16.60M,2.90M,-214.40M,-211.50M,,-90.10M,,-0.60M,-318.80M,,497.00M,238.20M,,735.20M,,2.90M,,,-214.40M,,,
2007-02,192.60M,,,,,,-73.50M,,,90.80M,90.80M,,,,34.00M,-82.10M,-232.00M,156.00M,61.20M,,72.10M,,-24.80M,-18.00M,201.10M,,-209.10M,72.80M,-136.30M,,1.30M,0.90M,3.70M,-133.20M,,,,-8.40M,15.60M,-197.50M,-181.90M,,-91.40M,,-92.70M,-374.40M,,803.50M,-306.50M,,497.00M,,15.60M,,,-197.50M,,,
2006-11,271.50M,,,,,,-28.60M,,,87.40M,87.40M,,,,-40.20M,-91.90M,-472.30M,-597.30M,183.40M,,314.20M,,-663.90M,13.70M,-360.10M,,-91.50M,57.80M,-33.70M,,72.30M,0.80M,115.50M,704.40M,,,,-23.90M,27.70M,-202.90M,-175.20M,,-91.90M,,54.90M,-236.10M,,695.30M,108.20M,,803.50M,,27.70M,,,-202.90M,,,
2006-08,108.50M,,,,,,-3.90M,,,89.40M,89.40M,,,,10.80M,42.80M,9.60M,129.90M,46.60M,,-46.90M,,182.00M,-5.80M,381.00M,,-45.50M,44.10M,-1.40M,,,,2.50M,116.10M,,,,-5.50M,17.60M,,17.60M,,-93.30M,,-52.20M,-133.40M,,331.60M,363.70M,,695.30M,,17.60M,,,,,,
2006-05,59.20M,,,,,,11.80M,,,73.50M,73.50M,,,,116.40M,-49.30M,386.40M,-198.00M,24.10M,,108.50M,,271.70M,-188.20M,344.40M,,-88.70M,5.70M,-83.00M,,470.20M,,-490.30M,341.70M,,,,-257.70M,4.50M,,-192.60M,,-141.50M,,0.10M,-591.70M,,237.20M,94.40M,,331.60M,,4.50M,,,,,,
2006-02,-25.20M,,,,,,-324.10M,,,78.00M,78.00M,,,,386.90M,100.30M,-15.30M,105.90M,-197.20M,,-44.50M,,-50.80M,192.50M,257.30M,,-54.30M,20.10M,-34.20M,,-482.40M,,480.10M,-38.60M,,,,-528.60M,0.20M,,0.20M,,-141.50M,,1.00M,-668.90M,,687.40M,-450.20M,,237.20M,,0.20M,,,,,,
2005-11,180.60M,,,,,,331.00M,,,74.10M,74.10M,,,,-289.90M,-49.40M,-170.30M,185.30M,181.30M,,-5.10M,,141.80M,25.40M,463.00M,,-59.50M,-5.10M,-64.60M,,512.90M,,-483.50M,-38.10M,,,,-104.50M,6.90M,,6.90M,,-141.30M,,0.00,-238.90M,,501.40M,186.00M,,687.40M,,6.90M,,,,,,
2005-08,319.20M,,,,,,-335.30M,,,74.70M,74.70M,,,,15.80M,12.80M,-145.30M,-72.30M,107.10M,,-0.60M,,-98.30M,26.50M,2.60M,,-60.90M,9.00M,-51.90M,,,,480.30M,431.80M,,,,-6.60M,7.30M,,7.30M,,-141.00M,,-0.30M,-140.60M,,207.60M,293.80M,,501.40M,,7.30M,,,,,,
2005-05,99.20M,,,,,,202.90M,,,22.20M,22.20M,,,,-172.20M,49.20M,358.40M,-118.20M,-83.80M,,-41.50M,,164.10M,71.10M,387.30M,,-29.20M,40.90M,11.70M,,,-282.50M,18.20M,-8.40M,,,,-55.30M,14.50M,0.00,14.50M,,-140.90M,,0.80M,-179.90M,,8.60M,199.00M,,207.60M,,14.50M,,,0.00,,,
2005-02,164.30M,,,,,,-232.70M,,,93.20M,93.20M,,,,201.00M,127.70M,-19.60M,-47.60M,-150.60M,,24.80M,,-65.30M,103.80M,264.30M,,-98.40M,25.30M,-73.10M,,,512.00M,-210.00M,253.20M,,,,-778.90M,58.30M,0.00,58.30M,,-140.10M,,-0.10M,-862.10M,,353.20M,-344.60M,,8.60M,,58.30M,,,0.00,,,
2004-11,245.60M,,,,,,29.60M,,,83.80M,83.80M,,,,,-178.80M,-320.60M,108.90M,290.20M,,-13.60M,,-113.90M,60.80M,305.90M,,-149.20M,17.40M,-131.80M,,,,179.60M,116.90M,,,,-321.90M,18.80M,0.00,18.80M,,-133.80M,,-1.10M,-439.40M,,369.80M,-16.60M,,353.20M,,18.80M,,,0.00,,,
2004-08,132.40M,,,,,,-9.50M,,,87.70M,87.70M,,,,,-22.10M,-68.40M,-59.60M,-110.80M,,202.10M,,-58.80M,4.10M,155.90M,,-105.20M,8.30M,-96.90M,,,,1.70M,-65.40M,,,,-26.00M,12.20M,-181.40M,-169.20M,,-135.50M,,-0.30M,-329.30M,,608.60M,-238.80M,,369.80M,,12.20M,,,-181.40M,,,
2004-05,-31.70M,,,,,,-53.80M,,,10.20M,10.20M,,,,-21.30M,-47.70M,386.50M,45.40M,51.70M,,-260.30M,,175.60M,220.60M,299.60M,,15.30M,45.00M,60.30M,,,43.10M,-44.10M,11.00M,,,,-13.50M,54.80M,-200.20M,-145.40M,,-136.70M,,-0.10M,-302.50M,,600.50M,8.10M,,608.60M,,54.80M,,,-200.20M,,,
2004-02,164.30M,,,,,,-387.30M,,,88.20M,88.20M,,,,2.20M,291.40M,242.10M,-10.80M,-352.70M,,84.00M,,254.00M,14.50M,135.90M,,-89.20M,8.00M,-81.20M,,,26.40M,37.00M,806.90M,,,,-69.10M,38.10M,-218.40M,-180.30M,,-137.90M,,5.40M,-394.20M,,51.90M,548.60M,,600.50M,,38.10M,,,-218.40M,,,
2003-11,201.50M,,,,,,-11.80M,,,80.20M,80.20M,,,,-25.60M,-315.20M,-780.20M,218.40M,527.70M,,68.30M,96.30M,-184.70M,-141.70M,-82.10M,,-74.20M,7.30M,-66.90M,,,,-3.40M,-70.30M,,,,-537.70M,25.10M,,25.10M,,-130.80M,,121.30M,-535.90M,,680.70M,-688.30M,,51.90M,,25.10M,,,,,,
2003-08,192.00M,,,,,,15.10M,,,91.20M,91.20M,,,,25.60M,,,,,,,-96.30M,-96.30M,,227.60M,,-78.10M,4.20M,-73.90M,,,,10.40M,-63.50M,,,,134.30M,,,,,-131.30M,,-128.80M,-112.00M,,628.60M,52.10M,,680.70M,,,,,,,,
2003-05,191.60M,,,,,,-194.00M,,,83.90M,83.90M,,,,0.50M,,,,,,,124.90M,89.70M,280.50M,452.20M,,-110.40M,184.10M,73.70M,,,,140.80M,214.50M,,,,-158.60M,,,,,-130.70M,,200.70M,-56.60M,,78.00M,610.10M,,688.10M,,,,,,,,
2003-02,161.00M,,,,,,-24.30M,-232.80M,-5.00M,47.20M,47.20M,,,,-104.70M,,,,,,,1.258B,1.258B,-593.70M,743.90M,,-67.50M,-131.80M,-199.30M,,,,156.30M,-43.00M,,,,-425.30M,,,,,-130.80M,,-93.00M,-649.10M,,26.20M,51.80M,,78.00M,,,,,,,,
2002-11,235.80M,,,,,,0.00,112.00M,2.20M,114.20M,114.20M,,,,69.30M,,,,,,,27.70M,27.70M,,447.00M,,-94.80M,754.60M,659.80M,,,,-143.60M,516.20M,,,,-823.60M,,,,,-124.00M,,-6.80M,-954.40M,,17.40M,8.80M,,26.20M,,,,,,,,
2002-08,227.60M,,,,,,-3.90M,120.80M,2.80M,123.60M,123.60M,,,,34.90M,,,,,,,-1.411B,-1.411B,,-1.029B,,-97.10M,19.10M,-78.00M,,,,4.70M,-73.30M,,,,1.185B,,,,,-123.70M,,-99.50M,961.60M,,157.90M,-140.50M,,17.40M,,,,,,,,
2002-05,192.20M,,,,,,-74.00M,-352.00M,-111.20M,73.40M,73.40M,,,,-124.10M,,,,,,,365.00M,969.50M,,1.392B,,-82.40M,-6.60M,-89.00M,,0.00,,59.90M,-29.10M,,,,-1.055B,,,,,-123.50M,,213.20M,-1.236B,,30.70M,127.20M,,157.90M,,,,,,,,
2002-02,170.80M,,,,,,0.00,119.10M,36.50M,155.60M,155.60M,,,,29.00M,,,,,,,857.40M,857.40M,,1.213B,,-144.80M,8.50M,-136.30M,,-110.00M,,10.50M,-235.80M,,,,-453.30M,,,,,-118.00M,,-400.70M,-972.00M,,25.70M,5.00M,,30.70M,,,,,,,,
2001-11,231.60M,,,,,,0.00,116.70M,37.50M,154.20M,154.20M,,,,27.90M,,,,,,,-49.60M,-49.60M,,364.10M,,-123.50M,8.80M,-114.70M,,,,-25.00M,-139.70M,,,,-255.70M,,,,,-119.90M,,151.00M,-224.60M,,25.90M,-0.20M,,25.70M,,,,,,,,
2001-08,188.40M,,,,,,2.00M,116.20M,37.20M,153.40M,153.40M,,,,52.90M,,,,,,,-1.173B,-1.173B,,-776.10M,,-103.30M,6.80M,-96.50M,,,,-14.00M,-110.50M,,,,830.10M,,,,,-121.50M,,5.80M,714.40M,,198.10M,-172.20M,,25.90M,,,,,,,,
2001-05,92.30M,,,,,,,,,96.70M,96.70M,,,,90.50M,,,,,,,2.106B,807.90M,,1.204B,,-127.50M,-32.70M,-160.20M,,0.00,,-36.60M,-196.80M,,,,-508.00M,,,,,-117.40M,,-208.50M,-833.90M,,24.40M,173.70M,,198.10M,,,,,,,,
2001-02,98.50M,,,,,,,,,161.30M,161.30M,,,,45.40M,,,,,,,493.20M,493.20M,,798.40M,,-132.10M,17.90M,-114.20M,,-57.60M,,18.50M,-153.30M,,,,-601.00M,,,,,-114.20M,,11.80M,-703.40M,,82.70M,-58.30M,,24.40M,,,,,,,,
2000-11,301.70M,,,,,,,,,147.00M,147.00M,,,,0.70M,,,,,,,-421.20M,-421.20M,,28.20M,,-139.10M,4.10M,-135.00M,,-141.20M,,3.50M,-272.70M,,,,188.50M,,,,,-120.40M,,177.10M,245.20M,,82.00M,0.70M,,82.70M,,,,,,,,
2000-08,146.10M,,,,,,,,,133.40M,133.40M,,,,32.00M,,,,,,,-2.178B,-2.178B,,-1.866B,,-112.40M,50.10M,-62.30M,,-908.40M,,-15.00M,-985.70M,,,,2.870B,,,,,-100.40M,,6.80M,2.776B,,157.60M,-75.60M,,82.00M,,,,,,,,
2000-05,-50.20M,,,,,,385.30M,,,149.80M,149.80M,,,,-10.70M,,,,,,,2.051B,1.152B,,1.626B,,-205.60M,108.60M,-97.00M,,-15.30M,,-6.80M,-119.10M,,,,-1.202B,,,,,-96.40M,,-68.00M,-1.367B,,17.40M,140.20M,,157.60M,,,,,,,,
2000-02,143.40M,,,,,,84.60M,,,130.20M,130.20M,,,,8.80M,,,,,,,331.00M,331.00M,,698.00M,,-96.00M,19.00M,-77.00M,,-374.80M,,-8.40M,-460.20M,,,,-355.00M,,,,,-106.80M,,231.80M,-230.00M,,9.60M,7.80M,,17.40M,,,,,,,,
1999-11,187.30M,,,,,,104.40M,,,126.00M,126.00M,,,,19.20M,,,,,,,369.40M,369.40M,,806.30M,,-126.10M,20.90M,-105.20M,,,,-29.90M,-135.10M,,,,-584.60M,-17.20M,,-17.20M,,-87.80M,,17.30M,-672.30M,,10.70M,-1.10M,,9.60M,,-17.20M,,,,,,
1999-08,101.80M,,,,,,47.10M,,,130.50M,130.50M,,,,32.60M,,,,,,,-2.751B,-2.751B,,-2.439B,,-111.60M,6.10M,-105.50M,,,,8.50M,-97.00M,,,,2.545B,17.20M,,17.20M,,-84.00M,,5.90M,2.484B,,62.80M,-52.10M,,10.70M,,17.20M,,,,,,
1999-05,-169.50M,,,,,,,,,127.00M,127.00M,,,,21.70M,,,,,,,1.804B,1.625B,,2.045B,,179.00M,35.20M,214.20M,,,,21.10M,-186.60M,,,,-1.922B,-7.00M,,-7.00M,,-70.40M,,181.30M,-1.818B,,22.90M,39.90M,,62.80M,,-7.00M,,,,,,
1999-02,171.40M,,,,,,,,,127.80M,127.80M,,,,2.511B,,,,,,,-1.804B,-1.804B,,1.006B,,-165.70M,6.10M,-159.60M,,,,15.00M,-144.60M,,,,-742.20M,0.60M,,0.60M,,-97.30M,,-43.80M,-882.70M,,44.30M,-21.40M,,22.90M,,0.60M,,,,,,
1998-11,219.00M,,,,,,,,,124.90M,124.90M,,,,648.10M,,,,,,,,,,992.00M,,-163.40M,2.30M,-161.10M,,,,-8.50M,-169.60M,,,,-698.50M,0.00,,0.00,,-72.00M,,-18.40M,-788.90M,,10.80M,33.50M,,44.30M,,0.00,,,,,,
1998-08,109.30M,,,,,,,,,120.10M,120.10M,,,,-3.093B,,,,,,,,,,-2.863B,,-512.20M,4.90M,-507.30M,,,,-2.10M,-509.40M,,,,3.333B,6.40M,,6.40M,,-72.70M,,8.40M,3.275B,,108.40M,-97.60M,,10.80M,,6.40M,,,,,,
1998-05,148.30M,,,,,,34.20M,,,112.70M,112.70M,,,,2.081B,,,,,,,,,,1.815B,,-257.30M,84.30M,-173.00M,,,,20.50M,-186.20M,,,,-1.530B,,153.10M,153.10M,,-70.70M,,-117.00M,-1.565B,,44.60M,63.80M,,108.40M,,,,,153.10M,,,
1998-02,133.70M,,,,,,76.30M,,,119.60M,119.60M,,,,394.30M,,,,,,,,,,723.90M,,-120.20M,1.00M,-119.20M,,,,28.80M,-90.40M,,,,-554.80M,-28.00M,-7.40M,-35.40M,,-70.10M,,7.20M,-653.10M,,64.20M,-19.60M,,44.60M,,-28.00M,,,-7.40M,,,
1997-11,217.20M,,,,,,,,,113.70M,113.70M,,,,350.70M,,,,,,,,,,681.60M,,-116.90M,3.90M,-113.00M,,,,-62.00M,-175.00M,,,,-428.10M,16.10M,-5.00M,11.10M,,-59.60M,,7.60M,-469.00M,,26.60M,37.60M,,64.20M,,16.10M,,,-5.00M,,,
1997-08,118.30M,,,,,,,,,110.80M,110.80M,,,,-2.826B,,,,,,,,,,-2.597B,,-89.30M,136.70M,47.40M,,,,8.80M,56.20M,,,,2.652B,11.90M,-140.70M,-128.80M,,-62.80M,,0.40M,2.460B,,106.90M,-80.30M,,26.60M,,11.90M,,,-140.70M,,,
1997-05,209.40M,,,,,,6.60M,,,112.60M,112.60M,,,,1.686B,,,,,,,,,,1.826B,,-434.40M,6.80M,-427.60M,,,,189.00M,-238.60M,,,,-1.426B,4.90M,-106.50M,-101.60M,,-61.40M,,44.30M,-1.544B,,64.50M,42.80M,,106.90M,,4.90M,,,-106.50M,,,
1997-02,145.10M,,,,,,-6.60M,,,108.40M,108.40M,,,,901.40M,,,,,,,,,,1.148B,,-157.10M,6.70M,-150.40M,,,,14.20M,-136.20M,,,,-862.10M,12.40M,-28.90M,-16.50M,,-61.20M,,-86.20M,-1.026B,,78.40M,-13.90M,,64.50M,,12.40M,,,-28.90M,,,
1996-11,187.30M,,,,,,,,,100.00M,100.00M,,,,474.70M,,,,,,,,,,762.00M,,-164.60M,12.00M,-152.60M,,,,-178.20M,-330.80M,,,,-336.20M,-4.40M,-25.70M,-30.10M,,-53.40M,,32.40M,-387.30M,,34.50M,43.90M,,78.40M,,-4.40M,,,-25.70M,,,
1996-08,96.10M,,,,,,,,,105.20M,105.20M,,,,-2.970B,,,,,,,,,,-2.768B,,-124.40M,5.90M,-118.50M,,,,-65.50M,-184.00M,,,,3.027B,4.40M,-105.40M,-101.00M,,-53.90M,,1.40M,2.873B,,113.70M,-79.20M,,34.50M,,4.40M,,,-105.40M,,,
1996-05,-193.70M,,,,,,507.80M,,,112.50M,112.50M,,,,1.843B,,,,,,,,,,2.203B,,-253.90M,322.40M,68.50M,,,,72.80M,141.30M,,,,-2.306B,-40.10M,0.00,-40.10M,,-55.00M,,112.20M,-2.289B,,0.00,54.60M,,113.70M,,-40.10M,,,0.00,,,
1996-02,128.40M,,,,,,,,,95.60M,95.60M,,,,628.20M,,,,,,,,,,852.20M,,-128.90M,34.50M,-94.40M,,,,1.30M,-93.10M,,,,-384.70M,22.90M,-264.90M,-242.00M,,-54.60M,,-65.10M,-746.40M,,0.00,12.70M,,0.00,,22.90M,,,-264.90M,,,
1995-11,167.10M,,,,,,-17.70M,,,112.60M,112.60M,,,,236.30M,,,,,,,,,,498.30M,,-164.80M,23.30M,-141.50M,,,,-275.30M,-416.80M,,,,13.90M,21.60M,-87.50M,-65.90M,,-52.80M,,-22.50M,-127.30M,,0.00,-45.80M,,0.00,,21.60M,,,-87.50M,,,
1995-08,87.10M,,,,,,17.70M,,,87.20M,87.20M,,,,-2.583B,,,,,,,,,,-2.391B,,-120.90M,8.60M,-112.30M,,,,-122.50M,-234.80M,,,,3.016B,17.40M,-311.60M,-294.20M,,-53.10M,,-10.40M,2.658B,,60.00M,32.20M,,0.00,,17.40M,,,-311.60M,,,
1995-05,150.40M,,,,,,-78.40M,,,153.80M,153.80M,,,,105.80M,482.30M,489.80M,,542.40M,24.10M,-11.70M,,1.527B,,1.858B,,-145.70M,95.90M,-49.80M,,,,-106.50M,-156.30M,,,,-1.692B,-4.80M,-88.80M,-93.60M,,-53.30M,,86.20M,-1.753B,,0.00,-51.00M,,0.00,,-4.80M,,,-88.80M,,,
1995-02,118.50M,,,,,,57.60M,,,34.40M,34.40M,,,,0.80M,139.80M,-41.70M,,272.80M,-11.00M,-17.70M,,342.20M,,553.50M,,-107.00M,16.50M,-90.50M,,,,30.50M,-60.00M,,,,-667.80M,268.70M,-28.90M,239.80M,,-49.10M,,35.20M,-441.90M,,0.00,51.60M,,0.00,,268.70M,,,-28.90M,,,
1994-11,149.90M,,,,,,-5.60M,,,109.70M,109.70M,,,,-6.90M,157.90M,-421.80M,,685.30M,1.90M,15.10M,,438.40M,,685.50M,,-98.50M,3.70M,-94.80M,,,,-179.30M,-274.10M,,,,-248.60M,12.60M,,12.60M,,-50.60M,,-107.50M,-394.10M,,0.00,17.30M,,0.00,,12.60M,,,,,,
1994-08,76.80M,,,,,,26.40M,,,77.90M,77.90M,,,,7.60M,-930.10M,-261.40M,,-1.459B,-15.00M,14.30M,,-2.651B,,-2.462B,,-76.60M,1.90M,-74.70M,,,,-130.10M,-204.80M,,,,2.427B,181.40M,,181.40M,,-46.60M,,-19.20M,2.543B,,166.40M,-124.30M,,0.00,,181.40M,,,,,,
1994-05,131.80M,,,,,,73.60M,,,22.10M,22.10M,,,,0.50M,642.90M,457.50M,,812.60M,3.10M,16.80M,,1.933B,,2.161B,,-145.60M,21.50M,-124.10M,,,,-84.00M,-208.10M,,,,-2.026B,103.10M,0.00,103.10M,,-46.60M,,106.40M,-1.863B,,0.00,90.20M,,0.00,,103.10M,,,0.00,,,
1994-02,103.70M,,,,,,10.60M,,,87.40M,87.40M,,,,0.50M,16.80M,177.30M,,-21.60M,0.00,16.10M,,188.60M,,390.80M,,-93.50M,3.80M,-89.70M,,,,12.40M,-77.30M,,,,-264.70M,1.50M,0.00,1.50M,,-46.70M,,-2.70M,-312.60M,,0.00,0.90M,,0.00,,1.50M,,,0.00,,,
1993-11,134.00M,,,,,,18.10M,,,92.60M,92.60M,,,,-4.00M,-34.30M,-440.90M,,558.80M,-0.70M,-23.30M,,59.60M,,300.30M,,-94.10M,11.00M,-83.10M,,,,-108.50M,-191.60M,,,,137.20M,-6.50M,-105.40M,-111.90M,,-41.40M,,-94.10M,-110.20M,,0.00,-1.50M,,0.00,,-6.50M,,,-105.40M,,,
1993-08,67.60M,,,,,,6.90M,,,92.70M,92.70M,,,,5.70M,-875.80M,-555.90M,,-941.60M,-20.00M,58.90M,,-2.334B,,-2.162B,,-61.80M,4.00M,-57.80M,,,,115.40M,57.60M,,,,1.966B,10.90M,,10.90M,,-41.30M,,-11.40M,1.924B,,257.00M,-180.20M,,0.00,,10.90M,,,,,,
1993-05,96.10M,,,,,,204.00M,,,72.20M,72.20M,4.80M,,,-111.40M,360.10M,723.50M,,752.70M,37.30M,-83.50M,,1.790B,,2.056B,,-134.50M,5.70M,-128.80M,,,,-160.90M,-289.70M,,,,-1.528B,-2.30M,335.40M,333.10M,,-40.90M,,-372.30M,-1.608B,,0.00,157.80M,,0.00,,-2.30M,,,335.40M,,,
1993-02,93.60M,,,,,,1.40M,,,33.50M,33.50M,-10.90M,,,52.90M,223.20M,210.40M,,-80.80M,-10.70M,35.40M,,377.50M,,548.00M,,-73.10M,3.30M,-69.80M,,,,-16.00M,-85.80M,,,,-256.30M,9.40M,-206.00M,-196.60M,,-43.10M,,-13.70M,-509.70M,,0.00,-47.50M,,0.00,,9.40M,,,-206.00M,,,
1992-11,129.90M,,,,,,-0.90M,,,85.80M,85.80M,-0.90M,,,9.20M,189.90M,-543.10M,,405.70M,23.60M,15.40M,,91.50M,,314.60M,,-76.20M,3.80M,-72.40M,,,,-48.70M,-121.10M,,,,113.10M,6.90M,-128.50M,-121.60M,,-37.40M,,-111.80M,-157.70M,,0.00,35.80M,,0.00,,6.90M,,,-128.50M,,,
1992-08,71.90M,,,,,,5.30M,,,85.50M,85.50M,11.80M,,,5.80M,-718.10M,-377.10M,,-1.167B,-26.70M,12.00M,,-2.277B,,-2.096B,,-57.20M,-0.20M,-57.40M,,,,3.60M,-53.80M,,,,1.937B,2.10M,-0.90M,1.20M,,-37.20M,,5.30M,1.906B,,354.80M,-243.90M,,0.00,,2.10M,,,-0.90M,,,
1992-05,107.90M,,,,,,-3.10M,,,77.90M,77.90M,3.30M,,,5.60M,261.40M,668.20M,,825.90M,16.10M,-18.60M,,1.753B,,1.945B,,-104.00M,23.90M,-80.10M,,,,24.30M,-55.80M,,,,-1.580B,2.30M,-0.20M,2.10M,,-37.30M,,-9.00M,-1.624B,,0.00,265.00M,,0.00,,2.30M,,,-0.20M,,,
1992-02,84.10M,,,,,,-0.20M,,,84.80M,84.80M,0.00,,,16.20M,99.00M,87.90M,,-58.30M,-30.90M,24.20M,,121.90M,,306.80M,,-86.60M,8.50M,-78.10M,,,,-4.70M,-82.80M,,,,-218.80M,10.20M,-1.40M,8.80M,,-35.10M,,-21.40M,-266.50M,,0.00,-42.50M,,0.00,,10.20M,,,-1.40M,,,
1991-11,111.70M,,,,,,2.80M,,,79.20M,79.20M,25.90M,,,19.60M,42.00M,-513.70M,,321.50M,8.10M,-31.70M,,-173.80M,,65.40M,,-90.70M,20.10M,-70.60M,,,,-14.80M,-85.40M,,,,52.80M,6.10M,-0.20M,5.90M,,-31.80M,,1.50M,28.40M,,0.00,8.40M,,0.00,,6.10M,,,-0.20M,,,
1991-08,68.70M,,,,,,12.00M,,,77.40M,77.40M,0.30M,,,23.30M,-429.90M,-465.20M,,-853.10M,-15.10M,43.50M,,-1.720B,,-1.538B,,-88.30M,23.40M,-64.90M,,,,-7.50M,-72.40M,,,,1.110B,3.40M,-0.20M,3.20M,,-31.30M,,-69.90M,1.012B,,721.90M,-598.00M,,0.00,,3.40M,,,-0.20M,,,
1991-05,99.40M,,,,,,-7.90M,,,64.90M,64.90M,83.10M,,,20.60M,204.20M,416.10M,,337.30M,-19.80M,36.20M,,974.00M,,1.234B,,-125.00M,57.40M,-67.60M,,,,-154.80M,-222.40M,,,,-404.30M,5.00M,-0.50M,4.50M,,-30.00M,,18.40M,-411.40M,,0.00,600.30M,,0.00,,5.00M,,,-0.50M,,,
1991-02,65.60M,,,,,,-1.10M,,,83.80M,83.80M,19.60M,,,16.70M,76.00M,239.70M,,-14.10M,26.80M,-18.50M,,309.90M,,494.50M,,-101.30M,7.10M,-94.20M,,,,-8.40M,-102.60M,,,,-355.70M,148.70M,-1.20M,147.50M,,-29.20M,,-124.60M,-362.00M,,0.00,29.90M,,0.00,,148.70M,,,-1.20M,,,
1990-11,88.20M,,,,,,1.30M,,,66.00M,66.00M,-0.30M,,,22.50M,193.20M,-261.80M,,-555.80M,11.40M,696.40M,,83.40M,,261.10M,,-69.70M,4.90M,-64.80M,,,4.40M,-4.50M,-64.90M,,,,-597.30M,3.80M,-1.90M,1.90M,,-21.70M,,365.40M,-251.70M,,0.00,-55.50M,,0.00,,3.80M,,,-1.90M,,,
1990-08,58.00M,,,,,,9.80M,,,36.10M,36.10M,0.30M,,,3.10M,-566.80M,-141.50M,,,-19.00M,-677.90M,,-1.405B,,-1.298B,,-35.80M,0.90M,-34.90M,,,-4.40M,-627.30M,-666.60M,,,,2.001B,2.50M,-0.10M,2.40M,,-18.40M,,-0.20M,1.985B,,120.50M,20.50M,,0.00,,2.50M,,,-0.10M,,,
