,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2003-05,3.026B,3.026B,2.242B,785.00M,414.70M,,,,,414.70M,370.30M,,,,19.10M,,285.10M,115.80M,215.50M,-76.10M,0.00,,,139.40M,215.50M,454.20M,83.90M,370.30M,,-0.10,0.37,0.00,-0.10,0.26,,-0.10,0.37,-0.0000,-0.10,0.26,,534.21M,534.21M,0.2475,,,
2003-02,3.614B,3.614B,2.774B,839.90M,482.60M,,,,,482.60M,357.30M,,,,11.80M,,305.50M,105.20M,200.30M,-39.30M,,,,161.00M,200.30M,404.50M,47.20M,357.30M,,0.38,-0.08,,0.38,0.30,,0.38,-0.08,,0.38,0.30,,536.67M,536.67M,0.2475,,,
2002-11,4.451B,4.451B,3.529B,921.40M,534.20M,,,,,534.20M,387.20M,,,,7.40M,,324.60M,116.20M,208.40M,27.40M,,,,235.80M,208.40M,501.40M,114.20M,387.20M,,0.39,0.00,,0.39,0.39,,0.38,0.00,,0.38,0.38,,528.50M,530.90M,0.2475,,,
2002-08,7.063B,7.063B,6.043B,1.020B,581.80M,,,,,581.80M,438.70M,,,,,,355.10M,131.40M,223.70M,,3.90M,,,227.60M,223.70M,562.30M,123.60M,438.70M,,0.42,0.01,0.00,0.42,0.43,,0.42,0.01,0.0074,0.42,0.43,,527.70M,530.50M,0.235,,,
2002-05,1.119B,1.119B,669.10M,450.30M,116.90M,,,,,116.90M,333.40M,,,,,,265.50M,95.90M,169.60M,,0.00,,,192.20M,169.60M,406.80M,73.40M,333.40M,,0.34,0.03,0.00,0.34,0.37,,0.33,0.03,-0.0000,0.33,0.36,,506.44M,515.24M,0.235,,,
2002-02,6.245B,6.245B,5.291B,953.90M,583.30M,,,,,583.30M,370.60M,,,,,,276.50M,105.70M,170.80M,,,,,170.80M,170.80M,526.20M,155.60M,370.60M,,0.31,0.00,,0.31,0.31,,0.31,0.00,,0.31,0.31,,550.97M,550.97M,0.235,,,
2001-11,7.364B,7.364B,6.263B,1.100B,627.00M,,,,,627.00M,473.30M,,,,,,373.50M,141.90M,231.60M,,,,,231.60M,231.60M,627.50M,154.20M,473.30M,,0.44,0.00,,0.44,0.44,,0.44,0.00,,0.44,0.44,,526.36M,526.36M,0.235,,,
2001-08,7.608B,7.608B,6.552B,1.056B,644.80M,,,,,644.80M,411.20M,,,,,,307.10M,116.70M,190.40M,,-2.00M,,,188.40M,190.40M,564.60M,153.40M,411.20M,,0.36,0.00,0.00,0.36,0.36,,0.36,0.00,-0.0038,0.36,0.36,,524.60M,526.40M,0.225,,,
2001-05,4.388B,4.388B,3.505B,882.50M,617.40M,,,,,617.40M,265.10M,,,,,,165.80M,64.00M,121.30M,,0.00,,,121.40M,121.30M,361.80M,96.70M,265.10M,,0.18,0.05,0.00,0.18,0.23,,0.18,0.05,0.0006,0.18,0.23,,521.02M,521.02M,0.225,,,
2001-02,6.379B,6.379B,5.457B,922.10M,603.10M,,,,,603.10M,319.00M,,,,,,188.10M,72.30M,115.80M,,,,,115.80M,115.80M,480.30M,161.30M,319.00M,,0.22,0.00,,0.22,0.22,,0.22,0.00,,0.22,0.22,,523.30M,527.30M,0.225,,,
2000-11,7.232B,7.232B,6.128B,1.104B,528.90M,,,,,528.90M,575.10M,,,,,,457.70M,176.50M,281.20M,,,,,281.20M,281.20M,722.10M,147.00M,575.10M,,0.54,0.00,,0.54,0.54,,0.54,0.00,,0.54,0.54,,520.40M,523.90M,0.225,,,
2000-08,6.802B,6.802B,5.621B,1.180B,735.10M,,,,,868.50M,311.80M,,,,,,235.70M,89.60M,146.10M,,,,,146.10M,146.10M,445.20M,133.40M,311.80M,,0.31,0.00,,0.31,0.31,,0.30,0.00,,0.30,0.30,,478.70M,480.60M,0.2035,,,
2000-05,6.227B,6.227B,6.010B,216.90M,353.30M,-260.80M,,,,-33.40M,250.30M,,,,-260.80M,,-80.00M,-29.80M,-50.20M,,,,,-50.20M,113.45M,400.10M,149.80M,250.30M,,-0.20,0.09,,0.1370,-0.11,,-0.20,0.09,,0.1370,-0.11,,485.60M,485.60M,0.2035,,,
2000-02,5.905B,5.905B,4.892B,1.013B,542.10M,-27.70M,,,,673.10M,339.70M,,,,-27.70M,,231.30M,87.90M,143.40M,,,,,143.40M,160.57M,470.70M,130.20M,339.70M,,0.30,0.00,,0.3360,0.30,,0.30,0.00,,0.3359,0.30,,476.50M,478.80M,0.2035,,,
1999-11,6.603B,6.603B,5.335B,1.268B,731.80M,-30.20M,,,,857.80M,409.80M,,,,-30.20M,,302.10M,114.80M,187.30M,,,,,187.30M,206.02M,535.80M,126.00M,409.80M,,0.39,0.00,,0.4290,0.39,,0.39,0.00,,0.4290,0.39,,480.26M,480.26M,0.2035,,,
1999-08,6.594B,6.594B,5.487B,1.107B,732.30M,-3.50M,,,,862.80M,243.90M,,,,-3.50M,,164.20M,62.40M,101.80M,,,,,101.80M,103.97M,374.40M,130.50M,243.90M,,0.22,0.00,,0.2247,0.22,,0.21,0.00,,0.2145,0.21,,462.73M,484.76M,0.1785,,,
1999-05,6.263B,6.263B,6.363B,-99.40M,-51.70M,,,,,-424.50M,325.10M,,,,,,-176.90M,-7.40M,-169.50M,,,,,-169.50M,-169.50M,452.10M,127.00M,325.10M,,-0.40,,,-0.40,-0.40,,-0.40,,,-0.40,-0.40,,586.97M,604.29M,0.1785,,,
1999-02,5.693B,5.693B,4.558B,1.135B,640.40M,,,,,768.20M,366.70M,,,,,,278.70M,107.30M,171.40M,,,,,171.40M,171.40M,494.50M,127.80M,366.70M,,0.36,0.00,,0.36,0.36,,0.36,0.00,,0.36,0.36,,476.11M,476.11M,0.1785,,,
1998-11,6.404B,6.404B,5.174B,1.231B,658.90M,,,,,783.80M,447.00M,,,,,,356.00M,137.00M,219.00M,,,,,219.00M,219.00M,571.90M,124.90M,447.00M,,0.47,0.00,,0.47,0.47,,0.46,0.00,,0.46,0.46,,465.96M,476.09M,0.1785,,,
1998-08,6.483B,6.483B,5.446B,1.038B,663.30M,,,,,783.40M,254.20M,,,,,,177.80M,68.50M,109.30M,,,,,109.30M,109.30M,374.30M,120.10M,254.20M,,0.23,0.00,,0.23,0.23,,0.23,0.00,,0.23,0.23,,475.22M,475.22M,0.1563,,,
1998-05,6.266B,6.266B,5.824B,441.80M,56.80M,,,,,101.70M,340.10M,,,,,,264.70M,101.60M,163.10M,,0.00,,,163.10M,163.10M,452.80M,112.70M,340.10M,,0.37,0.00,0.00,0.37,0.37,,0.36,0.00,-0.0004,0.36,0.36,,438.61M,451.21M,0.1563,,,
1998-02,5.468B,5.468B,4.528B,940.40M,581.90M,,,,,646.80M,293.60M,,,,,,217.40M,83.70M,133.70M,,-14.80M,,,118.90M,133.70M,413.20M,119.60M,293.60M,,0.29,-0.03,0.00,0.29,0.26,,0.28,-0.03,-0.0324,0.28,0.25,,457.31M,475.60M,0.1563,,,
1997-11,6.548B,6.548B,5.400B,1.148B,609.80M,,,,,720.30M,427.40M,,,,,,351.90M,134.70M,217.20M,,,,,217.20M,217.20M,541.10M,113.70M,427.40M,,0.47,0.00,,0.47,0.47,,0.46,0.00,,0.46,0.46,,462.13M,472.17M,0.1563,,,
1997-08,6.263B,6.263B,5.269B,994.20M,618.30M,,,,,729.10M,265.10M,,,,,,191.50M,73.20M,118.30M,,,,,118.30M,118.30M,375.90M,110.80M,265.10M,,0.25,0.00,,0.25,0.25,,0.25,0.00,,0.25,0.25,,473.20M,473.20M,0.1363,,,
1997-05,6.238B,6.238B,5.049B,1.189B,691.60M,,,,,804.20M,384.90M,,,,,,321.80M,112.40M,209.40M,,,,,209.40M,209.40M,497.50M,112.60M,384.90M,,0.42,0.00,,0.42,0.42,,0.40,0.00,,0.40,0.40,,508.62M,536.63M,0.1363,,,
1997-02,5.459B,5.459B,4.473B,986.00M,561.20M,,,,,669.60M,316.40M,,,,,,243.10M,98.00M,145.10M,,,,,145.10M,145.10M,424.80M,108.40M,316.40M,,0.32,0.00,,0.32,0.32,,0.32,0.00,,0.32,0.32,,453.44M,453.44M,0.1363,,,
1996-11,6.590B,6.590B,5.529B,1.061B,569.20M,,,,,671.80M,389.00M,,,,,,316.30M,129.00M,187.30M,,,,,187.30M,187.30M,491.60M,100.00M,389.00M,,0.41,0.00,,0.41,0.41,,0.41,0.00,,0.41,0.41,,456.83M,456.83M,0.1363,,,
1996-08,6.158B,6.158B,5.260B,897.10M,559.00M,,,,,664.20M,232.90M,,,,,,162.80M,66.70M,96.10M,,,,,96.10M,96.10M,338.10M,105.20M,232.90M,,0.21,0.00,,0.21,0.21,,0.21,0.00,,0.21,0.21,,457.62M,457.62M,0.119,,,
1996-05,5.065B,5.065B,4.070B,994.40M,537.70M,-470.70M,,,,650.20M,344.20M,,,,-470.70M,,-236.90M,-43.20M,-193.70M,,,,0.00,-193.70M,191.17M,456.70M,112.50M,344.20M,,-0.42,0.00,,0.4653,-0.42,,-0.43,0.00,,0.3702,-0.43,,434.71M,480.94M,0.119,,,
1996-02,5.772B,5.772B,4.810B,962.20M,570.50M,1.10M,,,,666.10M,296.10M,,,,1.10M,,214.60M,86.20M,128.40M,,,,,128.40M,127.74M,391.70M,95.60M,296.10M,,0.28,0.00,,0.2786,0.28,,0.28,0.00,,0.2786,0.28,,458.57M,458.57M,0.119,,,
1995-11,6.626B,6.626B,5.565B,1.062B,591.60M,3.60M,,,,704.20M,357.30M,,,,3.60M,,283.30M,116.20M,167.10M,,,,3.50M,167.10M,164.94M,469.90M,112.60M,357.30M,,0.36,0.00,,0.3552,0.36,,0.36,0.00,,0.3552,0.36,,454.44M,454.44M,0.119,,,
1995-08,6.436B,6.436B,5.547B,889.20M,578.30M,-0.20M,,,,665.50M,223.70M,,,,-0.20M,,147.60M,60.50M,87.10M,,,,5.10M,87.10M,87.22M,310.90M,87.20M,223.70M,,0.18,0.00,,0.1803,0.18,,0.18,0.00,,0.1803,0.18,,455.56M,455.56M,0.104,,,
1995-05,5.817B,5.817B,4.807B,1.009B,540.30M,-1.60M,,,,694.10M,315.30M,,,,-1.60M,,250.60M,100.20M,150.40M,,,,6.00M,150.40M,151.36M,469.10M,153.80M,315.30M,,0.32,0.00,,0.3221,0.32,,0.32,0.00,,0.3221,0.32,,450.51M,450.51M,0.104,,,
1995-02,5.758B,5.758B,4.844B,913.50M,569.30M,-0.50M,,,,643.30M,270.20M,,,,-0.50M,,197.50M,79.00M,118.50M,,,,6.00M,118.50M,118.80M,344.20M,34.40M,270.20M,,0.25,0.00,,0.2507,0.25,,0.25,0.00,,0.2507,0.25,,450.00M,450.00M,0.104,,,
1994-11,6.289B,6.289B,5.298B,990.10M,575.20M,2.80M,,,,669.00M,321.10M,,,,2.80M,,249.80M,99.90M,149.90M,,,,6.00M,149.90M,148.22M,430.80M,109.70M,321.10M,,0.32,0.00,,0.3163,0.32,,0.32,0.00,,0.3163,0.32,,449.69M,449.69M,0.104,,,
1994-08,6.246B,6.246B,5.429B,817.00M,545.10M,2.70M,,,,623.00M,194.00M,,,,2.70M,,128.00M,51.20M,76.80M,,,,6.00M,76.80M,75.18M,271.90M,77.90M,194.00M,,0.16,0.00,,0.1563,0.16,,0.16,0.00,,0.1563,0.16,,442.50M,442.50M,0.09,,,
1994-05,5.888B,5.888B,5.049B,839.20M,545.30M,0.60M,,,,567.40M,271.80M,,,,0.60M,,212.90M,81.10M,131.80M,,,,6.00M,131.80M,131.43M,293.90M,22.10M,271.80M,,0.28,0.00,,0.2792,0.28,,0.28,0.00,,0.2792,0.28,,447.73M,447.73M,0.09,,,
1994-02,5.581B,5.581B,4.734B,846.80M,518.80M,1.10M,,,,609.70M,237.10M,,,,1.10M,,171.10M,67.40M,103.70M,,,,6.00M,103.70M,103.03M,328.00M,87.40M,237.10M,,0.22,0.00,,0.2185,0.22,,0.22,0.00,,0.2185,0.22,,444.09M,444.09M,0.09,,,
1993-11,6.355B,6.355B,5.433B,921.90M,537.20M,-1.60M,,,,629.80M,292.10M,,,,-1.60M,,225.30M,91.30M,134.00M,,,,6.00M,134.00M,134.96M,384.70M,92.60M,292.10M,,0.28,0.00,,0.2821,0.28,,0.28,0.00,,0.2821,0.28,,457.14M,457.14M,0.09,,,
1993-08,5.687B,5.687B,4.937B,750.40M,489.70M,5.10M,,,,582.40M,168.00M,,,,5.10M,,110.70M,43.10M,67.60M,,,,6.00M,67.60M,64.49M,260.70M,92.70M,168.00M,,0.14,0.00,,0.1329,0.14,,0.14,0.00,,0.1329,0.14,,440.00M,440.00M,0.0775,,,
1993-05,5.378B,5.378B,4.587B,791.00M,516.30M,6.50M,,,,588.50M,202.50M,,,,6.50M,,155.20M,59.10M,96.10M,,,,6.00M,-25.10M,92.08M,274.70M,72.20M,202.50M,,0.20,-0.26,,0.1908,-0.06,,0.19,-0.26,,0.1815,-0.07,,437.44M,471.87M,0.0775,,,
1993-02,5.060B,5.060B,4.290B,770.30M,499.10M,4.70M,,,,567.40M,202.90M,,,,4.70M,,145.30M,51.70M,93.60M,,,,6.00M,93.60M,90.57M,271.20M,33.50M,202.90M,,0.19,0.00,,0.1834,0.19,,0.19,0.00,,0.1834,0.19,,461.05M,461.05M,0.0775,,,
1992-11,5.564B,5.564B,4.682B,882.40M,518.90M,8.20M,,,,604.70M,277.70M,,,,8.20M,,213.00M,83.10M,129.90M,,,,6.00M,129.90M,124.90M,363.50M,85.80M,277.70M,,0.27,0.00,,0.2591,0.27,,0.27,0.00,,0.2591,0.27,,458.89M,458.89M,0.0775,,,
1992-08,5.516B,5.516B,4.769B,746.80M,482.30M,6.00M,,,,567.80M,179.00M,,,,6.00M,,117.90M,46.00M,71.90M,,,,6.00M,71.90M,68.24M,264.50M,85.50M,179.00M,,0.14,0.00,,0.1322,0.14,,0.14,0.00,,0.1322,0.14,,470.71M,470.71M,0.0675,,,
1992-05,5.575B,5.575B,4.678B,897.00M,614.10M,4.90M,,,,692.00M,205.00M,,,,4.90M,,157.90M,50.00M,107.90M,,,,6.40M,107.90M,104.55M,282.90M,77.90M,205.00M,,0.21,0.00,,0.2031,0.21,,0.21,0.00,,0.2031,0.21,,486.58M,486.58M,0.0675,,,
1992-02,4.848B,4.848B,4.022B,826.30M,532.30M,4.00M,,,,617.10M,209.20M,,,,4.00M,,127.00M,42.90M,84.10M,,,,6.10M,84.10M,81.45M,294.00M,84.80M,209.20M,,0.17,0.00,,0.1642,0.17,,0.17,0.00,,0.1642,0.17,,458.82M,458.82M,0.0675,,,
1991-11,5.471B,5.471B,4.604B,866.70M,515.80M,5.30M,,,,594.10M,272.60M,,,,5.30M,,187.30M,75.60M,111.70M,,,,6.00M,111.70M,108.52M,351.80M,79.20M,272.60M,,0.23,0.00,,0.2231,0.23,,0.23,0.00,,0.2231,0.23,,459.57M,459.57M,0.0676,,,
1991-08,5.325B,5.325B,4.573B,752.40M,474.10M,3.30M,,,,551.50M,200.90M,,,,3.30M,,115.50M,46.80M,68.70M,,,,6.00M,68.70M,66.72M,278.30M,77.40M,200.90M,,0.14,0.00,,0.1356,0.14,,0.14,0.00,,0.1356,0.14,,447.86M,447.86M,0.0576,,,
1991-05,4.815B,4.815B,4.040B,775.10M,481.20M,6.50M,,,,546.10M,229.00M,,,,6.50M,,158.30M,58.90M,99.40M,,,,6.60M,99.40M,95.32M,293.90M,64.90M,229.00M,,0.22,0.00,,0.2104,0.22,,0.22,0.00,,0.2104,0.22,,425.63M,425.63M,0.0576,,,
1991-02,4.874B,4.874B,4.154B,720.60M,492.50M,4.70M,,,,528.60M,192.00M,,,,4.70M,,107.90M,42.30M,65.60M,,,,6.10M,65.60M,62.74M,275.80M,83.80M,192.00M,,0.14,0.00,,0.1333,0.14,,0.14,0.00,,0.1333,0.14,,425.00M,425.00M,0.0576,,,
1990-11,5.328B,5.328B,4.569B,759.40M,491.10M,7.00M,,,,527.20M,232.20M,,,,7.00M,,152.50M,64.20M,88.30M,,,,6.00M,88.30M,84.10M,298.20M,66.00M,232.20M,,0.20,0.00,,0.1898,0.20,,0.20,0.00,,0.1898,0.20,,411.50M,411.50M,0.0576,,,
1990-08,4.487B,4.487B,3.997B,490.60M,318.10M,5.40M,,,,354.20M,136.40M,,,,5.40M,,96.60M,38.60M,58.00M,,,,0.80M,58.00M,54.76M,172.50M,36.10M,136.40M,,0.15,0.00,,0.1415,0.15,,0.15,0.00,,0.1415,0.15,,381.33M,381.33M,0.0501,,,
1990-05,4.006B,4.006B,3.539B,467.50M,296.60M,5.60M,,,,327.60M,139.90M,,,,5.60M,,110.70M,37.10M,73.60M,,,,0.10M,73.60M,69.88M,170.90M,31.00M,139.90M,,0.20,0.00,,0.1899,0.20,,0.20,0.00,,0.1899,0.20,,368.21M,368.21M,0.0501,,,
1990-02,3.626B,3.626B,3.193B,432.90M,294.70M,5.90M,,,,327.60M,105.30M,,,,5.90M,,67.00M,22.80M,44.20M,,,,0.10M,44.20M,40.31M,142.40M,37.10M,105.30M,,0.12,0.00,,0.1094,0.12,,0.12,0.00,,0.1094,0.12,,367.50M,367.50M,0.0501,,,
1989-11,3.860B,3.860B,3.445B,415.50M,273.40M,4.30M,,,,273.40M,142.10M,,,,4.30M,,99.90M,36.00M,63.90M,,,,,63.90M,61.15M,142.10M,,142.10M,,0.18,0.00,,0.1723,0.18,,0.18,0.00,,0.1723,0.18,,355.00M,355.00M,0.0501,,,
1989-08,4.008B,4.008B,,,,,,,,,4.008B,,,,,,,,50.00M,,,,,50.00M,,4.008B,,4.008B,,0.14,0.00,,0.14,0.14,,0.14,0.00,,0.14,0.14,,360.54M,360.54M,0.0428,,,
1989-05,2.972B,2.972B,,,,,,,,,-7.924B,,,,,,,,65.40M,,,,,65.40M,,-7.924B,,-7.924B,,,,,,,,,,,,,,361.47M,361.47M,0.0428,,,
1989-02,2.717B,2.717B,,,,,,,,,2.717B,,,,,,,,37.60M,,,,,37.60M,,2.717B,,2.717B,,0.11,0.00,,0.11,0.11,,0.11,0.00,,0.11,0.11,,359.90M,359.90M,0.0428,,,
1988-11,2.844B,2.844B,,,,,,,,,2.844B,,,,,,,,56.80M,,,,,56.80M,,2.844B,,2.844B,,0.16,0.00,,0.16,0.16,,0.16,0.00,,0.16,0.16,,350.61M,350.61M,0.0428,,,
1988-08,2.808B,2.808B,,,,,,,,,2.808B,,,,,,,,38.20M,,,,,38.20M,,2.808B,,2.808B,,0.11,0.00,,0.11,0.11,,0.11,0.00,,0.11,0.11,,350.74M,350.74M,0.0373,,,
1988-05,2.570B,2.570B,,,,,,,,,-6.608B,,,,,,,,46.20M,,,,,46.20M,,-6.608B,,-6.608B,,,,,,,,,,,,,,350.74M,350.74M,0.0373,,,
1988-02,2.193B,2.193B,,,,,,,,,2.193B,,,,,,,,30.50M,,,,,30.50M,,2.193B,,2.193B,,0.09,0.00,,0.09,0.09,,0.09,0.00,,0.09,0.09,,350.22M,350.22M,0.0373,,,
1987-11,2.296B,2.296B,,,,,,,,,2.296B,,,,,,,,48.70M,,,,,48.70M,,2.296B,,2.296B,,0.14,0.00,,0.14,0.14,,0.14,0.00,,0.14,0.14,,350.22M,350.22M,0.0373,,,
1987-08,2.416B,2.416B,,,,,,,,,2.416B,,,,,,,,29.30M,,,,,29.30M,,2.416B,,2.416B,,0.09,0.00,,0.09,0.09,,0.08,0.00,,0.08,0.08,,351.47M,351.47M,0.0323,,,
1987-05,3.834B,3.834B,,,,,,,,,-4.846B,,,,,,,,56.90M,,,,,56.90M,,-4.846B,,-4.846B,,,,,,,,,,,,,,350.74M,350.74M,0.0323,,,
1987-02,1.532B,1.532B,,,,,,,,,1.532B,,,,,,,,25.10M,,,,,25.10M,,1.532B,,1.532B,,0.08,0.00,,0.08,0.08,,0.08,0.00,,0.08,0.08,,298.46M,298.46M,0.0323,,,
1986-11,1.695B,1.695B,,,,,,,,,1.695B,,,,,,,,37.80M,,,,,37.80M,,1.695B,,1.695B,,0.13,0.00,,0.13,0.13,,0.12,0.00,,0.12,0.12,,298.17M,298.17M,0.0323,,,
1986-08,1.771B,1.771B,,,,,,,,,1.771B,,,,,,,,27.80M,,,,,27.80M,,1.771B,,1.771B,,0.09,0.00,,0.09,0.09,,0.09,0.00,,0.09,0.09,,298.50M,298.50M,0.0278,,,
1986-05,1.589B,1.589B,,,,,,,,,-4.102B,,,,,,,,30.70M,,,,,30.70M,,-4.102B,,-4.102B,,,,,,,,,,,,,,297.75M,297.75M,0.0278,,,
1986-02,1.302B,1.302B,,,,,,,,,1.302B,,,,,,,,21.20M,,,,,21.20M,,1.302B,,1.302B,,0.07,0.00,,0.07,0.07,,0.07,0.00,,0.07,0.07,,298.28M,298.28M,0.0278,,,
1985-11,1.444B,1.444B,,,,,,,,,1.444B,,,,,,,,30.90M,,,,,30.90M,,1.444B,,1.444B,,0.10,0.00,,0.10,0.10,,0.10,0.00,,0.10,0.10,,298.85M,298.85M,,,,
1985-08,1.576B,1.576B,,,,,,,,,1.576B,,,,,,,,22.60M,,,,,22.60M,,1.576B,,1.576B,,0.08,0.00,,0.08,0.08,,0.07,0.00,,0.07,0.07,,297.30M,297.30M,,,,
1985-05,1.390B,1.390B,,,,,,,,,-3.914B,,,,,,,,25.60M,,,,,25.60M,,-3.914B,,-3.914B,,,,,,,,,,,,,,297.75M,297.75M,,,,
1985-02,1.221B,1.221B,,,,,,,,,1.221B,,,,,,,,19.20M,,,,,19.20M,,1.221B,,1.221B,,0.07,0.00,,0.07,0.07,,0.07,0.00,,0.07,0.07,,298.88M,298.88M,,,,
1984-11,1.420B,1.420B,,,,,,,,,1.420B,,,,,,,,27.60M,,,,,27.60M,,1.420B,,1.420B,,0.0067,0.00,,0.0067,0.0067,,0.0067,0.00,,0.0067,0.0067,,297.75M,297.75M,,,,
1984-08,1.467B,1.467B,,,,,,,,,1.467B,,,,,,,,19.30M,,,,,19.30M,,1.467B,,1.467B,,0.0052,0.00,,0.0052,0.0052,,0.0052,0.00,,0.0052,0.0052,,297.75M,297.75M,,,,
1984-05,1.045B,1.045B,,,,,,,,,-2.153B,,,,,,,,19.90M,0.00,,,,19.90M,,-2.153B,,-2.153B,,,0.00,,,0.00,,,0.00,,,0.00,,297.59M,297.59M,,,,
1984-02,844.70M,844.70M,,,,,,,,,844.70M,,,,,,,,13.30M,-0.70M,,,,12.60M,,844.70M,,844.70M,,0.0037,-0.0007,,0.0037,0.0030,,0.0037,-0.0007,,0.0037,0.0030,,297.13M,297.13M,,,,
