,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2008-05,140.90M,140.90M,,,890.60M,651.40M,100.00M,1.175B,,1.926B,451.60M,2.673B,6.082B,0.00,198.70M,3.781B,809.50M,,221.70M,5.011B,-2.528B,2.482B,3.480B,816.70M,4.297B,821.40M,7.600B,13.68B,,786.00M,786.00M,1.062B,1.848B,599.80M,14.90M,614.70M,,614.70M,,,1.188B,3.651B,,3.387B,,3.387B,,,,,,,1.307B,4.694B,8.345B,,2.833B,3.410B,866.90M,2.059B,,,,286.50M,5.337B,,,Restated
2008-02,128.20M,128.20M,1.449B,,1.449B,2.270B,108.20M,1.166B,66.10M,3.610B,1.148B,,6.335B,,,,,,,5.055B,-2.678B,2.376B,3.507B,804.00M,4.311B,363.90M,7.052B,13.39B,,1.354B,1.354B,1.966B,3.32B,418.00M,14.80M,432.80M,,432.80M,,,,3.753B,,3.376B,,3.376B,,,,,,,1.220B,4.595B,8.348B,,2.833B,3.301B,852.90M,1.98B,,,,31.70M,5.038B,,,
2007-11,128.10M,128.10M,1.490B,,1.490B,2.023B,102.30M,1.160B,64.40M,3.349B,828.60M,,5.795B,,,,5.104B,,,5.104B,-2.722B,2.382B,3.505B,804.50M,4.310B,312.00M,7.004B,12.80B,,1.458B,1.458B,1.596B,3.054B,321.70M,15.70M,337.40M,,337.40M,,,,3.391B,,3.375B,,3.375B,,,,,,,1.228B,4.604B,7.995B,,2.833B,3.084B,835.20M,1.985B,,,,36.50M,4.804B,,,
2007-08,298.40M,298.40M,1.301B,,1.301B,1.232B,94.80M,1.129B,66.50M,2.523B,896.60M,,5.019B,,,,5.097B,,,5.097B,-2.725B,2.371B,3.494B,775.90M,4.270B,294.90M,6.936B,11.95B,,1.239B,1.239B,1.346B,2.585B,124.80M,17.70M,142.50M,,142.50M,,,,2.728B,,3.420B,,3.420B,,,,,,,1.212B,4.632B,7.359B,,2.833B,2.932B,819.40M,1.991B,,,,1.20M,4.596B,,,
2007-05,730.80M,730.80M,819.00M,,819.00M,458.50M,94.60M,1.001B,70.70M,1.625B,319.20M,1.512B,5.006B,0.00,115.00M,3.602B,835.90M,,278.60M,4.832B,-2.626B,2.206B,3.405B,774.80M,4.180B,443.40M,6.830B,11.84B,,746.50M,746.50M,1.181B,1.927B,21.30M,17.90M,39.20M,,39.20M,,,714.40M,2.681B,,3.419B,,3.419B,,,,,,,1.153B,4.572B,7.253B,,2.832B,2.856B,816.80M,1.916B,,,,-5.90M,4.583B,,,
2007-02,497.00M,497.00M,1.194B,,1.194B,1.518B,127.30M,1.033B,142.20M,2.820B,1.073B,,5.584B,,,,,,,4.920B,-2.705B,2.214B,3.441B,795.60M,4.236B,245.40M,6.696B,12.28B,,935.50M,935.50M,1.859B,2.794B,22.70M,21.00M,43.70M,,43.70M,,,266.40M,3.105B,,3.436B,,3.436B,,,,,,,1.074B,4.510B,7.615B,,2.832B,2.752B,801.60M,1.708B,,,,-12.00M,4.666B,,,
2006-11,803.50M,803.50M,1.116B,,1.116B,1.34B,140.40M,1.020B,86.80M,2.588B,1.213B,,5.72B,,,,,,,4.814B,-2.659B,2.155B,3.442B,796.50M,4.239B,242.90M,6.636B,12.36B,,992.70M,992.70M,1.789B,2.781B,5.60M,20.80M,26.40M,,26.40M,149.40M,149.40M,,2.957B,,3.532B,,3.532B,,,,,,,1.13B,4.662B,7.619B,,2.831B,2.651B,788.60M,1.529B,,,,-4.00M,4.738B,,,
2006-08,695.30M,695.30M,1.156B,,1.156B,917.30M,113.50M,971.80M,120.50M,2.123B,750.20M,219.80M,4.944B,,,,,,,4.828B,-2.615B,2.213B,3.445B,797.40M,4.242B,593.70M,7.049B,11.99B,,892.20M,892.20M,1.512B,2.404B,8.20M,421.80M,430.00M,,430.00M,,,110.30M,2.944B,,3.152B,,3.152B,,,,,,,1.191B,4.343B,7.287B,,2.831B,2.530B,772.30M,1.410B,,,,-16.50M,4.706B,,,
2006-05,331.60M,331.60M,1.178B,,1.178B,985.00M,97.40M,923.60M,124.60M,2.131B,889.00M,261.00M,4.790B,,,,,,,4.830B,-2.561B,2.268B,3.446B,799.50M,4.245B,666.60M,7.180B,11.97B,,867.60M,867.60M,1.558B,2.426B,10.00M,421.10M,431.10M,,431.10M,,,107.80M,2.965B,,3.155B,,3.155B,,,,,,,1.201B,4.356B,7.320B,,2.831B,2.455B,764.00M,1.376B,,,,-24.00M,4.65B,,,
2006-02,237.20M,237.20M,1.159B,,1.159B,1.255B,94.00M,965.20M,175.20M,2.489B,436.50M,448.60M,4.771B,,,,,,,4.865B,-2.560B,2.305B,,4.248B,4.248B,1.060B,7.612B,12.38B,,891.80M,891.80M,1.449B,2.341B,11.10M,420.10M,431.20M,,431.20M,,,178.90M,2.951B,,3.411B,,3.411B,,,,,,,1.136B,4.546B,7.498B,,2.831B,2.498B,758.20M,1.184B,,,,-17.40M,4.886B,,,
2005-11,687.40M,687.40M,1.362B,,1.362B,1.294B,114.40M,1.330B,112.30M,2.850B,558.90M,2.20M,5.461B,,,,,,,5.766B,-2.958B,2.808B,,4.611B,4.611B,428.40M,7.848B,13.31B,,1.013B,1.013B,1.538B,2.551B,10.70M,920.40M,931.10M,,931.10M,,,215.90M,3.698B,,3.437B,,3.437B,,,,,,,1.133B,4.570B,8.267B,,2.831B,2.671B,757.40M,1.186B,,,,-31.90M,5.042B,,,
2005-08,501.40M,501.40M,1.287B,,1.287B,1.111B,101.30M,1.394B,150.50M,2.756B,736.90M,8.50M,5.290B,,,,,,,5.764B,-2.930B,2.834B,,4.613B,4.613B,444.80M,7.893B,13.18B,,926.90M,926.90M,1.536B,2.463B,10.80M,119.10M,129.90M,,129.90M,,,133.00M,2.726B,,4.344B,,4.344B,,,,,,,1.122B,5.465B,8.191B,,2.830B,2.649B,755.20M,1.197B,,,,-46.30M,4.992B,,,
2005-05,207.60M,207.60M,1.261B,,1.261B,1.036B,62.00M,1.056B,,2.154B,631.30M,521.50M,4.775B,0.00,135.10M,3.694B,792.20M,,166.00M,4.787B,-2.422B,2.365B,3.452B,801.00M,4.252B,1.650B,8.268B,13.04B,,781.60M,781.60M,1.517B,2.299B,8.50M,117.30M,125.80M,,125.80M,,,215.20M,2.640B,,4.349B,,4.349B,,,,,,,1.195B,5.544B,8.183B,,2.830B,2.438B,761.60M,1.209B,,,,39.30M,4.859B,,,
2005-02,8.60M,8.60M,1.40B,,1.40B,1.216B,110.00M,1.469B,187.10M,2.982B,413.90M,139.70M,4.945B,,,,,,,5.903B,-2.994B,2.910B,,4.623B,4.623B,844.40M,8.377B,13.32B,,977.40M,977.40M,1.523B,2.501B,57.70M,115.60M,173.30M,,173.30M,,,250.20M,2.924B,,4.353B,,4.353B,,,,,,,1.152B,5.506B,8.430B,,2.830B,2.475B,756.40M,1.225B,,,,55.20M,4.892B,,,
2004-11,353.20M,353.20M,1.537B,,1.537B,1.306B,131.00M,1.312B,212.40M,2.962B,326.10M,309.60M,5.487B,,,,,,,5.863B,-2.895B,2.968B,,4.641B,4.641B,1.106B,8.715B,14.20B,,1.161B,1.161B,1.460B,2.621B,4.40M,766.40M,770.80M,,770.80M,,,258.90M,3.651B,,4.589B,,4.589B,,,,,,,1.101B,5.690B,9.341B,,2.830B,2.498B,754.90M,1.294B,,,,71.60M,4.861B,,,
2004-08,369.80M,369.80M,1.350B,,1.350B,998.20M,104.30M,1.346B,191.40M,2.640B,368.20M,175.40M,4.903B,,,,,,,5.745B,-2.839B,2.906B,,4.628B,4.628B,1.584B,9.118B,14.02B,,873.50M,873.50M,1.423B,2.297B,22.40M,366.90M,389.30M,,389.30M,,,267.90M,2.954B,,5.287B,,5.287B,,,,,,,1.12B,6.407B,9.361B,,2.829B,2.397B,754.90M,1.311B,,,,-9.80M,4.660B,,,
2004-05,608.60M,608.60M,1.324B,60.30M,1.384B,1.132B,75.00M,1.202B,172.20M,2.581B,439.80M,135.60M,5.149B,0.00,160.60M,4.390B,688.30M,,319.60M,5.558B,-2.721B,2.837B,,4.616B,4.616B,1.62B,9.073B,14.22B,,940.80M,940.80M,1.352B,2.293B,30.60M,382.40M,413.00M,,413.00M,,,298.90M,3.004B,,5.281B,,5.281B,,,,,,,1.143B,6.424B,9.428B,,2.829B,2.349B,755.70M,1.124B,,,,-16.40M,4.794B,,,
2004-02,533.70M,533.70M,1.238B,36.00M,1.274B,1.454B,91.80M,1.285B,195.90M,3.027B,501.80M,145.70M,5.483B,,,,,,,5.675B,-2.808B,2.867B,,4.631B,4.631B,1.494B,8.993B,14.48B,,857.50M,857.50M,1.554B,2.412B,42.60M,373.10M,415.70M,,415.70M,,,355.90M,3.184B,,5.312B,,5.312B,,,,,,,1.104B,6.416B,9.600B,,2.829B,2.320B,742.90M,912.80M,,,,-102.40M,4.876B,,,
2003-11,26.70M,26.70M,1.150B,865.50M,2.015B,1.687B,118.10M,1.301B,129.90M,3.235B,356.90M,138.40M,5.772B,,,,,,,5.391B,-2.727B,2.663B,,4.637B,4.637B,1.460B,8.760B,14.53B,,1.221B,1.221B,1.534B,2.755B,106.30M,324.10M,430.40M,,430.40M,,,347.00M,3.532B,,4.966B,,4.966B,,,,,,175.00M,961.30M,6.102B,9.634B,,2.829B,2.255B,734.70M,690.80M,,,,-228.90M,4.898B,,,
2003-08,680.70M,680.70M,1.571B,,1.571B,1.072B,89.10M,2.158B,123.70M,3.443B,562.50M,316.10M,6.574B,,,,,,,5.462B,-2.668B,2.794B,,4.664B,4.664B,1.507B,8.966B,15.54B,,1.616B,1.616B,,1.616B,161.90M,520.40M,682.30M,,682.30M,,,2.070B,4.369B,,5.284B,,5.284B,,,,,,175.00M,967.40M,6.427B,10.80B,,2.829B,2.144B,719.90M,691.00M,,,,-258.20M,4.744B,,,
2003-05,628.60M,628.60M,800.90M,,800.90M,884.40M,91.60M,1.221B,258.90M,2.456B,669.30M,1.505B,6.060B,0.00,165.00M,4.196B,582.70M,,167.80M,5.112B,-2.434B,2.678B,,4.632B,4.632B,1.702B,9.012B,15.07B,,788.10M,788.10M,1.397B,2.185B,1.60M,508.70M,510.30M,,510.30M,,,1.108B,3.803B,,5.395B,,5.395B,,,,,,175.00M,1.076B,6.646B,10.45B,,2.828B,2.080B,725.70M,686.40M,,,,-326.20M,4.622B,,,
2003-02,78.00M,78.00M,1.486B,,1.486B,1.520B,90.30M,2.205B,179.30M,3.995B,715.80M,,6.275B,,,,,,,6.298B,-3.035B,3.263B,,4.750B,4.750B,1.224B,9.237B,15.51B,,1.505B,1.505B,1.877B,3.382B,182.70M,508.50M,691.20M,,691.20M,,,201.50M,4.275B,,5.375B,,5.375B,,,,,,175.00M,1.046B,6.597B,10.87B,,2.828B,2.061B,729.60M,686.50M,,,,-291.60M,4.640B,,,
2002-11,26.20M,26.20M,1.783B,,1.783B,1.656B,108.60M,2.375B,123.60M,4.263B,653.00M,,6.725B,,,,,,,6.241B,-2.956B,3.285B,,4.669B,4.669B,1.230B,9.183B,15.91B,,1.781B,1.781B,1.699B,3.480B,607.80M,508.60M,1.116B,,1.116B,,,171.90M,4.769B,,5.338B,,5.338B,,,,,,175.00M,1.046B,6.559B,11.33B,,2.828B,2.031B,740.30M,687.30M,,,,-330.90M,4.581B,,,
2002-08,17.40M,17.40M,2.026B,,2.026B,1.685B,106.20M,2.768B,157.50M,4.717B,679.70M,,7.439B,,,,,,,7.243B,-3.394B,3.849B,,4.747B,4.747B,433.30M,9.030B,16.47B,,1.608B,1.608B,1.763B,3.371B,1.230B,208.50M,1.438B,,1.438B,,,180.40M,4.989B,,5.834B,,5.834B,,,,,,175.00M,997.40M,7.006B,12.00B,,2.828B,1.926B,754.80M,684.00M,,,,-350.60M,4.474B,,,
2002-05,157.90M,157.90M,1.276B,,1.276B,1.587B,103.50M,2.285B,101.90M,4.077B,576.40M,346.10M,6.434B,0.00,274.60M,5.176B,632.10M,,296.30M,6.379B,-2.929B,3.450B,,4.786B,4.786B,901.10M,9.137B,15.57B,,2.104B,2.104B,1.453B,3.557B,30.90M,209.00M,239.90M,,239.90M,,,516.70M,4.313B,,5.726B,,5.726B,,,,,,175.00M,1.048B,6.949B,11.26B,,2.828B,1.822B,737.20M,676.80M,,,,-401.60M,4.308B,,,
2002-02,30.70M,30.70M,2.044B,,2.044B,,,,,4.811B,616.50M,,7.502B,,,,,,,7.030B,-3.157B,3.873B,,4.768B,4.768B,404.70M,9.046B,16.55B,,2.359B,2.359B,,2.359B,1.048B,256.90M,1.305B,,1.305B,,,1.916B,5.580B,,5.784B,,5.784B,,,,,,175.00M,829.10M,6.788B,12.37B,,2.827B,1.753B,739.80M,676.10M,,,,-464.30M,4.180B,,,
2001-11,25.70M,25.70M,2.343B,,2.343B,,,,,5.126B,594.30M,,8.089B,,,,,,,6.992B,-3.144B,3.848B,,4.716B,4.716B,410.70M,8.974B,17.06B,,2.185B,2.185B,1.628B,3.812B,1.483B,69.20M,1.553B,,1.553B,,,252.40M,5.618B,,5.954B,,5.954B,,,,,,525.00M,833.00M,7.312B,12.93B,,2.827B,1.710B,729.50M,675.90M,,,,-457.90M,4.133B,,,
2001-08,25.90M,25.90M,2.451B,,2.451B,,,,,4.952B,612.10M,,8.041B,,,,,,,6.932B,-3.075B,3.856B,,4.772B,4.772B,395.50M,9.023B,17.06B,,2.156B,2.156B,1.911B,4.068B,3.551B,122.90M,3.674B,,3.674B,,,,7.741B,,3.934B,,3.934B,,,,,,525.00M,836.80M,5.296B,13.04B,,2.827B,1.602B,702.90M,672.00M,,,,-432.90M,4.027B,,,
2001-05,198.10M,198.10M,1.605B,,1.605B,,,,,5.071B,487.70M,,7.363B,0.00,125.40M,,5.777B,640.30M,308.50M,6.851B,-2.966B,3.885B,,4.840B,4.840B,393.30M,9.118B,16.48B,,2.290B,2.290B,1.497B,3.786B,2.677B,123.10M,2.800B,,2.800B,,,349.00M,6.936B,,4.110B,,4.110B,,,,,,525.00M,927.50M,5.562B,12.50B,,2.827B,1.535B,682.50M,672.90M,,-120.70M,-267.20M,-387.90M,3.983B,,,
2001-02,24.40M,24.40M,,,2.244B,,,,,4.987B,,538.00M,7.794B,,,,,,,7.144B,-3.164B,3.98B,,4.770B,4.770B,657.10M,9.407B,17.20B,,2.136B,2.136B,,2.136B,,,3.255B,,3.255B,,,1.856B,7.248B,,4.161B,,4.161B,,,,,525.00M,,1.179B,5.340B,12.59B,,2.826B,1.635B,678.30M,676.60M,,-109.60M,-265.60M,-375.20M,4.088B,,,
2000-11,82.70M,82.70M,,,2.595B,,,,,5.153B,,481.50M,8.312B,,,,,,,7.050B,-3.084B,3.967B,,4.389B,4.389B,650.20M,9.006B,17.32B,,2.031B,2.031B,,2.031B,,,3.848B,,3.848B,,,1.870B,7.749B,,4.169B,,4.169B,,,,,525.00M,,806.40M,4.975B,12.72B,,2.826B,1.651B,761.50M,692.70M,,-127.40M,-350.10M,-477.50M,4.068B,,,
2000-08,82.00M,82.00M,,,2.638B,,,,,4.452B,,478.80M,7.652B,,,,,,,6.828B,-2.950B,3.878B,,4.607B,4.607B,412.90M,8.898B,16.55B,,2.066B,2.066B,,2.066B,,,3.557B,,3.557B,,,1.594B,7.218B,,4.149B,,4.149B,,,,,525.00M,,770.30M,4.920B,12.14B,,2.826B,1.470B,729.10M,764.10M,,-94.50M,-279.20M,-373.70M,3.887B,,,
2000-05,157.60M,157.60M,1.242B,,1.242B,,,,,4.056B,404.80M,,5.860B,,,,,,,6.442B,-2.858B,3.584B,,2.366B,2.366B,386.70M,6.337B,12.20B,,2.042B,2.042B,1.234B,3.277B,1.256B,20.60M,1.276B,,1.276B,,,912.70M,5.465B,,2.567B,,2.567B,,,,,,525.00M,750.70M,3.842B,9.308B,,2.621B,1.345B,147.50M,760.20M,,-103.10M,-361.50M,-464.60M,2.889B,,,
2000-02,17.40M,17.40M,,,1.974B,,,,,4.237B,,307.30M,6.535B,,,,,,,6.766B,-3.013B,3.753B,,2.404B,2.404B,423.00M,6.58B,13.12B,,2.130B,2.130B,,2.130B,,,2.425B,,2.425B,,,1.511B,6.067B,,2.622B,,2.622B,,,,,525.00M,,809.50M,3.431B,9.498B,,2.621B,1.537B,38.30M,759.30M,,-79.50M,-264.90M,-344.40M,3.092B,,,
1999-11,9.60M,9.60M,,,2.528B,,,,,4.379B,,305.20M,7.221B,,,,,,,6.447B,-2.887B,3.560B,,2.384B,2.384B,412.70M,6.356B,13.58B,,2.130B,2.130B,,2.130B,,,2.781B,,2.781B,,,1.694B,6.604B,,2.601B,,2.601B,,,,,525.00M,,802.50M,3.404B,10.01B,,2.620B,1.486B,161.90M,757.30M,,-70.30M,-396.30M,-466.60M,3.044B,,,
1999-08,10.70M,10.70M,,,2.616B,,,,,4.012B,,334.80M,6.973B,,,,,,,6.389B,-2.784B,3.605B,,2.396B,2.396B,404.10M,6.406B,13.38B,,1.645B,1.645B,,1.645B,,,3.436B,,3.436B,,,1.473B,6.554B,,2.560B,,2.560B,,,,,525.00M,,790.90M,3.351B,9.905B,,2.619B,1.397B,175.00M,754.30M,,-72.40M,-416.10M,-488.50M,2.949B,,,
1999-05,62.80M,62.80M,1.449B,,1.449B,,,,,3.782B,296.80M,,5.592B,0.00,161.20M,5.206B,,426.90M,419.90M,6.214B,-2.600B,3.614B,,2.409B,2.409B,467.10M,6.49B,12.08B,,2.022B,2.022B,1.278B,3.300B,840.80M,21.10M,861.90M,,861.90M,,,1.204B,5.366B,,2.543B,,2.543B,,,,,,525.00M,783.20M,3.851B,9.217B,,2.598B,1.325B,219.40M,749.90M,,-65.90M,-462.80M,-528.70M,2.864B,,,
1999-02,22.90M,22.90M,,,2.448B,,,,,4.008B,,320.70M,6.800B,,,,,,,6.228B,-2.580B,3.648B,,2.627B,2.627B,462.00M,6.737B,13.54B,,2.225B,2.225B,,2.225B,,,2.673B,,2.673B,,,1.558B,6.456B,,2.638B,,2.638B,,,,,525.00M,,787.80M,3.426B,9.882B,,,1.595B,,,,,,,3.130B,,,
1998-11,44.30M,44.30M,,,2.687B,,,,,4.190B,,318.70M,7.240B,,,,,,,6.087B,-2.486B,3.601B,,2.641B,2.641B,465.90M,6.707B,13.95B,,1.824B,1.824B,,1.824B,,,3.448B,,3.448B,,,1.710B,6.982B,,2.604B,,2.604B,,,,,525.00M,,784.60M,3.389B,10.37B,,,1.508B,,,,,,,3.051B,,,
1998-08,10.80M,10.80M,,,2.689B,,,,,3.806B,,367.60M,6.873B,,,,,,,5.913B,-2.391B,3.522B,,2.695B,2.695B,438.60M,6.655B,13.53B,,1.052B,1.052B,,1.052B,,,4.216B,,4.216B,,,1.491B,6.758B,,2.532B,,2.532B,,,,,525.00M,,830.70M,3.362B,10.12B,,,1.374B,,,,,,,2.883B,,,
1998-05,108.40M,108.40M,,,1.547B,,,,,3.541B,,341.60M,5.538B,,,,,,,5.761B,-2.311B,3.450B,,2.392B,2.392B,429.40M,6.271B,11.81B,,1.971B,1.971B,,1.971B,,,910.80M,,910.80M,,,2.212B,5.094B,,2.504B,,2.504B,,,,,525.00M,,847.30M,3.351B,8.444B,,,1.338B,,,,,,,2.839B,,,
1998-02,39.60M,39.60M,,,2.212B,,,,,3.937B,,403.70M,6.592B,,,,,,,5.519B,-2.248B,3.271B,,2.387B,2.387B,394.30M,6.052B,12.64B,,2.062B,2.062B,,2.062B,,,2.485B,,2.485B,,,1.559B,6.106B,,2.442B,,2.442B,,,,,525.00M,,902.10M,3.345B,9.450B,,,1.229B,,,,,,,2.669B,,,
1997-11,62.20M,62.20M,,,2.501B,,,,,4.096B,,381.70M,7.040B,,,,,,,5.342B,-2.129B,3.213B,,2.403B,2.403B,404.20M,6.020B,13.06B,,1.880B,1.880B,,1.880B,,,3.080B,,3.080B,,,1.737B,6.696B,,2.393B,,2.393B,,,,,525.00M,,888.20M,3.281B,9.977B,,,1.235B,,,,,,,2.558B,,,
1997-08,26.00M,26.00M,,,2.377B,,,,,3.624B,,416.00M,6.444B,,,,,,,5.273B,-2.065B,3.208B,,2.421B,2.421B,373.80M,6.002B,12.45B,,1.064B,1.064B,,1.064B,,,3.574B,,3.574B,,,1.648B,6.286B,,2.322B,,2.322B,,,,,525.00M,,918.90M,3.241B,9.527B,,,1.067B,,,,,,,2.393B,,,
1997-05,105.80M,105.80M,,,1.368B,,,,,3.343B,,388.70M,5.205B,,,,,,,5.274B,-2.032B,3.242B,,2.434B,2.434B,395.60M,6.072B,11.28B,,1.895B,1.895B,,1.895B,,,881.90M,,881.90M,,,2.213B,4.990B,,2.356B,,2.356B,,,,,525.00M,,935.10M,3.291B,8.280B,,,2.061B,,,,,,,2.472B,,,
1997-02,64.50M,64.50M,,,2.053B,,,,,3.692B,,434.10M,6.244B,,,,,,,5.169B,-2.091B,3.078B,,2.446B,2.446B,409.60M,5.934B,12.18B,,2.025B,2.025B,,2.025B,,,2.333B,,2.333B,,,1.629B,5.988B,,2.334B,,2.334B,,,,,,,1.436B,3.77B,9.758B,,,1.936B,,,,,,,2.420B,,,
1996-11,78.40M,78.40M,,,2.469B,,,,,4.08B,,433.70M,7.061B,,,,,,,5.028B,-2.010B,3.017B,,2.460B,2.460B,415.80M,5.893B,12.95B,,1.977B,1.977B,,1.977B,,,3.221B,,3.221B,,,1.622B,6.821B,,2.307B,,2.307B,,,,,,,1.463B,3.771B,10.59B,,,1.852B,,,,,,,2.363B,,,
1996-08,34.50M,34.50M,,,2.377B,,,,,3.427B,,439.40M,6.277B,,,,,,,4.846B,-1.949B,2.897B,,2.457B,2.457B,390.40M,5.744B,12.02B,,861.50M,861.50M,,861.50M,,,3.602B,,3.602B,,,1.599B,6.062B,,2.252B,,2.252B,,,,,,,1.485B,3.737B,9.800B,,,12.02B,,,,,,,2.222B,,,
1996-05,113.70M,113.70M,,,1.428B,,,,,3.573B,,451.40M,5.567B,,,,,,,4.736B,-1.915B,2.820B,,2.406B,2.406B,403.60M,5.630B,11.20B,,1.857B,1.857B,,1.857B,,,558.80M,,558.80M,,,2.778B,5.194B,,2.263B,,2.263B,,,,,525.00M,,959.50M,3.222B,8.416B,,,1.684B,,,,,,,2.256B,,,
1996-02,59.10M,59.10M,,,2.122B,,,,,3.949B,,377.40M,6.507B,,,,,,,5.291B,-2.008B,3.283B,,2.549B,2.549B,415.60M,6.248B,12.76B,,1.786B,1.786B,,1.786B,,,2.947B,,2.947B,,,1.767B,6.500B,,2.350B,,2.350B,,,,,,,1.430B,3.78B,10.28B,,,1.931B,,,,,,,2.475B,,,
1995-11,46.40M,46.40M,,,2.531B,,,,,3.961B,,384.50M,6.923B,,,,,,,5.175B,-1.936B,3.239B,,2.565B,2.565B,449.30M,6.254B,13.18B,,1.707B,1.707B,,1.707B,,,3.242B,,3.242B,,,1.662B,6.610B,,2.477B,,2.477B,,,,,,,1.429B,3.906B,10.52B,,27.90M,1.859B,,,27.90M,,,,2.660B,,,
1995-08,92.20M,92.20M,,,2.472B,,,,,3.510B,,401.50M,6.476B,,,,,,,4.666B,-1.800B,2.866B,,2.519B,2.519B,429.70M,5.814B,12.29B,,1.004B,1.004B,,1.004B,,,3.171B,,3.171B,,,1.653B,5.828B,,2.414B,,2.414B,,,,,,,1.445B,3.860B,9.688B,,269.50M,1.748B,,,269.50M,,,,2.603B,,,
1995-05,60.00M,60.00M,,,1.54B,,,,,3.167B,,372.90M,5.140B,,,,,,,4.538B,-1.742B,2.796B,,2.420B,2.420B,444.70M,5.661B,10.80B,,1.575B,1.575B,,1.575B,,,47.90M,,47.90M,,,2.342B,3.965B,,2.52B,,2.52B,,,,,,,1.466B,3.986B,7.951B,,354.90M,1.712B,,,354.90M,,,,2.850B,,,
1995-02,111.00M,111.00M,,,2.101B,,,,,3.654B,,237.70M,6.104B,,,,,,,4.473B,-1.733B,2.740B,,2.776B,2.776B,421.50M,5.937B,12.04B,,1.666B,1.666B,,1.666B,,,2.110B,,2.110B,,,1.723B,5.499B,,2.150B,,2.150B,,,,,,,1.625B,3.774B,9.274B,,355.60M,1.615B,,,355.60M,,,,2.768B,,,
1994-11,59.40M,59.40M,,,2.411B,,,,,3.615B,,532.00M,6.617B,,,,,,,4.407B,-1.688B,2.719B,,2.750B,2.750B,429.20M,5.899B,12.52B,,1.516B,1.516B,,1.516B,,,2.743B,,2.743B,,,1.988B,6.247B,,2.184B,,2.184B,,,,,,,1.058B,3.241B,9.488B,,630.60M,1.550B,,,630.60M,,,,3.028B,,,
1994-08,42.10M,42.10M,,,2.407B,,,,,3.182B,,584.10M,6.215B,,,,,,,4.325B,-1.630B,2.696B,,2.626B,2.626B,398.90M,5.721B,11.94B,,1.031B,1.031B,,1.031B,,,2.984B,,2.984B,,,1.760B,5.776B,,2.190B,,2.190B,,,,,,,1.065B,3.255B,9.031B,,630.60M,1.453B,,,630.60M,,,,2.904B,,,
1994-05,166.40M,166.40M,,,1.590B,,,,,3.170B,,216.90M,5.143B,,,,,,,4.150B,-1.564B,2.586B,,2.626B,2.626B,365.80M,5.578B,10.72B,,1.610B,1.610B,,1.610B,,,539.70M,,539.70M,,,2.603B,4.753B,,2.207B,,2.207B,,,,,,,1.080B,3.286B,8.039B,,455.60M,1.423B,,,455.60M,,,,2.682B,,,
1994-02,76.20M,76.20M,,,2.294B,,,,,3.342B,,530.00M,6.242B,,,,,,,4.034B,-1.509B,2.525B,,2.646B,2.646B,369.30M,5.540B,11.78B,,1.509B,1.509B,,1.509B,,,2.737B,,2.737B,,,1.831B,6.077B,,2.074B,,2.074B,,,,,,,1.146B,3.220B,9.297B,,355.60M,1.338B,,,355.60M,,,,2.485B,,,
1993-11,75.30M,75.30M,,,2.343B,,,,,3.519B,,519.30M,6.456B,,,,,,,3.928B,-1.436B,2.492B,,2.652B,2.652B,372.80M,5.518B,11.97B,,1.481B,1.481B,,1.481B,,,2.912B,,2.912B,,,1.901B,6.294B,,2.124B,,2.124B,,,,,,,1.143B,3.267B,9.561B,,355.90M,1.280B,,,355.90M,,,,2.413B,,,
1993-08,76.80M,76.80M,,,2.130B,,,,,2.995B,,429.20M,5.631B,,,,,,,3.762B,-1.388B,2.375B,,2.652B,2.652B,433.50M,5.460B,11.09B,,946.30M,946.30M,,946.30M,,,2.688B,,2.688B,,,1.734B,5.369B,,2.147B,,2.147B,,,,,,,1.14B,3.287B,8.656B,,355.90M,1.193B,,,355.90M,,,,2.435B,,,
