,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,LiabilityonCreditLine,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2007-12,334.08M,,334.08M,438.13M,438.13M,139.50M,44.00M,76.10M,-0.029M,259.57M,60.40M,,125.54M,,1.218B,,,,,,,395.68M,-214.80M,180.88M,208.84M,,208.84M,,,,546.47M,1.764B,,2007-12,96.98M,,96.98M,245.42M,342.40M,,,26.97M,,26.97M,124.92M,124.92M,,233.06M,727.35M,40.33M,,40.33M,,,,,133.63M,,2007-12,125.49M,400.45M,346.93M,-9.977M,862.88M,,2007-12,,
2007-09,263.25M,,263.25M,507.04M,507.04M,124.20M,41.50M,68.00M,0.043M,233.74M,49.59M,,106.61M,,1.160B,0.00,11.40M,138.30M,213.10M,0.754M,22.90M,386.45M,-214.80M,171.65M,205.55M,,205.55M,,,,524.15M,1.684B,,2007-09,92.60M,,92.60M,292.35M,384.95M,,,49.97M,,49.97M,101.84M,108.54M,6.70M,238.23M,781.69M,40.39M,,40.39M,,,,,40.85M,,2007-09,125.22M,395.74M,311.41M,-10.91M,821.46M,,2007-09,,
2007-06,192.79M,,192.79M,431.48M,431.48M,139.00M,35.60M,101.40M,0.048M,276.05M,57.46M,,102.53M,,1.060B,,,,,,,345.52M,-188.70M,156.82M,170.18M,,170.18M,,,,469.25M,1.530B,,2007-06,82.04M,,82.04M,249.15M,331.19M,,,8.966M,,8.966M,92.49M,92.49M,,223.56M,656.21M,40.44M,,40.44M,,,,,27.20M,,2007-06,126.42M,381.72M,302.09M,-4.531M,805.69M,,2007-06,,
2007-03,288.78M,,288.78M,421.39M,421.39M,,,,,267.68M,34.33M,,102.18M,,1.114B,,,,,,,335.96M,-188.70M,147.26M,153.96M,,153.96M,,,,426.97M,1.541B,,2007-03,78.29M,,78.29M,256.04M,334.33M,,,7.962M,,7.962M,92.63M,92.63M,,209.99M,644.91M,55.92M,,55.92M,,,,,25.71M,,2007-03,127.89M,394.26M,297.18M,-4.531M,814.79M,,2007-03,,
2006-12,264.27M,98.58M,362.84M,395.84M,395.84M,124.90M,11.30M,87.50M,0.012M,223.71M,32.31M,,100.55M,,1.115B,,,,,,,324.47M,-188.70M,135.77M,121.39M,,121.39M,,,,377.40M,1.493B,,2006-12,73.42M,,73.42M,249.34M,322.77M,,,7.958M,,7.958M,112.80M,112.80M,,177.94M,621.47M,49.30M,,49.30M,,,,,22.72M,,2006-12,128.89M,394.03M,280.78M,-4.531M,799.17M,,2006-12,,
2006-09,272.51M,93.60M,366.11M,471.82M,471.82M,108.50M,14.40M,66.80M,,189.65M,25.95M,,102.52M,,1.156B,0.00,11.10M,111.70M,183.50M,0.818M,11.90M,319.02M,-188.70M,130.32M,121.39M,,121.39M,,,,355.70M,1.512B,,2006-09,77.98M,,77.98M,265.75M,343.74M,,,7.954M,,7.954M,117.81M,117.81M,,174.45M,643.96M,49.36M,,49.36M,,,,,21.19M,,2006-09,129.72M,406.85M,265.21M,-4.531M,797.25M,,2006-09,,
2006-06,324.71M,46.27M,370.98M,396.05M,396.05M,,,,,196.58M,32.03M,,,101.15M,1.097B,,,,,,,305.86M,-182.36M,123.50M,121.39M,,121.39M,,,,320.06M,1.417B,,2006-06,76.12M,,76.12M,300.34M,376.46M,,,7.951M,,7.951M,,,,174.07M,558.48M,49.41M,,49.41M,,,,,56.82M,,2006-06,130.55M,382.58M,244.83M,-5.821M,752.14M,,2006-06,,
2006-03,266.26M,127.29M,393.56M,371.30M,371.30M,,,,,177.36M,27.47M,,101.33M,,1.071B,,,,,,,302.17M,-182.36M,119.81M,121.39M,,121.39M,,,,308.95M,1.380B,,2006-03,70.64M,,70.64M,282.83M,353.47M,,,2.697M,,2.697M,,,,167.70M,523.86M,57.21M,,57.21M,,,,,55.84M,,2006-03,131.80M,377.85M,239.22M,-5.821M,743.06M,,2006-03,,
2005-12,259.61M,125.82M,385.43M,341.28M,341.28M,102.10M,14.80M,62.95M,,179.85M,26.41M,,96.82M,,1.030B,,,,,,,304.15M,-187.09M,117.06M,,121.39M,121.39M,,,,308.13M,1.338B,,2005-12,57.05M,,57.05M,291.75M,348.81M,,,2.693M,,2.693M,,,,158.89M,510.39M,57.26M,,57.26M,,,,,54.93M,,2005-12,131.86M,393.16M,196.15M,-5.821M,715.36M,,2005-12,,
2005-09,243.09M,135.36M,378.44M,351.90M,351.90M,96.40M,16.30M,52.20M,,164.87M,26.21M,,95.47M,,1.017B,0.00,10.00M,98.00M,176.10M,1.90M,10.90M,296.90M,-182.36M,114.54M,,121.39M,121.39M,,,,300.51M,1.317B,,2005-09,71.01M,,71.01M,257.99M,329.00M,,,2.689M,,2.689M,96.70M,96.70M,,115.54M,543.93M,57.32M,,57.32M,,,,,57.12M,,2005-09,130.72M,383.67M,152.26M,-7.618M,659.03M,,2005-09,,
2005-06,181.05M,125.21M,306.27M,318.23M,318.23M,106.90M,15.10M,64.30M,,186.26M,40.22M,,81.13M,,932.10M,,,,,,,275.18M,-176.42M,98.76M,,122.24M,122.24M,,,,314.46M,1.247B,,2005-06,66.40M,,66.40M,293.72M,360.12M,,,2.603M,,2.603M,,,,157.83M,520.55M,53.18M,,53.18M,,,,,41.16M,,2005-06,131.24M,359.42M,142.99M,-1.985M,631.67M,,2005-06,,
2005-03,227.64M,107.03M,334.67M,314.38M,314.38M,,,,,178.72M,35.28M,,81.13M,,944.19M,,,,,,,268.31M,-176.42M,91.89M,,122.02M,122.02M,,,,307.06M,1.251B,,2005-03,69.24M,,69.24M,277.26M,346.49M,,,5.351M,,5.351M,,,,164.26M,516.11M,55.71M,,55.71M,,,,,41.74M,,2005-03,132.72M,357.73M,149.52M,-2.279M,637.69M,,2005-03,,
2004-12,226.09M,98.54M,324.63M,285.06M,285.06M,,,,,163.54M,41.47M,,81.13M,,895.83M,,,,,,,262.96M,-171.71M,91.26M,,112.65M,112.65M,,,,297.43M,1.193B,,2004-12,57.97M,,57.97M,262.09M,320.05M,,,5.349M,,5.349M,,,,145.23M,470.64M,55.73M,,55.73M,,,,,42.36M,,2004-12,133.54M,347.98M,143.72M,-0.707M,624.54M,,2004-12,,
2004-09,132.87M,219.08M,351.95M,288.66M,288.66M,90.60M,8.20M,45.60M,,144.39M,29.45M,,81.13M,,895.58M,0.00,6.30M,76.30M,159.90M,3.612M,8.60M,254.71M,-169.34M,85.38M,,112.65M,112.65M,,,,285.06M,1.181B,,2004-09,59.64M,,59.64M,233.57M,293.21M,,,5.25M,,5.25M,62.60M,62.60M,,100.28M,461.34M,53.25M,,53.25M,,,,,41.89M,,2004-09,134.04M,357.24M,133.98M,-1.11M,624.16M,,2004-09,,
2004-06,270.34M,83.69M,354.03M,255.97M,255.97M,81.54M,8.935M,42.92M,,133.40M,,,,118.11M,861.50M,,,,,,,248.74M,-165.89M,82.84M,,111.53M,111.53M,,,,300.13M,1.162B,,2004-06,54.25M,,54.25M,242.10M,296.35M,,,5.25M,,5.25M,,,,143.39M,445.00M,53.25M,,53.25M,,,,,35.76M,,2004-06,136.21M,358.29M,138.03M,-4.908M,627.63M,,2004-06,,
2004-03,226.08M,113.30M,339.38M,269.21M,269.21M,78.87M,5.609M,39.35M,,123.83M,,,,120.99M,853.42M,,,,,,,243.57M,-162.22M,81.34M,,111.50M,111.50M,,,,296.43M,1.150B,,2004-03,49.38M,,49.38M,234.43M,283.82M,,,,,,,,,147.30M,431.12M,58.50M,,58.50M,,,,,36.40M,,2004-03,68.46M,356.55M,203.99M,-5.171M,623.83M,,2004-03,,
2003-12,210.59M,126.34M,336.93M,231.27M,231.27M,83.00M,7.275M,34.30M,,124.57M,,,,122.35M,815.12M,0.00,238.09M,,,,,238.09M,-158.13M,79.96M,,88.76M,88.76M,,,,263.48M,1.079B,,2003-12,47.70M,,47.70M,233.65M,281.34M,,,,,,,,,134.42M,415.77M,58.50M,,58.50M,,,,,24.70M,,2003-12,68.05M,342.72M,174.30M,-5.434M,579.64M,,2003-12,,
2003-09,210.45M,112.13M,322.58M,252.26M,252.26M,81.59M,5.923M,29.30M,,116.82M,,,,113.87M,805.52M,0.00,6.00M,71.90M,151.20M,3.577M,3.40M,236.08M,-154.90M,81.17M,,59.98M,59.98M,,,,247.96M,1.053B,,2003-09,47.17M,,47.17M,240.41M,287.58M,,,,,,,,,121.84M,409.42M,58.50M,,58.50M,,,,,21.90M,,2003-09,67.97M,341.86M,159.54M,-5.697M,563.68M,,2003-09,,
2003-06,210.80M,97.01M,307.80M,228.50M,228.50M,,,,,130.52M,,,,107.85M,774.67M,,,,,,,233.58M,-153.14M,80.45M,,59.98M,59.98M,,,,230.25M,1.005B,,2003-06,47.55M,,47.55M,215.39M,262.94M,,,,,,,,,123.60M,386.54M,58.50M,,58.50M,,,,,19.23M,,2003-06,68.22M,327.61M,149.89M,-5.073M,540.64M,,2003-06,,
2003-03,178.18M,64.41M,242.59M,239.47M,239.47M,83.83M,12.60M,30.34M,,126.76M,91.16M,,,,699.98M,,,,,,,231.54M,-151.87M,79.67M,,59.98M,59.98M,,,,275.12M,975.10M,,2003-03,44.47M,,44.47M,210.22M,254.69M,,,,,,,,,122.94M,377.63M,58.50M,,58.50M,,,,,19.70M,,2003-03,68.18M,315.21M,141.22M,-5.336M,519.27M,,2003-03,,
2002-12,166.20M,46.02M,212.22M,207.43M,207.43M,89.69M,11.12M,34.88M,,135.69M,,,,88.60M,643.93M,,,,,,,227.66M,-148.34M,79.31M,,60.00M,60.00M,,,,269.88M,913.81M,,2002-12,38.79M,,38.79M,193.72M,232.51M,0.058M,,0.058M,,0.058M,,,,116.18M,348.75M,58.50M,,58.50M,,,,,20.01M,,2002-12,67.86M,298.96M,125.34M,-5.599M,486.56M,,2002-12,,
2002-09,160.28M,41.04M,201.32M,237.34M,237.34M,81.90M,10.70M,31.22M,,123.82M,88.88M,,,,651.36M,0.00,5.80M,68.20M,144.80M,7.524M,,226.32M,-144.18M,82.14M,,60.00M,60.00M,,,,258.92M,910.28M,,2002-09,45.78M,,45.78M,199.84M,245.61M,0.058M,,0.058M,,0.058M,,,,112.41M,358.08M,58.50M,,58.50M,,,,,20.89M,,2002-09,67.79M,292.46M,118.28M,-5.72M,472.80M,,2002-09,,
2002-06,162.03M,29.99M,192.02M,221.26M,221.26M,82.04M,10.80M,41.24M,,134.07M,,,,65.35M,612.70M,,,,,,,222.03M,-142.04M,79.99M,,52.46M,52.46M,,,,229.27M,841.97M,,2002-06,41.30M,,41.30M,163.92M,205.22M,0.116M,,0.116M,,0.116M,,,,105.26M,310.59M,58.50M,,58.50M,,,,,18.45M,,2002-06,68.03M,273.79M,116.06M,-3.45M,454.43M,,2002-06,,
2002-03,201.16M,9.986M,211.15M,218.76M,218.76M,78.97M,9.706M,33.47M,,122.15M,,,,66.49M,618.55M,,,,,,,215.84M,-138.98M,76.86M,,52.43M,52.43M,,,,192.37M,810.92M,,2002-03,43.51M,,43.51M,162.55M,206.06M,0.116M,,0.116M,,0.116M,,,,100.10M,306.28M,58.50M,,58.50M,,,,,18.69M,,2002-03,67.56M,261.32M,102.28M,-3.71M,427.45M,,2002-03,,
2001-12,239.53M,,239.53M,205.12M,205.12M,78.64M,10.29M,35.00M,,123.93M,,,,59.97M,628.55M,,,,,,,209.76M,-135.22M,74.53M,,,,,,,140.97M,769.52M,,2001-12,43.47M,,43.47M,155.09M,198.56M,0.174M,,0.174M,,0.174M,,,,91.43M,290.17M,58.50M,,58.50M,,,,,19.52M,,2001-12,67.28M,244.40M,93.62M,-3.976M,401.33M,,2001-12,,
2001-09,218.96M,,218.96M,227.79M,227.79M,72.70M,9.40M,29.68M,,111.78M,,,,60.97M,619.50M,0.00,5.80M,61.90M,134.00M,3.705M,3.70M,209.10M,-133.28M,75.83M,,,,,,,139.70M,759.20M,,2001-09,44.84M,,44.84M,149.42M,194.26M,0.174M,,0.174M,,0.174M,,,,90.92M,285.35M,58.50M,,58.50M,,,,,20.95M,,2001-09,33.68M,239.12M,125.84M,-4.247M,394.40M,,2001-09,,
2001-06,182.49M,,182.49M,210.20M,210.20M,,,,,116.40M,,,,47.54M,556.63M,,,,,,,209.15M,-132.35M,76.80M,,,,,,,147.69M,704.32M,,2001-06,44.90M,,44.90M,117.38M,162.27M,0.232M,,0.232M,,0.232M,,,,82.45M,244.96M,58.50M,,58.50M,,,,,21.95M,,2001-06,33.63M,232.24M,117.57M,-4.518M,378.92M,,2001-06,,
2001-03,151.66M,,151.66M,207.57M,207.57M,80.29M,12.10M,17.50M,,109.89M,,,,50.91M,520.02M,,,,,,,208.02M,-128.61M,79.40M,,,,,,,150.66M,670.68M,,2001-03,45.13M,,45.13M,120.47M,165.60M,0.428M,,0.428M,,0.428M,,,,87.74M,253.77M,58.50M,,58.50M,,,,,21.94M,,2001-03,33.01M,212.72M,95.54M,-4.789M,336.47M,,2001-03,,
2000-12,103.56M,,103.56M,212.02M,212.02M,,,,,109.78M,,,,49.91M,475.27M,,,,,,,209.66M,-129.88M,79.77M,,,,,,,153.08M,628.35M,,2000-12,51.59M,,51.59M,,51.59M,,,0.448M,,0.448M,,,,195.46M,247.50M,58.50M,,58.50M,,,,,22.36M,,2000-12,32.44M,197.17M,70.39M,,300.00M,,2000-12,,
2000-09,83.32M,,83.32M,226.44M,226.44M,,,,,92.48M,,,,48.34M,450.59M,,,,,,,206.61M,-126.52M,80.10M,,,,,,,151.96M,602.55M,,2000-09,41.35M,,41.35M,,41.35M,,,0.616M,,0.616M,,,,207.93M,249.90M,58.50M,,58.50M,,,,,23.80M,,2000-09,31.77M,187.72M,50.87M,,270.36M,,2000-09,,
2000-06,29.17M,,29.17M,,220.61M,,,,,101.00M,,,,45.57M,396.36M,,,,,,,203.94M,-123.09M,80.85M,,,,,,,155.36M,551.71M,,2000-06,32.77M,,32.77M,,32.77M,,,0.726M,,0.726M,,,,196.27M,229.77M,58.50M,,58.50M,,,,,24.67M,,2000-06,31.50M,163.94M,43.34M,,238.78M,,2000-06,,
2000-03,22.49M,,22.49M,,218.73M,,,,,99.38M,,,,46.21M,386.81M,,,,,,,203.70M,-121.69M,82.02M,,,,,,,157.70M,544.51M,,2000-03,39.45M,,39.45M,,39.45M,,,5.512M,,5.512M,,,,202.99M,247.95M,58.50M,,58.50M,,,,,24.56M,,2000-03,31.14M,149.82M,32.54M,,213.50M,,2000-03,,
1999-12,19.30M,,19.30M,,200.10M,,,,,92.80M,,,,48.90M,361.10M,,,,,,,200.60M,-120.90M,79.70M,,,,,,,155.90M,517.00M,,1999-12,36.50M,,36.50M,,36.50M,,,20.60M,,20.60M,,,,183.70M,240.80M,58.50M,,58.50M,,,,,25.00M,,1999-12,30.70M,139.50M,22.50M,,192.70M,,1999-12,,
1999-09,25.10M,,25.10M,,233.80M,,,,,78.30M,,,,45.00M,382.20M,,,,,,,200.30M,-120.10M,80.20M,,,,,,,157.00M,539.20M,,1999-09,40.10M,,40.10M,,40.10M,,,35.60M,,35.60M,,,,194.10M,269.80M,58.50M,,58.50M,,,,,25.90M,,1999-09,30.60M,134.20M,20.20M,,185.00M,,1999-09,,
1999-06,26.20M,,26.20M,,182.20M,,,,,92.90M,,,,70.60M,371.90M,,,,,,,192.50M,-118.40M,74.10M,,,,,,,149.40M,521.30M,,1999-06,33.40M,,33.40M,,33.40M,,,50.90M,,50.90M,,,,184.30M,268.60M,58.50M,,58.50M,,,,,28.00M,,1999-06,30.40M,135.80M,,,166.20M,,1999-06,,
