,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,EBITDA,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2001-09,228.05M,228.05M,140.76M,87.29M,35.88M,10.42M,,-5.052M,,,,,45.86M,41.42M,,,,-5.052M,,36.58M,13.01M,23.57M,,-13.84M,,47.51M,6.082M,41.42M,,2001-09,0.00,0.1992,0.0725,,2001-09,-0.1051,0.1933,0.0675,134.38M,139.50M,0.00,,2001-09,,
2001-06,191.42M,191.42M,119.60M,71.81M,31.45M,11.07M,,0.799M,,,,,42.51M,29.30M,,,,0.799M,,30.85M,11.33M,19.52M,,,,35.42M,6.123M,29.30M,,2001-06,,0.1437,0.1475,,2001-06,,0.1364,0.14,133.28M,139.06M,0.00,,2001-06,,
2001-03,200.07M,200.07M,124.75M,75.31M,36.04M,10.94M,,-0.275M,,,,,46.98M,28.34M,,,,-0.275M,,28.61M,10.66M,17.95M,,,,34.22M,5.878M,28.34M,,2001-03,,0.1363,0.135,,2001-03,,0.1313,0.13,130.92M,137.58M,0.00,,2001-03,,
2000-12,161.35M,161.35M,104.99M,56.36M,30.47M,11.17M,,-0.037M,,,,0.037M,41.68M,14.68M,,,,-0.037M,,14.88M,5.36M,9.521M,,-13.72M,,20.47M,5.793M,14.68M,,2000-12,0.00,0.0752,-0.035,,2000-12,-0.1068,0.0702,-0.035,128.43M,134.58M,0.00,,2000-12,,
2000-09,207.98M,207.98M,120.55M,87.44M,34.06M,10.32M,,-0.289M,,,,,50.16M,37.28M,,,,-0.289M,,37.49M,14.06M,23.43M,,,,43.05M,5.771M,37.28M,,2000-09,,0.1889,0.1875,,2000-09,,0.1814,0.18,126.38M,131.91M,0.00,,2000-09,,
2000-06,170.67M,170.67M,103.31M,67.36M,28.82M,10.05M,,0.062M,,,,,44.22M,23.14M,,,,0.062M,,22.46M,8.42M,14.04M,,,,28.50M,5.351M,23.14M,,2000-06,,0.1122,0.1125,,2000-06,,0.1072,0.1075,125.15M,131.50M,0.00,,2000-06,,
2000-03,169.80M,169.80M,108.75M,61.04M,31.97M,11.46M,,,,,,,43.43M,17.62M,,,,,,16.56M,6.21M,10.35M,,,,17.62M,,17.62M,,2000-03,,0.0825,0.0825,,2000-03,,0.08,0.08,123.60M,130.08M,0.00,,2000-03,,
1999-12,141.30M,141.30M,90.90M,50.40M,30.30M,10.30M,,,,,,,40.60M,9.80M,,,,,,8.30M,3.10M,5.20M,,,,9.80M,,9.80M,,1999-12,,0.0425,0.0425,,1999-12,,0.0425,0.0425,122.50M,125.44M,0.00,,1999-12,,
1999-09,191.60M,191.60M,74.70M,116.90M,36.20M,10.10M,,1.70M,,,,,83.70M,33.20M,,,,1.70M,,32.50M,18.70M,13.80M,-1.20M,,,33.20M,,33.20M,,1999-09,,0.1045,0.1031,,1999-09,,0.1045,0.1031,122.25M,122.25M,0.00,,1999-09,,
1999-06,144.50M,144.50M,95.30M,49.20M,23.20M,9.30M,,-0.40M,,,,,32.50M,16.70M,,,,-0.40M,,15.10M,8.50M,6.60M,,,,16.70M,,16.70M,,1999-06,,0.0295,0.0275,,1999-06,,0.0295,0.0275,121.73M,121.73M,0.00,,1999-06,,
