,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermReceivables,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,DerivativeContractLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity
2005-07,,1.263B,1.176B,2.439B,,,,2.077B,,97.00M,,537.00M,5.15B,,,,,,,,7.076B,-3.793B,3.283B,,,,,,,430.00M,3.713B,8.863B,1.225B,,1.225B,758.00M,1.983B,,,,,,,,,,50.00M,2.033B,,513.00M,,513.00M,,,,937.00M,1.45B,3.483B,54.00M,7.661B,2.354B,4.724B,35.00M,5.38B
2005-04,,1.354B,1.254B,2.608B,,,,1.917B,,1.008B,,502.00M,6.035B,,,,,,,,7.078B,-3.763B,3.315B,,,,,,,422.00M,3.737B,9.772B,1.175B,,1.175B,913.00M,2.088B,,,,,,,,,,168.00M,2.256B,,513.00M,,513.00M,,,,980.00M,1.493B,3.749B,54.00M,7.43B,2.286B,3.793B,46.00M,6.023B
2005-01,,2.245B,817.00M,3.062B,,,,1.814B,,1.015B,,413.00M,6.304B,0.0,1.038B,2.636B,2.847B,417.00M,231.00M,,7.169B,-3.793B,3.376B,,,,,,,368.00M,3.744B,10.05B,1.24B,,1.24B,924.00M,2.164B,,,,,,,,,,78.00M,2.242B,,1.886B,,1.886B,,,,984.00M,2.87B,5.112B,49.00M,7.181B,904.00M,3.238B,40.00M,4.936B
2004-10,,2.214B,514.00M,2.728B,,,,2.629B,21.00M,1.015B,,372.00M,6.765B,,,,,,,,6.877B,-3.684B,3.193B,,,,,,,273.00M,3.466B,10.23B,1.439B,,1.439B,951.00M,2.39B,,,,,,,,,,27.00M,2.417B,,1.893B,,1.893B,,,,623.00M,2.516B,4.933B,49.00M,6.951B,850.00M,2.587B,35.00M,5.298B
2004-07,,2.498B,484.00M,2.982B,,,,2.087B,146.00M,1.362B,,321.00M,6.898B,,,,,,,,6.799B,-3.611B,3.188B,,,,,,,269.00M,3.457B,10.36B,1.24B,,1.24B,824.00M,2.064B,,,,,272.00M,,272.00M,,,31.00M,2.367B,,2.015B,,2.015B,,,,613.00M,2.628B,4.995B,49.00M,6.706B,835.00M,2.249B,19.00M,5.36B
2004-04,,2.372B,909.00M,3.281B,,,,1.816B,,1.361B,,330.00M,6.788B,,,,,,,,6.838B,-3.611B,3.227B,,,,,,,282.00M,3.509B,10.30B,1.075B,,1.075B,833.00M,1.908B,,,,,271.00M,,271.00M,,,82.00M,2.261B,,2.317B,,2.317B,,,,613.00M,2.93B,5.191B,49.00M,6.532B,769.00M,2.261B,17.00M,5.106B
2004-01,,2.261B,1.073B,3.334B,,,,1.704B,,1.351B,,314.00M,6.703B,0.0,1.033B,2.66B,3.229B,362.00M,131.00M,,7.415B,-3.789B,3.626B,,,,,,,384.00M,4.01B,10.71B,1.178B,,1.178B,906.00M,2.084B,,,,,283.00M,,283.00M,,,180.00M,2.547B,,2.487B,,2.487B,,,,1.031B,3.518B,6.065B,49.00M,6.11B,732.00M,2.261B,18.00M,4.648B
2003-10,,2.037B,,2.037B,,,,2.595B,,1.354B,,335.15M,6.321B,,,,,,,,6.483B,-3.049B,3.434B,,,,,,,429.68M,3.863B,10.18B,1.243B,,1.243B,882.20M,2.125B,,,,,262.49M,,262.49M,,,181.25M,2.569B,,2.627B,,2.627B,,,,587.48M,3.215B,5.784B,48.70M,5.924B,711.09M,2.274B,-9.322M,4.401B
2003-07,,1.908B,,1.908B,,,,2.274B,,1.236B,,315.28M,5.733B,,,,,,,,6.560B,-3.049B,3.510B,,,,,,,427.62M,3.938B,9.671B,1.174B,,1.174B,822.93M,1.997B,,,,,,,,,,76.58M,2.074B,,2.909B,,2.909B,,,,581.90M,3.490B,5.564B,48.63M,5.662B,691.91M,2.275B,-20.13M,4.107B
2003-04,,2.818B,,2.818B,,,,2.111B,,,,321.63M,5.251B,,,,,,,,6.689B,-3.049B,3.640B,,408.05M,408.05M,,,,,4.048B,9.299B,926.79M,,926.79M,783.48M,1.710B,,,,,,,,,,208.38M,1.919B,,2.908B,,2.908B,,,,599.77M,3.507B,5.426B,48.54M,5.472B,670.23M,2.288B,-30.48M,3.873B
2003-01,,3.389B,,3.389B,,,,2.048B,,,,303.00M,5.74B,0.0,943.00M,2.242B,3.439B,-1.00M,203.00M,,6.826B,-3.049B,3.777B,,385.00M,385.00M,,,,,4.162B,9.902B,1.159B,,1.159B,1.067B,2.226B,,,,,500.00M,,500.00M,,,1.00M,2.727B,,2.896B,,2.896B,,,,621.00M,3.517B,6.244B,48.00M,5.289B,638.00M,2.288B,-30.00M,3.658B
2002-10,,2.501B,,2.501B,,,,2.821B,,,,330.91M,5.653B,,,,,,,,6.328B,-2.458B,3.870B,,385.39M,385.39M,,,,,4.255B,9.909B,1.444B,,1.444B,960.45M,2.404B,,,,,499.96M,,499.96M,,,200.27M,3.105B,,2.876B,,2.876B,,,,540.15M,3.416B,6.520B,48.36M,5.060B,620.91M,2.302B,-39.34M,3.389B
2002-07,,2.387B,,2.387B,,,,1.854B,,,,342.66M,4.583B,,,,,,,,6.466B,-2.458B,4.008B,,406.73M,406.73M,,,,,4.414B,8.998B,882.09M,,882.09M,877.73M,1.760B,,,,,500.00M,,500.00M,,,137.47M,2.397B,,2.873B,,2.873B,,,,563.57M,3.437B,5.834B,47.60M,4.965B,495.09M,2.302B,-41.71M,3.164B
2002-04,,2.319B,,2.319B,,,,1.686B,,,,345.42M,4.351B,,,,,,,,6.555B,-2.458B,4.097B,,419.83M,419.83M,,,,,4.516B,8.867B,935.22M,,935.22M,793.09M,1.728B,,,,,,,,,,120.81M,1.849B,,3.355B,,3.355B,,,,585.12M,3.940B,5.790B,47.53M,4.927B,485.14M,2.320B,-61.49M,3.078B
2002-01,,1.036B,,1.036B,,,,1.769B,,,,331.68M,3.136B,0.0,917.06M,2.128B,3.328B,,246.69M,,6.620B,-2.458B,4.161B,,385.49M,385.49M,,,,,4.547B,7.683B,1.197B,,1.197B,827.12M,2.024B,,41.89M,,,41.89M,,41.89M,,,82.11M,2.148B,,1.961B,,1.961B,,,,564.12M,2.526B,4.673B,47.43M,4.890B,461.41M,2.321B,-69.07M,3.010B
2001-10,,799.51M,,799.51M,,,,2.589B,,,,355.48M,3.744B,,,,,,,,6.135B,-1.894B,4.242B,,355.98M,355.98M,,,,,4.598B,8.342B,1.156B,,1.156B,1.008B,2.164B,,1.029B,,250.00M,1.279B,,1.279B,,,,3.444B,,1.273B,,1.273B,,,,571.84M,1.845B,5.288B,47.37M,4.944B,453.54M,2.341B,-50.34M,3.054B
2001-07,,722.95M,,722.95M,,,,2.149B,,,,396.37M,3.269B,,,,,,,,6.115B,-1.894B,4.222B,,358.48M,358.48M,,,,,4.580B,7.849B,1.082B,,1.082B,763.62M,1.845B,,941.67M,,,941.67M,,941.67M,,,,2.787B,,1.268B,,1.268B,,,,544.62M,1.813B,4.600B,47.29M,5.161B,432.41M,2.341B,-50.87M,3.249B
2001-04,,663.09M,,663.09M,,,,2.049B,,,,350.14M,3.062B,,,,,,,,6.014B,-1.894B,4.121B,,352.48M,352.48M,,,,,4.473B,7.535B,912.22M,,912.22M,715.56M,1.628B,,1.031B,,,1.031B,,1.031B,,,,2.659B,,1.270B,,1.270B,,,,531.10M,1.801B,4.460B,47.07M,5.090B,338.47M,2.356B,-44.91M,3.075B
2001-01,,408.79M,,408.79M,,,,1.904B,,,,335.10M,2.648B,,,,,,,,5.901B,-1.894B,4.008B,,357.17M,357.17M,,,,,4.365B,7.013B,1.067B,,1.067B,,1.067B,,,,,1.030B,,1.030B,,,702.03M,2.799B,,780.25M,,780.25M,,,,505.28M,1.286B,4.085B,46.96M,4.975B,294.97M,2.356B,-32.34M,2.928B
2000-10,,352.20M,,352.20M,,,,2.568B,,,,475.60M,3.395B,,,,,,,,5.403B,-1.781B,3.621B,,344.68M,344.68M,,,,,3.966B,7.361B,1.032B,,1.032B,,1.032B,,,,,1.482B,,1.482B,,,724.80M,3.239B,,1.004B,,1.004B,,,,498.50M,1.502B,4.741B,46.77M,4.722B,220.92M,2.355B,-14.78M,2.620B
2000-07,,327.86M,,327.86M,,,,2.081B,,,,375.01M,2.784B,,,,,,,,4.939B,-1.694B,3.245B,,345.77M,345.77M,,,,,3.591B,6.374B,922.87M,,922.87M,,922.87M,,,,,859.45M,,859.45M,,,617.78M,2.400B,,1.023B,,1.023B,,,,452.32M,1.475B,3.875B,46.65M,4.573B,189.59M,2.302B,-8.109M,2.499B
2000-04,,436.17M,,436.17M,,,,1.652B,,,,315.71M,2.404B,,,,,,,,4.494B,-1.589B,2.905B,,348.60M,348.60M,,,,,3.254B,5.658B,728.12M,,728.12M,,728.12M,,,,,631.46M,,631.46M,,,669.46M,2.029B,,769.29M,,769.29M,,,,431.47M,1.201B,3.230B,46.55M,4.408B,140.80M,2.151B,-16.50M,2.428B
2000-01,,450.40M,,450.40M,,,,1.462B,,,,285.40M,2.198B,,,,,,,,4.203B,-1.488B,2.715B,,275.70M,275.70M,,,,,2.991B,5.189B,805.90M,,805.90M,,805.90M,,,,,169.00M,,169.00M,,,778.00M,1.753B,,784.90M,,784.90M,,,,418.00M,1.203B,2.956B,50.40M,4.173B,669.50M,2.630B,-29.90M,2.233B
1999-10,,485.70M,,485.70M,,,,1.825B,,,,306.60M,2.617B,,,,,,,,3.873B,-1.399B,2.474B,,254.50M,254.50M,,,,,2.728B,5.345B,725.60M,,725.60M,,725.60M,,,,,636.50M,,636.50M,,,861.50M,2.224B,,808.90M,,808.90M,,,,394.70M,1.204B,3.427B,50.20M,3.797B,594.70M,2.471B,-52.60M,1.918B
1999-07,,421.00M,15.00M,436.00M,,,,1.502B,,,,283.10M,2.221B,,,,,,,,3.543B,-1.314B,2.230B,,227.40M,227.40M,,,,0.10M,2.457B,4.679B,742.40M,,742.40M,,742.40M,,,,,413.50M,,413.50M,,,687.10M,1.843B,,542.30M,,542.30M,,,,365.80M,908.10M,2.751B,50.20M,3.501B,578.60M,2.152B,-49.80M,1.928B
1999-04,,456.10M,,456.10M,,,,1.198B,,,,263.90M,1.918B,,,,,,,,3.241B,-1.243B,1.998B,,211.40M,211.40M,,,,0.10M,2.209B,4.128B,617.60M,,617.60M,,617.60M,,,,,97.80M,,97.80M,,,682.10M,1.398B,,545.00M,,545.00M,,,,347.60M,892.60M,2.290B,,3.324B,,,,1.838B
1999-01,,565.30M,,565.30M,,,,1.056B,,,,250.10M,1.872B,,,,,,,,3.048B,-1.172B,1.876B,,215.70M,215.70M,,,,,2.092B,3.964B,684.10M,,684.10M,,684.10M,,,,,90.70M,,90.70M,,,778.30M,1.553B,,496.50M,,496.50M,,,,340.60M,837.10M,2.390B,,3.121B,,,,1.574B
1998-10,,271.50M,,271.50M,,,,1.375B,,,,195.00M,1.841B,,,,,,,,2.865B,-1.116B,1.749B,,164.50M,164.50M,,,,0.10M,1.913B,3.755B,536.40M,,536.40M,,536.40M,,,,,526.40M,,526.40M,,,624.80M,1.688B,,496.40M,,496.40M,,,,314.80M,811.20M,2.499B,,2.845B,,,,1.256B
1998-07,,515.20M,,515.20M,,,,1.103B,,,,216.10M,1.834B,,,,,,,,2.633B,-1.057B,1.576B,,172.70M,172.70M,,,,,1.749B,3.583B,530.30M,,530.30M,,530.30M,,,,,93.00M,,93.00M,,,641.70M,1.265B,,496.30M,,496.30M,,,,292.50M,788.80M,2.054B,,2.627B,,,,1.529B
1998-04,,836.30M,,836.30M,,,,823.30M,,,,184.80M,1.844B,,,,,,,,2.473B,-997.60M,1.475B,,162.20M,162.20M,,,,,1.637B,3.482B,376.40M,,376.40M,,376.40M,,,,,97.30M,,97.30M,,,525.30M,999.00M,,496.10M,,496.10M,,,,292.00M,788.10M,1.787B,,2.509B,,,,1.695B
