,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2009-05,2.703B,0.00,2.703B,934.50M,,,936.00M,131.70M,339.00M,655.20M,,1.126B,,,205.40M,337.30M,5.308B,2.529B,172.60M,747.00M,3.134B,,520.00M,7.103B,-2.204B,4.899B,1.734B,,1.734B,357.80M,114.90M,7.368B,12.68B,,2009-05,371.70M,,441.40M,,825.00M,5.90M,830.90M,112.90M,,136.00M,,136.00M,83.80M,148.60M,64.80M,331.80M,1.622B,,1.256B,556.80M,49.70M,606.50M,128.90M,2.539B,4.161B,,2009-05,4.40M,5.746B,2.484B,,,258.60M,8.493B,,2009-05,AOR,Restated
2009-02,2.529B,,2.529B,627.90M,,5.50M,633.40M,66.90M,392.90M,880.40M,94.50M,1.435B,,,209.30M,413.20M,5.220B,0.00,2.499B,677.80M,2.918B,,379.70M,6.475B,-2.095B,4.380B,1.660B,,1.660B,,513.40M,6.554B,11.77B,,2009-02,296.00M,,,,296.00M,762.80M,1.059B,,,119.80M,,119.80M,,38.80M,38.80M,11.40M,1.229B,,1.268B,619.90M,,619.90M,861.20M,2.749B,3.978B,,2009-02,4.40M,5.622B,2.477B,,,-327.70M,7.775B,,2009-02,,Restated
2008-11,2.812B,,2.812B,892.30M,,25.80M,918.10M,161.20M,404.00M,960.10M,88.90M,1.614B,,,208.90M,417.70M,5.970B,0.00,2.406B,728.40M,2.884B,,364.00M,6.382B,-2.050B,4.332B,1.682B,,1.682B,,443.30M,6.457B,12.43B,,2008-11,768.20M,,,,768.20M,782.50M,1.551B,,,140.70M,,140.70M,,28.70M,28.70M,9.80M,1.730B,,1.273B,629.90M,,629.90M,920.90M,2.824B,4.553B,,2008-11,4.40M,5.585B,2.473B,,,-209.30M,7.853B,,2008-11,,Restated
2008-08,2.190B,,2.190B,1.449B,,137.20M,1.586B,157.60M,325.70M,1.382B,79.60M,1.945B,,,214.80M,241.10M,6.177B,0.00,2.596B,766.40M,2.923B,,322.10M,6.608B,-2.048B,4.559B,1.808B,,1.808B,,465.50M,6.833B,13.01B,,2008-08,1.267B,,,,1.267B,1.151B,2.418B,,,178.70M,,178.70M,,32.60M,32.60M,11.00M,2.640B,,1.311B,492.40M,,492.40M,872.70M,2.676B,5.316B,,2008-08,4.40M,4.647B,2.465B,,,551.50M,7.668B,,2008-08,,Restated
2008-05,1.961B,,1.961B,,,,1.039B,154.70M,255.80M,940.40M,,1.351B,,,256.90M,201.80M,4.810B,2.475B,176.70M,783.50M,2.927B,,279.80M,6.642B,-1.994B,4.648B,1.875B,,1.875B,353.80M,123.20M,7.010B,11.82B,,2008-05,1.022B,,131.90M,,1.154B,820.90M,1.975B,,,176.40M,,176.40M,,34.80M,34.80M,,2.186B,,1.375B,516.20M,,516.20M,987.90M,2.879B,5.065B,,2008-05,4.40M,3.485B,2.451B,,,790.60M,6.731B,,2008-05,,Restated
2008-02,1.134B,,1.134B,699.50M,,,699.50M,65.90M,177.50M,678.30M,115.50M,1.037B,,,39.10M,257.20M,3.167B,0.00,2.200B,1.221B,2.847B,,236.80M,6.505B,-1.903B,4.602B,2.100B,,2.100B,,578.00M,7.433B,10.60B,,2008-02,551.80M,,,,551.80M,954.70M,1.506B,,,274.90M,,274.90M,,29.80M,29.80M,,1.811B,,1.378B,498.90M,,498.90M,1.049B,2.926B,4.737B,,2008-02,4.40M,2.623B,2.425B,,,783.10M,5.836B,,2008-02,,
2007-11,642.20M,,642.20M,613.60M,,,613.60M,16.70M,152.10M,581.30M,116.60M,866.70M,,,38.20M,117.10M,2.278B,0.00,2.181B,1.202B,2.779B,,227.60M,6.39B,-1.812B,4.578B,2.16B,,2.16B,,509.90M,7.416B,9.694B,,2007-11,515.50M,,,,515.50M,594.60M,1.110B,,,304.90M,,304.90M,,29.00M,29.00M,,1.444B,,1.383B,588.40M,,588.40M,1.063B,3.034B,4.478B,,2007-11,4.40M,2.102B,2.366B,,,717.90M,5.190B,,2007-11,,
2007-08,639.20M,,639.20M,508.50M,,28.90M,537.40M,14.70M,144.20M,551.00M,107.90M,817.80M,,,37.50M,138.10M,2.17B,0.00,2.095B,1.169B,2.636B,,257.80M,6.158B,-1.710B,4.447B,2.207B,,2.207B,,465.70M,7.143B,9.313B,,2007-08,386.40M,,,,386.40M,576.80M,963.20M,,,604.40M,,604.40M,,36.70M,36.70M,,1.604B,,1.586B,516.90M,,516.90M,1.034B,3.137B,4.741B,,2007-08,4.40M,1.708B,2.340B,,,495.30M,4.548B,,2007-08,,
2007-05,420.60M,,420.60M,516.30M,,40.70M,557.00M,9.70M,138.80M,529.00M,109.90M,787.40M,,,35.00M,155.50M,1.956B,0.00,1.981B,1.248B,2.586B,,263.90M,6.079B,-1.630B,4.449B,2.284B,,2.284B,,474.90M,7.208B,9.164B,,2007-05,433.50M,,,,433.50M,618.20M,1.052B,,,542.40M,,542.40M,,35.60M,35.60M,,1.630B,,1.818B,634.40M,,634.40M,875.20M,3.328B,4.957B,,2007-05,4.40M,1.403B,2.318B,,,458.90M,4.184B,,2007-05,,
2007-02,459.70M,,459.70M,522.60M,,,522.60M,13.30M,152.20M,406.70M,102.60M,674.80M,,,49.10M,72.60M,1.779B,0.00,2.169B,885.30M,2.476B,,254.10M,5.785B,-1.534B,4.251B,2.271B,,2.271B,,422.20M,6.944B,8.723B,,2007-02,874.10M,,,,874.10M,122.60M,996.70M,,,145.00M,,145.00M,,,,,1.142B,,2.427B,586.00M,,586.00M,907.20M,3.920B,5.062B,,2007-02,4.40M,1.20B,2.299B,,,133.00M,3.636B,,2007-02,,
2006-11,268.40M,,268.40M,30.90M,,538.90M,569.80M,14.90M,161.30M,373.90M,105.30M,655.40M,,,44.10M,89.70M,1.627B,0.00,2.217B,868.90M,2.420B,,259.80M,5.766B,-1.461B,4.305B,2.306B,,2.306B,,415.30M,7.026B,8.653B,,2006-11,811.40M,,,,811.40M,129.50M,940.90M,,,292.70M,,292.70M,,,,,1.234B,,2.211B,611.10M,,611.10M,925.90M,3.748B,4.981B,,2006-11,4.40M,1.158B,2.279B,,,206.80M,3.648B,,2006-11,,
2006-08,214.80M,,214.80M,31.60M,,435.00M,466.60M,158.20M,21.70M,485.60M,106.50M,772.00M,,,45.40M,119.00M,1.618B,0.00,2.426B,797.00M,2.305B,,245.20M,5.773B,-1.383B,4.390B,2.335B,,2.335B,,401.90M,7.128B,8.746B,,2006-08,410.20M,,,,410.20M,529.00M,939.20M,,,346.70M,,346.70M,,,,,1.286B,,2.225B,638.90M,,638.90M,929.70M,3.794B,5.079B,,2006-08,4.40M,1.092B,2.252B,,,295.10M,3.644B,,2006-08,,
2006-05,173.30M,,173.30M,455.60M,,52.60M,508.20M,168.10M,27.90M,458.20M,106.70M,760.90M,,,50.50M,89.90M,1.583B,0.00,2.436B,780.60M,2.276B,,232.60M,5.725B,-1.309B,4.417B,2.347B,,2.347B,,376.50M,7.140B,8.723B,,2006-05,389.20M,,,,389.20M,517.20M,906.40M,,,222.10M,,222.10M,,,,,1.128B,,2.388B,675.00M,,675.00M,980.20M,4.043B,5.172B,,2006-05,3.90M,982.90M,2.245B,,,299.20M,3.531B,,2006-05,,
2006-02,164.60M,,164.60M,427.70M,,,427.70M,218.20M,68.50M,383.20M,116.20M,786.10M,,,,102.20M,1.481B,0.00,2.350B,688.30M,2.326B,,324.20M,5.688B,-1.22B,4.468B,,2.330B,2.330B,,424.90M,7.224B,8.704B,,2006-02,381.40M,,,,381.40M,371.30M,752.70M,,,252.00M,,252.00M,,8.80M,8.80M,,1.014B,,2.407B,737.30M,,737.30M,894.70M,4.039B,5.053B,,2006-02,3.90M,1.167B,2.234B,,,220.90M,3.626B,,2006-02,,
2005-11,166.00M,,166.00M,571.40M,,,571.40M,231.60M,60.10M,388.50M,106.10M,786.30M,,,,127.40M,1.651B,0.00,2.163B,767.40M,2.217B,,310.40M,5.458B,-1.141B,4.317B,,2.304B,2.304B,,422.90M,7.044B,8.696B,,2005-11,461.70M,,,,461.70M,467.40M,929.10M,,,129.40M,,129.40M,,3.90M,3.90M,40.20M,1.103B,,2.423B,726.50M,,726.50M,833.30M,3.983B,5.086B,,2005-11,3.90M,1.241B,2.195B,,,143.20M,3.584B,,2005-11,,
2005-08,201.30M,,201.30M,665.20M,,,665.20M,252.00M,75.90M,335.70M,111.20M,774.80M,27.80M,,1.80M,87.30M,1.758B,0.00,2.088B,747.00M,2.197B,,275.60M,5.307B,-1.072B,4.235B,,2.210B,2.210B,,405.00M,6.849B,8.607B,,2005-08,456.80M,,,,456.80M,409.60M,866.40M,,,153.40M,,153.40M,,,,65.30M,1.085B,,2.444B,746.80M,,746.80M,847.60M,4.039B,5.124B,,2005-08,3.90M,1.189B,2.193B,,,73.30M,3.460B,,2005-08,,
2005-05,245.00M,,245.00M,654.00M,,,654.00M,167.20M,23.60M,458.40M,104.20M,753.40M,,,2.20M,73.70M,1.728B,0.00,2.106B,647.30M,2.146B,,220.50M,5.120B,-998.30M,4.121B,2.160B,,2.160B,,401.50M,6.683B,8.412B,,2005-05,462.70M,,,,462.70M,485.00M,947.70M,,,204.90M,,204.90M,,,,,1.153B,,2.464B,692.20M,,692.20M,867.70M,4.024B,5.176B,,2005-05,3.90M,1.115B,2.166B,,,-72.00M,3.214B,,2005-05,,
2005-02,110.40M,0.30M,110.70M,556.40M,,,556.40M,123.90M,92.20M,456.20M,111.90M,784.20M,20.10M,,8.40M,44.80M,1.525B,0.00,1.534B,594.60M,2.384B,,244.00M,4.756B,-887.00M,3.870B,,2.232B,2.232B,,467.90M,6.569B,8.094B,,2005-02,412.40M,,,,412.40M,312.50M,724.90M,,,98.40M,,98.40M,,,,81.00M,904.30M,,2.516B,769.80M,,769.80M,729.40M,4.015B,4.919B,,2005-02,3.80M,1.024B,2.193B,,,-58.60M,3.162B,,2005-02,,
2004-11,121.80M,5.00M,126.80M,537.00M,,,537.00M,134.90M,75.20M,346.40M,111.00M,667.50M,34.60M,5.60M,9.20M,67.50M,1.448B,0.00,1.769B,661.40M,2.059B,,240.40M,4.730B,-843.40M,3.886B,,2.175B,2.175B,,412.30M,6.473B,7.922B,,2004-11,417.30M,,,,417.30M,391.30M,808.60M,,,111.40M,,111.40M,,,,99.60M,1.020B,,2.353B,698.90M,,698.90M,726.50M,3.778B,4.798B,,2004-11,3.80M,987.70M,2.156B,,,-38.00M,3.110B,,2004-11,,
2004-09,62.50M,,62.50M,219.90M,,,219.90M,78.30M,,211.40M,,284.60M,,,7.10M,42.80M,616.90M,0.00,1.025B,785.60M,2.806B,,121.20M,4.738B,-2.413B,2.324B,,289.00M,289.00M,,434.90M,3.064B,3.681B,,2004-09,155.50M,,,,155.50M,296.70M,452.20M,,,43.40M,,43.40M,,,,,495.60M,,2.05B,,,,610.70M,2.661B,3.156B,,2004-09,134.10M,-1.155B,1.873B,337.90M,2.80M,10.40M,525.00M,,2004-09,,
2004-06,48.00M,,48.00M,232.90M,,,232.90M,77.50M,,221.20M,,292.90M,,,7.10M,36.70M,617.60M,,,,,,,4.637B,-2.327B,2.31B,,289.00M,289.00M,,408.30M,3.014B,3.632B,,2004-06,160.10M,,,,160.10M,285.30M,445.40M,,,43.40M,,43.40M,,,,,488.80M,,2.048B,,,,552.10M,2.600B,3.089B,,2004-06,133.60M,-1.086B,1.866B,338.60M,2.80M,-32.30M,543.40M,,2004-06,,
2004-03,1.50M,,1.50M,213.70M,,,213.70M,,,,359.50M,354.10M,,,,51.00M,620.30M,,,,,,,4.658B,-2.327B,2.332B,,289.00M,289.00M,,395.50M,3.016B,3.636B,,2004-03,175.40M,,,,175.40M,257.50M,432.90M,,,43.40M,,43.40M,,,,,476.30M,,2.058B,1.60M,,1.60M,576.70M,2.636B,3.112B,,2004-03,133.40M,-1.126B,1.865B,339.40M,2.80M,-8.90M,524.10M,,2004-03,,
2003-12,76.80M,,76.80M,194.80M,,,194.80M,75.50M,,235.30M,,305.70M,,12.40M,7.10M,133.60M,730.40M,0.00,95.60M,577.60M,3.011B,911.80M,88.70M,4.684B,-2.327B,2.358B,,289.00M,289.00M,,384.30M,3.031B,3.762B,,2003-12,185.70M,,,,185.70M,242.90M,428.60M,,,25.40M,,25.40M,,,,90.80M,544.80M,,2.091B,19.90M,,19.90M,578.80M,2.690B,3.235B,,2003-12,133.40M,-1.132B,1.872B,347.30M,2.80M,1.00M,526.60M,,2003-12,,
2003-09,56.00M,,56.00M,182.90M,,,182.90M,75.20M,,263.80M,,334.10M,,,,35.10M,608.10M,,,,,,,4.472B,-2.124B,2.348B,,319.00M,319.00M,,389.90M,3.057B,3.666B,,2003-09,157.30M,,,,157.30M,232.60M,389.90M,,,18.70M,,18.70M,,,,,408.60M,,2.111B,13.30M,,13.30M,583.70M,2.708B,3.117B,,2003-09,133.40M,-1.066B,1.872B,347.40M,2.80M,-42.90M,548.90M,,2003-09,,
2003-06,184.70M,,184.70M,173.70M,,,173.70M,74.30M,,246.60M,,316.30M,,,,27.00M,701.70M,,,,,,,4.484B,-2.124B,2.360B,,319.00M,319.00M,,371.30M,3.051B,3.752B,,2003-06,152.90M,,,,152.90M,208.30M,361.20M,,,40.60M,,40.60M,,,,,401.80M,,2.132B,36.40M,,36.40M,591.40M,2.760B,3.162B,,2003-06,133.40M,-1.033B,1.872B,348.10M,2.80M,-33.60M,590.80M,,2003-06,,
2003-03,11.10M,,11.10M,201.10M,,,201.10M,71.60M,,245.10M,,311.80M,,,11.60M,24.10M,559.70M,,,,,,,4.466B,-2.124B,2.343B,,319.00M,319.00M,,342.60M,3.004B,3.564B,,2003-03,177.30M,,,,177.30M,181.70M,359.00M,,,16.10M,,16.10M,,,,,375.10M,,2.162B,32.00M,,32.00M,592.00M,2.786B,3.161B,,2003-03,130.60M,-1.024B,1.741B,348.30M,,-97.20M,402.70M,,2003-03,,
2002-12,17.70M,,17.70M,179.00M,,,179.00M,71.00M,,282.70M,,349.10M,,105.50M,11.60M,37.10M,700.00M,0.00,97.60M,529.10M,2.908B,820.20M,69.80M,4.424B,-2.124B,2.301B,,319.00M,319.00M,,317.40M,2.937B,3.637B,,2002-12,154.80M,,,,154.80M,190.50M,345.30M,,,106.20M,,106.20M,,,,,451.50M,,2.165B,57.60M,,57.60M,571.00M,2.794B,3.245B,,2002-12,130.60M,-984.70M,1.744B,351.70M,,-146.40M,391.70M,,2002-12,,
2002-09,89.30M,,89.30M,184.60M,,,184.60M,68.20M,,250.10M,,313.50M,,,14.10M,14.50M,616.00M,,,,,,,4.312B,-2.024B,2.288B,,319.00M,319.00M,,429.60M,3.036B,3.652B,,2002-09,156.20M,,,,156.20M,232.30M,388.50M,,,141.10M,,141.10M,,,,,529.60M,,2.004B,97.40M,,97.40M,504.70M,2.606B,3.136B,,2002-09,130.60M,-906.70M,1.744B,351.90M,,-99.40M,516.50M,,2002-09,,
2002-06,216.50M,,216.50M,196.20M,,,196.20M,68.40M,,229.00M,,292.50M,,,14.10M,21.40M,740.70M,,,,,,,4.334B,-2.024B,2.310B,,319.00M,319.00M,,434.30M,3.064B,3.804B,,2002-06,146.30M,,,,146.30M,240.50M,386.80M,,,8.60M,,8.60M,,,,,395.40M,,2.250B,107.40M,,107.40M,515.00M,2.872B,3.267B,,2002-06,130.60M,-912.40M,1.744B,352.10M,,-72.60M,537.00M,,2002-06,,
2002-03,200.00M,,200.00M,208.90M,,,208.90M,66.00M,,257.70M,,314.20M,,,14.10M,12.00M,749.20M,,,,,,,4.323B,-2.024B,2.299B,319.00M,,319.00M,,478.90M,3.097B,3.846B,,2002-03,149.40M,,,,149.40M,232.50M,381.90M,,,10.30M,,10.30M,,,,,392.20M,,2.212B,157.80M,,157.80M,531.10M,2.901B,3.293B,,2002-03,130.60M,-862.80M,1.743B,352.20M,,-105.10M,553.70M,,2002-03,,
2001-12,248.70M,,248.70M,217.60M,,,217.60M,65.30M,,232.40M,,292.30M,,374.00M,14.10M,6.50M,1.153B,0.00,93.80M,507.90M,2.858B,789.80M,82.60M,4.333B,-2.024B,2.309B,319.00M,,319.00M,,468.10M,3.096B,4.249B,,2001-12,150.30M,,,,150.30M,242.10M,392.40M,,,75.40M,,75.40M,,,,305.40M,773.20M,,2.216B,176.30M,,176.30M,542.60M,2.935B,3.708B,,2001-12,125.20M,-865.30M,1.681B,283.00M,,-117.10M,540.70M,,2001-12,,
2001-09,45.40M,,45.40M,216.20M,,,216.20M,66.60M,,312.40M,,373.40M,,,84.40M,524.70M,1.244B,,,,,,,4.300B,-1.978B,2.323B,,,,,831.70M,3.154B,4.398B,,2001-09,155.10M,,,,155.10M,167.30M,322.40M,,,14.50M,,14.50M,,,,,336.90M,,2.659B,309.40M,,309.40M,538.80M,3.507B,3.844B,,2001-09,125.20M,-839.00M,1.684B,287.50M,,-128.80M,554.40M,,2001-09,,
2001-06,93.50M,,93.50M,162.70M,,,162.70M,66.80M,,316.80M,,377.40M,,,84.40M,10.90M,728.90M,,,,2.334B,,,2.334B,,2.334B,,,,,1.316B,3.650B,4.378B,,2001-06,161.40M,,,,161.40M,193.80M,355.20M,,,16.20M,,16.20M,,,,,371.40M,,2.54B,317.40M,,317.40M,533.90M,3.391B,3.763B,,2001-06,125.20M,-807.60M,1.684B,288.00M,,-98.40M,615.70M,,2001-06,,
2001-03,10.00M,,10.00M,37.70M,33.40M,,71.10M,67.00M,,307.80M,,368.20M,,,84.40M,10.30M,544.00M,0.00,2.330B,,,,,2.330B,,2.330B,,,,,1.262B,3.592B,4.136B,,2001-03,183.10M,,,,183.10M,192.10M,375.20M,,,215.20M,,215.20M,,,,,590.40M,,2.086B,311.60M,,311.60M,519.90M,2.918B,3.508B,,2001-03,125.20M,-781.10M,1.677B,293.10M,,-100.10M,628.10M,,2001-03,,
2000-12,84.50M,,84.50M,82.50M,,,82.50M,,,,,332.60M,,,,93.30M,592.90M,,,,,,,4.324B,-1.978B,2.346B,,,,,1.323B,3.669B,4.262B,,2000-12,201.30M,,,,201.30M,,201.30M,,,217.50M,,217.50M,,,,211.70M,630.50M,,2.143B,291.60M,,291.60M,521.00M,2.956B,3.586B,,2000-12,125.20M,-790.00M,1.692B,293.40M,,-58.60M,675.40M,,2000-12,,
2000-09,22.00M,,22.00M,,,,132.00M,,,,,394.80M,,,,139.90M,688.70M,,,,,,,5.276B,-2.094B,3.182B,,,,,997.00M,4.179B,4.868B,,2000-09,234.70M,,,,234.70M,,234.70M,,,37.50M,,37.50M,,,,221.00M,493.20M,,2.230B,573.60M,,573.60M,472.00M,3.275B,3.768B,,2000-09,125.20M,-367.00M,1.693B,292.70M,,-59.50M,1.099B,,2000-09,,
2000-06,21.90M,,21.90M,,,,201.80M,,,,,418.10M,,,,142.80M,784.60M,,,,,,,5.245B,-2.059B,3.186B,,,,,991.90M,4.178B,4.963B,,2000-06,162.70M,,,,162.70M,,162.70M,,,21.20M,,21.20M,,,,248.30M,432.20M,,2.342B,576.30M,,576.30M,486.10M,3.405B,3.837B,,2000-06,125.20M,-351.10M,1.698B,294.60M,,-51.40M,1.126B,,2000-06,,
2000-03,57.70M,,57.70M,,,,297.70M,,,,,390.10M,,,,148.50M,894.00M,,,,,,,5.274B,-2.055B,3.219B,,,,,992.80M,4.212B,5.106B,,2000-03,192.10M,,,,192.10M,,192.10M,,,17.20M,,17.20M,,,,282.70M,492.00M,,2.416B,577.80M,,577.80M,503.30M,3.497B,3.989B,,2000-03,125.20M,-370.70M,1.698B,294.80M,,-40.70M,1.117B,,2000-03,,
1999-12,80.80M,,80.80M,,,,254.20M,,,,,439.60M,,,,153.30M,927.90M,,,,,,,5.229B,-1.978B,3.251B,,,,,1.017B,4.268B,5.196B,,1999-12,200.90M,,,,200.90M,,200.90M,,,29.90M,,29.90M,,,,260.10M,490.90M,,2.519B,589.60M,,589.60M,516.60M,3.625B,4.116B,,1999-12,125.20M,-411.10M,1.698B,294.80M,,-37.30M,1.080B,,1999-12,,
1999-09,64.70M,,64.70M,,,,357.30M,,,,,510.20M,,,,115.10M,1.047B,,,,,,,6.162B,-2.413B,3.748B,,,,,1.225B,4.973B,6.020B,,1999-09,216.00M,,,,216.00M,,216.00M,,,17.80M,,17.80M,,,,219.60M,453.40M,,2.535B,569.60M,,569.60M,474.20M,3.579B,4.033B,,1999-09,125.20M,497.70M,1.698B,294.50M,,-38.50M,1.988B,,1999-09,,
1999-06,64.90M,,64.90M,,,,325.70M,,,,,490.50M,,,,107.90M,989.00M,,,,,,,6.110B,-2.358B,3.752B,,,,,1.221B,4.973B,5.962B,,1999-06,176.20M,,,,176.20M,,176.20M,,,19.10M,,19.10M,,,,246.50M,441.80M,,2.481B,574.00M,,574.00M,484.60M,3.539B,3.981B,,1999-06,,493.60M,,,,,1.981B,,1999-06,,
1999-03,62.20M,,62.20M,,,,397.00M,,,,,522.40M,,,,380.40M,1.362B,,,,,,,6.022B,-2.294B,3.728B,,,,,1.250B,4.979B,6.341B,,1999-03,221.90M,,,,221.90M,,221.90M,,,293.30M,,293.30M,,,,225.10M,740.30M,,2.616B,573.30M,,573.30M,487.80M,3.677B,4.418B,,1999-03,,450.60M,,,,,1.923B,,1999-03,,
1998-12,110.60M,,110.60M,,,,421.50M,,,,,580.60M,,,,369.90M,1.483B,,,,,,,5.917B,-2.22B,3.697B,,,,,1.277B,4.974B,6.457B,,1998-12,255.90M,,,,255.90M,,255.90M,,,408.30M,,408.30M,,,,240.90M,905.10M,,2.639B,566.60M,,566.60M,486.10M,3.691B,4.596B,,1998-12,125.00M,400.60M,1.697B,296.20M,,-66.30M,1.860B,,1998-12,,
1998-09,71.60M,,71.60M,,,,439.00M,,,,,714.70M,,,,106.00M,1.331B,,,,,,,6.379B,-2.517B,3.862B,,,,,1.546B,5.408B,6.739B,,1998-09,263.40M,,,,263.40M,,263.40M,,,982.70M,,982.70M,,,,312.10M,1.558B,,1.965B,713.50M,,713.50M,453.20M,3.132B,4.690B,,1998-09,,581.60M,,,,,2.049B,,1998-09,,
1998-06,139.80M,,139.80M,,,,497.40M,,,,,652.70M,,,,116.90M,1.407B,,,,,,,6.157B,-2.476B,3.681B,,,,,1.653B,5.334B,6.741B,,1998-06,296.30M,,,,296.30M,,296.30M,,,1.294B,,1.294B,,,,352.40M,1.943B,,1.639B,646.50M,,646.50M,475.40M,2.761B,4.704B,,1998-06,,560.20M,,,,,2.037B,,1998-06,,
1998-03,123.80M,,123.80M,,,,298.00M,,,,,679.50M,,,,71.90M,1.173B,,,,,,,4.404B,-1.86B,2.544B,,,,,1.126B,3.670B,4.844B,,1998-03,319.90M,,,,319.90M,,319.90M,,,106.90M,,106.90M,,,,200.50M,627.30M,,1.393B,396.90M,,396.90M,447.60M,2.238B,2.865B,,1998-03,,482.10M,,,,,1.979B,,1998-03,,
