,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,EBITDA,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2010-11,2.675B,2.675B,1.906B,768.30M,89.30M,,-0.30M,10.40M,4.80M,-5.60M,20.80M,110.10M,658.20M,4.80M,10.40M,-5.60M,654.40M,-5.60M,1.307B,281.30M,1.027B,,,-1.20M,,1.423B,105.70M,1.317B,,2010-11,,,2.355,2.30,,0.00,,,,2010-11,445.80M,447.30M,0.05,,2010-11,AOR,Restated
2010-08,2.188B,2.188B,1.684B,504.70M,88.10M,,-0.60M,12.40M,5.40M,-7.00M,6.30M,94.40M,410.30M,5.40M,12.40M,-7.00M,1.40M,-7.00M,404.70M,109.60M,298.90M,,,-1.20M,,521.80M,104.70M,417.10M,,2010-08,,,0.6677,0.67,,0.00,,,,2010-08,445.50M,446.90M,0.05,,2010-08,AOR,Restated
2010-05,1.860B,1.860B,1.173B,687.60M,113.70M,,-68.00M,16.60M,3.80M,-12.80M,,77.80M,609.80M,3.80M,16.60M,-12.80M,-68.60M,-12.80M,528.40M,138.80M,396.50M,,,-0.40M,,657.40M,112.40M,545.00M,,2010-05,,,1.003,0.89,,0.00,,,,2010-05,445.70M,446.90M,0.05,,2010-05,AOR,Restated
2010-02,1.732B,1.732B,1.255B,476.50M,82.30M,,0.70M,14.30M,4.30M,-10.00M,5.30M,87.60M,388.90M,4.30M,14.30M,-10.00M,-21.60M,-10.00M,357.30M,125.30M,223.50M,,,-0.90M,,473.20M,101.60M,371.60M,,2010-02,,,0.5315,0.50,,0.00,,,,2010-02,445.20M,446.80M,0.05,,2010-02,AOR,Restated
2009-11,1.710B,1.710B,1.403B,307.00M,82.90M,,5.60M,16.00M,4.10M,-11.90M,24.00M,106.90M,200.10M,4.10M,16.00M,-11.90M,-17.00M,-11.90M,171.20M,50.40M,109.00M,,,-1.20M,,326.10M,138.90M,187.20M,,2009-11,,,0.2670,0.24,,0.00,,,,2009-11,445.00M,446.50M,0.05,,2009-11,AOR,Restated
2009-08,1.457B,1.457B,1.235B,222.20M,81.40M,,0.40M,18.80M,3.90M,-14.90M,6.60M,88.00M,134.20M,3.90M,18.80M,-14.90M,13.50M,-14.90M,132.80M,32.80M,102.50M,,,-1.90M,,243.70M,92.10M,151.60M,,2009-08,,,0.2071,0.23,,0.00,,,,2009-08,444.60M,446.30M,0.05,,2009-08,AOR,Restated
2009-05,1.594B,1.594B,1.389B,204.10M,83.30M,,178.70M,21.80M,5.60M,-16.20M,-5.50M,77.80M,126.30M,5.60M,21.80M,-16.20M,1.394B,-16.20M,792.20M,-330.30M,148.50M,,,-1.60M,,907.00M,93.00M,814.00M,,2009-05,,,0.0687,0.33,,0.00,,,,2009-05,444.60M,446.20M,0.05,,2009-05,AOR,Restated
2009-02,1.376B,1.376B,1.235B,140.30M,71.30M,,-47.30M,19.60M,11.40M,-8.20M,25.30M,96.60M,43.70M,11.40M,19.60M,-8.20M,-47.30M,-8.20M,52.10M,30.70M,58.10M,,,0.70M,,162.10M,90.40M,71.70M,,2009-02,,,0.1992,0.13,,0.00,,,,2009-02,444.40M,445.80M,0.05,,2009-02,,Restated
2008-11,3.006B,3.006B,2.233B,773.70M,76.80M,,-36.70M,23.70M,23.70M,0.00,14.90M,91.70M,682.00M,23.70M,23.70M,0.00,-710.10M,0.00,932.60M,451.20M,961.30M,,,-1.50M,,1.046B,89.40M,956.30M,,2008-11,,,2.214,2.16,,0.00,,,,2008-11,444.30M,446.10M,0.05,,2008-11,,Restated
2008-08,4.322B,4.322B,2.674B,1.649B,90.00M,,88.20M,25.10M,14.50M,-10.60M,9.70M,99.70M,1.549B,14.50M,25.10M,-10.60M,88.20M,-10.60M,1.129B,497.70M,1.189B,,,-3.90M,,1.242B,87.70M,1.154B,,2008-08,,,2.541,2.67,,0.00,,,,2008-08,444.10M,446.50M,0.05,,2008-08,,Restated
2008-05,3.467B,3.467B,2.179B,1.288B,96.20M,,95.00M,,,,20.90M,117.10M,1.171B,,,,6.80M,,1.183B,354.00M,871.20M,,,-1.90M,,1.170B,,1.170B,,2008-05,,,1.790,1.94,,0.00,,,,2008-05,443.90M,447.50M,,,2008-05,,Restated
2008-02,2.147B,2.147B,1.419B,727.90M,81.20M,,28.70M,,,,0.10M,81.30M,646.60M,,,,59.60M,,650.70M,159.20M,520.80M,,,-1.60M,,646.60M,,646.60M,,2008-02,,,1.121,1.17,,0.00,,,,2008-02,443.30M,446.10M,,,2008-02,,
2007-11,2.195B,2.195B,1.572B,623.10M,83.20M,,-61.50M,,,,,83.20M,539.90M,,,,-16.00M,,452.90M,100.90M,394.00M,,,-3.50M,,539.90M,,539.90M,,2007-11,,,0.9981,0.89,,0.00,,,,2007-11,442.30M,445.00M,,,2007-11,,
2007-08,2.003B,2.003B,1.482B,521.80M,72.20M,,-19.40M,,,,,72.20M,449.60M,,,,-7.60M,,396.20M,100.80M,305.50M,,,-1.70M,,449.60M,,449.60M,,2007-08,,,0.7228,0.69,,0.00,,,,2007-08,441.40M,444.30M,,,2007-08,,
2007-05,1.684B,1.684B,1.228B,456.20M,95.90M,,-72.90M,,,,2.20M,98.10M,358.10M,,,,-56.40M,,272.40M,85.30M,202.60M,,,-1.00M,,358.10M,,358.10M,,2007-05,,,0.5837,0.47,,0.00,,,,2007-05,440.30M,443.60M,,,2007-05,,
2007-02,1.279B,1.279B,1.166B,113.10M,77.80M,,58.00M,,,,1.10M,78.90M,34.20M,,,,63.50M,,43.70M,6.60M,42.20M,,,-0.40M,,34.20M,,34.20M,,2007-02,,,-0.0120,0.10,,0.00,,,,2007-02,439.50M,440.90M,,,2007-02,,
2006-11,1.522B,1.522B,1.362B,160.50M,70.40M,,27.10M,,,,-0.60M,69.80M,90.70M,,,,42.50M,,75.60M,24.10M,65.90M,,,-1.00M,,90.70M,,90.70M,,2006-11,,,0.1079,0.15,,0.00,,,,2006-11,438.10M,439.40M,,,2006-11,,
2006-08,1.289B,1.289B,1.092B,196.30M,65.70M,,26.80M,,,,-0.60M,65.10M,131.20M,,,,30.70M,,114.00M,7.40M,109.00M,,,-1.50M,,131.20M,,131.20M,,2006-08,,,0.2003,0.26,,0.00,,,,2006-08,419.50M,438.10M,,,2006-08,,
2006-05,1.332B,1.332B,1.165B,166.20M,54.60M,,-345.30M,,,,5.10M,59.70M,106.50M,,,,-325.90M,,-261.50M,-61.20M,-180.90M,,,0.00,3.40M,106.50M,,106.50M,,2006-05,,,0.2031,-0.49,,0.00,,,,2006-05,381.60M,437.31M,,,2006-05,,
2006-02,1.073B,1.073B,1.059B,14.00M,61.80M,,-8.70M,,,,-3.40M,58.40M,-44.40M,,,,-6.70M,,-100.70M,-27.20M,-71.60M,,,-0.10M,2.60M,-44.40M,,-44.40M,,2006-02,,,-0.1734,-0.19,,0.00,,,,2006-02,383.60M,383.60M,,,2006-02,,
2005-11,1.498B,1.498B,1.289B,208.40M,68.00M,,-11.00M,,,,1.10M,69.10M,139.30M,,,,1.90M,,86.50M,42.30M,55.00M,,,-2.10M,,139.30M,,139.30M,,2005-11,,,0.1573,0.14,,0.00,,,,2005-11,381.10M,434.50M,,,2005-11,,
2005-08,1.404B,1.404B,1.155B,248.80M,57.00M,,-37.90M,,,,-0.20M,56.80M,192.00M,,,,-23.70M,,115.60M,51.50M,76.10M,,,-2.20M,,252.50M,60.50M,192.00M,,2005-08,,,0.2498,0.19,,0.00,,,,2005-08,380.00M,433.90M,,,2005-08,,
2005-05,1.450B,1.450B,1.204B,245.60M,65.80M,,-116.40M,,,,,69.10M,176.50M,,,,-105.10M,,140.30M,54.10M,94.10M,,0.00,-3.40M,,176.50M,,176.50M,,2005-05,0.00,,0.4485,0.26,,0.00,0.0003,,,2005-05,379.40M,432.10M,,,2005-05,,
2005-02,1.144B,1.144B,1.008B,136.50M,64.80M,,30.50M,,,,-1.00M,63.80M,72.70M,,,,49.50M,,57.90M,38.50M,38.80M,,,0.40M,,72.70M,,72.70M,,2005-02,,,0.0516,0.10,,0.00,,,,2005-02,377.90M,432.80M,,,2005-02,,
2004-11,1.078B,1.078B,1.016B,61.20M,45.40M,,-22.20M,,,,3.50M,48.90M,12.30M,,,,-6.40M,,-31.40M,-7.90M,-8.40M,,,-0.70M,,12.30M,,12.30M,,2004-11,,,0.0245,-0.03,,0.00,,,,2004-11,304.70M,304.70M,,,2004-11,,
2004-09,612.20M,612.20M,621.40M,-9.20M,17.60M,,-23.00M,,,,,17.60M,-26.80M,,,,-23.00M,,-73.50M,-6.70M,-66.80M,,,24.20M,,14.50M,41.30M,-26.80M,,2004-09,,,-0.4185,-0.60,,0.00,,,,2004-09,115.20M,115.20M,,,2004-09,,
2004-06,748.80M,748.80M,620.50M,128.30M,20.10M,,5.60M,,,,,20.10M,108.20M,,,,5.60M,,70.80M,28.10M,42.70M,,,4.30M,,153.80M,45.60M,108.20M,,2004-06,,,0.3206,0.35,,0.00,,,,2004-06,115.00M,134.20M,,,2004-06,,
2004-03,584.20M,584.20M,505.40M,78.80M,16.80M,,-4.20M,,,,,16.80M,62.00M,,,,-4.20M,,19.20M,7.60M,11.60M,-2.40M,,8.50M,,107.50M,45.50M,62.00M,,2004-03,,,0.1021,0.06,,-0.02,,,,2004-03,114.90M,116.00M,,,2004-03,,
2003-12,604.10M,604.10M,546.90M,57.20M,17.90M,,4.10M,,,,-14.80M,3.10M,54.10M,,,,4.10M,,-148.10M,-0.20M,0.10M,-63.90M,0.00,3.40M,,98.90M,44.80M,54.10M,,2003-12,0.00,,-0.0556,-0.58,,-0.56,0.0000,,,2003-12,115.10M,115.10M,,,2003-12,,
