,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2005-12,21.35M,,,-19.31M,,89.41M,27.24M,,,,,207.28M,87.69M,-1.255M,,-13.90M,5.535M,-250.01M,-310.74M,-482.68M,-156.71M,,22.79M,,22.79M,-185.05M,68.75M,-7.148M,-100.66M,,,,-1.000B,7.626M,,7.626M,,547.49M,-14.75M,-459.88M,,871.25M,-717.25M,154.00M,,7.626M,,,,34.28M,62.30M,,,
2005-09,103.74M,,,51.98M,,106.58M,-14.84M,,,,,-148.21M,-126.79M,0.192M,,114.80M,-6.179M,234.85M,236.74M,453.61M,552.86M,,-353.44M,,-353.44M,185.05M,261.01M,71.59M,164.21M,,,,505.02M,269.30M,,269.30M,,-643.80M,-276.74M,-146.22M,,300.40M,570.85M,871.25M,,269.30M,,,,-80.56M,111.94M,,,
2005-06,26.74M,,,-52.63M,,86.06M,-31.93M,,,,,148.21M,-116.79M,-5.806M,,72.17M,-17.31M,-5.387M,68.47M,-4.647M,171.80M,,-181.76M,,-181.76M,-185.05M,-229.73M,-16.88M,-613.42M,,,,358.17M,8.597M,,8.597M,,-46.70M,249.84M,569.91M,,172.12M,128.29M,300.40M,,8.597M,,,,117.76M,-26.16M,,,
2005-03,24.45M,,,53.92M,,99.56M,-4.281M,,,,,,117.13M,-9.967M,,-179.47M,-10.26M,22.11M,49.16M,-11.30M,162.35M,,-121.12M,,-121.12M,,81.18M,4.718M,-35.23M,,,,-108.58M,12.65M,,12.65M,,-43.67M,21.23M,-118.37M,,163.37M,8.75M,172.12M,,12.65M,,,,15.23M,33.89M,,,
2004-12,33.73M,,,4.622M,,105.38M,-146.41M,,,,,59.09M,95.48M,-0.01M,,52.71M,-6.675M,-14.34M,34.79M,161.96M,218.38M,,-182.14M,114.07M,-68.07M,,64.98M,-129.04M,-132.13M,,,,-20.16M,,,,,-43.49M,-4.426M,-49.79M,,126.91M,36.46M,163.37M,,,,,,49.89M,44.96M,,,
2004-09,105.40M,,,-41.15M,,121.04M,8.704M,,,,,,-132.87M,-0.129M,,43.68M,4.958M,-3.679M,130.16M,42.11M,236.10M,,-92.14M,-93.38M,-185.51M,,-146.36M,120.11M,-211.76M,,,,-35.73M,,,,,-41.09M,7.378M,-69.45M,,172.02M,-45.11M,126.91M,,,,,,-102.90M,139.60M,,,
2004-06,72.64M,,,3.692M,,96.53M,14.79M,,,,,-29.29M,-44.52M,-0.908M,,41.17M,28.32M,7.025M,-18.25M,12.83M,171.19M,,-148.45M,93.38M,-55.07M,,-99.80M,-16.48M,-171.35M,,,,188.58M,,,,,-41.11M,3.986M,151.45M,,14.85M,151.30M,172.02M,,,,,,112.69M,-65.07M,,,
2004-03,31.43M,,,-25.56M,,109.22M,9.06M,,,,,29.29M,70.86M,3.668M,,-52.21M,-1.22M,21.55M,29.14M,71.79M,225.23M,,-116.12M,,-116.12M,,91.85M,-5.417M,-29.69M,,,,-273.42M,,,,,-41.08M,2.752M,-311.75M,,131.06M,-116.21M,14.85M,,,,,,6.767M,72.37M,,,
2003-12,49.09M,,,0.802M,,119.92M,125.62M,,,,,145.19M,36.76M,-1.499M,,-2.793M,28.39M,4.494M,-221.84M,-156.49M,284.14M,,-217.43M,-24.10M,-241.53M,,-91.85M,31.47M,-301.91M,,,,-11.80M,,,,,-41.07M,1.807M,-51.06M,,197.42M,-68.84M,131.06M,,,,,,23.14M,41.48M,,,
2003-09,110.05M,,,0.976M,,116.65M,-20.02M,,,,,1.073M,-72.82M,1.328M,,31.68M,-18.37M,2.094M,156.16M,100.06M,308.79M,,-151.94M,-3.03M,-154.98M,,,34.99M,-119.98M,,,,-47.27M,,,,,-38.79M,2.972M,-83.08M,,94.18M,105.72M,197.42M,,,,,,9.674M,46.76M,,,
2003-06,56.14M,,,-2.231M,,114.21M,-14.17M,,,,,-1.073M,-25.04M,-0.267M,,19.04M,-27.24M,-19.21M,26.24M,-26.48M,126.40M,,-169.56M,1.978M,-167.58M,,87.22M,-74.68M,-155.04M,,,,92.46M,,,,,-38.77M,1.849M,55.54M,,67.29M,26.90M,94.18M,,,,,,,26.89M,,,
2003-03,25.30M,,,-11.15M,,113.12M,-9.675M,,,,,,48.65M,-4.191M,,-55.05M,16.23M,21.29M,36.91M,63.84M,181.43M,,-174.32M,25.15M,-149.17M,,-87.22M,-1.741M,-238.14M,,,,83.66M,,,,,-38.78M,1.553M,46.43M,,77.57M,-10.28M,67.29M,,,,,,,46.44M,,,
2002-12,-73.36M,,,110.00M,,121.51M,54.55M,,,,,,105.12M,-8.337M,,67.66M,66.80M,-49.26M,-83.20M,98.78M,311.48M,,-205.94M,5.609M,-200.33M,,,-10.06M,-210.39M,,,,-214.37M,,,,,-35.99M,-0.363M,-51.49M,,27.96M,49.60M,77.57M,,,,,,-29.53M,25.75M,,,
2002-09,93.64M,,,-35.60M,,131.75M,167.66M,,,,,62.29M,-84.93M,1.905M,,88.35M,-46.91M,9.75M,-71.10M,-102.94M,316.80M,,-235.50M,23.31M,-212.19M,,,2.437M,-209.76M,,,,-60.41M,,,,,-33.91M,1.384M,-92.94M,,13.86M,14.10M,27.96M,,,,,,0.176M,42.64M,,,
2002-06,75.36M,,,16.53M,,94.60M,-20.64M,,,,,-54.98M,-33.65M,-5.643M,,16.32M,-44.56M,0.40M,33.13M,-34.02M,76.87M,,-234.16M,,-234.16M,,,109.59M,-124.57M,,,,75.86M,,,,,-33.93M,-0.813M,41.12M,,20.44M,-6.584M,13.86M,,,,,,16.72M,22.72M,,,
2002-03,53.76M,,,-3.09M,,107.40M,-10.43M,,,,,-7.314M,53.82M,0.476M,,-117.73M,-0.95M,18.42M,41.74M,-4.231M,136.08M,,-219.92M,,-219.92M,,,-109.08M,-329.01M,,,,216.22M,,,,,-33.89M,2.416M,184.75M,,28.62M,-8.176M,20.44M,,,,,,30.56M,35.21M,,,
2001-12,35.81M,,,60.29M,,115.20M,42.00M,,,,,4.718M,286.94M,-2.101M,,-158.51M,-54.84M,34.98M,-232.34M,-125.87M,132.14M,,-348.03M,,-348.03M,,,-1.571M,-349.60M,,,,249.84M,,,,,-33.86M,4.757M,220.74M,,25.34M,3.282M,28.62M,,,,,,-32.35M,-101.07M,,,
2001-09,162.50M,,,-194.12M,,115.98M,-34.64M,,,,,-25.88M,-312.74M,-0.676M,,214.25M,-11.71M,108.02M,144.39M,141.55M,165.38M,,-265.49M,,-265.49M,,,3.207M,-262.28M,,,,142.37M,,,,,-31.77M,-1.457M,109.15M,,13.09M,12.25M,25.34M,,,,,,16.40M,37.42M,,,
2001-06,66.86M,,,-0.023M,,112.73M,-18.05M,,,,,,90.30M,-9.962M,,-132.63M,-15.53M,-77.28M,67.79M,-77.32M,84.19M,,-237.14M,,-237.14M,,,-55.68M,-292.82M,,,,6.518M,,,,,-31.79M,-2.408M,-27.68M,,249.39M,-236.30M,13.09M,,,,,,-0.123M,5.814M,,,
2001-03,62.20M,,,0.023M,,112.36M,-6.25M,,,,,,82.08M,-4.128M,,-50.90M,20.79M,-54.61M,27.63M,20.87M,189.21M,,-189.92M,,-189.92M,,,-25.17M,-215.10M,,,,298.64M,,,,,-31.78M,-1.94M,264.92M,,10.36M,239.03M,249.39M,,,,,,16.08M,57.84M,,,
2000-12,42.31M,,,4.568M,,107.75M,34.01M,,,,,-29.08M,192.78M,-3.312M,,-114.90M,-26.47M,64.87M,-125.95M,-12.98M,146.58M,,-259.61M,,-259.61M,,,-69.78M,-329.40M,,,,140.93M,,,,,88.96M,-3.662M,105.50M,,87.68M,-77.32M,10.36M,,,,,,-127.01M,-109.78M,,,
2000-09,116.05M,,,-14.85M,,121.77M,-34.47M,,,,,34.26M,-355.90M,3.706M,,247.49M,46.45M,50.02M,27.46M,19.23M,242.00M,,-175.63M,,-175.63M,,,16.56M,-159.07M,,,,-34.82M,,,,,-29.66M,-1.159M,-65.64M,,70.40M,17.28M,87.68M,,,,,,120.65M,37.30M,,,
2000-06,89.90M,,,10.47M,,90.01M,-21.15M,,,,,-33.54M,-165.76M,3.274M,,113.94M,-54.26M,-27.30M,112.11M,-18.00M,117.69M,,-133.66M,,-133.66M,,,-3.866M,-137.52M,,,,-7.853M,,,,,-29.65M,0.433M,-37.07M,,127.30M,-56.90M,70.40M,,,,,,6.361M,37.86M,,,
2000-03,54.07M,,,1.03M,,104.97M,12.64M,,,,,5.023M,58.01M,-3.193M,,-53.02M,-3.16M,2.124M,14.81M,15.56M,193.29M,,-89.70M,,-89.70M,,,-6.31M,-96.01M,,,,39.20M,,,,,-29.65M,-0.23M,9.321M,,20.70M,106.60M,127.30M,,,,,,,34.62M,,,
1999-12,44.80M,,,-55.20M,,103.30M,57.30M,,,,,20.80M,124.40M,-4.00M,,-53.60M,-0.90M,1.00M,-132.70M,-65.80M,105.20M,,-107.80M,,-107.80M,,,-12.10M,-119.90M,,,,42.60M,,0.00,0.00,,-29.60M,-1.70M,11.30M,,24.00M,-3.40M,20.70M,,,,,0.00,-95.60M,-109.70M,,,
1999-09,163.61M,,,-28.00M,,119.41M,-53.22M,,,,,-16.98M,-188.48M,0.853M,,107.26M,26.54M,19.31M,49.92M,15.40M,200.22M,,-81.87M,,-81.87M,,,-8.819M,-90.69M,,,,-89.06M,,-0.001M,-0.001M,,-27.60M,-1.352M,-118.01M,,32.51M,-8.473M,24.00M,,,,,-0.001M,94.66M,41.36M,,,
1999-06,68.69M,,,10.30M,,89.09M,-13.58M,,,,,-21.12M,4.075M,-4.453M,,26.74M,-31.64M,-14.31M,47.48M,27.90M,161.28M,,-86.23M,,-86.23M,,,6.119M,-80.11M,,,,-41.14M,,0.001M,0.001M,,-27.60M,-5.648M,-74.39M,,25.70M,6.773M,32.51M,,,,,0.001M,0.94M,30.94M,,,
1999-03,30.70M,,,-1.20M,,105.20M,-7.90M,,,,,0.10M,44.10M,-1.20M,,-52.20M,-7.00M,9.00M,49.30M,42.00M,168.90M,,-67.50M,,-67.50M,,,-13.10M,-80.60M,,,,44.20M,,-96.50M,-96.50M,,-27.50M,-3.30M,-83.10M,,20.50M,5.20M,25.70M,,,,,-96.50M,,37.40M,,,
1998-12,35.50M,,,-2.30M,,,52.80M,,,,,105.50M,80.20M,6.10M,,-25.70M,-0.60M,-21.90M,-138.50M,-100.40M,91.10M,,-97.20M,,-97.20M,,,-4.20M,-101.40M,,,,67.60M,,-37.90M,-37.90M,,-27.50M,-1.60M,0.60M,,30.10M,-9.70M,20.50M,,,,,-37.90M,-81.30M,-112.30M,,,
1998-09,127.30M,,,-12.50M,,,-17.10M,,,,,103.60M,-143.90M,0.00,,72.50M,-0.30M,11.40M,97.90M,37.60M,238.90M,,-77.30M,,-77.30M,,,-10.50M,-87.80M,,,,-118.90M,,-6.40M,-6.40M,,-25.40M,-1.80M,-152.50M,,31.60M,-1.40M,30.10M,,,,,-6.40M,16.50M,39.40M,,,
1998-06,49.00M,,,-6.40M,,,17.00M,,,,,102.10M,-49.40M,-5.40M,,25.30M,-2.70M,-5.40M,-57.10M,-94.70M,67.00M,,-83.80M,,-83.80M,,,-1.80M,-85.60M,,,,73.90M,,-20.60M,-20.60M,,-25.50M,0.30M,28.10M,,22.10M,9.50M,31.60M,,,,,-20.60M,60.20M,32.00M,,,
1998-03,31.10M,,,-1.10M,,,-11.40M,,,,,101.30M,53.50M,-3.50M,,-37.70M,-2.60M,10.70M,68.50M,88.90M,208.80M,,-60.80M,,-60.80M,,,-4.30M,-65.10M,,,,-112.60M,,-10.60M,-10.60M,,-25.40M,-0.50M,-149.10M,,27.50M,-5.40M,22.10M,,,,,-10.60M,4.60M,40.90M,,,
1997-12,19.00M,,,-2.20M,,,42.50M,,,,,101.20M,95.70M,5.70M,,-75.20M,1.80M,-18.20M,-71.50M,-61.70M,98.80M,,229.60M,,229.60M,,,-301.40M,-71.80M,,,,-18.40M,,0.60M,0.60M,,-25.50M,-3.50M,-46.80M,,47.30M,-19.80M,27.50M,,,,,0.60M,-106.40M,-128.40M,,,
1997-09,124.30M,,,-8.00M,,,7.10M,,,,,99.90M,-96.80M,0.90M,,59.80M,2.30M,5.90M,82.10M,54.20M,277.50M,,-84.40M,,-84.40M,,,-16.70M,-101.10M,,,,-129.90M,,-1.90M,-1.90M,,-23.30M,0.90M,-154.20M,,25.00M,22.20M,47.30M,,,,,-1.90M,50.30M,45.00M,,,
1997-06,67.20M,,,-9.90M,,,-16.00M,,,,,100.40M,-47.20M,-1.00M,,11.90M,-3.10M,1.10M,9.80M,-28.50M,113.20M,,-68.10M,,-68.10M,,,-24.70M,-92.80M,,,,74.90M,,-99.90M,-99.90M,,-23.40M,0.50M,-47.90M,,52.60M,-27.50M,25.00M,,,,,-99.90M,52.10M,33.30M,,,
1997-03,25.40M,,,-8.10M,,,-8.80M,,,,,100.40M,30.90M,2.20M,,-51.40M,-1.10M,-11.90M,70.50M,39.20M,148.10M,,-77.10M,,-77.10M,,,-2.10M,-79.20M,,,,7.80M,,-26.00M,-26.00M,,-24.00M,-0.80M,-43.00M,,26.70M,25.90M,52.60M,,,,,-26.00M,4.00M,50.10M,,,
1996-12,-16.20M,,,-0.80M,,,10.20M,,,,,99.20M,20.20M,3.00M,,56.60M,-8.30M,-18.90M,-78.10M,-25.50M,66.90M,,-62.00M,,-62.00M,,,3.60M,-58.40M,,,,-14.20M,,-4.30M,-4.30M,,-24.00M,-3.80M,-46.30M,,64.40M,-37.80M,26.70M,,,,,-4.30M,-72.20M,-155.90M,,,
1996-09,121.40M,,,-11.70M,,,-0.50M,,,,,101.10M,-44.00M,3.60M,,20.10M,-13.20M,6.20M,73.70M,46.40M,256.70M,,-75.80M,,-75.80M,,,-11.30M,-87.10M,,,,-65.90M,,-15.50M,-15.50M,,-21.90M,-20.80M,-124.10M,,18.90M,45.50M,64.40M,,,,,-15.50M,32.20M,60.10M,,,
1996-06,61.50M,,,-9.10M,,,2.40M,,,,,67.00M,-48.20M,4.30M,,23.30M,13.00M,1.20M,-25.70M,-32.10M,89.70M,,-60.70M,-2.80M,-63.50M,,,-3.70M,-67.20M,,,,-16.90M,,-7.20M,-7.20M,,-21.80M,5.20M,-40.70M,,37.10M,-18.20M,18.90M,,,,,-7.20M,40.00M,32.80M,,,
1996-03,34.90M,,,-7.50M,,,1.30M,,,,,67.50M,31.90M,1.00M,,-34.40M,-0.40M,13.00M,51.90M,63.00M,159.20M,,-60.10M,2.80M,-57.30M,,,-14.10M,-71.40M,,,,-82.10M,,-23.40M,-23.40M,,-21.90M,-2.80M,-130.20M,,79.50M,-42.40M,37.10M,,,,,-23.40M,,63.00M,,,
1995-12,18.30M,,,8.50M,,,33.50M,,,,,68.00M,62.20M,16.40M,,6.10M,-2.00M,-14.20M,-86.20M,-17.70M,110.60M,,-76.20M,,-76.20M,,,-6.60M,-82.80M,,,,34.80M,,,,,-21.90M,-14.00M,-1.10M,,52.90M,26.70M,79.50M,,,,,,-35.80M,-180.40M,,,
1995-09,114.50M,,,-14.30M,,,14.80M,,,,,71.10M,-70.00M,1.80M,,22.50M,3.00M,6.50M,104.20M,68.00M,254.10M,,-68.50M,,-68.50M,,,-3.30M,-71.80M,,,,-141.00M,,,,,-19.70M,0.20M,-160.50M,,31.00M,21.80M,52.90M,,,,,,14.50M,68.80M,,,
1995-06,42.20M,,,-6.30M,,,8.30M,,,,,68.60M,-20.30M,8.40M,,-0.90M,-2.00M,-3.00M,-25.10M,-42.90M,69.90M,,-78.40M,,-78.40M,,,0.10M,-78.30M,,,,38.70M,,,,,-19.60M,-0.20M,18.90M,,20.70M,10.50M,31.00M,,,,,,21.30M,39.50M,,,
1995-03,24.60M,,,-0.30M,,,4.50M,,,,,68.60M,34.70M,-1.00M,,-29.80M,-3.20M,14.40M,8.80M,23.90M,121.30M,,-72.70M,,-72.70M,,,1.20M,-71.50M,,,,-44.20M,,,,,-19.70M,,-63.90M,,34.70M,-14.10M,20.70M,,,,,,,72.10M,,,
1994-12,36.30M,,,0.10M,,,8.30M,,,,,72.10M,49.30M,-4.80M,,7.10M,0.40M,28.20M,-95.60M,-15.40M,101.40M,,-75.50M,,-75.30M,,,3.20M,-72.10M,,,,-31.50M,,-71.60M,-71.60M,,32.00M,-2.00M,-73.10M,,78.70M,-43.80M,34.70M,,,,,-71.60M,-26.10M,-176.10M,,,
1994-09,94.00M,,,-2.90M,,,26.80M,,,,,69.70M,-52.00M,-1.20M,,6.90M,0.60M,-41.20M,81.70M,-5.20M,182.40M,,-58.10M,,-58.10M,,,-1.30M,-59.40M,,,,-27.30M,,1.60M,1.60M,,-69.10M,-0.30M,-95.10M,,50.80M,27.90M,78.70M,,,,,1.60M,11.70M,62.20M,,,
1994-06,48.70M,,,-18.20M,,,27.10M,,,,,64.80M,-34.40M,6.40M,,29.90M,-0.40M,-1.10M,-47.10M,-46.70M,75.70M,,-53.00M,,-53.00M,,,0.30M,-52.70M,,,,7.60M,,-39.90M,-39.90M,,-17.50M,2.00M,-47.80M,,75.50M,-24.80M,50.80M,,,,,-39.90M,14.40M,48.00M,,,
1994-03,21.60M,,,-27.00M,,,16.60M,,,,,65.10M,34.30M,4.40M,,-18.80M,-2.20M,12.40M,31.30M,61.40M,137.70M,,-68.70M,,-68.70M,,,-0.20M,-68.90M,,,,-13.90M,,-14.20M,-14.20M,,-17.50M,0.20M,-45.40M,,52.10M,23.40M,75.50M,,,,,-14.20M,,65.90M,,,
