,NetIncome,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2005-03,31.98M,12.40M,5.09M,5.09M,-7.642M,,,,-16.81M,1.996M,-8.103M,-18.89M,-0.425M,-42.22M,-0.394M,-8.64M,-8.64M,-1.183M,-24.70M,-34.53M,,,,11.18M,,11.18M,,,,,11.18M,199.30M,-23.74M,-0.57M,174.99M,11.18M,,,
2004-12,30.60M,10.54M,4.671M,4.671M,-14.89M,,,,-8.432M,-0.77M,12.46M,17.62M,,20.88M,51.80M,-24.79M,-24.79M,0.00,-44.30M,-69.09M,,,,13.07M,,13.07M,,,,,13.07M,250.37M,-4.224M,3.00M,199.30M,13.07M,,,
2004-09,26.05M,7.93M,4.083M,4.083M,-4.06M,,,,-10.53M,2.57M,-5.166M,21.09M,,7.967M,41.97M,-15.47M,-15.47M,0.00,40.73M,25.26M,,,,10.80M,,10.80M,,,,,10.80M,123.00M,78.03M,-0.515M,250.37M,10.80M,,,
2004-06,23.80M,14.49M,3.828M,3.828M,-1.789M,,,,-4.931M,0.701M,-14.54M,9.085M,0.155M,-9.525M,30.80M,-3.626M,-3.626M,0.00,-1.125M,-4.751M,,,,8.352M,,8.352M,,,,,8.352M,89.08M,34.41M,-0.489M,123.00M,8.352M,,,
2004-03,19.79M,4.369M,3.865M,3.865M,-1.585M,,,,-18.85M,-0.955M,-4.552M,0.834M,-0.155M,-23.68M,2.759M,-2.691M,-2.691M,-1.495M,-59.92M,-64.11M,,,,4.543M,,4.543M,,,,,4.543M,144.37M,-56.81M,1.522M,89.08M,4.543M,,,
2003-12,17.72M,9.119M,3.539M,3.539M,-3.571M,,,,2.227M,3.061M,-1.251M,7.053M,,11.09M,37.90M,-9.729M,-9.729M,-4.007M,,-6.486M,,,,6.543M,,6.543M,,,,0.00,6.543M,159.75M,37.96M,3.763M,144.37M,6.543M,,,
2003-09,15.96M,8.051M,3.008M,3.008M,1.03M,,,,-10.36M,-0.55M,-6.71M,8.529M,,-9.087M,18.96M,-6.562M,-6.562M,0.00,,-6.562M,,,,9.318M,,9.318M,,,,0.00,9.318M,137.74M,21.72M,0.292M,159.75M,9.318M,,,
2003-06,13.50M,4.077M,2.767M,2.767M,1.887M,,,,-1.404M,0.579M,-6.807M,1.67M,,-5.962M,16.27M,-7.646M,-7.646M,-3.816M,,-11.46M,,,,6.056M,,6.056M,,,,0.087M,6.143M,126.65M,10.95M,0.14M,137.74M,6.056M,,,
2003-03,10.18M,3.162M,2.622M,2.622M,0.032M,,,,-3.909M,-1.305M,-2.436M,-1.617M,,-9.267M,6.727M,-6.054M,-6.054M,,,-6.054M,,,,2.823M,,2.823M,,,,-3.05M,-0.227M,126.21M,0.446M,-0.01M,126.65M,2.823M,,,
2002-12,9.139M,6.535M,2.163M,2.163M,-0.967M,,,,-4.846M,2.131M,0.267M,6.674M,,4.226M,21.10M,-14.67M,-14.67M,2.744M,,-25.12M,,,,7.083M,,7.083M,,,,,7.083M,123.08M,3.058M,0.071M,126.21M,7.083M,,,
