,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,AccruedComprehensiveInc,ShareholdersEquity
2006-09,197.70M,337.90M,535.60M,296.72M,,296.72M,,58.54M,30.36M,921.22M,,,,,,,,284.09M,-85.98M,198.11M,26.78M,21.47M,48.24M,,1.451M,13.49M,261.30M,1.183B,27.65M,,27.65M,185.63M,213.28M,,,,,,,,,213.28M,,,,,,,,2.673M,215.95M,1.418M,580.74M,376.53M,,7.862M,966.56M
2006-06,203.10M,265.10M,468.20M,266.26M,,266.26M,,50.83M,26.30M,811.59M,,,,,,,,257.78M,-78.51M,179.28M,18.43M,15.41M,33.84M,,10.78M,10.58M,234.48M,1.046B,24.87M,,24.87M,144.45M,169.32M,,,,,,,,,169.32M,,,,,,,,2.553M,171.87M,1.409M,519.72M,346.01M,,7.061M,874.19M
2006-03,165.36M,257.19M,422.55M,217.68M,,217.68M,,43.85M,25.06M,709.13M,,,,,,,,232.81M,-71.23M,161.58M,18.27M,15.80M,34.07M,,19.64M,9.903M,225.19M,934.33M,21.44M,,21.44M,117.44M,138.87M,,,,,,,,,138.87M,,,,,,,,2.302M,141.18M,1.403M,464.65M,324.26M,,2.843M,793.15M
2005-12,196.94M,227.06M,424.00M,176.70M,,176.70M,,42.75M,19.97M,663.42M,0.0,10.79M,52.46M,94.63M,,53.83M,,211.72M,-64.74M,146.98M,18.22M,16.28M,34.50M,,17.25M,7.741M,206.47M,869.89M,16.42M,,16.42M,137.38M,153.80M,,,,,,,,,153.80M,,,,,,,,1.953M,155.75M,1.393M,417.48M,293.15M,,2.121M,714.14M
2005-09,214.91M,153.59M,368.50M,146.86M,24.72M,171.59M,,30.04M,21.73M,591.86M,,,,,,,,187.99M,-61.47M,126.52M,,35.17M,35.17M,,10.81M,7.389M,179.88M,771.74M,15.00M,,15.00M,115.08M,130.09M,,,,,,,,,130.09M,,,,,,,,,130.09M,1.382M,359.81M,276.80M,,3.655M,641.65M
2005-06,180.12M,146.68M,326.80M,143.08M,22.60M,165.68M,,23.55M,15.83M,531.86M,,,,,,,,165.52M,-57.00M,108.52M,,35.11M,35.11M,,0.591M,7.125M,151.35M,683.21M,16.36M,,16.36M,101.66M,118.02M,,,,,,,,,118.02M,,,,,,,,,118.02M,1.365M,319.23M,240.06M,,4.54M,565.19M
2005-03,174.99M,139.41M,314.39M,112.45M,18.74M,131.19M,,21.53M,15.26M,482.38M,,,,,,,,142.07M,-47.44M,94.64M,,21.20M,21.20M,,,6.626M,122.47M,604.85M,13.11M,,13.11M,83.43M,96.53M,,,,,,,,,96.53M,,,,1.227M,,1.227M,,1.227M,97.76M,1.351M,283.19M,214.47M,,8.068M,507.09M
2004-12,199.30M,115.46M,314.76M,96.36M,14.15M,110.52M,,16.82M,11.90M,454.00M,0.0,10.27M,40.01M,73.12M,,14.74M,,138.14M,-47.44M,90.70M,,21.83M,21.83M,,,6.216M,118.75M,572.74M,11.19M,,11.19M,79.26M,90.45M,,,,,15.04M,15.04M,,9.566M,115.06M,,,,4.156M,,4.156M,,4.156M,119.22M,1.342M,251.22M,191.32M,,9.649M,453.53M
2004-09,250.37M,20.02M,270.39M,86.78M,16.95M,103.73M,,,37.88M,412.00M,,,,,,,,113.16M,-43.09M,70.08M,,20.23M,20.23M,,,4.533M,94.84M,506.84M,11.74M,,11.74M,84.54M,96.28M,,,,,,,,,96.28M,,,,16.45M,,16.45M,,16.45M,112.73M,1.326M,220.61M,167.99M,,4.177M,394.11M
2004-06,197.03M,36.15M,233.17M,76.35M,13.68M,90.04M,,,36.99M,360.20M,,,,,,,,99.05M,-40.94M,58.11M,,20.71M,20.71M,,,3.656M,82.48M,442.68M,9.169M,,9.169M,63.46M,72.62M,,,,,,,,,72.62M,,,,20.51M,,20.51M,,20.51M,93.13M,1.312M,194.56M,149.37M,,4.305M,349.55M
2004-03,161.98M,36.87M,198.86M,71.51M,12.72M,84.23M,,,23.95M,307.04M,,,,,,,,95.47M,-37.66M,57.81M,,21.34M,21.34M,,,3.153M,82.31M,389.35M,8.468M,,8.468M,54.37M,62.84M,,,,,,,,,62.84M,,,,22.30M,,22.30M,,22.30M,85.14M,0.646M,170.76M,127.28M,,5.522M,304.21M
2003-12,194.22M,,194.22M,52.25M,9.543M,61.80M,,18.78M,8.414M,283.21M,0.0,1.743M,37.93M,52.93M,,,,92.61M,-34.17M,58.44M,,20.91M,20.91M,,,2.741M,82.09M,365.30M,9.423M,,9.423M,53.21M,62.64M,,,,,,,,,62.64M,,,,28.59M,,28.59M,,28.59M,91.23M,0.643M,150.97M,118.45M,,4.00M,274.07M
2003-09,159.75M,,159.75M,53.22M,21.77M,74.98M,,,8.139M,242.87M,,,,,,,,82.79M,-31.13M,51.66M,,16.44M,16.44M,,,3.031M,71.12M,313.99M,6.289M,,6.289M,,6.289M,,,,,,,,43.28M,49.57M,,,,27.45M,,27.45M,,27.45M,77.02M,0.636M,133.25M,102.85M,0.237M,0.237M,236.97M
2003-06,137.74M,,137.74M,42.91M,9.326M,52.23M,,,13.89M,203.86M,,,,,,,,76.18M,-28.41M,47.76M,,16.77M,16.77M,,,3.018M,67.55M,271.41M,6.839M,,6.839M,34.75M,41.59M,,,,,,,,,41.59M,,,,26.42M,,26.42M,,26.42M,68.02M,0.623M,117.29M,85.54M,-0.055M,-0.055M,203.40M
2003-03,126.65M,,126.65M,40.61M,6.223M,46.83M,,,9.062M,182.54M,,,,,,,,68.32M,-25.55M,42.77M,,13.41M,13.41M,,,2.976M,59.15M,241.69M,5.643M,,5.643M,31.88M,37.52M,,,,,,,,,37.52M,,,,24.54M,,24.54M,,24.54M,62.06M,0.615M,103.79M,75.42M,-0.195M,-0.195M,179.63M
2002-12,126.21M,,126.21M,36.70M,4.308M,41.00M,,,8.618M,175.83M,0.0,1.705M,26.12M,35.83M,,,,63.65M,-24.56M,39.09M,0.878M,12.87M,13.75M,,,2.801M,55.64M,231.47M,6.948M,,6.948M,34.54M,41.49M,,,,,,,,,41.49M,,,,24.50M,,24.50M,,24.50M,65.99M,0.612M,93.61M,71.44M,,-0.185M,165.48M
2002-09,123.08M,,123.08M,31.82M,7.537M,39.36M,,,6.877M,169.32M,,,,,,,,48.53M,-22.62M,25.91M,,0.878M,0.878M,,,4.676M,31.46M,200.78M,4.817M,,4.817M,27.86M,32.68M,,,,,,,,,32.68M,,,,25.47M,,25.47M,,25.47M,58.15M,0.20M,84.47M,58.21M,-0.256M,-0.256M,142.62M
2002-06,103.84M,,103.84M,31.08M,7.033M,38.12M,,,7.986M,149.94M,,,,,,,,45.77M,-20.60M,25.16M,,0.878M,0.878M,,,4.805M,30.85M,180.79M,4.607M,,4.607M,27.50M,32.11M,,,,,,,,,32.11M,,,,25.59M,,25.59M,,25.59M,57.70M,0.197M,74.80M,48.16M,-0.062M,-0.062M,123.09M
2002-03,91.19M,,91.19M,23.77M,6.011M,29.78M,,,6.101M,127.07M,,,,,,,,42.94M,-18.69M,24.25M,,0.878M,0.878M,,,2.124M,27.25M,154.32M,3.56M,,3.56M,18.80M,22.36M,,,,,,,,,22.36M,,,,25.00M,,25.00M,,25.00M,47.37M,0.194M,66.16M,40.81M,-0.204M,-0.204M,106.95M
2001-12,84.98M,,84.98M,22.54M,5.422M,27.97M,,,4.392M,117.34M,0.0,1.678M,3.93M,29.12M,6.418M,,,41.14M,-16.80M,24.34M,,0.878M,0.878M,,,2.431M,27.65M,144.98M,3.652M,,3.652M,18.05M,21.70M,,,,,,,,,21.70M,,,,24.49M,,24.49M,,24.49M,46.19M,0.193M,59.05M,39.71M,-0.158M,-0.158M,98.79M
2001-09,79.77M,,79.77M,27.21M,,27.21M,,,4.291M,111.26M,,,,,,,,37.50M,-15.31M,22.20M,,0.957M,0.957M,,,4.155M,27.31M,138.57M,3.011M,,3.011M,,3.011M,,,,,,,,20.69M,23.70M,,,,22.38M,,22.38M,,22.38M,46.08M,0.193M,54.41M,38.01M,-0.109M,-0.109M,92.50M
2001-06,67.66M,,67.66M,23.22M,4.356M,27.58M,,,4.483M,99.72M,,,,,,,,32.11M,-13.74M,18.37M,,1.036M,1.036M,,,4.156M,23.56M,123.28M,2.02M,,2.02M,,2.02M,,,,,,,,18.17M,20.19M,,,,20.14M,,20.14M,,20.14M,40.33M,0.191M,48.30M,34.62M,-0.159M,-0.159M,82.95M
2001-03,60.97M,,60.97M,19.94M,3.726M,23.67M,,,4.137M,88.77M,,,,,,,,29.93M,-12.29M,17.64M,,1.116M,1.116M,,,4.265M,23.02M,111.80M,2.23M,,2.23M,18.31M,20.54M,,,,,,,,,20.54M,,,,18.42M,,18.42M,,18.42M,38.95M,0.187M,42.45M,30.37M,-0.166M,-0.166M,72.84M
2000-12,61.98M,,61.98M,,,22.49M,,,3.758M,88.22M,,,,,,,,26.93M,-11.00M,15.94M,,1.195M,1.195M,,,4.185M,21.32M,109.54M,2.857M,,2.857M,,2.857M,,,,,,,,23.86M,26.72M,,,,16.70M,,16.70M,,16.70M,43.42M,0.186M,36.89M,29.09M,-0.05M,-0.05M,66.12M
2000-09,52.84M,,52.84M,,,20.06M,,,4.631M,77.52M,,,,,,,,22.64M,-9.786M,12.86M,,1.275M,1.275M,,,3.722M,17.86M,95.38M,1.903M,,1.903M,,1.903M,,,,,,,,17.92M,19.82M,,,,15.43M,,15.43M,,15.43M,35.25M,0.186M,31.47M,28.53M,-0.054M,-0.054M,60.13M
2000-06,45.21M,,45.21M,,,17.45M,,,4.802M,67.46M,,,,,,,,19.14M,-8.634M,10.51M,,1.354M,1.354M,,,3.719M,15.58M,83.05M,1.523M,,1.523M,,1.523M,,,,,,,,13.03M,14.56M,,,,13.86M,,13.86M,,13.86M,28.42M,0.186M,26.68M,27.79M,-0.034M,-0.034M,54.63M
2000-03,40.36M,,40.36M,,,16.44M,,,3.74M,60.54M,,,,,,,,17.08M,-7.699M,9.376M,,1.433M,1.433M,,,1.456M,12.26M,72.81M,1.771M,,1.771M,,1.771M,,,,,,,,9.731M,11.50M,,,,12.00M,,12.00M,,12.00M,23.50M,0.186M,22.66M,26.46M,,-0.005M,49.31M
1999-12,42.60M,,42.60M,,,11.10M,,,3.00M,56.70M,,,,,,,,16.30M,-6.80M,9.50M,,1.50M,1.50M,,,1.30M,12.30M,69.00M,1.40M,,1.40M,,1.40M,,,,,,,,11.80M,13.20M,,,,10.40M,,10.40M,-0.10M,10.30M,23.50M,0.10M,19.20M,26.20M,,,45.50M
1999-09,33.70M,,33.70M,,,13.20M,,,1.80M,48.70M,,,,,,,,15.30M,-6.00M,9.30M,,1.60M,1.60M,,,1.40M,12.30M,61.00M,1.20M,,1.20M,,1.20M,,,,,,,,10.20M,11.40M,,,,8.60M,,8.60M,-0.10M,8.50M,19.90M,0.10M,16.10M,24.80M,,,41.10M
1999-06,29.40M,,29.40M,,,13.60M,,,2.10M,45.10M,,,,,,,,13.60M,-5.30M,8.30M,,1.70M,1.70M,,,1.30M,11.30M,56.40M,1.10M,,1.10M,,1.10M,,,,,,,,9.20M,10.30M,,,,7.90M,,7.90M,0.10M,8.00M,18.30M,,13.30M,,,,38.10M
1999-03,25.10M,,25.10M,,,16.30M,,,2.30M,43.70M,,,,,,,,11.60M,-4.70M,6.90M,,1.80M,1.80M,,,1.40M,10.10M,53.80M,1.70M,,1.70M,,1.70M,,8.90M,,8.90M,,,,0.10M,10.70M,,,,7.70M,,7.70M,-0.10M,7.60M,18.30M,,10.70M,,,,35.50M
1998-12,28.40M,,28.40M,,,12.20M,,,1.80M,42.40M,,,,,,,,10.40M,-4.10M,6.30M,,1.80M,1.80M,,,1.20M,9.30M,51.70M,1.70M,,1.70M,,1.70M,,,,,,,,11.30M,13.00M,,,,6.10M,,6.10M,,6.10M,19.10M,,8.00M,,,,32.60M
1998-09,26.10M,,26.10M,,,8.50M,,,2.50M,37.10M,,,,,,,,9.40M,-3.90M,5.50M,,1.90M,1.90M,,,0.20M,7.60M,44.70M,0.90M,,0.90M,,0.90M,,,,,,,,9.00M,9.90M,,,,4.80M,,4.80M,0.10M,4.90M,14.80M,,5.40M,,,,29.90M
1998-06,21.50M,,21.50M,,,8.90M,,,2.10M,32.50M,,,,,,,,8.60M,-3.20M,5.40M,,2.00M,2.00M,,,0.20M,7.60M,40.10M,0.90M,,0.90M,,0.90M,,,,,,,,7.20M,8.10M,,,,3.80M,,3.80M,0.10M,3.90M,12.00M,,3.70M,,,,28.10M
